('AC04652-2022-11-02-200','A12-2','efxi', 'LB')
('SL04652-2022-11-02-658','S28-10','coKHiy', 'MB')
('AC22517-2022-11-01-653','A37-5','cHjmCrIEwMo', 'SL')
('AC04652-2022-11-01-691','A39-7','L', 'LB')
('SL22517-2022-11-01-657','S28-9','cUqFFmh', 'LB')
('AC12058-2022-11-01-643','A36-13','xBRHGgvKOOwxsP', 'LB')
('AC04652-2022-11-01-692','A39-8','JsRjcYB', 'LB')
('AC04652-2022-11-01-693','A39-9','ZQHzVQYYEI', 'UB')
('SL22517-2022-11-01-660','S28-12','NT', 'LB')
('SL04652-2022-11-01-675','S29-3','Au', 'UB')
('SL22517-2022-11-01-662','S28-14','kdstOkIv', 'UB')
('AC04652-2022-11-02-720','A40-18','qLMtKojCTsUxS', 'SU')
('SL12058-2022-11-01-665','S28-17','uljtKHwqJwH', 'LB')
('SL12058-2022-11-01-669','S28-21','uqvQAvT', 'MB')
('SL04652-2022-11-01-682','S29-10','JippXYFLpCZP', 'MB')
('SL12058-2022-11-01-672','S28-24','XEaqhNZid', 'SU')
('SL04652-2022-11-02-677','S29-5','wRBDkSnLnhl', 'MB')
('AC22517-2022-11-01-671','A38-5','Qbn', 'SL')
('SL22517-2022-11-02-667','S28-19','WpTOVlhTJwZnbnz', 'UB')
('SL22517-2022-11-01-679','S29-7','Dbzews', 'SL')
('SL04652-2022-11-01-686','S29-14','LNcrb', 'UB')
('SL04652-2022-11-01-687','S29-15','MuXC', 'SL')
('SL22517-2022-11-02-668','S28-20','UNGz', 'LB')
('AC12058-2022-11-01-660','A37-12','bVdwFdwdUK', 'SU')
('SL22517-2022-11-02-670','S28-22','korCSig', 'UB')
('AC04652-2022-11-01-707','A40-5','fcrlafrpDZYoaik', 'SL')
('SL22517-2022-11-02-673','S29-1','sYMJdb', 'LB')
('SL22517-2022-11-02-674','S29-2','A', 'MB')
('AC04652-2022-11-01-708','A40-6','RjpZhSXDbfYJce', 'SU')
('SL22517-2022-11-02-676','S29-4','pk', 'LB')
('AC22517-2022-11-01-675','A38-9','zFZcaFmvWLmDVUUp', 'UB')
('SL04652-2022-11-02-683','S29-11','pQFAKhcVanPf', 'UB')
('SL22517-2022-11-02-678','S29-6','YjJJd', 'UB')
('AC12058-2022-11-01-666','A37-18','IhNXknXXaUXPL', 'SU')
('SL12058-2022-11-01-683','S29-11','LHqdZJACQBHuzVT', 'UB')
('SL04652-2022-11-02-685','S29-13','HdfRX', 'MB')
('AC22517-2022-11-02-694','A39-10','jABpvLxAAoueScz', 'UB')
('AC22517-2022-11-02-695','A39-11','SPjcwAUSiZmkNpE', 'SL')
('AC04652-2022-11-01-713','A40-11','KqqrC', 'SL')
('SL04652-2022-11-02-687','S29-15','ME', 'SL')
('AC04652-2022-11-01-714','A40-12','VLK', 'SU')
('SL04652-2022-11-01-696','S29-24','EVTB', 'SU')
('AC22517-2022-11-01-680','A38-14','HlvG', 'LB')
('SL04652-2022-11-02-690','S29-18','QIdWQKllQPqosxy', 'MB')
('SL22517-2022-11-01-691','S29-19','kPbZREVtMtXVRf', 'UB')
('SL22517-2022-11-02-683','S29-11','fDaVovjJmtEuGjw', 'UB')
('AC22517-2022-11-01-681','A38-15','XzDLd', 'UB')
('SL12058-2022-11-01-686','S29-14','sGazRdcnvt', 'UB')
('SL12058-2022-11-01-688','S29-16','RJxF', 'SU')
('SL04652-2022-11-02-693','S29-21','QDoMqVRhPjeqtEPR', 'MB')
('SL22517-2022-11-02-684','S29-12','brHGDBGeV', 'LB')
('AC04652-2022-11-02-750','A42-12','PQXhGGuNcEzXJd', 'SU')
('AC04652-2022-11-01-718','A40-16','AJUsZwBPHMEKWIVV', 'UB')
('AC22517-2022-11-01-684','A38-18','QTlAQCy', 'SU')
('SL22517-2022-11-01-695','S29-23','FOMJTUCmNKcAIS', 'SL')
('AC22517-2022-11-01-687','A39-3','XBTjeISbnMWbX', 'UB')
('SL04652-2022-11-01-707','S30-11','vXveRKCkikNUNXL', 'UB')
('SL22517-2022-11-02-686','S29-14','LuajAnMXNso', 'UB')
('AC04652-2022-11-01-722','A41-2','MPxTxUpeVCCEj', 'LB')
('AC22517-2022-11-02-705','A40-3','tNHgDJ', 'UB')
('SL22517-2022-11-01-700','S30-4','kyIpcetvIF', 'LB')
('SL22517-2022-11-02-688','S29-16','FzeeGVzdT', 'SU')
('AC04652-2022-11-02-756','A42-18','XrZkLr', 'SU')
('AC04652-2022-11-02-757','A43-1','ofzmLiTsTnCm', 'LB')
('AC22517-2022-11-02-711','A40-9','ZbeGLxxGPtJDFAPU', 'UB')
('SL04652-2022-11-02-705','S30-9','yAPKTa', 'LB')
('AC22517-2022-11-02-714','A40-12','FPttioAGtrKBc', 'SU')
('SL12058-2022-11-01-703','S30-7','qATTIWI', 'SL')
('SL04652-2022-11-01-719','S30-23','JuULl', 'SL')
('AC04652-2022-11-02-763','A43-7','FewHMXtdcBTMZZy', 'LB')
('AC12058-2022-11-01-686','A39-2','NpsXehPFMUOm', 'LB')
('SL04652-2022-11-01-722','S31-2','HtzLnz', 'MB')
('SL12058-2022-11-01-711','S30-15','ouGUxrMCIaQjsmzn', 'SL')
('AC12058-2022-11-01-694','A39-10','PSY', 'UB')
('SL12058-2022-11-01-713','S30-17','xmXdMSwM', 'LB')
('AC12058-2022-11-01-696','A39-12','Min', 'SU')
('AC22517-2022-11-02-731','A41-11','uvJmaqKDiO', 'SL')
('AC22517-2022-11-01-706','A40-4','LgKMBqZfu', 'UB')
('SL22517-2022-11-02-707','S30-11','xOXCJaFlluNlmUe', 'UB')
('SL22517-2022-11-02-708','S30-12','uaJFTN', 'LB')
('SL22517-2022-11-01-727','S31-7','KZRZlnf', 'SL')
('AC22517-2022-11-02-738','A41-18','ETlICemkU', 'SU')
('SL22517-2022-11-01-729','S31-9','JYpKEtM', 'LB')
('AC22517-2022-11-01-709','A40-7','gfiO', 'LB')
('SL22517-2022-11-02-712','S30-16','JHqDFqnVekefuRYE', 'SU')
('SL22517-2022-11-01-732','S31-12','p', 'LB')
('SL04652-2022-11-02-726','S31-6','UGVjOn', 'UB')
('AC04652-2022-11-01-749','A42-11','EmWNmJxVCG', 'SL')
('AC22517-2022-11-02-743','A42-5','QuHWgzz', 'SL')
('AC22517-2022-11-01-715','A40-13','R', 'LB')
('AC12058-2022-11-01-706','A40-4','ZKgdZtWtN', 'UB')
('AC22517-2022-11-02-750','A42-12','v', 'SU')
('AC22517-2022-11-01-721','A41-1','AVON', 'LB')
('AC22517-2022-11-02-751','A42-13','RBsUhMwUPGGYsOD', 'LB')
('SL22517-2022-11-02-725','S31-5','BR', 'MB')
('AC04652-2022-11-02-791','A44-17','ScNy', 'SL')
('AC04652-2022-11-01-754','A42-16','ntt', 'UB')
('AC12058-2022-11-01-714','A40-12','uKAhg', 'SU')
('AC22517-2022-11-02-752','A42-14','krfBRfhflj', 'LB')
('SL12058-2022-11-01-742','S31-22','d', 'UB')
('AC04652-2022-11-01-756','A42-18','ksvHoM', 'SU')
('AC12058-2022-11-01-716','A40-14','OW', 'LB')
('SL04652-2022-11-02-738','S31-18','RzfIYtCySGk', 'MB')
('SL22517-2022-11-01-747','S32-3','vzOSHTqrijmnHFon', 'UB')
('SL04652-2022-11-02-739','S31-19','KBCbsqbnK', 'UB')
('SL22517-2022-11-02-730','S31-10','bW', 'MB')
('AC22517-2022-11-02-755','A42-17','sNQyaMHAmuZKzI', 'SL')
('SL04652-2022-11-01-748','S32-4','VLJFD', 'LB')
('SL04652-2022-11-01-749','S32-5','JmaSEcPku', 'MB')
('AC22517-2022-11-02-757','A43-1','JJ', 'LB')
('SL04652-2022-11-01-750','S32-6','m', 'UB')
('SL22517-2022-11-02-735','S31-15','eDBWVlgOxuiBkeAk', 'SL')
('SL04652-2022-11-01-751','S32-7','YIyCrSviYOHmvUrj', 'SL')
('SL12058-2022-11-01-749','S32-5','NI', 'MB')
('AC12058-2022-11-01-721','A41-1','YAazqVwiyUzFiAE', 'LB')
('AC04652-2022-11-02-799','A45-7','EiMcNAdNkJHuPaQ', 'LB')
('SL22517-2022-11-01-752','S32-8','CiAzWczHbj', 'SU')
('SL12058-2022-11-01-751','S32-7','lgwZjdFwNzsjrR', 'SL')
('AC12058-2022-11-01-723','A41-3','NyncfOkH', 'UB')
('AC12058-2022-11-01-724','A41-4','jgiIovRdxEUh', 'UB')
('SL04652-2022-11-01-758','S32-14','TEVKQtdSc', 'UB')
('AC22517-2022-11-02-762','A43-6','ZNDwcSjTrhgwFQ', 'SU')
('SL22517-2022-11-01-758','S32-14','ikDoVxEPqYkB', 'UB')
('AC04652-2022-11-01-768','A43-12','OuBVJzVmBTj', 'SU')
('SL22517-2022-11-01-760','S32-16','hunzVHEYIJoGH', 'SU')
('SL22517-2022-11-02-748','S32-4','rWCWDpc', 'LB')
('AC04652-2022-11-01-771','A43-15','NRvQKRqH', 'UB')
('SL22517-2022-11-02-749','S32-5','Nw', 'MB')
('SL04652-2022-11-02-752','S32-8','ASoFf', 'SU')
('SL22517-2022-11-02-750','S32-6','qDTGW', 'UB')
('SL04652-2022-11-01-767','S32-23','dAKnDtiph', 'SL')
('SL22517-2022-11-02-752','S32-8','HKqcyVZwFicfXkyD', 'SU')
('SL12058-2022-11-01-760','S32-16','wRTMHNHrWm', 'SU')
('AC04652-2022-11-01-775','A44-1','yOLLhHcNPCoJkul', 'LB')
('AC22517-2022-11-02-772','A43-16','pclkcfgxPXc', 'UB')
('SL22517-2022-11-02-756','S32-12','GwxqQCxVVK', 'LB')
('SL12058-2022-11-01-763','S32-19','BTLVPnDtGnVdhY', 'UB')
('SL22517-2022-11-02-757','S32-13','SfZeVDiyWahvBPw', 'MB')
('SL12058-2022-11-01-765','S32-21','LBuNBjNetuGxun', 'MB')
('SL22517-2022-11-02-758','S32-14','zgYVnjJDPPTJCK', 'UB')
('SL04652-2022-11-02-755','S32-11','OGmXtecTAf', 'UB')
('SL04652-2022-11-01-773','S33-5','e', 'MB')
('AC04652-2022-11-02-817','A46-7','HOxT', 'LB')
('AC04652-2022-11-02-820','A46-10','ZwC', 'UB')
('SL22517-2022-11-01-776','S33-8','sQPkLupMnCRhuk', 'SU')
('AC12058-2022-11-01-745','A42-7','dHCIULLcatWb', 'LB')
('AC22517-2022-11-01-746','A42-8','MPgdlqwucZPXcIJU', 'LB')
('SL22517-2022-11-02-770','S33-2','EjaW', 'MB')
('AC12058-2022-11-01-748','A42-10','aeXtTPmbAOMnWxF', 'UB')
('SL12058-2022-11-01-776','S33-8','UZBunSMxFJzYHIU', 'SU')
('SL04652-2022-11-02-773','S33-5','pnXmKR', 'MB')
('SL04652-2022-11-02-774','S33-6','sipsMvOrnlDaMJ', 'UB')
('SL12058-2022-11-01-779','S33-11','NGUweLjjCYDSGzXP', 'UB')
('AC12058-2022-11-01-752','A42-14','TfBkNYJRcLj', 'LB')
('SL12058-2022-11-01-782','S33-14','uoFAMsVYvaMtsHF', 'UB')
('SL22517-2022-11-02-778','S33-10','nOoeNwSeTywgugF', 'MB')
('SL04652-2022-11-02-777','S33-9','xiTyHh', 'LB')
('AC04652-2022-11-01-790','A44-16','UtEJTpRMHEQUrrrE', 'UB')
('SL04652-2022-11-01-787','S33-19','tNiMQZNoUFy', 'UB')
('AC22517-2022-11-02-794','A45-2','yJDaXTxVdipoBiz', 'LB')
('AC22517-2022-11-02-797','A45-5','wCCJFz', 'SL')
('SL04652-2022-11-01-788','S33-20','cGjBVfMniApvf', 'LB')
('SL04652-2022-11-02-784','S33-16','ONgPMkMvvfTod', 'SU')
('SL22517-2022-11-01-801','S34-9','peXpzQqRey', 'LB')
('AC04652-2022-11-02-843','A47-15','McqvQsdxpF', 'UB')
('SL04652-2022-11-01-789','S33-21','FnWNJGpkTY', 'MB')
('SL04652-2022-11-02-789','S33-21','zYbXjjtOrGrXLtwa', 'MB')
('AC04652-2022-11-02-847','A48-1','vJkNnyMXpc', 'LB')
('SL22517-2022-11-01-806','S34-14','KyBJDTniwDmJzVjF', 'UB')
('SL12058-2022-11-01-795','S34-3','ENPAZJzjx', 'UB')
('SL12058-2022-11-01-796','S34-4','Mbj', 'LB')
('AC12058-2022-11-01-767','A43-11','rNkD', 'SL')
('SL04652-2022-11-02-800','S34-8','RDBzXcpB', 'SU')
('SL12058-2022-11-01-800','S34-8','xXt', 'SU')
('SL04652-2022-11-01-798','S34-6','WYIUbxeHUFPgA', 'UB')
('SL04652-2022-11-02-803','S34-11','NHa', 'UB')
('AC12058-2022-11-01-770','A43-14','YEdAQAKnRhePlCg', 'LB')
('AC04652-2022-11-02-854','A48-8','rsRWOvZwuqDyV', 'LB')
('SL04652-2022-11-01-801','S34-9','SRBpeAbWiKPdfde', 'LB')
('SL22517-2022-11-01-823','S35-7','wukoBLksnSat', 'SL')
('SL04652-2022-11-01-820','S35-4','Vdbfpa', 'LB')
('AC22517-2022-11-01-812','A46-2','WLxTtC', 'LB')
('SL22517-2022-11-02-828','S35-12','xLJUYfOJewZgSe', 'LB')
('SL12058-2022-11-01-821','S35-5','VnBmW', 'MB')
('SL04652-2022-11-01-824','S35-8','DDGfcIIrXR', 'SU')
('AC04652-2022-11-01-835','A47-7','q', 'LB')
('AC04652-2022-11-02-891','A50-9','maerrbIFaM', 'UB')
('AC22517-2022-11-02-846','A47-18','mdnnNqUfmCbXrIhm', 'SU')
('SL04652-2022-11-01-832','S35-16','obalY', 'SU')
('SL12058-2022-11-01-838','S35-22','qwtGNVramH', 'UB')
('SL04652-2022-11-01-834','S35-18','sShj', 'MB')
('SL04652-2022-11-02-838','S35-22','PelpxpDbIo', 'UB')
('AC04652-2022-11-02-896','A50-14','MvvaprKkmba', 'LB')
('SL22517-2022-11-02-845','S36-5','lYZeHunhyUDVEpr', 'MB')
('AC12058-2022-11-01-815','A46-5','FiMPdTOR', 'SL')
('AC12058-2022-11-01-816','A46-6','tCQwFWGGK', 'SU')
