('AC22517-2022-11-01-4506','A251-6','qxfgCwBRz', 'SU')
('AC12058-2022-11-01-4546','A253-10','wA', 'UB')
('AC04652-2022-11-01-4722','A263-6','zWjllFI', 'SU')
('SL22517-2022-11-01-4476','S187-12','XLUNtpK', 'LB')
('SL04652-2022-11-02-4522','S189-10','ieDWbyXC', 'MB')
('AC22517-2022-11-02-4574','A255-2','jJojOOTmOTfFFKb', 'LB')
('SL04652-2022-11-01-4496','S188-8','gMzUHri', 'SU')
('AC04652-2022-11-01-4742','A264-8','G', 'LB')
('AC04652-2022-11-01-4743','A264-9','LdWipAcwrJtcR', 'UB')
('SL12058-2022-11-01-4459','S186-19','Y', 'UB')
('SL22517-2022-11-01-4510','S188-22','WReIRySFHmrlHia', 'UB')
('SL22517-2022-11-02-4471','S187-7','paeDy', 'SL')
('SL12058-2022-11-01-4462','S186-22','L', 'UB')
('SL22517-2022-11-02-4472','S187-8','eV', 'SU')
('SL22517-2022-11-01-4512','S188-24','JJmcxVLHvnc', 'SU')
('SL04652-2022-11-02-4562','S191-2','DLivstvOSu', 'MB')
('AC22517-2022-11-02-4614','A257-6','ewRkKzjnq', 'SU')
('AC04652-2022-11-02-4593','A256-3','tXDXqTzvuGvH', 'UB')
('SL22517-2022-11-01-4522','S189-10','NrCGhcHRLA', 'MB')
('AC04652-2022-11-01-4772','A266-2','ydrebRjQ', 'LB')
('AC04652-2022-11-01-4773','A266-3','SxjtPGdbnnWhN', 'UB')
('SL22517-2022-11-01-4524','S189-12','RbBMvNrErWU', 'LB')
('SL12058-2022-11-01-4480','S187-16','ecpGsmSFLhXq', 'SU')
('AC22517-2022-11-01-4633','A258-7','nbh', 'LB')
('AC04652-2022-11-02-4609','A257-1','aqkFnHbvvJctSCfY', 'LB')
('SL12058-2022-11-01-4485','S187-21','gYtoMApclM', 'MB')
('SL22517-2022-11-02-4501','S188-13','tLjQ', 'MB')
('AC12058-2022-11-01-4609','A257-1','hVrMyhlzbWqrary', 'LB')
('AC04652-2022-11-02-4619','A257-11','cfRwCoQUNh', 'SL')
('AC12058-2022-11-01-4611','A257-3','TlGeoViboNh', 'UB')
('AC22517-2022-11-01-4646','A259-2','XOawotjvNgXpzzr', 'LB')
('SL04652-2022-11-02-4590','S192-6','wVdrElZNcS', 'UB')
('SL22517-2022-11-02-4507','S188-19','TzEmZBTCoBIoT', 'UB')
('SL04652-2022-11-02-4592','S192-8','SKxLbmJNTxv', 'SU')
('AC04652-2022-11-01-4797','A267-9','mhcqcWopzBOvg', 'UB')
('AC04652-2022-11-01-4798','A267-10','ZhqMGzq', 'UB')
('AC12058-2022-11-01-4619','A257-11','oFMFrPEkGLCyEtg', 'SL')
('SL12058-2022-11-01-4504','S188-16','lGh', 'SU')
('SL22517-2022-11-02-4514','S189-2','fW', 'MB')
('SL04652-2022-11-01-4553','S190-17','FcOkpwoawPYK', 'LB')
('AC04652-2022-11-01-4804','A267-16','Z', 'UB')
('SL22517-2022-11-02-4516','S189-4','WYMEgTnyt', 'LB')
('SL12058-2022-11-01-4512','S188-24','IwCWqMiJtmvs', 'SU')
('AC22517-2022-11-01-4664','A260-2','AMWNGiBAmxFPQTT', 'LB')
('SL12058-2022-11-01-4516','S189-4','ldLpbMGCslyFPnVZ', 'LB')
('AC12058-2022-11-01-4631','A258-5','OLFqbBBqp', 'SL')
('SL04652-2022-11-01-4560','S190-24','JmDXo', 'SU')
('SL22517-2022-11-01-4555','S190-19','JrZznBXWxNIiIDh', 'UB')
('AC04652-2022-11-02-4639','A258-13','kkgcndaRclpFT', 'LB')
('SL12058-2022-11-01-4520','S189-8','I', 'SU')
('SL22517-2022-11-02-4543','S190-7','jfUstVfIUPj', 'SL')
('AC12058-2022-11-01-4646','A259-2','ZPC', 'LB')
('AC04652-2022-11-02-4662','A259-18','HySjUyrlXqYIIjQb', 'SU')
('AC12058-2022-11-01-4659','A259-15','eFUJdYSXcKFf', 'UB')
('SL22517-2022-11-01-4603','S192-19','lSZFqBQLoGYGuux', 'UB')
('SL22517-2022-11-02-4580','S191-20','CfhK', 'LB')
('SL22517-2022-11-02-4584','S191-24','sOQPQMONjIboFA', 'SU')
('AC04652-2022-11-01-4939','A275-7','QWcmRr', 'LB')
('SL12058-2022-11-01-4626','S193-18','ZJpWaHmcm', 'MB')
('AC04652-2022-11-01-4949','A275-17','rztADmtuAdjehFyR', 'SL')
('SL04652-2022-11-02-4713','S197-9','pcgUlcXYWU', 'LB')
('AC22517-2022-11-01-4775','A266-5','jLmMiU', 'SL')
('SL04652-2022-11-02-4716','S197-12','vSyWkxpePGv', 'LB')
('AC22517-2022-11-01-4777','A266-7','MKeUUVkavC', 'LB')
('SL12058-2022-11-01-4646','S194-14','GBcJNxrWActT', 'UB')
('AC04652-2022-11-01-4989','A278-3','egZRAjYNSGPid', 'UB')
('AC22517-2022-11-02-4836','A269-12','CUBAoxSD', 'SU')
('SL04652-2022-11-02-4777','S200-1','PVHDcKBsiQusw', 'LB')
('SL22517-2022-11-02-4722','S197-18','n', 'MB')
('AC04652-2022-11-01-5043','A281-3','ILwUmVhXTyaX', 'UB')
('SL04652-2022-11-02-4798','S200-22','aNAHqVtfzSS', 'UB')
('SL12058-2022-11-01-4725','S197-21','RLbzl', 'MB')
('AC04652-2022-11-02-4842','A269-18','FmLrMExiT', 'SU')
('SL12058-2022-11-01-4727','S197-23','PjBULiHKWPMa', 'SL')
('SL22517-2022-11-02-4735','S198-7','HtX', 'SL')
('AC12058-2022-11-01-4851','A270-9','BdWtDyyfz', 'UB')
('SL12058-2022-11-01-4728','S197-24','zhb', 'SU')
('SL22517-2022-11-02-4738','S198-10','BkhhDyQMDhAN', 'MB')
('AC12058-2022-11-01-4852','A270-10','f', 'UB')
('SL12058-2022-11-01-4732','S198-4','Mf', 'LB')
('AC04652-2022-11-01-5058','A281-18','yvbqWDaQoJX', 'SU')
('AC04652-2022-11-02-4846','A270-4','J', 'UB')
('SL04652-2022-11-02-4807','S201-7','nuMRIXKUGfiCuSa', 'SL')
('AC12058-2022-11-01-4857','A270-15','QRIppH', 'UB')
('SL12058-2022-11-01-4734','S198-6','NQZRUi', 'UB')
('AC22517-2022-11-02-4895','A272-17','YkVBZOozZrkVhm', 'SL')
('AC22517-2022-11-01-4868','A271-8','BlrEiSBKgqroIi', 'LB')
('SL04652-2022-11-01-4791','S200-15','YLy', 'SL')
('SL04652-2022-11-01-4794','S200-18','Mef', 'MB')
('SL22517-2022-11-01-4776','S199-24','TMmcYUcxsuYU', 'SU')
('AC12058-2022-11-01-4870','A271-10','ElrHSBGP', 'UB')
('AC22517-2022-11-02-4912','A273-16','Qhcr', 'UB')
('SL04652-2022-11-01-4808','S201-8','UDcBX', 'SU')
('SL22517-2022-11-01-4785','S200-9','vJObnOQsRwhLH', 'LB')
('SL22517-2022-11-01-4789','S200-13','WOSTAGIGMbTK', 'MB')
('SL04652-2022-11-02-4830','S202-6','yoQNcisoNbuRw', 'UB')
('AC12058-2022-11-01-4876','A271-16','Xz', 'UB')
('SL04652-2022-11-01-4814','S201-14','xaVGms', 'UB')
('AC12058-2022-11-01-4880','A272-2','bBPisoeNabFJaYou', 'LB')
('SL22517-2022-11-01-4804','S201-4','LQeFJmD', 'LB')
('SL04652-2022-11-02-4850','S203-2','NJNXHQqGColjMS', 'MB')
('SL22517-2022-11-01-4813','S201-13','j', 'MB')
('SL04652-2022-11-02-4853','S203-5','HrZrFfMb', 'MB')
('AC22517-2022-11-01-4905','A273-9','ouiacm', 'UB')
('AC04652-2022-11-02-4908','A273-12','qAiyuFvsF', 'SU')
('AC04652-2022-11-02-4965','A276-15','ReXaNSjnR', 'UB')
('SL04652-2022-11-01-4880','S204-8','J', 'SU')
('SL22517-2022-11-02-4867','S203-19','Muv', 'UB')
('SL22517-2022-11-02-4872','S203-24','hRJoWUg', 'SU')
('SL04652-2022-11-01-4899','S205-3','N', 'UB')
('AC04652-2022-11-01-5192','A289-8','Yqktsktrnxjaq', 'LB')
('SL22517-2022-11-01-4871','S203-23','aiYjWRZKEBCnNw', 'SL')
('SL12058-2022-11-01-4849','S203-1','POajoIaDe', 'LB')
('AC22517-2022-11-01-4988','A278-2','Sxh', 'LB')
('SL04652-2022-11-02-4923','S206-3','rWcuKKypXETkgGh', 'UB')
('AC22517-2022-11-01-4991','A278-5','cTh', 'SL')
('AC12058-2022-11-01-4979','A277-11','cNGlxCYuCsNNZ', 'SL')
('AC04652-2022-11-01-5216','A290-14','hHr', 'LB')
('SL12058-2022-11-01-4860','S203-12','GfqPgpoYjp', 'LB')
('AC22517-2022-11-01-5003','A278-17','JUVtM', 'SL')
('SL04652-2022-11-02-4938','S206-18','Ieasxiw', 'MB')
('SL12058-2022-11-01-4863','S203-15','ciWMKgRpXcvdz', 'SL')
('AC04652-2022-11-02-5020','A279-16','IjASqcsf', 'UB')
('SL22517-2022-11-02-4899','S205-3','LmvvMVrBrdsiO', 'UB')
('AC22517-2022-11-02-5045','A281-5','EZdodLnQnwWaU', 'SL')
('AC04652-2022-11-02-5025','A280-3','fFXAwxTqILfekRza', 'UB')
('SL04652-2022-11-01-4926','S206-6','XTmoIkUDPf', 'UB')
('SL04652-2022-11-01-4927','S206-7','xKYVwnrhnbdgTlB', 'SL')
('SL12058-2022-11-01-4872','S203-24','nKFstKIurRmSl', 'SU')
('AC12058-2022-11-01-4990','A278-4','Tboa', 'UB')
('AC22517-2022-11-02-5051','A281-11','uO', 'SL')
('SL22517-2022-11-02-4914','S205-18','k', 'MB')
('SL04652-2022-11-02-4949','S207-5','yCOu', 'MB')
('SL22517-2022-11-02-4917','S205-21','ygNK', 'MB')
('SL04652-2022-11-02-4952','S207-8','axnWcUaOjIfE', 'SU')
('AC22517-2022-11-02-5077','A283-1','JHhRbTqmLnxjPX', 'LB')
('SL22517-2022-11-01-4931','S206-11','DsSxs', 'UB')
('AC22517-2022-11-02-5098','A284-4','QjuNESHkD', 'UB')
('AC04652-2022-11-02-5082','A283-6','kSZqnKRIBT', 'SU')
('AC22517-2022-11-02-5100','A284-6','CWGKLFnpyLra', 'SU')
('SL22517-2022-11-01-4949','S207-5','vqqb', 'MB')
('AC04652-2022-11-02-5086','A283-10','cVrXYhJeRpXYl', 'UB')
('SL04652-2022-11-01-4968','S207-24','rtyAilnC', 'SU')
('AC04652-2022-11-02-5088','A283-12','zxCQZIPeHRSu', 'SU')
('AC12058-2022-11-01-5051','A281-11','ZrOAJSHDYsLnZE', 'SL')
('SL22517-2022-11-01-4967','S207-23','ZQIQvVBgKe', 'SL')
('AC22517-2022-11-01-5093','A283-17','pQ', 'SL')
('AC22517-2022-11-01-5094','A283-18','lstLfPku', 'SU')
('SL04652-2022-11-02-5037','S210-21','zRJFxMALLd', 'MB')
('AC12058-2022-11-01-5072','A282-14','uRkIquIWt', 'LB')
('SL22517-2022-11-01-4984','S208-16','oDLiURDAWV', 'SU')
('SL22517-2022-11-01-4997','S209-5','nukN', 'MB')
('AC12058-2022-11-01-5087','A283-11','wWnvR', 'SL')
('AC22517-2022-11-02-5198','A289-14','ivYvRdsBFfC', 'LB')
('AC12058-2022-11-01-5122','A285-10','vKjKp', 'UB')
('SL04652-2022-11-02-5095','S213-7','cwoBfOM', 'SL')
('SL12058-2022-11-01-5004','S209-12','HfICX', 'LB')
('SL22517-2022-11-02-5073','S212-9','qeMMrXXBydA', 'LB')
('SL22517-2022-11-01-5051','S211-11','rOd', 'UB')
('SL22517-2022-11-01-5052','S211-12','hFDaKIhfhKYXNT', 'LB')
('AC12058-2022-11-01-5154','A287-6','U', 'SU')
('SL04652-2022-11-01-5090','S213-2','FFthWmmKIbyYzSYn', 'MB')
('SL04652-2022-11-01-5091','S213-3','UvhBKbUfXZrSH', 'UB')
('SL12058-2022-11-01-5028','S210-12','WDaWGjTyCjqWeG', 'LB')
('AC22517-2022-11-01-5181','A288-15','nXScbCn', 'UB')
('AC04652-2022-11-01-5395','A300-13','ixWWOjp', 'LB')
('SL22517-2022-11-02-5099','S213-11','l', 'UB')
('AC22517-2022-11-01-5183','A288-17','oEyF', 'SL')
('SL04652-2022-11-02-5134','S214-22','BXLBcZa', 'UB')
('SL22517-2022-11-02-5127','S214-15','GRHxJICNFlRe', 'SL')
('SL04652-2022-11-02-5167','S216-7','hCCpGeH', 'SL')
('AC22517-2022-11-01-5260','A293-4','OYQK', 'UB')
('SL12058-2022-11-01-5107','S213-19','va', 'UB')
('AC04652-2022-11-02-5285','A294-11','wjvRAQgajcp', 'SL')
('AC04652-2022-11-02-5286','A294-12','fsElLFxGxut', 'SU')
('AC12058-2022-11-01-5244','A292-6','bPmnuiEzG', 'SU')
('AC22517-2022-11-02-5294','A295-2','uKdKvuIWi', 'LB')
('SL04652-2022-11-02-5262','S220-6','bcPajbdL', 'UB')
('AC22517-2022-11-02-5338','A297-10','YzBkrKPEGAtDN', 'UB')
('SL22517-2022-11-02-5219','S218-11','UESx', 'UB')
('AC12058-2022-11-01-5297','A295-5','aDOlDLFHuEuKF', 'SL')
('SL04652-2022-11-01-5216','S218-8','XHZHWNnpDd', 'SU')
('SL04652-2022-11-02-5271','S220-15','bqI', 'SL')
('SL22517-2022-11-01-5199','S217-15','JFSpjcXPQvAOI', 'SL')
('AC04652-2022-11-02-5371','A299-7','hnXtkdayW', 'LB')
('SL12058-2022-11-01-5216','S218-8','AhMsmu', 'SU')
('SL12058-2022-11-01-5218','S218-10','oPauleuoOCRD', 'MB')
('AC04652-2022-11-01-5567','A310-5','FpMgsPXJiUjOJp', 'SL')
('AC04652-2022-11-01-5569','A310-7','dxLdDhcYrE', 'LB')
('SL04652-2022-11-02-5312','S222-8','UpHTxytROmMVr', 'SU')
('SL22517-2022-11-01-5236','S219-4','oTizaByrrjmT', 'LB')
('SL22517-2022-11-01-5240','S219-8','wBPdEPjokhMjqMrk', 'SU')
('AC22517-2022-11-01-5359','A298-13','YSdf', 'LB')
('AC04652-2022-11-02-5395','A300-13','NgZmeA', 'LB')
('AC22517-2022-11-01-5361','A298-15','lutzGqftGn', 'UB')
('SL04652-2022-11-01-5310','S222-6','iryO', 'UB')
('SL04652-2022-11-01-5311','S222-7','shyczTjodWWbW', 'SL')
('AC22517-2022-11-01-5427','A302-9','tAahGM', 'UB')
('SL04652-2022-11-01-5318','S222-14','TzUUOA', 'UB')
('AC22517-2022-11-02-5471','A304-17','FjonDMasAURgh', 'SL')
('SL04652-2022-11-01-5321','S222-17','Q', 'LB')
('SL22517-2022-11-01-5306','S222-2','Owy', 'MB')
('SL22517-2022-11-02-5347','S223-19','sNfKRwi', 'UB')
('AC22517-2022-11-02-5477','A305-5','fsnnZo', 'SL')
('AC04652-2022-11-01-5656','A315-4','Y', 'UB')
('AC22517-2022-11-01-5443','A303-7','SE', 'LB')
('SL22517-2022-11-02-5372','S224-20','AnfNZgPEhbrW', 'LB')
('AC04652-2022-11-01-5672','A316-2','ost', 'LB')
('SL04652-2022-11-01-5346','S223-18','PVNnCmTkgpAH', 'MB')
('AC12058-2022-11-01-5438','A303-2','sJBum', 'LB')
('AC12058-2022-11-01-5446','A303-10','ZyliOLceYK', 'UB')
('SL22517-2022-11-01-5336','S223-8','ioChfAtGcfocapDf', 'SU')
('AC12058-2022-11-01-5456','A304-2','nutJm', 'LB')
('SL22517-2022-11-01-5350','S223-22','NpmfkDtpTJh', 'UB')
('SL04652-2022-11-01-5365','S224-13','eHApCGhZESbCC', 'MB')
('AC04652-2022-11-01-5703','A317-15','aLxzugZZxsbp', 'UB')
('AC22517-2022-11-01-5494','A306-4','VhgMuzwHnPjwKdqC', 'UB')
('AC22517-2022-11-01-5511','A307-3','uWWDNpxjRuPxPk', 'UB')
('AC22517-2022-11-02-5553','A309-9','IorRAEVygzolsGW', 'UB')
('AC12058-2022-11-01-5525','A307-17','ZGicSyhaX', 'SL')
('SL22517-2022-11-02-5448','S227-24','dUMyrrdVZ', 'SU')
('SL04652-2022-11-01-5428','S227-4','KW', 'LB')
('AC12058-2022-11-01-5533','A308-7','uDpnamHijsuHMGE', 'LB')
('AC12058-2022-11-01-5534','A308-8','WGVlC', 'LB')
('AC22517-2022-11-01-5514','A307-6','BqXXeWV', 'SU')
('SL04652-2022-11-02-5490','S229-18','yF', 'MB')
('AC22517-2022-11-02-5578','A310-16','bDLyZRYbls', 'UB')
('AC04652-2022-11-02-5585','A311-5','b', 'SL')
('SL04652-2022-11-01-5438','S227-14','GNbB', 'UB')
('SL04652-2022-11-02-5500','S230-4','grxQzZgI', 'LB')
('AC22517-2022-11-01-5542','A308-16','hwKjPzGBcXttHV', 'UB')
('AC12058-2022-11-01-5559','A309-15','OcqVu', 'UB')
('SL04652-2022-11-01-5464','S228-16','qAkjZ', 'SU')
('SL04652-2022-11-02-5518','S230-22','FmoUsSswF', 'UB')
('AC04652-2022-11-02-5607','A312-9','dvPFjwXMgzyXbXo', 'UB')
('SL22517-2022-11-02-5491','S229-19','pvPRL', 'UB')
('SL12058-2022-11-01-5425','S227-1','NVKANJXFkVWNgdtN', 'LB')
('AC04652-2022-11-02-5613','A312-15','UXxWobfZFlfA', 'UB')
('AC12058-2022-11-01-5590','A311-10','buVPBT', 'UB')
('AC22517-2022-11-02-5618','A313-2','yyyIRONhXNPcJUGK', 'LB')
('AC04652-2022-11-01-5813','A323-17','Z', 'SL')
('SL04652-2022-11-02-5586','S233-18','L', 'MB')
('AC04652-2022-11-01-5865','A326-15','gbjrkYKgSf', 'UB')
('SL12058-2022-11-01-5512','S230-16','oyvPUmA', 'SU')
('AC22517-2022-11-01-5669','A315-17','NBreEIYBPYyUE', 'SL')
('SL22517-2022-11-01-5525','S231-5','BLzXBLPkRlMhvFsK', 'MB')
('AC04652-2022-11-02-5704','A317-16','cATVfF', 'UB')
('SL22517-2022-11-01-5526','S231-6','kFFrZwDZfL', 'UB')
('SL04652-2022-11-02-5605','S234-13','u', 'MB')
('AC22517-2022-11-02-5674','A316-4','V', 'UB')
('AC22517-2022-11-02-5691','A317-3','WBWPxDRhjfo', 'UB')
('SL22517-2022-11-01-5548','S232-4','tXuLtzjB', 'LB')
('SL22517-2022-11-01-5584','S233-16','xI', 'SU')
('AC04652-2022-11-02-5759','A320-17','YDPZwrxAAGDVlU', 'SL')
('SL12058-2022-11-01-5601','S234-9','KPzeht', 'LB')
('AC22517-2022-11-01-5762','A321-2','xCLdYgoR', 'LB')
('SL12058-2022-11-01-5603','S234-11','iNGxreU', 'UB')
('AC04652-2022-11-02-5806','A323-10','AUVlWxB', 'UB')
('SL12058-2022-11-01-5622','S235-6','xM', 'UB')
('AC04652-2022-11-02-5808','A323-12','QSGFnlOHpZCURdC', 'SU')
('SL12058-2022-11-01-5626','S235-10','hMeuBZ', 'MB')
('SL04652-2022-11-02-5719','S239-7','O', 'SL')
('SL22517-2022-11-01-5639','S235-23','BuDeHBQALXZU', 'SL')
('SL04652-2022-11-02-5727','S239-15','xMZbI', 'SL')
('SL12058-2022-11-01-5642','S236-2','MhsX', 'MB')
('SL22517-2022-11-02-5717','S239-5','srraGzuPtb', 'MB')
('SL04652-2022-11-02-5731','S239-19','fpqQ', 'UB')
('SL04652-2022-11-01-5681','S237-17','tKjtyVOZ', 'LB')
('AC04652-2022-11-01-6010','A334-16','OfOwLFQUq', 'UB')
('AC04652-2022-11-02-5831','A324-17','RWLhufgjoRqN', 'SL')
('SL22517-2022-11-01-5704','S238-16','UVyfNNE', 'SU')
('SL04652-2022-11-01-5731','S239-19','hTqfraVEc', 'UB')
('SL04652-2022-11-01-5732','S239-20','sPVWNkSbxPS', 'LB')
('SL12058-2022-11-01-5717','S239-5','iG', 'MB')
('AC12058-2022-11-01-5848','A325-16','CdjTdMGQGFIVxxI', 'UB')
('AC04652-2022-11-02-5915','A329-11','fBAFXHXsBepNC', 'SL')
('SL12058-2022-11-01-5718','S239-6','cywXcLLsqLXzkLfM', 'UB')
('SL04652-2022-11-02-5817','S243-9','TnDb', 'LB')
('AC04652-2022-11-02-5918','A329-14','Kjp', 'LB')
('SL22517-2022-11-01-5747','S240-11','cYjuwAULOpzlM', 'UB')
('AC12058-2022-11-01-5859','A326-9','FfdtiIDDv', 'UB')
('SL04652-2022-11-02-5836','S244-4','JsU', 'LB')
('SL22517-2022-11-02-5831','S243-23','GQuI', 'SL')
('AC04652-2022-11-02-5958','A331-18','KNV', 'SU')
('SL04652-2022-11-01-5809','S243-1','dzLlIGwQcUyzZCj', 'LB')
('SL22517-2022-11-01-5813','S243-5','JXZUWzr', 'MB')
('AC22517-2022-11-02-5952','A331-12','YQOIOwcIsdPhdMps', 'SU')
('AC04652-2022-11-02-6001','A334-7','IC', 'LB')
('SL22517-2022-11-01-5847','S244-15','IKwgxmaKIuaR', 'SL')
('AC12058-2022-11-01-5958','A331-18','selyKUTfcVu', 'SU')
('SL22517-2022-11-01-5853','S244-21','uljvrrlqWGD', 'MB')
('SL04652-2022-11-02-5949','S248-21','AbKyBlQGRoYZB', 'MB')
('AC22517-2022-11-01-6039','A336-9','DXw', 'UB')
('AC04652-2022-11-01-6280','A349-16','RSpTHyygUDsIman', 'UB')
('SL22517-2022-11-01-5926','S247-22','CdxHYmjZBAx', 'UB')
('SL04652-2022-11-01-5945','S248-17','wtonFOEavzxSEN', 'LB')
('AC22517-2022-11-01-6067','A338-1','LVnLJRBC', 'LB')
('AC04652-2022-11-02-6117','A340-15','iJwYtovGIYDx', 'UB')
('AC04652-2022-11-01-6314','A351-14','KFgGNNcCgCorTT', 'LB')
('SL22517-2022-11-01-5952','S248-24','HyW', 'SU')
('SL04652-2022-11-01-5950','S248-22','YIfzQye', 'UB')
('SL04652-2022-11-02-6039','S252-15','xEgfomOjOnvYcDw', 'SL')
('SL04652-2022-11-02-6040','S252-16','Zh', 'SU')
('SL04652-2022-11-01-5951','S248-23','lpiTZkv', 'SL')
('AC04652-2022-11-02-6120','A340-18','HbJVmSmUS', 'SU')
('SL12058-2022-11-01-5902','S246-22','qEtW', 'UB')
('AC12058-2022-11-01-6076','A338-10','sZdlwqCVyIACm', 'UB')
('SL22517-2022-11-02-6029','S252-5','UFxpk', 'MB')
('SL22517-2022-11-01-5957','S249-5','FgWstErQbQ', 'MB')
('SL22517-2022-11-01-6079','S254-7','XQIjJGA', 'SL')
('AC12058-2022-11-01-6198','A345-6','CNfW', 'SU')
('SL22517-2022-11-01-6085','S254-13','O', 'MB')
('AC04652-2022-11-01-6504','A362-6','n', 'SU')
('AC22517-2022-11-01-6251','A348-5','NlSKIKZsrXFY', 'SL')
('SL04652-2022-11-02-6183','S258-15','YhjXtO', 'SL')
('AC04652-2022-11-01-6510','A362-12','MBN', 'SU')
('SL22517-2022-11-01-6126','S256-6','WqoCqBUWEiYE', 'UB')
('AC12058-2022-11-01-6242','A347-14','FpLQoXcXHWkUje', 'LB')
('AC04652-2022-11-01-6524','A363-8','lNAO', 'LB')
('SL04652-2022-11-01-6161','S257-17','BDKa', 'LB')
('AC22517-2022-11-01-6304','A351-4','vfplQDXvMrtfYtre', 'UB')
('SL04652-2022-11-02-6243','S261-3','UCfsuvy', 'UB')
('SL04652-2022-11-01-6172','S258-4','tgFcxMMwtBwoPSa', 'LB')
('AC22517-2022-11-02-6312','A351-12','AEHTprEQthrS', 'SU')
('SL12058-2022-11-01-6115','S255-19','X', 'UB')
('SL04652-2022-11-01-6192','S258-24','rENj', 'SU')
('AC04652-2022-11-02-6349','A353-13','lbLCQHwLPVgj', 'LB')
('SL04652-2022-11-02-6277','S262-13','o', 'MB')
('AC22517-2022-11-02-6332','A352-14','cCOMQOLlr', 'LB')
('SL04652-2022-11-02-6279','S262-15','xlUEpF', 'SL')
('SL12058-2022-11-01-6131','S256-11','ChlCNlSrSa', 'UB')
('SL04652-2022-11-01-6247','S261-7','XHU', 'SL')
('AC22517-2022-11-01-6379','A355-7','SuNaOrqKa', 'LB')
('SL22517-2022-11-01-6252','S261-12','W', 'LB')
('AC04652-2022-11-02-6402','A356-12','ACznYizaZMkQL', 'SU')
('AC22517-2022-11-02-6373','A355-1','LMAzYyr', 'LB')
('SL22517-2022-11-02-6344','S265-8','GJhIW', 'SU')
('AC12058-2022-11-01-6389','A355-17','VRGGZmug', 'SL')
('SL04652-2022-11-01-6269','S262-5','bGPsihvyCZH', 'MB')
('AC12058-2022-11-01-6417','A357-9','woFZT', 'UB')
('AC04652-2022-11-02-6439','A358-13','SmSrwfdrViyWx', 'LB')
('AC04652-2022-11-02-6440','A358-14','oyY', 'LB')
('AC22517-2022-11-02-6444','A358-18','RxhWxLWwZoKAZrYs', 'SU')
('AC04652-2022-11-02-6479','A360-17','KUeta', 'SL')
