('SL04652-2022-11-02-3','S1-3','sTLPh', 'UB')
('AC22517-2022-11-02-226','A13-10','oRKbUXxXesndeY', 'UB')
('SL12058-2022-11-01-208','S9-16','EHTyRfznMvKT', 'SU')
('AC04652-2022-11-02-202','A12-4','u', 'UB')
('AC04652-2022-11-01-230','A13-14','vgdmQ', 'LB')
('SL04652-2022-11-01-223','S10-7','KIENQLwSRHxzMRpv', 'SL')
('SL04652-2022-11-02-199','S9-7','FVFbf', 'SL')
('SL04652-2022-11-02-201','S9-9','ojMCDMZupeqc', 'LB')
('SL12058-2022-11-01-298','S13-10','PFJ', 'MB')
('AC04652-2022-11-02-287','A16-17','rNUoVqXeSTpLVxV', 'SL')
('SL22517-2022-11-02-298','S13-10','LWXjRiFSWYAkVZfw', 'MB')
('AC12058-2022-11-01-318','A18-12','Suc', 'SU')
('AC04652-2022-11-02-296','A17-8','nqEJsXBkjFDOv', 'LB')
('SL22517-2022-11-02-303','S13-15','gHVdVyuzPem', 'SL')
('AC22517-2022-11-02-335','A19-11','yDhinoDKOWMXR', 'SL')
('AC12058-2022-11-01-320','A18-14','ERSQVFpkTh', 'LB')
('SL04652-2022-11-02-277','S12-13','sFmadJtZZre', 'MB')
('AC04652-2022-11-02-300','A17-12','IXyQnKBfIw', 'SU')
('SL04652-2022-11-02-281','S12-17','yjhiCgLa', 'LB')
('SL22517-2022-11-01-319','S14-7','OnijTAA', 'SL')
('SL04652-2022-11-01-309','S13-21','cTWdrokF', 'MB')
('AC04652-2022-11-02-304','A17-16','BROSqoFSdM', 'UB')
('SL22517-2022-11-02-311','S13-23','gvkpfo', 'SL')
('SL12058-2022-11-01-319','S14-7','KMnZ', 'SL')
('AC22517-2022-11-02-349','A20-7','JOfYRtts', 'LB')
('SL12058-2022-11-01-321','S14-9','qRpLbtYsEB', 'LB')
('AC04652-2022-11-02-317','A18-11','DM', 'SL')
('SL04652-2022-11-01-317','S14-5','dYPoyDCsvmM', 'MB')
('SL22517-2022-11-02-321','S14-9','ExdUEkx', 'LB')
('SL22517-2022-11-02-322','S14-10','LoxwcWPithp', 'MB')
('AC22517-2022-11-01-417','A24-3','KIJeiBTsjrs', 'UB')
('SL22517-2022-11-02-447','S19-15','LRttOzTJdd', 'SL')
('SL22517-2022-11-01-457','S20-1','uRcb', 'LB')
('SL04652-2022-11-01-449','S19-17','YUALPoQ', 'LB')
('SL04652-2022-11-01-450','S19-18','ioi', 'MB')
('SL04652-2022-11-01-451','S19-19','jFxyKPGRulhnaqg', 'UB')
('SL12058-2022-11-01-471','S20-15','MAX', 'SL')
('AC22517-2022-11-01-420','A24-6','BLgZLHsgkPJWqDSX', 'SU')
('SL04652-2022-11-02-423','S18-15','bKM', 'SL')
('SL04652-2022-11-02-425','S18-17','SdzexfheNDG', 'LB')
('SL04652-2022-11-02-428','S18-20','cXuFZMiEpzBY', 'LB')
('SL04652-2022-11-01-458','S20-2','UYAMhUFXzugk', 'MB')
('AC04652-2022-11-02-479','A27-11','ClrdBMhv', 'SL')
('SL04652-2022-11-02-431','S18-23','UsjJGGSQk', 'SL')
('SL22517-2022-11-02-462','S20-6','yMISQrdsW', 'UB')
('AC04652-2022-11-02-489','A28-3','hOZXANBhWi', 'UB')
('SL22517-2022-11-02-475','S20-19','wwFKWvbwdRvnSQe', 'UB')
('SL22517-2022-11-01-479','S20-23','bOOQSZGRwUiwEYfr', 'SL')
('SL04652-2022-11-02-454','S19-22','JwH', 'UB')
('SL22517-2022-11-01-483','S21-3','kmnVq', 'UB')
('AC22517-2022-11-01-443','A25-11','uLLISAMILw', 'SL')
('AC12058-2022-11-01-525','A30-3','SrJjUSrYmUO', 'UB')
('AC22517-2022-11-01-445','A25-13','PZdFHcCfgcMe', 'LB')
('SL12058-2022-11-01-492','S21-12','XQykYZDV', 'LB')
('AC22517-2022-11-01-450','A25-18','Dyx', 'SU')
('AC22517-2022-11-01-451','A26-1','zPLtgAhDP', 'LB')
('SL04652-2022-11-01-487','S21-7','GaBndnhkf', 'SL')
('SL22517-2022-11-02-520','S22-16','WhUVo', 'SU')
('SL22517-2022-11-02-521','S22-17','yk', 'LB')
('SL22517-2022-11-01-525','S22-21','UIwcTYgCOSFUNm', 'MB')
('SL22517-2022-11-02-523','S22-19','bFVGsQUp', 'UB')
('SL04652-2022-11-01-518','S22-14','ChwBAh', 'UB')
('AC22517-2022-11-01-480','A27-12','OIC', 'SU')
('AC04652-2022-11-02-539','A30-17','xjG', 'SL')
('SL04652-2022-11-01-522','S22-18','NIfhdHsvmbu', 'MB')
('SL12058-2022-11-01-530','S23-2','AAuWqCAxCoMFe', 'MB')
('AC04652-2022-11-01-537','A30-15','JqkFjwsD', 'UB')
('AC12058-2022-11-01-570','A32-12','KJzbGv', 'SU')
('SL04652-2022-11-01-525','S22-21','fMKRFRaUNZsXwjN', 'MB')
('SL22517-2022-11-01-532','S23-4','YFXkBzWPOTD', 'LB')
('SL04652-2022-11-01-527','S22-23','ILyH', 'SL')
('SL04652-2022-11-02-497','S21-17','WtpfZxUVcBNTlVQh', 'LB')
('SL12058-2022-11-01-538','S23-10','TzUyRPZmAdUCl', 'MB')
('AC22517-2022-11-01-494','A28-8','Qfan', 'LB')
('AC22517-2022-11-02-608','A34-14','DuJq', 'LB')
('SL22517-2022-11-02-551','S23-23','ZBv', 'SL')
('SL22517-2022-11-02-552','S23-24','TsBudWFpTQEizk', 'SU')
('AC04652-2022-11-02-563','A32-5','JpYjGrxHKbBOvq', 'SL')
('SL04652-2022-11-01-555','S24-3','ELkvMv', 'UB')
('AC04652-2022-11-02-570','A32-12','qCRLkATejkjiT', 'SU')
('SL12058-2022-11-01-565','S24-13','wZ', 'MB')
('SL12058-2022-11-01-566','S24-14','HWvhiAl', 'UB')
('AC04652-2022-11-02-576','A32-18','oQxv', 'SU')
('AC04652-2022-11-02-577','A33-1','C', 'LB')
('SL12058-2022-11-01-569','S24-17','NvtjxT', 'LB')
('SL12058-2022-11-01-570','S24-18','Ejl', 'MB')
('AC04652-2022-11-01-575','A32-17','yGWfQTxNoycdLs', 'SL')
('SL04652-2022-11-01-565','S24-13','DFDjDpvnXnrTVzl', 'MB')
('SL04652-2022-11-01-570','S24-18','NXNgQRPSp', 'MB')
('AC04652-2022-11-02-587','A33-11','md', 'SL')
('SL04652-2022-11-02-530','S23-2','BHhqKgn', 'MB')
('AC22517-2022-11-02-625','A35-13','EiPZFmyXp', 'LB')
('AC04652-2022-11-01-578','A33-2','sdLpIxcxASbvyM', 'LB')
('AC22517-2022-11-01-533','A30-11','lLwvLSUfh', 'SL')
('SL04652-2022-11-02-536','S23-8','mgBhzE', 'SU')
('AC04652-2022-11-01-583','A33-7','onQSUzttgC', 'LB')
('AC22517-2022-11-01-536','A30-14','UoxzMmILk', 'LB')
('AC04652-2022-11-01-588','A33-12','UrjpGDhVuRUp', 'SU')
('AC22517-2022-11-02-640','A36-10','MkxbPOS', 'UB')
('SL22517-2022-11-01-599','S25-23','soOxYXoBW', 'SL')
('SL22517-2022-11-01-600','S25-24','SlBgDTIktcY', 'SU')
('AC04652-2022-11-02-607','A34-13','nXYDxEjtESM', 'LB')
('SL22517-2022-11-01-607','S26-7','vFHCJLsAWl', 'SL')
('SL04652-2022-11-02-545','S23-17','HiglzMuhuuuWLnIc', 'LB')
('AC22517-2022-11-01-551','A31-11','XHr', 'SL')
('SL22517-2022-11-02-588','S25-12','tBCYrNqoPfFkjYzB', 'LB')
('AC22517-2022-11-01-553','A31-13','DO', 'LB')
('SL04652-2022-11-01-601','S26-1','qCoyBHtGwkiKkZd', 'LB')
('SL22517-2022-11-01-616','S26-16','d', 'SU')
('AC04652-2022-11-02-614','A35-2','XekF', 'LB')
('AC22517-2022-11-01-555','A31-15','MYYRAIKESUivXsHf', 'UB')
('AC22517-2022-11-01-556','A31-16','PXVqtzeWc', 'UB')
('AC22517-2022-11-02-702','A39-18','tKntZJAq', 'SU')
('SL12058-2022-11-01-658','S28-10','bJzSkBHtqPx', 'MB')
('SL22517-2022-11-01-672','S28-24','uVwKDkihGnmEU', 'SU')
('SL12058-2022-11-01-659','S28-11','KomqBfim', 'UB')
('SL22517-2022-11-01-673','S29-1','asVXkBGOis', 'LB')
('AC12058-2022-11-01-682','A38-16','OYRl', 'UB')
('SL04652-2022-11-02-627','S27-3','IzCifuFJybwhUsua', 'UB')
('SL22517-2022-11-02-661','S28-13','V', 'MB')
('SL22517-2022-11-02-662','S28-14','kUGzb', 'UB')
('SL12058-2022-11-01-669','S28-21','EvWu', 'MB')
('SL04652-2022-11-02-634','S27-10','maGmUIWrT', 'MB')
('SL04652-2022-11-01-677','S29-5','NyjvqWFfOgHe', 'MB')
('SL04652-2022-11-01-679','S29-7','YfjkCB', 'SL')
('SL04652-2022-11-02-639','S27-15','quHcDHkOhsOKa', 'SL')
('SL22517-2022-11-01-684','S29-12','maDBozGhkHXg', 'LB')
('SL22517-2022-11-02-670','S28-22','LrTumnwiKMQe', 'UB')
('SL04652-2022-11-01-681','S29-9','QrFefBQstsGPviLt', 'LB')
('SL22517-2022-11-02-672','S28-24','SoPcavidCByp', 'SU')
('SL22517-2022-11-01-687','S29-15','dnrYxysooCWDocm', 'SL')
('AC12058-2022-11-01-690','A39-6','zPMotgZp', 'SU')
('AC12058-2022-11-01-691','A39-7','R', 'LB')
('SL12058-2022-11-01-686','S29-14','yZwtE', 'UB')
('SL04652-2022-11-02-647','S27-23','O', 'SL')
('SL22517-2022-11-02-675','S29-3','Tih', 'UB')
('SL04652-2022-11-02-648','S27-24','DXIxFvpAgyd', 'SU')
('SL22517-2022-11-02-676','S29-4','ICkXgI', 'LB')
('AC04652-2022-11-01-684','A38-18','mcGvNvj', 'SU')
('AC04652-2022-11-02-683','A38-17','iCQX', 'SL')
('AC22517-2022-11-01-637','A36-7','gwXMyqvfBEh', 'LB')
('AC22517-2022-11-02-723','A41-3','K', 'UB')
('AC04652-2022-11-02-685','A39-1','QoUJWittYI', 'LB')
('SL04652-2022-11-01-695','S29-23','hpoOlYMjyDa', 'SL')
('SL12058-2022-11-01-697','S30-1','ekx', 'LB')
('SL22517-2022-11-01-701','S30-5','R', 'MB')
('SL04652-2022-11-01-699','S30-3','Q', 'UB')
('AC04652-2022-11-01-687','A39-3','AJklULgeNoEHOY', 'UB')
('SL22517-2022-11-02-685','S29-13','NRMBUNUqhzUPBVLj', 'MB')
('AC22517-2022-11-02-734','A41-14','ffIxlClBPsJkm', 'LB')
('SL22517-2022-11-01-713','S30-17','Y', 'LB')
('SL22517-2022-11-01-738','S31-18','blERmsBYr', 'MB')
('AC22517-2022-11-02-795','A45-3','Ith', 'UB')
('AC22517-2022-11-02-796','A45-4','fRFklRiniEveoBh', 'UB')
('SL22517-2022-11-01-764','S32-20','zslemQYyLw', 'LB')
('SL04652-2022-11-02-729','S31-9','LMQuKPGHKI', 'LB')
('SL12058-2022-11-01-779','S33-11','Uk', 'UB')
('AC04652-2022-11-02-760','A43-4','fwfJBCvnDIjb', 'UB')
('AC22517-2022-11-02-808','A45-16','SwwgaQRrDyssqTa', 'UB')
('AC22517-2022-11-02-810','A45-18','FKAdGHaAUG', 'SU')
('SL22517-2022-11-01-783','S33-15','YkkfrbkBXCAZds', 'SL')
('SL04652-2022-11-02-735','S31-15','kbuPirXFmXCktM', 'SL')
('AC12058-2022-11-01-787','A44-13','sjGaHBfJaNswge', 'LB')
('AC12058-2022-11-01-788','A44-14','jlICHzuUNNiPPeq', 'LB')
('SL22517-2022-11-01-784','S33-16','fEm', 'SU')
('SL04652-2022-11-01-779','S33-11','trmv', 'UB')
('SL22517-2022-11-01-786','S33-18','qxk', 'MB')
('AC22517-2022-11-02-820','A46-10','SMiQPluwfYzNSjz', 'UB')
('SL04652-2022-11-02-740','S31-20','SwxPfx', 'LB')
('SL12058-2022-11-01-817','S35-1','kNyqTB', 'LB')
('SL04652-2022-11-02-761','S32-17','P', 'LB')
('SL04652-2022-11-02-762','S32-18','Hz', 'MB')
('SL12058-2022-11-01-826','S35-10','ZATaTLaY', 'MB')
('AC04652-2022-11-01-812','A46-2','m', 'LB')
('SL04652-2022-11-01-815','S34-23','crswonW', 'SL')
('SL04652-2022-11-02-777','S33-9','titREBxwVWixco', 'LB')
('AC22517-2022-11-01-784','A44-10','PdvbW', 'UB')
('AC04652-2022-11-02-803','A45-11','SekteizeVmL', 'SL')
('AC22517-2022-11-02-866','A49-2','tyW', 'LB')
('AC12058-2022-11-01-832','A47-4','cLmBoCE', 'UB')
('AC22517-2022-11-02-867','A49-3','FsVuFfjSjM', 'UB')
('SL04652-2022-11-01-821','S35-5','BbdImooWETgUK', 'MB')
('AC22517-2022-11-01-790','A44-16','dkwRgRYaRFi', 'UB')
('SL22517-2022-11-01-833','S35-17','RwQUmu', 'LB')
('AC04652-2022-11-01-829','A47-1','GnWtLeHA', 'LB')
('AC04652-2022-11-02-812','A46-2','BFGoUePpz', 'LB')
('SL04652-2022-11-02-788','S33-20','BDoaHlmBASJhgMk', 'LB')
('SL04652-2022-11-01-829','S35-13','U', 'MB')
('AC22517-2022-11-01-794','A45-2','HfasbY', 'LB')
('SL04652-2022-11-01-830','S35-14','VVeZZsXhsDIqAs', 'UB')
('AC22517-2022-11-01-796','A45-4','Ovuh', 'UB')
('SL04652-2022-11-02-793','S34-1','oLnXxAdsiSN', 'LB')
('SL22517-2022-11-02-845','S36-5','re', 'MB')
('AC04652-2022-11-02-821','A46-11','SJkcfSdkrBiYDN', 'SL')
('AC04652-2022-11-01-859','A48-13','sVGCS', 'LB')
('AC22517-2022-11-02-894','A50-12','GfeJxwNFtYk', 'SU')
('AC12058-2022-11-01-858','A48-12','XrEfiGlZFAtVfO', 'SU')
('SL04652-2022-11-02-815','S34-23','ffekYHAXhnFqlDWk', 'SL')
('SL04652-2022-11-01-845','S36-5','LiPtXfNOYzbeaZq', 'MB')
('AC12058-2022-11-01-890','A50-8','hAJNeDlHqujWy', 'LB')
('AC04652-2022-11-01-901','A51-1','hLgs', 'LB')
('AC22517-2022-11-02-925','A52-7','dXLqKnLGHitStp', 'LB')
('AC04652-2022-11-02-873','A49-9','segWBLzlrN', 'UB')
('AC22517-2022-11-01-844','A47-16','zzJprIHKiwSn', 'UB')
('SL12058-2022-11-01-906','S38-18','XvwCCPeNsrAWatsW', 'MB')
('AC04652-2022-11-01-908','A51-8','cha', 'LB')
('AC04652-2022-11-01-909','A51-9','FyJKyQGUhWHY', 'UB')
('SL04652-2022-11-01-877','S37-13','bOXUoespQMt', 'MB')
('SL22517-2022-11-02-904','S38-16','NFa', 'SU')
('SL04652-2022-11-01-880','S37-16','wWjmwL', 'SU')
('SL12058-2022-11-01-914','S39-2','D', 'MB')
('AC12058-2022-11-01-899','A50-17','guoixtzHWxLr', 'SL')
('SL12058-2022-11-01-917','S39-5','WWImeDLEjUb', 'MB')
('SL04652-2022-11-01-883','S37-19','tXMOJJG', 'UB')
('SL12058-2022-11-01-947','S40-11','KtUOmpJhUsVenTRI', 'UB')
('AC12058-2022-11-01-923','A52-5','SLdFFsHFKH', 'SL')
('AC22517-2022-11-02-1014','A57-6','nsPkaSNNtFnIf', 'SU')
('AC22517-2022-11-02-1015','A57-7','vftfLhmNnJwk', 'LB')
('SL12058-2022-11-01-991','S42-7','ZndGKwG', 'SL')
('SL22517-2022-11-02-1001','S42-17','wBJTgqQYvy', 'LB')
('AC22517-2022-11-01-947','A53-11','nzaOn', 'SL')
('SL22517-2022-11-01-981','S41-21','JzEFTc', 'MB')
('AC04652-2022-11-02-960','A54-6','InsV', 'SU')
('SL04652-2022-11-02-928','S39-16','MPQBJmtSb', 'SU')
('AC22517-2022-11-02-1025','A57-17','aWlApxlq', 'SL')
('SL22517-2022-11-02-1015','S43-7','wKx', 'SL')
('SL22517-2022-11-02-1016','S43-8','FCWxDIMqeFgxS', 'SU')
('SL04652-2022-11-02-934','S39-22','IrhfAmjcT', 'UB')
('SL22517-2022-11-01-990','S42-6','TNKpoMt', 'UB')
('AC04652-2022-11-02-969','A54-15','VGCGMXj', 'UB')
('AC12058-2022-11-01-978','A55-6','r', 'SU')
('AC04652-2022-11-02-971','A54-17','rTKoczb', 'SL')
('SL04652-2022-11-02-938','S40-2','ibVLYJzKQc', 'MB')
('AC04652-2022-11-01-1000','A56-10','HCCXayrMJNf', 'UB')
('SL12058-2022-11-01-1007','S42-23','onBOK', 'SL')
('SL12058-2022-11-01-1008','S42-24','LDdz', 'SU')
('AC12058-2022-11-01-983','A55-11','nTLfNEzaTl', 'SL')
('SL22517-2022-11-02-1022','S43-14','Nivl', 'UB')
('AC12058-2022-11-01-984','A55-12','KhRoPVAMxjAt', 'SU')
('AC12058-2022-11-01-985','A55-13','NRIYik', 'LB')
('AC12058-2022-11-01-987','A55-15','bQ', 'UB')
('AC04652-2022-11-01-1003','A56-13','xVoNKgBycQwYzqAz', 'LB')
('SL12058-2022-11-01-1012','S43-4','uYWgwVGwtRYypgbX', 'LB')
('SL12058-2022-11-01-1013','S43-5','qODoQpBjTDFKAO', 'MB')
('AC12058-2022-11-01-989','A55-17','tA', 'SL')
('AC12058-2022-11-01-990','A55-18','aaeLYjtVkzIuon', 'SU')
('AC04652-2022-11-02-980','A55-8','qoHMCAosn', 'LB')
('AC22517-2022-11-01-967','A54-13','nqzkWiBJ', 'LB')
('AC04652-2022-11-01-1010','A57-2','hstIA', 'LB')
('AC22517-2022-11-02-1043','A58-17','zHhpfDbQSRX', 'SL')
('AC22517-2022-11-01-999','A56-9','lIZmArvscKcVjh', 'UB')
('AC22517-2022-11-01-1005','A56-15','eiTUOnwqCqAhfmv', 'UB')
('SL22517-2022-11-01-1039','S44-7','oeP', 'SL')
('SL04652-2022-11-02-980','S41-20','mrkzyXPF', 'LB')
('AC22517-2022-11-02-1104','A62-6','buO', 'SU')
('SL04652-2022-11-02-1026','S43-18','WljPKviFQ', 'MB')
('AC22517-2022-11-01-1049','A59-5','N', 'SL')
('SL04652-2022-11-01-1073','S45-17','KzD', 'LB')
('SL12058-2022-11-01-1078','S45-22','TQmdFhtwDGGKKaho', 'UB')
('SL04652-2022-11-02-1035','S44-3','Bewbcols', 'UB')
('SL04652-2022-11-01-1077','S45-21','OrmPKGjgHzRvaYGF', 'MB')
('SL12058-2022-11-01-1080','S45-24','kurSoLvn', 'SU')
('AC04652-2022-11-01-1110','A62-12','JGUDmVJ', 'SU')
('SL04652-2022-11-01-1094','S46-14','xOvKJjMBhMRDKkkF', 'UB')
('SL04652-2022-11-01-1095','S46-15','t', 'SL')
('SL04652-2022-11-01-1096','S46-16','jXXRzSXqGCkDQv', 'SU')
('SL04652-2022-11-01-1098','S46-18','egxdbkYbwaQwR', 'MB')
('SL04652-2022-11-02-1104','S46-24','BrpNrxARLvnbcE', 'SU')
('AC04652-2022-11-02-1119','A63-3','ghhAuaaqGqCcbyuR', 'UB')
('AC22517-2022-11-01-1122','A63-6','RCy', 'SU')
('SL22517-2022-11-02-1177','S50-1','RNNSOXtji', 'LB')
('AC12058-2022-11-01-1131','A63-15','RajJwTxxPKRVjGU', 'UB')
('AC04652-2022-11-01-1155','A65-3','UAKW', 'UB')
('AC12058-2022-11-01-1133','A63-17','QwuHE', 'SL')
('SL04652-2022-11-01-1144','S48-16','wGRqv', 'SU')
('SL12058-2022-11-01-1130','S48-2','ootSXNrWOX', 'MB')
('AC22517-2022-11-01-1132','A63-16','LzolzPsmuNohn', 'UB')
('SL04652-2022-11-01-1151','S48-23','Rc', 'SL')
('SL04652-2022-11-02-1118','S47-14','utecnVRdfsv', 'UB')
('SL22517-2022-11-01-1166','S49-14','SfoYoKOyAzHQY', 'UB')
('SL12058-2022-11-01-1149','S48-21','wYbZRhHZb', 'MB')
('AC22517-2022-11-01-1148','A64-14','AvpCK', 'LB')
('SL04652-2022-11-02-1128','S47-24','aQ', 'SU')
('AC12058-2022-11-01-1152','A64-18','oFFTkczeZzcFS', 'SU')
('AC04652-2022-11-01-1182','A66-12','EtqMJbt', 'SU')
('SL12058-2022-11-01-1155','S49-3','D', 'UB')
('SL04652-2022-11-01-1166','S49-14','WQTdFdbVneCPnL', 'UB')
('AC12058-2022-11-01-1158','A65-6','hwJemh', 'SU')
('SL22517-2022-11-02-1213','S51-13','aPtqAAmbJzNHxUu', 'MB')
('AC22517-2022-11-02-1205','A67-17','RcvKxMVnntWzK', 'SL')
('SL04652-2022-11-01-1176','S49-24','aNAK', 'SU')
('AC22517-2022-11-01-1165','A65-13','FriItBXTrbQD', 'LB')
('SL12058-2022-11-01-1188','S50-12','PFM', 'LB')
('AC04652-2022-11-02-1181','A66-11','mOTrjrtqaOGrIhg', 'SL')
('SL22517-2022-11-01-1208','S51-8','QWhtIrJsQjL', 'SU')
('AC12058-2022-11-01-1196','A67-8','nc', 'LB')
('SL12058-2022-11-01-1193','S50-17','HWzJuSJfk', 'LB')
('SL04652-2022-11-01-1246','S52-22','XxNdfKPPGcANtzrh', 'UB')
('SL22517-2022-11-01-1259','S53-11','TxY', 'UB')
('AC22517-2022-11-02-1273','A71-13','bHLLVOH', 'LB')
('AC22517-2022-11-01-1257','A70-15','RsHtPMLfQiLIrI', 'UB')
('SL04652-2022-11-02-1274','S54-2','MGHGMKqlMYyQ', 'MB')
('AC12058-2022-11-01-1296','A72-18','bsTPpUZbFwqmIB', 'SU')
('AC22517-2022-11-02-1331','A74-17','EF', 'SL')
('SL04652-2022-11-02-1280','S54-8','IP', 'SU')
('SL04652-2022-11-02-1281','S54-9','auTWGncdh', 'LB')
('AC22517-2022-11-02-1336','A75-4','teXrf', 'UB')
('AC04652-2022-11-02-1283','A72-5','xCFLJ', 'SL')
('AC22517-2022-11-01-1283','A72-5','TpLmVKfhrXZCCe', 'SL')
('AC04652-2022-11-02-1289','A72-11','CHFKvWTPGPglg', 'SL')
('AC04652-2022-11-01-1334','A75-2','UW', 'LB')
('SL04652-2022-11-01-1314','S55-18','ffNRLcuyIKfSde', 'MB')
('AC04652-2022-11-01-1335','A75-3','dqpOjGfIkCXyEANq', 'UB')
('AC04652-2022-11-01-1336','A75-4','CJauGoU', 'UB')
('SL12058-2022-11-01-1299','S55-3','wUZUhmkpSqIFgOww', 'UB')
('AC12058-2022-11-01-1336','A75-4','kvYf', 'UB')
('SL04652-2022-11-02-1306','S55-10','GoHiqFRT', 'MB')
('SL12058-2022-11-01-1305','S55-9','IdVMkT', 'LB')
('SL22517-2022-11-01-1329','S56-9','NXM', 'LB')
('AC12058-2022-11-01-1342','A75-10','SqIbenIDvasSLq', 'UB')
('SL12058-2022-11-01-1308','S55-12','l', 'LB')
('SL22517-2022-11-01-1333','S56-13','rvk', 'MB')
('SL12058-2022-11-01-1309','S55-13','IHKRjqtifVt', 'MB')
('SL04652-2022-11-02-1311','S55-15','iKqvZZBRmJca', 'SL')
('SL04652-2022-11-01-1339','S56-19','sedbhVGT', 'UB')
('SL22517-2022-11-02-1369','S58-1','cFKWqYyajTiF', 'LB')
('AC22517-2022-11-02-1365','A76-15','grqNgQfDiuTRKwcE', 'UB')
('AC04652-2022-11-01-1353','A76-3','qft', 'UB')
('SL22517-2022-11-02-1374','S58-6','iGpXlmXZrTQVLXa', 'UB')
('AC22517-2022-11-01-1312','A73-16','fXpnsmUDbHVBgiQS', 'UB')
('SL04652-2022-11-02-1317','S55-21','tIhfclTyQqhXhQy', 'MB')
('AC12058-2022-11-01-1343','A75-11','lQLlthrpsuffby', 'SL')
('SL04652-2022-11-02-1318','S55-22','CtxGN', 'UB')
('SL04652-2022-11-02-1319','S55-23','fxEpqLEMcgL', 'SL')
('SL12058-2022-11-01-1315','S55-19','JprStDiRwF', 'UB')
('AC22517-2022-11-01-1315','A74-1','USuvF', 'LB')
('SL12058-2022-11-01-1316','S55-20','BuZaY', 'LB')
('SL04652-2022-11-02-1325','S56-5','fYvQXDCILIhNXh', 'MB')
('AC04652-2022-11-02-1329','A74-15','WFCpQxuOndHW', 'UB')
('AC22517-2022-11-01-1320','A74-6','OQOJEVVQdVz', 'SU')
('AC04652-2022-11-01-1394','A78-8','WRpmlsZkddK', 'LB')
('AC12058-2022-11-01-1379','A77-11','PjCpgNlMkEFBsrTL', 'SL')
('SL04652-2022-11-02-1350','S57-6','rZGwpuKK', 'UB')
('SL22517-2022-11-01-1370','S58-2','eAGL', 'MB')
('AC22517-2022-11-02-1407','A79-3','CwHtXKrTxyRChCTd', 'UB')
('SL12058-2022-11-01-1354','S57-10','JohCeRijrrGz', 'MB')
('SL04652-2022-11-01-1371','S58-3','pBIZKMpeN', 'UB')
('AC22517-2022-11-01-1356','A76-6','PTrEKDAbUksFprS', 'SU')
('AC12058-2022-11-01-1383','A77-15','sOCVOSnPjIzDeGD', 'UB')
('SL04652-2022-11-01-1377','S58-9','AuUDtvtkKwNxI', 'LB')
('SL22517-2022-11-01-1376','S58-8','PlxBkKrFBnI', 'SU')
