('AC22517-2022-11-02-10','A1-10','Hc', 'UB')
('SL22517-2022-11-01-660','S28-12','JEQEItWQIbgvtcm', 'LB')
('SL22517-2022-11-01-662','S28-14','HfX', 'UB')
('AC04652-2022-11-02-666','A37-18','krJmLccpbXoFpb', 'SU')
('SL22517-2022-11-02-649','S28-1','Qmynil', 'LB')
('AC12058-2022-11-01-672','A38-6','KupkJvwJQn', 'SU')
('SL12058-2022-11-01-651','S28-3','CkQ', 'UB')
('SL22517-2022-11-01-669','S28-21','NbedShiSZXeLlTU', 'MB')
('AC12058-2022-11-01-673','A38-7','zprleBLRR', 'LB')
('AC12058-2022-11-01-674','A38-8','hXoruuyb', 'LB')
('SL12058-2022-11-01-655','S28-7','dfUQCcGKUA', 'SL')
('AC12058-2022-11-01-677','A38-11','XkQi', 'SL')
('SL04652-2022-11-01-661','S28-13','la', 'MB')
('SL04652-2022-11-01-662','S28-14','jfzHepwp', 'UB')
('SL04652-2022-11-01-663','S28-15','cu', 'SL')
('AC04652-2022-11-02-670','A38-4','TkHrMmprRFbilhp', 'UB')
('SL04652-2022-11-02-632','S27-8','zHlCsaAOXVuIc', 'SU')
('SL12058-2022-11-01-671','S28-23','PtfGaRdtLsLNaVHr', 'SL')
('SL12058-2022-11-01-672','S28-24','jkC', 'SU')
('SL22517-2022-11-02-667','S28-19','YqjxWSqqyBz', 'UB')
('AC12058-2022-11-01-686','A39-2','H', 'LB')
('SL12058-2022-11-01-676','S29-4','smKssYho', 'LB')
('AC22517-2022-11-02-711','A40-9','VlAHlpb', 'UB')
('SL04652-2022-11-02-638','S27-14','xIzNjQ', 'UB')
('AC04652-2022-11-01-674','A38-8','YvuuoZo', 'LB')
('AC22517-2022-11-01-627','A35-15','YRIkSnxAnfu', 'UB')
('SL04652-2022-11-02-642','S27-18','OIty', 'MB')
('SL12058-2022-11-01-685','S29-13','vwhyzbtWkc', 'MB')
('SL04652-2022-11-01-685','S29-13','JVAfTBmAVmQvj', 'MB')
('SL04652-2022-11-02-646','S27-22','RSgogAISvYmPjGO', 'UB')
('SL04652-2022-11-02-653','S28-5','dXbw', 'MB')
('SL12058-2022-11-01-689','S29-17','zZVCajeoPam', 'LB')
('AC22517-2022-11-02-719','A40-17','cHyR', 'SL')
('SL22517-2022-11-02-681','S29-9','sQXyMA', 'LB')
('AC22517-2022-11-02-726','A41-6','o', 'SU')
('SL04652-2022-11-01-698','S30-2','bWtrSaAeWbZi', 'MB')
('SL22517-2022-11-01-702','S30-6','QgUZWbPAjuHhW', 'UB')
('SL22517-2022-11-01-703','S30-7','vuTydDxMfKJKME', 'SL')
('SL12058-2022-11-01-701','S30-5','VJSiF', 'MB')
('AC04652-2022-11-01-689','A39-5','KUURtlkwoqBG', 'SL')
('AC04652-2022-11-02-690','A39-6','E', 'SU')
('AC04652-2022-11-02-691','A39-7','DgDgDVjck', 'LB')
('AC22517-2022-11-02-729','A41-9','tVDeqwb', 'UB')
('SL22517-2022-11-01-710','S30-14','DwKVKOPpalE', 'UB')
('SL04652-2022-11-01-702','S30-6','djQEgn', 'UB')
('AC04652-2022-11-01-693','A39-9','CfK', 'UB')
('AC04652-2022-11-01-694','A39-10','adZZjHNOOfr', 'UB')
('AC04652-2022-11-02-695','A39-11','J', 'SL')
('SL22517-2022-11-02-689','S29-17','xjIlZekiiU', 'LB')
('AC04652-2022-11-02-696','A39-12','sVKijGcBt', 'SU')
('AC22517-2022-11-01-658','A37-10','ekWkOEqOwBtnYHc', 'UB')
('SL12058-2022-11-01-711','S30-15','WYUsmsWiE', 'SL')
('AC22517-2022-11-01-672','A38-6','TECebU', 'SU')
('AC12058-2022-11-01-717','A40-15','SGZoXgAAWKEONc', 'UB')
('SL22517-2022-11-01-734','S31-14','uFbZL', 'UB')
('SL12058-2022-11-01-730','S31-10','hWgPGfDNBVKw', 'MB')
('SL04652-2022-11-02-689','S29-17','CxgSyXHhHvlAf', 'LB')
('AC22517-2022-11-02-753','A42-15','WcocFekgjYrz', 'UB')
('AC04652-2022-11-01-717','A40-15','xVNx', 'UB')
('SL22517-2022-11-02-721','S31-1','C', 'LB')
('SL22517-2022-11-02-722','S31-2','HIYe', 'MB')
('AC22517-2022-11-02-758','A43-2','sJL', 'LB')
('AC22517-2022-11-01-683','A38-17','yFQl', 'SL')
('SL04652-2022-11-02-694','S29-22','wIufnwjffNlLTkhK', 'UB')
('AC12058-2022-11-01-760','A43-4','LicCOIAYibIJnIdE', 'UB')
('SL04652-2022-11-01-753','S32-9','ovnNsbjS', 'LB')
('AC12058-2022-11-01-761','A43-5','t', 'SL')
('SL22517-2022-11-02-762','S32-18','LleHk', 'MB')
('SL22517-2022-11-02-763','S32-19','oO', 'UB')
('AC22517-2022-11-01-718','A40-16','ettfHrVeEuCz', 'UB')
('AC12058-2022-11-01-818','A46-8','JjMNXdIRrMyTvma', 'LB')
('SL12058-2022-11-01-821','S35-5','oG', 'MB')
('AC12058-2022-11-01-819','A46-9','ibYgMNyaenQ', 'UB')
('SL22517-2022-11-02-819','S35-3','xxo', 'UB')
('SL22517-2022-11-02-820','S35-4','IFXiHkaINA', 'LB')
('AC22517-2022-11-02-852','A48-6','MTob', 'SU')
('SL04652-2022-11-01-810','S34-18','GxcTg', 'MB')
('AC22517-2022-11-01-773','A43-17','UfcuFlqARiSR', 'SL')
('AC22517-2022-11-02-857','A48-11','l', 'SL')
('AC04652-2022-11-01-838','A47-10','YjiDbpjvVyvSldN', 'UB')
('AC12058-2022-11-01-844','A47-16','tHZCqJLl', 'UB')
('AC22517-2022-11-01-797','A45-5','lVdyzqFBR', 'SL')
('AC22517-2022-11-01-798','A45-6','nYXyJAtnlTF', 'SU')
('SL04652-2022-11-01-836','S35-20','jaGuFUnooxhW', 'LB')
('AC22517-2022-11-02-883','A50-1','uG', 'LB')
('SL04652-2022-11-02-796','S34-4','gaeG', 'LB')
('SL04652-2022-11-01-837','S35-21','JyFifGYrZABbso', 'MB')
('SL22517-2022-11-01-845','S36-5','VpfnelrYknbLX', 'MB')
('AC22517-2022-11-02-902','A51-2','NshuzQllPlMmd', 'LB')
('SL22517-2022-11-01-860','S36-20','MXwozea', 'LB')
('AC22517-2022-11-02-904','A51-4','RbBd', 'UB')
('AC04652-2022-11-02-843','A47-15','eN', 'UB')
('SL22517-2022-11-02-864','S36-24','TJeUDKQm', 'SU')
('AC22517-2022-11-01-822','A46-12','ExuxTdnfZZwXIXF', 'SU')
('AC04652-2022-11-01-880','A49-16','ZB', 'UB')
('SL22517-2022-11-02-867','S37-3','zZStovqRBjevljsW', 'UB')
('SL12058-2022-11-01-882','S37-18','fFr', 'MB')
('AC04652-2022-11-02-853','A48-7','kGjYrOnHIusSJpop', 'LB')
('AC04652-2022-11-01-886','A50-4','Cmbhnn', 'UB')
('AC12058-2022-11-01-876','A49-12','pmNzzrqTwEnLofp', 'SU')
('SL22517-2022-11-02-874','S37-10','DMMxnQmKZj', 'MB')
('AC12058-2022-11-01-878','A49-14','ILbVFeQtJETWNpad', 'LB')
('AC22517-2022-11-01-868','A49-4','ugunAt', 'UB')
('SL04652-2022-11-02-872','S37-8','fILOsDjCmfE', 'SU')
('SL04652-2022-11-02-874','S37-10','GM', 'MB')
('SL22517-2022-11-01-915','S39-3','CGVEsKzJl', 'UB')
('SL22517-2022-11-01-916','S39-4','DMxQEpdtHKHPvAk', 'LB')
('SL22517-2022-11-01-917','S39-5','tLotbJpzu', 'MB')
('SL22517-2022-11-02-930','S39-18','fYidA', 'MB')
('SL04652-2022-11-01-911','S38-23','hJ', 'SL')
('SL22517-2022-11-01-918','S39-6','VdRpFJsHhKBeEbEF', 'UB')
('SL04652-2022-11-02-878','S37-14','WZR', 'UB')
('SL22517-2022-11-02-932','S39-20','cmUxJlkGVpTTDPzh', 'LB')
('SL04652-2022-11-02-880','S37-16','ZjNZ', 'SU')
('SL22517-2022-11-01-922','S39-10','BVfEgHwcZnmxw', 'MB')
('SL04652-2022-11-02-882','S37-18','yLwnuDXvX', 'MB')
('AC12058-2022-11-01-922','A52-4','tXbBWH', 'UB')
('AC22517-2022-11-01-886','A50-4','CfhOkwnrp', 'UB')
('SL12058-2022-11-01-949','S40-13','vVNBMuFHfiuXqaNd', 'MB')
('AC22517-2022-11-01-887','A50-5','kXpzWNzGiVKcddhc', 'SL')
('AC22517-2022-11-01-890','A50-8','rFuPcCYBxqzueYE', 'LB')
('AC22517-2022-11-02-972','A54-18','IWifUdlHXf', 'SU')
('AC22517-2022-11-02-978','A55-6','jqdBw', 'SU')
('AC04652-2022-11-02-910','A51-10','N', 'UB')
('SL12058-2022-11-01-964','S41-4','XRDRa', 'LB')
('AC22517-2022-11-02-990','A55-18','ZsWCh', 'SU')
('AC04652-2022-11-02-916','A51-16','WAgDxaji', 'UB')
('AC12058-2022-11-01-943','A53-7','JhnyBtHygJDqlb', 'LB')
('AC04652-2022-11-01-956','A54-2','pldFTc', 'LB')
('SL22517-2022-11-02-962','S41-2','injccq', 'MB')
('AC22517-2022-11-02-997','A56-7','EnoPR', 'LB')
('AC04652-2022-11-01-961','A54-7','zvSxcJzmKSZp', 'LB')
('AC04652-2022-11-01-963','A54-9','CACBczYDaI', 'UB')
('AC12058-2022-11-01-949','A53-13','tF', 'LB')
('SL04652-2022-11-01-947','S40-11','dqyUCaq', 'UB')
('SL04652-2022-11-01-948','S40-12','bclwkCpubVbmyTN', 'LB')
('SL04652-2022-11-02-913','S39-1','AFeFH', 'LB')
('SL22517-2022-11-01-966','S41-6','whsRaUgdnRNT', 'UB')
('AC12058-2022-11-01-952','A53-16','NinRoEFIHpsnEjp', 'UB')
('AC22517-2022-11-01-966','A54-12','prrwBkZbQfCDqlV', 'SU')
('SL22517-2022-11-02-1030','S43-22','GGnXMa', 'UB')
('AC04652-2022-11-02-983','A55-11','fFjXcKg', 'SL')
('SL12058-2022-11-01-1037','S44-5','avHuSYWFntCJElen', 'MB')
('AC04652-2022-11-02-1001','A56-11','z', 'SL')
('SL22517-2022-11-02-1056','S44-24','GSq', 'SU')
('SL22517-2022-11-02-1057','S45-1','WxJzXX', 'LB')
('SL22517-2022-11-02-1095','S46-15','TsdobONTrxvoksHp', 'SL')
('AC22517-2022-11-02-1107','A62-9','XPwguNDWoAWUSEBG', 'UB')
('AC04652-2022-11-01-1083','A61-3','qN', 'UB')
('SL04652-2022-11-02-1038','S44-6','zIYPc', 'UB')
('AC04652-2022-11-01-1104','A62-6','rMYFwRZ', 'SU')
('AC04652-2022-11-01-1107','A62-9','sGvrXuFJNCDnnqK', 'UB')
('AC22517-2022-11-02-1129','A63-13','AoPorRQjmIOoMIgG', 'LB')
('AC04652-2022-11-01-1118','A63-2','Cb', 'LB')
('SL22517-2022-11-01-1103','S46-23','G', 'SL')
('SL04652-2022-11-02-1074','S45-18','COrwMeMoHcId', 'MB')
('SL12058-2022-11-01-1100','S46-20','UuouJbUBTvCYe', 'LB')
('AC12058-2022-11-01-1098','A61-18','KnDrFPVWR', 'SU')
('AC22517-2022-11-01-1091','A61-11','EWHbxCXMRbvdDn', 'SL')
('AC04652-2022-11-02-1089','A61-9','FijnKbscZLogBgW', 'UB')
('SL04652-2022-11-01-1111','S47-7','ZcfgseZxlsET', 'SL')
('AC04652-2022-11-02-1091','A61-11','BFkgxqShaPJENO', 'SL')
('SL04652-2022-11-01-1113','S47-9','mdDPScxDGKasfvxf', 'LB')
('SL04652-2022-11-02-1080','S45-24','KR', 'SU')
('SL12058-2022-11-01-1103','S46-23','XwHCKBm', 'SL')
('AC04652-2022-11-01-1173','A66-3','cQMPIq', 'UB')
('SL04652-2022-11-02-1122','S47-18','NGzcKzLKrCk', 'MB')
('SL22517-2022-11-01-1167','S49-15','soOFJGjaIg', 'SL')
('SL22517-2022-11-02-1206','S51-6','F', 'UB')
('SL04652-2022-11-02-1136','S48-8','LMo', 'SU')
('SL22517-2022-11-02-1208','S51-8','sozHy', 'SU')
('AC22517-2022-11-01-1152','A64-18','zjUtWXnRTZY', 'SU')
('AC22517-2022-11-01-1153','A65-1','tPAzGBCfAxpIFc', 'LB')
('SL04652-2022-11-01-1173','S49-21','Gma', 'MB')
('SL04652-2022-11-02-1150','S48-22','fExkzuUh', 'UB')
('SL12058-2022-11-01-1170','S49-18','DwvVPOImjssyk', 'MB')
('SL04652-2022-11-01-1180','S50-4','qIeifWvRQLNhY', 'LB')
('SL04652-2022-11-01-1181','S50-5','TGrAn', 'MB')
('SL22517-2022-11-02-1225','S52-1','NYTOhisSlPrbt', 'LB')
('SL22517-2022-11-01-1194','S50-18','eRAvcbqYwXh', 'MB')
('AC22517-2022-11-02-1217','A68-11','W', 'SL')
('SL04652-2022-11-01-1186','S50-10','NEiVubQynLyYls', 'MB')
('SL04652-2022-11-02-1159','S49-7','PNkZlqXk', 'SL')
('AC22517-2022-11-02-1218','A68-12','ndsxZdKlTrZzcouM', 'SU')
('SL22517-2022-11-02-1232','S52-8','uYgudZ', 'SU')
('AC04652-2022-11-02-1180','A66-10','jTubVF', 'UB')
('AC04652-2022-11-01-1224','A68-18','AhHXRcGmRiDRm', 'SU')
('AC22517-2022-11-01-1181','A66-11','oleaUKO', 'SL')
('AC04652-2022-11-02-1226','A69-2','SUiFzAJqSmHA', 'LB')
('AC12058-2022-11-01-1243','A70-1','VjpIO', 'LB')
('AC04652-2022-11-02-1235','A69-11','MTrelLvSK', 'SL')
('SL04652-2022-11-02-1224','S51-24','gu', 'SU')
('SL22517-2022-11-01-1266','S53-18','gerzwPEzUIyf', 'MB')
('AC04652-2022-11-01-1275','A71-15','hEWbXHE', 'UB')
('SL22517-2022-11-01-1268','S53-20','AdBeULiqM', 'LB')
('AC12058-2022-11-01-1255','A70-13','Dv', 'LB')
('SL04652-2022-11-02-1229','S52-5','Dhltlv', 'MB')
('SL22517-2022-11-01-1270','S53-22','hI', 'UB')
('SL22517-2022-11-02-1293','S54-21','BHXczI', 'MB')
('AC22517-2022-11-01-1226','A69-2','WQIv', 'LB')
('AC22517-2022-11-01-1239','A69-15','RkiAOmNCDXGRb', 'UB')
('SL04652-2022-11-02-1241','S52-17','Xgmndur', 'LB')
('AC04652-2022-11-02-1251','A70-9','jsnBLvrLnnzBDnZt', 'UB')
('SL04652-2022-11-02-1242','S52-18','EupklT', 'MB')
('AC04652-2022-11-02-1252','A70-10','UmYMvpEe', 'UB')
('SL12058-2022-11-01-1250','S53-2','Fm', 'MB')
('AC22517-2022-11-01-1245','A70-3','rqQOKsgQy', 'UB')
('AC04652-2022-11-01-1291','A72-13','k', 'LB')
('SL04652-2022-11-02-1245','S52-21','ybEjiqPKCe', 'MB')
('SL12058-2022-11-01-1254','S53-6','Ccbw', 'UB')
('SL04652-2022-11-02-1248','S52-24','arUBbUVXKtk', 'SU')
('AC04652-2022-11-01-1295','A72-17','ZSdyukXNquiDNcDd', 'SL')
('SL04652-2022-11-02-1252','S53-4','WWcPQCbbZtaI', 'LB')
('SL04652-2022-11-01-1286','S54-14','TrOqzXOMVMHOPeH', 'UB')
('SL22517-2022-11-02-1320','S55-24','iAgHvZGqg', 'SU')
('SL04652-2022-11-02-1254','S53-6','KVFzdRPZowQPFOBJ', 'UB')
('SL12058-2022-11-01-1261','S53-13','DgKOmCp', 'MB')
('SL22517-2022-11-02-1323','S56-3','euHlYouIISVhAVv', 'UB')
('AC22517-2022-11-02-1327','A74-13','djJE', 'LB')
