('SL04652-2022-11-02-4122','S172-18','LYL', 'MB')
('SL22517-2022-11-01-4301','S180-5','iAkdoEzfxGyxU', 'MB')
('AC22517-2022-11-02-4343','A242-5','HYHQv', 'SL')
('AC12058-2022-11-01-4354','A242-16','miixbcCcdZc', 'UB')
('AC22517-2022-11-02-4345','A242-7','Dp', 'LB')
('AC12058-2022-11-01-4357','A243-1','l', 'LB')
('AC12058-2022-11-01-4358','A243-2','kIMdFEDPMfOJdr', 'LB')
('AC22517-2022-11-01-4408','A245-16','pmfl', 'UB')
('AC22517-2022-11-02-4350','A242-12','nQaaPpvRfOdS', 'SU')
('SL04652-2022-11-02-4335','S181-15','ztRuCGoRUyDPeQW', 'SL')
('AC04652-2022-11-01-4519','A252-1','AFfdliciM', 'LB')
('SL22517-2022-11-02-4254','S178-6','LvhfkPEBAVoxI', 'UB')
('SL22517-2022-11-01-4306','S180-10','k', 'MB')
('AC22517-2022-11-01-4413','A246-3','wn', 'UB')
('SL22517-2022-11-01-4308','S180-12','PFjeoZA', 'LB')
('AC12058-2022-11-01-4364','A243-8','gBRBWRwztBBX', 'LB')
('SL22517-2022-11-02-4256','S178-8','EXcdrLCksJ', 'SU')
('SL04652-2022-11-02-4340','S181-20','jLcMMuMO', 'LB')
('AC12058-2022-11-01-4368','A243-12','ELaEFMnkNKcBj', 'SU')
('AC04652-2022-11-02-4374','A243-18','iOTzVuk', 'SU')
('AC04652-2022-11-02-4375','A244-1','unjRuKtL', 'LB')
('AC04652-2022-11-02-4376','A244-2','khcM', 'LB')
('AC04652-2022-11-01-4535','A252-17','rmEvopVEmlTSJ', 'SL')
('SL04652-2022-11-02-4347','S182-3','RpDvKgAoszsPQsXf', 'UB')
('SL04652-2022-11-02-4348','S182-4','KVWhWxCVBFKJ', 'LB')
('AC04652-2022-11-02-4387','A244-13','YeXjGnBAQ', 'LB')
('AC04652-2022-11-02-4388','A244-14','DAPWNJYjiowAAIW', 'LB')
('SL22517-2022-11-02-4274','S179-2','yZDpShbgvuuLlT', 'MB')
('SL04652-2022-11-02-4351','S182-7','FvzhDmhLXjDJU', 'SL')
('AC22517-2022-11-02-4371','A243-15','HkqJPiKn', 'UB')
('AC22517-2022-11-02-4373','A243-17','YsmPlLVacKAG', 'SL')
('AC22517-2022-11-01-4439','A247-11','VpOyNIW', 'SL')
('SL04652-2022-11-01-4302','S180-6','q', 'UB')
('AC04652-2022-11-01-4543','A253-7','lFkRcwvj', 'LB')
('SL22517-2022-11-01-4325','S181-5','n', 'MB')
('AC04652-2022-11-01-4544','A253-8','mhSrMCenrSrj', 'LB')
('AC04652-2022-11-02-4397','A245-5','rX', 'SL')
('AC12058-2022-11-01-4378','A244-4','TDCbYHQxD', 'UB')
('SL22517-2022-11-02-4278','S179-6','quIINLOSJyKIPElc', 'UB')
('SL12058-2022-11-01-4254','S178-6','qzmjzxZJURqhE', 'UB')
('SL12058-2022-11-01-4255','S178-7','cKEUkrofKVwYX', 'SL')
('AC22517-2022-11-02-4378','A244-4','rASODpn', 'UB')
('AC22517-2022-11-02-4379','A244-5','vuKfAYA', 'SL')
('AC12058-2022-11-01-4384','A244-10','kXCsFrzYzSBE', 'UB')
('SL04652-2022-11-01-4314','S180-18','hcCDWUmpYb', 'MB')
('SL12058-2022-11-01-4260','S178-12','XvfrzjbcUtJtVtt', 'LB')
('AC04652-2022-11-02-4407','A245-15','utr', 'UB')
('SL22517-2022-11-01-4336','S181-16','Vbbspj', 'SU')
('AC12058-2022-11-01-4389','A244-15','AGGswpJzFUEgavm', 'UB')
('SL22517-2022-11-01-4337','S181-17','BNVRkNr', 'LB')
('AC04652-2022-11-01-4549','A253-13','fXgoPrYczDiRvwB', 'LB')
('AC04652-2022-11-01-4550','A253-14','zkNrmoiyxTMfbbC', 'LB')
('SL12058-2022-11-01-4263','S178-15','r', 'SL')
('AC22517-2022-11-02-4387','A244-13','XRVksdqUBn', 'LB')
('SL12058-2022-11-01-4264','S178-16','GqEKk', 'SU')
('SL22517-2022-11-02-4286','S179-14','D', 'UB')
('SL04652-2022-11-01-4323','S181-3','net', 'UB')
('AC12058-2022-11-01-4399','A245-7','jJtAesiKdSFDYY', 'LB')
('SL12058-2022-11-01-4269','S178-21','aML', 'MB')
('SL12058-2022-11-01-4270','S178-22','fAguLDsDdbtf', 'UB')
('SL22517-2022-11-02-4292','S179-20','E', 'LB')
('SL04652-2022-11-02-4370','S183-2','EbDsto', 'MB')
('SL22517-2022-11-02-4293','S179-21','gUDKVmbIVDqof', 'MB')
('SL22517-2022-11-02-4294','S179-22','lsFryy', 'UB')
('AC12058-2022-11-01-4402','A245-10','MFYQ', 'UB')
('AC22517-2022-11-01-4453','A248-7','hggt', 'LB')
('SL12058-2022-11-01-4271','S178-23','katBMFyOs', 'SL')
('AC22517-2022-11-01-4465','A249-1','Irpe', 'LB')
('SL04652-2022-11-02-4383','S183-15','yOFNzz', 'SL')
('AC12058-2022-11-01-4411','A246-1','ypcFLW', 'LB')
('AC22517-2022-11-02-4409','A245-17','ecGpgQWIrsKDuS', 'SL')
('AC12058-2022-11-01-4415','A246-5','gUuUxllZhja', 'SL')
('SL04652-2022-11-02-4386','S183-18','SUgy', 'MB')
('AC04652-2022-11-02-4428','A246-18','OLJwiYVvpyqk', 'SU')
('SL22517-2022-11-01-4353','S182-9','qQdbjazCMtDzKes', 'LB')
('SL12058-2022-11-01-4318','S180-22','ZyZBAjgrI', 'UB')
('AC04652-2022-11-01-4605','A256-15','yuwaIr', 'UB')
('AC22517-2022-11-02-4450','A248-4','ltwAsXwBa', 'UB')
('SL22517-2022-11-02-4355','S182-11','iXIrKmRqV', 'UB')
('AC04652-2022-11-02-4475','A249-11','egwKoh', 'SL')
('SL12058-2022-11-01-4334','S181-14','tJuCqaph', 'UB')
('AC22517-2022-11-02-4529','A252-11','LfbynQuSnfmXmNYm', 'SL')
('SL04652-2022-11-02-4495','S188-7','vcqdCHU', 'SL')
('AC04652-2022-11-01-4696','A261-16','bgN', 'UB')
('SL04652-2022-11-01-4451','S186-11','gQOxTo', 'UB')
('AC04652-2022-11-02-4541','A253-5','Uhj', 'SL')
('AC12058-2022-11-01-4528','A252-10','IYMBPEMvh', 'UB')
('AC22517-2022-11-02-4540','A253-4','TSNEzkCqHw', 'UB')
('SL22517-2022-11-02-4426','S185-10','fzx', 'MB')
('SL04652-2022-11-01-4459','S186-19','wjHpmyxUjQjqMgFi', 'UB')
('AC04652-2022-11-01-4702','A262-4','yXmwpkrdbNzwRZ', 'UB')
('SL04652-2022-11-02-4506','S188-18','GtE', 'MB')
('AC04652-2022-11-01-4703','A262-5','aBNAWlzN', 'SL')
('SL12058-2022-11-01-4408','S184-16','umuOAWNg', 'SU')
('SL22517-2022-11-01-4460','S186-20','RrKNrJdN', 'LB')
('SL22517-2022-11-01-4462','S186-22','uCcSGEV', 'UB')
('AC22517-2022-11-02-4551','A253-15','tWHLCLjVXGmf', 'UB')
('AC04652-2022-11-01-4706','A262-8','SD', 'LB')
('SL04652-2022-11-01-4465','S187-1','ZztrqNAbEprm', 'LB')
('SL12058-2022-11-01-4418','S185-2','F', 'MB')
('AC22517-2022-11-02-4560','A254-6','VYPlRHsEB', 'SU')
('AC12058-2022-11-01-4544','A253-8','XnzemmFcEBnrl', 'LB')
('SL22517-2022-11-02-4434','S185-18','mpg', 'MB')
('SL12058-2022-11-01-4422','S185-6','ieiMthCmAe', 'UB')
('AC22517-2022-11-01-4592','A256-2','powAkMiovQaf', 'LB')
('SL22517-2022-11-02-4437','S185-21','acWzi', 'MB')
('SL12058-2022-11-01-4424','S185-8','UwkZGszWSqLr', 'SU')
('AC04652-2022-11-02-4553','A253-17','PfztalAEa', 'SL')
('SL12058-2022-11-01-4426','S185-10','quaxy', 'MB')
('AC22517-2022-11-02-4566','A254-12','YahCdCny', 'SU')
('AC22517-2022-11-01-4596','A256-6','eSCxsZkLicQTB', 'SU')
('SL22517-2022-11-01-4472','S187-8','sbgCrTKXhBBe', 'SU')
('SL04652-2022-11-01-4473','S187-9','gjK', 'LB')
('AC12058-2022-11-01-4547','A253-11','VvyxwIqjkOA', 'SL')
('SL22517-2022-11-01-4477','S187-13','LXC', 'MB')
('AC04652-2022-11-01-4724','A263-8','QEwGn', 'LB')
('AC04652-2022-11-01-4725','A263-9','uTtJMGITiYZuk', 'UB')
('SL12058-2022-11-01-4433','S185-17','YsJ', 'LB')
('AC12058-2022-11-01-4551','A253-15','Yr', 'UB')
('AC22517-2022-11-02-4598','A256-8','KZMoWi', 'LB')
('AC22517-2022-11-02-4600','A256-10','J', 'UB')
('SL22517-2022-11-01-4501','S188-13','Xp', 'MB')
('AC04652-2022-11-01-4746','A264-12','rUJQmDy', 'SU')
('SL04652-2022-11-02-4548','S190-12','CcpmBLe', 'LB')
('AC22517-2022-11-01-4615','A257-7','UpXUAffyxt', 'LB')
('AC12058-2022-11-01-4580','A255-8','BgSXDA', 'LB')
('AC12058-2022-11-01-4584','A255-12','tteGOugogr', 'SU')
('AC04652-2022-11-02-4605','A256-15','mKIDXuepDz', 'UB')
('SL22517-2022-11-02-4485','S187-21','MfvWNKJDCVf', 'MB')
('SL12058-2022-11-01-4481','S187-17','PiY', 'LB')
('AC22517-2022-11-02-4632','A258-6','IHiwdTuycpjGC', 'SU')
('SL22517-2022-11-01-4528','S189-16','hIgqOfALNoL', 'SU')
('SL04652-2022-11-01-4528','S189-16','bhHoSXIQuSTw', 'SU')
('SL22517-2022-11-02-4491','S188-3','buOmWGzVqwzsG', 'UB')
('SL04652-2022-11-02-4583','S191-23','ej', 'SL')
('SL04652-2022-11-02-4584','S191-24','OCQnnJ', 'SU')
('SL04652-2022-11-01-4533','S189-21','H', 'MB')
('AC04652-2022-11-01-4818','A268-12','w', 'SU')
('AC22517-2022-11-01-4669','A260-7','QFthW', 'LB')
('SL22517-2022-11-02-4528','S189-16','iEGy', 'SU')
('AC22517-2022-11-02-4690','A261-10','YPRL', 'UB')
('AC04652-2022-11-02-4660','A259-16','zzEDXAgAlKuKS', 'UB')
('AC04652-2022-11-02-4661','A259-17','RIrZsgdsLW', 'SL')
('AC22517-2022-11-02-4695','A261-15','GZYIwSPKDjzUjjLA', 'UB')
('SL22517-2022-11-01-4577','S191-17','sqUj', 'LB')
('SL04652-2022-11-01-4595','S192-11','KVXLrK', 'UB')
('SL12058-2022-11-01-4556','S190-20','uoVO', 'LB')
('AC12058-2022-11-01-4666','A260-4','BNJXhjzAcEHyeqwu', 'UB')
('AC12058-2022-11-01-4667','A260-5','agROQ', 'SL')
('SL04652-2022-11-01-4601','S192-17','VbBvQroaM', 'LB')
('SL22517-2022-11-01-4592','S192-8','YVDwgJYMSCHqarH', 'SU')
('AC22517-2022-11-02-4713','A262-15','MbzfjNv', 'UB')
('SL22517-2022-11-02-4571','S191-11','jx', 'UB')
('SL22517-2022-11-02-4586','S192-2','olEZJ', 'MB')
('AC22517-2022-11-02-4730','A263-14','TlZSuQrEm', 'LB')
('SL22517-2022-11-01-4611','S193-3','sRZUtK', 'UB')
('AC22517-2022-11-01-4709','A262-11','oUqXiZyG', 'SL')
('AC04652-2022-11-02-4693','A261-13','VTmFmmwVwfP', 'LB')
('SL22517-2022-11-02-4591','S192-7','NM', 'SL')
('AC04652-2022-11-01-4879','A272-1','aQpdvgEecyWkzPX', 'LB')
('AC04652-2022-11-02-4694','A261-14','X', 'LB')
('AC12058-2022-11-01-4692','A261-12','jstKJiRaAYpwvcdp', 'SU')
('AC22517-2022-11-02-4771','A266-1','YUyfpUVvkxmMig', 'LB')
('AC12058-2022-11-01-4721','A263-5','Q', 'SL')
('SL04652-2022-11-01-4649','S194-17','nM', 'LB')
('SL04652-2022-11-02-4686','S196-6','aFkdqmwDowXAE', 'UB')
('SL22517-2022-11-01-4641','S194-9','ulHUfVkdAUwiVLWt', 'LB')
('SL12058-2022-11-01-4608','S192-24','CSJPBEIq', 'SU')
('AC04652-2022-11-01-4922','A274-8','uPOCTeOy', 'LB')
('SL12058-2022-11-01-4610','S193-2','SqVZoAEcEDcd', 'MB')
('AC12058-2022-11-01-4727','A263-11','TxSty', 'SL')
('SL12058-2022-11-01-4613','S193-5','qjB', 'MB')
('SL04652-2022-11-01-4653','S194-21','xNzApjrzuvn', 'MB')
('SL22517-2022-11-02-4626','S193-18','BCiAFQOeeWRTiNo', 'MB')
('AC22517-2022-11-01-4743','A264-9','UrnpItUAmOKTv', 'UB')
('AC22517-2022-11-01-4744','A264-10','RPcknkodo', 'UB')
('AC12058-2022-11-01-4731','A263-15','xUsLspJtRMR', 'UB')
('AC12058-2022-11-01-4732','A263-16','wJlkZTieTnvK', 'UB')
('AC04652-2022-11-02-4735','A264-1','lYaWicysFPCgL', 'LB')
('AC22517-2022-11-01-4747','A264-13','tg', 'LB')
('SL04652-2022-11-01-4662','S195-6','TXoPunepSteVaBZC', 'UB')
('SL04652-2022-11-01-4664','S195-8','GsKOj', 'SU')
('AC04652-2022-11-02-4744','A264-10','CcsiCYM', 'UB')
('AC04652-2022-11-02-4745','A264-11','NIEEaQziHRG', 'SL')
('SL12058-2022-11-01-4625','S193-17','MCYXmD', 'LB')
('SL22517-2022-11-02-4649','S194-17','S', 'LB')
('SL22517-2022-11-02-4665','S195-9','DtF', 'LB')
('SL22517-2022-11-01-4685','S196-5','RuSFxOosnJcNxS', 'MB')
('AC12058-2022-11-01-4785','A266-15','oViXgQ', 'UB')
('SL04652-2022-11-01-4706','S197-2','mBvelf', 'MB')
('SL04652-2022-11-02-4738','S198-10','mGIZlFEZMpQIiA', 'MB')
('SL04652-2022-11-02-4739','S198-11','yudFO', 'UB')
('AC22517-2022-11-02-4835','A269-11','TDsJu', 'SL')
('AC22517-2022-11-02-4838','A269-14','RTAlSAIaQG', 'LB')
('SL04652-2022-11-02-4750','S198-22','TzUgSYwItS', 'UB')
('SL12058-2022-11-01-4687','S196-7','lfZi', 'SL')
('AC22517-2022-11-02-4850','A270-8','nIDiYjNHphuw', 'LB')
('AC12058-2022-11-01-4809','A268-3','mKlYdpfLizvvlG', 'UB')
('AC22517-2022-11-01-4820','A268-14','XMp', 'LB')
('AC22517-2022-11-01-4821','A268-15','DnPsBbegh', 'UB')
('AC22517-2022-11-01-4822','A268-16','rxKZjYHeVLo', 'UB')
('AC12058-2022-11-01-4817','A268-11','B', 'SL')
('AC04652-2022-11-02-4810','A268-4','sEJnxMQpgMh', 'UB')
('SL04652-2022-11-01-4741','S198-13','zTsd', 'MB')
('AC12058-2022-11-01-4823','A268-17','KJPlMky', 'SL')
('AC22517-2022-11-02-4865','A271-5','ZExBnGGFXwt', 'SL')
('SL22517-2022-11-01-4729','S198-1','urcCYp', 'LB')
('AC04652-2022-11-02-4862','A271-2','vHWkCQQm', 'LB')
('SL22517-2022-11-01-4772','S199-20','yAzkDhMqTuQSct', 'LB')
('AC04652-2022-11-02-4866','A271-6','VyO', 'SU')
('AC12058-2022-11-01-4868','A271-8','cEhZKDQHMburFZ', 'LB')
('SL04652-2022-11-01-4829','S202-5','kfQdpYISMqQnM', 'MB')
('SL12058-2022-11-01-4772','S199-20','cZszNXM', 'LB')
('AC12058-2022-11-01-4882','A272-4','MckKkNeDnaBB', 'UB')
('SL04652-2022-11-02-4881','S204-9','BrrJhUQ', 'LB')
('SL22517-2022-11-02-4837','S202-13','dcnNVyPeQIU', 'MB')
('SL22517-2022-11-02-4839','S202-15','pefe', 'SL')
('SL04652-2022-11-01-4868','S203-20','WIuJfM', 'LB')
('SL12058-2022-11-01-4813','S201-13','nwpSEsZxmMM', 'MB')
('AC22517-2022-11-01-4944','A275-12','MvEeEYlfbjnwcps', 'SU')
('AC22517-2022-11-02-4978','A277-10','R', 'UB')
('SL22517-2022-11-01-4849','S203-1','TXEDa', 'LB')
('SL22517-2022-11-01-4850','S203-2','UgcFQ', 'MB')
('AC04652-2022-11-02-4957','A276-7','YiBttZpSZdl', 'LB')
('AC22517-2022-11-02-4988','A278-2','zpMVjoiRA', 'LB')
('AC04652-2022-11-01-5164','A287-16','M', 'UB')
('SL22517-2022-11-01-4861','S203-13','JtA', 'MB')
('SL22517-2022-11-02-4856','S203-8','d', 'SU')
('AC22517-2022-11-02-4992','A278-6','YfCYN', 'SU')
('AC12058-2022-11-01-4943','A275-11','tkBCtxK', 'SL')
('AC04652-2022-11-02-4972','A277-4','GJOHtdzUVcXyptW', 'UB')
('AC22517-2022-11-02-4999','A278-13','Jx', 'LB')
('AC04652-2022-11-01-5184','A288-18','OxIcunWopbNd', 'SU')
('SL22517-2022-11-01-4877','S204-5','xEpkeq', 'MB')
('AC22517-2022-11-01-4989','A278-3','WZEpxDpLYyQHG', 'UB')
('AC12058-2022-11-01-4968','A276-18','ThGfrglOW', 'SU')
('AC22517-2022-11-02-5026','A280-4','SPKVzjZhx', 'UB')
('SL22517-2022-11-02-4886','S204-14','AJ', 'UB')
('SL22517-2022-11-01-4883','S204-11','PgyUGjnwaYDPrN', 'UB')
('SL04652-2022-11-01-4912','S205-16','cWFerVhrkgpi', 'SU')
('SL22517-2022-11-02-4943','S206-23','bPvyfZnSRTlXYdYd', 'SL')
('AC22517-2022-11-02-5082','A283-6','BzbbMkewgGWcl', 'SU')
('AC12058-2022-11-01-5039','A280-17','pBpYqBtaDDgJm', 'SL')
('SL22517-2022-11-02-4970','S208-2','XQeKYjjGccoW', 'MB')
('AC22517-2022-11-01-5067','A282-9','MKz', 'UB')
('SL22517-2022-11-02-5050','S211-10','uIFJY', 'MB')
('AC04652-2022-11-02-5174','A288-8','JHMfQNaknLYkYQwh', 'LB')
('SL04652-2022-11-01-5053','S211-13','VV', 'MB')
('SL12058-2022-11-01-4996','S209-4','WjP', 'LB')
('SL22517-2022-11-02-5112','S213-24','zseVIvTI', 'SU')
('AC12058-2022-11-01-5191','A289-7','cUYmWC', 'LB')
('SL22517-2022-11-02-5121','S214-9','VfqkUAUalF', 'LB')
('SL12058-2022-11-01-5052','S211-12','BSWAc', 'LB')
('AC04652-2022-11-01-5422','A302-4','kYMbodwFLWE', 'UB')
('SL04652-2022-11-01-5119','S214-7','QRBlGlTEGpCdnhn', 'SL')
('AC22517-2022-11-02-5251','A292-13','n', 'LB')
('SL12058-2022-11-01-5059','S211-19','BAbbsIYqudsx', 'UB')
('AC22517-2022-11-01-5213','A290-11','XJ', 'SL')
('SL04652-2022-11-01-5126','S214-14','DXOnmrmjpeb', 'UB')
('SL12058-2022-11-01-5071','S212-7','FMgUVBcPWDMQxnZ', 'SL')
('SL22517-2022-11-01-5144','S215-8','zcwwiRigv', 'SU')
('AC22517-2022-11-02-5297','A295-5','odNAVTb', 'SL')
('SL22517-2022-11-01-5147','S215-11','CvRRIraTRCYbFKWp', 'UB')
('AC22517-2022-11-02-5302','A295-10','tayMcHRieL', 'UB')
('SL22517-2022-11-01-5154','S215-18','wmXnLJPAvwG', 'MB')
('SL22517-2022-11-01-5155','S215-19','mSLIdeimnaL', 'UB')
('AC22517-2022-11-02-5306','A295-14','Bmt', 'LB')
('SL12058-2022-11-01-5130','S214-18','HCS', 'MB')
('AC04652-2022-11-01-5499','A306-9','ctfKuJQzXTPdB', 'UB')
('AC04652-2022-11-02-5309','A295-17','spzclTMzmYzuUThN', 'SL')
('SL04652-2022-11-02-5253','S219-21','zvIJiSPkoyHyU', 'MB')
('AC12058-2022-11-01-5291','A294-17','bwiCOgV', 'SL')
('AC04652-2022-11-01-5536','A308-10','WCXvnYDtaWWmDlyh', 'UB')
('SL22517-2022-11-01-5214','S218-6','CeVzXT', 'UB')
('AC22517-2022-11-02-5398','A300-16','fYWjTSOgG', 'UB')
('SL22517-2022-11-02-5274','S220-18','TFVYDoPp', 'MB')
('AC04652-2022-11-02-5393','A300-11','WLoUwhXklO', 'SL')
('AC12058-2022-11-01-5345','A297-17','gLSz', 'SL')
('SL22517-2022-11-02-5282','S221-2','nRSztlwBh', 'MB')
('SL12058-2022-11-01-5234','S219-2','CEXIwjFaaYnskCPL', 'MB')
('AC04652-2022-11-01-5579','A310-17','gjjdHudy', 'SL')
('SL12058-2022-11-01-5235','S219-3','tbDcdTzLRp', 'UB')
('AC22517-2022-11-02-5408','A301-8','aWxSDSC', 'LB')
('SL22517-2022-11-01-5251','S219-19','SbDtsp', 'UB')
('SL12058-2022-11-01-5241','S219-9','UYxgLGZOLwkkc', 'LB')
('SL22517-2022-11-01-5256','S219-24','kCiPABoq', 'SU')
('SL22517-2022-11-02-5291','S221-11','K', 'UB')
('AC04652-2022-11-01-5596','A311-16','LNvUBd', 'UB')
('AC22517-2022-11-02-5455','A304-1','WPzDCoubgjIcTOo', 'LB')
('AC04652-2022-11-01-5642','A314-8','oMItPydmbN', 'LB')
('AC12058-2022-11-01-5406','A301-6','lxUx', 'SU')
('AC04652-2022-11-01-5646','A314-12','OstfsWXYXnOHlpDG', 'SU')
('SL12058-2022-11-01-5290','S221-10','ArgRfMaLUYqd', 'MB')
('SL12058-2022-11-01-5291','S221-11','vRcXgDLdadesA', 'UB')
('AC04652-2022-11-02-5458','A304-4','bqBIuTwabTsKfff', 'UB')
('SL22517-2022-11-01-5330','S223-2','UKR', 'MB')
('SL22517-2022-11-01-5331','S223-3','giyJQp', 'UB')
('AC22517-2022-11-01-5480','A305-8','FWyowAjPCG', 'LB')
('SL22517-2022-11-01-5374','S224-22','W', 'UB')
('AC04652-2022-11-01-5723','A318-17','ooYnNEDtrbigFkP', 'SL')
('AC12058-2022-11-01-5494','A306-4','igZXjqYaL', 'UB')
('AC04652-2022-11-02-5537','A308-11','eApo', 'SL')
('AC22517-2022-11-01-5518','A307-10','w', 'UB')
('AC04652-2022-11-01-5764','A321-4','UZRJs', 'UB')
('AC04652-2022-11-01-5765','A321-5','SBOrSupXbVjJkZeU', 'SL')
('AC22517-2022-11-01-5523','A307-15','JcEJMJCtplFD', 'UB')
('AC12058-2022-11-01-5545','A309-1','BOoCFrPbKTkELkX', 'LB')
('AC12058-2022-11-01-5546','A309-2','UiQuiPpHsXbgsXC', 'LB')
('AC04652-2022-11-01-5769','A321-9','bTRKrviC', 'UB')
('AC22517-2022-11-01-5559','A309-15','CgBKIinLMOPs', 'UB')
('SL04652-2022-11-02-5520','S230-24','zWbpHEIrCxti', 'SU')
('SL12058-2022-11-01-5438','S227-14','UJqMZMeodFcdNFun', 'UB')
('SL04652-2022-11-02-5550','S232-6','bMTv', 'UB')
('AC22517-2022-11-02-5650','A314-16','dyVA', 'UB')
('SL12058-2022-11-01-5491','S229-19','M', 'UB')
('AC22517-2022-11-01-5647','A314-13','qrzAczL', 'LB')
('AC22517-2022-11-02-5654','A315-2','AtehUx', 'LB')
('AC04652-2022-11-01-5849','A325-17','CPmL', 'SL')
('AC22517-2022-11-01-5649','A314-15','zLGsQRUPiiV', 'UB')
('SL04652-2022-11-02-5621','S235-5','oubvuze', 'MB')
('SL04652-2022-11-02-5622','S235-6','qpRlNJBwUoUhtm', 'UB')
('SL12058-2022-11-01-5531','S231-11','UYyNmxa', 'UB')
('AC04652-2022-11-02-5725','A319-1','fLlsMPDhMVaqdB', 'LB')
('SL04652-2022-11-02-5647','S236-7','KFXYTorLIBR', 'SL')
('SL04652-2022-11-01-5599','S234-7','cDpddtqRqZI', 'SL')
('AC04652-2022-11-02-5740','A319-16','PnC', 'UB')
('SL22517-2022-11-02-5633','S235-17','ybiYIyLVpSRL', 'LB')
('SL22517-2022-11-01-5570','S233-2','cLOkrhSY', 'MB')
('AC12058-2022-11-01-5710','A318-4','djqyJVF', 'UB')
('AC22517-2022-11-01-5716','A318-10','mNtaGNTtjaCHs', 'UB')
('AC22517-2022-11-01-5717','A318-11','i', 'SL')
('SL22517-2022-11-02-5638','S235-22','ncmdTRooJ', 'UB')
('AC04652-2022-11-01-5919','A329-15','jvOhvhJddkhT', 'UB')
