('SL04652-2022-11-02-185','S8-17','EAEAYAHPd', 'LB')
('AC04652-2022-11-02-916','A51-16','lnoioRkxAZ', 'UB')
('AC04652-2022-11-02-917','A51-17','ImWy', 'SL')
('SL04652-2022-11-02-855','S36-15','odArVkhmxfIaML', 'SL')
('AC22517-2022-11-01-849','A48-3','FdbAQsADGzOWthix', 'UB')
('SL22517-2022-11-01-871','S37-7','sEtnJhhoRbzF', 'SL')
('SL22517-2022-11-02-873','S37-9','fuzRCcGhTmWwRNP', 'LB')
('AC22517-2022-11-01-852','A48-6','KsjgykeNAYAzh', 'SU')
('SL22517-2022-11-01-885','S37-21','aSFQvQxpALTMw', 'MB')
('AC22517-2022-11-01-859','A48-13','FJPIqPlIePulBG', 'LB')
('SL12058-2022-11-01-867','S37-3','g', 'UB')
('AC12058-2022-11-01-849','A48-3','putc', 'UB')
('AC22517-2022-11-01-917','A51-17','qHtauOz', 'SL')
('AC22517-2022-11-02-946','A53-10','pTfWbrHlqj', 'UB')
('AC04652-2022-11-01-935','A52-17','XipbYyeIpk', 'SL')
('AC04652-2022-11-01-936','A52-18','fctXwIcWMJQKEoaq', 'SU')
('AC04652-2022-11-01-937','A53-1','r', 'LB')
('AC22517-2022-11-01-923','A52-5','yzAqKIZFGrzSbFc', 'SL')
('AC22517-2022-11-01-924','A52-6','XYcC', 'SU')
('AC12058-2022-11-01-903','A51-3','ENwDVIrAsPmLv', 'UB')
('SL04652-2022-11-02-944','S40-8','FKKPIj', 'SU')
('SL04652-2022-11-02-945','S40-9','fpwq', 'LB')
('SL12058-2022-11-01-939','S40-3','E', 'UB')
('AC04652-2022-11-01-956','A54-2','NCFNNoaPxG', 'LB')
('SL04652-2022-11-01-950','S40-14','NEHgsqLqpckCw', 'UB')
('SL04652-2022-11-01-951','S40-15','QyElp', 'SL')
('AC22517-2022-11-02-967','A54-13','es', 'LB')
('AC22517-2022-11-02-968','A54-14','gRokFzjxnXwzzCCc', 'LB')
('SL04652-2022-11-01-956','S40-20','moBHq', 'LB')
('AC22517-2022-11-02-969','A54-15','xcWpYjHmbZjodOI', 'UB')
('SL22517-2022-11-02-959','S40-23','pKkDeA', 'SL')
('AC22517-2022-11-02-971','A54-17','zUsSxfeNljWglgB', 'SL')
('SL22517-2022-11-02-960','S40-24','avHIOBA', 'SU')
('SL04652-2022-11-01-958','S40-22','lacgEGRW', 'UB')
('SL04652-2022-11-02-950','S40-14','FIsalEhVxPqKiJK', 'UB')
('SL04652-2022-11-02-951','S40-15','pGTNgggwtd', 'SL')
('SL04652-2022-11-02-953','S40-17','OlaE', 'LB')
('SL04652-2022-11-02-954','S40-18','XGsUEGRFBCM', 'MB')
('SL12058-2022-11-01-945','S40-9','BKdpEczEZSL', 'LB')
('SL22517-2022-11-01-980','S41-20','ulHFlOdeY', 'LB')
('SL04652-2022-11-01-961','S41-1','sEFiXSUpQpVCwd', 'LB')
('SL12058-2022-11-01-948','S40-12','Al', 'LB')
('AC22517-2022-11-02-977','A55-5','T', 'SL')
('AC22517-2022-11-02-978','A55-6','getzMCMVLsa', 'SU')
('AC04652-2022-11-01-975','A55-3','Fp', 'UB')
('AC04652-2022-11-02-996','A56-6','pOEpUaKZZq', 'SU')
('SL22517-2022-11-02-974','S41-14','sve', 'UB')
('SL22517-2022-11-01-989','S42-5','yqFjPFkladZ', 'MB')
('SL22517-2022-11-02-977','S41-17','jCnHSoJC', 'LB')
('AC04652-2022-11-01-979','A55-7','TVrLAogcGZmGDr', 'LB')
('SL12058-2022-11-01-953','S40-17','kNaXfCPtxZhBuF', 'LB')
('AC04652-2022-11-02-998','A56-8','NFUSJSxHhae', 'LB')
('AC12058-2022-11-01-940','A53-4','LzhDjffNpFQnB', 'UB')
('AC22517-2022-11-01-955','A54-1','DzlQ', 'LB')
('SL22517-2022-11-01-993','S42-9','kod', 'LB')
('AC12058-2022-11-01-941','A53-5','AXFP', 'SL')
('AC04652-2022-11-01-982','A55-10','SkoZiOhFsGRIie', 'UB')
('AC22517-2022-11-01-959','A54-5','hzSJdGXVlvznNk', 'SL')
('AC04652-2022-11-02-1001','A56-11','TTvLufcCIIPFDnAb', 'SL')
('SL22517-2022-11-01-998','S42-14','qDVe', 'UB')
('AC04652-2022-11-02-1003','A56-13','YOmzuWrGQfQBxT', 'LB')
('SL22517-2022-11-01-1000','S42-16','RHZaIUrE', 'SU')
('AC22517-2022-11-01-962','A54-8','KPOu', 'LB')
('SL22517-2022-11-02-987','S42-3','xkLmhzWAWjDoIrE', 'UB')
('AC22517-2022-11-02-1000','A56-10','fsrdDxnCJtCsz', 'UB')
('AC04652-2022-11-02-1005','A56-15','QMIMgtbRWjws', 'UB')
('AC12058-2022-11-01-945','A53-9','WXhBzYojZSQzswp', 'UB')
('AC22517-2022-11-01-963','A54-9','txXfqzoNw', 'UB')
('SL22517-2022-11-02-991','S42-7','HxUeJtPT', 'SL')
('SL22517-2022-11-02-992','S42-8','sIeakrKjOSj', 'SU')
('SL22517-2022-11-01-1004','S42-20','V', 'LB')
('AC04652-2022-11-01-993','A56-3','JEICgOf', 'UB')
('SL22517-2022-11-02-994','S42-10','IUUyAmxk', 'MB')
('SL04652-2022-11-02-979','S41-19','FJAVvQPqEVjZ', 'UB')
('AC04652-2022-11-02-1020','A57-12','pfArnpj', 'SU')
('AC04652-2022-11-02-1021','A57-13','zSxG', 'LB')
('SL22517-2022-11-02-1001','S42-17','qdgleQxmVlTS', 'LB')
('AC12058-2022-11-01-959','A54-5','r', 'SL')
('SL04652-2022-11-01-1001','S42-17','MCEELXSWqubog', 'LB')
('AC04652-2022-11-02-1029','A58-3','pgObkUWYNcObJ', 'UB')
('SL04652-2022-11-01-1005','S42-21','SY', 'MB')
('SL04652-2022-11-02-988','S42-4','REEdcDm', 'LB')
('AC04652-2022-11-02-1077','A60-15','pqmIFcuFjhZaB', 'UB')
('SL04652-2022-11-02-1029','S43-21','fcChAHhLxGaAS', 'MB')
('SL04652-2022-11-01-1054','S44-22','XFUsZDvbRM', 'UB')
('SL04652-2022-11-01-1055','S44-23','X', 'SL')
('AC04652-2022-11-02-1117','A63-1','I', 'LB')
('SL22517-2022-11-01-1098','S46-18','PrdoT', 'MB')
('AC22517-2022-11-01-1064','A60-2','MHpH', 'LB')
('AC04652-2022-11-02-1121','A63-5','vZXjRDSryczLdn', 'SL')
('SL12058-2022-11-01-1068','S45-12','IuljxpJ', 'LB')
('SL22517-2022-11-01-1100','S46-20','XuHzmLAhASeL', 'LB')
('SL22517-2022-11-02-1083','S46-3','CLsnQIxjTqrDeT', 'UB')
('AC22517-2022-11-02-1102','A62-4','PSuufrlqhkfn', 'UB')
('AC04652-2022-11-02-1130','A63-14','KmdY', 'LB')
('AC22517-2022-11-01-1072','A60-10','aQ', 'UB')
('AC22517-2022-11-01-1073','A60-11','rFiINfmzXoZF', 'SL')
('SL22517-2022-11-01-1109','S47-5','VKarwrCrkmMYDAe', 'MB')
('AC22517-2022-11-01-1076','A60-14','UwpmfhAWq', 'LB')
('SL04652-2022-11-02-1077','S45-21','nIysfSHiKl', 'MB')
('SL22517-2022-11-01-1113','S47-9','UWvFfcBZQRQrStM', 'LB')
('SL12058-2022-11-01-1083','S46-3','qdswKY', 'UB')
('AC04652-2022-11-02-1136','A64-2','Ce', 'LB')
('SL04652-2022-11-02-1080','S45-24','WrQB', 'SU')
('SL22517-2022-11-01-1116','S47-12','mIWpXgop', 'LB')
('AC22517-2022-11-02-1117','A63-1','T', 'LB')
('AC22517-2022-11-02-1118','A63-2','VJlnylDzAykq', 'LB')
('SL04652-2022-11-02-1091','S46-11','hAQeS', 'UB')
('SL04652-2022-11-02-1105','S47-1','VKvv', 'LB')
('SL04652-2022-11-02-1106','S47-2','wUoGmqgQB', 'MB')
('AC22517-2022-11-01-1100','A62-2','wgGqWJeIlfr', 'LB')
('AC04652-2022-11-02-1155','A65-3','hcz', 'UB')
('AC22517-2022-11-02-1136','A64-2','o', 'LB')
('SL04652-2022-11-01-1127','S47-23','FbjzeTIqTiWWZY', 'SL')
('SL04652-2022-11-02-1110','S47-6','NXChFPjvYm', 'UB')
('AC04652-2022-11-01-1122','A63-6','aHv', 'SU')
('AC04652-2022-11-01-1123','A63-7','gvHJkujvkkpOyX', 'LB')
('SL22517-2022-11-02-1119','S47-15','aA', 'SL')
('SL04652-2022-11-01-1137','S48-9','we', 'LB')
('SL22517-2022-11-02-1128','S47-24','DGedjMqhrcbLF', 'SU')
('SL22517-2022-11-02-1129','S48-1','jKDeInfcxXpUKE', 'LB')
('SL12058-2022-11-01-1113','S47-9','yRpAmgxIxtbCk', 'LB')
('AC22517-2022-11-01-1106','A62-8','QWvtFUxbYBR', 'LB')
('SL12058-2022-11-01-1118','S47-14','JZZQtRC', 'UB')
('AC04652-2022-11-02-1172','A66-2','NdAAqtd', 'LB')
('SL22517-2022-11-02-1143','S48-15','IXgD', 'SL')
('AC04652-2022-11-02-1176','A66-6','KPzEgIQodTvyE', 'SU')
('AC22517-2022-11-01-1120','A63-4','TxUOjKj', 'UB')
('AC12058-2022-11-01-1104','A62-6','Jh', 'SU')
('SL22517-2022-11-02-1151','S48-23','y', 'SL')
('SL04652-2022-11-02-1135','S48-7','nxoecrOdulrNLTP', 'SL')
('SL04652-2022-11-01-1163','S49-11','rJdV', 'UB')
('AC04652-2022-11-01-1158','A65-6','YRoG', 'SU')
('AC04652-2022-11-02-1214','A68-8','gOtYYyvCsO', 'LB')
('AC04652-2022-11-02-1215','A68-9','JQmbVBhDJxVhcHbd', 'UB')
('SL04652-2022-11-01-1183','S50-7','haOhJmMyEQ', 'SL')
('AC12058-2022-11-01-1138','A64-4','qaYUmTFrqKetYrtQ', 'UB')
('SL22517-2022-11-01-1193','S50-17','WpOBxYpGh', 'LB')
('SL04652-2022-11-02-1166','S49-14','jPmM', 'UB')
('AC04652-2022-11-01-1179','A66-9','LSjOdJb', 'UB')
('AC22517-2022-11-01-1149','A64-15','VRFwKx', 'UB')
('SL22517-2022-11-02-1188','S50-12','QjoTUYfd', 'LB')
('AC04652-2022-11-01-1181','A66-11','LAEftPlsQVNRNAuj', 'SL')
('SL22517-2022-11-02-1190','S50-14','KZHQhFUQJ', 'UB')
('SL22517-2022-11-02-1191','S50-15','eSBbhXgtJ', 'SL')
('AC04652-2022-11-01-1182','A66-12','PiGMhOiZfmJwo', 'SU')
('AC22517-2022-11-01-1159','A65-7','eGsPBhzjb', 'LB')
('SL04652-2022-11-02-1172','S49-20','K', 'LB')
('AC22517-2022-11-01-1170','A65-18','EL', 'SU')
('SL22517-2022-11-02-1202','S51-2','xDJIsIrEkc', 'MB')
('AC12058-2022-11-01-1153','A65-1','jcNuPXfLPFg', 'LB')
('AC12058-2022-11-01-1154','A65-2','fWIeRmzKnXW', 'LB')
('SL04652-2022-11-01-1199','S50-23','O', 'SL')
('AC04652-2022-11-01-1197','A67-9','KkWHEnxu', 'UB')
('SL22517-2022-11-01-1214','S51-14','oOElCZRh', 'UB')
('SL22517-2022-11-01-1215','S51-15','NGPkWcpYGMmY', 'SL')
('SL04652-2022-11-01-1202','S51-2','EXcIOKvvWEp', 'MB')
('SL22517-2022-11-02-1209','S51-9','abLBrLWyGGqc', 'LB')
('AC04652-2022-11-01-1200','A67-12','BljDG', 'SU')
('AC04652-2022-11-01-1201','A67-13','viBbOqSiAzWvbU', 'LB')
('AC04652-2022-11-01-1203','A67-15','mkAFpxC', 'UB')
('SL04652-2022-11-02-1194','S50-18','lHmNJJJwbv', 'MB')
('SL12058-2022-11-01-1184','S50-8','zkkXzsseRwZx', 'SU')
('AC12058-2022-11-01-1160','A65-8','zNsbcrZB', 'LB')
('SL04652-2022-11-02-1198','S50-22','MSBsuwDtOjRQRc', 'UB')
('AC12058-2022-11-01-1165','A65-13','TdBhpX', 'LB')
('SL12058-2022-11-01-1190','S50-14','hGbCFCqiZfV', 'UB')
('AC04652-2022-11-01-1212','A68-6','WwNXHuS', 'SU')
('AC22517-2022-11-02-1221','A68-15','B', 'UB')
('SL22517-2022-11-02-1217','S51-17','QswMaX', 'LB')
('SL22517-2022-11-01-1227','S52-3','GQbcFzenuyGNEg', 'UB')
('SL04652-2022-11-02-1207','S51-7','kKekqa', 'SL')
('AC04652-2022-11-01-1217','A68-11','ITXtuHxvjh', 'SL')
('AC04652-2022-11-01-1218','A68-12','qlgK', 'SU')
('SL04652-2022-11-02-1209','S51-9','sln', 'LB')
('AC22517-2022-11-02-1226','A69-2','rvWMaaxwhHufnKrg', 'LB')
('AC04652-2022-11-01-1222','A68-16','vOJaWDGN', 'UB')
('AC04652-2022-11-01-1224','A68-18','GvHPcnJpbHrQl', 'SU')
('SL04652-2022-11-01-1223','S51-23','LnvdqTVWxRNG', 'SL')
('AC04652-2022-11-01-1226','A69-2','sBQLyHpaWFawJwT', 'LB')
('AC12058-2022-11-01-1183','A66-13','DltKcmHa', 'LB')
('SL04652-2022-11-01-1226','S52-2','ZYOADMOpLHzsYt', 'MB')
('AC12058-2022-11-01-1184','A66-14','fvy', 'LB')
('AC04652-2022-11-01-1231','A69-7','oLxucTVhMep', 'LB')
('SL22517-2022-11-01-1242','S52-18','t', 'MB')
('AC22517-2022-11-01-1205','A67-17','xarCTAmM', 'SL')
('SL22517-2022-11-01-1245','S52-21','yhjoQOcaRzuQo', 'MB')
('SL22517-2022-11-01-1246','S52-22','faZZyPhpOf', 'UB')
('SL22517-2022-11-02-1240','S52-16','IzCA', 'SU')
('SL22517-2022-11-02-1241','S52-17','OtBafTHHXbsJxEyQ', 'LB')
('AC22517-2022-11-01-1211','A68-5','nPdXDpo', 'SL')
('AC12058-2022-11-01-1197','A67-9','GOITfdEhOOGMNN', 'UB')
('SL12058-2022-11-01-1212','S51-12','QnrsLlFHhms', 'LB')
('SL12058-2022-11-01-1213','S51-13','yEushSnLi', 'MB')
('AC04652-2022-11-01-1244','A70-2','GdM', 'LB')
('SL22517-2022-11-02-1244','S52-20','B', 'LB')
('AC04652-2022-11-01-1246','A70-4','gjMHhtNcTqHOAEu', 'UB')
('SL12058-2022-11-01-1217','S51-17','EI', 'LB')
('AC12058-2022-11-01-1208','A68-2','KXtiGSI', 'LB')
('SL22517-2022-11-01-1259','S53-11','NMRAUJzwVpMRjjV', 'UB')
('SL22517-2022-11-02-1249','S53-1','yjEvmP', 'LB')
('AC22517-2022-11-01-1219','A68-13','zEbndENHAy', 'LB')
('SL04652-2022-11-02-1239','S52-15','yaZOupArv', 'SL')
('SL22517-2022-11-01-1263','S53-15','HuZvwQMv', 'SL')
('AC04652-2022-11-02-1283','A72-5','Ul', 'SL')
('AC22517-2022-11-01-1223','A68-17','tImQInbYqMpaQXa', 'SL')
('AC04652-2022-11-02-1285','A72-7','QlnLwCkrAP', 'LB')
('SL22517-2022-11-01-1265','S53-17','UAyGUoxxkWinVsNy', 'LB')
('AC04652-2022-11-02-1286','A72-8','lIJ', 'LB')
('SL22517-2022-11-01-1266','S53-18','WoHYVLNW', 'MB')
('AC04652-2022-11-01-1253','A70-11','uUGSo', 'SL')
('AC04652-2022-11-01-1254','A70-12','mXK', 'SU')
('SL04652-2022-11-01-1250','S53-2','Vso', 'MB')
('AC12058-2022-11-01-1216','A68-10','ZHHVgIlrSok', 'UB')
('AC22517-2022-11-02-1258','A70-16','jRyGfoQhvoMPkwq', 'UB')
('AC04652-2022-11-01-1259','A70-17','mNXQhFXOQKRhzNR', 'SL')
('AC22517-2022-11-01-1229','A69-5','HLInFsBmVGdCxSY', 'SL')
('AC04652-2022-11-02-1289','A72-11','IPPiSWI', 'SL')
('SL22517-2022-11-01-1272','S53-24','dXDebNN', 'SU')
('AC22517-2022-11-02-1263','A71-3','FDSJTmXlVcutaj', 'UB')
('AC12058-2022-11-01-1218','A68-12','bGQ', 'SU')
('AC04652-2022-11-02-1294','A72-16','ewFxsyjgAI', 'UB')
('SL04652-2022-11-01-1254','S53-6','DDT', 'UB')
('SL04652-2022-11-01-1255','S53-7','kVXbNSxfqWvtVv', 'SL')
('AC04652-2022-11-02-1296','A72-18','OXo', 'SU')
('SL22517-2022-11-01-1277','S54-5','GxGPnGcsUZIXhUX', 'MB')
('AC04652-2022-11-02-1297','A73-1','rgHlqImVXmUzC', 'LB')
('SL12058-2022-11-01-1236','S52-12','mlgraRKxbTs', 'LB')
('AC04652-2022-11-02-1299','A73-3','uvLeUUKpCIrtV', 'UB')
('AC04652-2022-11-02-1300','A73-4','xLolUagWRRhDyUO', 'UB')
('SL22517-2022-11-02-1261','S53-13','UOSmeAbczMr', 'MB')
('SL22517-2022-11-01-1282','S54-10','aIbyYoonYQFQK', 'MB')
('AC04652-2022-11-02-1303','A73-7','cqHWUhwNpoAwabx', 'LB')
('SL12058-2022-11-01-1241','S52-17','cXFq', 'LB')
('AC04652-2022-11-02-1304','A73-8','wtwebkzOrxw', 'LB')
('SL04652-2022-11-02-1298','S55-2','FCJgQ', 'MB')
('SL04652-2022-11-02-1299','S55-3','BeHpMZpNboq', 'UB')
('AC04652-2022-11-01-1317','A74-3','coeNxu', 'UB')
('AC04652-2022-11-02-1336','A75-4','tfkXfUjGxgr', 'UB')
('SL22517-2022-11-01-1322','S56-2','xMsFywNYNGgOCAqx', 'MB')
('SL22517-2022-11-02-1293','S54-21','m', 'MB')
('SL22517-2022-11-02-1294','S54-22','TFZLqGlWWcVfDoRH', 'UB')
('AC12058-2022-11-01-1267','A71-7','hYzRtfmosYyN', 'LB')
('SL22517-2022-11-01-1326','S56-6','BnrBhuuhsuhT', 'UB')
('SL04652-2022-11-02-1308','S55-12','NBojGCWnWceixOK', 'LB')
('SL22517-2022-11-02-1299','S55-3','MbCgHsBML', 'UB')
('AC04652-2022-11-01-1321','A74-7','juZ', 'LB')
('AC22517-2022-11-01-1287','A72-9','ApXAMTiOUMvvfGjp', 'UB')
('AC22517-2022-11-02-1306','A73-10','ZuxfvTa', 'UB')
('AC04652-2022-11-02-1342','A75-10','LyxQRzWmYdjz', 'UB')
('AC22517-2022-11-01-1297','A73-1','KqugWMLVN', 'LB')
('SL22517-2022-11-02-1328','S56-8','NMSUhHO', 'SU')
('AC04652-2022-11-01-1357','A76-7','x', 'LB')
('SL04652-2022-11-01-1337','S56-17','wFIOkQj', 'LB')
('AC12058-2022-11-01-1310','A73-14','MqIGVHhpsso', 'LB')
('AC22517-2022-11-02-1329','A74-15','KLtfSKBImNDQ', 'UB')
('AC12058-2022-11-01-1313','A73-17','FueSFPEMneCf', 'SL')
('AC22517-2022-11-01-1323','A74-9','qXuzZeakQvqf', 'UB')
('SL04652-2022-11-01-1362','S57-18','nqlpbdlJrWgE', 'MB')
('AC22517-2022-11-02-1356','A76-6','NX', 'SU')
