('SL04652-2022-11-01-21','S1-21','GtEvZjaNCKnIUat', 'MB')
('SL12058-2022-11-01-414','S18-6','cEIUJGG', 'UB')
('AC12058-2022-11-01-421','A24-7','omKOuEvjXqVZG', 'LB')
('AC04652-2022-11-02-405','A23-9','rcdevDNRfoX', 'UB')
('AC04652-2022-11-01-417','A24-3','jEJqHAZbRAk', 'UB')
('AC12058-2022-11-01-422','A24-8','sVCcrxRCNejMEPyV', 'LB')
('AC12058-2022-11-01-423','A24-9','srsDMaiCLWRyo', 'UB')
('SL22517-2022-11-02-383','S16-23','gbc', 'SL')
('AC22517-2022-11-01-368','A21-8','WzRFlhGdqcJu', 'LB')
('SL04652-2022-11-02-377','S16-17','JyozKkQweFVw', 'LB')
('SL12058-2022-11-01-431','S18-23','gFTRcVHoZYN', 'SL')
('AC22517-2022-11-02-450','A25-18','QriRUhTpIQLoimN', 'SU')
('AC22517-2022-11-01-381','A22-3','L', 'UB')
('AC04652-2022-11-02-423','A24-9','UvzHbsgV', 'UB')
('AC04652-2022-11-02-424','A24-10','uzrvSAOOFoC', 'UB')
('SL22517-2022-11-02-399','S17-15','LFeXKBeDRRxcXgLo', 'SL')
('SL04652-2022-11-01-410','S18-2','TBCFzPHx', 'MB')
('SL22517-2022-11-02-402','S17-18','wDZjb', 'MB')
('SL22517-2022-11-02-403','S17-19','HpDnlAOvHul', 'UB')
('SL04652-2022-11-02-391','S17-7','aYfsKgSwZwphiO', 'SL')
('AC22517-2022-11-02-458','A26-8','kqLksurkGrs', 'LB')
('AC22517-2022-11-01-388','A22-10','JpTcG', 'UB')
('AC12058-2022-11-01-440','A25-8','AghmdPdqTaIciSj', 'LB')
('AC04652-2022-11-01-444','A25-12','lBwsZMgNE', 'SU')
('AC22517-2022-11-02-462','A26-12','iMEfavGnvc', 'SU')
('AC12058-2022-11-01-507','A29-3','rqYEVoq', 'UB')
('AC04652-2022-11-02-491','A28-5','gwsmwxVZ', 'SL')
('SL04652-2022-11-02-440','S19-8','PApPVlzfAWWto', 'SU')
('SL22517-2022-11-02-472','S20-16','ZYZ', 'SU')
('SL22517-2022-11-02-473','S20-17','Xn', 'LB')
('AC04652-2022-11-02-500','A28-14','IyigXDrOZnPVtSf', 'LB')
('AC12058-2022-11-01-516','A29-12','PTPZwj', 'SU')
('SL22517-2022-11-01-501','S21-21','fOBDCHfQiGRNxmu', 'MB')
('SL04652-2022-11-02-471','S20-15','hMOpLhr', 'SL')
('SL22517-2022-11-01-505','S22-1','LthuJl', 'LB')
('SL12058-2022-11-01-507','S22-3','V', 'UB')
('AC04652-2022-11-01-519','A29-15','EmbbfGXZbTQZgpUo', 'UB')
('AC22517-2022-11-02-559','A32-1','y', 'LB')
('SL12058-2022-11-01-513','S22-9','VGI', 'LB')
('SL22517-2022-11-01-526','S22-22','XowtDLWhfpBEHef', 'UB')
('AC22517-2022-11-01-479','A27-11','os', 'SL')
('AC22517-2022-11-02-582','A33-6','QjxFJS', 'SU')
('AC22517-2022-11-02-583','A33-7','V', 'LB')
('AC04652-2022-11-02-541','A31-1','HAXbo', 'LB')
('AC22517-2022-11-02-586','A33-10','m', 'UB')
('AC04652-2022-11-01-540','A30-18','SLbkqlSL', 'SU')
('SL04652-2022-11-02-499','S21-19','ZWwzxHl', 'UB')
('SL04652-2022-11-02-500','S21-20','TcsMygRlwZb', 'LB')
('SL04652-2022-11-02-501','S21-21','joRSydShfFAjwH', 'MB')
('SL22517-2022-11-01-539','S23-11','lALAXQic', 'UB')
('AC12058-2022-11-01-575','A32-17','CDGtME', 'SL')
('AC22517-2022-11-02-593','A33-17','uKeMjGGUfXSJs', 'SL')
('SL04652-2022-11-01-535','S23-7','rt', 'SL')
('AC12058-2022-11-01-577','A33-1','uqjeryi', 'LB')
('AC22517-2022-11-02-598','A34-4','SdUGCitQ', 'UB')
('AC22517-2022-11-02-599','A34-5','s', 'SL')
('AC22517-2022-11-01-502','A28-16','FmDQeZBpDenWVUBf', 'UB')
('SL04652-2022-11-01-544','S23-16','BlsAoc', 'SU')
('AC04652-2022-11-02-557','A31-17','kUijdJK', 'SL')
('AC22517-2022-11-01-505','A29-1','aeWhRsSTiGIyL', 'LB')
('SL04652-2022-11-02-552','S23-24','ZgYWogamTwH', 'SU')
('AC04652-2022-11-01-609','A34-15','Yx', 'UB')
('AC22517-2022-11-01-559','A32-1','rNCE', 'LB')
('AC22517-2022-11-02-656','A37-8','wPhANMSgAJfjDn', 'LB')
('AC04652-2022-11-01-624','A35-12','kTxGZwrMaw', 'SU')
('SL22517-2022-11-02-611','S26-11','OecoCWFtz', 'UB')
('SL04652-2022-11-01-627','S27-3','aKFgYFvtscGg', 'UB')
('SL04652-2022-11-02-578','S25-2','FR', 'MB')
('AC12058-2022-11-01-641','A36-11','WzjcYmHGQMMrhosf', 'SL')
('AC22517-2022-11-02-664','A37-16','uttgS', 'UB')
('SL22517-2022-11-02-615','S26-15','uB', 'SL')
('AC22517-2022-11-01-581','A33-5','gtYa', 'SL')
('AC04652-2022-11-02-632','A36-2','QeCdEAhfkl', 'LB')
('AC04652-2022-11-01-631','A36-1','FPmc', 'LB')
('AC12058-2022-11-01-648','A36-18','dIeDaju', 'SU')
('AC04652-2022-11-01-635','A36-5','dJXhHCnQTr', 'SL')
('SL22517-2022-11-02-621','S26-21','fUcoRpKS', 'MB')
('SL12058-2022-11-01-627','S27-3','mEYHFKkynpFIty', 'UB')
('SL22517-2022-11-01-643','S27-19','w', 'UB')
('SL04652-2022-11-01-637','S27-13','QKUuCJgaoy', 'MB')
('SL12058-2022-11-01-629','S27-5','qOKpAmjRfYYwJy', 'MB')
('SL04652-2022-11-02-598','S25-22','UFNdF', 'UB')
('AC22517-2022-11-01-601','A34-7','OYI', 'LB')
('SL22517-2022-11-02-635','S27-11','lmVSWW', 'UB')
('SL22517-2022-11-02-636','S27-12','ZKt', 'LB')
('AC22517-2022-11-02-689','A39-5','vzl', 'SL')
('AC22517-2022-11-02-690','A39-6','cBaKcrXog', 'SU')
('SL04652-2022-11-02-605','S26-5','PIdU', 'MB')
('SL22517-2022-11-01-656','S28-8','YOGbdeN', 'SU')
('SL22517-2022-11-02-644','S27-20','msIGyQoZElPvqhQI', 'LB')
('AC04652-2022-11-02-660','A37-12','KL', 'SU')
('AC12058-2022-11-01-667','A38-1','giKVGKcPjKerlY', 'LB')
('AC04652-2022-11-01-646','A36-16','xBDYtTZbhicb', 'UB')
('SL22517-2022-11-01-661','S28-13','XLUngSoBphYZ', 'MB')
('SL12058-2022-11-01-650','S28-2','QnRQXyFOqG', 'MB')
('AC12058-2022-11-01-671','A38-5','BZOpJQfcM', 'SL')
('SL22517-2022-11-01-666','S28-18','LMQxzl', 'MB')
('SL22517-2022-11-01-667','S28-19','UTGFIDWCXiei', 'UB')
('AC04652-2022-11-01-654','A37-6','pJmmQ', 'SU')
('SL12058-2022-11-01-653','S28-5','fJbTUhsU', 'MB')
('SL22517-2022-11-02-655','S28-7','jOWcfKcFlEGF', 'SL')
('SL22517-2022-11-02-656','S28-8','qKLXgVuFEWZpQqqH', 'SU')
('AC22517-2022-11-01-617','A35-5','JkGFCnYRK', 'SL')
('SL04652-2022-11-02-624','S26-24','qm', 'SU')
('AC22517-2022-11-02-709','A40-7','uZWNlfICl', 'LB')
('SL04652-2022-11-01-673','S29-1','PYqm', 'LB')
('AC04652-2022-11-01-673','A38-7','NhfP', 'LB')
('SL22517-2022-11-01-686','S29-14','RomNYM', 'UB')
('AC04652-2022-11-01-677','A38-11','ODwHTkLRJ', 'SL')
('SL04652-2022-11-02-643','S27-19','uwKQqie', 'UB')
('SL04652-2022-11-01-684','S29-12','vjmAV', 'LB')
('SL22517-2022-11-01-691','S29-19','OfzRxjukTPeecZEb', 'UB')
('AC04652-2022-11-02-681','A38-15','zHRlmNxCWCX', 'UB')
('SL04652-2022-11-02-649','S28-1','HBjxomxMhBRYodCt', 'LB')
('AC04652-2022-11-01-683','A38-17','NAA', 'SL')
('SL04652-2022-11-02-651','S28-3','Ta', 'UB')
('SL22517-2022-11-02-678','S29-6','SRqNzMy', 'UB')
('AC22517-2022-11-01-636','A36-6','kIzGRvKXt', 'SU')
('SL12058-2022-11-01-691','S29-19','ZAgTROcXxSbbWga', 'UB')
('AC12058-2022-11-01-699','A39-15','oFmi', 'UB')
('AC22517-2022-11-01-640','A36-10','ZWTpUVNqHwK', 'UB')
('SL04652-2022-11-02-662','S28-14','WJVRwnbGSizNFhcR', 'UB')
('SL04652-2022-11-02-664','S28-16','Y', 'SU')
('SL22517-2022-11-01-704','S30-8','vRbBfVRqRSMM', 'SU')
('SL22517-2022-11-01-705','S30-9','mMLmuVBbZKv', 'LB')
('SL12058-2022-11-01-706','S30-10','LhYslSoxsXXIJ', 'MB')
('AC22517-2022-11-02-732','A41-12','yTYzBYNL', 'SU')
('SL12058-2022-11-01-709','S30-13','mveoYYN', 'MB')
('SL22517-2022-11-01-714','S30-18','Vs', 'MB')
('AC04652-2022-11-02-698','A39-14','rjlN', 'LB')
('SL04652-2022-11-02-673','S29-1','Voep', 'LB')
('SL22517-2022-11-02-693','S29-21','bkRntMglSqrhV', 'MB')
('AC22517-2022-11-01-660','A37-12','kwbLcmvkjA', 'SU')
('SL04652-2022-11-01-710','S30-14','RdSKiXPvujpA', 'UB')
('SL22517-2022-11-01-718','S30-22','RlJwSVrKMPYLC', 'UB')
('SL04652-2022-11-02-675','S29-3','NfzeKoodlTe', 'UB')
('SL04652-2022-11-02-676','S29-4','IdhAgQSAh', 'LB')
('SL04652-2022-11-02-677','S29-5','KEzCcXozqjBo', 'MB')
('SL12058-2022-11-01-718','S30-22','TdyNlvLvX', 'UB')
('AC22517-2022-11-02-741','A42-3','deTXRLXwF', 'UB')
('AC12058-2022-11-01-713','A40-11','QbgVcEpFiwMeaLa', 'SL')
('SL12058-2022-11-01-719','S30-23','Bv', 'SL')
('AC04652-2022-11-02-704','A40-2','OoeoQBM', 'LB')
('AC22517-2022-11-02-754','A42-16','yvPYUigAkQ', 'UB')
('AC22517-2022-11-01-680','A38-14','MrsjLxCXVu', 'LB')
('SL12058-2022-11-01-736','S31-16','cJ', 'SU')
('SL04652-2022-11-01-727','S31-7','jBYYq', 'SL')
('SL12058-2022-11-01-737','S31-17','VpAESzIcVhLjm', 'LB')
('SL04652-2022-11-01-728','S31-8','BOrNQPPdeBd', 'SU')
('SL04652-2022-11-02-695','S29-23','naRBS', 'SL')
('AC04652-2022-11-01-720','A40-18','I', 'SU')
('SL22517-2022-11-01-737','S31-17','TJpxclV', 'LB')
('AC22517-2022-11-02-761','A43-5','cRdTkspOfb', 'SL')
('SL22517-2022-11-02-724','S31-4','RaTwfGhKWMvuhiP', 'LB')
('AC12058-2022-11-01-735','A41-15','OQvgHQhcjQ', 'UB')
('AC04652-2022-11-02-719','A40-17','WjCWxbrlcJH', 'SL')
('SL12058-2022-11-01-746','S32-2','zaFIPCpeSyOLYOrI', 'MB')
('SL04652-2022-11-02-708','S30-12','ntZcZIBv', 'LB')
('SL22517-2022-11-01-751','S32-7','qnbCAvgx', 'SL')
('AC04652-2022-11-02-733','A41-13','FFjiDehUtRLwZQ', 'LB')
('AC12058-2022-11-01-752','A42-14','qHj', 'LB')
('SL22517-2022-11-01-755','S32-11','bqouKA', 'UB')
('AC12058-2022-11-01-755','A42-17','rWtIe', 'SL')
('SL04652-2022-11-01-745','S32-1','cGSFUxUKkhEAeoth', 'LB')
('AC22517-2022-11-02-788','A44-14','rpDSEXCTzNYXrtC', 'LB')
('AC12058-2022-11-01-758','A43-2','xwBdVopgpsOxYZX', 'LB')
('AC22517-2022-11-02-822','A46-12','sXwievdiBIFO', 'SU')
('AC12058-2022-11-01-795','A45-3','YiQ', 'UB')
('AC12058-2022-11-01-797','A45-5','hYiLgztRzmu', 'SL')
('AC22517-2022-11-02-825','A46-15','qdUiRCaoEIXmNRmh', 'UB')
('AC22517-2022-11-01-746','A42-8','eTzSSHNDDbbAx', 'LB')
('AC22517-2022-11-01-749','A42-11','VIzKOHDPhr', 'SL')
('SL22517-2022-11-01-795','S34-3','dAfQoOCfoPEwPeIf', 'UB')
('SL12058-2022-11-01-802','S34-10','KlnHVPVkHNmuYLyM', 'MB')
('SL22517-2022-11-02-796','S34-4','NRkNA', 'LB')
('SL22517-2022-11-02-798','S34-6','LzdzcqSYC', 'UB')
('AC22517-2022-11-02-833','A47-5','PZoss', 'SL')
('SL22517-2022-11-01-797','S34-5','xICQAWpE', 'MB')
('SL22517-2022-11-01-798','S34-6','ieHlMGiidsKi', 'UB')
('SL22517-2022-11-01-799','S34-7','YqH', 'SL')
('SL22517-2022-11-01-804','S34-12','uWELpjoZ', 'LB')
('SL12058-2022-11-01-812','S34-20','jaTYqdSdB', 'LB')
('AC12058-2022-11-01-813','A46-3','bGpuJgJkZnN', 'UB')
('SL22517-2022-11-01-807','S34-15','opwvi', 'SL')
('AC04652-2022-11-01-795','A45-3','jLCLl', 'UB')
('SL04652-2022-11-01-800','S34-8','C', 'SU')
('SL04652-2022-11-02-764','S32-20','xSTjYx', 'LB')
('AC22517-2022-11-02-846','A47-18','ShQYuvMIYe', 'SU')
('SL22517-2022-11-02-816','S34-24','ozmPqmI', 'SU')
('SL22517-2022-11-02-817','S35-1','XXuRL', 'LB')
('AC04652-2022-11-02-791','A44-17','oNivUMhjOvbYeT', 'SL')
('AC04652-2022-11-01-809','A45-17','oFg', 'SL')
('AC22517-2022-11-01-774','A43-18','fQqXb', 'SU')
('AC22517-2022-11-01-777','A44-3','wQQjgUABpyxMP', 'UB')
('SL22517-2022-11-01-828','S35-12','niuAXWwVvXpCX', 'LB')
('AC22517-2022-11-02-860','A48-14','rw', 'LB')
('AC04652-2022-11-01-820','A46-10','MiKZAyQPO', 'UB')
('SL12058-2022-11-01-833','S35-17','AnduIAPP', 'LB')
('SL22517-2022-11-02-832','S35-16','fX', 'SU')
('AC22517-2022-11-01-786','A44-12','CjM', 'SU')
('AC22517-2022-11-01-787','A44-13','yGSBRxmWV', 'LB')
('SL12058-2022-11-01-837','S35-21','WIJttBAlOsaaMn', 'MB')
('SL04652-2022-11-02-782','S33-14','PTKzOiMxpyqM', 'UB')
('AC04652-2022-11-01-831','A47-3','LJYDE', 'UB')
('SL22517-2022-11-02-838','S35-22','UsWWL', 'UB')
('SL12058-2022-11-01-845','S36-5','oqgcN', 'MB')
('AC04652-2022-11-02-813','A46-3','VxfqQcPgJLL', 'UB')
('AC22517-2022-11-02-873','A49-9','WwMaFmDdb', 'UB')
('AC22517-2022-11-02-876','A49-12','nw', 'SU')
('AC12058-2022-11-01-842','A47-14','KvKqWfIecj', 'LB')
('AC04652-2022-11-02-825','A46-15','etoqV', 'UB')
('SL12058-2022-11-01-856','S36-16','cFDseqebCxvjD', 'SU')
('SL12058-2022-11-01-857','S36-17','aSSxtzmADyRy', 'LB')
('AC22517-2022-11-02-888','A50-6','JOfj', 'SU')
('SL04652-2022-11-02-817','S35-1','FyBabAFsttZzUGUg', 'LB')
('SL04652-2022-11-02-820','S35-4','zgAZDOTq', 'LB')
('SL04652-2022-11-01-848','S36-8','ZUGPiW', 'SU')
('AC22517-2022-11-02-906','A51-6','KrNQczuYdC', 'SU')
('SL12058-2022-11-01-881','S37-17','GOR', 'LB')
('AC04652-2022-11-02-849','A48-3','mJejMoXBs', 'UB')
('SL04652-2022-11-01-854','S36-14','slCygxJxs', 'UB')
('SL04652-2022-11-02-825','S35-9','YHinSAfGNGjAYX', 'LB')
('SL12058-2022-11-01-883','S37-19','RIQFbHfAbUufZU', 'UB')
('AC04652-2022-11-01-885','A50-3','BsbGoADSflc', 'UB')
('SL04652-2022-11-01-857','S36-17','hWbhaqpLAl', 'LB')
('AC04652-2022-11-02-858','A48-12','zVzWbvgc', 'SU')
('AC04652-2022-11-01-888','A50-6','IIKHxh', 'SU')
('AC04652-2022-11-02-860','A48-14','LIsjIGsZjv', 'LB')
('AC04652-2022-11-01-890','A50-8','GxjbrWZ', 'LB')
('SL04652-2022-11-01-864','S36-24','ytMKudA', 'SU')
('SL04652-2022-11-02-836','S35-20','dAZesJAErbT', 'LB')
('SL04652-2022-11-01-866','S37-2','dYjQztrKjh', 'MB')
('SL12058-2022-11-01-895','S38-7','YybxE', 'SL')
('SL22517-2022-11-02-891','S38-3','KmewwKfIMYG', 'UB')
('SL22517-2022-11-01-877','S37-13','ckAfvSUxWkc', 'MB')
('AC04652-2022-11-01-898','A50-16','EpWZAJXUFyYxX', 'UB')
('AC22517-2022-11-02-922','A52-4','gMLph', 'UB')
('SL04652-2022-11-02-841','S36-1','NR', 'LB')
('AC22517-2022-11-02-924','A52-6','lEIfUtWKNEly', 'SU')
('SL12058-2022-11-01-905','S38-17','eTREgZkgQ', 'LB')
('AC04652-2022-11-02-874','A49-10','kJxEzSbdagfFlD', 'UB')
('SL04652-2022-11-01-873','S37-9','SNNZFOBdDAIj', 'LB')
('AC12058-2022-11-01-892','A50-10','lxzJWPtLXLGryqx', 'UB')
('SL22517-2022-11-02-902','S38-14','YkWjWncNPa', 'UB')
('AC12058-2022-11-01-893','A50-11','dHybHV', 'SL')
('SL04652-2022-11-02-845','S36-5','QXGSDOteCu', 'MB')
('AC12058-2022-11-01-896','A50-14','WnpYGDecvVLFDL', 'LB')
('AC22517-2022-11-02-931','A52-13','RWogajBncqCK', 'LB')
('SL04652-2022-11-02-848','S36-8','xqgtDDYm', 'SU')
('AC22517-2022-11-02-932','A52-14','VAyhBzKVy', 'LB')
('SL22517-2022-11-02-908','S38-20','XaM', 'LB')
('SL22517-2022-11-02-909','S38-21','vdwKQEvNebmz', 'MB')
('AC22517-2022-11-02-934','A52-16','TiY', 'UB')
('SL22517-2022-11-01-892','S38-4','LdZAkwSl', 'LB')
('SL12058-2022-11-01-920','S39-8','GhOrnJYAWREC', 'SU')
('SL04652-2022-11-02-853','S36-13','DZCtGEE', 'MB')
('SL04652-2022-11-01-884','S37-20','tgIqqogHbuR', 'LB')
('AC22517-2022-11-02-938','A53-2','CO', 'LB')
('SL04652-2022-11-01-886','S37-22','vsUjltMuLiJe', 'UB')
