('SL12058-2022-11-01-3005','S126-5','NFLCryEWjL', 'MB')
('SL04652-2022-11-02-3580','S150-4','NNfijjUoIoMz', 'LB')
('AC22517-2022-11-02-3544','A197-16','rYDrj', 'UB')
('AC22517-2022-11-01-3609','A201-9','e', 'UB')
('AC22517-2022-11-01-3610','A201-10','fcABI', 'UB')
('SL04652-2022-11-02-3586','S150-10','cfNJbVWK', 'MB')
('SL22517-2022-11-01-3526','S147-22','Krua', 'UB')
('AC22517-2022-11-01-3615','A201-15','lcBvQSlwYSWHJ', 'UB')
('AC04652-2022-11-02-3529','A197-1','OJsvFt', 'LB')
('AC12058-2022-11-01-3502','A195-10','BqhEtBEknh', 'UB')
('AC04652-2022-11-02-3531','A197-3','GgBJeLTwbvTc', 'UB')
('AC22517-2022-11-01-3620','A202-2','BQSgpE', 'LB')
('SL22517-2022-11-02-3489','S146-9','ilQAgDeJINzsfDV', 'LB')
('AC04652-2022-11-01-3705','A206-15','HUMvuuL', 'UB')
('AC12058-2022-11-01-3563','A198-17','fUfxpRkaxcItj', 'SL')
('SL04652-2022-11-01-3565','S149-13','JYreqDVWMvMrP', 'MB')
('AC04652-2022-11-01-3729','A208-3','YIm', 'UB')
('AC22517-2022-11-02-3615','A201-15','Dxo', 'UB')
('AC22517-2022-11-01-3677','A205-5','vUA', 'SL')
('SL22517-2022-11-01-3600','S150-24','fX', 'SU')
('SL04652-2022-11-01-3575','S149-23','H', 'SL')
('AC22517-2022-11-02-3631','A202-13','e', 'LB')
('AC22517-2022-11-02-3636','A202-18','fIZeBzy', 'SU')
('SL04652-2022-11-01-3583','S150-7','XnEOkxpNFG', 'SL')
('AC12058-2022-11-01-3597','A200-15','oq', 'UB')
('SL12058-2022-11-01-3528','S147-24','NZSnYQvpSZsxlKh', 'SU')
('AC04652-2022-11-01-3751','A209-7','YGSCuVujHKL', 'LB')
('AC04652-2022-11-02-3658','A204-4','bnEPmQtoiN', 'UB')
('AC22517-2022-11-01-3729','A208-3','YfNMlweD', 'UB')
('AC04652-2022-11-01-3822','A213-6','zNnnLOfEnY', 'SU')
('AC04652-2022-11-01-3854','A215-2','fKYexGm', 'LB')
('AC12058-2022-11-01-3758','A209-14','nlLNaqkm', 'LB')
('AC22517-2022-11-02-3778','A210-16','Mz', 'UB')
('AC04652-2022-11-02-3763','A210-1','DBlW', 'LB')
('SL12058-2022-11-01-3664','S153-16','TBHG', 'SU')
('AC04652-2022-11-02-3765','A210-3','AzXuAcbmtRMkj', 'UB')
('SL22517-2022-11-01-3763','S157-19','BqQEyCHziaa', 'UB')
('SL22517-2022-11-01-3764','S157-20','k', 'LB')
('SL04652-2022-11-01-3733','S156-13','mPhKDikghfV', 'MB')
('AC04652-2022-11-01-3911','A218-5','GfQmO', 'SL')
('AC12058-2022-11-01-3764','A210-2','CVnHiPD', 'LB')
('AC12058-2022-11-01-3765','A210-3','bthVyeFkaB', 'UB')
('AC12058-2022-11-01-3766','A210-4','hyUdcvHPXVipYTA', 'UB')
('AC04652-2022-11-02-3777','A210-15','yMPKANSprSB', 'UB')
('SL22517-2022-11-01-3774','S158-6','Desj', 'UB')
('SL22517-2022-11-02-3752','S157-8','x', 'SU')
('SL04652-2022-11-01-3804','S159-12','bblrUaDi', 'LB')
('AC04652-2022-11-01-4006','A223-10','nWQOzwKUyDUjh', 'UB')
('SL22517-2022-11-02-3767','S157-23','EOkJWKvnoMr', 'SL')
('AC04652-2022-11-01-4055','A226-5','lryhemI', 'SL')
('SL04652-2022-11-02-3969','S166-9','vGNtEJgUZxreisII', 'LB')
('SL22517-2022-11-01-3977','S166-17','g', 'LB')
('SL22517-2022-11-01-3978','S166-18','liIEawAzUnrdNgO', 'MB')
('SL22517-2022-11-01-3979','S166-19','IWXBX', 'UB')
('AC04652-2022-11-01-4169','A232-11','ecrSDdlA', 'SL')
('SL04652-2022-11-02-4030','S168-22','FhlYkV', 'UB')
('AC04652-2022-11-02-4065','A226-15','qiOaRS', 'UB')
('SL12058-2022-11-01-3934','S164-22','ePumYg', 'UB')
('AC12058-2022-11-01-4060','A226-10','vDiFrLGWeueky', 'UB')
('AC04652-2022-11-02-4074','A227-6','hAyIdZfJVX', 'SU')
('AC12058-2022-11-01-4073','A227-5','NiLGUQcD', 'SL')
('AC04652-2022-11-02-4110','A229-6','BJL', 'SU')
('SL04652-2022-11-02-4144','S173-16','NFgfYekQRxe', 'SU')
('AC22517-2022-11-01-4215','A235-3','BkcgdrSbIZbfa', 'UB')
('AC12058-2022-11-01-4148','A231-8','VbIasFR', 'LB')
('AC12058-2022-11-01-4149','A231-9','YohJFaNhST', 'UB')
('SL12058-2022-11-01-4023','S168-15','liFB', 'SL')
('AC12058-2022-11-01-4150','A231-10','PwWhwEUCo', 'UB')
('SL04652-2022-11-01-4086','S171-6','zDjUaqqzZDpmu', 'UB')
('AC22517-2022-11-02-4145','A231-5','BaPCHcjtrpcGXEi', 'SL')
('SL12058-2022-11-01-4039','S169-7','GfUcVRtECu', 'SL')
('SL04652-2022-11-02-4173','S174-21','FCUFmlQylYzRnZfc', 'MB')
('SL12058-2022-11-01-4041','S169-9','exhwM', 'LB')
('AC04652-2022-11-01-4331','A241-11','o', 'SL')
('AC04652-2022-11-02-4176','A232-18','SbJhAl', 'SU')
('AC12058-2022-11-01-4173','A232-15','AoqKpxoB', 'UB')
('AC12058-2022-11-01-4174','A232-16','FgdRI', 'UB')
('SL04652-2022-11-02-4175','S174-23','rBvuQP', 'SL')
('SL22517-2022-11-01-4138','S173-10','RjusbM', 'MB')
('SL12058-2022-11-01-4046','S169-14','BzU', 'UB')
('AC22517-2022-11-02-4155','A231-15','sQdGaMgktVGQnotH', 'UB')
('AC04652-2022-11-01-4342','A242-4','Heyc', 'UB')
('AC04652-2022-11-02-4189','A233-13','kXZuMC', 'LB')
('SL12058-2022-11-01-4054','S169-22','IstJYONBnvQ', 'UB')
('AC12058-2022-11-01-4181','A233-5','sfiXY', 'SL')
('AC04652-2022-11-02-4193','A233-17','YoVDtTlrqcVtKYM', 'SL')
('SL12058-2022-11-01-4058','S170-2','LqPMstT', 'MB')
('SL22517-2022-11-01-4146','S173-18','JuPrVnojcrRqh', 'MB')
('SL22517-2022-11-01-4149','S173-21','jkNLczXdAnSmQBMo', 'MB')
('AC12058-2022-11-01-4190','A233-14','wrWYgRuPlbzSEm', 'LB')
('AC22517-2022-11-02-4246','A236-16','nkQ', 'UB')
('SL04652-2022-11-02-4253','S178-5','HGR', 'MB')
('SL04652-2022-11-02-4297','S180-1','Y', 'LB')
('SL22517-2022-11-01-4256','S178-8','UcREL', 'SU')
('SL12058-2022-11-01-4215','S176-15','ocYTkHxEb', 'SL')
('SL22517-2022-11-02-4244','S177-20','uJVSfCgrsJCYh', 'LB')
('AC12058-2022-11-01-4351','A242-13','tpPWI', 'LB')
('AC12058-2022-11-01-4353','A242-15','igNcyLFjbPe', 'UB')
('SL04652-2022-11-02-4331','S181-11','w', 'UB')
('SL22517-2022-11-01-4303','S180-7','C', 'SL')
('AC12058-2022-11-01-4356','A242-18','JVhhcZtRhF', 'SU')
('SL04652-2022-11-02-4334','S181-14','Gv', 'UB')
('AC04652-2022-11-01-4518','A251-18','pkJQJiYoGv', 'SU')
('AC04652-2022-11-02-4391','A244-17','bB', 'SL')
('AC04652-2022-11-01-4539','A253-3','Zr', 'UB')
('SL22517-2022-11-02-4275','S179-3','Pe', 'UB')
('SL22517-2022-11-02-4276','S179-4','BBFEJkJMaS', 'LB')
('AC22517-2022-11-01-4441','A247-13','XYVmc', 'LB')
('SL04652-2022-11-01-4305','S180-9','LLRYXjgBL', 'LB')
('AC22517-2022-11-02-4377','A244-3','wUOCsgEFTm', 'UB')
('AC12058-2022-11-01-4381','A244-7','hOYLaq', 'LB')
('SL04652-2022-11-01-4308','S180-12','vg', 'LB')
('SL04652-2022-11-01-4309','S180-13','bqCOg', 'MB')
('SL04652-2022-11-01-4313','S180-17','E', 'LB')
('SL04652-2022-11-02-4357','S182-13','OyEDw', 'MB')
('SL22517-2022-11-02-4282','S179-10','KKo', 'MB')
('SL04652-2022-11-02-4359','S182-15','IW', 'SL')
('SL04652-2022-11-02-4360','S182-16','y', 'SU')
('SL22517-2022-11-02-4283','S179-11','bxECxTnfRU', 'UB')
('AC12058-2022-11-01-4392','A244-18','rUBaKhPY', 'SU')
('AC04652-2022-11-02-4411','A246-1','hukYkp', 'LB')
('SL04652-2022-11-02-4361','S182-17','U', 'LB')
('AC12058-2022-11-01-4394','A245-2','A', 'LB')
('SL22517-2022-11-01-4339','S181-19','yAOx', 'UB')
('AC22517-2022-11-02-4388','A244-14','PFe', 'LB')
('AC22517-2022-11-01-4446','A247-18','SqAcLGmXUawQcTdc', 'SU')
('AC12058-2022-11-01-4398','A245-6','AZZouWEtGfXNeGtC', 'SU')
('SL04652-2022-11-02-4366','S182-22','pyPJLIWHeNlMRn', 'UB')
('AC12058-2022-11-01-4400','A245-8','VWHEtIOyIHPMKw', 'LB')
('AC22517-2022-11-02-4390','A244-16','NZKZdaCixl', 'UB')
('SL04652-2022-11-02-4369','S183-1','Rv', 'LB')
('AC22517-2022-11-01-4450','A248-4','xsJGp', 'UB')
('AC22517-2022-11-02-4394','A245-2','S', 'LB')
('AC12058-2022-11-01-4404','A245-12','dILd', 'SU')
('AC22517-2022-11-02-4397','A245-5','lrpQsSKOMxZtJ', 'SL')
('AC04652-2022-11-02-4417','A246-7','czQVBeaaGnTYGy', 'LB')
('SL04652-2022-11-01-4330','S181-10','pgcPODDMybGEMZyY', 'MB')
('AC12058-2022-11-01-4406','A245-14','LjOH', 'LB')
('SL12058-2022-11-01-4276','S179-4','FaqeTueClrhP', 'LB')
('AC22517-2022-11-02-4410','A245-18','qmywcNJIQwaGXE', 'SU')
('AC12058-2022-11-01-4414','A246-4','GInUfqsnYmjgvgtF', 'UB')
('AC04652-2022-11-01-4572','A254-18','RVjLZdBzpy', 'SU')
('SL04652-2022-11-01-4338','S181-18','pSb', 'MB')
('SL12058-2022-11-01-4293','S179-21','TpHrjvEWphS', 'MB')
('SL12058-2022-11-01-4294','S179-22','GYvYLSDgleosIeD', 'UB')
('AC04652-2022-11-01-4584','A255-12','HyPTDukLBkF', 'SU')
('SL22517-2022-11-01-4379','S183-11','oJD', 'UB')
('AC04652-2022-11-01-4601','A256-11','AwwxQrCgt', 'SL')
('AC22517-2022-11-01-4502','A251-2','SaDjpyHUMMP', 'LB')
('SL22517-2022-11-02-4346','S182-2','MMTDPNkDCTnMceWU', 'MB')
('AC22517-2022-11-02-4472','A249-8','rCwSexBAlqaZvaYV', 'LB')
('AC12058-2022-11-01-4475','A249-11','ZsesfbODYkFCgNA', 'SL')
('SL12058-2022-11-01-4356','S182-12','nYhdg', 'LB')
('AC04652-2022-11-02-4501','A251-1','HWAxPalOUgn', 'LB')
('SL04652-2022-11-02-4461','S186-21','RJy', 'MB')
('SL12058-2022-11-01-4364','S182-20','IelVKPGZj', 'LB')
('AC04652-2022-11-01-4649','A259-5','BjVeI', 'SL')
('AC12058-2022-11-01-4501','A251-1','bR', 'LB')
('SL04652-2022-11-01-4419','S185-3','hMcJi', 'UB')
('SL12058-2022-11-01-4379','S183-11','IRkciE', 'UB')
('AC22517-2022-11-02-4533','A252-15','wsxJJ', 'UB')
('SL22517-2022-11-01-4455','S186-15','piFhjtPaYR', 'SL')
('SL22517-2022-11-01-4456','S186-16','JtWBWYYr', 'SU')
('AC22517-2022-11-02-4535','A252-17','vSgLBVglEv', 'SL')
('SL04652-2022-11-02-4501','S188-13','lNAPjmWtjWb', 'MB')
('SL22517-2022-11-01-4457','S186-17','SNhxVeZWi', 'LB')
('SL04652-2022-11-01-4457','S186-17','rBm', 'LB')
('AC22517-2022-11-02-4592','A256-2','WIzJdNJpK', 'LB')
('AC04652-2022-11-02-4582','A255-10','gxGTUbbitLYmT', 'UB')
('AC22517-2022-11-01-4617','A257-9','W', 'UB')
('SL22517-2022-11-01-4505','S188-17','JLHmXNZRDZYkMlll', 'LB')
('AC04652-2022-11-02-4583','A255-11','RBbHwmFuPwPVsRwY', 'SL')
('SL12058-2022-11-01-4455','S186-15','UodHGOHX', 'SL')
('SL22517-2022-11-02-4467','S187-3','UmiBPPlaRB', 'UB')
('AC04652-2022-11-02-4607','A256-17','leY', 'SL')
('AC22517-2022-11-01-4632','A258-6','tOUZbhf', 'SU')
('SL22517-2022-11-02-4492','S188-4','YdonnVNaZRMPOP', 'LB')
('AC04652-2022-11-02-4664','A260-2','XQpYzwCZgymE', 'LB')
('SL04652-2022-11-01-4591','S192-7','flLkLzuUG', 'SL')
('SL04652-2022-11-01-4592','S192-8','Hl', 'SU')
('SL12058-2022-11-01-4553','S190-17','AoGTsKXkXh', 'LB')
('SL22517-2022-11-01-4594','S192-10','jVvC', 'MB')
('SL22517-2022-11-01-4596','S192-12','AVFIxHGG', 'LB')
('SL22517-2022-11-02-4575','S191-15','O', 'SL')
('AC04652-2022-11-01-4870','A271-10','gcwvEaBDnEabXFA', 'UB')
('SL04652-2022-11-02-4652','S194-20','RPqPdDrQzjVC', 'LB')
('AC12058-2022-11-01-4681','A261-1','eB', 'LB')
('AC04652-2022-11-01-4880','A272-2','ZamHm', 'LB')
('AC04652-2022-11-01-4881','A272-3','AsByej', 'UB')
('SL12058-2022-11-01-4581','S191-21','SrudCCs', 'MB')
('AC22517-2022-11-02-4738','A264-4','wjnYM', 'UB')
('AC22517-2022-11-02-4772','A266-2','atuOr', 'LB')
('AC12058-2022-11-01-4726','A263-10','ymYrGKOybKF', 'UB')
('SL22517-2022-11-02-4623','S193-15','xdu', 'SL')
('SL12058-2022-11-01-4612','S193-4','THssBy', 'LB')
('SL22517-2022-11-01-4642','S194-10','KPzOjkUvsrxdRW', 'MB')
('SL04652-2022-11-01-4654','S194-22','kJvmQvlgJUSG', 'UB')
('SL22517-2022-11-02-4627','S193-19','zkaXYCBlKbO', 'UB')
('SL04652-2022-11-01-4660','S195-4','aYV', 'LB')
('AC12058-2022-11-01-4735','A264-1','uMJERQVYYNS', 'LB')
('AC22517-2022-11-02-4806','A267-18','gBLBzWbqdkSODS', 'SU')
('AC22517-2022-11-01-4778','A266-8','YrLOTaNA', 'LB')
('SL22517-2022-11-01-4676','S195-20','IyBcfvrBV', 'LB')
('SL22517-2022-11-01-4677','S195-21','QTmMSB', 'MB')
('AC22517-2022-11-02-4813','A268-7','uQasdbVMDXinQL', 'LB')
('AC12058-2022-11-01-4770','A265-18','ZtkFht', 'SU')
('AC04652-2022-11-02-4767','A265-15','su', 'UB')
('SL22517-2022-11-01-4683','S196-3','KYdesBy', 'UB')
('AC12058-2022-11-01-4773','A266-3','OWokfXWvV', 'UB')
('AC12058-2022-11-01-4778','A266-8','VPj', 'LB')
('SL04652-2022-11-01-4702','S196-22','gNEKIT', 'UB')
('AC22517-2022-11-02-4827','A269-3','d', 'UB')
('SL04652-2022-11-01-4704','S196-24','dhDPLtfPuPgRre', 'SU')
('AC12058-2022-11-01-4787','A266-17','HyMjRHPUOI', 'SL')
('SL12058-2022-11-01-4669','S195-13','jpRmfnYKTiYsh', 'MB')
('AC22517-2022-11-01-4804','A267-16','vYbGbsyo', 'UB')
('SL22517-2022-11-01-4696','S196-16','VIclOYCCCr', 'SU')
('AC22517-2022-11-02-4837','A269-13','ZLJ', 'LB')
('AC04652-2022-11-01-4998','A278-12','MzFtzfxMdp', 'SU')
('AC22517-2022-11-02-4842','A269-18','ByJrRzicZYW', 'SU')
('SL04652-2022-11-02-4756','S199-4','DhXerZyhRH', 'LB')
('AC22517-2022-11-01-4817','A268-11','yURPTGINIP', 'SL')
('AC22517-2022-11-02-4847','A270-5','AHKBDftEpekcYxy', 'SL')
('AC12058-2022-11-01-4813','A268-7','xCdajgNno', 'LB')
('SL22517-2022-11-02-4711','S197-7','pOVbhKXijfnHnE', 'SL')
('AC12058-2022-11-01-4826','A269-2','MyPPF', 'LB')
('AC22517-2022-11-01-4844','A270-2','on', 'LB')
('AC04652-2022-11-01-5034','A280-12','pGDZqD', 'SU')
('AC22517-2022-11-01-4846','A270-4','isPJMQTlkJyr', 'UB')
('AC12058-2022-11-01-4831','A269-7','DhZWhjRvKlM', 'LB')
('SL22517-2022-11-01-4735','S198-7','BgmhX', 'SL')
('AC04652-2022-11-01-5039','A280-17','xyKxrKiAnMdO', 'SL')
('SL04652-2022-11-02-4785','S200-9','wYhezt', 'LB')
('AC22517-2022-11-01-4849','A270-7','UTzDZNosiceTsg', 'LB')
('AC04652-2022-11-01-5048','A281-8','UTrkhUYqLSr', 'LB')
('SL22517-2022-11-02-4730','S198-2','iMGOd', 'MB')
('AC12058-2022-11-01-4846','A270-4','LGgHhho', 'UB')
('AC22517-2022-11-02-4888','A272-10','XQuCaYoVRliIlF', 'UB')
('AC22517-2022-11-02-4889','A272-11','RcMNEzBZaWei', 'SL')
('SL04652-2022-11-01-4778','S200-2','AP', 'MB')
('SL04652-2022-11-02-4803','S201-3','yzGlEUDfOhFZ', 'UB')
('SL04652-2022-11-01-4787','S200-11','SHsRPBVFtW', 'UB')
('AC12058-2022-11-01-4858','A270-16','INEzoAFzbexth', 'UB')
('AC04652-2022-11-02-4851','A270-9','queRXlRQpKyJ', 'UB')
('AC22517-2022-11-02-4901','A273-5','ScSCskWMSSDvpKGW', 'SL')
('SL22517-2022-11-01-4767','S199-15','PYfCJIAM', 'SL')
('SL22517-2022-11-02-4753','S199-1','w', 'LB')
('AC22517-2022-11-01-4875','A271-15','IctsQWgYujMM', 'UB')
('AC22517-2022-11-02-4906','A273-10','gwTB', 'UB')
('AC22517-2022-11-02-4908','A273-12','NuutnxISnGzsSPs', 'SU')
('AC04652-2022-11-01-5080','A283-4','CklqaUmAZe', 'UB')
('SL12058-2022-11-01-4749','S198-21','JvgwetGtFvCNvfYW', 'MB')
('SL22517-2022-11-02-4764','S199-12','vvgzQGdiI', 'LB')
('SL12058-2022-11-01-4752','S198-24','hyMO', 'SU')
('AC22517-2022-11-02-4914','A273-18','aWREbyoTzslTfPK', 'SU')
('AC22517-2022-11-01-4883','A272-5','nnCWjVxiJrGAuAcU', 'SL')
('SL22517-2022-11-02-4769','S199-17','Eo', 'LB')
('AC04652-2022-11-01-5093','A283-17','bdMkm', 'SL')
('AC04652-2022-11-01-5095','A284-1','Bzr', 'LB')
('SL22517-2022-11-02-4775','S199-23','ChQkZjqdh', 'SL')
('SL12058-2022-11-01-4762','S199-10','dmqHiLom', 'MB')
('SL22517-2022-11-02-4776','S199-24','s', 'SU')
('AC04652-2022-11-02-4977','A277-9','UzpCrinZdkyTrg', 'UB')
('AC04652-2022-11-02-4979','A277-11','fGXxiYGxLjo', 'SL')
('AC22517-2022-11-02-5006','A279-2','EfEwXNBIMchokOIN', 'LB')
('AC04652-2022-11-02-4982','A277-14','tfzMEfNOyh', 'LB')
('SL22517-2022-11-01-4909','S205-13','kFoxlEEnNl', 'MB')
('AC22517-2022-11-01-5023','A280-1','wLyPrRrXjeQeBQ', 'LB')
('AC04652-2022-11-01-5236','A291-16','WRQfv', 'UB')
('AC04652-2022-11-02-5038','A280-16','lNpC', 'UB')
('AC12058-2022-11-01-5003','A278-17','WqZTpi', 'SL')
('SL22517-2022-11-02-4924','S206-4','qMuRbztesn', 'LB')
('SL04652-2022-11-02-4958','S207-14','oBJGBgYNrHXfb', 'UB')
('AC04652-2022-11-02-5045','A281-5','IoXCQueU', 'SL')
('AC04652-2022-11-01-5244','A292-6','uqVlDS', 'SU')
('SL22517-2022-11-01-4920','S205-24','EnGK', 'SU')
('AC22517-2022-11-02-5073','A282-15','SYkNyfTmvPjztI', 'UB')
('SL22517-2022-11-01-4928','S206-8','meCBeGq', 'SU')
('AC04652-2022-11-01-5254','A292-16','TZqGAZJX', 'UB')
('SL22517-2022-11-01-4929','S206-9','KICFPVcgzfLBRfl', 'LB')
('SL04652-2022-11-02-4981','S208-13','ox', 'MB')
('SL22517-2022-11-01-4935','S206-15','VMuawDMbMyzlpged', 'SL')
('AC22517-2022-11-02-5086','A283-10','LTYn', 'UB')
('AC04652-2022-11-02-5145','A286-15','S', 'UB')
('SL04652-2022-11-02-5055','S211-15','PgzysPtM', 'SL')
('SL22517-2022-11-02-5008','S209-16','Fc', 'SU')
('SL22517-2022-11-02-5009','S209-17','ahhwTBgkIBH', 'LB')
('SL04652-2022-11-01-5023','S210-7','xkMZiRBzOPGVWAYL', 'SL')
('AC22517-2022-11-01-5113','A285-1','eShNRhPEftZDCGD', 'LB')
('AC22517-2022-11-02-5164','A287-16','DHbgNguMiTvTsEw', 'UB')
('AC22517-2022-11-01-5116','A285-4','GZeQQkqomkHSF', 'UB')
('SL12058-2022-11-01-4974','S208-6','VRgBpUJz', 'UB')
('SL22517-2022-11-01-4999','S209-7','tvHrzbmVBhw', 'SL')
('SL12058-2022-11-01-4976','S208-8','zzZrZNpN', 'SU')
('AC22517-2022-11-01-5126','A285-14','kGPSpyzCZt', 'LB')
('AC22517-2022-11-01-5127','A285-15','ZftSgefoQdvNr', 'UB')
('AC22517-2022-11-01-5130','A285-18','WwlRlOQe', 'SU')
('SL22517-2022-11-01-5004','S209-12','PtwQkrJHLtWy', 'LB')
('AC22517-2022-11-02-5176','A288-10','ICjfiAwgWIaHtFYL', 'UB')
('SL04652-2022-11-01-5041','S211-1','H', 'LB')
('AC22517-2022-11-01-5133','A286-3','GiJOeWvMJFaV', 'UB')
('SL12058-2022-11-01-4984','S208-16','UojpmgqYDzClYR', 'SU')
('SL22517-2022-11-01-5009','S209-17','IoIWKX', 'LB')
('AC12058-2022-11-01-5107','A284-13','ZSaQetUvtjmlLT', 'LB')
('SL22517-2022-11-01-5015','S209-23','VXJvdlmpIXiw', 'SL')
('SL04652-2022-11-02-5085','S212-21','xMMWzPxTDNijlOK', 'MB')
('SL22517-2022-11-01-5018','S210-2','EOmhDe', 'MB')
