('SL12058-2022-11-01-9','S1-9','xNtE', 'LB')
('SL04652-2022-11-01-270','S12-6','NBhadpQt', 'UB')
('SL22517-2022-11-02-279','S12-15','LzmFB', 'SL')
('SL04652-2022-11-01-272','S12-8','iLlfxOgW', 'SU')
('AC22517-2022-11-02-311','A18-5','AsfqcI', 'SL')
('AC04652-2022-11-01-305','A17-17','TMAXkQOCJDoPqT', 'SL')
('AC22517-2022-11-02-312','A18-6','EdNyigxNcgpJWx', 'SU')
('SL22517-2022-11-02-280','S12-16','JzjjjsrXtomU', 'SU')
('SL22517-2022-11-02-281','S12-17','o', 'LB')
('AC04652-2022-11-01-308','A18-2','HYkJUoLF', 'LB')
('AC04652-2022-11-02-277','A16-7','OFBVcFrUSIYDdUL', 'LB')
('AC22517-2022-11-01-277','A16-7','uTFLnbsFZwQHik', 'LB')
('SL12058-2022-11-01-281','S12-17','VUjCGQGWHDto', 'LB')
('AC22517-2022-11-02-316','A18-10','mBZMYDmuWGimaDCN', 'UB')
('SL12058-2022-11-01-282','S12-18','EYRPVrdQSrxOhbF', 'MB')
('AC22517-2022-11-02-317','A18-11','e', 'SL')
('AC04652-2022-11-02-281','A16-11','FenGXLTMMAJqYia', 'SL')
('SL22517-2022-11-01-291','S13-3','wwubiLPUuBnnkUb', 'UB')
('AC12058-2022-11-01-308','A18-2','UNDoCH', 'LB')
('SL04652-2022-11-02-268','S12-4','XLKUSGup', 'LB')
('AC12058-2022-11-01-310','A18-4','qZkUoRYimoOLpMa', 'UB')
('SL12058-2022-11-01-290','S13-2','iLTMEQv', 'MB')
('AC22517-2022-11-02-379','A22-1','NfsXReoiyiwQeMs', 'LB')
('AC04652-2022-11-01-371','A21-11','YXFmcyyTjX', 'SL')
('AC04652-2022-11-02-339','A19-15','czgLafSzflgLtQ', 'UB')
('AC12058-2022-11-01-362','A21-2','ZkZkwXUaFsT', 'LB')
('SL04652-2022-11-01-338','S15-2','OIijzKAZoOyknOrx', 'MB')
('AC22517-2022-11-01-335','A19-11','naZuNp', 'SL')
('AC22517-2022-11-02-394','A22-16','C', 'UB')
('AC12058-2022-11-01-373','A21-13','rR', 'LB')
('SL04652-2022-11-01-347','S15-11','xlwkIrTC', 'UB')
('AC22517-2022-11-01-336','A19-12','atZJHp', 'SU')
('SL04652-2022-11-01-349','S15-13','dCZsKzSQ', 'MB')
('SL12058-2022-11-01-363','S16-3','hf', 'UB')
('SL12058-2022-11-01-364','S16-4','NoeoNwJG', 'LB')
('SL04652-2022-11-01-352','S15-16','uSBFlaGTFx', 'SU')
('AC12058-2022-11-01-378','A21-18','aJGx', 'SU')
('SL12058-2022-11-01-476','S20-20','cVmBbyfAGiq', 'LB')
('SL04652-2022-11-01-463','S20-7','pMCVmD', 'SL')
('AC22517-2022-11-01-428','A24-14','pw', 'LB')
('SL22517-2022-11-02-487','S21-7','tzjVOvc', 'SL')
('SL12058-2022-11-01-490','S21-10','keRypLwD', 'MB')
('SL04652-2022-11-02-474','S20-18','lhFAnXqICog', 'MB')
('AC04652-2022-11-02-523','A30-1','sQkEJlAq', 'LB')
('AC22517-2022-11-02-563','A32-5','nyYvZx', 'SL')
('SL04652-2022-11-02-494','S21-14','d', 'UB')
('AC04652-2022-11-01-539','A30-17','uFl', 'SL')
('SL04652-2022-11-02-498','S21-18','VdkhLwf', 'MB')
('SL22517-2022-11-01-536','S23-8','brlVePV', 'SU')
('SL22517-2022-11-02-529','S23-1','abm', 'LB')
('AC12058-2022-11-01-573','A32-15','kjAcVWjNgEYupmq', 'UB')
('AC12058-2022-11-01-574','A32-16','hqlldefFAURfGDbC', 'UB')
('AC22517-2022-11-02-591','A33-15','oWEkUMcWxRpgeR', 'UB')
('AC04652-2022-11-01-549','A31-9','NHthVVJG', 'UB')
('SL22517-2022-11-01-544','S23-16','tMEGpKT', 'SU')
('AC22517-2022-11-01-492','A28-6','PmTomlriDQC', 'SU')
('SL22517-2022-11-01-546','S23-18','CKeQYTAkQAp', 'MB')
('SL04652-2022-11-02-506','S22-2','vLT', 'MB')
('AC04652-2022-11-01-553','A31-13','kcnnUlooXSPRP', 'LB')
('AC22517-2022-11-02-602','A34-8','ieHQcmZndHk', 'LB')
('AC04652-2022-11-02-554','A31-14','NBeKrwr', 'LB')
('AC12058-2022-11-01-586','A33-10','HOVzGLUNDPiP', 'UB')
('AC12058-2022-11-01-587','A33-11','KJLagkEDrk', 'SL')
('SL12058-2022-11-01-551','S23-23','ImV', 'SL')
('SL22517-2022-11-02-547','S23-19','HcFaVEyVCA', 'UB')
('SL04652-2022-11-01-542','S23-14','rk', 'UB')
('AC04652-2022-11-01-559','A32-1','NiJiPKB', 'LB')
('SL04652-2022-11-02-509','S22-5','yNv', 'MB')
('SL04652-2022-11-02-510','S22-6','nYdXql', 'UB')
('SL22517-2022-11-02-555','S24-3','a', 'UB')
('AC22517-2022-11-01-510','A29-6','DkGjxNFonbDBUCa', 'SU')
('AC22517-2022-11-01-511','A29-7','AEcLDbFbNQJ', 'LB')
('AC12058-2022-11-01-595','A34-1','rkXHxO', 'LB')
('AC04652-2022-11-02-569','A32-11','Q', 'SL')
('SL04652-2022-11-02-517','S22-13','gXSiNOAma', 'MB')
('SL22517-2022-11-02-559','S24-7','JnbeFrCRYwXNze', 'SL')
('SL12058-2022-11-01-564','S24-12','pkSzz', 'LB')
('SL22517-2022-11-01-574','S24-22','AQIUXsIfZZsaQtNz', 'UB')
('SL04652-2022-11-02-520','S22-16','yzoCLV', 'SU')
('SL22517-2022-11-01-575','S24-23','gwW', 'SL')
('SL12058-2022-11-01-573','S24-21','PIcSFL', 'MB')
('AC22517-2022-11-02-623','A35-11','Q', 'SL')
('SL04652-2022-11-01-581','S25-5','GjtqfE', 'MB')
('AC22517-2022-11-01-538','A30-16','UDZlftxFRCIVlof', 'UB')
('SL22517-2022-11-01-593','S25-17','HCxMi', 'LB')
('SL12058-2022-11-01-587','S25-11','jbvyf', 'UB')
('AC22517-2022-11-02-674','A38-8','reJpgNAnFiNgnSI', 'LB')
('SL12058-2022-11-01-631','S27-7','JGOSgsD', 'SL')
('AC04652-2022-11-02-642','A36-12','nKrjck', 'SU')
('AC04652-2022-11-02-643','A36-13','nkwHXXMsGgIA', 'LB')
('AC22517-2022-11-02-681','A38-15','dPCHRVHX', 'UB')
('SL22517-2022-11-01-648','S27-24','KYGi', 'SU')
('SL04652-2022-11-01-643','S27-19','FzXbKKOKRhCDWRZ', 'UB')
('SL04652-2022-11-01-644','S27-20','z', 'LB')
('SL04652-2022-11-02-607','S26-7','ANpfuybHFi', 'SL')
('SL12058-2022-11-01-640','S27-16','vz', 'SU')
('SL04652-2022-11-01-648','S27-24','lHxSihEHAvboH', 'SU')
('AC22517-2022-11-01-603','A34-9','jtuGCUqjLREabd', 'UB')
('AC12058-2022-11-01-664','A37-16','QoDIHkcvhWY', 'UB')
('SL12058-2022-11-01-644','S27-20','UVmisaaxq', 'LB')
('AC04652-2022-11-01-647','A36-17','OjojpqWYakGvV', 'SL')
('SL22517-2022-11-01-658','S28-10','oixfkgVgneVWfr', 'MB')
('SL04652-2022-11-01-651','S28-3','JpKHCWXccLmywx', 'UB')
('SL04652-2022-11-01-652','S28-4','ryAIjGDwflnevtCS', 'LB')
('SL04652-2022-11-02-613','S26-13','XlYWsVYhZqAxA', 'MB')
('AC22517-2022-11-01-608','A34-14','Qx', 'LB')
('SL12058-2022-11-01-649','S28-1','ccntVwflayR', 'LB')
('SL22517-2022-11-01-664','S28-16','YLpZPvr', 'SU')
('SL22517-2022-11-01-665','S28-17','QKKWCLrnLYXBFr', 'LB')
('AC22517-2022-11-01-610','A34-16','ZbIb', 'UB')
('SL12058-2022-11-01-652','S28-4','niZB', 'LB')
('AC22517-2022-11-01-621','A35-9','oVqRIVGnwmj', 'UB')
('AC12058-2022-11-01-683','A38-17','JQNFloVQejXdI', 'SL')
('AC22517-2022-11-01-634','A36-4','qO', 'UB')
('AC22517-2022-11-02-720','A40-18','sIda', 'SU')
('SL04652-2022-11-01-692','S29-20','M', 'LB')
('SL04652-2022-11-02-698','S30-2','cooSTlDDZ', 'MB')
('AC22517-2022-11-01-737','A41-17','QTQHfsIHL', 'SL')
('AC22517-2022-11-01-738','A41-18','QlwAu', 'SU')
('SL12058-2022-11-01-792','S33-24','OhTTzIM', 'SU')
('AC04652-2022-11-02-770','A43-14','cRNKERb', 'LB')
('AC04652-2022-11-02-771','A43-15','uShFLIrVTNYwd', 'UB')
('AC22517-2022-11-02-821','A46-11','bhOdq', 'SL')
('SL12058-2022-11-01-796','S34-4','kvgvZFgemUl', 'LB')
('SL12058-2022-11-01-797','S34-5','sG', 'MB')
('SL04652-2022-11-02-743','S31-23','VDJm', 'SL')
('AC22517-2022-11-01-743','A42-5','jNfbMx', 'SL')
('SL04652-2022-11-01-785','S33-17','YggYjivie', 'LB')
('SL04652-2022-11-01-786','S33-18','WXcbNYnn', 'MB')
('AC12058-2022-11-01-800','A45-8','WkYmKhXoMqNq', 'LB')
('SL04652-2022-11-01-787','S33-19','eAgQUAm', 'UB')
('SL12058-2022-11-01-805','S34-13','lqDSRwEl', 'MB')
('AC12058-2022-11-01-809','A45-17','fvWSyVclKBXsvqLo', 'SL')
('AC04652-2022-11-02-777','A44-3','bDCzJnDBYKFww', 'UB')
('AC04652-2022-11-01-782','A44-8','MH', 'LB')
('SL04652-2022-11-02-752','S32-8','NqdFBs', 'SU')
('AC04652-2022-11-01-784','A44-10','CyLA', 'UB')
('AC04652-2022-11-01-785','A44-11','zuzeNCDlwzsvqlP', 'SL')
('SL04652-2022-11-01-793','S34-1','iBJpPcwfUzI', 'LB')
('AC22517-2022-11-01-760','A43-4','PwLxWg', 'UB')
('SL22517-2022-11-01-806','S34-14','oFaPvpMpBca', 'UB')
('SL12058-2022-11-01-813','S34-21','Ap', 'MB')
('AC22517-2022-11-01-762','A43-6','kgat', 'SU')
('AC04652-2022-11-01-797','A45-5','UmHgCmclKM', 'SL')
('AC04652-2022-11-01-798','A45-6','bwlY', 'SU')
('SL22517-2022-11-01-813','S34-21','Nna', 'MB')
('AC22517-2022-11-02-850','A48-4','IRkF', 'UB')
('SL04652-2022-11-02-769','S33-1','msgBtmTpKjzZT', 'LB')
('AC04652-2022-11-01-806','A45-14','HnhPE', 'LB')
('AC12058-2022-11-01-824','A46-14','YUNiIiS', 'LB')
('AC04652-2022-11-01-815','A46-5','FiEQgJQYBXT', 'SL')
('AC22517-2022-11-01-779','A44-5','VSi', 'SL')
('AC22517-2022-11-02-862','A48-16','ajJ', 'UB')
('AC12058-2022-11-01-827','A46-17','ZcUMcTLSWXK', 'SL')
('SL22517-2022-11-01-830','S35-14','SlhovuaON', 'UB')
('AC04652-2022-11-01-835','A47-7','sMJVCccFKIJeYlH', 'LB')
('SL12058-2022-11-01-848','S36-8','rZxCrRdUmWk', 'SU')
('SL04652-2022-11-02-791','S33-23','eAsoYyhOBnstVYPy', 'SL')
('SL22517-2022-11-01-839','S35-23','nN', 'SL')
('SL04652-2022-11-02-860','S36-20','irHeZNdbJrboFcr', 'LB')
('AC22517-2022-11-01-860','A48-14','wgaBNvM', 'LB')
('SL12058-2022-11-01-927','S39-15','DAMZDqNifuZ', 'SL')
('AC22517-2022-11-01-862','A48-16','oaDbwJhP', 'UB')
('AC22517-2022-11-02-951','A53-15','Dv', 'UB')
('AC22517-2022-11-01-865','A49-1','DjWxFWlJRMUg', 'LB')
('SL12058-2022-11-01-932','S39-20','xN', 'LB')
('AC12058-2022-11-01-911','A51-11','vCpPRlfeTpiaU', 'SL')
('SL12058-2022-11-01-934','S39-22','eRyLmTLqbdntjr', 'UB')
('SL04652-2022-11-01-902','S38-14','m', 'UB')
('AC12058-2022-11-01-912','A51-12','VAlUN', 'SU')
('SL04652-2022-11-01-904','S38-16','cXiSkRex', 'SU')
('SL04652-2022-11-01-905','S38-17','hUIzkfqRiEGuQMN', 'LB')
('SL22517-2022-11-01-961','S41-1','q', 'LB')
('AC04652-2022-11-01-964','A54-10','VXVxExQUUxKfSstk', 'UB')
('SL22517-2022-11-02-972','S41-12','NAEWGEos', 'LB')
('SL12058-2022-11-01-1017','S43-9','ceR', 'LB')
('SL22517-2022-11-02-1032','S43-24','OJNLtBBzcftjMmd', 'SU')
('SL04652-2022-11-02-946','S40-10','cvzJuZdLxk', 'MB')
('AC22517-2022-11-01-995','A56-5','DreIVlOAU', 'SL')
('SL22517-2022-11-02-1061','S45-5','MbCEJUbuInj', 'MB')
('SL04652-2022-11-01-1018','S43-10','XV', 'MB')
('SL04652-2022-11-01-1019','S43-11','hCSiv', 'UB')
('AC22517-2022-11-01-1028','A58-2','dnCOO', 'LB')
('AC22517-2022-11-02-1092','A61-12','JTPHvPawLhPeu', 'SU')
('SL22517-2022-11-01-1063','S45-7','z', 'SL')
('SL04652-2022-11-02-1017','S43-9','dGXGLo', 'LB')
('AC22517-2022-11-01-1036','A58-10','EIcvLMNNU', 'UB')
('AC12058-2022-11-01-1052','A59-8','QXQGssMQCIx', 'LB')
('SL04652-2022-11-01-1056','S44-24','bJVsnNLpvo', 'SU')
('AC22517-2022-11-01-1043','A58-17','oKHs', 'SL')
('AC12058-2022-11-01-1062','A59-18','JUKiNQtgsVlj', 'SU')
('AC04652-2022-11-02-1050','A59-6','xUuITAy', 'SU')
('SL22517-2022-11-01-1076','S45-20','yIYCZibZFTCxLY', 'LB')
('SL12058-2022-11-01-1074','S45-18','oJE', 'MB')
('SL04652-2022-11-02-1029','S43-21','wIUWllanKpVlnX', 'MB')
('AC04652-2022-11-01-1082','A61-2','Udzr', 'LB')
('AC22517-2022-11-02-1108','A62-10','NrX', 'UB')
('SL04652-2022-11-01-1075','S45-19','wrNX', 'UB')
('AC22517-2022-11-01-1060','A59-16','jgnkWkJBMJQMx', 'UB')
('SL04652-2022-11-02-1039','S44-7','VOJfzFViAQJYcaKH', 'SL')
('AC12058-2022-11-01-1076','A60-14','eQdtvl', 'LB')
('AC22517-2022-11-01-1063','A60-1','TTxf', 'LB')
('SL22517-2022-11-02-1124','S47-20','VlyDDgWcKIgy', 'LB')
('SL04652-2022-11-02-1045','S44-13','ebaLYDkbsvMJv', 'MB')
('AC22517-2022-11-01-1069','A60-7','wKLOZfmsRLw', 'LB')
('AC04652-2022-11-01-1098','A61-18','BHRHrghL', 'SU')
('SL22517-2022-11-01-1086','S46-6','AvxIsaLgGCxz', 'UB')
('SL22517-2022-11-01-1088','S46-8','cUfijXDk', 'SU')
('SL12058-2022-11-01-1087','S46-7','mDUuc', 'SL')
('SL22517-2022-11-02-1132','S48-4','orgNZpPDVAd', 'LB')
('SL22517-2022-11-01-1092','S46-12','JtHmbhMmhhgF', 'LB')
('AC22517-2022-11-01-1078','A60-16','plrBghM', 'UB')
('SL04652-2022-11-01-1088','S46-8','ZKStgxeplKEKYNM', 'SU')
('SL04652-2022-11-01-1099','S46-19','JN', 'UB')
('AC22517-2022-11-01-1087','A61-7','qBKKMWMRAXPaV', 'LB')
('SL04652-2022-11-02-1068','S45-12','nAbVyrvxnHr', 'LB')
('AC04652-2022-11-02-1082','A61-2','RuDThbhhwXmmSAkO', 'LB')
('SL22517-2022-11-01-1139','S48-11','k', 'UB')
('AC04652-2022-11-02-1115','A62-17','WARjjh', 'SL')
('AC04652-2022-11-01-1152','A64-18','ky', 'SU')
('AC12058-2022-11-01-1129','A63-13','XycPcjW', 'LB')
('AC22517-2022-11-02-1175','A66-5','hDvuS', 'SL')
('SL22517-2022-11-02-1179','S50-3','xY', 'UB')
('SL22517-2022-11-02-1180','S50-4','JdGiXRcLJ', 'LB')
('AC04652-2022-11-01-1159','A65-7','B', 'LB')
('AC04652-2022-11-01-1162','A65-10','QrceRm', 'UB')
('SL04652-2022-11-02-1115','S47-11','zrUIuPOpuMF', 'UB')
('SL22517-2022-11-02-1186','S50-10','RHTulIhHnGJCTA', 'MB')
('SL12058-2022-11-01-1137','S48-9','HSvEi', 'LB')
('SL22517-2022-11-01-1192','S50-16','VVuIHEbaPepZTgQj', 'SU')
('SL22517-2022-11-01-1193','S50-17','GvgkFe', 'LB')
('AC22517-2022-11-02-1214','A68-8','wWlxgTvJtB', 'LB')
('SL12058-2022-11-01-1175','S49-23','YbvUMWN', 'SL')
('SL12058-2022-11-01-1191','S50-15','aYeIBJktlaQPjw', 'SL')
('SL04652-2022-11-01-1202','S51-2','DCcUJNZ', 'MB')
('AC12058-2022-11-01-1197','A67-9','ojmVRcUdJZYrLGw', 'UB')
('SL22517-2022-11-01-1215','S51-15','wUEigqoSp', 'SL')
('AC22517-2022-11-02-1233','A69-9','ElBlffyVTQLJ', 'UB')
('AC22517-2022-11-01-1184','A66-14','DhabQPSz', 'LB')
('AC12058-2022-11-01-1200','A67-12','rEbIyhcdZKVRqpm', 'SU')
('AC22517-2022-11-02-1236','A69-12','hV', 'SU')
('AC04652-2022-11-01-1236','A69-12','jUsOzcSMA', 'SU')
('AC12058-2022-11-01-1209','A68-3','pbFq', 'UB')
('AC04652-2022-11-02-1200','A67-12','ZQlqfXYWEiMULsy', 'SU')
('AC04652-2022-11-02-1201','A67-13','fmNTfEQkj', 'LB')
('SL22517-2022-11-01-1234','S52-10','WRtMFShjlO', 'MB')
('SL22517-2022-11-01-1272','S53-24','dephqSxwg', 'SU')
('SL04652-2022-11-01-1264','S53-16','MovJ', 'SU')
('AC12058-2022-11-01-1260','A70-18','UhiEOK', 'SU')
('SL04652-2022-11-01-1268','S53-20','DeDqbGlQC', 'LB')
('AC04652-2022-11-02-1245','A70-3','ohNtzjHqmnxauB', 'UB')
('AC04652-2022-11-02-1246','A70-4','zNPHrpECyAtyX', 'UB')
('SL22517-2022-11-01-1277','S54-5','FsFREKGuwMAu', 'MB')
('AC04652-2022-11-02-1248','A70-6','IryzSLUIopi', 'SU')
('SL04652-2022-11-01-1273','S54-1','yLfKiTdMy', 'LB')
('AC22517-2022-11-01-1236','A69-12','k', 'SU')
('AC22517-2022-11-01-1243','A70-1','KtoldwsdpHsTF', 'LB')
('SL22517-2022-11-02-1307','S55-11','z', 'UB')
('AC22517-2022-11-01-1247','A70-5','OQoCSSYJIj', 'SL')
('AC22517-2022-11-01-1248','A70-6','ySmifIVlSuRI', 'SU')
('SL12058-2022-11-01-1255','S53-7','AoZkr', 'SL')
('SL04652-2022-11-01-1282','S54-10','wdk', 'MB')
('SL22517-2022-11-01-1283','S54-11','AeEiyodvdwHKKjb', 'UB')
('AC04652-2022-11-02-1257','A70-15','FIhTTpUWD', 'UB')
('AC22517-2022-11-02-1306','A73-10','oWfajhfwKRfpGPvH', 'UB')
('AC22517-2022-11-01-1255','A70-13','GfuF', 'LB')
('SL22517-2022-11-02-1325','S56-5','cbjR', 'MB')
('SL22517-2022-11-02-1329','S56-9','xiVMVqUlMhK', 'LB')
('SL04652-2022-11-01-1293','S54-21','bokbJcWnL', 'MB')
('AC04652-2022-11-01-1301','A73-5','xuHxNzcqyt', 'SL')
('SL04652-2022-11-02-1263','S53-15','D', 'SL')
('SL12058-2022-11-01-1271','S53-23','skdxjuGjUxk', 'SL')
('SL04652-2022-11-02-1266','S53-18','pQphLAfjABSC', 'MB')
('SL22517-2022-11-02-1337','S56-17','VKVGHHfbnTnjWkoF', 'LB')
('AC04652-2022-11-01-1320','A74-6','GM', 'SU')
('SL04652-2022-11-01-1306','S55-10','ACPBDE', 'MB')
('SL12058-2022-11-01-1287','S54-15','bmSQj', 'SL')
('SL12058-2022-11-01-1288','S54-16','VDBCUAljAMx', 'SU')
('AC22517-2022-11-01-1280','A72-2','amndRlWAWkhD', 'LB')
('SL22517-2022-11-01-1304','S55-8','jsDnulkaZozfb', 'SU')
('AC22517-2022-11-01-1287','A72-9','cSn', 'UB')
('SL04652-2022-11-02-1291','S54-19','xmQmUVjmkqwlnXJ', 'UB')
('SL22517-2022-11-01-1310','S55-14','Wd', 'UB')
('AC04652-2022-11-02-1297','A73-1','BOKuHiOcDBKhHb', 'LB')
('AC04652-2022-11-02-1298','A73-2','OqxcqZFMwSfEL', 'LB')
('SL12058-2022-11-01-1298','S55-2','rglmlrz', 'MB')
('SL22517-2022-11-02-1353','S57-9','VDwMbxQkjr', 'LB')
('SL04652-2022-11-02-1297','S55-1','UIdBVac', 'LB')
('SL12058-2022-11-01-1301','S55-5','RIVZ', 'MB')
('AC12058-2022-11-01-1327','A74-13','svAOzRugJRDM', 'LB')
('AC04652-2022-11-02-1303','A73-7','sPQEnu', 'LB')
('SL04652-2022-11-01-1321','S56-1','joimuunSp', 'LB')
('SL04652-2022-11-01-1360','S57-16','OWurTnWymM', 'SU')
('SL04652-2022-11-01-1361','S57-17','uTLgiIxVboaVWH', 'LB')
('AC12058-2022-11-01-1369','A77-1','F', 'LB')
('AC22517-2022-11-02-1394','A78-8','qNTSjHgJyNKuC', 'LB')
('SL12058-2022-11-01-1345','S57-1','quP', 'LB')
('AC04652-2022-11-01-1387','A78-1','GqeBfvUGbD', 'LB')
('SL04652-2022-11-01-1366','S57-22','fTAx', 'UB')
('AC22517-2022-11-01-1342','A75-10','UKO', 'UB')
('AC22517-2022-11-02-1397','A78-11','roI', 'SL')
('AC04652-2022-11-02-1351','A76-1','CUMFZB', 'LB')
('SL04652-2022-11-02-1348','S57-4','UbC', 'LB')
('AC22517-2022-11-02-1400','A78-14','ASEw', 'LB')
('AC22517-2022-11-02-1401','A78-15','KzPUEjytMvhLqAot', 'UB')
('SL12058-2022-11-01-1349','S57-5','qMyhIEkIoik', 'MB')
('AC22517-2022-11-01-1348','A75-16','gAmPk', 'UB')
('AC22517-2022-11-02-1404','A78-18','hbdcQtFBAa', 'SU')
('AC04652-2022-11-01-1395','A78-9','B', 'UB')
('AC22517-2022-11-01-1351','A76-1','o', 'LB')
('AC22517-2022-11-02-1406','A79-2','EhNKiDlqas', 'LB')
('SL22517-2022-11-02-1407','S59-15','nrwCMvFfcxldol', 'SL')
('AC22517-2022-11-01-1353','A76-3','FQZtQekC', 'UB')
('SL12058-2022-11-01-1359','S57-15','eG', 'SL')
('SL12058-2022-11-01-1360','S57-16','jdXqjAghClJo', 'SU')
('AC04652-2022-11-01-1404','A78-18','jZrwjD', 'SU')
('AC12058-2022-11-01-1386','A77-18','c', 'SU')
