('AC12058-2022-11-01-9672','A538-6','IVQyAsy', 'SU')
('SL22517-2022-11-01-9808','S409-16','IxzTlu', 'SU')
('SL04652-2022-11-01-9923','S414-11','DTFL', 'UB')
('AC22517-2022-11-02-9919','A552-1','oj', 'LB')
('AC22517-2022-11-02-9920','A552-2','B', 'LB')
('AC04652-2022-11-02-9933','A552-15','WWLQNkDBTa', 'UB')
('SL22517-2022-11-01-9814','S409-22','RJhoAwIUa', 'UB')
('AC22517-2022-11-02-9927','A552-9','cEuwMUw', 'UB')
('AC04652-2022-11-01-9847','A548-1','h', 'LB')
('SL22517-2022-11-02-9902','S413-14','TeguyPhsrnWRIEb', 'UB')
('SL04652-2022-11-01-9931','S414-19','UDC', 'UB')
('AC04652-2022-11-01-9849','A548-3','rHDlYFSVB', 'UB')
('SL12058-2022-11-01-9768','S407-24','M', 'SU')
('AC04652-2022-11-02-9939','A553-3','SeevKtIKC', 'UB')
('SL04652-2022-11-01-9932','S414-20','Fay', 'LB')
('SL12058-2022-11-01-9769','S408-1','sdynBpO', 'LB')
('SL04652-2022-11-01-9934','S414-22','nt', 'UB')
('AC22517-2022-11-02-9933','A552-15','CEYgqhlLflt', 'UB')
('SL12058-2022-11-01-9771','S408-3','jpdfioYWd', 'UB')
('AC22517-2022-11-01-9739','A542-1','gc', 'LB')
('SL12058-2022-11-01-9773','S408-5','hTHctiP', 'MB')
('AC04652-2022-11-01-9851','A548-5','toDWbU', 'SL')
('AC04652-2022-11-01-9852','A548-6','iwpPuJ', 'SU')
('SL22517-2022-11-02-9906','S413-18','tbLZ', 'MB')
('AC22517-2022-11-02-9934','A552-16','CyTYnVeAiYcFceu', 'UB')
('AC22517-2022-11-02-9935','A552-17','XKrK', 'SL')
('AC22517-2022-11-01-9743','A542-5','wLQij', 'SL')
('SL04652-2022-11-01-9937','S415-1','Fq', 'LB')
('AC04652-2022-11-02-9940','A553-4','VBYCcWqR', 'UB')
('AC22517-2022-11-02-9937','A553-1','X', 'LB')
('SL04652-2022-11-01-9938','S415-2','clb', 'MB')
('AC22517-2022-11-02-9938','A553-2','oAeWhZLq', 'LB')
('AC12058-2022-11-01-9713','A540-11','qBtigqcvXfJ', 'SL')
('SL12058-2022-11-01-9777','S408-9','i', 'LB')
('AC22517-2022-11-01-9746','A542-8','pfdoLjFOyvNl', 'LB')
('SL04652-2022-11-01-9940','S415-4','QzGSoW', 'LB')
('SL04652-2022-11-01-9941','S415-5','SQATqtqlRnHjfmO', 'MB')
('AC04652-2022-11-02-9944','A553-8','DWFmoPNO', 'LB')
('AC22517-2022-11-01-9752','A542-14','kXFYJ', 'LB')
('SL22517-2022-11-01-9827','S410-11','MRJSLnZUNZoyp', 'UB')
('AC22517-2022-11-01-9753','A542-15','FlHnOsbn', 'UB')
('SL04652-2022-11-02-9807','S409-15','gn', 'SL')
('SL22517-2022-11-02-9911','S413-23','QlSNjTyVvGc', 'SL')
('AC22517-2022-11-02-9945','A553-9','EHN', 'UB')
('AC04652-2022-11-01-9859','A548-13','rWlY', 'LB')
('SL22517-2022-11-02-9912','S413-24','mANzrSxi', 'SU')
('SL22517-2022-11-02-9913','S414-1','JycCoswaLOLel', 'LB')
('AC22517-2022-11-02-9947','A553-11','AISIvlIUyPFhWA', 'SL')
('SL12058-2022-11-01-9783','S408-15','e', 'SL')
('SL22517-2022-11-02-9917','S414-5','Y', 'MB')
('SL22517-2022-11-02-9918','S414-6','KT', 'UB')
('SL04652-2022-11-01-9946','S415-10','xqoCNQQtCLlOHX', 'MB')
('AC04652-2022-11-01-9861','A548-15','jeNNYQW', 'UB')
('AC04652-2022-11-01-9862','A548-16','CTQ', 'UB')
('SL12058-2022-11-01-9787','S408-19','B', 'UB')
('AC22517-2022-11-01-9760','A543-4','CxFwUJWdIGnf', 'UB')
('AC04652-2022-11-01-9863','A548-17','pbETTIlIJLngOi', 'SL')
('AC04652-2022-11-01-9864','A548-18','tPYTpV', 'SU')
('AC22517-2022-11-01-9764','A543-8','KIxrjWpChUg', 'LB')
('SL04652-2022-11-02-9818','S410-2','lsbNscyzINltBr', 'MB')
('SL04652-2022-11-01-9952','S415-16','FuXsEN', 'SU')
('SL12058-2022-11-01-9790','S408-22','vJl', 'UB')
('AC22517-2022-11-01-9765','A543-9','inRrXHoMGJ', 'UB')
('SL12058-2022-11-01-9792','S408-24','CPwN', 'SU')
('AC04652-2022-11-01-9869','A549-5','rqxcGaRaxiwqpRoj', 'SL')
('SL12058-2022-11-01-9793','S409-1','JFg', 'LB')
('SL22517-2022-11-01-9835','S410-19','saClseQtcBnF', 'UB')
('AC04652-2022-11-02-9955','A554-1','JOsyaPVr', 'LB')
('AC12058-2022-11-01-9725','A541-5','bw', 'SL')
('AC12058-2022-11-01-9726','A541-6','TxVMCSy', 'SU')
('AC22517-2022-11-02-9956','A554-2','jiHvln', 'LB')
('SL12058-2022-11-01-9796','S409-4','uPh', 'LB')
('AC04652-2022-11-01-9872','A549-8','T', 'LB')
('AC22517-2022-11-01-9771','A543-15','OK', 'UB')
('SL12058-2022-11-01-9798','S409-6','zaK', 'UB')
('AC12058-2022-11-01-9728','A541-8','JTuzBJvuVUEICRD', 'LB')
('AC22517-2022-11-01-9773','A543-17','vhTiOSKm', 'SL')
('SL22517-2022-11-01-9839','S410-23','Z', 'SL')
('SL22517-2022-11-02-9935','S414-23','hoOlXK', 'SL')
('SL04652-2022-11-01-9962','S416-2','kWRTTMHEPlPlpjCV', 'MB')
('SL22517-2022-11-02-9940','S415-4','YUEAVEEIbB', 'LB')
('AC12058-2022-11-01-9733','A541-13','NJo', 'LB')
('AC22517-2022-11-01-9776','A544-2','CuZ', 'LB')
('SL04652-2022-11-01-9964','S416-4','NAIMuogQVUwo', 'LB')
('SL22517-2022-11-01-9841','S411-1','GjhjpaqlRZvAAgpr', 'LB')
('AC04652-2022-11-02-9963','A554-9','KJBHNenGiAge', 'UB')
('SL22517-2022-11-01-9843','S411-3','ApZw', 'UB')
('AC22517-2022-11-02-9964','A554-10','v', 'UB')
('SL22517-2022-11-02-9944','S415-8','vYWnmVJhTVscO', 'SU')
('AC22517-2022-11-02-9965','A554-11','nWgJuPLRNMcdRY', 'SL')
('SL22517-2022-11-01-9844','S411-4','foT', 'LB')
('AC22517-2022-11-02-9967','A554-13','huKkl', 'LB')
('AC04652-2022-11-02-9966','A554-12','cFRlCZpSrnuWuQtc', 'SU')
('AC12058-2022-11-01-9735','A541-15','uDqdue', 'UB')
('SL22517-2022-11-01-9845','S411-5','ZBgYjJowzxeeX', 'MB')
('SL22517-2022-11-02-9947','S415-11','mZjHEUxxw', 'UB')
('SL22517-2022-11-01-9846','S411-6','hjJReJpnv', 'UB')
('AC04652-2022-11-02-9968','A554-14','LJbRnVD', 'LB')
('SL12058-2022-11-01-9812','S409-20','pepMToB', 'LB')
('SL22517-2022-11-02-9951','S415-15','Jpi', 'SL')
('AC12058-2022-11-01-9739','A542-1','CllHFlsoDD', 'LB')
('AC22517-2022-11-01-9783','A544-9','zkYklpscpVWRF', 'UB')
('AC22517-2022-11-01-9784','A544-10','X', 'UB')
('SL04652-2022-11-02-9837','S410-21','uifDYDpkXBfmBsl', 'MB')
('SL22517-2022-11-01-9853','S411-13','FlnMFGJRThWHt', 'MB')
('AC04652-2022-11-01-9881','A549-17','tgvAHVqTEip', 'SL')
('AC22517-2022-11-02-9973','A555-1','qyphAWFTjJYnslb', 'LB')
('AC22517-2022-11-01-9786','A544-12','nFTWTEPNn', 'SU')
('AC22517-2022-11-01-9787','A544-13','F', 'LB')
('SL04652-2022-11-02-9838','S410-22','MKiof', 'UB')
('AC22517-2022-11-01-9788','A544-14','jebfbV', 'LB')
('SL04652-2022-11-02-9839','S410-23','qvGb', 'SL')
('AC04652-2022-11-02-9972','A554-18','UYvm', 'SU')
('SL22517-2022-11-01-9858','S411-18','BmnadDrnNHbMKeC', 'MB')
('SL12058-2022-11-01-9820','S410-4','h', 'LB')
('AC22517-2022-11-01-9793','A545-1','ydC', 'LB')
('SL04652-2022-11-02-9840','S410-24','TtmK', 'SU')
('SL04652-2022-11-01-9980','S416-20','Vi', 'LB')
('SL22517-2022-11-01-9859','S411-19','utamOmRjzhWkelLk', 'UB')
('AC12058-2022-11-01-9746','A542-8','nvitv', 'LB')
('SL12058-2022-11-01-9828','S410-12','jxJnvlL', 'LB')
('AC22517-2022-11-02-9980','A555-8','dPtmWAclz', 'LB')
('SL04652-2022-11-01-9986','S417-2','yVQ', 'MB')
('SL04652-2022-11-02-9843','S411-3','znepgvAekPaqQ', 'UB')
('SL22517-2022-11-01-9863','S411-23','tiSdDquJFw', 'SL')
('SL04652-2022-11-02-9845','S411-5','hPjpp', 'MB')
('SL12058-2022-11-01-9830','S410-14','gAC', 'UB')
('SL12058-2022-11-01-9831','S410-15','fXlDXMBUWwHqbxz', 'SL')
('SL22517-2022-11-02-9957','S415-21','pp', 'MB')
('SL04652-2022-11-02-9849','S411-9','SBDbrQvS', 'LB')
('AC12058-2022-11-01-9755','A542-17','CBafHtRW', 'SL')
('SL22517-2022-11-02-9963','S416-3','ekx', 'UB')
('SL12058-2022-11-01-9836','S410-20','ThgGduXYWhF', 'LB')
('AC22517-2022-11-01-9805','A545-13','DC', 'LB')
('SL12058-2022-11-01-9837','S410-21','hjNioAtmysxPc', 'MB')
('SL12058-2022-11-01-9838','S410-22','Bij', 'UB')
('AC04652-2022-11-02-9978','A555-6','hjKDsdLuLnyR', 'SU')
('AC22517-2022-11-02-9985','A555-13','LiyMwclFkoURA', 'LB')
('SL12058-2022-11-01-9839','S410-23','CPcMZai', 'SL')
('SL22517-2022-11-01-9867','S412-3','pkxnJvooYCZ', 'UB')
('AC04652-2022-11-01-9900','A550-18','QMtrgun', 'SU')
('AC22517-2022-11-02-9987','A555-15','vkdrhJgTPyliur', 'UB')
('AC12058-2022-11-01-9763','A543-7','a', 'LB')
('AC04652-2022-11-02-9981','A555-9','flyGrzCRhJ', 'UB')
('SL12058-2022-11-01-9841','S411-1','koWjiQHKCVr', 'LB')
('AC22517-2022-11-02-9989','A555-17','r', 'SL')
('AC12058-2022-11-01-9764','A543-8','wVnCTBIUMzCuoW', 'LB')
('AC22517-2022-11-02-9990','A555-18','cICONLyqCruKrdT', 'SU')
('AC22517-2022-11-02-9991','A556-1','qriCsrzeUUFVEiN', 'LB')
('SL12058-2022-11-01-9844','S411-4','DnUsXTjOkwtszT', 'LB')
('SL12058-2022-11-01-9845','S411-5','Syiq', 'MB')
('SL04652-2022-11-01-9998','S417-14','aqRhQkdtE', 'UB')
('AC22517-2022-11-01-9807','A545-15','uBby', 'UB')
('AC12058-2022-11-01-9766','A543-10','rXdd', 'UB')
('AC04652-2022-11-01-9908','A551-8','swQ', 'LB')
('SL22517-2022-11-02-9968','S416-8','P', 'SU')
('SL12058-2022-11-01-9849','S411-9','a', 'LB')
('SL04652-2022-11-02-9859','S411-19','TJizneIsmzqk', 'UB')
('SL12058-2022-11-01-9850','S411-10','ykwkZTxwCSKT', 'MB')
('AC22517-2022-11-01-9810','A545-18','YXxeq', 'SU')
('SL22517-2022-11-01-9871','S412-7','TsNhqhf', 'SL')
('AC22517-2022-11-02-9994','A556-4','QTyMBAMuI', 'UB')
('AC22517-2022-11-02-9995','A556-5','SjSsNJwZbkTia', 'SL')
('SL22517-2022-11-02-9970','S416-10','fngEtkNzHoonr', 'MB')
('AC04652-2022-11-02-9991','A556-1','tRnMwClmBt', 'LB')
('AC12058-2022-11-01-9769','A543-13','hwXmNpob', 'LB')
('SL22517-2022-11-02-9972','S416-12','Cpb', 'LB')
('SL04652-2022-11-02-9866','S412-2','OTErscAIHRJK', 'MB')
('SL04652-2022-11-02-9868','S412-4','ckbyhXIm', 'LB')
('AC22517-2022-11-02-9999','A556-9','E', 'UB')
('AC12058-2022-11-01-9771','A543-15','npFBFypXKTEVgczK', 'UB')
('AC04652-2022-11-01-9909','A551-9','Kgqnd', 'UB')
('SL04652-2022-11-02-9871','S412-7','GcQqHboDaqCwuV', 'SL')
('AC04652-2022-11-01-9911','A551-11','skvgevLLg', 'SL')
('SL12058-2022-11-01-9855','S411-15','mvIKPDEiVTQBqVkr', 'SL')
('AC22517-2022-11-02-10003','A556-13','DUPXNotmvma', 'LB')
('AC04652-2022-11-01-9912','A551-12','jKPyzFggo', 'SU')
('SL04652-2022-11-02-9873','S412-9','ZRujXxRZBVrquEqK', 'LB')
('SL22517-2022-11-02-9978','S416-18','eoFyzKQiCzw', 'MB')
('SL12058-2022-11-01-9858','S411-18','uYghvLGFp', 'MB')
('SL22517-2022-11-01-9880','S412-16','Oc', 'SU')
('AC04652-2022-11-02-10002','A556-12','UbLjpXhXayivjiN', 'SU')
('AC22517-2022-11-02-10006','A556-16','taKMeuyWyuIXxzLe', 'UB')
('SL04652-2022-11-02-9875','S412-11','FYSYkPBWQ', 'UB')
('AC22517-2022-11-02-10008','A556-18','UUIu', 'SU')
('SL04652-2022-11-01-10012','S418-4','xUqBZuNUYyW', 'LB')
('AC04652-2022-11-01-9923','A552-5','dcikoCphJqxzUglm', 'SL')
('SL04652-2022-11-02-9883','S412-19','JccYWnx', 'UB')
('AC22517-2022-11-01-9822','A546-12','ovYoPGosuav', 'SU')
('AC22517-2022-11-02-10011','A557-3','TBaNbSYKeUXpz', 'UB')
('AC04652-2022-11-01-9925','A552-7','dyicZ', 'LB')
('SL22517-2022-11-02-9988','S417-4','sboKevYDhU', 'LB')
('SL04652-2022-11-02-9885','S412-21','ERiidflUOIrykd', 'MB')
('SL04652-2022-11-01-10016','S418-8','EdOggnFxvcbtk', 'SU')
('AC04652-2022-11-02-10007','A556-17','gCqpHtzAnFJ', 'SL')
('SL04652-2022-11-01-10017','S418-9','EdhmxqV', 'LB')
('SL04652-2022-11-01-10018','S418-10','sAz', 'MB')
('SL22517-2022-11-02-9992','S417-8','JiVUbbrUFaegeOm', 'SU')
('AC04652-2022-11-01-9929','A552-11','Yn', 'SL')
('AC12058-2022-11-01-9785','A544-11','eLkEU', 'SL')
('SL22517-2022-11-01-9892','S413-4','DDiPC', 'LB')
('SL12058-2022-11-01-9868','S412-4','osaZGpaVTrnsq', 'LB')
('SL04652-2022-11-02-9888','S412-24','BUsrFGibOXu', 'SU')
('SL22517-2022-11-02-9996','S417-12','wCAFVOcS', 'LB')
('AC04652-2022-11-01-9932','A552-14','niIfEhIUKwiHAIM', 'LB')
('AC04652-2022-11-01-9933','A552-15','lWTEJBMt', 'UB')
('SL22517-2022-11-02-9997','S417-13','lPdxvfVgTCT', 'MB')
('AC22517-2022-11-01-9830','A547-2','iqXQWIO', 'LB')
('AC04652-2022-11-01-9936','A552-18','mZkAMUEXiPGSOC', 'SU')
('AC22517-2022-11-02-10016','A557-8','FOAwDpjtVzWp', 'LB')
('AC22517-2022-11-02-10017','A557-9','tB', 'UB')
('SL22517-2022-11-01-9897','S413-9','AcnZgiHguxgIvVc', 'LB')
('SL04652-2022-11-01-10025','S418-17','XhorqHrdjw', 'LB')
('AC12058-2022-11-01-9789','A544-15','lyBKzCHXllsuKX', 'UB')
('SL22517-2022-11-02-10000','S417-16','qDnrRGPXkKewRP', 'SU')
('SL22517-2022-11-01-9900','S413-12','RbBZAKLP', 'LB')
('SL22517-2022-11-01-9901','S413-13','mOp', 'MB')
('SL04652-2022-11-02-9892','S413-4','vmVsQFtGU', 'LB')
('AC12058-2022-11-01-9792','A544-18','boOMtQk', 'SU')
('AC04652-2022-11-01-9938','A553-2','PMIcgqtGbF', 'LB')
('SL04652-2022-11-02-9894','S413-6','dXmPVEovopHt', 'UB')
('SL22517-2022-11-02-10007','S417-23','EHywF', 'SL')
('SL22517-2022-11-02-10008','S417-24','TrwLKf', 'SU')
('AC22517-2022-11-02-10022','A557-14','ptMOtRB', 'LB')
('AC22517-2022-11-01-9840','A547-12','wEnUFhrDyRFJwGmg', 'SU')
('AC22517-2022-11-01-9841','A547-13','kjNdecIH', 'LB')
('AC22517-2022-11-02-10026','A557-18','I', 'SU')
('AC22517-2022-11-02-10027','A558-1','rCBbqhwMhMXhyiD', 'LB')
('SL22517-2022-11-02-10012','S418-4','kGpeGGuHzykol', 'LB')
('AC22517-2022-11-01-9842','A547-14','EhC', 'LB')
('SL04652-2022-11-01-10036','S419-4','SIXlEPKmNUurl', 'LB')
('AC22517-2022-11-02-10029','A558-3','DUfc', 'UB')
('SL04652-2022-11-01-10039','S419-7','MpYeihKHRFXDKlra', 'SL')
('AC22517-2022-11-01-9847','A548-1','okAFZeIvNAchj', 'LB')
('AC22517-2022-11-02-10031','A558-5','zGYjCYNNiXC', 'SL')
('AC04652-2022-11-02-10025','A557-17','AELzeWarxDUPqnN', 'SL')
('AC04652-2022-11-02-10026','A557-18','RDw', 'SU')
('SL22517-2022-11-01-9907','S413-19','YzOluWUZKiz', 'UB')
('SL22517-2022-11-01-9908','S413-20','dWFJHhtuK', 'LB')
('AC22517-2022-11-01-9849','A548-3','zflYLRe', 'UB')
('AC04652-2022-11-02-10028','A558-2','pvjeMFGHZM', 'LB')
('AC04652-2022-11-01-9946','A553-10','JIBZQmB', 'UB')
('SL04652-2022-11-02-9905','S413-17','FqtD', 'LB')
('AC04652-2022-11-01-9949','A553-13','W', 'LB')
('AC04652-2022-11-02-10029','A558-3','vx', 'UB')
('AC04652-2022-11-01-9950','A553-14','aGCVz', 'LB')
('SL04652-2022-11-01-10045','S419-13','MBhubGnAjYTsPi', 'MB')
('AC22517-2022-11-01-9851','A548-5','CUwjtdiVYBDy', 'SL')
('AC04652-2022-11-01-9951','A553-15','RfeKQZw', 'UB')
('AC12058-2022-11-01-9803','A545-11','zY', 'SL')
('SL04652-2022-11-02-9911','S413-23','MIwAv', 'SL')
('AC04652-2022-11-01-9953','A553-17','oKCWRDyjsKzdfU', 'SL')
('AC12058-2022-11-01-9805','A545-13','KysqaIF', 'LB')
('AC04652-2022-11-02-10033','A558-7','gvOqyXglq', 'LB')
('SL22517-2022-11-01-9913','S414-1','TPuX', 'LB')
('SL22517-2022-11-02-10019','S418-11','m', 'UB')
('SL12058-2022-11-01-9889','S413-1','a', 'LB')
('SL12058-2022-11-01-9890','S413-2','vENLMuShpc', 'MB')
('SL22517-2022-11-01-9915','S414-3','yxyw', 'UB')
('AC12058-2022-11-01-9810','A545-18','QdmCAwUI', 'SU')
('AC04652-2022-11-01-9955','A554-1','SFUJKppZzseeyPp', 'LB')
('SL04652-2022-11-02-9915','S414-3','fTmluBFq', 'UB')
('AC04652-2022-11-01-9956','A554-2','FxBjwqMrVR', 'LB')
('AC12058-2022-11-01-9814','A546-4','su', 'UB')
('SL04652-2022-11-02-9916','S414-4','PNniKYWV', 'LB')
('SL12058-2022-11-01-9891','S413-3','bQrUnVoF', 'UB')
('AC04652-2022-11-02-10038','A558-12','lQnqY', 'SU')
('SL22517-2022-11-01-9919','S414-7','HEQACxXeSYEv', 'SL')
('AC04652-2022-11-02-10039','A558-13','M', 'LB')
('SL04652-2022-11-01-10054','S419-22','Nndy', 'UB')
('SL04652-2022-11-02-9918','S414-6','CoeX', 'UB')
('SL22517-2022-11-02-10024','S418-16','hOrwQPOvL', 'SU')
('SL12058-2022-11-01-9894','S413-6','AGiZg', 'UB')
('AC22517-2022-11-01-9862','A548-16','kVMkiECzRvTHbgZS', 'UB')
('AC12058-2022-11-01-9819','A546-9','ltfRgJcq', 'UB')
('SL12058-2022-11-01-9896','S413-8','EZRcQbBqUoWEN', 'SU')
('SL22517-2022-11-02-10025','S418-17','WQovRIOObpQeeJCB', 'LB')
('AC22517-2022-11-01-9863','A548-17','ipQXYpivg', 'SL')
('AC04652-2022-11-01-9962','A554-8','JUetcmmarFpaAlzK', 'LB')
('SL22517-2022-11-02-10026','S418-18','bwHXctkcYon', 'MB')
('SL04652-2022-11-02-9923','S414-11','tfBV', 'UB')
('AC12058-2022-11-01-9820','A546-10','hyCxtiBixYeodSU', 'UB')
('SL04652-2022-11-01-10056','S419-24','WOeFBDZbHzuyYVTW', 'SU')
('AC04652-2022-11-02-10045','A559-1','wmwUELcx', 'LB')
('SL22517-2022-11-01-9926','S414-14','MSAmtDcreT', 'UB')
('AC22517-2022-11-02-10048','A559-4','kLEntSO', 'UB')
('SL04652-2022-11-02-9926','S414-14','HFgxkjEtUxL', 'UB')
('AC04652-2022-11-02-10048','A559-4','MhDnExLAKXrdYTy', 'UB')
('AC04652-2022-11-01-9966','A554-12','pmWGdYZvecDjjODm', 'SU')
('SL12058-2022-11-01-9902','S413-14','McPkJoGbaip', 'UB')
('AC22517-2022-11-02-10050','A559-6','ADdReaHXtNBXEn', 'SU')
('SL22517-2022-11-02-10028','S418-20','g', 'LB')
('SL22517-2022-11-02-10029','S418-21','lcVjgktrIVmHyyn', 'MB')
('AC12058-2022-11-01-9826','A546-16','OTLUcHnRpI', 'UB')
('SL22517-2022-11-02-10030','S418-22','LcKNOBLnm', 'UB')
('SL12058-2022-11-01-9904','S413-16','GkOeYSglGApM', 'SU')
('AC12058-2022-11-01-9827','A546-17','YLHtZGmCmVlCse', 'SL')
('SL04652-2022-11-01-10060','S420-4','xeR', 'LB')
('SL04652-2022-11-02-9929','S414-17','KZtUFNVfboyatM', 'LB')
('AC04652-2022-11-02-10053','A559-9','fMxPBftjycbCC', 'UB')
('AC22517-2022-11-02-10054','A559-10','AWqTAtiLEoxeFSI', 'UB')
('AC12058-2022-11-01-9830','A547-2','jcty', 'LB')
('SL04652-2022-11-02-9930','S414-18','tWeGScyhTwHoxx', 'MB')
('SL22517-2022-11-01-9932','S414-20','MbxDyairLnE', 'LB')
('SL04652-2022-11-01-10061','S420-5','WpedfgCzDFutFTX', 'MB')
('SL22517-2022-11-02-10032','S418-24','NDygIuagrUIuZDHR', 'SU')
('AC04652-2022-11-02-10055','A559-11','ojE', 'SL')
('AC22517-2022-11-01-9872','A549-8','GqUBrzgTL', 'LB')
('AC04652-2022-11-02-10056','A559-12','o', 'SU')
('SL22517-2022-11-02-10033','S419-1','IEpkyZROUR', 'LB')
('SL22517-2022-11-02-10034','S419-2','ghJFj', 'MB')
('AC22517-2022-11-01-9874','A549-10','QsuWoUZEjTrEc', 'UB')
('AC04652-2022-11-01-9974','A555-2','QjVre', 'LB')
('AC12058-2022-11-01-9836','A547-8','wxmXF', 'LB')
('SL22517-2022-11-02-10037','S419-5','VvEA', 'MB')
('SL22517-2022-11-02-10038','S419-6','GZvEoOXyXYem', 'UB')
('SL12058-2022-11-01-9908','S413-20','MvCg', 'LB')
('AC12058-2022-11-01-9838','A547-10','kVlXfkv', 'UB')
('AC12058-2022-11-01-9839','A547-11','Jwbdirp', 'SL')
('AC04652-2022-11-01-9977','A555-5','HPlykrj', 'SL')
('AC04652-2022-11-02-10061','A559-17','qeGZr', 'SL')
('AC22517-2022-11-01-9879','A549-15','drGkfo', 'UB')
('AC04652-2022-11-02-10062','A559-18','khl', 'SU')
('AC22517-2022-11-01-9881','A549-17','QkXGw', 'SL')
('SL12058-2022-11-01-9910','S413-22','ODyCtlVG', 'UB')
('AC22517-2022-11-02-10058','A559-14','zsHpRfgaU', 'LB')
('SL22517-2022-11-01-9943','S415-7','UWONUEDGFL', 'SL')
('SL12058-2022-11-01-9912','S413-24','qMsukWaW', 'SU')
('AC04652-2022-11-01-9982','A555-10','GRcXM', 'UB')
('AC12058-2022-11-01-9841','A547-13','ESGp', 'LB')
('SL22517-2022-11-01-9945','S415-9','wQiOdv', 'LB')
('AC22517-2022-11-01-9884','A550-2','EQksZNGsIzZQh', 'LB')
('AC22517-2022-11-01-9885','A550-3','mqdVWapNha', 'UB')
('AC04652-2022-11-01-9985','A555-13','LaOItnAcwagbwE', 'LB')
('AC22517-2022-11-02-10060','A559-16','DEcMqzMpQ', 'UB')
('SL04652-2022-11-01-10074','S420-18','DykaFCKsL', 'MB')
('SL12058-2022-11-01-9915','S414-3','BanKHWdxJ', 'UB')
('AC22517-2022-11-01-9886','A550-4','baugRM', 'UB')
('AC12058-2022-11-01-9845','A547-17','Xuh', 'SL')
('AC22517-2022-11-01-9887','A550-5','YnHvI', 'SL')
('SL22517-2022-11-02-10049','S419-17','WUERTBrXSOWz', 'LB')
('AC04652-2022-11-01-9991','A556-1','JCNZYPPNBzihzo', 'LB')
