('AC12058-2022-11-01-1234','A69-10','gk', 'UB')
('SL22517-2022-11-01-1856','S78-8','eqZywW', 'SU')
('AC22517-2022-11-01-1876','A105-4','lpEHrS', 'UB')
('SL04652-2022-11-01-1880','S79-8','Otq', 'SU')
('AC12058-2022-11-01-1876','A105-4','OTMuRYlJQ', 'UB')
('SL04652-2022-11-02-1906','S80-10','RiknQhYtRLrpFnu', 'MB')
('SL22517-2022-11-02-1878','S79-6','uUNxaIzJYpLbmNJ', 'UB')
('SL04652-2022-11-01-1888','S79-16','JISeFiUWx', 'SU')
('SL04652-2022-11-02-1913','S80-17','iO', 'LB')
('SL12058-2022-11-01-1882','S79-10','GUncehGhBU', 'MB')
('SL04652-2022-11-01-1904','S80-8','WcnocLIrh', 'SU')
('AC04652-2022-11-01-1986','A111-6','uXD', 'SU')
('AC04652-2022-11-01-2005','A112-7','eHgoP', 'LB')
('SL04652-2022-11-01-1924','S81-4','lpWfWZKZrjlclb', 'LB')
('AC22517-2022-11-02-1910','A107-2','HAli', 'LB')
('SL22517-2022-11-02-1917','S80-21','xeiJNle', 'MB')
('AC04652-2022-11-01-2009','A112-11','Euuzksmd', 'SL')
('SL22517-2022-11-02-1919','S80-23','lwcKBeNTRAy', 'SL')
('AC04652-2022-11-02-1944','A108-18','pzvu', 'SU')
('AC04652-2022-11-01-2011','A112-13','ywmzRKMTxHr', 'LB')
('AC04652-2022-11-02-1947','A109-3','jLZDIQ', 'UB')
('AC22517-2022-11-01-1974','A110-12','lwLukGxXMC', 'SU')
('AC22517-2022-11-01-1975','A110-13','vIMioGiXFaGoEJ', 'LB')
('SL12058-2022-11-01-1909','S80-13','OFwlxYJ', 'MB')
('AC12058-2022-11-01-1901','A106-11','CV', 'SL')
('SL12058-2022-11-01-1912','S80-16','xsbwYTkuncoln', 'SU')
('SL04652-2022-11-02-1961','S82-17','Z', 'LB')
('AC04652-2022-11-01-2020','A113-4','PECv', 'UB')
('AC22517-2022-11-01-1983','A111-3','G', 'UB')
('AC12058-2022-11-01-1913','A107-5','LHi', 'SL')
('AC12058-2022-11-01-1914','A107-6','BYytDg', 'SU')
('SL04652-2022-11-01-1938','S81-18','qELJyH', 'MB')
('AC12058-2022-11-01-1972','A110-10','dVMdDffzMFZh', 'UB')
('AC22517-2022-11-01-2034','A113-18','vbeGqE', 'SU')
('AC04652-2022-11-02-1988','A111-8','OLQHWtQR', 'LB')
('SL22517-2022-11-02-1987','S83-19','sKhkYNpLvW', 'UB')
('AC12058-2022-11-01-1978','A110-16','xPIGFfY', 'UB')
('AC22517-2022-11-01-2036','A114-2','Y', 'LB')
('AC22517-2022-11-02-1983','A111-3','BgFyaVI', 'UB')
('AC04652-2022-11-02-1996','A111-16','CxBcZMcZCGmzhNos', 'UB')
('AC04652-2022-11-01-2078','A116-8','kCyslhzkToZHqi', 'LB')
('AC22517-2022-11-02-1985','A111-5','DWQtdLA', 'SL')
('AC22517-2022-11-02-1989','A111-9','fOUXYqQOgJIqxe', 'UB')
('SL04652-2022-11-02-2019','S85-3','DyzhtAgQmwZi', 'UB')
('AC12058-2022-11-01-1998','A111-18','SkYpEBbVxM', 'SU')
('SL22517-2022-11-01-2023','S85-7','QWNufx', 'SL')
('SL22517-2022-11-01-2024','S85-8','JPdFZyCePNveRPCT', 'SU')
('AC22517-2022-11-02-2003','A112-5','TpOPsbiH', 'SL')
('AC22517-2022-11-02-2005','A112-7','YydJVpmgBg', 'LB')
('SL22517-2022-11-02-2005','S84-13','QcCXm', 'MB')
('AC04652-2022-11-01-2103','A117-15','GIIuUT', 'UB')
('AC22517-2022-11-02-2033','A113-17','KoamUGp', 'SL')
('SL22517-2022-11-01-2057','S86-17','iocUzdymlZzq', 'LB')
('AC12058-2022-11-01-2034','A113-18','HVNAFTfUimw', 'SU')
('SL12058-2022-11-01-2025','S85-9','HaPqoCSYueyI', 'LB')
('SL22517-2022-11-01-2061','S86-21','dbqPkvuXRK', 'MB')
('SL04652-2022-11-01-2034','S85-18','GOmVcgkjCP', 'MB')
('AC12058-2022-11-01-2038','A114-4','igPummzmAcY', 'UB')
('AC12058-2022-11-01-2039','A114-5','MYkWSZuKeOG', 'SL')
('SL22517-2022-11-01-2072','S87-8','TA', 'SU')
('AC12058-2022-11-01-2046','A114-12','OVgmjJQYlwXh', 'SU')
('AC22517-2022-11-02-2061','A115-9','bbikJNsilKLDpK', 'UB')
('SL04652-2022-11-01-2056','S86-16','SjRxBCcgc', 'SU')
('AC22517-2022-11-02-2070','A115-18','oL', 'SU')
('AC12058-2022-11-01-2075','A116-5','STLgjcrxFXjW', 'SL')
('SL04652-2022-11-02-2098','S88-10','rnDYb', 'MB')
('AC04652-2022-11-01-2214','A123-18','LuTBmISEYeILfoj', 'SU')
('SL22517-2022-11-02-2129','S89-17','DFKBVtbOUWvG', 'LB')
('SL04652-2022-11-02-2146','S90-10','xnDc', 'MB')
('SL04652-2022-11-02-2147','S90-11','PYYcuDTzPU', 'UB')
('AC22517-2022-11-02-2143','A120-1','wRvUQnXXTWeJDI', 'LB')
('SL22517-2022-11-02-2155','S90-19','KJInNyXQo', 'UB')
('SL04652-2022-11-02-2172','S91-12','nXftpHnOLKKstFqj', 'LB')
('SL04652-2022-11-01-2138','S90-2','tWbw', 'MB')
('AC22517-2022-11-02-2152','A120-10','TwhITFk', 'UB')
('SL12058-2022-11-01-2120','S89-8','gn', 'SU')
('SL12058-2022-11-01-2122','S89-10','r', 'MB')
('AC22517-2022-11-01-2231','A124-17','fexoAiMHwq', 'SL')
('SL12058-2022-11-01-2152','S90-16','vYBAJhVsP', 'SU')
('AC04652-2022-11-01-2294','A128-8','XCRsXTrGmNEFE', 'LB')
('SL12058-2022-11-01-2158','S90-22','ob', 'UB')
('AC22517-2022-11-02-2206','A123-10','Mcx', 'UB')
('SL04652-2022-11-02-2223','S93-15','ugqUGbGuqeNEi', 'SL')
('AC04652-2022-11-01-2306','A129-2','sVXXNW', 'LB')
('AC22517-2022-11-01-2308','A129-4','oopRLMklMdNRsSlt', 'UB')
('AC12058-2022-11-01-2254','A126-4','WtRywGtJjLZIUCcf', 'UB')
('AC04652-2022-11-01-2391','A133-15','EDTQCFqYeaIljyp', 'UB')
('AC04652-2022-11-01-2392','A133-16','JqAMCJoO', 'UB')
('AC22517-2022-11-02-2286','A127-18','NSSyyauOiHku', 'SU')
('AC22517-2022-11-01-2343','A131-3','YA', 'UB')
('AC04652-2022-11-01-2394','A133-18','cgeW', 'SU')
('SL22517-2022-11-01-2289','S96-9','N', 'LB')
('SL04652-2022-11-02-2296','S96-16','y', 'SU')
('SL04652-2022-11-02-2298','S96-18','PqwXwmpdH', 'MB')
('SL22517-2022-11-01-2292','S96-12','urBAXTIlIWwqL', 'LB')
('AC12058-2022-11-01-2263','A126-13','uHssunb', 'LB')
('AC22517-2022-11-02-2290','A128-4','cwiRCcROwqswfymk', 'UB')
('AC04652-2022-11-02-2301','A128-15','gJZPr', 'UB')
('AC22517-2022-11-01-2347','A131-7','DrFXfauge', 'LB')
('AC12058-2022-11-01-2266','A126-16','rkrBugXWSOWAbeDi', 'UB')
('AC22517-2022-11-01-2348','A131-8','CNQcOr', 'LB')
('AC04652-2022-11-02-2304','A128-18','QMGY', 'SU')
('AC04652-2022-11-02-2305','A129-1','FeJWkOgtHxoiGqSL', 'LB')
('SL22517-2022-11-01-2296','S96-16','ZHfeUGwp', 'SU')
('SL22517-2022-11-02-2282','S96-2','xTDThwLrcHUfdG', 'MB')
('SL04652-2022-11-02-2301','S96-21','lBzhSWJZi', 'MB')
('SL04652-2022-11-02-2302','S96-22','gCzNdAkQlm', 'UB')
('SL04652-2022-11-01-2259','S95-3','vxHhFrkLo', 'UB')
('AC04652-2022-11-01-2404','A134-10','AKmOnRMzcitzAJ', 'UB')
('SL04652-2022-11-02-2312','S97-8','ibhdvtmmHvLxSiI', 'SU')
('AC04652-2022-11-01-2411','A134-17','arO', 'SL')
('AC04652-2022-11-02-2325','A130-3','wkIrCEft', 'UB')
('SL04652-2022-11-01-2273','S95-17','K', 'LB')
('AC12058-2022-11-01-2293','A128-7','TlnipsW', 'LB')
('SL04652-2022-11-02-2320','S97-16','pfQetcm', 'SU')
('AC12058-2022-11-01-2296','A128-10','ZjKiKDS', 'UB')
('SL22517-2022-11-01-2319','S97-15','qMDNRKcXP', 'SL')
('AC12058-2022-11-01-2298','A128-12','AWVMTspwNXMjcRH', 'SU')
('AC22517-2022-11-01-2375','A132-17','RAIMwNvW', 'SL')
('AC04652-2022-11-01-2424','A135-12','NedfWelNwYJMeehq', 'SU')
('AC04652-2022-11-01-2457','A137-9','PpRmQOpKJHvgQ', 'UB')
('AC22517-2022-11-01-2399','A134-5','TWDvZm', 'SL')
('SL22517-2022-11-02-2339','S98-11','CgPxwt', 'UB')
('AC04652-2022-11-01-2458','A137-10','DnsIZrzKNDNx', 'UB')
('SL12058-2022-11-01-2303','S96-23','mMxwVUzoNKpHr', 'SL')
('AC04652-2022-11-01-2472','A138-6','R', 'SU')
('AC12058-2022-11-01-2341','A131-1','kdspBduOuNP', 'LB')
('SL04652-2022-11-01-2331','S98-3','RDQewHfSKMYJ', 'UB')
('AC04652-2022-11-01-2478','A138-12','XXZvqhY', 'SU')
('SL04652-2022-11-01-2342','S98-14','KNscMph', 'UB')
('SL12058-2022-11-01-2322','S97-18','kJpYaJvOOIpw', 'MB')
('SL22517-2022-11-01-2386','S100-10','fUHMhTeMifQVHuI', 'MB')
('SL04652-2022-11-02-2389','S100-13','WzhBMgXByJrVm', 'MB')
('SL04652-2022-11-01-2358','S99-6','mEDPC', 'UB')
('SL12058-2022-11-01-2387','S100-11','kGCmGSIxAHI', 'UB')
('AC12058-2022-11-01-2425','A135-13','OxYwYPPuHuavFN', 'LB')
('SL04652-2022-11-02-2451','S103-3','SXkPKutjIIGKXp', 'UB')
('SL04652-2022-11-02-2452','S103-4','kVEwiZ', 'LB')
('SL04652-2022-11-01-2420','S101-20','bpghMzViwdPk', 'LB')
('AC04652-2022-11-01-2558','A143-2','R', 'LB')
('SL04652-2022-11-02-2465','S103-17','n', 'LB')
('SL22517-2022-11-01-2466','S103-18','PoD', 'MB')
('AC22517-2022-11-01-2505','A140-3','aJaDdEwU', 'UB')
('SL22517-2022-11-01-2467','S103-19','MNrWrZxsjUhxgD', 'UB')
('AC22517-2022-11-02-2440','A136-10','Rb', 'UB')
('AC22517-2022-11-01-2506','A140-4','bwxacbtp', 'UB')
('SL22517-2022-11-01-2470','S103-22','QeZUJVHCYipIVZV', 'UB')
('AC22517-2022-11-01-2509','A140-7','XIwwwobtBZ', 'LB')
('AC12058-2022-11-01-2451','A137-3','StJczptZr', 'UB')
('SL04652-2022-11-02-2470','S103-22','ipjrWCfHGG', 'UB')
('AC22517-2022-11-01-2511','A140-9','xNKRe', 'UB')
('AC04652-2022-11-01-2564','A143-8','AKKloIwzsta', 'LB')
('SL22517-2022-11-01-2478','S104-6','FCowyXH', 'UB')
('AC12058-2022-11-01-2456','A137-8','fxOiRMicu', 'LB')
('SL04652-2022-11-02-2476','S104-4','QS', 'LB')
('SL22517-2022-11-02-2437','S102-13','cGZkLHdQNmWDDvFv', 'MB')
('SL22517-2022-11-01-2482','S104-10','M', 'MB')
('AC12058-2022-11-01-2460','A137-12','xfSRtFGIKeFM', 'SU')
('AC04652-2022-11-02-2472','A138-6','n', 'SU')
('SL22517-2022-11-01-2485','S104-13','OoqerNv', 'MB')
('AC12058-2022-11-01-2464','A137-16','lJRwWp', 'UB')
('AC04652-2022-11-01-2574','A143-18','cY', 'SU')
('SL22517-2022-11-02-2444','S102-20','dgXlzqgSEzEymz', 'LB')
