('SL04652-2022-11-02-5002','S209-10','GTCC', 'MB')
('SL22517-2022-11-02-5718','S239-6','kvIjjTWmuKriTTa', 'UB')
('AC22517-2022-11-02-5782','A322-4','LAuL', 'UB')
('AC22517-2022-11-01-5808','A323-12','TEuu', 'SU')
('SL12058-2022-11-01-5654','S236-14','QVSkIx', 'UB')
('AC22517-2022-11-02-5814','A323-18','fSgraILKOoxxqPJ', 'SU')
('SL22517-2022-11-02-5757','S240-21','wvABmCd', 'MB')
('SL22517-2022-11-02-5758','S240-22','ieXEwIRHjuyx', 'UB')
('SL04652-2022-11-02-5775','S241-15','oEADt', 'SL')
('SL12058-2022-11-01-5674','S237-10','heM', 'MB')
('SL12058-2022-11-01-5675','S237-11','NFEyIvaJaNLzj', 'UB')
('AC04652-2022-11-02-5884','A327-16','Dv', 'UB')
('AC22517-2022-11-02-5850','A325-18','aaoSILmjwTfyV', 'SU')
('SL22517-2022-11-02-5822','S243-14','lEzthaNKIwMqkP', 'UB')
('SL04652-2022-11-02-5832','S243-24','eVcNkeropsfiusjd', 'SU')
('SL22517-2022-11-01-5762','S241-2','lF', 'MB')
('SL04652-2022-11-01-5796','S242-12','yoSag', 'LB')
('AC22517-2022-11-02-5905','A329-1','jRgLueRFh', 'LB')
('AC04652-2022-11-01-6147','A342-9','KXshUGDFxiagWD', 'UB')
('SL04652-2022-11-02-5879','S245-23','AHVlsxpSPXPgzNQf', 'SL')
('AC22517-2022-11-01-5931','A330-9','xW', 'UB')
('AC04652-2022-11-02-5962','A332-4','TNPfWbStKXOFBq', 'UB')
('SL04652-2022-11-02-5883','S246-3','LDvbjxdxmUdLOO', 'UB')
('SL22517-2022-11-01-5806','S242-22','Vf', 'UB')
('SL22517-2022-11-02-5886','S246-6','cbkBps', 'UB')
('SL04652-2022-11-02-5913','S247-9','rSIBP', 'LB')
('AC22517-2022-11-01-5958','A331-18','jpcxb', 'SU')
('SL12058-2022-11-01-5802','S242-18','SdU', 'MB')
('AC12058-2022-11-01-5956','A331-16','ItLRCxMg', 'UB')
('AC12058-2022-11-01-5957','A331-17','j', 'SL')
('SL22517-2022-11-01-5893','S246-13','hgjb', 'MB')
('AC04652-2022-11-01-6252','A348-6','i', 'SU')
('SL04652-2022-11-01-5889','S246-9','XQcsCvetdQq', 'LB')
('AC12058-2022-11-01-6016','A335-4','rl', 'UB')
('SL04652-2022-11-01-5893','S246-13','HvnD', 'MB')
('AC04652-2022-11-01-6286','A350-4','Iii', 'UB')
('AC22517-2022-11-01-6089','A339-5','TBEPjm', 'SL')
('AC22517-2022-11-01-6090','A339-6','xCxNIYO', 'SU')
('AC22517-2022-11-01-6091','A339-7','qPV', 'LB')
('SL22517-2022-11-02-6046','S252-22','MZiM', 'UB')
('AC22517-2022-11-01-6092','A339-8','dWu', 'LB')
('AC22517-2022-11-01-6093','A339-9','shGLioStbbi', 'UB')
('AC22517-2022-11-02-6107','A340-5','CCYCkjT', 'SL')
('SL04652-2022-11-01-6010','S251-10','qSwC', 'MB')
('AC22517-2022-11-02-6147','A342-9','cfVcQbyRzpp', 'UB')
('SL04652-2022-11-01-6012','S251-12','Hm', 'LB')
('SL12058-2022-11-01-5962','S249-10','KsouDFbDXo', 'MB')
('SL22517-2022-11-02-6102','S255-6','TyfchvLVYPXR', 'UB')
('AC04652-2022-11-02-6184','A344-10','Ezpk', 'UB')
('AC22517-2022-11-01-6150','A342-12','aURdEh', 'SU')
('SL04652-2022-11-01-6050','S253-2','GTDELxKADx', 'MB')
('SL22517-2022-11-02-6132','S256-12','SoxAeVxJGdfRWK', 'LB')
('AC04652-2022-11-02-6218','A346-8','rhRJfv', 'LB')
('AC12058-2022-11-01-6163','A343-7','NPqUSISQmQ', 'LB')
('AC04652-2022-11-02-6219','A346-9','oTgfEnOfKQR', 'UB')
('AC12058-2022-11-01-6178','A344-4','EOBlV', 'UB')
('AC22517-2022-11-02-6199','A345-7','MhVLdqnJw', 'LB')
('AC12058-2022-11-01-6180','A344-6','iegdmXPLEwyxGnp', 'SU')
('AC04652-2022-11-02-6230','A347-2','WFJLmdzBJXU', 'LB')
('AC22517-2022-11-02-6207','A345-15','mcTTYzplz', 'UB')
('SL22517-2022-11-02-6155','S257-11','rbDb', 'UB')
('SL12058-2022-11-01-6003','S251-3','Y', 'UB')
('AC04652-2022-11-02-6234','A347-6','ceeNYUomYZfRcR', 'SU')
('SL22517-2022-11-02-6156','S257-12','DAYDViP', 'LB')
('SL04652-2022-11-01-6075','S254-3','pxWaionodxZSbbrU', 'UB')
('SL04652-2022-11-01-6076','S254-4','IUrwZyTXqa', 'LB')
('SL12058-2022-11-01-6006','S251-6','TgDWAwGqUFKBSfMW', 'UB')
('AC22517-2022-11-01-6221','A346-11','S', 'SL')
('SL12058-2022-11-01-6019','S251-19','gaJRDTRNgqImABM', 'UB')
('AC12058-2022-11-01-6212','A346-2','tcwceoY', 'LB')
('SL22517-2022-11-01-6097','S255-1','HXnkUNo', 'LB')
('AC22517-2022-11-02-6227','A346-17','a', 'SL')
('SL04652-2022-11-01-6099','S255-3','QGjWWrx', 'UB')
('AC22517-2022-11-02-6255','A348-9','JGYiwv', 'UB')
('SL22517-2022-11-02-6254','S261-14','y', 'UB')
('AC22517-2022-11-02-6295','A350-13','MLLUrZmHYJfsOu', 'LB')
('AC04652-2022-11-02-6314','A351-14','FuVcxKDQ', 'LB')
('SL22517-2022-11-01-6175','S258-7','KvBCFYSNZQaS', 'SL')
('AC12058-2022-11-01-6312','A351-12','GNgufVtQ', 'SU')
('AC22517-2022-11-01-6359','A354-5','BijWFnv', 'SL')
('SL12058-2022-11-01-6151','S257-7','qwOz', 'SL')
('SL22517-2022-11-01-6232','S260-16','RoRX', 'SU')
('SL22517-2022-11-02-6320','S264-8','PiB', 'SU')
('SL12058-2022-11-01-6161','S257-17','VSZvLYtzGJheM', 'LB')
('AC12058-2022-11-01-6359','A354-5','uMVLs', 'SL')
('SL04652-2022-11-02-6307','S263-19','cTQtCTKKUGIo', 'UB')
('SL22517-2022-11-01-6247','S261-7','mHcqTgiuzD', 'SL')
('SL22517-2022-11-01-6248','S261-8','UJOZghNdipnE', 'SU')
('AC12058-2022-11-01-6368','A354-14','qRWGeYznPepuWC', 'LB')
('AC04652-2022-11-02-6396','A356-6','CYJIeIGHPyhJMhfh', 'SU')
('AC22517-2022-11-01-6378','A355-6','BQf', 'SU')
('SL12058-2022-11-01-6176','S258-8','CWlVfbKwnTtCHl', 'SU')
('AC22517-2022-11-01-6384','A355-12','n', 'SU')
('SL04652-2022-11-01-6252','S261-12','VFEKnBFvW', 'LB')
('SL04652-2022-11-01-6253','S261-13','rgbtMcwtMZos', 'MB')
('AC22517-2022-11-01-6388','A355-16','Bblmk', 'UB')
('SL04652-2022-11-01-6264','S261-24','ghExRLqFxQG', 'SU')
('SL22517-2022-11-01-6278','S262-14','fQebzOldlcx', 'UB')
('SL04652-2022-11-02-6373','S266-13','AcSvgDrqAhZyAI', 'MB')
('AC04652-2022-11-01-6688','A372-10','bTcVmtruVW', 'UB')
('SL12058-2022-11-01-6222','S260-6','IjnL', 'UB')
('SL22517-2022-11-02-6414','S268-6','suySSAEvYD', 'UB')
('AC04652-2022-11-02-6476','A360-14','P', 'LB')
('SL12058-2022-11-01-6263','S261-23','iUGzHrIFxkCcM', 'SL')
('SL04652-2022-11-01-6350','S265-14','HiQAhPjHkpg', 'UB')
('SL04652-2022-11-01-6358','S265-22','quSfhYzV', 'UB')
('AC04652-2022-11-02-6484','A361-4','nvPQHCBRTzs', 'UB')
('AC12058-2022-11-01-6496','A361-16','XWGmLKEEKg', 'UB')
('SL04652-2022-11-01-6397','S267-13','af', 'MB')
('AC12058-2022-11-01-6512','A362-14','ZdvmmpLWpVNgfWBN', 'LB')
('SL04652-2022-11-01-6410','S268-2','GwnfWqL', 'MB')
('AC22517-2022-11-01-6516','A362-18','RiSROSxetXd', 'SU')
('AC04652-2022-11-01-6796','A378-10','tFVO', 'UB')
('SL12058-2022-11-01-6326','S264-14','AjFVMzwkg', 'UB')
('SL04652-2022-11-02-6486','S271-6','bnZVttDxFF', 'UB')
('AC04652-2022-11-01-6805','A379-1','ekJUqizYMmI', 'LB')
('SL04652-2022-11-01-6424','S268-16','MmsGDXqyjr', 'SU')
('AC04652-2022-11-02-6535','A364-1','WFdrdQLwmAEsvvQk', 'LB')
('SL12058-2022-11-01-6334','S264-22','ZrLzEPjOItQTBWq', 'UB')
('AC12058-2022-11-01-6530','A363-14','Nrakvr', 'LB')
('AC22517-2022-11-02-6552','A364-18','RUyLxDWWswcCtk', 'SU')
('SL04652-2022-11-02-6519','S272-15','hscU', 'SL')
('SL22517-2022-11-01-6453','S269-21','fqs', 'MB')
('SL12058-2022-11-01-6365','S266-5','ljJXNWeApUlUWz', 'MB')
('SL04652-2022-11-02-6552','S273-24','uiIpNXIOh', 'SU')
('SL22517-2022-11-01-6490','S271-10','vvYHHCW', 'MB')
('AC22517-2022-11-02-6597','A367-9','quNZjPULiBIXg', 'UB')
('SL04652-2022-11-02-6554','S274-2','nSSjmszqjvA', 'MB')
('AC22517-2022-11-02-6599','A367-11','JU', 'SL')
('SL22517-2022-11-01-6492','S271-12','J', 'LB')
('SL22517-2022-11-01-6494','S271-14','IbkQiXluxRm', 'UB')
('AC22517-2022-11-02-6633','A369-9','BhFsWyrkmrFDfn', 'UB')
('AC12058-2022-11-01-6629','A369-5','KEFBRYYSLBZUnX', 'SL')
('AC12058-2022-11-01-6632','A369-8','IDJvaPd', 'LB')
('AC22517-2022-11-02-6640','A369-16','bAFftQg', 'UB')
('AC12058-2022-11-01-6653','A370-11','jtdL', 'SL')
('AC22517-2022-11-01-6663','A371-3','HbvdAzR', 'UB')
('AC12058-2022-11-01-6656','A370-14','YabKronhU', 'LB')
('SL04652-2022-11-01-6567','S274-15','oTvvAHcgKBeRMwj', 'SL')
('AC04652-2022-11-02-6673','A371-13','aRzVTzwnndqKu', 'LB')
('SL12058-2022-11-01-6529','S273-1','cmOV', 'LB')
('AC12058-2022-11-01-6739','A375-7','o', 'LB')
('SL12058-2022-11-01-6531','S273-3','AlIHLUhxRH', 'UB')
('SL22517-2022-11-02-6702','S280-6','LmGNDAs', 'UB')
('AC22517-2022-11-01-6783','A377-15','ycKW', 'UB')
('AC04652-2022-11-01-7046','A392-8','dMUugWQIUKlyrYc', 'LB')
('AC04652-2022-11-01-7053','A392-15','nDGDXUNRcbbnG', 'UB')
('AC12058-2022-11-01-6801','A378-15','TwOUHbpOCDxdqQ', 'UB')
('SL22517-2022-11-01-6645','S277-21','bdQsietuJsDg', 'MB')
('SL04652-2022-11-01-6699','S280-3','fgXcvCpWwCKJEqf', 'UB')
('AC12058-2022-11-01-6812','A379-8','TDj', 'LB')
('SL22517-2022-11-02-6759','S282-15','jdmGhuCgWskBagbL', 'SL')
('AC12058-2022-11-01-6815','A379-11','DCMhHKGIWDlykVz', 'SL')
('SL04652-2022-11-01-6708','S280-12','ardH', 'LB')
('AC22517-2022-11-01-6797','A378-11','BkUmBnmmgAzbcEPB', 'SL')
('AC04652-2022-11-02-6793','A378-7','eagLa', 'LB')
('SL04652-2022-11-01-6710','S280-14','esLiEUVo', 'UB')
('SL12058-2022-11-01-6596','S275-20','VgNGRarmp', 'LB')
('SL04652-2022-11-02-6765','S282-21','ZSdogM', 'MB')
('SL04652-2022-11-02-6766','S282-22','RylhWJUzIa', 'UB')
('AC22517-2022-11-02-6824','A380-2','Z', 'LB')
('SL12058-2022-11-01-6602','S276-2','SuAIefiYvLuVbRsV', 'MB')
('AC12058-2022-11-01-6824','A380-2','AT', 'LB')
('SL04652-2022-11-01-6723','S281-3','Iabu', 'UB')
('SL12058-2022-11-01-6610','S276-10','tcsJlRWgePmo', 'MB')
('SL22517-2022-11-02-6786','S283-18','kXeapB', 'MB')
('SL22517-2022-11-01-6671','S278-23','MOfQBJAaQsGtqcsg', 'SL')
('AC12058-2022-11-01-6841','A381-1','MCcntkoqdorAk', 'LB')
('SL12058-2022-11-01-6615','S276-15','oO', 'SL')
('AC22517-2022-11-01-6820','A379-16','biq', 'UB')
('SL12058-2022-11-01-6616','S276-16','eBYWl', 'SU')
('SL12058-2022-11-01-6618','S276-18','MafgQGgrXWxy', 'MB')
('AC22517-2022-11-02-6840','A380-18','Jyb', 'SU')
('SL12058-2022-11-01-6619','S276-19','qHGPzhXfWlvSi', 'UB')
('SL04652-2022-11-01-6742','S281-22','KreFZzGw', 'UB')
('AC04652-2022-11-01-7087','A394-13','xXoN', 'LB')
('SL04652-2022-11-01-6765','S282-21','I', 'MB')
('SL04652-2022-11-02-6802','S284-10','l', 'MB')
('AC22517-2022-11-02-6863','A382-5','MoHjszNRWdj', 'SL')
('AC04652-2022-11-01-7109','A395-17','HmyM', 'SL')
('SL22517-2022-11-02-6817','S285-1','rZymhHwXAK', 'LB')
('AC12058-2022-11-01-6868','A382-10','mtFOX', 'UB')
('SL04652-2022-11-02-6805','S284-13','KCTOcf', 'MB')
('AC04652-2022-11-01-7114','A396-4','gquovvlGYCS', 'UB')
('AC12058-2022-11-01-6872','A382-14','e', 'LB')
('AC04652-2022-11-02-6836','A380-14','JZVeBshzVMU', 'LB')
('AC04652-2022-11-02-6847','A381-7','yBYEFUOmupGe', 'LB')
('SL22517-2022-11-02-6831','S285-15','WPcLIxF', 'SL')
('AC22517-2022-11-01-6859','A382-1','IOZuYLwAedNNOF', 'LB')
('AC22517-2022-11-02-6881','A383-5','tstesDpEswSiRc', 'SL')
('AC04652-2022-11-01-7128','A396-18','vd', 'SU')
('AC04652-2022-11-02-6852','A381-12','exysMsCNmik', 'SU')
('SL04652-2022-11-02-6820','S285-4','iupdVVwAikngPp', 'LB')
('AC22517-2022-11-01-6864','A382-6','ekRah', 'SU')
('SL22517-2022-11-01-6729','S281-9','PLDWbSSthEtUx', 'LB')
('AC22517-2022-11-02-6896','A384-2','kYVAp', 'LB')
('AC12058-2022-11-01-6897','A384-3','mqKX', 'UB')
('AC22517-2022-11-01-6876','A382-18','jJQB', 'SU')
('AC04652-2022-11-01-7156','A398-10','twVBDeXrokYY', 'UB')
('SL04652-2022-11-01-6843','S286-3','QinVIe', 'UB')
('SL12058-2022-11-01-6723','S281-3','OwENn', 'UB')
('SL12058-2022-11-01-6744','S281-24','gkrarQYlPLsuyL', 'SU')
('AC04652-2022-11-02-6936','A386-6','n', 'SU')
('AC04652-2022-11-01-7209','A401-9','YGRO', 'UB')
('AC04652-2022-11-02-6942','A386-12','EmYPoOaOU', 'SU')
('SL22517-2022-11-02-6902','S288-14','dpmfx', 'UB')
('SL12058-2022-11-01-6762','S282-18','aZiFiJzgHm', 'MB')
('AC22517-2022-11-02-7009','A390-7','tXooQQBs', 'LB')
('AC22517-2022-11-01-6981','A388-15','kTVqAAGPaARBzY', 'UB')
('SL22517-2022-11-02-6946','S290-10','A', 'MB')
('AC04652-2022-11-01-7252','A403-16','Psd', 'UB')
('AC04652-2022-11-01-7253','A403-17','pXUKiu', 'SL')
('AC22517-2022-11-02-7014','A390-12','E', 'SU')
('SL22517-2022-11-02-6949','S290-13','BYiaW', 'MB')
('AC12058-2022-11-01-6998','A389-14','aSz', 'LB')
('AC04652-2022-11-01-7300','A406-10','FJQPkTRmpRd', 'UB')
('AC04652-2022-11-01-7306','A406-16','zlS', 'UB')
('AC12058-2022-11-01-7054','A392-16','DtzHWJ', 'UB')
('AC04652-2022-11-01-7405','A412-7','L', 'LB')
('SL12058-2022-11-01-6951','S290-15','TSDxZR', 'SL')
('SL22517-2022-11-01-7003','S292-19','tz', 'UB')
('AC04652-2022-11-02-7141','A397-13','VfNL', 'LB')
('SL22517-2022-11-02-7109','S297-5','dz', 'MB')
('SL22517-2022-11-02-7110','S297-6','rPfKXsIlxjU', 'UB')
('AC04652-2022-11-02-7153','A398-7','MeVoYKdUrgMiRv', 'LB')
('SL22517-2022-11-01-7025','S293-17','YVI', 'LB')
('SL12058-2022-11-01-6979','S291-19','fafPg', 'UB')
('AC22517-2022-11-01-7169','A399-5','zKReXWm', 'SL')
('AC04652-2022-11-01-7442','A414-8','Kpiur', 'LB')
('AC04652-2022-11-02-7160','A398-14','ISyWq', 'LB')
('AC04652-2022-11-02-7161','A398-15','RLC', 'UB')
('SL12058-2022-11-01-6983','S291-23','UH', 'SL')
('AC04652-2022-11-01-7449','A414-15','vwi', 'UB')
('AC22517-2022-11-02-7201','A401-1','pYdniVnxS', 'LB')
('AC22517-2022-11-02-7204','A401-4','ebOfiNBdEE', 'UB')
('SL22517-2022-11-02-7174','S299-22','PZNQHKJElYDg', 'UB')
('AC22517-2022-11-02-7266','A404-12','BVYyMxEwu', 'SU')
('SL22517-2022-11-02-7180','S300-4','LRQQLlfvpozUa', 'LB')
('AC22517-2022-11-01-7247','A403-11','r', 'SL')
('AC04652-2022-11-01-7523','A418-17','ejKfQSPrdZkG', 'SL')
('AC22517-2022-11-02-7281','A405-9','ND', 'UB')
('AC04652-2022-11-01-7530','A419-6','IMPxVIToOhWm', 'SU')
