('SL12058-2022-11-01-187','S8-19','axVq', 'UB')
('SL22517-2022-11-02-392','S17-8','TgawwqkQgUdaQ', 'SU')
('SL12058-2022-11-01-408','S17-24','ofMLd', 'SU')
('SL04652-2022-11-01-438','S19-6','zskx', 'UB')
('SL22517-2022-11-02-398','S17-14','Gtg', 'UB')
('SL22517-2022-11-01-420','S18-12','I', 'LB')
('AC22517-2022-11-01-409','A23-13','gbrssIZbqSpD', 'LB')
('AC04652-2022-11-01-444','A25-12','RcjMZ', 'SU')
('SL04652-2022-11-02-428','S18-20','SsTyVPooV', 'LB')
('SL22517-2022-11-01-425','S18-17','jeCUSpmpon', 'LB')
('AC12058-2022-11-01-414','A23-18','CQloTZmA', 'SU')
('SL04652-2022-11-02-430','S18-22','aJXkCbK', 'UB')
('AC04652-2022-11-02-447','A25-15','BeYvfAL', 'UB')
('SL22517-2022-11-02-402','S17-18','pmzysP', 'MB')
('SL22517-2022-11-01-426','S18-18','NxonTDnkvqP', 'MB')
('AC04652-2022-11-01-447','A25-15','XYXZZJCFXfgWnlG', 'UB')
('SL12058-2022-11-01-411','S18-3','yj', 'UB')
('AC22517-2022-11-02-427','A24-13','ZTFbLVNTxkoFVslD', 'LB')
('AC12058-2022-11-01-429','A24-15','aFvZUtmiEAtbvL', 'UB')
('SL22517-2022-11-02-419','S18-11','XlMyAOBCFLJk', 'UB')
('AC22517-2022-11-02-443','A25-11','VZGGWvFiZo', 'SL')
('AC22517-2022-11-02-444','A25-12','vhfbrGgjTd', 'SU')
('SL22517-2022-11-01-441','S19-9','gPVzkYtyqvb', 'LB')
('SL22517-2022-11-02-420','S18-12','drBDLXeOGS', 'LB')
('SL04652-2022-11-01-459','S20-3','SOpPUTYSX', 'UB')
('AC04652-2022-11-01-460','A26-10','ozXxXUYgGnHjCaX', 'UB')
('AC22517-2022-11-01-433','A25-1','Ed', 'LB')
('SL04652-2022-11-01-463','S20-7','hnbRdqUoXhDG', 'SL')
('SL22517-2022-11-02-426','S18-18','xsnQSqS', 'MB')
('AC22517-2022-11-01-437','A25-5','BlByfxLDpRA', 'SL')
('AC04652-2022-11-02-466','A26-16','edzQTZJlgn', 'UB')
('SL04652-2022-11-01-465','S20-9','r', 'LB')
('SL04652-2022-11-02-455','S19-23','mAWekkQf', 'SL')
('SL22517-2022-11-02-430','S18-22','lg', 'UB')
('SL04652-2022-11-01-467','S20-11','vcN', 'UB')
('AC12058-2022-11-01-435','A25-3','oHcECTrQV', 'UB')
('AC22517-2022-11-02-455','A26-5','OUZpFwXHWFrI', 'SL')
('AC04652-2022-11-02-471','A27-3','WoldbCNnmC', 'UB')
('SL22517-2022-11-02-432','S18-24','TcqeqcwRXmctow', 'SU')
('SL22517-2022-11-01-446','S19-14','YDPntjpudXvic', 'UB')
('SL04652-2022-11-01-470','S20-14','AoTG', 'UB')
('SL22517-2022-11-01-448','S19-16','rTpLklGFJcVnD', 'SU')
('AC04652-2022-11-02-475','A27-7','AqPuyFsJqJwpTYN', 'LB')
('SL22517-2022-11-02-436','S19-4','dFkLeXSS', 'LB')
('SL22517-2022-11-01-452','S19-20','QlSCtGLtQ', 'LB')
('SL04652-2022-11-01-472','S20-16','ryEjHhU', 'SU')
('AC04652-2022-11-01-469','A27-1','XCyobstrHDoufRM', 'LB')
('SL04652-2022-11-01-473','S20-17','xszgdh', 'LB')
('SL22517-2022-11-02-439','S19-7','wVDFWNiO', 'SL')
('AC04652-2022-11-01-471','A27-3','SM', 'UB')
('SL12058-2022-11-01-435','S19-3','y', 'UB')
('SL04652-2022-11-01-474','S20-18','lpkKnBjKSTz', 'MB')
('AC22517-2022-11-02-458','A26-8','FDV', 'LB')
('SL12058-2022-11-01-436','S19-4','TwWL', 'LB')
('SL04652-2022-11-01-475','S20-19','uyPUKNaioMNF', 'UB')
('AC04652-2022-11-02-479','A27-11','bSRUu', 'SL')
('SL22517-2022-11-01-456','S19-24','nfjSqHVCsN', 'SU')
('AC04652-2022-11-01-473','A27-5','nmZLOk', 'SL')
('SL22517-2022-11-02-442','S19-10','SNIqpmy', 'MB')
('AC22517-2022-11-01-447','A25-15','uaYogIqLE', 'UB')
('AC04652-2022-11-01-475','A27-7','BxrnVVmSxdu', 'LB')
('AC04652-2022-11-02-481','A27-13','gwPurL', 'LB')
('AC04652-2022-11-02-482','A27-14','I', 'LB')
('SL12058-2022-11-01-438','S19-6','PskVoFBYQS', 'UB')
('SL04652-2022-11-02-463','S20-7','RFbeNmNfrv', 'SL')
('SL12058-2022-11-01-439','S19-7','hsjPkRoifUrUvB', 'SL')
('AC04652-2022-11-02-483','A27-15','ZHNOA', 'UB')
('AC22517-2022-11-02-461','A26-11','CnMk', 'SL')
('SL04652-2022-11-01-479','S20-23','EKmzlj', 'SL')
('SL04652-2022-11-01-480','S20-24','XiGUyaPpRkOZfRqa', 'SU')
('SL04652-2022-11-01-483','S21-3','zU', 'UB')
('AC12058-2022-11-01-443','A25-11','IWAIajxPQPG', 'SL')
('AC22517-2022-11-02-466','A26-16','fHfNZI', 'UB')
('SL04652-2022-11-02-470','S20-14','biM', 'UB')
('AC04652-2022-11-01-484','A27-16','QsKHBcqTHrLqAixd', 'UB')
('SL04652-2022-11-01-487','S21-7','yFC', 'SL')
('AC22517-2022-11-02-469','A27-1','iOTpSohdzVk', 'LB')
('SL04652-2022-11-02-473','S20-17','BLcAfQR', 'LB')
('SL04652-2022-11-01-489','S21-9','vFEhCZntlqlqVCLf', 'LB')
('SL04652-2022-11-02-474','S20-18','YzQPTDAvjealgH', 'MB')
('AC04652-2022-11-02-492','A28-6','ubiO', 'SU')
('AC12058-2022-11-01-450','A25-18','NMmYuekDYbtiw', 'SU')
('SL12058-2022-11-01-441','S19-9','MtRRvd', 'LB')
('AC22517-2022-11-02-470','A27-2','rExE', 'LB')
('SL04652-2022-11-02-478','S20-22','KTOSgWDHr', 'UB')
('SL22517-2022-11-01-469','S20-13','ZUZsB', 'MB')
('SL04652-2022-11-01-492','S21-12','Xikhow', 'LB')
('SL12058-2022-11-01-446','S19-14','Tngsxzyp', 'UB')
('AC12058-2022-11-01-452','A26-2','AzFOAtaOZ', 'LB')
('AC12058-2022-11-01-453','A26-3','PtNQzNHfDd', 'UB')
('SL22517-2022-11-02-453','S19-21','IVYwTGhUla', 'MB')
('AC22517-2022-11-01-457','A26-7','jNGzwXcARqj', 'LB')
('AC04652-2022-11-02-501','A28-15','EIhLR', 'UB')
('SL04652-2022-11-01-498','S21-18','TRgJMBtpsrzAqHqZ', 'MB')
('AC22517-2022-11-02-479','A27-11','imZOoXF', 'SL')
('AC12058-2022-11-01-457','A26-7','MXSjDDw', 'LB')
('SL04652-2022-11-01-500','S21-20','GVSiDPp', 'LB')
('AC04652-2022-11-01-496','A28-10','jnzyxK', 'UB')
('AC04652-2022-11-02-505','A29-1','zenw', 'LB')
('AC22517-2022-11-01-460','A26-10','e', 'UB')
('AC04652-2022-11-01-500','A28-14','Q', 'LB')
('SL22517-2022-11-01-482','S21-2','UjfONlOG', 'MB')
('SL12058-2022-11-01-460','S20-4','UqHROzmlo', 'LB')
('AC04652-2022-11-02-508','A29-4','gnZsrhFOlbgUBgO', 'UB')
('AC12058-2022-11-01-463','A26-13','mCZcypIKixkEusmw', 'LB')
('SL22517-2022-11-02-462','S20-6','UpApI', 'UB')
('SL04652-2022-11-02-494','S21-14','wc', 'UB')
('AC12058-2022-11-01-471','A27-3','YadYBtUB', 'UB')
('AC04652-2022-11-02-515','A29-11','kSJWnkcXVK', 'SL')
('SL22517-2022-11-01-487','S21-7','tRlkIFJM', 'SL')
('SL12058-2022-11-01-467','S20-11','EYiugACVwDLtS', 'UB')
('SL22517-2022-11-01-489','S21-9','lcuJGR', 'LB')
('SL22517-2022-11-02-467','S20-11','nBeZfZk', 'UB')
('AC04652-2022-11-01-506','A29-2','AUV', 'LB')
('AC22517-2022-11-01-470','A27-2','DBiTYgRl', 'LB')
('AC04652-2022-11-01-507','A29-3','XDfDnUcjYoayJwh', 'UB')
('SL04652-2022-11-01-507','S22-3','IlpMftiWLlKQoe', 'UB')
('AC04652-2022-11-02-517','A29-13','MxAEWPVhGvPJON', 'LB')
('AC22517-2022-11-02-497','A28-11','aB', 'SL')
('AC12058-2022-11-01-473','A27-5','OhckQsODMhwycdth', 'SL')
('SL04652-2022-11-01-508','S22-4','ZKWXjSaVp', 'LB')
('AC22517-2022-11-02-501','A28-15','hWETqatpo', 'UB')
('SL12058-2022-11-01-471','S20-15','s', 'SL')
('SL04652-2022-11-02-498','S21-18','PUejJpITJAdPG', 'MB')
('SL12058-2022-11-01-473','S20-17','YbKaE', 'LB')
('AC04652-2022-11-01-517','A29-13','UZ', 'LB')
('AC04652-2022-11-01-519','A29-15','nd', 'UB')
('SL22517-2022-11-01-500','S21-20','rL', 'LB')
('AC12058-2022-11-01-479','A27-11','XubyMpvHZ', 'SL')
('SL12058-2022-11-01-479','S20-23','bFWxRCOtQqTencA', 'SL')
('SL04652-2022-11-01-514','S22-10','GzjiTdHG', 'MB')
('SL22517-2022-11-01-502','S21-22','PPnXjntVuzIgbaxX', 'UB')
('AC12058-2022-11-01-480','A27-12','HZaSjViQae', 'SU')
('SL22517-2022-11-02-479','S20-23','dnIrDwdShIYng', 'SL')
('SL04652-2022-11-02-502','S21-22','NZPAtLrtAZXj', 'UB')
('AC04652-2022-11-02-524','A30-2','aTBmLfedAzhggrtZ', 'LB')
('SL04652-2022-11-01-516','S22-12','syGgUzJesdtA', 'LB')
('AC04652-2022-11-01-523','A30-1','YvgMnVwbxYPIZEx', 'LB')
('SL12058-2022-11-01-481','S21-1','JfXcfqVZJ', 'LB')
('AC22517-2022-11-02-510','A29-6','LWjUo', 'SU')
('SL04652-2022-11-01-517','S22-13','qyMBARHwN', 'MB')
('AC22517-2022-11-01-476','A27-8','rW', 'LB')
('SL22517-2022-11-01-510','S22-6','mqmAZjPfbUYQ', 'UB')
('SL12058-2022-11-01-486','S21-6','GZXpZASSikvrUpZN', 'UB')
('AC04652-2022-11-02-529','A30-7','uavcMxTHArZ', 'LB')
('SL22517-2022-11-02-487','S21-7','XYycyGjWUqNXGu', 'SL')
('AC12058-2022-11-01-487','A28-1','JT', 'LB')
('SL12058-2022-11-01-488','S21-8','cGGnLS', 'SU')
('AC04652-2022-11-01-529','A30-7','efUOk', 'LB')
('SL12058-2022-11-01-490','S21-10','DubOt', 'MB')
('AC04652-2022-11-02-533','A30-11','rvmIgeovcCaDN', 'SL')
('AC22517-2022-11-01-486','A27-18','H', 'SU')
('AC12058-2022-11-01-490','A28-4','eWNvBYG', 'UB')
('SL04652-2022-11-01-522','S22-18','t', 'MB')
('AC12058-2022-11-01-491','A28-5','eErLD', 'SL')
('AC04652-2022-11-02-536','A30-14','gszBCrZvMwluC', 'LB')
('SL04652-2022-11-01-523','S22-19','LylEeUKR', 'UB')
('AC04652-2022-11-01-533','A30-11','qXa', 'SL')
('SL12058-2022-11-01-493','S21-13','OgLcvK', 'MB')
('AC22517-2022-11-02-521','A29-17','xZYNgqMlCFoy', 'SL')
('AC22517-2022-11-01-492','A28-6','WOnlyKRjpbOfj', 'SU')
('SL12058-2022-11-01-502','S21-22','ElOcyzcOK', 'UB')
('AC04652-2022-11-01-541','A31-1','PaVUJVlXjo', 'LB')
('AC22517-2022-11-01-500','A28-14','nVvoFFqlLuMv', 'LB')
('AC22517-2022-11-01-504','A28-18','oaMM', 'SU')
('SL12058-2022-11-01-509','S22-5','dpvtXndPLSNmjmRQ', 'MB')
('AC22517-2022-11-02-534','A30-12','JqSWTg', 'SU')
('AC04652-2022-11-01-544','A31-4','MbnXkbhnXQvvEw', 'UB')
('SL04652-2022-11-01-536','S23-8','sEok', 'SU')
('SL04652-2022-11-01-537','S23-9','zLCor', 'LB')
('AC22517-2022-11-01-509','A29-5','GyhYzUphGVRiq', 'SL')
('SL22517-2022-11-01-533','S23-5','bFINzIzKYw', 'MB')
('SL22517-2022-11-02-506','S22-2','fGUMxpxKtarHrVQK', 'MB')
('SL22517-2022-11-02-507','S22-3','WlBigKtxrSToZHuA', 'UB')
('AC22517-2022-11-02-582','A33-6','fQgmNcClOJhA', 'SU')
('SL22517-2022-11-02-614','S26-14','LFJzTcDUhMLqnPD', 'UB')
('SL22517-2022-11-02-615','S26-15','peRH', 'SL')
('AC04652-2022-11-01-687','A39-3','ogWvriK', 'UB')
('AC04652-2022-11-01-688','A39-4','fcMDuMmRUTVL', 'UB')
('SL12058-2022-11-01-652','S28-4','wJrGyapLFomZPQN', 'LB')
('AC04652-2022-11-02-711','A40-9','NaDykxvN', 'UB')
('AC22517-2022-11-01-654','A37-6','YOnuYirmv', 'SU')
('AC04652-2022-11-02-718','A40-16','F', 'UB')
('SL12058-2022-11-01-658','S28-10','AuMlahRX', 'MB')
('AC22517-2022-11-01-656','A37-8','ZvUm', 'LB')
('SL12058-2022-11-01-706','S30-10','eoywUgfOWboAWkqE', 'MB')
('AC22517-2022-11-02-740','A42-2','ERdAOTK', 'LB')
('SL22517-2022-11-02-715','S30-19','vgIiTggTIr', 'UB')
('AC04652-2022-11-02-783','A44-9','qf', 'UB')
('AC22517-2022-11-02-744','A42-6','FeGhLJRyieeSpj', 'SU')
('SL22517-2022-11-01-736','S31-16','SoTHzew', 'SU')
('AC22517-2022-11-02-745','A42-7','AueV', 'LB')
('SL04652-2022-11-01-742','S31-22','AUNE', 'UB')
('SL22517-2022-11-01-739','S31-19','KlNA', 'UB')
('SL22517-2022-11-02-721','S31-1','COCtni', 'LB')
('SL22517-2022-11-02-722','S31-2','uDKF', 'MB')
('SL22517-2022-11-02-724','S31-4','jIxK', 'LB')
('AC04652-2022-11-02-790','A44-16','naz', 'UB')
('SL04652-2022-11-02-735','S31-15','XWUySvm', 'SL')
('SL22517-2022-11-01-742','S31-22','URVrBWuuuXCwbik', 'UB')
('SL22517-2022-11-01-743','S31-23','iaPCmRgex', 'SL')
('AC12058-2022-11-01-733','A41-13','YDvoE', 'LB')
('SL22517-2022-11-02-753','S32-9','LOEeAZHFSZ', 'LB')
('AC04652-2022-11-02-809','A45-17','KoZQbOPfZKrJQYW', 'SL')
('AC22517-2022-11-01-735','A41-15','n', 'UB')
('AC04652-2022-11-02-810','A45-18','s', 'SU')
('SL22517-2022-11-01-766','S32-22','GTF', 'UB')
('SL22517-2022-11-01-767','S32-23','hSgdodMhWPOrBDbB', 'SL')
('SL22517-2022-11-01-768','S32-24','kVjRx', 'SU')
('SL04652-2022-11-02-754','S32-10','vupbeKFDOA', 'MB')
('SL22517-2022-11-02-760','S32-16','CgiWFbeIOCHzn', 'SU')
('AC04652-2022-11-02-814','A46-4','dlCWiVHTEf', 'UB')
('SL04652-2022-11-02-756','S32-12','aVCJeArRF', 'LB')
('SL04652-2022-11-02-758','S32-14','OXgNzjPMzUy', 'UB')
('AC04652-2022-11-02-816','A46-6','p', 'SU')
('SL04652-2022-11-02-807','S34-15','jzCtHAirf', 'SL')
('SL12058-2022-11-01-805','S34-13','oVRrtmKvIdSqvF', 'MB')
('SL22517-2022-11-02-806','S34-14','LxqDmwmvKsN', 'UB')
('SL22517-2022-11-01-813','S34-21','ug', 'MB')
('SL04652-2022-11-01-803','S34-11','GfxDL', 'UB')
('SL04652-2022-11-01-804','S34-12','BfFhFkzWASC', 'LB')
('AC12058-2022-11-01-774','A43-18','NYJWNNqahK', 'SU')
('AC22517-2022-11-01-788','A44-14','LTjkrPce', 'LB')
('SL04652-2022-11-01-806','S34-14','LkL', 'UB')
('AC22517-2022-11-01-791','A44-17','vbnsbF', 'SL')
('SL04652-2022-11-01-808','S34-16','oKwVEgwXsVaRwo', 'SU')
('AC04652-2022-11-01-809','A45-17','SrsLhnKlQwnG', 'SL')
('SL04652-2022-11-01-810','S34-18','jVuuspfuJye', 'MB')
('AC22517-2022-11-01-798','A45-6','MyKpOaMvLOo', 'SU')
('AC04652-2022-11-01-811','A46-1','RIC', 'LB')
('SL04652-2022-11-02-812','S34-20','OkhPMjmadJuQeV', 'LB')
('SL22517-2022-11-01-818','S35-2','jYKE', 'MB')
('AC04652-2022-11-01-817','A46-7','Qc', 'LB')
('AC22517-2022-11-02-820','A46-10','pqSQssl', 'UB')
('AC22517-2022-11-02-822','A46-12','ckAmt', 'SU')
('AC22517-2022-11-01-810','A45-18','WjCHkRVa', 'SU')
('SL12058-2022-11-01-820','S35-4','DxQiYVe', 'LB')
('SL22517-2022-11-02-835','S35-19','ianTesX', 'UB')
('SL12058-2022-11-01-824','S35-8','y', 'SU')
('AC22517-2022-11-01-816','A46-6','clFJmEz', 'SU')
('AC22517-2022-11-02-836','A47-8','qKeikdHf', 'LB')
('AC04652-2022-11-02-882','A49-18','sfkQHUOusBREU', 'SU')
('AC04652-2022-11-02-883','A50-1','foCbej', 'LB')
('AC04652-2022-11-02-887','A50-5','GTTJCYtUuMA', 'SL')
('AC12058-2022-11-01-825','A46-15','GY', 'UB')
('AC12058-2022-11-01-830','A47-2','TYLNUnPHFM', 'LB')
('AC22517-2022-11-02-867','A49-3','ELVTVq', 'UB')
('AC04652-2022-11-01-869','A49-5','cfxAl', 'SL')
('SL04652-2022-11-01-860','S36-20','BgPq', 'LB')
('SL22517-2022-11-01-877','S37-13','yBsvIl', 'MB')
('AC12058-2022-11-01-844','A47-16','B', 'UB')
('AC22517-2022-11-01-870','A49-6','lYNwqmpLSVrD', 'SU')
('SL04652-2022-11-02-880','S37-16','oftwRWmWGvRR', 'SU')
('SL22517-2022-11-02-895','S38-7','N', 'SL')
('SL04652-2022-11-02-882','S37-18','UaVFlVLctCoAX', 'MB')
('SL22517-2022-11-02-896','S38-8','iroefNGfziQW', 'SU')
('SL12058-2022-11-01-877','S37-13','WKkxkYrQLDgrNsB', 'MB')
('SL22517-2022-11-02-898','S38-10','NBDFE', 'MB')
('SL12058-2022-11-01-879','S37-15','pkGbpfDLRoQHH', 'SL')
('SL04652-2022-11-02-885','S37-21','rnIqvNXWeLKMiDb', 'MB')
('SL04652-2022-11-02-886','S37-22','OVtIxkKBzILop', 'UB')
('AC22517-2022-11-01-879','A49-15','FDTqQCpNiZS', 'UB')
('SL04652-2022-11-02-888','S37-24','uCXchAXFxenx', 'SU')
('SL12058-2022-11-01-881','S37-17','DpqeYzTRY', 'LB')
('AC22517-2022-11-02-899','A50-17','SyJsvWCaXvITxaEB', 'SL')
('SL22517-2022-11-02-903','S38-15','Sr', 'SL')
('AC22517-2022-11-01-912','A51-12','QkIRGZImzbC', 'SU')
('AC12058-2022-11-01-896','A50-14','jGVkTLi', 'LB')
('AC04652-2022-11-02-964','A54-10','lFjjYExN', 'UB')
('SL12058-2022-11-01-917','S39-5','yvxGu', 'MB')
('SL22517-2022-11-01-952','S40-16','WwVPHDvApEIYtUjY', 'SU')
('AC04652-2022-11-01-938','A53-2','IsnzhWZmtgczmi', 'LB')
('AC04652-2022-11-01-941','A53-5','cUfaseGPj', 'SL')
('AC22517-2022-11-02-957','A54-3','JmaYeElICXeXlm', 'UB')
