('SL04652-2022-11-01-13','S1-13','kWJbDh', 'MB')
('AC12058-2022-11-01-480','A27-12','xogaTW', 'SU')
('AC22517-2022-11-02-484','A27-16','tRWSMvY', 'UB')
('AC22517-2022-11-02-485','A27-17','zf', 'SL')
('SL22517-2022-11-01-443','S19-11','HzFbcwbCb', 'UB')
('AC04652-2022-11-01-467','A26-17','vwLGGirpqDXRh', 'SL')
('SL22517-2022-11-01-446','S19-14','KNiUOhCRWHtJlEAM', 'UB')
('SL04652-2022-11-01-440','S19-8','YdrLUcDgbfF', 'SU')
('AC22517-2022-11-02-487','A28-1','xEfKsPLcrRLzKNv', 'LB')
('AC22517-2022-11-01-411','A23-15','FTxoUGNuHJ', 'UB')
('SL22517-2022-11-01-449','S19-17','WHuwf', 'LB')
('SL04652-2022-11-01-443','S19-11','HmpaXfGxTqOFhe', 'UB')
('AC22517-2022-11-01-416','A24-2','MnZDV', 'LB')
('SL12058-2022-11-01-466','S20-10','KqjrzDBkirIOs', 'MB')
('AC04652-2022-11-01-476','A27-8','iubPsbPqtWpI', 'LB')
('SL22517-2022-11-01-456','S19-24','hM', 'SU')
('AC04652-2022-11-01-477','A27-9','ekpzmTftPGp', 'UB')
('AC22517-2022-11-01-419','A24-5','tPHgZFL', 'SL')
('SL12058-2022-11-01-470','S20-14','ixwXC', 'UB')
('SL22517-2022-11-02-450','S19-18','Ph', 'MB')
('SL04652-2022-11-02-420','S18-12','NEpX', 'LB')
('SL04652-2022-11-02-421','S18-13','qsmmEm', 'MB')
('AC22517-2022-11-02-499','A28-13','ErtkydKsPcvU', 'LB')
('AC22517-2022-11-02-500','A28-14','ZfwSAtz', 'LB')
('AC04652-2022-11-01-483','A27-15','umbaEcwYRAbGaIv', 'UB')
('SL04652-2022-11-01-456','S19-24','dvTKadFFXonnRsO', 'SU')
('SL04652-2022-11-01-457','S20-1','WiBlnTbN', 'LB')
('SL22517-2022-11-02-451','S19-19','wqxLfJCmpeEYIU', 'UB')
('AC12058-2022-11-01-495','A28-9','PI', 'UB')
('AC12058-2022-11-01-496','A28-10','GmNmGZh', 'UB')
('AC22517-2022-11-02-506','A29-2','NRITeW', 'LB')
('AC22517-2022-11-02-507','A29-3','NSX', 'UB')
('AC12058-2022-11-01-499','A28-13','siykVeOvp', 'LB')
('AC22517-2022-11-01-422','A24-8','kRjXd', 'LB')
('AC22517-2022-11-02-511','A29-7','OgxcbsJzsjIItfvD', 'LB')
('AC22517-2022-11-01-425','A24-11','XcNRTEdawaZS', 'SL')
('SL22517-2022-11-01-465','S20-9','Qj', 'LB')
('AC22517-2022-11-02-513','A29-9','QdvXQUtQiYMP', 'UB')
('AC04652-2022-11-02-484','A27-16','JEiZOuwgUbyO', 'UB')
('AC22517-2022-11-01-430','A24-16','euEtVNx', 'UB')
('AC04652-2022-11-02-487','A28-1','LSSuvfnZaTpGCcvs', 'LB')
('SL04652-2022-11-02-439','S19-7','oXwklMVVapnzIbk', 'SL')
('AC04652-2022-11-02-498','A28-12','SZktPeR', 'SU')
('SL04652-2022-11-01-478','S20-22','SZNWKi', 'UB')
('SL04652-2022-11-02-465','S20-9','mJzl', 'LB')
('SL04652-2022-11-02-466','S20-10','An', 'MB')
('SL22517-2022-11-01-495','S21-15','yTYNUV', 'SL')
('AC22517-2022-11-01-457','A26-7','hDgxkMFsPoGeaI', 'LB')
('SL22517-2022-11-01-498','S21-18','qnQiDYeg', 'MB')
('AC04652-2022-11-01-515','A29-11','GURFzMzEvUCvSZ', 'SL')
('SL12058-2022-11-01-503','S21-23','EfhVKtz', 'SL')
('AC04652-2022-11-01-517','A29-13','E', 'LB')
('SL12058-2022-11-01-504','S21-24','INwq', 'SU')
('SL04652-2022-11-02-472','S20-16','vBqH', 'SU')
('AC22517-2022-11-02-553','A31-13','cykMIwBpPcJc', 'LB')
('AC12058-2022-11-01-544','A31-4','oDaLvEbHUWhQ', 'UB')
('SL22517-2022-11-02-505','S22-1','uDROTuYxvL', 'LB')
('AC04652-2022-11-02-525','A30-3','MrJiMLkPLkjyuf', 'UB')
('AC04652-2022-11-02-526','A30-4','AiicXvbBqO', 'UB')
('AC12058-2022-11-01-548','A31-8','Oo', 'LB')
('SL12058-2022-11-01-579','S25-3','Km', 'UB')
('AC22517-2022-11-01-531','A30-9','cfa', 'UB')
('SL04652-2022-11-01-577','S25-1','zs', 'LB')
('AC04652-2022-11-02-597','A34-3','w', 'UB')
('AC22517-2022-11-02-630','A35-18','xEIzqnCemPUqbtEf', 'SU')
('AC12058-2022-11-01-613','A35-1','pMrp', 'LB')
('AC04652-2022-11-02-602','A34-8','kVeoOUBD', 'LB')
('SL12058-2022-11-01-591','S25-15','TYOkSMucKJp', 'SL')
('SL22517-2022-11-02-578','S25-2','skebuXUUBgJv', 'MB')
('SL22517-2022-11-02-579','S25-3','GgkhMBdclxEU', 'UB')
('AC22517-2022-11-02-641','A36-11','CpqpibPg', 'SL')
('SL12058-2022-11-01-592','S25-16','wsx', 'SU')
('SL04652-2022-11-01-593','S25-17','UmbIbyKoMrYYH', 'LB')
('SL12058-2022-11-01-594','S25-18','XPkFrHuBqPu', 'MB')
('SL04652-2022-11-01-594','S25-18','WLnKSwlN', 'MB')
('SL04652-2022-11-01-596','S25-20','SNDNnW', 'LB')
('AC04652-2022-11-02-612','A34-18','jEAFwyblh', 'SU')
('AC22517-2022-11-01-550','A31-10','qIeSJVZf', 'UB')
('SL12058-2022-11-01-602','S26-2','JbqrBxzxL', 'MB')
('SL04652-2022-11-02-548','S23-20','AMfF', 'LB')
('SL22517-2022-11-01-619','S26-19','yReZntc', 'UB')
('SL04652-2022-11-01-605','S26-5','FmEehKbdWgnNgpeI', 'MB')
('AC04652-2022-11-02-616','A35-4','jKteUnXpyBSHF', 'UB')
('AC04652-2022-11-02-617','A35-5','fSyqSSPs', 'SL')
('SL22517-2022-11-01-620','S26-20','e', 'LB')
('SL04652-2022-11-02-554','S24-2','dCyfITGOwic', 'MB')
('SL04652-2022-11-02-555','S24-3','FIGykDKFrfLH', 'UB')
('AC22517-2022-11-01-561','A32-3','uvHCxMkppCGIFT', 'UB')
('SL04652-2022-11-01-609','S26-9','HtOaFm', 'LB')
('SL12058-2022-11-01-605','S26-5','MQOJvyPKVjDjPS', 'MB')
('AC04652-2022-11-02-621','A35-9','ujQuQ', 'UB')
('SL12058-2022-11-01-606','S26-6','kgPKBEJShVDCEIj', 'UB')
('SL22517-2022-11-01-623','S26-23','BAwWCn', 'SL')
('AC04652-2022-11-01-613','A35-1','LteWRcK', 'LB')
('AC12058-2022-11-01-631','A36-1','wFIeOwBhgPmtlhKw', 'LB')
('AC22517-2022-11-02-677','A38-11','nYdbKRTdLT', 'SL')
('SL04652-2022-11-02-592','S25-16','xHUVFDmVGTNzC', 'SU')
('AC04652-2022-11-02-647','A36-17','zUYvmBOdAAlqCIvN', 'SL')
('AC22517-2022-11-01-612','A34-18','sZFaZgPFyBoUl', 'SU')
('SL04652-2022-11-02-620','S26-20','YWzoZPeIgfR', 'LB')
('AC04652-2022-11-01-658','A37-10','tFKR', 'UB')
('AC22517-2022-11-02-703','A40-1','IsyfWxyg', 'LB')
('SL04652-2022-11-02-621','S26-21','lJdYknGd', 'MB')
('AC12058-2022-11-01-679','A38-13','Vpzghwt', 'LB')
('SL22517-2022-11-01-671','S28-23','o', 'SL')
('AC04652-2022-11-01-660','A37-12','jYqLqWnkpgcUmMbh', 'SU')
('AC22517-2022-11-02-747','A42-9','TYRKZlCKYgmIia', 'UB')
('SL12058-2022-11-01-721','S31-1','UlEPFY', 'LB')
('SL04652-2022-11-02-682','S29-10','DHWnePBKJ', 'MB')
('SL22517-2022-11-02-712','S30-16','WuqvqFQd', 'SU')
('SL22517-2022-11-01-729','S31-9','uyHiyGt', 'LB')
('SL04652-2022-11-02-685','S29-13','GekRmcWXz', 'MB')
('SL12058-2022-11-01-726','S31-6','dNjYtvZyu', 'UB')
('SL04652-2022-11-01-735','S31-15','NtnfbLVcTQm', 'SL')
('AC22517-2022-11-02-781','A44-7','WYsTNZyTtfR', 'LB')
('SL04652-2022-11-02-719','S30-23','ZnOjG', 'SL')
('AC12058-2022-11-01-756','A42-18','AQBZsvxwdvygmUB', 'SU')
('SL04652-2022-11-01-749','S32-5','XfequRDQ', 'MB')
('AC22517-2022-11-01-706','A40-4','xteQnMdyJeuLiawr', 'UB')
('AC22517-2022-11-02-823','A46-13','by', 'LB')
('SL22517-2022-11-02-790','S33-22','zIRQHhpcLvqTuLYK', 'UB')
('SL22517-2022-11-02-793','S34-1','ObQBdcAYe', 'LB')
('AC22517-2022-11-01-752','A42-14','fkPAdTC', 'LB')
('AC12058-2022-11-01-807','A45-15','iaxoNrcbHNPAmP', 'UB')
('AC22517-2022-11-02-834','A47-6','QwVfpDc', 'SU')
('SL22517-2022-11-01-800','S34-8','d', 'SU')
('AC22517-2022-11-02-838','A47-10','L', 'UB')
('AC04652-2022-11-02-778','A44-4','nVgatHTFXhhbuea', 'UB')
('SL22517-2022-11-02-809','S34-17','advYDTluIKTbMx', 'LB')
('AC22517-2022-11-02-842','A47-14','JgaMLGduWParXW', 'LB')
('SL22517-2022-11-01-809','S34-17','HCtuqGzqhwSxfO', 'LB')
('AC04652-2022-11-02-787','A44-13','KUmJZzzpYEfFC', 'LB')
('AC04652-2022-11-01-854','A48-8','DyfZXryox', 'LB')
('SL04652-2022-11-02-808','S34-16','gk', 'SU')
('AC22517-2022-11-01-810','A45-18','ZdzgX', 'SU')
('AC12058-2022-11-01-861','A48-15','tlvWdslHib', 'UB')
('SL22517-2022-11-02-861','S36-21','iDnphsOzSK', 'MB')
('SL22517-2022-11-02-862','S36-22','OftTJaReL', 'UB')
('AC22517-2022-11-01-819','A46-9','cmigeeqikINCnXR', 'UB')
('AC22517-2022-11-02-908','A51-8','SgpgGnFzBg', 'LB')
('SL04652-2022-11-01-853','S36-13','UAmbuLLngaRlf', 'MB')
('SL04652-2022-11-02-857','S36-17','iUsarZzZ', 'LB')
('AC04652-2022-11-02-883','A50-1','SHns', 'LB')
('AC04652-2022-11-02-885','A50-3','upEx', 'UB')
('SL04652-2022-11-01-920','S39-8','yfTpuMkI', 'SU')
('AC12058-2022-11-01-925','A52-7','OFOhSgIShklVuE', 'LB')
('SL22517-2022-11-02-1005','S42-21','znmmQ', 'MB')
('SL04652-2022-11-01-971','S41-11','anuuguf', 'UB')
('AC04652-2022-11-01-994','A56-4','fxGOmasmZaD', 'UB')
('SL04652-2022-11-01-972','S41-12','frApHkX', 'LB')
('AC22517-2022-11-01-1007','A56-17','YRFHfSqLzE', 'SL')
('SL22517-2022-11-01-1041','S44-9','jkwIqw', 'LB')
('SL22517-2022-11-02-1079','S45-23','PxpipEQGtcMjMa', 'SL')
('AC22517-2022-11-02-1074','A60-12','sQfGXEAwPNTjMI', 'SU')
('AC22517-2022-11-02-1075','A60-13','zAnJObpA', 'LB')
('SL12058-2022-11-01-1048','S44-16','HWKgrLdnbMqgQL', 'SU')
('SL04652-2022-11-01-1028','S43-20','POz', 'LB')
('AC04652-2022-11-02-1049','A59-5','UfPfSgmFLdlPC', 'SL')
('SL22517-2022-11-01-1074','S45-18','gCjS', 'MB')
('AC04652-2022-11-01-1081','A61-1','lAGIkaxCzpicKWM', 'LB')
('AC22517-2022-11-01-1051','A59-7','YblthP', 'LB')
('AC22517-2022-11-01-1052','A59-8','QPMEgC', 'LB')
('SL04652-2022-11-01-1074','S45-18','SaWo', 'MB')
('SL04652-2022-11-02-1034','S44-2','lmuXlqXeiwaEJ', 'MB')
('AC04652-2022-11-01-1086','A61-6','yczVOGhYSAeds', 'SU')
('AC04652-2022-11-02-1056','A59-12','hJLJBCJNnsI', 'SU')
('AC12058-2022-11-01-1073','A60-11','sD', 'SL')
('AC12058-2022-11-01-1074','A60-12','tDhZjXPo', 'SU')
('SL12058-2022-11-01-1081','S46-1','n', 'LB')
('SL22517-2022-11-01-1083','S46-3','WkUeCdD', 'UB')
('SL04652-2022-11-02-1042','S44-10','f', 'MB')
('SL12058-2022-11-01-1082','S46-2','CI', 'MB')
('AC04652-2022-11-01-1108','A62-10','ddFcOqnePfmZM', 'UB')
('AC04652-2022-11-01-1109','A62-11','jvlCVGuBxGI', 'SL')
('SL12058-2022-11-01-1089','S46-9','usaQCOev', 'LB')
('SL12058-2022-11-01-1090','S46-10','bFcAIMHqhOVpai', 'MB')
('SL04652-2022-11-01-1119','S47-15','npOAbBqJUTB', 'SL')
('AC04652-2022-11-01-1135','A64-1','TytlOvAmqfZHWH', 'LB')
('SL04652-2022-11-01-1120','S47-16','ndsscE', 'SU')
('AC04652-2022-11-02-1099','A62-1','U', 'LB')
('AC22517-2022-11-02-1145','A64-11','DVWluENfrHlC', 'SL')
('AC12058-2022-11-01-1112','A62-14','TTIvgTHeEEQRsWlu', 'LB')
('SL04652-2022-11-01-1122','S47-18','ANJLFu', 'MB')
('SL22517-2022-11-01-1128','S47-24','vZNTEZ', 'SU')
('SL04652-2022-11-01-1127','S47-23','Dj', 'SL')
('AC04652-2022-11-01-1141','A64-7','oIP', 'LB')
('AC22517-2022-11-01-1109','A62-11','rPMveXnpZJVSq', 'SL')
('AC22517-2022-11-01-1110','A62-12','vaDEC', 'SU')
('AC22517-2022-11-01-1111','A62-13','fzBlNP', 'LB')
('AC04652-2022-11-02-1110','A62-12','AqTbsATTn', 'SU')
('SL22517-2022-11-01-1131','S48-3','MAPNigJ', 'UB')
('AC22517-2022-11-01-1114','A62-16','zVdEVQYbfLks', 'UB')
('SL22517-2022-11-01-1134','S48-6','a', 'UB')
('AC04652-2022-11-01-1146','A64-12','jqlDmWVL', 'SU')
('AC12058-2022-11-01-1123','A63-7','XGPGHuMvOkxyfM', 'LB')
('SL04652-2022-11-02-1099','S46-19','jbzMJOBmQu', 'UB')
('AC22517-2022-11-01-1117','A63-1','dRxC', 'LB')
('SL04652-2022-11-02-1102','S46-22','enYcwKFLnFZf', 'UB')
('SL12058-2022-11-01-1123','S47-19','JkrnjFLScUVl', 'UB')
('SL22517-2022-11-02-1172','S49-20','IGIvEZ', 'LB')
('SL22517-2022-11-02-1173','S49-21','rPqOrDJgHUnOwBHX', 'MB')
('SL22517-2022-11-01-1143','S48-15','BOnTemZkYQf', 'SL')
('AC22517-2022-11-01-1130','A63-14','wVnX', 'LB')
('SL22517-2022-11-02-1187','S50-11','wqhTgRiaukuF', 'UB')
('AC04652-2022-11-02-1133','A63-17','ApxJK', 'SL')
('AC22517-2022-11-02-1180','A66-10','zJlsSKZJyFatWNL', 'UB')
('SL12058-2022-11-01-1139','S48-11','nskLDwRZdvdU', 'UB')
('SL04652-2022-11-02-1121','S47-17','BtUmM', 'LB')
('SL12058-2022-11-01-1142','S48-14','zaTQKumESKNuCbHH', 'UB')
('SL04652-2022-11-01-1157','S49-5','O', 'MB')
('SL22517-2022-11-01-1164','S49-12','cuYZrDyMUrAYgOZ', 'LB')
('SL04652-2022-11-01-1163','S49-11','v', 'UB')
('AC22517-2022-11-01-1149','A64-15','PjEoULXBHnpaZAG', 'UB')
('SL22517-2022-11-01-1175','S49-23','klgDhlWeymX', 'SL')
('SL04652-2022-11-02-1139','S48-11','LGIqkr', 'UB')
('SL12058-2022-11-01-1157','S49-5','O', 'MB')
('SL22517-2022-11-01-1178','S50-2','QZbSryifjBZF', 'MB')
('SL22517-2022-11-02-1214','S51-14','cxKqefaVNy', 'UB')
('AC12058-2022-11-01-1164','A65-12','EIT', 'SU')
('SL12058-2022-11-01-1162','S49-10','ws', 'MB')
('AC04652-2022-11-02-1159','A65-7','uoSRxYwqZzwAIOAz', 'LB')
('AC22517-2022-11-01-1159','A65-7','XExAndK', 'LB')
('AC04652-2022-11-01-1204','A67-16','uzBofEFcJ', 'UB')
('SL04652-2022-11-02-1157','S49-5','hGxRcLQHkGxmkp', 'MB')
('AC04652-2022-11-01-1209','A68-3','xMGkkr', 'UB')
('SL22517-2022-11-02-1227','S52-3','rXZk', 'UB')
('AC04652-2022-11-01-1213','A68-7','tgOOfGsFmuSOUpG', 'LB')
('AC04652-2022-11-02-1177','A66-7','pjcPxFW', 'LB')
('AC22517-2022-11-02-1224','A68-18','jMvbRzeSunax', 'SU')
('AC12058-2022-11-01-1189','A67-1','RV', 'LB')
('SL12058-2022-11-01-1187','S50-11','wTdfR', 'UB')
('AC22517-2022-11-01-1179','A66-9','sCY', 'UB')
('SL04652-2022-11-02-1218','S51-18','sZftfIuecb', 'MB')
('SL22517-2022-11-02-1281','S54-9','fdej', 'LB')
('AC04652-2022-11-01-1267','A71-7','oXezfLJe', 'LB')
('AC22517-2022-11-01-1215','A68-9','bRUyvGXY', 'UB')
('AC22517-2022-11-02-1272','A71-12','pwcdQw', 'SU')
('SL22517-2022-11-02-1283','S54-11','UBSTCa', 'UB')
('AC04652-2022-11-01-1271','A71-11','QseDu', 'SL')
('SL04652-2022-11-01-1252','S53-4','UOUoM', 'LB')
('AC22517-2022-11-01-1273','A71-13','tQeIk', 'LB')
('SL12058-2022-11-01-1291','S54-19','LfAsjICgdIyFI', 'UB')
('AC12058-2022-11-01-1317','A74-3','uiSz', 'UB')
('AC04652-2022-11-02-1290','A72-12','mTwMkEcV', 'SU')
('SL22517-2022-11-02-1347','S57-3','no', 'UB')
('AC12058-2022-11-01-1319','A74-5','qcjSgykGmpY', 'SL')
('SL22517-2022-11-02-1349','S57-5','cph', 'MB')
('AC04652-2022-11-02-1294','A72-16','tWk', 'UB')
('SL22517-2022-11-01-1311','S55-15','iEjmjgxrFu', 'SL')
('AC22517-2022-11-02-1347','A75-15','SaxT', 'UB')
('AC22517-2022-11-02-1348','A75-16','gzF', 'UB')
('AC22517-2022-11-02-1349','A75-17','oyqxM', 'SL')
('AC22517-2022-11-01-1293','A72-15','fkO', 'UB')
('AC22517-2022-11-02-1350','A75-18','PWftKnPcdI', 'SU')
('SL12058-2022-11-01-1300','S55-4','Ub', 'LB')
