('SL22517-2022-11-02-5334','S223-6','fqDqjsdTVICcbuS', 'UB')
('SL22517-2022-11-02-5909','S247-5','ZutwiMSExh', 'MB')
('SL04652-2022-11-01-5840','S244-8','KBAZRBZfyksnQq', 'SU')
('SL04652-2022-11-01-5841','S244-9','ZaeUxe', 'LB')
('AC12058-2022-11-01-5942','A331-2','YpJsVK', 'LB')
('AC04652-2022-11-01-6190','A344-16','Ykr', 'UB')
('AC04652-2022-11-02-6005','A334-11','LviugrVYSSqwXzC', 'SL')
('SL04652-2022-11-02-5925','S247-21','EwcoI', 'MB')
('AC04652-2022-11-02-6007','A334-13','Nq', 'LB')
('AC04652-2022-11-02-6008','A334-14','Pi', 'LB')
('AC04652-2022-11-01-6194','A345-2','wqSwTaQt', 'LB')
('AC04652-2022-11-02-6010','A334-16','NHjgOPDTxoj', 'UB')
('SL04652-2022-11-01-5846','S244-14','LERoNtNrYTUqQJRt', 'UB')
('AC04652-2022-11-02-6042','A336-12','AILbxXoyHdQ', 'SU')
('SL22517-2022-11-01-5881','S246-1','g', 'LB')
('SL04652-2022-11-02-5970','S249-18','L', 'MB')
('SL04652-2022-11-02-5971','S249-19','IFGiQvShSiysJoAN', 'UB')
('AC04652-2022-11-02-6049','A337-1','hKNFG', 'LB')
('AC22517-2022-11-02-6075','A338-9','jBtMycUxIngmujz', 'UB')
('AC22517-2022-11-02-6109','A340-7','I', 'LB')
('SL12058-2022-11-01-5947','S248-19','UUbUbkiGRN', 'UB')
('SL04652-2022-11-01-6001','S251-1','VTzwvRgXYb', 'LB')
('AC12058-2022-11-01-6118','A340-16','evtLvGJY', 'UB')
('AC22517-2022-11-02-6151','A342-13','barZpBlphUemp', 'LB')
('SL22517-2022-11-01-6016','S251-16','VsyYbyFxB', 'SU')
('SL22517-2022-11-01-6017','S251-17','PeP', 'LB')
('SL22517-2022-11-01-6036','S252-12','HIRLVKvsSKRC', 'LB')
('SL22517-2022-11-02-6115','S255-19','IfbLjIhOauqZczl', 'UB')
('SL04652-2022-11-01-6045','S252-21','bJtuQAGRqpMKCZ', 'MB')
('SL22517-2022-11-01-6051','S253-3','iJzx', 'UB')
('AC22517-2022-11-01-6194','A345-2','aJunQnEMwUPrLS', 'LB')
('AC04652-2022-11-01-6446','A359-2','wZfInsoHwDL', 'LB')
('AC22517-2022-11-01-6209','A345-17','glltF', 'SL')
('SL22517-2022-11-01-6082','S254-10','crFbNj', 'MB')
('SL04652-2022-11-02-6162','S257-18','DutshBqLWtubvF', 'MB')
('SL04652-2022-11-01-6085','S254-13','aQujaltLbxAH', 'MB')
('SL22517-2022-11-02-6199','S259-7','iCXjfWhTbauEmUgg', 'SL')
('SL22517-2022-11-02-6220','S260-4','LltBr', 'LB')
('SL22517-2022-11-01-6142','S256-22','yviHrYPXr', 'UB')
('AC04652-2022-11-02-6282','A349-18','FRskkXPHemqZLW', 'SU')
('SL04652-2022-11-02-6211','S259-19','vJEIQPUh', 'UB')
('SL04652-2022-11-01-6143','S256-23','KEUMjVtJTejarz', 'SL')
('SL22517-2022-11-02-6231','S260-15','jbhMUSfqYzPQaJGm', 'SL')
('AC22517-2022-11-02-6274','A349-10','DWUdGsW', 'UB')
('SL04652-2022-11-02-6217','S260-1','vNImKjAMknbxOf', 'LB')
('AC04652-2022-11-01-6540','A364-6','C', 'SU')
('AC12058-2022-11-01-6273','A349-9','uzPPDzXzwzZ', 'UB')
('SL04652-2022-11-01-6158','S257-14','iREfYxEzezMtsc', 'UB')
('SL22517-2022-11-01-6164','S257-20','tlqUngwfme', 'LB')
('AC04652-2022-11-02-6323','A352-5','PrT', 'SL')
('AC04652-2022-11-02-6327','A352-9','RqiuIVVYmDI', 'UB')
('SL04652-2022-11-02-6252','S261-12','yUIXwRTTRjCoadu', 'LB')
('AC22517-2022-11-01-6322','A352-4','RCUiJAOZiuhc', 'UB')
('AC22517-2022-11-02-6311','A351-11','XXpoKhNrgcKrz', 'SL')
('AC22517-2022-11-02-6317','A351-17','sESoBqHH', 'SL')
('SL22517-2022-11-02-6284','S262-20','VHMCBPMSrMKu', 'LB')
('AC04652-2022-11-01-6602','A367-14','mJQRUwBTnb', 'LB')
('AC04652-2022-11-01-6606','A367-18','Dz', 'SU')
('AC12058-2022-11-01-6335','A352-17','g', 'SL')
('AC22517-2022-11-02-6340','A353-4','wTLLMUVxnEQVW', 'UB')
('AC12058-2022-11-01-6337','A353-1','VHimPl', 'LB')
('AC04652-2022-11-01-6610','A368-4','gHonIOC', 'UB')
('SL12058-2022-11-01-6195','S259-3','kmYtOXMRztQQtUQ', 'UB')
('AC22517-2022-11-02-6392','A356-2','HXVDhqlD', 'LB')
('SL04652-2022-11-02-6348','S265-12','TZ', 'LB')
('AC04652-2022-11-02-6414','A357-6','MQXkdVrWIRDyQQXs', 'SU')
('SL04652-2022-11-02-6350','S265-14','Wxu', 'UB')
('AC04652-2022-11-02-6416','A357-8','WTJJmH', 'LB')
('AC22517-2022-11-01-6409','A357-1','uRDHGHmNkWobnmtF', 'LB')
('AC04652-2022-11-02-6422','A357-14','GpEvfjnMZCGSAdC', 'LB')
('AC04652-2022-11-01-6667','A371-7','WMqLXYb', 'LB')
('AC22517-2022-11-01-6415','A357-7','qMJPHI', 'LB')
('AC12058-2022-11-01-6400','A356-10','JQvtGxZ', 'UB')
('SL04652-2022-11-02-6379','S266-19','yJ', 'UB')
('AC22517-2022-11-01-6433','A358-7','UFFHecYwylod', 'LB')
('SL04652-2022-11-02-6385','S267-1','ZJPkirPzfoKPKzEQ', 'LB')
('SL04652-2022-11-02-6388','S267-4','iDJbidso', 'LB')
('AC04652-2022-11-01-6707','A373-11','oVHtBtaPjJc', 'SL')
('AC12058-2022-11-01-6430','A358-4','xjx', 'UB')
('AC12058-2022-11-01-6431','A358-5','JNSXuTYKTcqyXJXn', 'SL')
('AC04652-2022-11-02-6456','A359-12','EyafsI', 'SU')
('AC22517-2022-11-01-6444','A358-18','NXJpOVy', 'SU')
('SL12058-2022-11-01-6246','S261-6','mrKgMhbkHdnyNYO', 'UB')
('AC04652-2022-11-01-6719','A374-5','lAJCcBlUR', 'SL')
('SL12058-2022-11-01-6248','S261-8','zlqThlwqz', 'SU')
('SL22517-2022-11-02-6404','S267-20','rXstlJUYV', 'LB')
('AC22517-2022-11-01-6451','A359-7','EULoQgHKlZ', 'LB')
('SL12058-2022-11-01-6251','S261-11','zzlnDcQp', 'UB')
('AC22517-2022-11-01-6481','A361-1','PLYCgZVYrNfG', 'LB')
('SL04652-2022-11-02-6438','S269-6','BUclkxDYoj', 'UB')
('SL22517-2022-11-01-6384','S266-24','MXMF', 'SU')
('SL22517-2022-11-02-6444','S269-12','FcORwsovv', 'LB')
('AC04652-2022-11-02-6504','A362-6','ElhfJip', 'SU')
('AC04652-2022-11-01-6765','A376-15','XobSvFlR', 'UB')
('AC22517-2022-11-02-6497','A361-17','RLaqBFukuzUcNIdr', 'SL')
('AC04652-2022-11-02-6513','A362-15','j', 'UB')
('AC04652-2022-11-02-6517','A363-1','DBav', 'LB')
('SL04652-2022-11-02-6459','S270-3','Eyqgt', 'UB')
('AC04652-2022-11-01-6789','A378-3','QdRPzFgK', 'UB')
('SL04652-2022-11-01-6411','S268-3','TpFGkIDZoGcSX', 'UB')
('AC22517-2022-11-01-6518','A363-2','nDnQZTHWnY', 'LB')
('AC22517-2022-11-01-6520','A363-4','VOh', 'UB')
('SL04652-2022-11-02-6520','S272-16','rT', 'SU')
('SL22517-2022-11-02-6549','S273-21','sayHJYex', 'MB')
('SL22517-2022-11-01-6484','S271-4','dfPv', 'LB')
('SL12058-2022-11-01-6397','S267-13','hZNZDDgGFjC', 'MB')
('SL22517-2022-11-02-6564','S274-12','toQyULtxUzvbB', 'LB')
('AC22517-2022-11-01-6609','A368-3','RQdeeSlsBXTldwfk', 'UB')
('SL12058-2022-11-01-6406','S267-22','uJSXruYDXOTNDBrK', 'UB')
('SL22517-2022-11-02-6567','S274-15','KSIaIYMqgy', 'SL')
('AC22517-2022-11-02-6601','A367-13','OObVoHiKO', 'LB')
('AC22517-2022-11-01-6611','A368-5','WZISV', 'SL')
('SL12058-2022-11-01-6409','S268-1','yNlpxiidGJl', 'LB')
('SL04652-2022-11-02-6561','S274-9','cR', 'LB')
('AC12058-2022-11-01-6599','A367-11','MSfOCOnqVVfd', 'SL')
('AC22517-2022-11-02-6607','A368-1','nPZbQCbkOsmPl', 'LB')
('AC22517-2022-11-02-6610','A368-4','etDijgSVykiORSj', 'UB')
('SL04652-2022-11-02-6564','S274-12','xTaS', 'LB')
('AC22517-2022-11-02-6617','A368-11','ujAlfBOv', 'SL')
('AC22517-2022-11-02-6618','A368-12','tyFa', 'SU')
('SL22517-2022-11-01-6508','S272-4','YnSfUqdGazjo', 'LB')
('SL12058-2022-11-01-6435','S269-3','rIlXqaILB', 'UB')
('AC22517-2022-11-01-6629','A369-5','OKIHdwSnWFON', 'SL')
('SL12058-2022-11-01-6440','S269-8','pcPgEGPmQenwq', 'SU')
('SL12058-2022-11-01-6442','S269-10','lgOKrHSGYd', 'MB')
('SL22517-2022-11-01-6518','S272-14','fPn', 'UB')
('SL12058-2022-11-01-6446','S269-14','RpdmIhX', 'UB')
('AC22517-2022-11-02-6635','A369-11','SSfTqEvdyTGXHsqh', 'SL')
('SL22517-2022-11-02-6628','S277-4','eTzndlKzy', 'LB')
('AC12058-2022-11-01-6663','A371-3','lAJIAPMMlbGGr', 'UB')
('SL22517-2022-11-02-6639','S277-15','fcVlb', 'SL')
('AC12058-2022-11-01-6671','A371-11','LAPFDB', 'SL')
('SL12058-2022-11-01-6481','S271-1','nJNfiPEAnjpcWYr', 'LB')
('AC04652-2022-11-01-6953','A387-5','vFgKLzgJxn', 'SL')
('SL12058-2022-11-01-6488','S271-8','hx', 'SU')
('AC22517-2022-11-02-6708','A373-12','pIkAltYnXwU', 'SU')
('SL22517-2022-11-02-6672','S278-24','GIfmgpWZdBmBi', 'SU')
('SL22517-2022-11-01-6572','S274-20','fljgrwOxG', 'LB')
('AC04652-2022-11-02-6709','A373-13','YeDhg', 'LB')
('SL04652-2022-11-01-6605','S276-5','zQJT', 'MB')
('SL04652-2022-11-02-6664','S278-16','U', 'SU')
('SL04652-2022-11-01-6672','S278-24','RiRYsAvDvFeFIQIZ', 'SU')
('AC22517-2022-11-01-6766','A376-16','xDiIUMxPsVQ', 'UB')
('SL04652-2022-11-02-6728','S281-8','EPbQsJiOrmUXf', 'SU')
('SL12058-2022-11-01-6565','S274-13','AhTZQpGImDEUL', 'MB')
('SL22517-2022-11-02-6735','S281-15','IOUoTQJfHsSU', 'SL')
('SL12058-2022-11-01-6568','S274-16','Ej', 'SU')
('SL04652-2022-11-01-6681','S279-9','gJcEbMBsvkxla', 'LB')
('SL04652-2022-11-01-6683','S279-11','nHwpjWcYaaByHyec', 'UB')
('AC04652-2022-11-02-6769','A377-1','yyrYedDOJZsQ', 'LB')
('AC04652-2022-11-02-6770','A377-2','yaApZfo', 'LB')
('SL22517-2022-11-02-6743','S281-23','m', 'SL')
('SL22517-2022-11-01-6638','S277-14','MyPRnETwuRza', 'UB')
('SL12058-2022-11-01-6582','S275-6','wonYD', 'UB')
('SL22517-2022-11-01-6639','S277-15','WGbnQIFRzcINiVd', 'SL')
('AC22517-2022-11-02-6801','A378-15','ENqHPGsvs', 'UB')
('SL04652-2022-11-01-6696','S279-24','vQwTv', 'SU')
('SL04652-2022-11-01-6697','S280-1','nRdXYTDYiSBgNrw', 'LB')
('AC22517-2022-11-02-6806','A379-2','TE', 'LB')
('AC12058-2022-11-01-6802','A378-16','twxsFqRbrd', 'UB')
('SL22517-2022-11-02-6754','S282-10','RSoqtSsISIfMQ', 'MB')
('AC12058-2022-11-01-6804','A378-18','PKwSZiwl', 'SU')
('AC04652-2022-11-02-6782','A377-14','OGrRXND', 'LB')
('AC04652-2022-11-02-6783','A377-15','KZZFWqEEwVtRTbF', 'UB')
('SL22517-2022-11-02-6756','S282-12','sDMeAWFLpowpjT', 'LB')
('AC04652-2022-11-02-6785','A377-17','fqWKe', 'SL')
('AC12058-2022-11-01-6809','A379-5','IK', 'SL')
('SL22517-2022-11-02-6758','S282-14','kLYwNrPzO', 'UB')
('SL22517-2022-11-01-6648','S277-24','CtMTIkkQMCjpWVRC', 'SU')
('AC22517-2022-11-02-6815','A379-11','rIBpT', 'SL')
('AC12058-2022-11-01-6816','A379-12','QuARapaE', 'SU')
('SL04652-2022-11-01-6716','S280-20','VvP', 'LB')
('SL22517-2022-11-01-6653','S278-5','RjgvzqBFqt', 'MB')
('SL22517-2022-11-02-6771','S283-3','lOPdKhpDFJfj', 'UB')
('AC04652-2022-11-02-6796','A378-10','TegWssqBTQkhnaBH', 'UB')
('AC22517-2022-11-01-6806','A379-2','iQF', 'LB')
('SL22517-2022-11-02-6775','S283-7','Qqi', 'SL')
('SL22517-2022-11-01-6659','S278-11','ga', 'UB')
('SL22517-2022-11-02-6779','S283-11','gffDZaiePGZvw', 'UB')
('SL04652-2022-11-02-6778','S283-10','yADifzASWIoP', 'MB')
('SL22517-2022-11-02-6781','S283-13','gLcoUmatAvicwGmO', 'MB')
('AC04652-2022-11-01-7074','A393-18','vxdDqmgrdEej', 'SU')
('SL22517-2022-11-02-6784','S283-16','iZT', 'SU')
('SL12058-2022-11-01-6612','S276-12','ILjMRunZKYujFFfg', 'LB')
('AC12058-2022-11-01-6854','A381-14','ybWGeVJeWbRXw', 'LB')
('SL12058-2022-11-01-6629','S277-5','HfCdohjyfj', 'MB')
('SL22517-2022-11-02-6802','S284-10','avx', 'MB')
('SL04652-2022-11-02-6791','S283-23','cTPxh', 'SL')
('AC04652-2022-11-01-7092','A394-18','mvwb', 'SU')
('SL22517-2022-11-02-6805','S284-13','jSaEwaZzEdJnCis', 'MB')
('AC04652-2022-11-01-7129','A397-1','ldxoePotAXWbnBXu', 'LB')
('AC04652-2022-11-01-7161','A398-15','iEutVVyYUMZZIy', 'UB')
('SL12058-2022-11-01-6718','S280-22','mcVCjeMxE', 'UB')
('SL22517-2022-11-02-6874','S287-10','JvwCFc', 'MB')
('AC04652-2022-11-02-6938','A386-8','wDkGaAlDMFhn', 'LB')
('AC22517-2022-11-01-6940','A386-10','PXFNJrMRFIILS', 'UB')
('SL04652-2022-11-01-6891','S288-3','RXuwgcUqh', 'UB')
('AC04652-2022-11-02-6944','A386-14','lxkGFoSZfZVSb', 'LB')
('SL04652-2022-11-01-6902','S288-14','fncD', 'UB')
('AC22517-2022-11-01-6956','A387-8','njCnzZj', 'LB')
('AC12058-2022-11-01-6969','A388-3','yHeN', 'UB')
('SL22517-2022-11-01-6831','S285-15','xUwTGzYRCUPoOow', 'SL')
('SL04652-2022-11-01-6923','S289-11','pIoszTU', 'UB')
('SL22517-2022-11-02-6959','S290-23','nmEX', 'SL')
('SL12058-2022-11-01-6809','S284-17','MPwWerkYhdjcOE', 'LB')
('SL04652-2022-11-01-6945','S290-9','UwcmhaXFAhO', 'LB')
('SL22517-2022-11-02-6963','S291-3','eSxaaLKogiV', 'UB')
('AC04652-2022-11-02-6995','A389-11','kpyVYZfIUbUo', 'SL')
('AC04652-2022-11-01-7277','A405-5','SQL', 'SL')
('SL22517-2022-11-02-6980','S291-20','n', 'LB')
('SL12058-2022-11-01-6828','S285-12','DpI', 'LB')
('AC04652-2022-11-01-7302','A406-12','OZaFLWxg', 'SU')
('SL12058-2022-11-01-6839','S285-23','gyDhXNEqlXCEKdYB', 'SL')
('SL04652-2022-11-02-7009','S293-1','Dzk', 'LB')
('AC04652-2022-11-02-7033','A391-13','AP', 'LB')
('AC12058-2022-11-01-7053','A392-15','bsoEWGDdSLdDa', 'UB')
('SL04652-2022-11-01-6976','S291-16','cgiqVtgR', 'SU')
('SL04652-2022-11-02-7016','S293-8','FkuvwEPezNcwHvS', 'SU')
('AC04652-2022-11-01-7408','A412-10','t', 'UB')
('SL22517-2022-11-01-6997','S292-13','wDb', 'MB')
('SL12058-2022-11-01-6955','S290-19','PNTRLkJYB', 'UB')
('SL22517-2022-11-01-7006','S292-22','iIscTvzw', 'UB')
('AC22517-2022-11-02-7166','A399-2','LF', 'LB')
('AC12058-2022-11-01-7153','A398-7','MNZASaM', 'LB')
('AC22517-2022-11-02-7179','A399-15','m', 'UB')
('SL12058-2022-11-01-6972','S291-12','D', 'LB')
('SL22517-2022-11-01-7018','S293-10','UBiFqXTAkOOSkh', 'MB')
('AC22517-2022-11-02-7194','A400-12','YTRfPmGsPScETRRI', 'SU')
('AC12058-2022-11-01-7175','A399-11','OAl', 'SL')
('SL22517-2022-11-01-7029','S293-21','IHXv', 'MB')
('AC12058-2022-11-01-7178','A399-14','mewk', 'LB')
('SL04652-2022-11-02-7130','S298-2','E', 'MB')
('SL12058-2022-11-01-6984','S291-24','LmyaktOEerYpJZVO', 'SU')
('SL04652-2022-11-02-7133','S298-5','wyv', 'MB')
('AC12058-2022-11-01-7180','A399-16','GQym', 'UB')
('SL22517-2022-11-01-7050','S294-18','lQcaPycwNLKOJy', 'MB')
('AC22517-2022-11-01-7241','A403-5','pvwOolsgahGXr', 'SL')
('SL22517-2022-11-02-7247','S302-23','WMA', 'SL')
('SL04652-2022-11-02-7260','S303-12','JPQn', 'LB')
('AC12058-2022-11-01-7333','A408-7','gXmatzncVGqxaBK', 'LB')
('AC04652-2022-11-01-7608','A423-12','jlqvTQH', 'SU')
('AC12058-2022-11-01-7334','A408-8','T', 'LB')
('SL12058-2022-11-01-7126','S297-22','nPLPjgXKVaFScu', 'UB')
('AC12058-2022-11-01-7335','A408-9','GHKD', 'UB')
('SL22517-2022-11-01-7189','S300-13','aPEGsClyoxhHOB', 'MB')
('SL22517-2022-11-01-7190','S300-14','PQJWKJzHDYXFeVX', 'UB')
('SL22517-2022-11-02-7318','S305-22','Dhrni', 'UB')
('AC04652-2022-11-02-7345','A409-1','jE', 'LB')
('SL04652-2022-11-02-7323','S306-3','drpglmHqTj', 'UB')
('AC22517-2022-11-02-7424','A413-8','s', 'LB')
('AC22517-2022-11-02-7432','A413-16','zXMuHAFxAzYvSkzP', 'UB')
('SL12058-2022-11-01-7180','S300-4','lDZyDDYGPOag', 'LB')
('AC12058-2022-11-01-7394','A411-14','RHoQQvv', 'LB')
('SL22517-2022-11-02-7338','S306-18','XGLgWjWE', 'MB')
('SL22517-2022-11-01-7243','S302-19','NwqR', 'UB')
('SL22517-2022-11-01-7244','S302-20','MmaWsqHYzBOfC', 'LB')
('AC04652-2022-11-02-7378','A410-16','fmnNmwXQpGSc', 'UB')
('AC22517-2022-11-01-7380','A410-18','twZEJUoRwzIOx', 'SU')
('SL22517-2022-11-02-7389','S308-21','xl', 'MB')
('AC22517-2022-11-02-7507','A418-1','hmOW', 'LB')
('SL22517-2022-11-01-7303','S305-7','Z', 'SL')
('AC22517-2022-11-01-7445','A414-11','XkYkznOPOMrsvm', 'SL')
('AC04652-2022-11-02-7449','A414-15','LQcA', 'UB')
('AC04652-2022-11-02-7450','A414-16','YzQHpPOqhFAWka', 'UB')
('AC04652-2022-11-02-7492','A417-4','fJjyyvyaPR', 'UB')
('AC04652-2022-11-02-7502','A417-14','oWdobOeLJeqefu', 'LB')
('AC22517-2022-11-01-7556','A420-14','HikvbtRBAmLV', 'LB')
