('SL22517-2022-11-02-1231','S52-7','KhETARuWtySMXFyh', 'SL')
('SL04652-2022-11-01-1339','S56-19','iM', 'UB')
('SL12058-2022-11-01-1302','S55-6','xccgoHPpacvTK', 'UB')
('AC12058-2022-11-01-1293','A72-15','prRJV', 'UB')
('SL22517-2022-11-01-1285','S54-13','CwhplJiLZrTqU', 'MB')
('AC22517-2022-11-01-1285','A72-7','mksUT', 'LB')
('SL04652-2022-11-01-1341','S56-21','MbMhcijOMU', 'MB')
('AC22517-2022-11-01-1286','A72-8','LsGkSIGpOS', 'LB')
('AC22517-2022-11-01-1287','A72-9','otSgbPSnEZTXgg', 'UB')
('AC22517-2022-11-01-1288','A72-10','HJFAlxwb', 'UB')
('SL22517-2022-11-02-1276','S54-4','KztiOlshCYeuiDmP', 'LB')
('SL12058-2022-11-01-1304','S55-8','ZQNuLjmjksDVenWc', 'SU')
('AC22517-2022-11-01-1291','A72-13','YkR', 'LB')
('AC22517-2022-11-02-1373','A77-5','cDhckslvIf', 'SL')
('SL04652-2022-11-01-1344','S56-24','G', 'SU')
('SL04652-2022-11-01-1345','S57-1','sDPTpmXnfhuXdb', 'LB')
('AC22517-2022-11-02-1375','A77-7','abNlbXzoro', 'LB')
('SL22517-2022-11-01-1287','S54-15','aTvgYEi', 'SL')
('SL22517-2022-11-01-1288','S54-16','Rae', 'SU')
('AC22517-2022-11-02-1376','A77-8','W', 'LB')
('SL22517-2022-11-02-1278','S54-6','mfqjMZM', 'UB')
('AC22517-2022-11-02-1379','A77-11','HezgdsHlMT', 'SL')
('AC22517-2022-11-02-1381','A77-13','JJoyKrZLzRcOmR', 'LB')
('SL04652-2022-11-02-1296','S54-24','d', 'SU')
('AC04652-2022-11-01-1320','A74-6','N', 'SU')
('SL22517-2022-11-02-1282','S54-10','KXlAY', 'MB')
('SL04652-2022-11-02-1298','S55-2','MPhdaQDlckyfoNL', 'MB')
('SL04652-2022-11-01-1352','S57-8','zCbiVbqu', 'SU')
('AC04652-2022-11-01-1324','A74-10','dvrQlzepQAJoebc', 'UB')
('AC04652-2022-11-02-1305','A73-9','bFGDbNIhGTBG', 'UB')
('SL22517-2022-11-01-1294','S54-22','ulwTNrHSPAETfUH', 'UB')
('SL22517-2022-11-02-1284','S54-12','QiiXUIzUFSbbjUv', 'LB')
('SL22517-2022-11-01-1296','S54-24','xuNiJCCTDxn', 'SU')
('AC22517-2022-11-01-1301','A73-5','x', 'SL')
('AC04652-2022-11-01-1326','A74-12','WKODDkb', 'SU')
('SL04652-2022-11-01-1355','S57-11','dwVsTMPhOlAOLw', 'UB')
('SL04652-2022-11-01-1356','S57-12','vGQPig', 'LB')
('AC22517-2022-11-02-1383','A77-15','PaMejLEN', 'UB')
('AC04652-2022-11-01-1328','A74-14','PftuHicASv', 'LB')
('SL04652-2022-11-02-1302','S55-6','IpE', 'UB')
('AC12058-2022-11-01-1308','A73-12','VuuWssDroWvDbHR', 'SU')
('SL12058-2022-11-01-1312','S55-16','uUMagApmfz', 'SU')
('AC04652-2022-11-02-1313','A73-17','wVQcMZnUC', 'SL')
('AC04652-2022-11-02-1314','A73-18','RfeljLkJgXPN', 'SU')
('AC04652-2022-11-01-1330','A74-16','JmvCzoKvFOvph', 'UB')
('SL04652-2022-11-02-1305','S55-9','ElouYfHvZkCmYm', 'LB')
('AC22517-2022-11-01-1312','A73-16','iFzxEYuM', 'UB')
('AC12058-2022-11-01-1313','A73-17','CGJzr', 'SL')
('AC22517-2022-11-01-1313','A73-17','UadwaLO', 'SL')
('AC12058-2022-11-01-1314','A73-18','XrCn', 'SU')
('SL12058-2022-11-01-1316','S55-20','ZBCmxGf', 'LB')
('AC04652-2022-11-01-1335','A75-3','DWI', 'UB')
('AC12058-2022-11-01-1317','A74-3','dkuaL', 'UB')
('SL22517-2022-11-01-1303','S55-7','AOfSSDNyh', 'SL')
('SL12058-2022-11-01-1317','S55-21','hqqScnVHAgcMag', 'MB')
('SL22517-2022-11-01-1305','S55-9','UXrLgBJZ', 'LB')
('SL12058-2022-11-01-1320','S55-24','WhFGOOsYgQAKrZ', 'SU')
('AC04652-2022-11-02-1325','A74-11','gkeo', 'SL')
('AC04652-2022-11-02-1328','A74-14','caoGzuOcjVDYuL', 'LB')
('AC22517-2022-11-01-1320','A74-6','wpyX', 'SU')
('SL04652-2022-11-01-1368','S57-24','hvYtLSeMyTHuy', 'SU')
('AC22517-2022-11-02-1393','A78-7','GVBSdmHbL', 'LB')
('SL12058-2022-11-01-1324','S56-4','pGgKYKNQjVYutv', 'LB')
('AC22517-2022-11-01-1322','A74-8','plcSdIWEsvvK', 'LB')
('AC04652-2022-11-02-1333','A75-1','FzXuKguTwSubw', 'LB')
('SL04652-2022-11-01-1370','S58-2','hoOmCEWJxW', 'MB')
('AC04652-2022-11-02-1335','A75-3','BkVUaU', 'UB')
('AC04652-2022-11-02-1336','A75-4','OLrydIzMQ', 'UB')
('SL22517-2022-11-02-1298','S55-2','dMFgPBAIHPss', 'MB')
('AC12058-2022-11-01-1325','A74-11','vOdeXnSwAHlUTzo', 'SL')
('SL22517-2022-11-02-1299','S55-3','QTnzltTe', 'UB')
('SL22517-2022-11-02-1300','S55-4','OzWCxnMk', 'LB')
('AC04652-2022-11-02-1340','A75-8','IOzeRmsGFSTrQ', 'LB')
('SL12058-2022-11-01-1329','S56-9','hRzimXvZhho', 'LB')
('AC22517-2022-11-02-1402','A78-16','cybrWz', 'UB')
('AC04652-2022-11-01-1345','A75-13','iimhNislMUHOtUH', 'LB')
('AC04652-2022-11-01-1346','A75-14','xwKWoTYY', 'LB')
('SL22517-2022-11-02-1306','S55-10','GFcYLQJFv', 'MB')
('SL22517-2022-11-02-1307','S55-11','XFnLQprTYqPCqZF', 'UB')
('AC12058-2022-11-01-1329','A74-15','aXDS', 'UB')
('AC12058-2022-11-01-1330','A74-16','VVUiXrgtuiVISas', 'UB')
('AC04652-2022-11-02-1344','A75-12','duAfbHo', 'SU')
('SL22517-2022-11-01-1315','S55-19','jHZwI', 'UB')
('AC12058-2022-11-01-1333','A75-1','N', 'LB')
('AC22517-2022-11-02-1406','A79-2','wni', 'LB')
('SL22517-2022-11-02-1308','S55-12','Ybcds', 'LB')
('AC04652-2022-11-01-1349','A75-17','qSiAOiLJZWIE', 'SL')
('SL22517-2022-11-02-1309','S55-13','ZvbYQrOrWWczOK', 'MB')
('SL22517-2022-11-01-1323','S56-3','vqmuahCcP', 'UB')
('SL04652-2022-11-01-1378','S58-10','ynTlfpebXz', 'MB')
('AC12058-2022-11-01-1339','A75-7','W', 'LB')
('SL04652-2022-11-01-1379','S58-11','fOgiBglDOkd', 'UB')
('AC22517-2022-11-02-1408','A79-4','XDbajJ', 'UB')
('AC04652-2022-11-02-1352','A76-2','hgOopwTDHH', 'LB')
('AC22517-2022-11-02-1411','A79-7','z', 'LB')
('SL22517-2022-11-02-1316','S55-20','wRyMqxHbH', 'LB')
('AC04652-2022-11-01-1352','A76-2','GF', 'LB')
('SL04652-2022-11-01-1380','S58-12','VyhnbmVq', 'LB')
('AC22517-2022-11-02-1413','A79-9','LCUHxHWzrqLBhKvB', 'UB')
('AC04652-2022-11-02-1354','A76-4','yBthTKAzlyD', 'UB')
('SL22517-2022-11-02-1319','S55-23','TFrhtzn', 'SL')
('SL22517-2022-11-02-1320','S55-24','mAodvexUrvyKuJ', 'SU')
('SL12058-2022-11-01-1340','S56-20','YpHfK', 'LB')
('AC22517-2022-11-01-1337','A75-5','Hcu', 'SL')
('SL22517-2022-11-02-1322','S56-2','B', 'MB')
('SL22517-2022-11-01-1328','S56-8','oEwI', 'SU')
('SL12058-2022-11-01-1342','S56-22','BTqRZRBMZZS', 'UB')
('AC04652-2022-11-02-1360','A76-10','XLXoAKH', 'UB')
('AC12058-2022-11-01-1348','A75-16','kqqIznIZzga', 'UB')
('SL12058-2022-11-01-1345','S57-1','MVezBfw', 'LB')
('AC22517-2022-11-02-1416','A79-12','fNeDMjzzZSoUolCj', 'SU')
('SL22517-2022-11-01-1330','S56-10','sb', 'MB')
('AC22517-2022-11-01-1340','A75-8','WPZQLFHwaZ', 'LB')
('AC22517-2022-11-02-1419','A79-15','AJwQMcim', 'UB')
('SL22517-2022-11-01-1332','S56-12','vWt', 'LB')
('SL22517-2022-11-01-1333','S56-13','ZVxqBle', 'MB')
('SL04652-2022-11-01-1386','S58-18','PiBYuwmm', 'MB')
('AC04652-2022-11-01-1359','A76-9','WvAdXVYgrQcIn', 'UB')
('SL12058-2022-11-01-1351','S57-7','FrpzLlTsGsPS', 'SL')
('SL22517-2022-11-02-1327','S56-7','bkmbODtpuxlbXOgG', 'SL')
('SL22517-2022-11-01-1339','S56-19','U', 'UB')
('AC22517-2022-11-02-1425','A80-3','GbafBfIJproNu', 'UB')
('AC22517-2022-11-02-1426','A80-4','eztx', 'UB')
('SL22517-2022-11-01-1342','S56-22','XFoHu', 'UB')
('SL22517-2022-11-01-1343','S56-23','EsZQkBRfmk', 'SL')
('AC22517-2022-11-01-1350','A75-18','mliZemWW', 'SU')
('AC22517-2022-11-01-1351','A76-1','lBpNFI', 'LB')
('SL22517-2022-11-02-1331','S56-11','Dt', 'UB')
('SL22517-2022-11-01-1346','S57-2','Qbjkhk', 'MB')
('SL12058-2022-11-01-1354','S57-10','EssmUPgErww', 'MB')
('SL12058-2022-11-01-1355','S57-11','Ln', 'UB')
('AC22517-2022-11-01-1352','A76-2','wWHAVijSSRadi', 'LB')
('AC22517-2022-11-01-1353','A76-3','yelSxJnLX', 'UB')
('AC04652-2022-11-01-1362','A76-12','yXXmxlTaz', 'SU')
('SL22517-2022-11-01-1349','S57-5','v', 'MB')
('AC22517-2022-11-02-1435','A80-13','yYBP', 'LB')
('SL04652-2022-11-02-1342','S56-22','zeIfgNQn', 'UB')
('SL04652-2022-11-01-1394','S59-2','eWvkUfUFvCOtFpR', 'MB')
('SL22517-2022-11-01-1352','S57-8','v', 'SU')
('SL22517-2022-11-02-1338','S56-18','kbxkJLCS', 'MB')
('AC04652-2022-11-02-1375','A77-7','cINS', 'LB')
('AC04652-2022-11-01-1367','A76-17','NmtEP', 'SL')
('SL04652-2022-11-01-1399','S59-7','MwbAkctrbauNe', 'SL')
('SL04652-2022-11-01-1400','S59-8','ISzWFCkHAWOKJK', 'SU')
('SL22517-2022-11-01-1355','S57-11','mDkSxVC', 'UB')
('AC04652-2022-11-01-1372','A77-4','EEFtBAblrNzTfn', 'UB')
('SL22517-2022-11-02-1346','S57-2','LCyzInDj', 'MB')
('AC22517-2022-11-02-1440','A80-18','BBMIBpnV', 'SU')
('AC22517-2022-11-02-1441','A81-1','RlyUYdNqdFA', 'LB')
('SL22517-2022-11-01-1359','S57-15','JMeHrvmqfjT', 'SL')
('SL04652-2022-11-02-1350','S57-6','kyrrYtEmYqK', 'UB')
('SL22517-2022-11-01-1360','S57-16','fIUzfOpf', 'SU')
('AC12058-2022-11-01-1360','A76-10','qGbH', 'UB')
('AC12058-2022-11-01-1362','A76-12','A', 'SU')
('AC04652-2022-11-01-1374','A77-6','hw', 'SU')
('SL22517-2022-11-02-1351','S57-7','eDBHIkKujPOk', 'SL')
('AC22517-2022-11-01-1370','A77-2','gzKDWgggjjHVYiKB', 'LB')
('AC22517-2022-11-02-1447','A81-7','yKIvkARpnx', 'LB')
('SL04652-2022-11-01-1410','S59-18','kZzGF', 'MB')
('AC04652-2022-11-01-1378','A77-10','cd', 'UB')
('AC12058-2022-11-01-1364','A76-14','ilFLAz', 'LB')
('SL04652-2022-11-01-1411','S59-19','chNjFTjdqY', 'UB')
('AC12058-2022-11-01-1365','A76-15','TgBFwFghiylEHuOG', 'UB')
('SL12058-2022-11-01-1369','S58-1','KJQbZm', 'LB')
('AC12058-2022-11-01-1366','A76-16','xJHTIv', 'UB')
('SL04652-2022-11-02-1358','S57-14','tITVopCePfODUfq', 'UB')
('AC22517-2022-11-02-1452','A81-12','aLdRQz', 'SU')
('SL04652-2022-11-01-1414','S59-22','J', 'UB')
('SL04652-2022-11-01-1415','S59-23','MFxXZN', 'SL')
('SL04652-2022-11-01-1416','S59-24','GKMMWlccLEreLud', 'SU')
('SL22517-2022-11-02-1357','S57-13','MXdYvdYkrYbhkvpc', 'MB')
('SL22517-2022-11-02-1358','S57-14','MSgxQsofNJz', 'UB')
('SL04652-2022-11-02-1360','S57-16','zpCZEclkPDcofLB', 'SU')
('SL22517-2022-11-02-1360','S57-16','YBHaSrsVNEj', 'SU')
('SL22517-2022-11-01-1366','S57-22','fTRje', 'UB')
('SL22517-2022-11-02-1362','S57-18','kXKOzlMoTPB', 'MB')
('AC22517-2022-11-01-1381','A77-13','hWsCeDCtEJ', 'LB')
('AC22517-2022-11-02-1455','A81-15','PkUTnfBHGQo', 'UB')
('SL22517-2022-11-02-1363','S57-19','wpuJHdZguW', 'UB')
('AC04652-2022-11-01-1384','A77-16','qThXaKUKQlUQf', 'UB')
('SL22517-2022-11-01-1371','S58-3','DJKYGaYaQFY', 'UB')
('AC22517-2022-11-02-1459','A82-1','P', 'LB')
('SL22517-2022-11-02-1369','S58-1','uInRoBrkUY', 'LB')
('AC22517-2022-11-02-1463','A82-5','ma', 'SL')
('SL04652-2022-11-01-1422','S60-6','UTDtlvQurUlfr', 'UB')
('AC22517-2022-11-02-1464','A82-6','CIkvE', 'SU')
('SL04652-2022-11-02-1368','S57-24','Z', 'SU')
('AC22517-2022-11-02-1470','A82-12','WeGOGxOgNIezVy', 'SU')
('SL12058-2022-11-01-1376','S58-8','YYQWdPMK', 'SU')
('AC22517-2022-11-01-1383','A77-15','ViesCwsP', 'UB')
('SL04652-2022-11-01-1423','S60-7','Am', 'SL')
('SL22517-2022-11-02-1376','S58-8','etUmiR', 'SU')
('AC04652-2022-11-02-1392','A78-6','MdceslapgNWpO', 'SU')
('AC22517-2022-11-01-1384','A77-16','PTChfvccDsaz', 'UB')
('AC04652-2022-11-01-1399','A78-13','GCSReFmchZyfjgi', 'LB')
('AC12058-2022-11-01-1382','A77-14','KOgCPKfAKec', 'LB')
('AC04652-2022-11-02-1394','A78-8','VGF', 'LB')
('SL04652-2022-11-01-1426','S60-10','Qg', 'MB')
('AC04652-2022-11-02-1395','A78-9','OQxDtU', 'UB')
('SL22517-2022-11-01-1378','S58-10','qXealuGiIJsNuah', 'MB')
('SL22517-2022-11-02-1380','S58-12','eWTOPdtBQZpkuZCr', 'LB')
('SL22517-2022-11-02-1382','S58-14','yLvN', 'UB')
('SL04652-2022-11-02-1378','S58-10','kGemvUDZPJYUng', 'MB')
('AC04652-2022-11-01-1411','A79-7','JyltuugUUJASXp', 'LB')
('AC12058-2022-11-01-1387','A78-1','usUtBlEYDfdhikwZ', 'LB')
('SL12058-2022-11-01-1381','S58-13','ejDExCvLxz', 'MB')
('AC22517-2022-11-02-1473','A82-15','pdpPs', 'UB')
('AC22517-2022-11-02-1474','A82-16','apvqwQnwbCtmNOQ', 'UB')
('AC04652-2022-11-02-1398','A78-12','purgAejFMIJZOm', 'SU')
('SL12058-2022-11-01-1385','S58-17','AvDFgeF', 'LB')
('SL04652-2022-11-01-1429','S60-13','nncYqJkAds', 'MB')
('AC22517-2022-11-01-1388','A78-2','qucfILdOJvACn', 'LB')
('AC22517-2022-11-02-1476','A82-18','mDwtGKMT', 'SU')
('SL04652-2022-11-01-1431','S60-15','txU', 'SL')
('SL12058-2022-11-01-1391','S58-23','sGnYIKiW', 'SL')
('SL12058-2022-11-01-1393','S59-1','LAeDDjNRrXquGWU', 'LB')
('SL04652-2022-11-02-1387','S58-19','xhSOgaKMupuJXP', 'UB')
('AC22517-2022-11-01-1395','A78-9','rsMJJWG', 'UB')
('SL22517-2022-11-01-1385','S58-17','TKRPWhlh', 'LB')
('AC12058-2022-11-01-1393','A78-7','dlNqWxubd', 'LB')
('AC04652-2022-11-02-1401','A78-15','I', 'UB')
('AC12058-2022-11-01-1394','A78-8','f', 'LB')
('SL22517-2022-11-01-1386','S58-18','rsP', 'MB')
('SL12058-2022-11-01-1395','S59-3','oVxTFENZlDnAQlNx', 'UB')
('SL04652-2022-11-02-1389','S58-21','hwzWkzZs', 'MB')
('AC04652-2022-11-01-1423','A80-1','eAYpeTYXM', 'LB')
('SL12058-2022-11-01-1396','S59-4','ifg', 'LB')
('AC12058-2022-11-01-1397','A78-11','DcngQibnaTv', 'SL')
('SL22517-2022-11-02-1392','S58-24','H', 'SU')
('AC22517-2022-11-01-1406','A79-2','XLsnYGlH', 'LB')
('AC12058-2022-11-01-1399','A78-13','NkiukdaHgOksapw', 'LB')
('SL04652-2022-11-01-1435','S60-19','EWSvkltCXulMpp', 'UB')
('SL04652-2022-11-02-1392','S58-24','omCMRygymAqSjLQk', 'SU')
('SL22517-2022-11-02-1393','S59-1','abBZJIyGM', 'LB')
('SL22517-2022-11-02-1394','S59-2','OZbhNYN', 'MB')
('AC04652-2022-11-01-1430','A80-8','jyLZbEdwFuWbhzI', 'LB')
('SL22517-2022-11-01-1394','S59-2','aIzJDN', 'MB')
('SL22517-2022-11-02-1396','S59-4','WMd', 'LB')
('SL04652-2022-11-01-1439','S60-23','DpqtXJmnZUeIlZeX', 'SL')
('AC22517-2022-11-02-1488','A83-12','BPHXRqjMSSxPFi', 'SU')
('AC04652-2022-11-01-1433','A80-11','KkvPld', 'SL')
('AC04652-2022-11-01-1434','A80-12','P', 'SU')
('SL22517-2022-11-02-1401','S59-9','jsaINeQy', 'LB')
('SL22517-2022-11-01-1397','S59-5','K', 'MB')
('AC22517-2022-11-01-1413','A79-9','UwaEhAIYkoYlQ', 'UB')
('AC04652-2022-11-01-1436','A80-14','WpelNtHVYBMzLW', 'LB')
('SL04652-2022-11-01-1442','S61-2','tm', 'MB')
('SL04652-2022-11-02-1399','S59-7','DkmQlmUwFwtd', 'SL')
('AC04652-2022-11-01-1440','A80-18','CtjRzTavaBmvqSu', 'SU')
('AC22517-2022-11-02-1493','A83-17','dJGrYYPxjYe', 'SL')
('AC04652-2022-11-01-1442','A81-2','aWJwNEPeZ', 'LB')
('SL04652-2022-11-01-1445','S61-5','qQpEdHFwWvlgJ', 'MB')
('SL04652-2022-11-02-1402','S59-10','Zr', 'MB')
('SL22517-2022-11-02-1405','S59-13','wZ', 'MB')
('AC04652-2022-11-02-1427','A80-5','RgzLXFGwcRVzb', 'SL')
('AC04652-2022-11-01-1443','A81-3','voUCgRMxmLxiL', 'UB')
('AC22517-2022-11-02-1496','A84-2','yNpcyU', 'LB')
('SL04652-2022-11-01-1455','S61-15','O', 'SL')
('SL22517-2022-11-01-1410','S59-18','KUouLiUgsHUa', 'MB')
('SL12058-2022-11-01-1414','S59-22','rfpeeVrujmJ', 'UB')
('SL22517-2022-11-02-1417','S60-1','PrERj', 'LB')
('AC04652-2022-11-01-1451','A81-11','CBUUkTXFNB', 'SL')
('SL22517-2022-11-01-1411','S59-19','rKSqIDTUY', 'UB')
('AC12058-2022-11-01-1414','A79-10','EAfX', 'UB')
('AC12058-2022-11-01-1415','A79-11','EaDujvC', 'SL')
('AC12058-2022-11-01-1416','A79-12','la', 'SU')
('AC04652-2022-11-01-1452','A81-12','SN', 'SU')
('SL22517-2022-11-02-1421','S60-5','AKWpcm', 'MB')
('AC22517-2022-11-01-1423','A80-1','HawyMwwMKk', 'LB')
('SL04652-2022-11-01-1461','S61-21','pHQPKfVdEc', 'MB')
('SL12058-2022-11-01-1419','S60-3','ImXeGD', 'UB')
('AC22517-2022-11-02-1506','A84-12','mRVuFJFez', 'SU')
('SL04652-2022-11-02-1422','S60-6','HUcATdKKoc', 'UB')
('SL22517-2022-11-02-1424','S60-8','bycjieFV', 'SU')
('SL12058-2022-11-01-1423','S60-7','gwyabYJOjpoV', 'SL')
('AC04652-2022-11-02-1448','A81-8','YxKek', 'LB')
('AC04652-2022-11-02-1449','A81-9','dgFa', 'UB')
('SL22517-2022-11-01-1419','S60-3','U', 'UB')
('AC22517-2022-11-02-1511','A84-17','knmEWAUZwsWfBR', 'SL')
('AC12058-2022-11-01-1423','A80-1','kqqmSbQDc', 'LB')
('SL04652-2022-11-02-1428','S60-12','Yc', 'LB')
('SL22517-2022-11-01-1423','S60-7','oBEiKxRhaTI', 'SL')
('AC04652-2022-11-02-1454','A81-14','VztHM', 'LB')
('SL12058-2022-11-01-1428','S60-12','ffDtPMyBbj', 'LB')
('SL22517-2022-11-01-1424','S60-8','W', 'SU')
('SL04652-2022-11-01-1465','S62-1','dlAPBmaauOiy', 'LB')
('AC04652-2022-11-02-1459','A82-1','DsSQXgS', 'LB')
('SL22517-2022-11-01-1427','S60-11','mGcVyT', 'UB')
('AC04652-2022-11-02-1462','A82-4','XynO', 'UB')
('AC04652-2022-11-01-1467','A82-9','aRzN', 'UB')
('SL12058-2022-11-01-1431','S60-15','rggGSvzPdaNo', 'SL')
('SL22517-2022-11-01-1430','S60-14','DLaEcZhZpDcjjYCd', 'UB')
('SL22517-2022-11-02-1432','S60-16','JDRzPewSRUIxeE', 'SU')
('SL12058-2022-11-01-1432','S60-16','cCEcbPL', 'SU')
('SL12058-2022-11-01-1433','S60-17','fCLTcb', 'LB')
('SL04652-2022-11-02-1431','S60-15','F', 'SL')
('SL22517-2022-11-01-1432','S60-16','tyaGcDvK', 'SU')
('SL22517-2022-11-02-1433','S60-17','S', 'LB')
('AC22517-2022-11-01-1437','A80-15','KCTtpPeVefm', 'UB')
('AC22517-2022-11-01-1438','A80-16','lHE', 'UB')
('SL04652-2022-11-02-1436','S60-20','untTPslxpHxiBJCg', 'LB')
('AC22517-2022-11-01-1441','A81-1','Mzfm', 'LB')
('AC04652-2022-11-01-1480','A83-4','eQjO', 'UB')
('AC12058-2022-11-01-1438','A80-16','cMf', 'UB')
('AC04652-2022-11-02-1469','A82-11','MlAXJnYxaqrYkC', 'SL')
('AC12058-2022-11-01-1439','A80-17','LiXAIMECQU', 'SL')
('AC22517-2022-11-01-1444','A81-4','Txt', 'UB')
('SL12058-2022-11-01-1444','S61-4','TlZinmVmhpXaTef', 'LB')
