('AC04652-2022-11-02-3668','A204-14','gmg', 'LB')
('SL22517-2022-11-01-4129','S173-1','mze', 'LB')
('AC04652-2022-11-02-4174','A232-16','KFy', 'UB')
('SL22517-2022-11-02-4067','S170-11','fHzMxIsWQsQAfH', 'UB')
('SL12058-2022-11-01-4037','S169-5','BkqudAETg', 'MB')
('AC04652-2022-11-01-4329','A241-9','aoWhCMsmZF', 'UB')
('SL22517-2022-11-02-4070','S170-14','LtTexduOoqCDW', 'UB')
('AC22517-2022-11-01-4266','A237-18','NYwNnQdLJAIypI', 'SU')
('AC04652-2022-11-01-4383','A244-9','VryF', 'UB')
('AC12058-2022-11-01-4221','A235-9','NMcupxCT', 'UB')
('SL22517-2022-11-01-4182','S175-6','OOloYjmOueH', 'UB')
('AC04652-2022-11-02-4227','A235-15','APAUwaF', 'UB')
('SL12058-2022-11-01-4089','S171-9','IcFkDwZY', 'LB')
('SL04652-2022-11-02-4223','S176-23','e', 'SL')
('AC04652-2022-11-02-4252','A237-4','qoYptHQiHFE', 'UB')
('SL04652-2022-11-02-4243','S177-19','RfiKdKTOPBwLENkN', 'UB')
('AC04652-2022-11-02-4254','A237-6','gJ', 'SU')
('SL04652-2022-11-01-4181','S175-5','mNYI', 'MB')
('AC22517-2022-11-01-4320','A240-18','cLTGE', 'SU')
('AC22517-2022-11-01-4321','A241-1','Vc', 'LB')
('AC12058-2022-11-01-4313','A240-11','crBcgkFS', 'SL')
('AC12058-2022-11-01-4314','A240-12','RRI', 'SU')
('AC22517-2022-11-01-4380','A244-6','ekO', 'SU')
('AC04652-2022-11-02-4337','A241-17','oVXBLCuWlB', 'SL')
('SL04652-2022-11-01-4249','S178-1','iUXZjbLIlTrqP', 'LB')
('SL04652-2022-11-02-4315','S180-19','xjwJAJDgCNyz', 'UB')
('AC04652-2022-11-01-4499','A250-17','LEKjgbvp', 'SL')
('SL12058-2022-11-01-4200','S175-24','rJtsONozCacfnbny', 'SU')
('SL04652-2022-11-01-4262','S178-14','wasoNV', 'UB')
('AC22517-2022-11-02-4398','A245-6','SBHzrPuz', 'SU')
('AC22517-2022-11-01-4459','A248-13','USWLAQalIVoawSB', 'LB')
('AC22517-2022-11-01-4460','A248-14','R', 'LB')
('SL22517-2022-11-02-4301','S180-5','yuJYltTNlMxUF', 'MB')
('AC04652-2022-11-02-4420','A246-10','YslxNXHgJlAnj', 'UB')
('AC12058-2022-11-01-4408','A245-16','ZrLwUIuq', 'UB')
('AC22517-2022-11-02-4406','A245-14','SrpKWymOfhK', 'LB')
('AC04652-2022-11-02-4423','A246-13','QGug', 'LB')
('AC12058-2022-11-01-4413','A246-3','qqCog', 'UB')
('SL04652-2022-11-01-4341','S181-21','PePflusKmBcYTFJf', 'MB')
('SL22517-2022-11-01-4358','S182-14','gnyoxLrk', 'UB')
('AC04652-2022-11-01-4575','A255-3','gnhUxlZvYrIWJV', 'UB')
('SL04652-2022-11-01-4344','S181-24','pcaPUqKMmuoKk', 'SU')
('SL12058-2022-11-01-4292','S179-20','UyHPQKligmZ', 'LB')
('AC22517-2022-11-02-4422','A246-12','TFzcvkErIlKiuSK', 'SU')
('AC04652-2022-11-02-4438','A247-10','CCyOrYakMLP', 'UB')
('AC22517-2022-11-01-4476','A249-12','desIxwmLF', 'SU')
('AC22517-2022-11-01-4477','A249-13','tfpRsGXNbKXyUIJ', 'LB')
('SL22517-2022-11-01-4368','S182-24','QKsxdhnb', 'SU')
('SL22517-2022-11-02-4326','S181-6','oeIrYmJmQMesSMxx', 'UB')
('SL22517-2022-11-01-4373','S183-5','p', 'MB')
('AC12058-2022-11-01-4438','A247-10','M', 'UB')
('AC22517-2022-11-02-4439','A247-11','fk', 'SL')
('AC22517-2022-11-01-4496','A250-14','nzRojnVETuJdjU', 'LB')
('SL22517-2022-11-02-4341','S181-21','SHNOcBUISHL', 'MB')
('SL12058-2022-11-01-4322','S181-2','sxpoB', 'MB')
('SL12058-2022-11-01-4323','S181-3','nWhp', 'UB')
('AC04652-2022-11-01-4624','A257-16','xANiyWHkdv', 'UB')
('AC22517-2022-11-02-4479','A249-15','jCckrxMu', 'UB')
('AC04652-2022-11-01-4646','A259-2','bfAfldPD', 'LB')
('AC22517-2022-11-01-4543','A253-7','KERiBtygweP', 'LB')
('SL04652-2022-11-01-4416','S184-24','SpC', 'SU')
('AC22517-2022-11-01-4546','A253-10','wIhflQX', 'UB')
('AC22517-2022-11-01-4547','A253-11','lrvhMkulWINxen', 'SL')
('AC12058-2022-11-01-4502','A251-2','xDnxbFCwazGaYAR', 'LB')
('AC12058-2022-11-01-4505','A251-5','FnPDFOvGgIv', 'SL')
('AC04652-2022-11-02-4512','A251-12','IKKwoehTtDk', 'SU')
('SL04652-2022-11-01-4422','S185-6','rrZKQphxQkJnLHy', 'UB')
('SL04652-2022-11-02-4474','S187-10','thpoCGlKZeptYw', 'MB')
('SL04652-2022-11-01-4423','S185-7','tHBHyvZYYnJG', 'SL')
('SL04652-2022-11-01-4424','S185-8','HVnCFiWOMs', 'SU')
('AC12058-2022-11-01-4508','A251-8','xy', 'LB')
('AC22517-2022-11-01-4552','A253-16','JbyBECoKUivOIgA', 'UB')
('AC22517-2022-11-02-4501','A251-1','wUXA', 'LB')
('SL22517-2022-11-01-4438','S185-22','CzdohBhqzBPXCKb', 'UB')
('SL04652-2022-11-01-4428','S185-12','ypYznBsIZC', 'LB')
('SL12058-2022-11-01-4381','S183-13','BpwuopAu', 'MB')
('SL12058-2022-11-01-4382','S183-14','CKacMd', 'UB')
('SL22517-2022-11-01-4439','S185-23','woBlrgZDBHIZLiKr', 'SL')
('AC04652-2022-11-02-4522','A252-4','xUrxuZqLet', 'UB')
('SL04652-2022-11-01-4431','S185-15','pQCWfM', 'SL')
('AC04652-2022-11-02-4525','A252-7','dTQxDrnWPwGY', 'LB')
('AC04652-2022-11-01-4678','A260-16','XJwwapWTU', 'UB')
('SL04652-2022-11-01-4433','S185-17','EJISDDBz', 'LB')
('AC22517-2022-11-01-4561','A254-7','ybYgYHAp', 'LB')
('SL04652-2022-11-01-4434','S185-18','ZHnHQanzdGWaWsL', 'MB')
('SL04652-2022-11-01-4436','S185-20','TSoHMkZBjpxsZV', 'LB')
('SL04652-2022-11-02-4484','S187-20','lgRKK', 'LB')
('AC04652-2022-11-01-4683','A261-3','xzMOclq', 'UB')
('AC22517-2022-11-01-4565','A254-11','qvMTlHexlHsxkPfl', 'SL')
('AC12058-2022-11-01-4517','A251-17','uwIDUGHMej', 'SL')
('SL04652-2022-11-02-4489','S188-1','IzRpp', 'LB')
('SL04652-2022-11-02-4490','S188-2','kLFANwnCZeQaeBks', 'MB')
('AC22517-2022-11-01-4568','A254-14','AdYfYh', 'LB')
('AC22517-2022-11-02-4522','A252-4','ttvTcRCCJHRl', 'UB')
('SL22517-2022-11-01-4446','S186-6','XYzoZ', 'UB')
('AC04652-2022-11-01-4688','A261-8','UdZXqpzyIBNonn', 'LB')
('SL22517-2022-11-02-4408','S184-16','wwJwwkAray', 'SU')
('SL22517-2022-11-02-4409','S184-17','qphjQckiOz', 'LB')
('AC22517-2022-11-01-4572','A254-18','TBlRMIJqWzvk', 'SU')
('SL04652-2022-11-02-4493','S188-5','bszCSLFENO', 'MB')
('AC04652-2022-11-01-4692','A261-12','iWfjgPEQMiFR', 'SU')
('AC22517-2022-11-02-4590','A255-18','Da', 'SU')
('AC12058-2022-11-01-4565','A254-11','MAj', 'SL')
('SL12058-2022-11-01-4452','S186-12','snQUdndRaOkg', 'LB')
('SL22517-2022-11-02-4466','S187-2','NrAuYljnz', 'MB')
('SL04652-2022-11-02-4554','S190-18','Mv', 'MB')
('AC04652-2022-11-02-4586','A255-14','K', 'LB')
('AC12058-2022-11-01-4574','A255-2','SQyatJKvcUpVR', 'LB')
('AC04652-2022-11-01-4755','A265-3','BynZn', 'UB')
('AC12058-2022-11-01-4576','A255-4','UBunSh', 'UB')
('AC22517-2022-11-02-4609','A257-1','wKeazScOJpRxgpf', 'LB')
('AC04652-2022-11-01-4759','A265-7','GSAYhaWFxlCOAT', 'LB')
('SL22517-2022-11-02-4473','S187-9','gxCflpgJXOFLTcG', 'LB')
('AC04652-2022-11-02-4606','A256-16','TE', 'UB')
('SL04652-2022-11-02-4576','S191-16','CPRyQoNkCL', 'SU')
('AC22517-2022-11-01-4634','A258-8','VdgS', 'LB')
('AC04652-2022-11-01-4781','A266-11','mVh', 'SL')
('SL04652-2022-11-02-4582','S191-22','m', 'UB')
('SL04652-2022-11-01-4531','S189-19','QTuvVvQ', 'UB')
('AC04652-2022-11-02-4617','A257-9','XZPuBHY', 'UB')
('SL04652-2022-11-01-4534','S189-22','kuDrlzbPJV', 'UB')
('SL12058-2022-11-01-4489','S188-1','l', 'LB')
('AC22517-2022-11-02-4646','A259-2','LBUH', 'LB')
('SL22517-2022-11-02-4508','S188-20','gRqxzLlbhlRLTPZG', 'LB')
('SL12058-2022-11-01-4497','S188-9','UEiHPz', 'LB')
('AC04652-2022-11-02-4623','A257-15','epSYHZYgBUfs', 'UB')
('SL04652-2022-11-01-4545','S190-9','YyGByPoIRVyyvy', 'LB')
('SL12058-2022-11-01-4500','S188-12','WguCRrWNkqUUSb', 'LB')
('SL12058-2022-11-01-4501','S188-13','IFfHLJQN', 'MB')
('SL04652-2022-11-01-4549','S190-13','sGmIYpbacnQM', 'MB')
('SL04652-2022-11-01-4550','S190-14','PekSQQDeXR', 'UB')
('AC22517-2022-11-02-4681','A261-1','qCZlFiA', 'LB')
('SL22517-2022-11-02-4542','S190-6','AFmuqRHPWgTnE', 'UB')
('AC12058-2022-11-01-4645','A259-1','krMODixUKdJr', 'LB')
('SL22517-2022-11-01-4569','S191-9','TaXbaXtVQsTw', 'LB')
('AC04652-2022-11-02-4663','A260-1','ATxIo', 'LB')
('SL12058-2022-11-01-4568','S191-8','YlHfQi', 'SU')
('AC04652-2022-11-02-4684','A261-4','tzVPvttV', 'UB')
('SL04652-2022-11-01-4611','S193-3','JSvrNVoqdWNiVLc', 'UB')
('SL22517-2022-11-02-4578','S191-18','GcleWgbXfyq', 'MB')
('AC12058-2022-11-01-4682','A261-2','gRpfQNMbErD', 'LB')
('AC12058-2022-11-01-4683','A261-3','w', 'UB')
('AC22517-2022-11-02-4726','A263-10','dMCjcxrKBcCMaBe', 'UB')
('SL04652-2022-11-02-4674','S195-18','awmAUpSEv', 'MB')
('AC22517-2022-11-02-4755','A265-3','yQuNP', 'UB')
('AC04652-2022-11-02-4716','A262-18','jboK', 'SU')
('SL22517-2022-11-01-4626','S193-18','TmzPkxRmGg', 'MB')
('SL12058-2022-11-01-4597','S192-13','SCVQF', 'MB')
('AC12058-2022-11-01-4710','A262-12','zDBdXAEG', 'SU')
('AC12058-2022-11-01-4711','A262-13','VFnZBq', 'LB')
('AC22517-2022-11-02-4760','A265-8','xhb', 'LB')
('AC12058-2022-11-01-4712','A262-14','JSNTQXTe', 'LB')
('SL22517-2022-11-01-4630','S193-22','svStqlohFinKm', 'UB')
('AC22517-2022-11-02-4762','A265-10','YpqQAM', 'UB')
('SL04652-2022-11-01-4639','S194-7','gopSoYsPob', 'SL')
('AC04652-2022-11-02-4725','A263-9','GaYcnruEZWqlAex', 'UB')
('SL22517-2022-11-02-4615','S193-7','coQM', 'SL')
('AC22517-2022-11-01-4732','A263-16','n', 'UB')
('AC04652-2022-11-01-4916','A274-2','gnRJN', 'LB')
('AC22517-2022-11-02-4792','A267-4','IkARllIwAVQlq', 'UB')
('AC12058-2022-11-01-4747','A264-13','adviqaafmWhd', 'LB')
('AC04652-2022-11-02-4757','A265-5','KTWhpakenJlX', 'SL')
('SL22517-2022-11-02-4646','S194-14','pISGqhCMx', 'UB')
('AC22517-2022-11-02-4804','A267-16','JPDfUlWD', 'UB')
('SL04652-2022-11-01-4690','S196-10','YqpoVUNYssOkSjjL', 'MB')
('SL12058-2022-11-01-4681','S196-1','KzzViKlIvVxIVct', 'LB')
('AC04652-2022-11-01-5003','A278-17','NLlZhNjRIXXfHu', 'SL')
('SL12058-2022-11-01-4692','S196-12','LRxewKp', 'LB')
('SL04652-2022-11-01-4734','S198-6','KMQ', 'UB')
('AC04652-2022-11-01-5015','A279-11','vFonUDCFX', 'SL')
('AC04652-2022-11-02-4809','A268-3','DkpflE', 'UB')
('SL04652-2022-11-01-4799','S200-23','lc', 'SL')
('AC12058-2022-11-01-4866','A271-6','eNCRcI', 'SU')
('AC04652-2022-11-01-5078','A283-2','dgREWRCIp', 'LB')
('AC04652-2022-11-02-4870','A271-10','tUCP', 'UB')
('AC12058-2022-11-01-4871','A271-11','BmVneO', 'SL')
('AC04652-2022-11-01-5083','A283-7','txHOla', 'LB')
('SL22517-2022-11-02-4766','S199-14','cBUxXv', 'UB')
('AC22517-2022-11-02-4915','A274-1','LuguCNnXZUdEGdXA', 'LB')
('SL22517-2022-11-01-4786','S200-10','jWkcSfgQP', 'MB')
('AC22517-2022-11-01-4887','A272-9','GYbdJItLFvspl', 'UB')
('AC22517-2022-11-01-4888','A272-10','QLIL', 'UB')
('AC22517-2022-11-02-4959','A276-9','BqjfECHw', 'UB')
('AC22517-2022-11-01-4923','A274-9','thYRifMg', 'UB')
('SL22517-2022-11-02-4820','S201-20','Vi', 'LB')
('SL22517-2022-11-02-4822','S201-22','BV', 'UB')
('AC04652-2022-11-02-4929','A274-15','V', 'UB')
('SL04652-2022-11-01-4862','S203-14','LYnQcfH', 'UB')
('SL04652-2022-11-02-4873','S204-1','jBDuKqcMljs', 'LB')
('AC04652-2022-11-01-5141','A286-11','v', 'SL')
('AC12058-2022-11-01-4917','A274-3','WBkGRQRxfFZsMc', 'UB')
('AC04652-2022-11-01-5172','A288-6','rbFbcBib', 'SU')
('SL04652-2022-11-01-4890','S204-18','uJtWBXaRHRxcClz', 'MB')
('AC04652-2022-11-02-4985','A277-17','CrHSmUHU', 'SL')
('AC22517-2022-11-02-5011','A279-7','HGKyHKOeWAr', 'LB')
('AC12058-2022-11-01-4961','A276-11','VMzjNQDnGQe', 'SL')
('AC22517-2022-11-02-5015','A279-11','B', 'SL')
('AC04652-2022-11-01-5191','A289-7','sCUayFVtlyoOiu', 'LB')
('AC12058-2022-11-01-4965','A276-15','maDnJnOyFXQQAVY', 'UB')
('AC22517-2022-11-02-5017','A279-13','mblslPMW', 'LB')
('SL04652-2022-11-01-4900','S205-4','mRJPnEqJGTGziBB', 'LB')
('AC22517-2022-11-02-5020','A279-16','SSljBuiSCjKmTNN', 'UB')
('AC22517-2022-11-02-5023','A280-1','IenXzmZooQIXe', 'LB')
('SL22517-2022-11-02-4903','S205-7','zKMB', 'SL')
('AC04652-2022-11-02-5048','A281-8','i', 'LB')
('AC04652-2022-11-01-5246','A292-8','uidPQlZYqDA', 'LB')
('AC04652-2022-11-01-5247','A292-9','m', 'UB')
('SL04652-2022-11-02-4964','S207-20','YppdAT', 'LB')
('AC04652-2022-11-02-5058','A281-18','z', 'SU')
('AC22517-2022-11-01-5038','A280-16','DZRvJCjYcYdIJQOB', 'UB')
('AC22517-2022-11-02-5076','A282-18','OcbKUJJBy', 'SU')
('SL12058-2022-11-01-4896','S204-24','y', 'SU')
('AC22517-2022-11-02-5089','A283-13','IeRCyOyJWCHJsul', 'LB')
('AC22517-2022-11-02-5094','A283-18','vxb', 'SU')
('SL04652-2022-11-01-4962','S207-18','czFFdNej', 'MB')
('SL12058-2022-11-01-4905','S205-9','EOotZmvCH', 'LB')
('AC22517-2022-11-01-5082','A283-6','I', 'SU')
('SL22517-2022-11-02-4989','S208-21','VOtPNeS', 'MB')
('AC22517-2022-11-02-5131','A286-1','ssBR', 'LB')
('SL04652-2022-11-01-5003','S209-11','HmRNLtTsVkyMW', 'UB')
('SL22517-2022-11-02-5091','S213-3','oLGUUQPpRanwXwcW', 'UB')
('SL04652-2022-11-01-5086','S212-22','pGVWsbr', 'UB')
('SL04652-2022-11-01-5087','S212-23','XhLBjtqLEsfGZi', 'SL')
('SL04652-2022-11-02-5211','S218-3','uRmJoveRe', 'UB')
('SL12058-2022-11-01-5106','S213-18','uOmLec', 'MB')
('AC22517-2022-11-02-5292','A294-18','tSUFpx', 'SU')
('AC12058-2022-11-01-5246','A292-8','NyRpxNvasINJ', 'LB')
('SL12058-2022-11-01-5117','S214-5','S', 'MB')
('AC04652-2022-11-02-5296','A295-4','y', 'UB')
('SL12058-2022-11-01-5119','S214-7','alIWUa', 'SL')
('AC22517-2022-11-02-5299','A295-7','PmIdMKlkaCK', 'LB')
('SL22517-2022-11-01-5175','S216-15','GAHhxBLCZKkmoNRu', 'SL')
('AC22517-2022-11-02-5326','A296-16','WGEMHxKG', 'UB')
('SL04652-2022-11-01-5193','S217-9','NS', 'LB')
('AC12058-2022-11-01-5287','A294-13','LQWfUAALcuR', 'LB')
('AC04652-2022-11-02-5337','A297-9','wiuUVFCcOpVN', 'UB')
('AC04652-2022-11-02-5343','A297-15','dkgh', 'UB')
('AC22517-2022-11-01-5333','A297-5','qaZ', 'SL')
('SL22517-2022-11-01-5209','S218-1','hq', 'LB')
('AC22517-2022-11-02-5363','A298-17','cDlRWV', 'SL')
('AC12058-2022-11-01-5314','A296-4','Dddi', 'UB')
('AC22517-2022-11-01-5335','A297-7','qlMpgiYuORnTxFF', 'LB')
('AC04652-2022-11-02-5376','A299-12','yZcRPYf', 'SU')
('SL12058-2022-11-01-5209','S218-1','lLuRDb', 'LB')
('SL04652-2022-11-01-5241','S219-9','TPuosxJuFniTjT', 'LB')
('AC04652-2022-11-02-5379','A299-15','ejHOaVoKylR', 'UB')
('AC22517-2022-11-02-5385','A300-3','xVFZqYvQPhBYB', 'UB')
('SL22517-2022-11-02-5292','S221-12','PhScRxB', 'LB')
('AC22517-2022-11-02-5428','A302-10','mefyqdxPBwhB', 'UB')
('AC22517-2022-11-01-5403','A301-3','XY', 'UB')
('SL22517-2022-11-01-5282','S221-2','vXeOVI', 'MB')
('AC04652-2022-11-02-5469','A304-15','uZcjKK', 'UB')
('AC04652-2022-11-02-5470','A304-16','qz', 'UB')
('SL22517-2022-11-02-5371','S224-19','gAYWUTZ', 'UB')
('AC12058-2022-11-01-5448','A303-12','FxZxxYxAbaS', 'SU')
('SL04652-2022-11-02-5409','S226-9','MCcDvmYmBsao', 'LB')
('SL22517-2022-11-02-5384','S225-8','ibcnlBMR', 'SU')
('AC22517-2022-11-01-5509','A307-1','tGMOyE', 'LB')
('AC04652-2022-11-02-5564','A310-2','oXwiGXqdK', 'LB')
('AC22517-2022-11-02-5563','A310-1','LPHasgLT', 'LB')
('AC22517-2022-11-02-5564','A310-2','ZJpIRbPmuSvkuEF', 'LB')
('AC12058-2022-11-01-5521','A307-13','sGo', 'LB')
('SL12058-2022-11-01-5376','S224-24','VSMYCEHYxFIXvEuU', 'SU')
('AC22517-2022-11-01-5570','A310-8','pyCPvFpeaLazOyz', 'LB')
('SL22517-2022-11-02-5502','S230-6','wo', 'UB')
('SL04652-2022-11-02-5642','S236-2','sfX', 'MB')
('SL22517-2022-11-02-5623','S235-7','tEmZiRYiHjM', 'SL')
('AC22517-2022-11-01-5708','A318-2','yRFocfbQlmxNB', 'LB')
('SL22517-2022-11-01-5609','S234-17','DfQTHYA', 'LB')
('AC22517-2022-11-01-5758','A320-16','xDkrKTw', 'UB')
('SL22517-2022-11-02-5673','S237-9','bNRbRDbzikazwRs', 'LB')
('SL12058-2022-11-01-5602','S234-10','NWlzrd', 'MB')
('SL22517-2022-11-02-5678','S237-14','pffC', 'UB')
('SL22517-2022-11-02-5680','S237-16','vLqRcsKtVnz', 'SU')
('SL22517-2022-11-02-5681','S237-17','tvAKXocjYg', 'LB')
('SL22517-2022-11-02-5682','S237-18','bnUGrohYQP', 'MB')
('SL04652-2022-11-02-5703','S238-15','CGtFsoHSinIsRd', 'SL')
('AC12058-2022-11-01-5750','A320-8','nw', 'LB')
('SL22517-2022-11-02-5700','S238-12','ifiJG', 'LB')
('AC22517-2022-11-01-5782','A322-4','yLBZHNGUfPeIp', 'UB')
('AC22517-2022-11-01-5783','A322-5','ZnDGRVFcbbhaPJ', 'SL')
('AC12058-2022-11-01-5763','A321-3','peUdMhybuhXk', 'UB')
('SL22517-2022-11-02-5702','S238-14','CnaFBwUrQUrgPJR', 'UB')
('AC22517-2022-11-02-5765','A321-5','XRlKPZhRxyz', 'SL')
('AC12058-2022-11-01-5765','A321-5','Bgh', 'SL')
('AC22517-2022-11-01-5786','A322-8','TJHJ', 'LB')
('AC04652-2022-11-01-5993','A333-17','CwjmoNkuZiZ', 'SL')
('AC22517-2022-11-01-5791','A322-13','CrPcj', 'LB')
('AC04652-2022-11-01-6028','A335-16','DzKQIevTh', 'UB')
('SL04652-2022-11-01-5700','S238-12','NnTctS', 'LB')
('AC22517-2022-11-01-5837','A325-5','ivAgIIvCtFSo', 'SL')
('SL22517-2022-11-01-5697','S238-9','BZkqEcEta', 'LB')
('AC04652-2022-11-01-6060','A337-12','VBCsRv', 'SU')
('SL12058-2022-11-01-5681','S237-17','x', 'LB')
('SL04652-2022-11-02-5786','S242-2','GebYFGDTvMcd', 'MB')
('SL12058-2022-11-01-5683','S237-19','YicRTay', 'UB')
('AC22517-2022-11-01-5851','A326-1','BT', 'LB')
('SL22517-2022-11-02-5775','S241-15','rG', 'SL')
('AC04652-2022-11-01-6070','A338-4','JaKJB', 'UB')
('AC04652-2022-11-01-6073','A338-7','XhRY', 'LB')
('AC12058-2022-11-01-5826','A324-12','JFhxAUXqeiwKDwt', 'SU')
('SL04652-2022-11-01-5739','S240-3','LPMV', 'UB')
('AC12058-2022-11-01-5828','A324-14','LhsVCIwAZawQ', 'LB')
('SL04652-2022-11-01-5749','S240-13','lMBdxloSZ', 'MB')
('SL22517-2022-11-02-5793','S242-9','SgU', 'LB')
('SL22517-2022-11-01-5736','S239-24','wGMUsS', 'SU')
('SL22517-2022-11-02-5801','S242-17','juNIuKC', 'LB')
('AC04652-2022-11-02-5911','A329-7','EcjhIUk', 'LB')
('AC04652-2022-11-02-5913','A329-9','OICoVCQ', 'UB')
('AC22517-2022-11-02-5865','A326-15','VLayPnYUptZg', 'UB')
('SL04652-2022-11-01-5768','S241-8','jFtlnctXnffjU', 'SU')
('AC04652-2022-11-01-6107','A340-5','sdsW', 'SL')
('SL04652-2022-11-01-5795','S242-11','V', 'UB')
