('AC04652-2022-11-02-10','A1-10','yCMMMPySpqVv', 'UB')
('AC04652-2022-11-01-124','A7-16','ESGOiyWLGp', 'UB')
('AC04652-2022-11-02-199','A12-1','rPiLb', 'LB')
('AC12058-2022-11-01-216','A12-18','DowcNVnusfWyyODF', 'SU')
('AC22517-2022-11-02-230','A13-14','pNKFkmBboImX', 'LB')
('SL22517-2022-11-02-219','S10-3','VNOtNOjwFF', 'UB')
('SL12058-2022-11-01-213','S9-21','QnZxyUSa', 'MB')
('AC12058-2022-11-01-220','A13-4','APtUPbkfVhOiFP', 'UB')
('AC22517-2022-11-01-222','A13-6','QsJLqRUHGHb', 'SU')
('AC04652-2022-11-01-234','A13-18','IeoSkoU', 'SU')
('SL12058-2022-11-01-219','S10-3','WFq', 'UB')
('SL04652-2022-11-02-194','S9-2','mAAnv', 'MB')
('AC22517-2022-11-02-244','A14-10','rjREH', 'UB')
('AC04652-2022-11-01-240','A14-6','tIgEKQoQwRqMTVG', 'SU')
('AC22517-2022-11-02-245','A14-11','GjQtwvzoF', 'SL')
('SL04652-2022-11-02-198','S9-6','Ey', 'UB')
('AC22517-2022-11-01-230','A13-14','vteD', 'LB')
('SL12058-2022-11-01-228','S10-12','qFJNbQVJYv', 'LB')
('AC04652-2022-11-01-243','A14-9','mWKMnFuXtN', 'UB')
('AC04652-2022-11-01-246','A14-12','QexklfDvdTGo', 'SU')
('AC22517-2022-11-02-252','A14-18','fxgdzllvbUuiJBqg', 'SU')
('AC04652-2022-11-01-258','A15-6','ddegPd', 'SU')
('SL04652-2022-11-02-215','S9-23','dbneeAn', 'SL')
('AC12058-2022-11-01-257','A15-5','n', 'SL')
('SL22517-2022-11-01-252','S11-12','CFB', 'LB')
('SL12058-2022-11-01-246','S11-6','rbqLIiCh', 'UB')
('AC04652-2022-11-02-237','A14-3','zaHoFJWiUEK', 'UB')
('AC22517-2022-11-01-248','A14-14','yjfvrhmTgmHenf', 'LB')
('AC04652-2022-11-02-239','A14-5','QdfomNA', 'SL')
('SL22517-2022-11-02-247','S11-7','Lzy', 'SL')
('AC04652-2022-11-01-266','A15-14','UmnkWIxCxosiCWPH', 'LB')
('AC22517-2022-11-02-273','A16-3','ErIDto', 'UB')
('AC04652-2022-11-01-268','A15-16','kqhM', 'UB')
('AC22517-2022-11-02-275','A16-5','SYgypFrcCT', 'SL')
('SL22517-2022-11-01-260','S11-20','OedvjQdMss', 'LB')
('AC12058-2022-11-01-264','A15-12','tzdhStKBarE', 'SU')
('AC04652-2022-11-02-243','A14-9','QnoMNhOlmKaENWZ', 'UB')
('AC04652-2022-11-01-272','A16-2','Y', 'LB')
('AC04652-2022-11-02-245','A14-11','YFosQEzuO', 'SL')
('SL22517-2022-11-01-265','S12-1','vFRTYb', 'LB')
('SL12058-2022-11-01-255','S11-15','nFAZICknUhrH', 'SL')
('AC04652-2022-11-01-275','A16-5','oxYSPMGWxbQywKHc', 'SL')
('SL22517-2022-11-02-256','S11-16','bvtoYcEwmz', 'SU')
('SL04652-2022-11-02-230','S10-14','IQzmzbzsdFkpBrE', 'UB')
('AC12058-2022-11-01-277','A16-7','DGFYyNXzJyXpM', 'LB')
('SL04652-2022-11-02-233','S10-17','UgC', 'LB')
('AC22517-2022-11-02-281','A16-11','fwQ', 'SL')
('AC04652-2022-11-02-253','A15-1','pUrhO', 'LB')
('SL22517-2022-11-02-260','S11-20','JX', 'LB')
('AC22517-2022-11-02-282','A16-12','HKviabqhSgcgpR', 'SU')
('SL04652-2022-11-02-239','S10-23','mbojSbbH', 'SL')
('AC22517-2022-11-02-283','A16-13','vqFztEDFe', 'LB')
('AC22517-2022-11-01-258','A15-6','WphjQNrzqgst', 'SU')
('AC22517-2022-11-02-344','A20-2','zHfqwSQjxCVBxQe', 'LB')
('AC22517-2022-11-01-313','A18-7','pnvzUIsUoBZKBhHU', 'LB')
('SL12058-2022-11-01-332','S14-20','k', 'LB')
('AC22517-2022-11-02-364','A21-4','wQn', 'UB')
('SL22517-2022-11-02-329','S14-17','mDcosuc', 'LB')
('AC22517-2022-11-02-370','A21-10','BsSuN', 'UB')
('SL12058-2022-11-01-338','S15-2','XhvrAgUvtFcgQlE', 'MB')
('AC04652-2022-11-02-329','A19-5','JJVwvLqynp', 'SL')
('AC22517-2022-11-01-319','A18-13','CirGbKSsjpbo', 'LB')
('SL04652-2022-11-01-329','S14-17','WOoTrRkQvx', 'LB')
('AC12058-2022-11-01-355','A20-13','eCzeCgwjOKi', 'LB')
('SL04652-2022-11-02-307','S13-19','lOQnjCu', 'UB')
('AC04652-2022-11-01-369','A21-9','AfZlGoNoVqSsBgUz', 'UB')
('AC12058-2022-11-01-357','A20-15','ekHKV', 'UB')
('AC22517-2022-11-02-376','A21-16','sZUfSNDRhjxo', 'UB')
('AC12058-2022-11-01-358','A20-16','cD', 'UB')
('AC04652-2022-11-02-340','A19-16','GjGzFUOTu', 'UB')
('SL22517-2022-11-01-347','S15-11','NBDzibOtHCpdmpPo', 'UB')
('AC04652-2022-11-01-374','A21-14','jjyzGFiELwbEYt', 'LB')
('AC12058-2022-11-01-366','A21-6','EZPkcqtGqPoW', 'SU')
('SL22517-2022-11-01-349','S15-13','VCFQXIW', 'MB')
('AC04652-2022-11-02-345','A20-3','BYcEgFeQnFKM', 'UB')
('AC22517-2022-11-02-387','A22-9','aXkKIEZC', 'UB')
('SL12058-2022-11-01-356','S15-20','qhqnaITXU', 'LB')
('SL12058-2022-11-01-357','S15-21','rknGUoQr', 'MB')
('SL12058-2022-11-01-358','S15-22','msedHvsb', 'UB')
('SL22517-2022-11-01-355','S15-19','KP', 'UB')
('SL22517-2022-11-01-356','S15-20','qjbZRRrlh', 'LB')
('AC04652-2022-11-01-380','A22-2','KOKZeFuiVDRicX', 'LB')
('AC12058-2022-11-01-374','A21-14','kvk', 'LB')
('SL22517-2022-11-01-361','S16-1','avasrJR', 'LB')
('SL04652-2022-11-02-441','S19-9','C', 'LB')
('SL22517-2022-11-01-471','S20-15','RyxwueLTI', 'SL')
('AC22517-2022-11-02-524','A30-2','vDjs', 'LB')
('SL04652-2022-11-01-480','S20-24','S', 'SU')
('SL04652-2022-11-01-481','S21-1','LH', 'LB')
('SL04652-2022-11-01-508','S22-4','JijdDSmv', 'LB')
('SL04652-2022-11-01-509','S22-5','vlQwfYM', 'MB')
('SL04652-2022-11-01-510','S22-6','LpdlMstYNypuWX', 'UB')
('SL22517-2022-11-02-515','S22-11','OlenbQmtgEo', 'UB')
('AC04652-2022-11-01-528','A30-6','xlClqWqzhVviY', 'SU')
('SL22517-2022-11-02-517','S22-13','fT', 'MB')
('AC12058-2022-11-01-562','A32-4','hO', 'UB')
('AC22517-2022-11-02-573','A32-15','Rny', 'UB')
('SL12058-2022-11-01-521','S22-17','dsipIIz', 'LB')
('SL04652-2022-11-01-515','S22-11','PoNHlOiOhxX', 'UB')
('AC12058-2022-11-01-565','A32-7','LBYXrnKFsLKF', 'LB')
('AC22517-2022-11-02-575','A32-17','kLYilepQFaXtW', 'SL')
('SL22517-2022-11-02-522','S22-18','QcHNBLszQU', 'MB')
('AC04652-2022-11-01-534','A30-12','QpOsh', 'SU')
('AC22517-2022-11-01-478','A27-10','OQhFYuWZX', 'UB')
('SL12058-2022-11-01-535','S23-7','znw', 'SL')
('AC04652-2022-11-01-538','A30-16','HgTHuKnNEVfCzsya', 'UB')
('SL04652-2022-11-02-495','S21-15','soLl', 'SL')
('SL04652-2022-11-02-504','S21-24','VxA', 'SU')
('SL04652-2022-11-01-539','S23-11','TOcwtfH', 'UB')
('AC12058-2022-11-01-583','A33-7','FP', 'LB')
('SL22517-2022-11-01-552','S23-24','l', 'SU')
('AC22517-2022-11-01-500','A28-14','ziCPjw', 'LB')
('SL12058-2022-11-01-549','S23-21','MClKqXUUr', 'MB')
('AC04652-2022-11-01-557','A31-17','k', 'SL')
('SL04652-2022-11-02-508','S22-4','YKdxYgMg', 'LB')
('SL04652-2022-11-01-546','S23-18','rfsdKJgGRc', 'MB')
('SL04652-2022-11-01-547','S23-19','mwTSxkSuSmvlBI', 'UB')
('AC22517-2022-11-02-614','A35-2','GqbNhcSxnFbAqfF', 'LB')
('SL04652-2022-11-01-557','S24-5','JzdroSfZFtsZhE', 'MB')
('AC12058-2022-11-01-597','A34-3','IbFsIzD', 'UB')
('AC22517-2022-11-01-530','A30-8','MLEvfPIoGBLQ', 'LB')
('AC04652-2022-11-02-595','A34-1','ieyjgzFUg', 'LB')
('AC04652-2022-11-02-596','A34-2','qEfoueiGwL', 'LB')
('AC04652-2022-11-01-582','A33-6','nDzsZmEDgJYk', 'SU')
('SL22517-2022-11-02-572','S24-20','gsEmcENEOjNx', 'LB')
('SL22517-2022-11-01-622','S26-22','bnKdagRu', 'UB')
('AC12058-2022-11-01-630','A35-18','WYNPrGdRhbXt', 'SU')
('AC22517-2022-11-02-666','A37-18','vys', 'SU')
('AC22517-2022-11-01-582','A33-6','kaXPkn', 'SU')
('SL22517-2022-11-02-619','S26-19','Xzxlz', 'UB')
('SL04652-2022-11-02-584','S25-8','l', 'SU')
('AC04652-2022-11-01-634','A36-4','hbgUxVAVFcI', 'UB')
('AC22517-2022-11-02-669','A38-3','YzWHWpelFz', 'UB')
('AC04652-2022-11-02-639','A36-9','PeYTUNxM', 'UB')
('SL22517-2022-11-02-623','S26-23','XrwrRkMSULhd', 'SL')
('AC12058-2022-11-01-653','A37-5','OibqJADHyXXJAtes', 'SL')
('SL04652-2022-11-01-639','S27-15','ijSeyvYaCFFn', 'SL')
('AC12058-2022-11-01-654','A37-6','JzU', 'SU')
('SL22517-2022-11-01-646','S27-22','clYdsVEAXUhnp', 'UB')
('AC22517-2022-11-02-786','A44-12','weouFz', 'SU')
('AC04652-2022-11-01-742','A42-4','z', 'UB')
('AC12058-2022-11-01-757','A43-1','fI', 'LB')
('SL12058-2022-11-01-764','S32-20','XeUIwBxUjMXKGEJ', 'LB')
('SL22517-2022-11-02-761','S32-17','LN', 'LB')
('AC04652-2022-11-01-749','A42-11','tjvOv', 'SL')
('AC12058-2022-11-01-763','A43-7','zuzP', 'LB')
('SL04652-2022-11-01-759','S32-15','pCvUIQvJUQsvzn', 'SL')
('AC12058-2022-11-01-768','A43-12','bFPtApPU', 'SU')
('AC04652-2022-11-02-751','A42-13','gWCQ', 'LB')
('AC04652-2022-11-02-752','A42-14','kHoTGVHHbZNd', 'LB')
('SL12058-2022-11-01-775','S33-7','KGIa', 'SL')
('SL12058-2022-11-01-776','S33-8','lfTKYOwsOi', 'SU')
('AC12058-2022-11-01-777','A44-3','yVCEsfvenIz', 'UB')
('AC04652-2022-11-01-758','A43-2','lhuNKpTntBOb', 'LB')
('SL12058-2022-11-01-782','S33-14','rIPUwjIrVuy', 'UB')
('SL04652-2022-11-02-732','S31-12','Dl', 'LB')
('AC04652-2022-11-02-763','A43-7','mxPzqHAzWD', 'LB')
('AC22517-2022-11-01-732','A41-12','tPeEsQPIHLuO', 'SU')
('SL12058-2022-11-01-784','S33-16','Hle', 'SU')
('AC22517-2022-11-02-815','A46-5','HAAarK', 'SL')
('SL12058-2022-11-01-785','S33-17','tRKstDmneIyCf', 'LB')
('SL04652-2022-11-01-778','S33-10','czxeAWeAkfJWNN', 'MB')
('AC22517-2022-11-02-817','A46-7','LRXzpwgFm', 'LB')
('SL04652-2022-11-01-780','S33-12','rbyai', 'LB')
('SL12058-2022-11-01-789','S33-21','HBVBGx', 'MB')
('SL12058-2022-11-01-815','S34-23','sIAvmxhiZioezIn', 'SL')
('AC22517-2022-11-02-840','A47-12','GOnZxaZqaivCyP', 'SU')
('SL12058-2022-11-01-816','S34-24','cNf', 'SU')
('SL04652-2022-11-02-760','S32-16','atW', 'SU')
('AC22517-2022-11-02-843','A47-15','NlSFdTqrWtenQk', 'UB')
('SL22517-2022-11-01-811','S34-19','mtJnnorXfSY', 'UB')
('SL22517-2022-11-01-812','S34-20','E', 'LB')
('AC04652-2022-11-01-805','A45-13','bGuatCshs', 'LB')
('SL04652-2022-11-02-773','S33-5','kaRfIeTnWq', 'MB')
('SL22517-2022-11-01-823','S35-7','GaZoRjEbdFIVZ', 'SL')
('SL22517-2022-11-01-824','S35-8','QQBsnkoHSm', 'SU')
('AC04652-2022-11-01-810','A45-18','leiq', 'SU')
('SL04652-2022-11-01-813','S34-21','Vb', 'MB')
('AC04652-2022-11-01-816','A46-6','mNmhIYftZoSOrw', 'SU')
('SL04652-2022-11-02-799','S34-7','Zzus', 'SL')
('SL12058-2022-11-01-859','S36-19','vivehtzumNQyj', 'UB')
('SL12058-2022-11-01-860','S36-20','i', 'LB')
('AC12058-2022-11-01-849','A48-3','gNl', 'UB')
('AC04652-2022-11-02-832','A47-4','tah', 'UB')
('SL04652-2022-11-02-801','S34-9','ujeXzzYirPkOos', 'LB')
('SL04652-2022-11-02-802','S34-10','QrbiKB', 'MB')
('AC12058-2022-11-01-851','A48-5','jgRCkhSpMnJG', 'SL')
('SL22517-2022-11-01-852','S36-12','Q', 'LB')
('SL04652-2022-11-01-842','S36-2','zpZAwzmwUZpUWYg', 'MB')
('AC22517-2022-11-01-814','A46-4','i', 'UB')
('AC04652-2022-11-01-865','A49-1','XQxxx', 'LB')
('SL22517-2022-11-02-859','S36-19','SetOiKFyee', 'UB')
('AC22517-2022-11-02-899','A50-17','RKTgrm', 'SL')
('AC04652-2022-11-02-841','A47-13','rntdHjgVxzJjkLa', 'LB')
('AC04652-2022-11-01-870','A49-6','bkC', 'SU')
('AC04652-2022-11-01-871','A49-7','PWAHFjoCnXCsQcrv', 'LB')
('AC12058-2022-11-01-906','A51-6','SCqjHhsrPu', 'SU')
('AC22517-2022-11-01-858','A48-12','qLpTuT', 'SU')
('SL22517-2022-11-02-942','S40-6','BTuDXR', 'UB')
('AC04652-2022-11-02-906','A51-6','rMZ', 'SU')
('AC22517-2022-11-01-896','A50-14','uRh', 'LB')
('SL22517-2022-11-02-946','S40-10','fnCaaoaYzj', 'MB')
('AC22517-2022-11-01-899','A50-17','B', 'SL')
('SL22517-2022-11-01-943','S40-7','d', 'SL')
('SL22517-2022-11-01-944','S40-8','pOzKwVlS', 'SU')
('AC22517-2022-11-02-980','A55-8','JWAOCjm', 'LB')
('AC04652-2022-11-02-911','A51-11','gVpmZBDXnHizr', 'SL')
('AC12058-2022-11-01-935','A52-17','taVsWC', 'SL')
('AC04652-2022-11-01-946','A53-10','Q', 'UB')
('AC04652-2022-11-02-912','A51-12','QavbJjr', 'SU')
('AC04652-2022-11-01-949','A53-13','rZRdWsDadcKj', 'LB')
('AC04652-2022-11-01-950','A53-14','cVuu', 'LB')
('SL22517-2022-11-01-950','S40-14','UVqhhjmmm', 'UB')
('AC12058-2022-11-01-942','A53-6','uSnzHKnSRTzyDmFx', 'SU')
('SL22517-2022-11-02-964','S41-4','vIappQJOAsOH', 'LB')
('SL04652-2022-11-01-942','S40-6','OEsbH', 'UB')
('SL22517-2022-11-02-967','S41-7','ZQWkBjsxXJXec', 'SL')
('AC22517-2022-11-01-918','A51-18','UM', 'SU')
('SL04652-2022-11-02-908','S38-20','sDG', 'LB')
('AC22517-2022-11-01-1003','A56-13','oheWiGdMKR', 'LB')
('AC12058-2022-11-01-1018','A57-10','GSo', 'UB')
('SL22517-2022-11-01-1037','S44-5','MCnaf', 'MB')
('SL04652-2022-11-02-974','S41-14','dAI', 'UB')
('AC22517-2022-11-02-1070','A60-8','ZVmW', 'LB')
('SL22517-2022-11-02-1076','S45-20','zMafFBzX', 'LB')
('AC04652-2022-11-01-1041','A58-15','hj', 'UB')
('AC04652-2022-11-01-1042','A58-16','cZMO', 'UB')
('SL22517-2022-11-02-1081','S46-1','jmBSSQfXkdoEi', 'LB')
('AC04652-2022-11-01-1050','A59-6','kfgBIoMf', 'SU')
('AC04652-2022-11-02-1028','A58-2','DkvQWzbvNxR', 'LB')
('AC04652-2022-11-02-1029','A58-3','jz', 'UB')
('AC04652-2022-11-02-1030','A58-4','KnMQ', 'UB')
('SL04652-2022-11-02-1003','S42-19','iwahYH', 'UB')
('SL04652-2022-11-01-1082','S46-2','pQ', 'MB')
('AC04652-2022-11-02-1060','A59-16','DsNPnzgyQlcVkO', 'UB')
('AC22517-2022-11-01-1068','A60-6','xnjn', 'SU')
('AC22517-2022-11-02-1117','A63-1','hutln', 'LB')
('AC22517-2022-11-02-1118','A63-2','JUoySJv', 'LB')
('SL04652-2022-11-02-1049','S44-17','IkHqNprDShgi', 'LB')
('SL04652-2022-11-02-1050','S44-18','k', 'MB')
('AC04652-2022-11-01-1102','A62-4','HvsXt', 'UB')
('SL22517-2022-11-01-1089','S46-9','QUqNcSkzDXEl', 'LB')
('SL22517-2022-11-01-1090','S46-10','wm', 'MB')
('SL12058-2022-11-01-1088','S46-8','TWQNHbrfLsM', 'SU')
('AC04652-2022-11-02-1067','A60-5','spKU', 'SL')
('SL12058-2022-11-01-1091','S46-11','ZaGAIm', 'UB')
('AC04652-2022-11-02-1070','A60-8','qEGzhxYtVIdmy', 'LB')
('SL22517-2022-11-02-1135','S48-7','VfEilucShpMxBHx', 'SL')
('AC22517-2022-11-01-1082','A61-2','rzReQsZxaqF', 'LB')
('SL22517-2022-11-01-1099','S46-19','CvEhVUwrMLIPo', 'UB')
('AC22517-2022-11-02-1141','A64-7','mFGeiYBhCV', 'LB')
('SL22517-2022-11-01-1122','S47-18','ZnW', 'MB')
('AC04652-2022-11-02-1100','A62-2','vkVBR', 'LB')
('AC22517-2022-11-02-1147','A64-13','natVzWlkSm', 'LB')
('AC04652-2022-11-02-1102','A62-4','cieaSyYrmdRk', 'UB')
('SL12058-2022-11-01-1109','S47-5','ZLdjhcFBocipIQFu', 'MB')
('AC04652-2022-11-01-1139','A64-5','MOT', 'SL')
('AC22517-2022-11-01-1166','A65-14','s', 'LB')
('AC22517-2022-11-01-1178','A66-8','YySYTXd', 'LB')
('SL04652-2022-11-02-1175','S49-23','rUTDDnR', 'SL')
('SL22517-2022-11-01-1213','S51-13','zNQpWlMfbuZLVKT', 'MB')
('SL04652-2022-11-01-1206','S51-6','KocdyyJMTsFwk', 'UB')
('AC04652-2022-11-01-1228','A69-4','kDtiLlEX', 'UB')
('AC22517-2022-11-01-1185','A66-15','d', 'UB')
('SL04652-2022-11-01-1212','S51-12','GyAp', 'LB')
('SL04652-2022-11-02-1188','S50-12','LYZ', 'LB')
('AC22517-2022-11-01-1188','A66-18','BuHDajTTKWkQJKfZ', 'SU')
('SL12058-2022-11-01-1199','S50-23','GpZcd', 'SL')
('AC22517-2022-11-02-1241','A69-17','dVvpoiR', 'SL')
('AC12058-2022-11-01-1206','A67-18','d', 'SU')
('SL12058-2022-11-01-1201','S51-1','yqPoKrle', 'LB')
('SL12058-2022-11-01-1206','S51-6','tiUq', 'UB')
('AC22517-2022-11-01-1198','A67-10','PzzbhbfXgX', 'UB')
('AC04652-2022-11-02-1208','A68-2','vWOUilsixDUEjKzW', 'LB')
('AC04652-2022-11-01-1249','A70-7','uNd', 'LB')
('SL22517-2022-11-02-1258','S53-10','xHXxNpuQTXTcJSq', 'MB')
('SL04652-2022-11-01-1228','S52-4','GCLAGUFRWrsKZAh', 'LB')
('SL22517-2022-11-02-1259','S53-11','QuxnHdisaWGG', 'UB')
('SL22517-2022-11-01-1243','S52-19','qumAvOnXHaEWLqn', 'UB')
('AC12058-2022-11-01-1227','A69-3','BOXNeyWPP', 'UB')
('SL12058-2022-11-01-1221','S51-21','PIOR', 'MB')
('AC12058-2022-11-01-1231','A69-7','AktgOjmvaCnL', 'LB')
('AC04652-2022-11-01-1260','A70-18','ymxjxsuBkLPyhvld', 'SU')
('SL04652-2022-11-01-1240','S52-16','GOvYctDOmPyDo', 'SU')
('SL04652-2022-11-01-1242','S52-18','hZZtGPoVh', 'MB')
('AC04652-2022-11-01-1263','A71-3','mrykgD', 'UB')
('SL04652-2022-11-01-1245','S52-21','KMb', 'MB')
('SL12058-2022-11-01-1229','S52-5','VmTEytCqygRteQS', 'MB')
('AC22517-2022-11-01-1221','A68-15','vAeZZSeNmQaAj', 'UB')
('SL12058-2022-11-01-1236','S52-12','oHkWqhHto', 'LB')
('AC04652-2022-11-01-1277','A71-17','BvaBphIcj', 'SL')
('AC22517-2022-11-02-1316','A74-2','XmOluf', 'LB')
('SL12058-2022-11-01-1268','S53-20','w', 'LB')
('SL12058-2022-11-01-1269','S53-21','pUvSmcC', 'MB')
('AC04652-2022-11-01-1303','A73-7','kHnIWZlCCgDK', 'LB')
('AC12058-2022-11-01-1289','A72-11','ScualrHESxFaFK', 'SL')
('AC22517-2022-11-01-1262','A71-2','fGlTO', 'LB')
('AC22517-2022-11-01-1263','A71-3','KUPdNzXUCTY', 'UB')
('AC12058-2022-11-01-1298','A73-2','mmD', 'LB')
('SL22517-2022-11-01-1296','S54-24','poNK', 'SU')
('AC12058-2022-11-01-1299','A73-3','veA', 'UB')
('AC04652-2022-11-02-1277','A71-17','QpPKxSDeFgJKjCWn', 'SL')
('SL04652-2022-11-02-1278','S54-6','F', 'UB')
('AC22517-2022-11-01-1268','A71-8','UETYUvuyxyurIErj', 'LB')
('SL04652-2022-11-01-1304','S55-8','IqVkrCAkpItusf', 'SU')
('AC04652-2022-11-01-1359','A76-9','dRTBZAepkwmXcSE', 'UB')
('AC22517-2022-11-01-1318','A74-4','SvmUB', 'UB')
('AC04652-2022-11-02-1327','A74-13','XUJIyaB', 'LB')
('AC04652-2022-11-02-1328','A74-14','dquzJbAHLt', 'LB')
('SL04652-2022-11-01-1351','S57-7','gqnQ', 'SL')
('AC04652-2022-11-01-1364','A76-14','yLXOQscSPt', 'LB')
('AC12058-2022-11-01-1348','A75-16','gybMYgZTRJblOZs', 'UB')
('SL22517-2022-11-02-1385','S58-17','UsxjtMeqj', 'LB')
('SL04652-2022-11-01-1352','S57-8','urtnXNkrhGQpS', 'SU')
('SL22517-2022-11-02-1388','S58-20','BmFffTNuFKybEHm', 'LB')
('SL04652-2022-11-02-1331','S56-11','MnsHnSQOekpLurnl', 'UB')
('SL12058-2022-11-01-1329','S56-9','kflTiFIbnXZRQW', 'LB')
('SL04652-2022-11-01-1355','S57-11','ijEJGOsMkbEYP', 'UB')
('AC22517-2022-11-01-1330','A74-16','WqbKnoYXMHhWJiZJ', 'UB')
('SL12058-2022-11-01-1331','S56-11','igb', 'UB')
('AC04652-2022-11-02-1339','A75-7','lrQrLttb', 'LB')
('AC04652-2022-11-01-1378','A77-10','AA', 'UB')
('SL12058-2022-11-01-1338','S56-18','e', 'MB')
('AC12058-2022-11-01-1364','A76-14','qaIZ', 'LB')
('AC12058-2022-11-01-1400','A78-14','xIfSkuRJcuZnQL', 'LB')
('SL12058-2022-11-01-1379','S58-11','lIRP', 'UB')
('AC22517-2022-11-01-1379','A77-11','jEPOhs', 'SL')
('AC04652-2022-11-02-1379','A77-11','hLbqGSG', 'SL')
('AC22517-2022-11-02-1425','A80-3','nv', 'UB')
('SL22517-2022-11-02-1439','S60-23','TgCrOmn', 'SL')
('AC22517-2022-11-02-1435','A80-13','Zy', 'LB')
('AC22517-2022-11-01-1392','A78-6','kLbIm', 'SU')
('AC04652-2022-11-01-1429','A80-7','EOInmHyRbw', 'LB')
('SL12058-2022-11-01-1389','S58-21','vrFODxlJXc', 'MB')
('SL22517-2022-11-01-1402','S59-10','NucCN', 'MB')
('SL04652-2022-11-02-1384','S58-16','KBydkq', 'SU')
('SL04652-2022-11-01-1410','S59-18','FeFAyYr', 'MB')
('SL04652-2022-11-02-1385','S58-17','ZfQ', 'LB')
('SL22517-2022-11-02-1451','S61-11','uZXmGPCIUkA', 'UB')
('AC04652-2022-11-01-1435','A80-13','hUPhhFiHDNDTdVh', 'LB')
('AC12058-2022-11-01-1424','A80-2','yUljnDviTYskcJ', 'LB')
('SL22517-2022-11-02-1453','S61-13','ZbtDGxWgx', 'MB')
('SL12058-2022-11-01-1392','S58-24','SLh', 'SU')
('AC22517-2022-11-01-1407','A79-3','nERLzsVvcDVrd', 'UB')
('SL04652-2022-11-01-1424','S60-8','yWqOGyCU', 'SU')
('AC12058-2022-11-01-1433','A80-11','iQckOBi', 'SL')
('AC04652-2022-11-01-1442','A81-2','joKIZKkoNoOGlWb', 'LB')
('SL04652-2022-11-01-1429','S60-13','YyLxQvYpr', 'MB')
('AC04652-2022-11-01-1444','A81-4','qPKcdQww', 'UB')
('AC22517-2022-11-02-1458','A81-18','goyGc', 'SU')
('SL22517-2022-11-01-1419','S60-3','cPJpZQkzktV', 'UB')
('SL12058-2022-11-01-1401','S59-9','fnPnWTlo', 'LB')
('SL04652-2022-11-01-1436','S60-20','exagEIQ', 'LB')
('SL12058-2022-11-01-1408','S59-16','Kizl', 'SU')
('AC04652-2022-11-01-1461','A82-3','sKdC', 'UB')
('SL04652-2022-11-01-1482','S62-18','HKMwoTrvr', 'MB')
('AC22517-2022-11-02-1508','A84-14','QyWDzMVCfruogZ', 'LB')
('SL12058-2022-11-01-1468','S62-4','vxeUhQYFEj', 'LB')
('AC04652-2022-11-02-1464','A82-6','WHIx', 'SU')
('SL22517-2022-11-01-1490','S63-2','f', 'MB')
('AC22517-2022-11-01-1471','A82-13','MpwPHhQPm', 'LB')
('SL04652-2022-11-02-1485','S62-21','sdnJPsor', 'MB')
('SL04652-2022-11-01-1516','S64-4','BxzbCTL', 'LB')
('AC04652-2022-11-01-1531','A86-1','HIYEemUjnViGCScZ', 'LB')
