('AC04652-2022-11-02-4','A1-4','hTodfFfgmRzbVt', 'UB')
('SL22517-2022-11-02-731','S31-11','HbJVAoa', 'UB')
('SL04652-2022-11-02-714','S30-18','PYQkyRoGWwspdct', 'MB')
('AC22517-2022-11-02-778','A44-4','dvYTgULMCn', 'UB')
('SL04652-2022-11-02-716','S30-20','ufczgxtvWGJ', 'LB')
('SL04652-2022-11-02-718','S30-22','qe', 'UB')
('AC22517-2022-11-01-703','A40-1','eAHrwAnpTxYHBR', 'LB')
('AC22517-2022-11-02-787','A44-13','RB', 'LB')
('AC04652-2022-11-01-743','A42-5','XbxLgmoqtNdthgGn', 'SL')
('SL04652-2022-11-02-722','S31-2','ufvjrpFBGoIKfPIk', 'MB')
('SL22517-2022-11-01-758','S32-14','wXWCIHTWbueWl', 'UB')
('AC04652-2022-11-02-742','A42-4','cnpyVKCtwTNtsb', 'UB')
('SL22517-2022-11-01-759','S32-15','RyFDPVbvVx', 'SL')
('AC04652-2022-11-02-747','A42-9','gnpfSWGoICxJ', 'UB')
('AC22517-2022-11-01-725','A41-5','ErvNWSafALJCnn', 'SL')
('SL04652-2022-11-02-731','S31-11','PnLin', 'UB')
('AC04652-2022-11-01-761','A43-5','taBlNnoUuoo', 'SL')
('AC22517-2022-11-01-729','A41-9','hFFszNba', 'UB')
('SL04652-2022-11-02-756','S32-12','vz', 'LB')
('SL22517-2022-11-02-810','S34-18','xRc', 'MB')
('SL04652-2022-11-02-759','S32-15','D', 'SL')
('AC22517-2022-11-02-880','A49-16','TbqbbZKplwIu', 'UB')
('AC22517-2022-11-01-800','A45-8','PaZcFfuoe', 'LB')
('SL22517-2022-11-02-846','S36-6','YLSVCikafK', 'UB')
('SL22517-2022-11-01-842','S36-2','U', 'MB')
('SL22517-2022-11-01-843','S36-3','cjIBmzKTAIASbJRu', 'UB')
('AC04652-2022-11-01-853','A48-7','jvUrwq', 'LB')
('AC04652-2022-11-02-835','A47-7','yGVQnoIY', 'LB')
('AC22517-2022-11-01-808','A45-16','iZfOLd', 'UB')
('AC12058-2022-11-01-855','A48-9','hIFIqBo', 'UB')
('SL22517-2022-11-02-853','S36-13','TCGfRlVybSok', 'MB')
('AC22517-2022-11-02-896','A50-14','KoXaMObYCMlpxW', 'LB')
('AC22517-2022-11-01-815','A46-5','G', 'SL')
('SL04652-2022-11-01-846','S36-6','tSgc', 'UB')
('SL22517-2022-11-01-859','S36-19','fzMLPshE', 'UB')
('AC22517-2022-11-01-818','A46-8','hYOPQIaQhHmYWXb', 'LB')
('AC04652-2022-11-02-842','A47-14','HEoyRPREtmkHR', 'LB')
('AC12058-2022-11-01-867','A49-3','kMHog', 'UB')
('SL12058-2022-11-01-878','S37-14','psKzRXIk', 'UB')
('AC04652-2022-11-01-877','A49-13','ZcOOoTVtsLDYPNK', 'LB')
('AC12058-2022-11-01-882','A49-18','NAlnNlpEhjgev', 'SU')
('AC22517-2022-11-01-836','A47-8','cD', 'LB')
('SL22517-2022-11-02-888','S37-24','FEuPtFvjTyHEVbd', 'SU')
('SL04652-2022-11-01-868','S37-4','Dgyp', 'LB')
('SL12058-2022-11-01-898','S38-10','WckSaAJzjaY', 'MB')
('SL22517-2022-11-01-876','S37-12','BlQhIuaPTqFt', 'LB')
('AC04652-2022-11-01-897','A50-15','NBpfebxeYsmDalwG', 'UB')
('AC04652-2022-11-02-869','A49-5','OpeW', 'SL')
('AC04652-2022-11-01-900','A50-18','afYyap', 'SU')
('SL22517-2022-11-02-898','S38-10','IbBba', 'MB')
('AC12058-2022-11-01-891','A50-9','dhKfJbtsGxdHvzWB', 'UB')
('AC22517-2022-11-01-846','A47-18','OpahfutJoVxsD', 'SU')
('SL22517-2022-11-02-900','S38-12','jUnNireU', 'LB')
('AC04652-2022-11-01-906','A51-6','CusKNdbDmpBS', 'SU')
('SL22517-2022-11-01-888','S37-24','NcbzIrYFystdKoq', 'SU')
('AC12058-2022-11-01-894','A50-12','Bo', 'SU')
('AC22517-2022-11-02-930','A52-12','ctQwdaRGTtUux', 'SU')
('SL22517-2022-11-02-906','S38-18','XqSwcCcjAZvXQgjm', 'MB')
('AC04652-2022-11-01-911','A51-11','TtgW', 'SL')
('SL04652-2022-11-02-849','S36-9','qBXOhCYBA', 'LB')
('AC04652-2022-11-02-879','A49-15','APZEOYIBZsh', 'UB')
('AC04652-2022-11-02-880','A49-16','LsXkHpacusUuOLL', 'UB')
('SL22517-2022-11-02-911','S38-23','tOkhuebxYJIiNmm', 'SL')
('AC22517-2022-11-02-937','A53-1','wDsUZdcraijdfmA', 'LB')
('SL12058-2022-11-01-921','S39-9','jqJqicxraZU', 'LB')
('SL04652-2022-11-02-858','S36-18','pcQcgwGMhDD', 'MB')
('AC04652-2022-11-02-904','A51-4','cwDOOK', 'UB')
('AC12058-2022-11-01-924','A52-6','z', 'SU')
('SL22517-2022-11-01-932','S39-20','sYuZTvj', 'LB')
('AC12058-2022-11-01-928','A52-10','QHtL', 'UB')
('AC22517-2022-11-02-974','A55-2','aWXQd', 'LB')
('SL22517-2022-11-02-944','S40-8','pEE', 'SU')
('SL12058-2022-11-01-957','S40-21','ZspKlpfyuuPHJCtE', 'MB')
('SL04652-2022-11-02-889','S38-1','eHBTMa', 'LB')
('SL22517-2022-11-01-939','S40-3','rURtRxy', 'UB')
('SL04652-2022-11-01-929','S39-17','FZDwqei', 'LB')
('AC22517-2022-11-01-901','A51-1','SbSHQy', 'LB')
('SL12058-2022-11-01-962','S41-2','IvJfVVjJB', 'MB')
('AC04652-2022-11-01-944','A53-8','JXippf', 'LB')
('AC12058-2022-11-01-934','A52-16','BaOfKVjpVBJJB', 'UB')
('AC22517-2022-11-01-908','A51-8','rRBESYHUtwpSE', 'LB')
('AC04652-2022-11-01-952','A53-16','TFylfvYfhQmDVHV', 'UB')
('AC04652-2022-11-02-915','A51-15','kgN', 'UB')
('AC22517-2022-11-02-991','A56-1','PGDjTwUEdQKVkqHX', 'LB')
('AC04652-2022-11-02-917','A51-17','AYOCygFeJmuig', 'SL')
('SL04652-2022-11-01-936','S39-24','ViNcRDOBDJNVpr', 'SU')
('AC04652-2022-11-01-955','A54-1','guvIrx', 'LB')
('SL04652-2022-11-01-941','S40-5','XAjCgOoBthd', 'MB')
('SL04652-2022-11-02-905','S38-17','tmNIN', 'LB')
('AC04652-2022-11-02-923','A52-5','TwAGIqoKTbrRgkN', 'SL')
('SL22517-2022-11-01-962','S41-2','w', 'MB')
('AC04652-2022-11-02-932','A52-14','J', 'LB')
('AC22517-2022-11-01-926','A52-8','jKt', 'LB')
('SL22517-2022-11-02-988','S42-4','OeV', 'LB')
('SL22517-2022-11-02-996','S42-12','CdpmAQdRZAroNYzB', 'LB')
('AC04652-2022-11-01-985','A55-13','Jidm', 'LB')
('AC04652-2022-11-01-986','A55-14','UIUCr', 'LB')
('SL04652-2022-11-02-924','S39-12','BBlywzZLNAyxGQt', 'LB')
('SL04652-2022-11-01-968','S41-8','YVxnoId', 'SU')
('AC12058-2022-11-01-966','A54-12','nwRLogaKjigOQUfU', 'SU')
('SL22517-2022-11-02-1035','S44-3','WkMRTQrDufHa', 'UB')
('SL04652-2022-11-01-991','S42-7','NzgiTkeyq', 'SL')
('AC22517-2022-11-02-1048','A59-4','HCTNJU', 'UB')
('AC04652-2022-11-01-1015','A57-7','LPsqTMp', 'LB')
('AC04652-2022-11-02-990','A55-18','FhOjBrEV', 'SU')
('SL22517-2022-11-01-1013','S43-5','Bhx', 'MB')
('AC22517-2022-11-02-1053','A59-9','iQtM', 'UB')
('AC22517-2022-11-01-985','A55-13','YjxQQlENHNoG', 'LB')
('AC04652-2022-11-02-996','A56-6','b', 'SU')
('AC04652-2022-11-02-997','A56-7','a', 'LB')
('AC22517-2022-11-01-989','A55-17','dAy', 'SL')
('SL04652-2022-11-01-1003','S42-19','CrQcRD', 'UB')
('AC04652-2022-11-01-1025','A57-17','FPjfgLtegcRK', 'SL')
('AC04652-2022-11-01-1026','A57-18','FdBLWuk', 'SU')
('SL22517-2022-11-01-1022','S43-14','UaZ', 'UB')
('AC04652-2022-11-02-999','A56-9','RUspLoIkcFzRxd', 'UB')
('AC22517-2022-11-01-993','A56-3','CoR', 'UB')
('SL22517-2022-11-01-1026','S43-18','aZQHwAys', 'MB')
('SL04652-2022-11-01-1013','S43-5','DZzLMhXyUkKIB', 'MB')
('AC04652-2022-11-01-1030','A58-4','z', 'UB')
('SL22517-2022-11-02-1062','S45-6','AjXG', 'UB')
('AC04652-2022-11-01-1031','A58-5','ceidGKMoVmm', 'SL')
('SL04652-2022-11-02-966','S41-6','nvkzbJZBCYUlCPX', 'UB')
('AC12058-2022-11-01-1013','A57-5','ISwhvxiRdMWs', 'SL')
('SL04652-2022-11-01-1020','S43-12','TQEgTv', 'LB')
('AC22517-2022-11-01-1041','A58-15','DTJpwn', 'UB')
('SL04652-2022-11-01-1097','S46-17','GtEgORNGYAfnJHTE', 'LB')
('AC22517-2022-11-02-1130','A63-14','n', 'LB')
('SL04652-2022-11-02-1065','S45-9','OG', 'LB')
('SL12058-2022-11-01-1097','S46-17','IegDkABLiJRatKS', 'LB')
('AC12058-2022-11-01-1097','A61-17','TxOWOWiJjapWJ', 'SL')
('SL22517-2022-11-02-1143','S48-15','AYEFhFWoip', 'SL')
('SL04652-2022-11-02-1076','S45-20','o', 'LB')
('AC22517-2022-11-01-1128','A63-12','vCNF', 'SU')
('AC12058-2022-11-01-1136','A64-2','fpwlA', 'LB')
('AC04652-2022-11-01-1171','A66-1','eyZbGHvYJ', 'LB')
('SL04652-2022-11-02-1120','S47-16','giIeG', 'SU')
('SL22517-2022-11-02-1196','S50-20','jHsQNZeg', 'LB')
('AC04652-2022-11-02-1140','A64-6','XKDDhB', 'SU')
('AC04652-2022-11-01-1178','A66-8','LeEuHNbDkewtAYcS', 'LB')
('SL04652-2022-11-02-1125','S47-21','Tsmc', 'MB')
('AC22517-2022-11-02-1192','A67-4','iXSgPRCZSnZZ', 'UB')
('SL12058-2022-11-01-1147','S48-19','GMsAPbBDRV', 'UB')
('SL12058-2022-11-01-1151','S48-23','swgmuaaX', 'SL')
('SL22517-2022-11-01-1171','S49-19','ShMklW', 'UB')
('AC12058-2022-11-01-1163','A65-11','UhbqhzejqXzBFV', 'SL')
('AC04652-2022-11-02-1157','A65-5','KukEVjqXhNSslOa', 'SL')
('AC04652-2022-11-02-1158','A65-6','gtkVZrRjSwtTl', 'SU')
('SL22517-2022-11-02-1216','S51-16','lHpAmcAsQgqqtR', 'SU')
('AC22517-2022-11-01-1160','A65-8','JllAY', 'LB')
('AC12058-2022-11-01-1169','A65-17','OVQpDhwawUAxvCng', 'SL')
('AC22517-2022-11-01-1163','A65-11','yndSGkKFcxrecr', 'SL')
('SL04652-2022-11-02-1161','S49-9','Fv', 'LB')
('SL22517-2022-11-01-1199','S50-23','Bqcg', 'SL')
('SL22517-2022-11-01-1200','S50-24','plTkEZrr', 'SU')
('AC04652-2022-11-02-1175','A66-5','S', 'SL')
('SL22517-2022-11-02-1228','S52-4','QMCPgEFqoTzlBBas', 'LB')
('SL04652-2022-11-02-1168','S49-16','fTbdYwKBGHfAak', 'SU')
('AC04652-2022-11-01-1217','A68-11','CfEICoc', 'SL')
('AC22517-2022-11-01-1175','A66-5','CA', 'SL')
('AC04652-2022-11-02-1179','A66-9','dYt', 'UB')
('SL04652-2022-11-02-1172','S49-20','mkgJqYLkM', 'LB')
('AC22517-2022-11-02-1227','A69-3','MXqYPlEtv', 'UB')
('SL04652-2022-11-02-1216','S51-16','xdwlPvokrbEXzXfW', 'SU')
('AC12058-2022-11-01-1242','A69-18','bU', 'SU')
('AC22517-2022-11-01-1223','A68-17','E', 'SL')
('AC04652-2022-11-01-1280','A72-2','IZgmcQKhHEgcz', 'LB')
('SL12058-2022-11-01-1241','S52-17','goYcMnYWkHXC', 'LB')
('SL22517-2022-11-02-1295','S54-23','tVSNbDWRgrraGGMB', 'SL')
('AC22517-2022-11-01-1234','A69-10','YVpGOFwEwINU', 'UB')
('SL12058-2022-11-01-1248','S52-24','HGCVetVm', 'SU')
('AC12058-2022-11-01-1269','A71-9','ZAzThBb', 'UB')
('AC22517-2022-11-01-1246','A70-4','kJltSVkUxGYVag', 'UB')
('SL04652-2022-11-02-1246','S52-22','HKimSjgn', 'UB')
('AC12058-2022-11-01-1277','A71-17','fkeyInpD', 'SL')
('AC22517-2022-11-02-1302','A73-6','dLUfVtoYVVFf', 'SU')
('SL04652-2022-11-02-1250','S53-2','pukisIq', 'MB')
('SL22517-2022-11-02-1315','S55-19','Bfc', 'UB')
('AC04652-2022-11-02-1256','A70-14','iN', 'LB')
('SL04652-2022-11-02-1251','S53-3','XMipRvEMCDJNy', 'UB')
('SL04652-2022-11-01-1287','S54-15','f', 'SL')
('SL04652-2022-11-02-1257','S53-9','teIIAtW', 'LB')
('SL22517-2022-11-01-1289','S54-17','swDqmambRGgo', 'LB')
('SL22517-2022-11-02-1326','S56-6','Go', 'UB')
('AC22517-2022-11-02-1312','A73-16','RxM', 'UB')
('AC22517-2022-11-01-1256','A70-14','fEyp', 'LB')
('AC22517-2022-11-02-1315','A74-1','CnOwT', 'LB')
('SL12058-2022-11-01-1266','S53-18','BEsWghKiis', 'MB')
('SL12058-2022-11-01-1267','S53-19','p', 'UB')
('AC12058-2022-11-01-1286','A72-8','BvXvZhbLj', 'LB')
('AC04652-2022-11-02-1267','A71-7','TWYtLgaG', 'LB')
('SL04652-2022-11-02-1275','S54-3','CyTGTnq', 'UB')
('AC22517-2022-11-01-1272','A71-12','qZhQQmogVdrQpQjE', 'SU')
