('SL22517-2022-11-01-1417','S60-1','KvraX', 'LB')
('SL04652-2022-11-01-1509','S63-21','JUvN', 'MB')
('SL12058-2022-11-01-1478','S62-14','izcojdcgBuF', 'UB')
('SL04652-2022-11-01-1511','S63-23','atBUqSTaVLBbMT', 'SL')
('AC12058-2022-11-01-1500','A84-6','guZOcCEhPHLiyyk', 'SU')
('AC04652-2022-11-01-1548','A86-18','pvGUYHXFgzQWb', 'SU')
('SL12058-2022-11-01-1482','S62-18','cNWmXIQnB', 'MB')
('AC04652-2022-11-02-1548','A86-18','cBXwL', 'SU')
('SL04652-2022-11-01-1521','S64-9','NZUYoCFtmzWT', 'LB')
('SL12058-2022-11-01-1484','S62-20','uto', 'LB')
('AC22517-2022-11-01-1517','A85-5','elPfyHvuq', 'SL')
('AC12058-2022-11-01-1508','A84-14','q', 'LB')
('AC04652-2022-11-01-1552','A87-4','dG', 'UB')
('SL04652-2022-11-01-1524','S64-12','OtJilyrGS', 'LB')
('AC04652-2022-11-01-1554','A87-6','MLfgjHpFdoz', 'SU')
('SL12058-2022-11-01-1489','S63-1','WreagScDSfoDXgO', 'LB')
('AC22517-2022-11-02-1531','A86-1','wqGqlFHTWcYNVkY', 'LB')
('SL04652-2022-11-01-1526','S64-14','AmCRgmzK', 'UB')
('AC22517-2022-11-02-1533','A86-3','cdxuWkOFApp', 'UB')
('AC22517-2022-11-01-1524','A85-12','efQtlghuGJzFT', 'SU')
('SL22517-2022-11-02-1529','S64-17','vjdhWFWOtEXdgiH', 'LB')
('SL22517-2022-11-02-1530','S64-18','iSAbh', 'MB')
('SL12058-2022-11-01-1500','S63-12','biZKwZQ', 'LB')
('AC12058-2022-11-01-1518','A85-6','eLd', 'SU')
('SL12058-2022-11-01-1503','S63-15','kXFrxKa', 'SL')
('AC22517-2022-11-02-1541','A86-11','adoB', 'SL')
('AC22517-2022-11-01-1533','A86-3','qvOITG', 'UB')
('SL04652-2022-11-02-1537','S65-1','EoSOMDwCIUtjVL', 'LB')
('SL04652-2022-11-01-1537','S65-1','XMbRQxkiKKkUF', 'LB')
('SL22517-2022-11-02-1539','S65-3','OE', 'UB')
('SL12058-2022-11-01-1511','S63-23','tqHZFkxX', 'SL')
('AC22517-2022-11-01-1541','A86-11','rlNLRSbR', 'SL')
('AC04652-2022-11-02-1565','A87-17','rbjzQPkVd', 'SL')
('SL12058-2022-11-01-1517','S64-5','jTQCowbVWEFMPM', 'MB')
('SL12058-2022-11-01-1518','S64-6','pXObQjFJCrZ', 'UB')
('AC12058-2022-11-01-1524','A85-12','MiMV', 'SU')
('SL04652-2022-11-02-1546','S65-10','jvXwlJzTBwAFe', 'MB')
('AC22517-2022-11-01-1553','A87-5','LNCsSV', 'SL')
('SL04652-2022-11-02-1549','S65-13','yFaNtLaRmPSNsoA', 'MB')
('AC04652-2022-11-01-1587','A89-3','EZOA', 'UB')
('SL12058-2022-11-01-1526','S64-14','MdNTUvSC', 'UB')
('SL22517-2022-11-02-1555','S65-19','IfQT', 'UB')
('AC12058-2022-11-01-1536','A86-6','xJ', 'SU')
('SL04652-2022-11-02-1556','S65-20','Sn', 'LB')
('AC22517-2022-11-01-1558','A87-10','dxszYvFmeNXzF', 'UB')
('AC22517-2022-11-01-1559','A87-11','DAqJWYDoOsNQh', 'SL')
('SL22517-2022-11-01-1573','S66-13','LtjKXBGYFjpH', 'MB')
('SL22517-2022-11-02-1558','S65-22','HXnlSmhkYuIIF', 'UB')
('SL04652-2022-11-02-1557','S65-21','IetxYAQcrSYUMkry', 'MB')
('SL22517-2022-11-02-1559','S65-23','bEecgvkzMtHpHM', 'SL')
('AC04652-2022-11-01-1595','A89-11','EFUSGlFeEEoE', 'SL')
('AC22517-2022-11-02-1564','A87-16','slj', 'UB')
('AC22517-2022-11-02-1565','A87-17','F', 'SL')
('AC04652-2022-11-02-1584','A88-18','jTtdR', 'SU')
('SL22517-2022-11-01-1577','S66-17','NxISYbCR', 'LB')
('SL22517-2022-11-01-1580','S66-20','byOaL', 'LB')
('AC04652-2022-11-02-1589','A89-5','GOlvHUklMx', 'SL')
('SL04652-2022-11-02-1566','S66-6','wsMVdzfOYd', 'UB')
('SL22517-2022-11-01-1584','S66-24','KfbKIXaOzDAhwM', 'SU')
('SL04652-2022-11-01-1560','S65-24','hrkUulxVVplC', 'SU')
('AC22517-2022-11-02-1574','A88-8','QxBpFvgJUbwLRQt', 'LB')
('AC04652-2022-11-02-1594','A89-10','GsnUIwFUFgxWbr', 'UB')
('SL22517-2022-11-01-1587','S67-3','NfyacYXvjVtDAxqQ', 'UB')
('SL22517-2022-11-02-1567','S66-7','gYahEVMafFgwE', 'SL')
('AC12058-2022-11-01-1553','A87-5','eGTGLhgSHEvJnWS', 'SL')
('AC22517-2022-11-01-1578','A88-12','cpWlKhBwFDleWlqT', 'SU')
('SL12058-2022-11-01-1545','S65-9','atIMSWgKoUWwJfm', 'LB')
('SL12058-2022-11-01-1546','S65-10','qVketn', 'MB')
('AC22517-2022-11-02-1590','A89-6','qDHlGqTAEJPXBD', 'SU')
('AC12058-2022-11-01-1568','A88-2','ZYxeiWyyaZgUODQ', 'LB')
('AC22517-2022-11-02-1593','A89-9','MyitVI', 'UB')
('SL04652-2022-11-01-1579','S66-19','kgg', 'UB')
('SL22517-2022-11-01-1601','S67-17','CGPl', 'LB')
('AC04652-2022-11-01-1667','A93-11','K', 'SL')
('AC04652-2022-11-01-1668','A93-12','huYOhGALiDckX', 'SU')
('AC22517-2022-11-02-1634','A91-14','Jj', 'LB')
('AC04652-2022-11-01-1669','A93-13','CHhW', 'LB')
('SL04652-2022-11-01-1628','S68-20','oHzDFnRYxDUcIl', 'LB')
('SL04652-2022-11-02-1631','S68-23','HFutV', 'SL')
('SL22517-2022-11-02-1623','S68-15','EDBCObmZgDQZok', 'SL')
('SL22517-2022-11-02-1626','S68-18','KCnMHkYCjkX', 'MB')
('AC04652-2022-11-02-1656','A92-18','rLAKfmEfxubef', 'SU')
('SL22517-2022-11-01-1650','S69-18','WQ', 'MB')
('AC04652-2022-11-02-1691','A94-17','no', 'SL')
('AC04652-2022-11-02-1692','A94-18','tldfJ', 'SU')
('SL12058-2022-11-01-1646','S69-14','KJmEmAj', 'UB')
('AC04652-2022-11-01-1729','A97-1','dCJQY', 'LB')
('SL12058-2022-11-01-1649','S69-17','KJsDRuKcV', 'LB')
('AC04652-2022-11-01-1734','A97-6','CQySYScDGccGBRW', 'SU')
('SL04652-2022-11-01-1671','S70-15','IrVWnfjDZ', 'SL')
('SL04652-2022-11-02-1681','S71-1','CljHjvYXV', 'LB')
('AC04652-2022-11-01-1739','A97-11','tiwH', 'SL')
('AC22517-2022-11-01-1708','A95-16','OLDVKnnHCSp', 'UB')
('AC22517-2022-11-02-1686','A94-12','EdKIYTQ', 'SU')
('SL04652-2022-11-02-1688','S71-8','CKabQkRZAICkoQQ', 'SU')
('SL04652-2022-11-02-1697','S71-17','Kg', 'LB')
('AC04652-2022-11-02-1714','A96-4','thPhXIG', 'UB')
('AC12058-2022-11-01-1676','A94-2','NVaIdo', 'LB')
('SL22517-2022-11-01-1709','S72-5','VUJjFSz', 'MB')
('AC04652-2022-11-01-1759','A98-13','BEwxzXi', 'LB')
('SL04652-2022-11-01-1693','S71-13','WLEkx', 'MB')
('AC04652-2022-11-02-1721','A96-11','Gvy', 'SL')
('SL04652-2022-11-02-1715','S72-11','cpbpickpwb', 'UB')
('AC22517-2022-11-01-1756','A98-10','NZpJpjCXavBoZrN', 'UB')
('AC12058-2022-11-01-1745','A97-17','PzbmTUfv', 'SL')
('SL22517-2022-11-02-1753','S74-1','Fppful', 'LB')
('SL22517-2022-11-01-1782','S75-6','KTgpagQ', 'UB')
('AC22517-2022-11-02-1766','A99-2','KHtmacacEOpqzrs', 'LB')
('AC22517-2022-11-01-1814','A101-14','fjgSpxdriVreLQI', 'LB')
('SL12058-2022-11-01-1736','S73-8','QXz', 'SU')
('AC04652-2022-11-01-1838','A103-2','XXfUZocqHdjLOpT', 'LB')
('SL22517-2022-11-01-1786','S75-10','hwY', 'MB')
('SL22517-2022-11-01-1787','S75-11','ATVWpztvgmXbC', 'UB')
('SL04652-2022-11-02-1782','S75-6','btarzSVwkqmJsYLa', 'UB')
('SL04652-2022-11-02-1783','S75-7','ifrst', 'SL')
('SL04652-2022-11-02-1785','S75-9','ggCFsHL', 'LB')
('SL22517-2022-11-02-1766','S74-14','yknogSAxsZC', 'UB')
('AC22517-2022-11-02-1776','A99-12','W', 'SU')
('AC22517-2022-11-01-1841','A103-5','TEUkTkewEeSRrOs', 'SL')
('SL22517-2022-11-02-1815','S76-15','WaspZNJu', 'SL')
('AC22517-2022-11-01-1864','A104-10','rHIsYPbwk', 'UB')
('AC22517-2022-11-02-1817','A101-17','rFQUEjCzHOHseLW', 'SL')
('SL22517-2022-11-01-1843','S77-19','CMLuQuX', 'UB')
('SL22517-2022-11-02-1818','S76-18','eW', 'MB')
('AC04652-2022-11-01-1918','A107-10','eZiFUbIrKIe', 'UB')
('SL04652-2022-11-01-1877','S79-5','DeipyRAkzqT', 'MB')
('AC04652-2022-11-01-1964','A110-2','Iq', 'LB')
('SL22517-2022-11-01-1923','S81-3','CoIfmx', 'UB')
('SL22517-2022-11-01-1924','S81-4','l', 'LB')
('SL22517-2022-11-02-1879','S79-7','bENhmOfDw', 'SL')
('SL04652-2022-11-02-1911','S80-15','iPIMI', 'SL')
('SL04652-2022-11-02-1912','S80-16','pYHRzNUYDZZ', 'SU')
('SL04652-2022-11-01-1979','S83-11','ZkRn', 'UB')
('AC04652-2022-11-01-2067','A115-15','WkgKfPBdJ', 'UB')
('AC04652-2022-11-01-2068','A115-16','gBuknmnXjMwkC', 'UB')
('SL04652-2022-11-01-1985','S83-17','j', 'LB')
('AC22517-2022-11-02-1982','A111-2','lrOdAjorCw', 'LB')
('SL04652-2022-11-02-2015','S84-23','PMTlzI', 'SL')
('SL22517-2022-11-01-2016','S84-24','PucSOGAOawAXZzyi', 'SU')
('AC12058-2022-11-01-1991','A111-11','k', 'SL')
('AC22517-2022-11-02-1988','A111-8','zTphcAaITnhEdKc', 'LB')
('SL12058-2022-11-01-1981','S83-13','FcIHHY', 'MB')
('SL22517-2022-11-01-2018','S85-2','VtMTLUqSxo', 'MB')
('AC22517-2022-11-01-2042','A114-8','KsvIeRSjppb', 'LB')
('SL04652-2022-11-01-1995','S84-3','uRuqLSEYgdBcaB', 'UB')
('AC22517-2022-11-02-1991','A111-11','EMdNAGBUbgM', 'SL')
('AC04652-2022-11-02-2001','A112-3','aKBWPdZjlsT', 'UB')
('AC12058-2022-11-01-2007','A112-9','EKobZ', 'UB')
('SL04652-2022-11-01-2005','S84-13','kdeJQvaFAQn', 'MB')
('AC22517-2022-11-02-2026','A113-10','kyyejICd', 'UB')
('AC12058-2022-11-01-2027','A113-11','xNbXHL', 'SL')
('SL04652-2022-11-02-2050','S86-10','BBMhEiDmETvNWxO', 'MB')
('SL04652-2022-11-02-2051','S86-11','gOOWHPkrmz', 'UB')
('AC12058-2022-11-01-2030','A113-14','eOdCSKpmxQms', 'LB')
('SL22517-2022-11-02-2024','S85-8','ZnjRwm', 'SU')
('AC04652-2022-11-01-2116','A118-10','sKNjQgORhf', 'UB')
('SL22517-2022-11-01-2054','S86-14','aQRW', 'UB')
('SL12058-2022-11-01-2023','S85-7','qgUgYzApnVMfRsF', 'SL')
('AC22517-2022-11-02-2038','A114-4','GGKNKgcpsbi', 'UB')
('AC22517-2022-11-01-2081','A116-11','ZehtAHGYytrlqjBY', 'SL')
('SL22517-2022-11-02-2037','S85-21','GfANuNe', 'MB')
('SL04652-2022-11-02-2060','S86-20','tgLSiQLFfG', 'LB')
('SL04652-2022-11-01-2039','S85-23','rLErrNBzlrB', 'SL')
('SL04652-2022-11-01-2040','S85-24','O', 'SU')
('AC12058-2022-11-01-2049','A114-15','cTJvvVq', 'UB')
('AC04652-2022-11-02-2053','A115-1','WBwe', 'LB')
('AC22517-2022-11-02-2045','A114-11','ZRwCPaxocyxS', 'SL')
('SL22517-2022-11-02-2056','S86-16','itMMnUqSqLuWU', 'SU')
('AC22517-2022-11-01-2091','A117-3','MRwYh', 'UB')
('AC22517-2022-11-01-2095','A117-7','ScZYGQpuaQ', 'LB')
('AC04652-2022-11-01-2148','A120-6','PXiEfnsZe', 'SU')
('SL22517-2022-11-02-2062','S86-22','sTcNzpafS', 'UB')
('SL22517-2022-11-02-2063','S86-23','DXIVRbIW', 'SL')
('AC12058-2022-11-01-2062','A115-10','cFUIWeOE', 'UB')
('AC04652-2022-11-02-2069','A115-17','bGSbrwBarkuCK', 'SL')
('SL22517-2022-11-02-2068','S87-4','qebHugpitWWhoeM', 'LB')
('AC04652-2022-11-01-2152','A120-10','oWErqVCLQiaA', 'UB')
('AC22517-2022-11-02-2077','A116-7','jlTbETVW', 'LB')
('AC04652-2022-11-02-2080','A116-10','lObAQeIafGf', 'UB')
('AC04652-2022-11-01-2165','A121-5','VLBhOcFZgA', 'SL')
('AC04652-2022-11-02-2081','A116-11','HN', 'SL')
('AC22517-2022-11-01-2122','A118-16','YAMFbsj', 'UB')
('AC04652-2022-11-01-2167','A121-7','Hfuzi', 'LB')
('AC12058-2022-11-01-2081','A116-11','pKNivJhGPqWNY', 'SL')
('AC12058-2022-11-01-2082','A116-12','hV', 'SU')
('SL04652-2022-11-02-2154','S90-18','NehggCouGQs', 'MB')
('AC04652-2022-11-02-2131','A119-7','UfcrC', 'LB')
('SL04652-2022-11-01-2119','S89-7','eyQmJacZqRxB', 'SL')
('AC04652-2022-11-01-2226','A124-12','oMTFrwM', 'SU')
('AC12058-2022-11-01-2135','A119-11','UFrV', 'SL')
('AC22517-2022-11-02-2131','A119-7','vliOCjmFxMa', 'LB')
('SL04652-2022-11-02-2160','S90-24','nTak', 'SU')
('AC04652-2022-11-02-2136','A119-12','TPRnLPYKJpEjT', 'SU')
('SL04652-2022-11-02-2162','S91-2','kiCbBpgmRFKQgD', 'MB')
('SL12058-2022-11-01-2106','S88-18','Ko', 'MB')
('AC04652-2022-11-02-2138','A119-14','oMbK', 'LB')
('SL04652-2022-11-02-2165','S91-5','VpuzMEUvyUnpg', 'MB')
('AC22517-2022-11-01-2191','A122-13','qcyEw', 'LB')
('AC12058-2022-11-01-2152','A120-10','LGTkopAOaEYAWr', 'UB')
('AC12058-2022-11-01-2154','A120-12','SREJrHzk', 'SU')
('AC04652-2022-11-01-2251','A126-1','IbKUHhQ', 'LB')
('AC04652-2022-11-02-2151','A120-9','iV', 'UB')
('SL22517-2022-11-01-2179','S91-19','bdjJTyydSYgubUM', 'UB')
('SL04652-2022-11-02-2176','S91-16','JOR', 'SU')
('AC22517-2022-11-02-2197','A123-1','AyQxEkD', 'LB')
('AC12058-2022-11-01-2185','A122-7','MRJglGL', 'LB')
('AC22517-2022-11-01-2241','A125-9','dlEYZWGqXJzuv', 'UB')
('AC22517-2022-11-01-2272','A127-4','ALqyReAyDN', 'UB')
('SL04652-2022-11-01-2201','S92-17','bLEAzKvzIn', 'LB')
('AC04652-2022-11-01-2325','A130-3','eWDGxDzd', 'UB')
('AC04652-2022-11-02-2235','A125-3','niFvZrrQYLAXc', 'UB')
('AC04652-2022-11-02-2236','A125-4','HFyQcVbkaIX', 'UB')
('AC04652-2022-11-02-2237','A125-5','LyXNoVB', 'SL')
('AC04652-2022-11-02-2238','A125-6','NC', 'SU')
('AC04652-2022-11-01-2330','A130-8','RJpgYLQDmzoWRJZJ', 'LB')
('AC04652-2022-11-01-2331','A130-9','ZFjI', 'UB')
('SL04652-2022-11-02-2247','S94-15','eKCbnuY', 'SL')
('AC22517-2022-11-02-2235','A125-3','I', 'UB')
('AC04652-2022-11-01-2333','A130-11','RbuNsQ', 'SL')
('SL22517-2022-11-02-2231','S93-23','dtOBLOQqZrVFTJHt', 'SL')
('SL04652-2022-11-02-2250','S94-18','YifxgPvkVLFTdWcx', 'MB')
('AC12058-2022-11-01-2219','A124-5','yCmg', 'SL')
('SL22517-2022-11-01-2255','S94-23','pkqVZsGUYLzQ', 'SL')
('AC12058-2022-11-01-2221','A124-7','vZrMf', 'LB')
('SL22517-2022-11-01-2256','S94-24','gcQzrmQVgzG', 'SU')
('SL22517-2022-11-02-2238','S94-6','paJMG', 'UB')
('AC04652-2022-11-02-2253','A126-3','n', 'UB')
('AC12058-2022-11-01-2223','A124-9','ILmDjNAQJEQvmEB', 'UB')
('AC22517-2022-11-01-2293','A128-7','ZzZxrbEtI', 'LB')
('AC04652-2022-11-02-2255','A126-5','ZSWBIrFkXmwdYP', 'SL')
('AC22517-2022-11-02-2250','A125-18','RNom', 'SU')
('AC22517-2022-11-01-2354','A131-14','knvCtR', 'LB')
('AC04652-2022-11-02-2313','A129-9','M', 'UB')
('SL04652-2022-11-01-2263','S95-7','GeeLPDGaw', 'SL')
('SL22517-2022-11-02-2293','S96-13','kYf', 'MB')
('SL12058-2022-11-01-2268','S95-12','BX', 'LB')
('AC12058-2022-11-01-2283','A127-15','FjtqScwSxmM', 'UB')
('SL22517-2022-11-02-2295','S96-15','vozUDfZ', 'SL')
('SL22517-2022-11-02-2296','S96-16','eLIfIRpPSXoWJFl', 'SU')
('SL22517-2022-11-01-2314','S97-10','FYYCtmL', 'MB')
('SL04652-2022-11-01-2271','S95-15','RIJAvYvfnQD', 'SL')
('AC04652-2022-11-01-2416','A135-4','sViCTkug', 'UB')
('AC22517-2022-11-01-2372','A132-14','iEFZXrkOUbeXYHeP', 'LB')
('SL04652-2022-11-01-2282','S96-2','epvB', 'MB')
('SL22517-2022-11-01-2327','S97-23','fQE', 'SL')
('AC04652-2022-11-01-2435','A136-5','dpxQzARFXi', 'SL')
('AC04652-2022-11-01-2436','A136-6','bpzC', 'SU')
('AC22517-2022-11-01-2382','A133-6','qyXzscsbAlTsVSiH', 'SU')
('AC04652-2022-11-02-2341','A131-1','UVzSlX', 'LB')
('AC04652-2022-11-01-2437','A136-7','YWIDgbFMlviLlCH', 'LB')
('SL22517-2022-11-02-2318','S97-14','vyKurloKOePZNIXe', 'UB')
('SL12058-2022-11-01-2281','S96-1','yWQngMbCevFE', 'LB')
('SL12058-2022-11-01-2283','S96-3','LKEWoCWTHFi', 'UB')
('SL22517-2022-11-02-2320','S97-16','NjAkmnPW', 'SU')
('AC04652-2022-11-02-2347','A131-7','MMyAmQB', 'LB')
('AC04652-2022-11-01-2441','A136-11','QoxtyOJPZjsJOI', 'SL')
('AC12058-2022-11-01-2317','A129-13','HKttEYMlAFxun', 'LB')
('AC04652-2022-11-01-2442','A136-12','rOISUwUcte', 'SU')
('SL04652-2022-11-02-2339','S98-11','x', 'UB')
('SL04652-2022-11-01-2301','S96-21','kS', 'MB')
('SL22517-2022-11-01-2341','S98-13','xsWpJkMVyKIniCTA', 'MB')
('SL04652-2022-11-01-2308','S97-4','FcTgMvdbfdzsBIP', 'LB')
('SL04652-2022-11-01-2309','S97-5','SIkrRoxbtmqPtrl', 'MB')
('AC04652-2022-11-02-2353','A131-13','tyPEqRQuqrFv', 'LB')
('SL22517-2022-11-02-2333','S98-5','xnliZN', 'MB')
('SL22517-2022-11-02-2334','S98-6','ExQMNr', 'UB')
('AC12058-2022-11-01-2329','A130-7','W', 'LB')
('SL22517-2022-11-01-2354','S99-2','HKEv', 'MB')
('SL04652-2022-11-01-2316','S97-12','gNtaivbJk', 'LB')
('SL22517-2022-11-01-2356','S99-4','DTmg', 'LB')
('SL04652-2022-11-01-2318','S97-14','xY', 'UB')
('AC04652-2022-11-01-2459','A137-11','BNZyCmQoQxJvz', 'SL')
('AC04652-2022-11-02-2359','A132-1','PNl', 'LB')
('AC04652-2022-11-01-2463','A137-15','dWLZctTZ', 'UB')
('AC04652-2022-11-02-2361','A132-3','G', 'UB')
('SL12058-2022-11-01-2305','S97-1','CDgUSzCqNV', 'LB')
('SL04652-2022-11-02-2368','S99-16','PumXfwcEvtvqm', 'SU')
('AC04652-2022-11-02-2369','A132-11','eiLmGpU', 'SL')
('SL22517-2022-11-02-2359','S99-7','yNdxLydTzYLkKQSz', 'SL')
('AC22517-2022-11-02-2372','A132-14','ECI', 'LB')
('AC12058-2022-11-01-2375','A132-17','Q', 'SL')
('SL22517-2022-11-01-2399','S100-23','YlRWDSjrasHNp', 'SL')
('SL04652-2022-11-01-2362','S99-10','SMUuVGmGPfZCvMCH', 'MB')
('AC04652-2022-11-01-2505','A140-3','RHbEGa', 'UB')
('SL04652-2022-11-02-2398','S100-22','IgGZoBrbxcb', 'UB')
('SL22517-2022-11-01-2452','S103-4','oZf', 'LB')
('AC22517-2022-11-01-2491','A139-7','nrPdVniBYLNo', 'LB')
('AC04652-2022-11-02-2485','A139-1','w', 'LB')
('SL22517-2022-11-01-2496','S104-24','lZO', 'SU')
('AC04652-2022-11-01-2587','A144-13','rTNzKF', 'LB')
('SL04652-2022-11-01-2447','S102-23','MyWLwraQyn', 'SL')
('SL04652-2022-11-02-2500','S105-4','FDNipVKlmfPVONV', 'LB')
('SL22517-2022-11-02-2458','S103-10','uvhzogObGFhlKd', 'MB')
('AC22517-2022-11-01-2537','A141-17','durSqXch', 'SL')
('AC12058-2022-11-01-2483','A138-17','sRix', 'SL')
('AC04652-2022-11-01-2600','A145-8','iDEGz', 'LB')
('SL04652-2022-11-02-2515','S105-19','pZYAKmdgmeObKzS', 'UB')
('AC22517-2022-11-01-2556','A142-18','NDPnsMBNoM', 'SU')
('SL12058-2022-11-01-2459','S103-11','NseMSOSykxYhAr', 'UB')
('AC12058-2022-11-01-2504','A140-2','xadsnnRyvg', 'LB')
('SL04652-2022-11-01-2473','S104-1','tIAOJkObOu', 'LB')
('AC12058-2022-11-01-2507','A140-5','O', 'SL')
('SL04652-2022-11-01-2477','S104-5','fWQmTOShopOck', 'MB')
('AC12058-2022-11-01-2509','A140-7','vejqbUMSwOPGOL', 'LB')
('SL22517-2022-11-01-2539','S106-19','bHIKwWMBk', 'UB')
('AC22517-2022-11-01-2564','A143-8','SVJohUSPq', 'LB')
('AC22517-2022-11-02-2507','A140-5','GrhFuYifjUeXuzlP', 'SL')
('SL22517-2022-11-02-2488','S104-16','tRzFVNvrraQJxXK', 'SU')
('AC04652-2022-11-02-2532','A141-12','qPxCLQzFE', 'SU')
('SL22517-2022-11-01-2543','S106-23','WZMVsKkPpkquCO', 'SL')
('SL22517-2022-11-02-2489','S104-17','bmLCBKSPvvBtqCiL', 'LB')
('AC04652-2022-11-01-2633','A147-5','C', 'SL')
('AC22517-2022-11-01-2568','A143-12','JqvkGHqLUg', 'SU')
('AC22517-2022-11-01-2569','A143-13','VzA', 'LB')
('SL04652-2022-11-02-2535','S106-15','sZVlNJq', 'SL')
('AC04652-2022-11-02-2538','A141-18','LtcEIniTMJKnXzi', 'SU')
('AC22517-2022-11-01-2611','A146-1','tEhy', 'LB')
('SL04652-2022-11-01-2543','S106-23','ylLOIrpBi', 'SL')
('AC22517-2022-11-01-2618','A146-8','xJSUkwk', 'LB')
('AC22517-2022-11-02-2563','A143-7','Ef', 'LB')
('AC22517-2022-11-01-2621','A146-11','PHuMauTkuxYL', 'SL')
('SL04652-2022-11-01-2549','S107-5','fgzyCNCPsDbzi', 'MB')
('AC22517-2022-11-02-2570','A143-14','OYxbzZsONYOeLP', 'LB')
('SL04652-2022-11-01-2556','S107-12','gRxNcBSXrzga', 'LB')
('AC12058-2022-11-01-2577','A144-3','vQtBsVDYHdXpDFao', 'UB')
('SL12058-2022-11-01-2564','S107-20','lKfQ', 'LB')
('AC22517-2022-11-02-2591','A144-17','KQxJQZlLPle', 'SL')
('AC22517-2022-11-02-2596','A145-4','HpnlRtdb', 'UB')
('SL22517-2022-11-01-2618','S110-2','qEigNxcA', 'MB')
('SL04652-2022-11-01-2575','S108-7','tuhddTNypTloTOca', 'SL')
('AC12058-2022-11-01-2587','A144-13','JNbNBPhpQ', 'LB')
('AC22517-2022-11-01-2652','A148-6','O', 'SU')
('AC12058-2022-11-01-2590','A144-16','ZXLNeXrtvXQfuQ', 'UB')
('SL22517-2022-11-02-2575','S108-7','XWYgByUf', 'SL')
('AC12058-2022-11-01-2597','A145-5','TzaBMQSYI', 'SL')
('AC04652-2022-11-01-2721','A152-3','luFKcmaz', 'UB')
('AC04652-2022-11-02-2610','A145-18','xKoYQ', 'SU')
('AC04652-2022-11-02-2611','A146-1','HRmPWaNxwY', 'LB')
('AC04652-2022-11-01-2723','A152-5','vJXYTG', 'SL')
('SL04652-2022-11-02-2653','S111-13','oVkGQHSRhd', 'MB')
('AC22517-2022-11-01-2701','A151-1','oZYzElfWt', 'LB')
('AC04652-2022-11-02-2654','A148-8','uVYbbH', 'LB')
('AC22517-2022-11-02-2643','A147-15','GfjU', 'UB')
('SL04652-2022-11-02-2664','S111-24','IYBzXbX', 'SU')
('SL04652-2022-11-01-2630','S110-14','SrVhWkwMLmNkGNZ', 'UB')
('AC04652-2022-11-01-2769','A154-15','AfgxDnaAkzTdgu', 'UB')
('SL04652-2022-11-01-2644','S111-4','XTDPSWvsZMWpASJ', 'LB')
('AC04652-2022-11-01-2772','A154-18','RNG', 'SU')
('SL22517-2022-11-01-2686','S112-22','wZs', 'UB')
('AC22517-2022-11-01-2723','A152-5','NbUz', 'SL')
('AC04652-2022-11-01-2775','A155-3','LE', 'UB')
('AC04652-2022-11-01-2776','A155-4','mrJWUJvP', 'UB')
('SL22517-2022-11-01-2698','S113-10','mIj', 'MB')
('AC22517-2022-11-01-2774','A155-2','RtC', 'LB')
