('AC04652-2022-11-01-3641','A203-5','WqyglCDmMWeUI', 'SL')
('AC12058-2022-11-01-3655','A204-1','lpWgdEvRmz', 'LB')
('AC04652-2022-11-01-3813','A212-15','fC', 'UB')
('SL04652-2022-11-01-3634','S152-10','DLsrDYsS', 'MB')
('SL22517-2022-11-02-3598','S150-22','ZyKJTmrzSgMAiGNk', 'UB')
('AC04652-2022-11-02-3675','A205-3','iDXPrmAlm', 'UB')
('AC22517-2022-11-01-3748','A209-4','ALKpxhVEXn', 'UB')
('AC04652-2022-11-01-3826','A213-10','zqI', 'UB')
('AC04652-2022-11-02-3686','A205-14','asOQEyafDfgOEr', 'LB')
('AC22517-2022-11-01-3765','A210-3','oliibTuV', 'UB')
('AC04652-2022-11-02-3696','A206-6','pnILDtNZPPlvyKj', 'SU')
('AC04652-2022-11-01-3839','A214-5','qPgPIDDRd', 'SL')
('AC12058-2022-11-01-3690','A205-18','vTFSnwerHjz', 'SU')
('AC12058-2022-11-01-3722','A207-14','yyV', 'LB')
('SL04652-2022-11-02-3780','S158-12','eOgepkLzUd', 'LB')
('SL22517-2022-11-02-3650','S153-2','xztEQ', 'MB')
('SL04652-2022-11-02-3781','S158-13','NtNQ', 'MB')
('SL04652-2022-11-01-3698','S155-2','znpvhdH', 'MB')
('AC22517-2022-11-02-3758','A209-14','qLQef', 'LB')
('SL12058-2022-11-01-3636','S152-12','xWamDhPXEdwJt', 'LB')
('SL22517-2022-11-02-3657','S153-9','iexotmUhhvLxhA', 'LB')
('SL22517-2022-11-01-3731','S156-11','oiqfVGzWPKaDxfas', 'UB')
('AC04652-2022-11-02-3731','A208-5','xbA', 'SL')
('SL04652-2022-11-02-3787','S158-19','EHZmCovWkINQyGdC', 'UB')
('AC22517-2022-11-01-3818','A213-2','TtetCVeaIGbUCnRE', 'LB')
('AC04652-2022-11-01-3967','A221-7','YkINGCtlKEMRf', 'LB')
('AC04652-2022-11-02-3830','A213-14','WvCoFxfnqwqivpz', 'LB')
('AC22517-2022-11-01-3897','A217-9','LdiLz', 'UB')
('AC04652-2022-11-01-3973','A221-13','K', 'LB')
('SL04652-2022-11-01-3781','S158-13','rveKvpqRvFCvImq', 'MB')
('AC12058-2022-11-01-3825','A213-9','rNvqyMK', 'UB')
('SL04652-2022-11-02-3847','S161-7','qjoYbT', 'SL')
('AC04652-2022-11-02-3841','A214-7','AnfXfQ', 'LB')
('SL04652-2022-11-01-3789','S158-21','ICRgXUsnQDzQQs', 'MB')
('AC22517-2022-11-01-3906','A217-18','Le', 'SU')
('AC04652-2022-11-02-3844','A214-10','V', 'UB')
('SL04652-2022-11-02-3882','S162-18','BxBjghluwQnZPrkO', 'MB')
('AC22517-2022-11-01-3943','A220-1','aioRgfSXpD', 'LB')
('SL22517-2022-11-02-3778','S158-10','dujoUrDZKpDQaEuY', 'MB')
('AC04652-2022-11-01-4018','A224-4','ugGsDmNA', 'UB')
('AC04652-2022-11-02-4062','A226-12','WJmNwVJB', 'SU')
('SL04652-2022-11-01-3996','S167-12','uBmqsOYDCqIvEJSA', 'LB')
('SL22517-2022-11-02-3963','S166-3','tbY', 'UB')
('SL04652-2022-11-01-3997','S167-13','hnhxnK', 'MB')
('SL22517-2022-11-01-4039','S169-7','wI', 'SL')
('SL22517-2022-11-02-3965','S166-5','V', 'MB')
('SL22517-2022-11-02-3966','S166-6','ANMMuENO', 'UB')
('AC12058-2022-11-01-4066','A226-16','fUcGz', 'UB')
('SL12058-2022-11-01-3946','S165-10','oNz', 'MB')
('SL22517-2022-11-01-4062','S170-6','fwNnfFwNXvelDLoc', 'UB')
('SL22517-2022-11-01-4063','S170-7','DkGrBTz', 'SL')
('SL12058-2022-11-01-3984','S166-24','GGp', 'SU')
('AC22517-2022-11-01-4268','A238-2','DJsvM', 'LB')
('SL12058-2022-11-01-4086','S171-6','BEHDiiK', 'UB')
('SL04652-2022-11-02-4220','S176-20','ksovOBisOXlCb', 'LB')
('SL22517-2022-11-01-4179','S175-3','dYIKdqsnQklUYoHx', 'UB')
('SL22517-2022-11-01-4181','S175-5','DpjszxtthSklN', 'MB')
('SL22517-2022-11-02-4129','S173-1','biabkcnQCWGEHq', 'LB')
('AC22517-2022-11-01-4277','A238-11','lKTYMmZQfxv', 'SL')
('AC22517-2022-11-01-4280','A238-14','l', 'LB')
('AC12058-2022-11-01-4226','A235-14','BvGP', 'LB')
('AC12058-2022-11-01-4228','A235-16','tJZN', 'UB')
('AC12058-2022-11-01-4229','A235-17','M', 'SL')
('AC22517-2022-11-02-4212','A234-18','fzVLnEOmDlSScimE', 'SU')
('SL04652-2022-11-02-4230','S177-6','anMt', 'UB')
('AC12058-2022-11-01-4232','A236-2','WFztiX', 'LB')
('AC04652-2022-11-02-4240','A236-10','OjwyyzeJiwNb', 'UB')
('SL04652-2022-11-02-4234','S177-10','wa', 'MB')
('AC04652-2022-11-02-4241','A236-11','rBiOuDBMfTX', 'SL')
('SL22517-2022-11-02-4147','S173-19','hEPUUtSzMLJT', 'UB')
('SL12058-2022-11-01-4103','S171-23','vLWHQSiiYCJb', 'SL')
('AC04652-2022-11-02-4244','A236-14','OcXbZsCMwO', 'LB')
('SL04652-2022-11-02-4238','S177-14','TrvP', 'UB')
('AC12058-2022-11-01-4242','A236-12','cx', 'SU')
('SL04652-2022-11-01-4175','S174-23','mWgUko', 'SL')
('AC12058-2022-11-01-4244','A236-14','yTpCmPSjrAtLj', 'LB')
('AC04652-2022-11-01-4417','A246-7','HfXa', 'LB')
('AC04652-2022-11-01-4418','A246-8','ZYMrmqun', 'LB')
('AC22517-2022-11-02-4238','A236-8','WiZd', 'LB')
('AC22517-2022-11-02-4239','A236-9','RhIq', 'UB')
('SL22517-2022-11-01-4210','S176-10','joDiyvDDeaf', 'MB')
('AC04652-2022-11-02-4318','A240-16','ckHzM', 'UB')
('AC04652-2022-11-02-4319','A240-17','kQQzKWWcAmNwlYCG', 'SL')
('SL04652-2022-11-01-4327','S181-7','jhuSYljgJdehoo', 'SL')
('AC22517-2022-11-01-4454','A248-8','CJTaqQk', 'LB')
('SL04652-2022-11-02-4374','S183-6','vY', 'UB')
('AC22517-2022-11-01-4457','A248-11','tULGdwIjkbH', 'SL')
('AC04652-2022-11-01-4563','A254-9','srJTGNKCFx', 'UB')
('SL04652-2022-11-02-4377','S183-9','snzMObHbjRxuvX', 'LB')
('AC22517-2022-11-02-4402','A245-10','nIOIFOBBLDx', 'UB')
('SL22517-2022-11-02-4300','S180-4','edk', 'LB')
('SL04652-2022-11-01-4331','S181-11','jGrOeUHZ', 'UB')
('AC04652-2022-11-02-4421','A246-11','crRnbebiuPcPT', 'SL')
('AC22517-2022-11-02-4495','A250-13','RWhGLTrsB', 'LB')
('AC22517-2022-11-02-4516','A251-16','keVVgOXVWaPqW', 'UB')
('SL22517-2022-11-02-4403','S184-11','raWkah', 'UB')
('SL22517-2022-11-01-4443','S186-3','Wf', 'UB')
('SL22517-2022-11-02-4404','S184-12','fXqjsf', 'LB')
('SL04652-2022-11-02-4487','S187-23','vPUZhWyENUddwQA', 'SL')
('AC04652-2022-11-01-4684','A261-4','iwrRQ', 'UB')
('AC04652-2022-11-02-4531','A252-13','HOcCuSLKCgIk', 'LB')
('SL22517-2022-11-01-4445','S186-5','PrXaTMcdju', 'MB')
('SL04652-2022-11-01-4440','S185-24','vTSPeNqcc', 'SU')
('AC22517-2022-11-02-4523','A252-5','gAmBANrLOcnRqQ', 'SL')
('SL22517-2022-11-02-4407','S184-15','LBBJyIQuLIh', 'SL')
('AC04652-2022-11-02-4536','A252-18','NhWme', 'SU')
('SL22517-2022-11-02-4410','S184-18','qCIJjdCdHVwwFcZn', 'MB')
('AC04652-2022-11-01-4690','A261-10','OfSzMkxhSLWX', 'UB')
('AC04652-2022-11-01-4691','A261-11','jsSapFuhvUYHkFnL', 'SL')
('AC04652-2022-11-02-4539','A253-3','E', 'UB')
('AC22517-2022-11-02-4548','A253-12','VhNHJ', 'SU')
('AC22517-2022-11-02-4549','A253-13','CaRxKQiN', 'LB')
('AC22517-2022-11-01-4581','A255-9','F', 'UB')
('SL04652-2022-11-01-4461','S186-21','akOCnNxWH', 'MB')
('SL12058-2022-11-01-4412','S184-20','UmbMJpLoHdjkC', 'LB')
('SL22517-2022-11-01-4464','S186-24','ybIagK', 'SU')
('AC12058-2022-11-01-4538','A253-2','gDFxNRM', 'LB')
('SL12058-2022-11-01-4414','S184-22','PYTvco', 'UB')
('AC22517-2022-11-01-4583','A255-11','QJLuamOHigQB', 'SL')
('AC12058-2022-11-01-4541','A253-5','QZpi', 'SL')
('SL04652-2022-11-01-4464','S186-24','HXdcInjQAZCCCaiP', 'SU')
('AC22517-2022-11-02-4556','A254-2','LQRPGusbnvCqEGf', 'LB')
('SL12058-2022-11-01-4417','S185-1','FCWHIPFznkuEU', 'LB')
('SL04652-2022-11-02-4511','S188-23','LNQlhgoy', 'SL')
('SL04652-2022-11-02-4512','S188-24','dFJrXztqCh', 'SU')
('AC22517-2022-11-02-4559','A254-5','MSapDLBzyYS', 'SL')
('SL04652-2022-11-02-4513','S189-1','eHGazEZou', 'LB')
('SL22517-2022-11-01-4468','S187-4','Iog', 'LB')
('AC04652-2022-11-01-4714','A262-16','xrbTyeHPyFq', 'UB')
('AC04652-2022-11-01-4715','A262-17','wQdbIa', 'SL')
('AC22517-2022-11-01-4591','A256-1','gYITMaLq', 'LB')
('SL22517-2022-11-02-4436','S185-20','leTGKUDHBwDv', 'LB')
('AC22517-2022-11-02-4565','A254-11','AedrAZeFMstC', 'SL')
('AC22517-2022-11-01-4612','A257-4','YYEQRVdQJTg', 'UB')
('AC04652-2022-11-02-4576','A255-4','jpGTdnHMXiaPLWr', 'UB')
('SL04652-2022-11-01-4495','S188-7','DBvZlQUfh', 'SL')
('AC22517-2022-11-02-4596','A256-6','SCqaVkGK', 'SU')
('SL22517-2022-11-01-4498','S188-10','pfEzcdQzbajKcfn', 'MB')
('SL22517-2022-11-01-4499','S188-11','m', 'UB')
('SL12058-2022-11-01-4448','S186-8','CEClZKmpu', 'SU')
('SL12058-2022-11-01-4449','S186-9','ZKVenTzZokBOjK', 'LB')
('AC22517-2022-11-02-4601','A256-11','DFOhkRD', 'SL')
('SL22517-2022-11-02-4470','S187-6','JmfIdjb', 'UB')
('SL04652-2022-11-02-4559','S190-23','GTmluUpGFon', 'SL')
('AC22517-2022-11-01-4624','A257-16','D', 'UB')
('SL04652-2022-11-02-4564','S191-4','VNdezsBHWQCdNQqn', 'LB')
('SL12058-2022-11-01-4467','S187-3','sW', 'UB')
('SL12058-2022-11-01-4470','S187-6','NkBdPPl', 'UB')
('AC22517-2022-11-02-4619','A257-11','PwHnFtyxhNsMafXC', 'SL')
('SL04652-2022-11-01-4520','S189-8','Y', 'SU')
('SL04652-2022-11-01-4522','S189-10','QrOxuerRNrq', 'MB')
('AC22517-2022-11-02-4664','A260-2','RvBiCQwlJmlyaRJO', 'LB')
('SL22517-2022-11-02-4519','S189-7','s', 'SL')
('AC22517-2022-11-02-4686','A261-6','hAQkNjzec', 'SU')
('AC04652-2022-11-01-4843','A270-1','DhkFQwWJNvDrdHJa', 'LB')
('AC22517-2022-11-02-4707','A262-9','bUkjWNNJg', 'UB')
('SL22517-2022-11-01-4612','S193-4','kvUhaai', 'LB')
('AC12058-2022-11-01-4689','A261-9','FnIPN', 'UB')
('SL22517-2022-11-02-4635','S194-3','Not', 'UB')
('AC22517-2022-11-02-4795','A267-7','jgFtTcwhwmAjGPIx', 'LB')
('AC22517-2022-11-02-4796','A267-8','HsbJeASCVkhLZmG', 'LB')
('SL22517-2022-11-02-4703','S196-23','qmuCTeki', 'SL')
('AC04652-2022-11-01-5022','A279-18','YxmV', 'SU')
('SL12058-2022-11-01-4713','S197-9','XMuPNlmTNFJzn', 'LB')
('AC12058-2022-11-01-4833','A269-9','sqBuVVQQYb', 'UB')
('AC12058-2022-11-01-4834','A269-10','epmPr', 'UB')
('AC04652-2022-11-02-4829','A269-5','sscVJGGpNH', 'SL')
('AC04652-2022-11-01-5040','A280-18','WpIqkvG', 'SU')
('SL04652-2022-11-02-4786','S200-10','GJPKkpGgJk', 'MB')
('AC12058-2022-11-01-4842','A269-18','neXhRndsilDdb', 'SU')
('SL12058-2022-11-01-4723','S197-19','iXPYnemRhQwdXKG', 'UB')
('SL22517-2022-11-02-4731','S198-3','BDEbhJSQnFjuOn', 'UB')
('AC12058-2022-11-01-4849','A270-7','YgjLQBGCTqriael', 'LB')
('SL22517-2022-11-02-4742','S198-14','hnFKUhPu', 'UB')
('SL22517-2022-11-01-4757','S199-5','rQBEPowcxVLOhSuP', 'MB')
('AC22517-2022-11-01-4866','A271-6','sXdapOKHcM', 'SU')
('SL22517-2022-11-02-4745','S198-17','UqULMPcLYq', 'LB')
('AC04652-2022-11-02-4854','A270-12','Szho', 'SU')
('SL04652-2022-11-02-4809','S201-9','ipxjMCvH', 'LB')
('AC04652-2022-11-01-5068','A282-10','jbEn', 'UB')
('SL04652-2022-11-02-4810','S201-10','YlIow', 'MB')
('AC04652-2022-11-02-4857','A270-15','YjjJpBDQJxyiKd', 'UB')
('SL04652-2022-11-02-4812','S201-12','bhlme', 'LB')
('SL04652-2022-11-02-4813','S201-13','SgRpxL', 'MB')
('AC04652-2022-11-01-5169','A288-3','qPT', 'UB')
('SL04652-2022-11-02-4898','S205-2','xxMs', 'MB')
('SL12058-2022-11-01-4835','S202-11','pUZQQJfrMaSAdgxC', 'UB')
('SL22517-2022-11-01-4865','S203-17','x', 'LB')
('AC04652-2022-11-01-5177','A288-11','fnRnsQs', 'SL')
('SL04652-2022-11-02-4905','S205-9','fAKKNrdgA', 'LB')
('AC22517-2022-11-01-4964','A276-14','cZsCWvQaFzV', 'LB')
('SL04652-2022-11-01-4893','S204-21','hJXsvKAddvLyERV', 'MB')
('SL22517-2022-11-02-4921','S206-1','uFUuYCRTUZjGrIgl', 'LB')
('AC04652-2022-11-01-5238','A291-18','VHDlVhqaikg', 'SU')
('AC22517-2022-11-02-5063','A282-5','TlZuWWLMbXJ', 'SL')
('AC04652-2022-11-01-5241','A292-3','Rzl', 'UB')
('AC22517-2022-11-01-5050','A281-10','m', 'UB')
('AC22517-2022-11-01-5052','A281-12','hfZcmbEVhz', 'SU')
('AC04652-2022-11-01-5265','A293-9','di', 'UB')
('AC04652-2022-11-02-5073','A282-15','xPGTqUDci', 'UB')
('AC04652-2022-11-02-5074','A282-16','OV', 'UB')
('AC12058-2022-11-01-5036','A280-14','SXLuCxfb', 'LB')
('AC22517-2022-11-02-5113','A285-1','RAomd', 'LB')
('SL22517-2022-11-02-4973','S208-5','LH', 'MB')
('SL22517-2022-11-02-4977','S208-9','ttD', 'LB')
('AC04652-2022-11-02-5104','A284-10','WkMO', 'UB')
('SL04652-2022-11-01-4983','S208-15','VsspQB', 'SL')
('AC22517-2022-11-01-5073','A282-15','GqPZNWYyBbnYDx', 'UB')
('SL04652-2022-11-01-4987','S208-19','WOFyUmrkUQpNlj', 'UB')
('SL04652-2022-11-01-4988','S208-20','Wex', 'LB')
('AC04652-2022-11-02-5109','A284-15','LAu', 'UB')
('AC04652-2022-11-02-5110','A284-16','qD', 'UB')
('AC22517-2022-11-01-5079','A283-3','ffXT', 'UB')
('SL04652-2022-11-02-5022','S210-6','ryUOBy', 'UB')
('AC22517-2022-11-02-5126','A285-14','AtUvK', 'LB')
('AC22517-2022-11-01-5083','A283-7','ZjMraLTIpI', 'LB')
('SL22517-2022-11-02-4988','S208-20','zBPMzatYnqsWtxz', 'LB')
('AC04652-2022-11-02-5128','A285-16','iVWocZhsOJQpkGSI', 'UB')
('AC12058-2022-11-01-5073','A282-15','gsqdWxuiUksa', 'UB')
('SL22517-2022-11-02-5001','S209-9','apuKtjUn', 'LB')
('SL22517-2022-11-02-5002','S209-10','fNaxiOhKu', 'MB')
('SL04652-2022-11-02-5044','S211-4','RCgjWWqfaf', 'LB')
('SL04652-2022-11-01-5016','S209-24','FuaXMqSNtMAkq', 'SU')
('AC22517-2022-11-02-5157','A287-9','FQxudIMNdh', 'UB')
('SL22517-2022-11-01-4994','S209-2','IVlFXGTeEDlVr', 'MB')
('SL04652-2022-11-02-5058','S211-18','sfDdzudqEmreR', 'MB')
('SL22517-2022-11-02-5012','S209-20','TfHfQbxIEhaBEPg', 'LB')
('AC04652-2022-11-01-5320','A296-10','rNoGTlmh', 'UB')
('AC04652-2022-11-01-5321','A296-11','MqJMSBsbzkkFYqGr', 'SL')
('SL04652-2022-11-02-5063','S211-23','wdV', 'SL')
('SL04652-2022-11-02-5064','S211-24','fnKnoB', 'SU')
('AC22517-2022-11-02-5168','A288-2','aDTVnwfbzcDGt', 'LB')
('AC04652-2022-11-01-5326','A296-16','FcmfePfmKT', 'UB')
('SL22517-2022-11-02-5044','S211-4','rGPocIKGrPqWkKSY', 'LB')
('AC12058-2022-11-01-5115','A285-3','KwnVVWcPDHZOV', 'UB')
('AC22517-2022-11-02-5189','A289-5','nJO', 'SL')
('AC12058-2022-11-01-5116','A285-4','nmzmWy', 'UB')
('SL22517-2022-11-02-5087','S212-23','egoyxgxzbNCr', 'SL')
('SL04652-2022-11-01-5081','S212-17','WOwRXtQLEu', 'LB')
('AC22517-2022-11-02-5220','A290-18','JSRGcsoYnrE', 'SU')
('SL22517-2022-11-01-5061','S211-21','CfXaKJBmYQhZOdrp', 'MB')
('SL04652-2022-11-01-5084','S212-20','LEnYLDn', 'LB')
('SL04652-2022-11-01-5085','S212-21','E', 'MB')
('SL12058-2022-11-01-5023','S210-7','KeoKkwQUKKSdvsI', 'SL')
('SL12058-2022-11-01-5024','S210-8','zgeLfZlEw', 'SU')
('AC04652-2022-11-02-5248','A292-10','ajTuwhtgMDWs', 'UB')
('SL22517-2022-11-01-5107','S213-19','WxFMFbAfbDDqgEaN', 'UB')
('SL12058-2022-11-01-5078','S212-14','rwsGWwsq', 'UB')
('AC04652-2022-11-02-5259','A293-3','NPkhXJJax', 'UB')
('SL12058-2022-11-01-5082','S212-18','OiIiE', 'MB')
('AC04652-2022-11-02-5262','A293-6','wy', 'SU')
('SL04652-2022-11-01-5145','S215-9','jiBcJItpHDH', 'LB')
('AC04652-2022-11-02-5264','A293-8','JZrilmoBPlMQAG', 'LB')
('SL04652-2022-11-02-5197','S217-13','mdxNSkjTozrvNBEE', 'MB')
('AC12058-2022-11-01-5243','A292-5','dBDlTLqkUm', 'SL')
('AC04652-2022-11-01-5478','A305-6','IzaftEJSsTKN', 'SU')
('SL22517-2022-11-02-5171','S216-11','buuXAh', 'UB')
('SL04652-2022-11-02-5224','S218-16','yfJ', 'SU')
('SL04652-2022-11-01-5171','S216-11','sv', 'UB')
('SL04652-2022-11-02-5242','S219-10','iqo', 'MB')
('SL04652-2022-11-02-5243','S219-11','UccG', 'UB')
('AC04652-2022-11-01-5507','A306-17','tiCJqlZu', 'SL')
('AC04652-2022-11-02-5329','A297-1','iqGkOwfD', 'LB')
('SL04652-2022-11-02-5286','S221-6','ElKaKcziFXX', 'UB')
('AC22517-2022-11-02-5364','A298-18','UYUArtJEgCyTIvKf', 'SU')
('AC12058-2022-11-01-5315','A296-5','GmopUSEBWoA', 'SL')
('SL22517-2022-11-01-5211','S218-3','cTiMR', 'UB')
('AC22517-2022-11-02-5369','A299-5','vgjTgINv', 'SL')
('AC04652-2022-11-02-5366','A299-2','GOaEIfIQRrAT', 'LB')
('AC04652-2022-11-01-5552','A309-8','ErUUhxKjbxMq', 'LB')
('SL12058-2022-11-01-5210','S218-2','bNSVdFbERShn', 'MB')
('AC04652-2022-11-01-5562','A309-18','CwUAmyoCWOcdHv', 'SU')
('AC04652-2022-11-02-5381','A299-17','uiKLaT', 'SL')
('AC04652-2022-11-02-5382','A299-18','vktjvkZU', 'SU')
('SL04652-2022-11-01-5245','S219-13','KxjQRrs', 'MB')
('SL04652-2022-11-01-5246','S219-14','cVXQbMXgv', 'UB')
('SL04652-2022-11-01-5247','S219-15','QJRSsPqdRG', 'SL')
('SL12058-2022-11-01-5222','S218-14','BdRVVxQJ', 'UB')
('SL04652-2022-11-01-5258','S220-2','YTJLrmhKp', 'MB')
('AC04652-2022-11-02-5447','A303-11','tkBIGAL', 'SL')
('AC04652-2022-11-01-5630','A313-14','V', 'LB')
('SL04652-2022-11-01-5309','S222-5','CjsnonxpKbWZis', 'MB')
('SL04652-2022-11-02-5361','S224-9','glVznzwpKEql', 'LB')
('AC04652-2022-11-01-5635','A314-1','WCpsnO', 'LB')
('AC12058-2022-11-01-5428','A302-10','sqjjMkfYb', 'UB')
('AC22517-2022-11-02-5501','A306-11','OlwC', 'SL')
('SL22517-2022-11-01-5339','S223-11','avtAZHOGqCmFEWsg', 'UB')
('SL12058-2022-11-01-5320','S222-16','VunvLOz', 'SU')
('AC12058-2022-11-01-5452','A303-16','sdnph', 'UB')
('SL04652-2022-11-02-5422','S226-22','tyG', 'UB')
('AC12058-2022-11-01-5465','A304-11','dSRDQwpRhGPZIF', 'SL')
('AC22517-2022-11-02-5521','A307-13','qOV', 'LB')
('AC12058-2022-11-01-5470','A304-16','UDLnDfnvMyRzv', 'UB')
('AC04652-2022-11-02-5520','A307-12','LcgpDTgiiuieOW', 'SU')
('AC22517-2022-11-02-5525','A307-17','YeQoM', 'SL')
('SL22517-2022-11-02-5402','S226-2','dxKMVUsHDOZps', 'MB')
('SL04652-2022-11-02-5438','S227-14','gkPFlm', 'UB')
('SL04652-2022-11-02-5453','S228-5','uNv', 'MB')
('SL04652-2022-11-01-5395','S225-19','MDEG', 'UB')
('SL04652-2022-11-02-5455','S228-7','IcTui', 'SL')
('AC04652-2022-11-01-5786','A322-8','ngPrh', 'LB')
('SL12058-2022-11-01-5422','S226-22','UiojOowbCnWp', 'UB')
('AC22517-2022-11-01-5575','A310-13','CVVNUBN', 'LB')
('AC04652-2022-11-02-5626','A313-10','OG', 'UB')
('SL04652-2022-11-02-5542','S231-22','T', 'UB')
('AC12058-2022-11-01-5599','A312-1','XbtWkugvjAY', 'LB')
('SL04652-2022-11-02-5566','S232-22','V', 'UB')
('AC04652-2022-11-01-5843','A325-11','SiycnxZ', 'SL')
('SL22517-2022-11-01-5501','S230-5','kgrdweX', 'MB')
('SL04652-2022-11-01-5525','S231-5','zNZegR', 'MB')
('AC04652-2022-11-01-5844','A325-12','lep', 'SU')
('AC22517-2022-11-02-5653','A315-1','WiQph', 'LB')
('SL04652-2022-11-01-5530','S231-10','AHZumnIgMluaFOYq', 'MB')
('AC12058-2022-11-01-5638','A314-4','v', 'UB')
('AC04652-2022-11-02-5694','A317-6','HDXMwzp', 'SU')
('AC04652-2022-11-02-5695','A317-7','wmsyMa', 'LB')
('SL04652-2022-11-01-5541','S231-21','QFfxoxkidOpO', 'MB')
('SL04652-2022-11-02-5592','S233-24','HrGPIVekzubO', 'SU')
('SL12058-2022-11-01-5505','S230-9','bHlufIJVzhbDa', 'LB')
('SL12058-2022-11-01-5506','S230-10','BfjzobKxlIX', 'MB')
('SL12058-2022-11-01-5507','S230-11','uFeTXnQxWyuCHiV', 'UB')
('AC04652-2022-11-01-5861','A326-11','MPJpwcQeGyXA', 'SL')
('SL22517-2022-11-02-5569','S233-1','LmyCqWipFetqWRq', 'LB')
('SL22517-2022-11-02-5570','S233-2','iRfOhXKXbNDAfznb', 'MB')
('AC04652-2022-11-02-5701','A317-13','SUwuizDvosmfTtc', 'LB')
('SL04652-2022-11-02-5598','S234-6','UxxE', 'UB')
('AC22517-2022-11-01-5671','A316-1','hOKnyNr', 'LB')
('AC12058-2022-11-01-5657','A315-5','uowxDKYDnqpNnC', 'SL')
('SL04652-2022-11-02-5606','S234-14','RVPfbik', 'UB')
('AC22517-2022-11-02-5676','A316-6','pOLCMarJJziLn', 'SU')
