('SL22517-2022-11-01-166','S7-22','XzkTLhQO', 'UB')
('AC22517-2022-11-01-346','A20-4','UGyvJmjblGrp', 'UB')
('SL04652-2022-11-02-365','S16-5','wKVQFr', 'MB')
('AC04652-2022-11-01-382','A22-4','EHj', 'UB')
('SL12058-2022-11-01-363','S16-3','ATeuGfhxO', 'UB')
('SL22517-2022-11-02-342','S15-6','BzTLHGlHLQRWgj', 'UB')
('AC04652-2022-11-02-378','A21-18','RkmEtEnKBK', 'SU')
('AC04652-2022-11-02-379','A22-1','DJGQwOvXxSFrkX', 'LB')
('SL04652-2022-11-02-369','S16-9','AbdpNXuCvtpxss', 'LB')
('AC04652-2022-11-02-381','A22-3','cuTnOUxcKmef', 'UB')
('AC22517-2022-11-01-355','A20-13','pZsLzpYPat', 'LB')
('AC04652-2022-11-01-389','A22-11','twdXJFbjFPVNezOP', 'SL')
('AC22517-2022-11-02-366','A21-6','MCjfoHMTi', 'SU')
('SL22517-2022-11-01-379','S16-19','a', 'UB')
('SL22517-2022-11-02-345','S15-9','TWZPN', 'LB')
('AC22517-2022-11-01-358','A20-16','LjQ', 'UB')
('AC04652-2022-11-01-391','A22-13','pQPZDnoRmFTD', 'LB')
('SL22517-2022-11-01-382','S16-22','SfzXrClZ', 'UB')
('AC22517-2022-11-02-369','A21-9','qkwoFwKpc', 'UB')
('AC22517-2022-11-01-361','A21-1','uthJjHoitiftHtL', 'LB')
('AC04652-2022-11-02-388','A22-10','Jieg', 'UB')
('SL04652-2022-11-02-377','S16-17','cHOitrZd', 'LB')
('AC22517-2022-11-01-362','A21-2','lkWnhKMaZrVpypLE', 'LB')
('AC04652-2022-11-01-397','A23-1','lefBhFUmhaBe', 'LB')
('SL12058-2022-11-01-372','S16-12','nsTejpcZvuOYp', 'LB')
('SL22517-2022-11-02-354','S15-18','zQGlophYEa', 'MB')
('AC12058-2022-11-01-371','A21-11','vurODysoUbVxLIj', 'SL')
('SL04652-2022-11-02-380','S16-20','zR', 'LB')
('AC22517-2022-11-01-365','A21-5','JgxjKISzDs', 'SL')
('AC12058-2022-11-01-373','A21-13','JPRpTodM', 'LB')
('AC04652-2022-11-02-398','A23-2','wnEA', 'LB')
('AC22517-2022-11-02-379','A22-1','WrpvTWbJ', 'LB')
('SL04652-2022-11-02-383','S16-23','KRToMYQnr', 'SL')
('AC22517-2022-11-01-377','A21-17','HNNOkn', 'SL')
('AC04652-2022-11-02-404','A23-8','Bpuq', 'LB')
('AC22517-2022-11-01-380','A22-2','tKvDzEh', 'LB')
('AC22517-2022-11-01-381','A22-3','f', 'UB')
('SL12058-2022-11-01-380','S16-20','Goqh', 'LB')
('AC04652-2022-11-01-407','A23-11','mmJTrCDeCUKRfvqp', 'SL')
('SL04652-2022-11-01-403','S17-19','RZMfFigBL', 'UB')
('AC22517-2022-11-02-386','A22-8','GTyYvHEudpVL', 'LB')
('SL12058-2022-11-01-383','S16-23','oYvHKiigUOY', 'SL')
('SL04652-2022-11-02-507','S22-3','LGK', 'UB')
('AC04652-2022-11-02-532','A30-10','AOeP', 'UB')
('AC22517-2022-11-02-516','A29-12','gzt', 'SU')
('SL12058-2022-11-01-489','S21-9','ORsWSHpkeGPSQrvk', 'LB')
('AC04652-2022-11-01-530','A30-8','JwWEyzkgTUSUUwtY', 'LB')
('SL04652-2022-11-02-509','S22-5','ySXZaxsP', 'MB')
('SL04652-2022-11-01-524','S22-20','jFiBeNfMuN', 'LB')
('SL04652-2022-11-02-511','S22-7','onmgaQzxBxD', 'SL')
('AC22517-2022-11-02-523','A30-1','uhDCYdxxC', 'LB')
('SL04652-2022-11-02-513','S22-9','XvKBEz', 'LB')
('AC04652-2022-11-02-538','A30-16','DMyDqFzXulqjkW', 'UB')
('AC22517-2022-11-02-524','A30-2','wSqU', 'LB')
('AC12058-2022-11-01-496','A28-10','rkhLXu', 'UB')
('AC12058-2022-11-01-497','A28-11','MVXnhbqjUv', 'SL')
('SL12058-2022-11-01-498','S21-18','VJFbruFl', 'MB')
('SL22517-2022-11-01-521','S22-17','CPbPpy', 'LB')
('AC04652-2022-11-01-537','A30-15','dRmRwhlZ', 'UB')
('SL04652-2022-11-02-516','S22-12','orvQvPxUheNsu', 'LB')
('SL04652-2022-11-01-531','S23-3','sYbPZg', 'UB')
('SL12058-2022-11-01-501','S21-21','QHFNklUf', 'MB')
('SL04652-2022-11-02-518','S22-14','AajwSdcKwKhu', 'UB')
('AC04652-2022-11-01-539','A30-17','yZeuCYjpHEnrCnVD', 'SL')
('SL04652-2022-11-01-532','S23-4','FdXfdGiiRx', 'LB')
('AC04652-2022-11-02-540','A30-18','XGUHpS', 'SU')
('SL04652-2022-11-02-521','S22-17','ixW', 'LB')
('SL04652-2022-11-02-616','S26-16','GXCU', 'SU')
('SL22517-2022-11-01-611','S26-11','gEcT', 'UB')
('SL22517-2022-11-02-607','S26-7','LK', 'SL')
('AC22517-2022-11-01-606','A34-12','lcyKJwZXYEG', 'SU')
('AC04652-2022-11-01-645','A36-15','tVDeMtGSLPWu', 'UB')
('SL12058-2022-11-01-609','S26-9','EDSya', 'LB')
('AC12058-2022-11-01-599','A34-5','nTfrZ', 'SL')
('AC04652-2022-11-02-658','A37-10','qol', 'UB')
('AC12058-2022-11-01-601','A34-7','UaYKneXPs', 'LB')
('SL12058-2022-11-01-611','S26-11','b', 'UB')
('AC04652-2022-11-02-661','A37-13','lCtFFTLfSm', 'LB')
('AC22517-2022-11-01-617','A35-5','UNkhzAysbjwj', 'SL')
('AC22517-2022-11-01-618','A35-6','YYIpDrSoR', 'SU')
('SL22517-2022-11-02-611','S26-11','OrCAureNkj', 'UB')
('SL22517-2022-11-02-612','S26-12','bNllabhscZ', 'LB')
('SL04652-2022-11-02-619','S26-19','gdiKHgfYKirLtQXS', 'UB')
('SL22517-2022-11-02-613','S26-13','bhBri', 'MB')
('AC04652-2022-11-01-658','A37-10','xamHpbjByuU', 'UB')
('AC04652-2022-11-01-661','A37-13','tDyOuBfaPfI', 'LB')
('AC04652-2022-11-02-667','A38-1','npBSYfbYmC', 'LB')
('AC04652-2022-11-02-675','A38-9','WTF', 'UB')
('AC22517-2022-11-02-653','A37-5','puHKOrEVrmowOStj', 'SL')
('AC22517-2022-11-02-654','A37-6','HSCuHxuEU', 'SU')
('AC04652-2022-11-01-671','A38-5','ISH', 'SL')
('AC04652-2022-11-02-679','A38-13','ntSqByPmYABK', 'LB')
('SL04652-2022-11-02-636','S27-12','cahKilRnmVhW', 'LB')
('AC12058-2022-11-01-620','A35-8','LMgUAtrpySJREuJ', 'LB')
('AC12058-2022-11-01-622','A35-10','NXAaaoQSDm', 'UB')
('AC12058-2022-11-01-623','A35-11','R', 'SL')
('SL22517-2022-11-01-635','S27-11','IwJ', 'UB')
('SL04652-2022-11-01-653','S28-5','oMeTPTfRVLaqr', 'MB')
('AC22517-2022-11-02-659','A37-11','PUvs', 'SL')
('AC04652-2022-11-02-685','A39-1','xadMXMbBGPPb', 'LB')
('SL22517-2022-11-02-630','S27-6','tASNQAYkf', 'UB')
('AC04652-2022-11-02-689','A39-5','UjffBGgvz', 'SL')
('SL12058-2022-11-01-640','S27-16','hpuDHJV', 'SU')
('SL22517-2022-11-01-641','S27-17','lFihvHO', 'LB')
('AC22517-2022-11-01-637','A36-7','ELHtleyXAQFxOlXB', 'LB')
('SL22517-2022-11-01-644','S27-20','LcEDSF', 'LB')
('SL04652-2022-11-01-661','S28-13','b', 'MB')
('SL22517-2022-11-01-647','S27-23','fsYuzPqcOJuud', 'SL')
('AC04652-2022-11-02-694','A39-10','renqYIPrwChnx', 'UB')
('AC12058-2022-11-01-632','A36-2','tb', 'LB')
('AC22517-2022-11-02-662','A37-14','OGvPn', 'LB')
('SL12058-2022-11-01-643','S27-19','CDUZtEM', 'UB')
('AC04652-2022-11-02-698','A39-14','KeIbU', 'LB')
('SL12058-2022-11-01-645','S27-21','nNj', 'MB')
('AC22517-2022-11-02-670','A38-4','LUXxRGKQtIEsvtf', 'UB')
('AC12058-2022-11-01-636','A36-6','NzyJs', 'SU')
('AC22517-2022-11-02-674','A38-8','riWi', 'LB')
('AC04652-2022-11-01-685','A39-1','AXPzToIccEr', 'LB')
('AC22517-2022-11-01-647','A36-17','XIYhSghxczcjYFTa', 'SL')
('AC04652-2022-11-02-708','A40-6','OTirImaM', 'SU')
('SL22517-2022-11-02-641','S27-17','CXdbKjisxbFwdGJY', 'LB')
('AC04652-2022-11-02-709','A40-7','tTeSezGVC', 'LB')
('AC04652-2022-11-02-710','A40-8','s', 'LB')
('AC22517-2022-11-02-680','A38-14','mjgzPZVmbbPvyf', 'LB')
('AC22517-2022-11-01-652','A37-4','UQKPUZPG', 'UB')
('SL12058-2022-11-01-654','S28-6','NQPGsuL', 'UB')
('SL04652-2022-11-02-659','S28-11','VRoXXroLTZhkddFj', 'UB')
('AC04652-2022-11-02-716','A40-14','Wm', 'LB')
('AC04652-2022-11-02-717','A40-15','XSuERLJTB', 'UB')
('AC12058-2022-11-01-644','A36-14','zhKhYbf', 'LB')
('SL04652-2022-11-02-660','S28-12','GoKmVAPR', 'LB')
('SL04652-2022-11-02-661','S28-13','VU', 'MB')
('SL04652-2022-11-02-662','S28-14','HNbEczDTRRuC', 'UB')
('SL22517-2022-11-01-666','S28-18','yqoNyGqDHQBWXwJ', 'MB')
('AC04652-2022-11-01-695','A39-11','BdxUxqZzDVQvqsGX', 'SL')
('AC12058-2022-11-01-646','A36-16','ZNOlbiSovmKtOVvE', 'UB')
('SL22517-2022-11-02-650','S28-2','J', 'MB')
('SL22517-2022-11-02-654','S28-6','Htc', 'UB')
('SL22517-2022-11-01-669','S28-21','Gr', 'MB')
('AC12058-2022-11-01-649','A37-1','SpjDrBeJ', 'LB')
('AC22517-2022-11-01-661','A37-13','mlNi', 'LB')
('SL04652-2022-11-02-669','S28-21','ldMjzXlsHoeebIaZ', 'MB')
('SL04652-2022-11-02-670','S28-22','zPx', 'UB')
('AC22517-2022-11-01-662','A37-14','ZqfT', 'LB')
('SL22517-2022-11-02-659','S28-11','n', 'UB')
('SL12058-2022-11-01-666','S28-18','jEsjkr', 'MB')
('AC12058-2022-11-01-653','A37-5','XLcwqUjnrhtxguDr', 'SL')
('AC12058-2022-11-01-654','A37-6','DiZYnNeFhFtiIb', 'SU')
('AC22517-2022-11-01-666','A37-18','WlPMfTfKdOmaNfL', 'SU')
('AC12058-2022-11-01-656','A37-8','lcnxrdSCRcsNdh', 'LB')
('SL22517-2022-11-02-661','S28-13','Mb', 'MB')
('AC04652-2022-11-01-703','A40-1','EERni', 'LB')
('AC04652-2022-11-01-704','A40-2','guQtBosHy', 'LB')
('AC22517-2022-11-01-670','A38-4','CwimFOq', 'UB')
('SL12058-2022-11-01-673','S29-1','jTPRsKdWop', 'LB')
('AC04652-2022-11-02-732','A41-12','kYvyC', 'SU')
('AC04652-2022-11-01-706','A40-4','DFopVy', 'UB')
('SL22517-2022-11-01-685','S29-13','IhMkHAufiKwwGe', 'MB')
('SL04652-2022-11-01-694','S29-22','Gnpm', 'UB')
('SL04652-2022-11-01-699','S30-3','FkkNH', 'UB')
('AC22517-2022-11-02-698','A39-14','jd', 'LB')
('SL04652-2022-11-01-700','S30-4','KLmEjYQc', 'LB')
('SL04652-2022-11-01-701','S30-5','rsHfNfE', 'MB')
('SL04652-2022-11-02-694','S29-22','bAHNTwnCXBntSLqu', 'UB')
('SL04652-2022-11-02-695','S29-23','FqF', 'SL')
('AC22517-2022-11-02-700','A39-16','HgaPjxBIDWoVZi', 'UB')
('AC12058-2022-11-01-677','A38-11','WVijDokimVg', 'SL')
('AC04652-2022-11-02-751','A42-13','SOosAzE', 'LB')
('AC04652-2022-11-02-753','A42-15','dXHFFqaf', 'UB')
('AC22517-2022-11-02-785','A44-11','yiamR', 'SL')
('AC22517-2022-11-01-753','A42-15','YoIacEVX', 'UB')
('SL04652-2022-11-01-781','S33-13','XDmbrnZORJ', 'MB')
('SL22517-2022-11-01-787','S33-19','WRFJLbPJPcC', 'UB')
('AC22517-2022-11-02-787','A44-13','xYX', 'LB')
('AC04652-2022-11-02-831','A47-3','SoW', 'UB')
('SL04652-2022-11-02-779','S33-11','VPPtVlAVdwhG', 'UB')
('AC12058-2022-11-01-757','A43-1','L', 'LB')
('AC22517-2022-11-01-762','A43-6','gPlWfmxNBvCT', 'SU')
('AC22517-2022-11-01-763','A43-7','aGdqdMUZrbA', 'LB')
('AC22517-2022-11-01-764','A43-8','WUZVDsQm', 'LB')
('AC22517-2022-11-02-796','A45-4','BNnuyLZThGS', 'UB')
('SL22517-2022-11-01-799','S34-7','eVESZNLiTThRIg', 'SL')
('SL22517-2022-11-01-800','S34-8','ZxaLZmxrydh', 'SU')
('AC04652-2022-11-01-791','A44-17','OETxYownSpFH', 'SL')
('AC04652-2022-11-02-841','A47-13','xty', 'LB')
('AC04652-2022-11-02-842','A47-14','LX', 'LB')
('SL12058-2022-11-01-793','S34-1','nGTGrRTpPMmgtYQN', 'LB')
('AC04652-2022-11-01-796','A45-4','nRwLqVfoAAVfWr', 'UB')
('AC04652-2022-11-02-846','A47-18','SmCPbP', 'SU')
('AC22517-2022-11-02-804','A45-12','VondmZWf', 'SU')
('AC22517-2022-11-01-772','A43-16','OvUhyn', 'UB')
('AC12058-2022-11-01-764','A43-8','deVkrar', 'LB')
('AC22517-2022-11-01-773','A43-17','vTHqH', 'SL')
('SL04652-2022-11-02-796','S34-4','KBb', 'LB')
('SL04652-2022-11-02-797','S34-5','gv', 'MB')
('SL22517-2022-11-02-800','S34-8','O', 'SU')
('AC04652-2022-11-01-801','A45-9','tNTnWrbAYlN', 'UB')
('AC12058-2022-11-01-769','A43-13','PiJrYLpKjF', 'LB')
('AC22517-2022-11-02-808','A45-16','Hukx', 'UB')
('AC04652-2022-11-02-853','A48-7','TlZBynphSffqDAtb', 'LB')
('AC22517-2022-11-01-782','A44-8','DpOJVDADIUxYBw', 'LB')
('SL04652-2022-11-02-806','S34-14','oc', 'UB')
('SL22517-2022-11-01-812','S34-20','uBzAqpD', 'LB')
('AC12058-2022-11-01-771','A43-15','y', 'UB')
('SL04652-2022-11-02-808','S34-16','nlMUb', 'SU')
('AC04652-2022-11-02-856','A48-10','ZzYhUjlgIoLb', 'UB')
('SL22517-2022-11-02-807','S34-15','OHNNSRhttFLtbP', 'SL')
('SL04652-2022-11-02-809','S34-17','hvRaCbIAxtNWcwW', 'LB')
('SL22517-2022-11-02-808','S34-16','x', 'SU')
('AC12058-2022-11-01-776','A44-2','nKVeYwtYLxZhznR', 'LB')
('SL04652-2022-11-02-810','S34-18','UeYgHJKzCZW', 'MB')
('SL22517-2022-11-02-812','S34-20','Hxq', 'LB')
('AC22517-2022-11-02-813','A46-3','bozJqWXpWlIGSm', 'UB')
('AC04652-2022-11-02-862','A48-16','apCUfJuhorMMb', 'UB')
('SL04652-2022-11-02-811','S34-19','ScipGyuwzW', 'UB')
('AC22517-2022-11-02-814','A46-4','F', 'UB')
('SL22517-2022-11-02-815','S34-23','nBFdjTZP', 'SL')
('SL04652-2022-11-01-812','S34-20','YZYuNENM', 'LB')
('AC22517-2022-11-02-815','A46-5','WsCd', 'SL')
('AC22517-2022-11-01-801','A45-9','RRzE', 'UB')
('SL22517-2022-11-01-819','S35-3','grsSsowzv', 'UB')
('AC04652-2022-11-02-863','A48-17','mCO', 'SL')
('SL04652-2022-11-02-816','S34-24','NAHDSk', 'SU')
('SL22517-2022-11-02-820','S35-4','NEvEMPGwOGSexaNt', 'LB')
('SL04652-2022-11-01-816','S34-24','J', 'SU')
('SL12058-2022-11-01-815','S34-23','qtMuhgRAqblBvy', 'SL')
('AC22517-2022-11-02-832','A47-4','T', 'UB')
('SL04652-2022-11-02-828','S35-12','hchGtyMAR', 'LB')
('SL04652-2022-11-01-828','S35-12','vaHq', 'LB')
('AC04652-2022-11-02-888','A50-6','WvMOo', 'SU')
('AC12058-2022-11-01-829','A47-1','iYJpnPdz', 'LB')
('SL22517-2022-11-02-866','S37-2','vFwLC', 'MB')
('SL04652-2022-11-01-856','S36-16','nvsDhD', 'SU')
('AC12058-2022-11-01-833','A47-5','u', 'SL')
('AC22517-2022-11-01-851','A48-5','XYYAw', 'SL')
('AC04652-2022-11-02-919','A52-1','LGQsCIvuhhQOo', 'LB')
('AC12058-2022-11-01-837','A47-9','qE', 'UB')
('SL22517-2022-11-01-876','S37-12','BircylHBCokJeqbI', 'LB')
('AC04652-2022-11-01-876','A49-12','Czjdmgwmt', 'SU')
('SL12058-2022-11-01-864','S36-24','zpQHjHr', 'SU')
('AC22517-2022-11-02-876','A49-12','qyvRqyfBmBv', 'SU')
('SL22517-2022-11-01-883','S37-19','aRZbBILksyJLI', 'UB')
('SL04652-2022-11-02-867','S37-3','MlNvUViAwDKgbHc', 'UB')
('AC12058-2022-11-01-847','A48-1','XjYEWxzkK', 'LB')
('AC22517-2022-11-01-858','A48-12','asSMRkLaIr', 'SU')
('SL04652-2022-11-01-874','S37-10','TExpOf', 'MB')
('SL04652-2022-11-02-873','S37-9','KDgUmg', 'LB')
('AC12058-2022-11-01-852','A48-6','aUyEoGPU', 'SU')
('AC22517-2022-11-01-868','A49-4','JvDWX', 'UB')
('SL22517-2022-11-01-896','S38-8','mHjNttw', 'SU')
('AC04652-2022-11-01-890','A50-8','LYH', 'LB')
('AC04652-2022-11-01-891','A50-9','WyWytdtbauT', 'UB')
('SL04652-2022-11-01-881','S37-17','sozsB', 'LB')
('AC22517-2022-11-02-889','A50-7','ARgqmvWG', 'LB')
('SL22517-2022-11-01-901','S38-13','XFNqkHDdWDHE', 'MB')
('AC22517-2022-11-01-873','A49-9','JWRQqr', 'UB')
('SL12058-2022-11-01-880','S37-16','orZIfurCjP', 'SU')
('AC22517-2022-11-02-894','A50-12','v', 'SU')
('AC22517-2022-11-02-895','A50-13','giRnkIvJXMjkgbqZ', 'LB')
('SL22517-2022-11-01-905','S38-17','PQryBy', 'LB')
('AC04652-2022-11-01-895','A50-13','rWfGozWucLchNsPj', 'LB')
('SL04652-2022-11-02-909','S38-21','Pu', 'MB')
('AC22517-2022-11-02-928','A52-10','nXSah', 'UB')
('SL04652-2022-11-02-912','S38-24','a', 'SU')
('AC04652-2022-11-01-927','A52-9','EZMbSLXPj', 'UB')
('AC04652-2022-11-01-928','A52-10','cjHFhpMwNJzfWkks', 'UB')
('SL12058-2022-11-01-895','S38-7','DCh', 'SL')
('AC22517-2022-11-01-911','A51-11','ztPbzskKP', 'SL')
('SL04652-2022-11-02-917','S39-5','OuYIEtkf', 'MB')
('SL22517-2022-11-01-943','S40-7','L', 'SL')
('SL12058-2022-11-01-903','S38-15','bH', 'SL')
('SL12058-2022-11-01-907','S38-19','yYLxH', 'UB')
('SL04652-2022-11-01-926','S39-14','fTFAlOdF', 'UB')
('AC22517-2022-11-02-942','A53-6','lzEVQf', 'SU')
('AC12058-2022-11-01-892','A50-10','gWlUWvpoCie', 'UB')
('SL12058-2022-11-01-911','S38-23','oPj', 'SL')
('SL22517-2022-11-01-951','S40-15','qfRZDYEDgDp', 'SL')
('SL12058-2022-11-01-916','S39-4','zQLIcdmdd', 'LB')
('SL04652-2022-11-01-931','S39-19','QXOlJKnnaceIZhl', 'UB')
('AC12058-2022-11-01-901','A51-1','lt', 'LB')
('SL04652-2022-11-01-936','S39-24','Ccgdxab', 'SU')
('AC04652-2022-11-02-972','A54-18','wXBJtrzjTkJiujA', 'SU')
('SL22517-2022-11-01-960','S40-24','Oluy', 'SU')
('SL22517-2022-11-02-942','S40-6','CEdhYhuIRUdySpJ', 'UB')
('SL04652-2022-11-02-935','S39-23','JinlFGlZsqGJQXG', 'SL')
('SL12058-2022-11-01-929','S39-17','jkGuHaJphoqkZb', 'LB')
('AC04652-2022-11-02-974','A55-2','DdcP', 'LB')
('SL04652-2022-11-01-942','S40-6','lOUiPqZKlunct', 'UB')
('SL22517-2022-11-02-946','S40-10','gvUkuSNHEJat', 'MB')
('AC04652-2022-11-01-948','A53-12','e', 'SU')
('SL22517-2022-11-01-964','S41-4','zgPiwguz', 'LB')
('AC04652-2022-11-01-950','A53-14','JSs', 'LB')
('AC04652-2022-11-01-951','A53-15','hlVxezH', 'UB')
('SL22517-2022-11-02-948','S40-12','gGFQfBOcAudp', 'LB')
('AC04652-2022-11-01-957','A54-3','EHlbP', 'UB')
('SL04652-2022-11-02-947','S40-11','W', 'UB')
('AC04652-2022-11-02-982','A55-10','VqjNNl', 'UB')
('SL22517-2022-11-01-976','S41-16','EnB', 'SU')
('AC22517-2022-11-01-945','A53-9','QPqydRKKsGsutE', 'UB')
('AC04652-2022-11-02-984','A55-12','WjmMjTyUdue', 'SU')
('AC04652-2022-11-02-986','A55-14','yjjnozuZy', 'LB')
('SL04652-2022-11-01-957','S40-21','jNwmTFimtgaF', 'MB')
('SL04652-2022-11-02-949','S40-13','cPnaUfw', 'MB')
('SL12058-2022-11-01-944','S40-8','JZSpoRlwoLMVl', 'SU')
('SL22517-2022-11-01-979','S41-19','LCCryccIXfDTwm', 'UB')
('AC04652-2022-11-02-989','A55-17','dOLNCvuaMRxzz', 'SL')
('SL22517-2022-11-02-963','S41-3','onhr', 'UB')
('AC12058-2022-11-01-927','A52-9','WjdAfSyj', 'UB')
('AC12058-2022-11-01-990','A55-18','Jrwm', 'SU')
('SL22517-2022-11-01-1045','S44-13','whHBaVNwYFv', 'MB')
('SL22517-2022-11-01-1050','S44-18','kBPytfLnfJ', 'MB')
('AC04652-2022-11-01-1036','A58-10','pXOvbsjGRYKb', 'UB')
('AC22517-2022-11-01-1001','A56-11','JeUiaP', 'SL')
('SL04652-2022-11-02-1021','S43-13','WwTWswrzrOD', 'MB')
('SL22517-2022-11-02-1040','S44-8','GvyPtOJPg', 'SU')
('SL22517-2022-11-01-1056','S44-24','JmvrhbYQjg', 'SU')
('AC04652-2022-11-02-1068','A60-6','swR', 'SU')
('AC04652-2022-11-02-1070','A60-8','rmXn', 'LB')
('SL04652-2022-11-02-1025','S43-17','HERY', 'LB')
('AC04652-2022-11-01-1048','A59-4','nGdCRRM', 'UB')
('SL22517-2022-11-01-1059','S45-3','DpaWNnw', 'UB')
('AC04652-2022-11-01-1049','A59-5','akuHDNvhxLjaxLs', 'SL')
('SL04652-2022-11-02-1028','S43-20','r', 'LB')
('AC22517-2022-11-01-1013','A57-5','g', 'SL')
('SL22517-2022-11-02-1044','S44-12','JnSEom', 'LB')
('SL12058-2022-11-01-1031','S43-23','nPs', 'SL')
('AC04652-2022-11-01-1052','A59-8','Cypu', 'LB')
('AC22517-2022-11-02-1064','A60-2','Bpm', 'LB')
('SL04652-2022-11-02-1035','S44-3','hdzDjfafrrKdre', 'UB')
('AC22517-2022-11-01-1025','A57-17','xivtFCr', 'SL')
('SL04652-2022-11-01-1060','S45-4','GbTO', 'LB')
('AC04652-2022-11-01-1055','A59-11','LBaZXu', 'SL')
('SL04652-2022-11-02-1038','S44-6','aCnJtqgrwBFczHh', 'UB')
('SL22517-2022-11-02-1049','S44-17','odkeHcpmjSWWUg', 'LB')
('AC04652-2022-11-01-1060','A59-16','eyJx', 'UB')
('AC22517-2022-11-02-1076','A60-14','lEhnIcHCDmC', 'LB')
('AC04652-2022-11-01-1069','A60-7','EtBspaVnGqHV', 'LB')
('AC04652-2022-11-02-1118','A63-2','ziefb', 'LB')
('SL04652-2022-11-01-1089','S46-9','lHTqQXGrOoqCnoI', 'LB')
('AC12058-2022-11-01-1051','A59-7','OR', 'LB')
('AC22517-2022-11-02-1103','A62-5','iopwHWVEqQXfqwcQ', 'SL')
('SL04652-2022-11-02-1074','S45-18','UBbENGPZbg', 'MB')
('AC04652-2022-11-02-1129','A63-13','ACajFWLPlO', 'LB')
('SL22517-2022-11-02-1089','S46-9','ojeqIQY', 'LB')
('AC22517-2022-11-02-1111','A62-13','efGWyCkLOdIJqmZs', 'LB')
