('SL04652-2022-11-01-9','S1-9','yi', 'LB')
('AC22517-2022-11-01-361','A21-1','EiEKTFDAKB', 'LB')
('SL04652-2022-11-01-385','S17-1','Ahb', 'LB')
('SL22517-2022-11-01-405','S17-21','uE', 'MB')
('SL22517-2022-11-01-406','S17-22','d', 'UB')
('AC22517-2022-11-02-447','A25-15','iVDZhDY', 'UB')
('SL12058-2022-11-01-422','S18-14','DoCIIhKnEiRjVYV', 'UB')
('SL12058-2022-11-01-423','S18-15','gzfmJEzehzpVW', 'SL')
('SL22517-2022-11-01-408','S17-24','jU', 'SU')
('SL22517-2022-11-02-389','S17-5','oVUrWTrfrv', 'MB')
('SL22517-2022-11-01-409','S18-1','neHwXQ', 'LB')
('SL22517-2022-11-02-390','S17-6','gRWDVWsT', 'UB')
('AC04652-2022-11-01-428','A24-14','yWFEPqUcn', 'LB')
('AC04652-2022-11-01-433','A25-1','WnCBcuIuEQJchY', 'LB')
('SL04652-2022-11-01-402','S17-18','cGpASoSdeLugP', 'MB')
('SL04652-2022-11-01-404','S17-20','JWwomBCxPx', 'LB')
('AC12058-2022-11-01-434','A25-2','gSdN', 'LB')
('SL22517-2022-11-02-468','S20-12','nRRHbNXEF', 'LB')
('AC22517-2022-11-02-520','A29-16','Qxhos', 'UB')
('AC22517-2022-11-01-439','A25-7','CmjKEmnRLeGQsbAO', 'LB')
('AC12058-2022-11-01-514','A29-10','WaEPah', 'UB')
('SL22517-2022-11-01-477','S20-21','uELDhG', 'MB')
('SL22517-2022-11-02-482','S21-2','kEuLqrPCgM', 'MB')
('AC04652-2022-11-02-505','A29-1','hHwAOoje', 'LB')
('SL04652-2022-11-02-456','S19-24','gkb', 'SU')
('SL22517-2022-11-01-485','S21-5','IwrUPlUPnZJkRavr', 'MB')
('SL12058-2022-11-01-491','S21-11','VrtWNTyhcgpqkEH', 'UB')
('AC04652-2022-11-02-511','A29-7','fOPiZiIS', 'LB')
('AC04652-2022-11-01-509','A29-5','HSHSdQqOOtYiTxkU', 'SL')
('AC22517-2022-11-01-448','A25-16','iQsEyhgFEPQedgFo', 'UB')
('SL12058-2022-11-01-495','S21-15','ELdNxSNCLbd', 'SL')
('AC22517-2022-11-01-454','A26-4','JoeTHD', 'UB')
('AC04652-2022-11-02-517','A29-13','gvSthnuAWfrawCT', 'LB')
('AC22517-2022-11-02-537','A30-15','gNHzOQrxQ', 'UB')
('SL22517-2022-11-02-495','S21-15','rWBEI', 'SL')
('SL12058-2022-11-01-501','S21-21','ZqgwQTEmbz', 'MB')
('SL22517-2022-11-01-497','S21-17','IqOyTfUgYrWC', 'LB')
('AC22517-2022-11-02-548','A31-8','sjiwuvXyNhnoHFe', 'LB')
('AC22517-2022-11-01-459','A26-9','dD', 'UB')
('AC22517-2022-11-02-618','A35-6','XhBJor', 'SU')
('SL12058-2022-11-01-568','S24-16','ihweT', 'SU')
('AC22517-2022-11-01-522','A29-18','vxhSbLFSlNQy', 'SU')
('SL04652-2022-11-01-569','S24-17','cu', 'LB')
('AC12058-2022-11-01-603','A34-9','obUl', 'UB')
('SL04652-2022-11-01-571','S24-19','PUP', 'UB')
('AC04652-2022-11-02-588','A33-12','aJhaNUhgdlbYGkmD', 'SU')
('SL04652-2022-11-02-533','S23-5','bRVHxlrZUbdf', 'MB')
('AC04652-2022-11-01-580','A33-4','edky', 'UB')
('SL22517-2022-11-01-589','S25-13','OqO', 'MB')
('SL12058-2022-11-01-582','S25-6','zDKvo', 'UB')
('SL04652-2022-11-01-582','S25-6','KKOdTMztCwZNNvne', 'UB')
('SL12058-2022-11-01-586','S25-10','L', 'MB')
('SL04652-2022-11-02-538','S23-10','h', 'MB')
('SL22517-2022-11-02-576','S24-24','KrVEVuWoCGwglsnz', 'SU')
('AC04652-2022-11-02-603','A34-9','FyCgtX', 'UB')
('AC22517-2022-11-02-639','A36-9','aPZXgdUl', 'UB')
('AC04652-2022-11-01-592','A33-16','xSAoGhSu', 'UB')
('SL22517-2022-11-01-609','S26-9','xdWnewpMdviHf', 'LB')
('AC22517-2022-11-01-548','A31-8','yqzBnok', 'LB')
('SL22517-2022-11-01-611','S26-11','qRMXnjXhKHchsMf', 'UB')
('SL22517-2022-11-01-612','S26-12','eiZscuCoGxpYTMFP', 'LB')
('SL22517-2022-11-01-613','S26-13','vDDAt', 'MB')
('AC22517-2022-11-02-649','A37-1','ltm', 'LB')
('SL04652-2022-11-01-621','S26-21','Z', 'MB')
('AC22517-2022-11-01-573','A32-15','PrxRKOSOfO', 'UB')
('AC04652-2022-11-01-622','A35-10','skiJqZqz', 'UB')
('SL22517-2022-11-01-634','S27-10','IRtuvhVm', 'MB')
('AC04652-2022-11-02-627','A35-15','ltfYXaYvu', 'UB')
('SL22517-2022-11-01-636','S27-12','JYRcxVwqUPqnBu', 'LB')
('SL04652-2022-11-02-577','S25-1','Ch', 'LB')
('AC04652-2022-11-01-626','A35-14','EN', 'LB')
('AC04652-2022-11-01-627','A35-15','NpOOJpGKfzF', 'UB')
('AC22517-2022-11-01-579','A33-3','qoPtTZtJVYQkIe', 'UB')
('AC12058-2022-11-01-646','A36-16','asKTwiquJUOPODG', 'UB')
('SL04652-2022-11-02-582','S25-6','xPsXqWjJ', 'UB')
('SL22517-2022-11-01-641','S27-17','wS', 'LB')
('AC12058-2022-11-01-650','A37-2','Fk', 'LB')
('AC22517-2022-11-01-587','A33-11','BHAxKDjuar', 'SL')
('AC04652-2022-11-02-636','A36-6','BGI', 'SU')
('SL04652-2022-11-02-590','S25-14','B', 'UB')
('AC04652-2022-11-02-644','A36-14','BEytnYKqGsmCVfk', 'LB')
('AC22517-2022-11-01-594','A33-18','M', 'SU')
('AC12058-2022-11-01-658','A37-10','KUfgzoQ', 'UB')
('SL04652-2022-11-02-597','S25-21','COWtfeHFj', 'MB')
('AC22517-2022-11-01-600','A34-6','yVnbvkVajo', 'SU')
('AC04652-2022-11-02-654','A37-6','XDkJvxVyDLnPvu', 'SU')
('SL04652-2022-11-02-599','S25-23','bAmkAhtYaNuE', 'SL')
('SL04652-2022-11-02-600','S25-24','uTfLHrHSAq', 'SU')
('AC22517-2022-11-02-687','A39-3','isHdmvBp', 'UB')
('SL22517-2022-11-02-637','S27-13','EDWs', 'MB')
('SL12058-2022-11-01-636','S27-12','DUbxdgr', 'LB')
('AC04652-2022-11-02-655','A37-7','LvZkxlXoBrgeMKNP', 'LB')
('SL22517-2022-11-02-642','S27-18','oKdBlclp', 'MB')
('SL04652-2022-11-01-647','S27-23','zvQJa', 'SL')
('SL04652-2022-11-02-609','S26-9','dCmWl', 'LB')
('AC04652-2022-11-02-663','A37-15','VcnYDnMKJuaB', 'UB')
('SL22517-2022-11-02-646','S27-22','hsnVxFFJnFI', 'UB')
('SL22517-2022-11-02-647','S27-23','UrUYZqWx', 'SL')
('AC22517-2022-11-02-783','A44-9','NJhOLoT', 'UB')
('SL12058-2022-11-01-760','S32-16','diuwqYNFWmQX', 'SU')
('AC22517-2022-11-01-715','A40-13','iVxcCWr', 'LB')
('SL04652-2022-11-01-761','S32-17','IzoRv', 'LB')
('SL04652-2022-11-01-762','S32-18','OLHqF', 'MB')
('AC12058-2022-11-01-771','A43-15','XRYeFNxjzVwR', 'UB')
('AC22517-2022-11-01-724','A41-4','wzdj', 'UB')
('SL04652-2022-11-01-765','S32-21','DZsxCKXFWIWb', 'MB')
('AC12058-2022-11-01-773','A43-17','G', 'SL')
('AC04652-2022-11-02-754','A42-16','wDKCZGsMqkrD', 'UB')
('AC12058-2022-11-01-776','A44-2','hrQg', 'LB')
('AC04652-2022-11-02-757','A43-1','xrL', 'LB')
('SL12058-2022-11-01-781','S33-13','SYCRGL', 'MB')
('SL22517-2022-11-02-776','S33-8','FecJlzuit', 'SU')
('SL04652-2022-11-02-733','S31-13','HkCWbwemeu', 'MB')
('AC22517-2022-11-01-734','A41-14','NpPOxlqP', 'LB')
('SL12058-2022-11-01-786','S33-18','DVDdPznqsPGl', 'MB')
('AC04652-2022-11-02-768','A43-12','QHnzcdApAZVEQ', 'SU')
('AC22517-2022-11-02-841','A47-13','tXzezZnpHY', 'LB')
('AC04652-2022-11-02-784','A44-10','g', 'UB')
('AC04652-2022-11-02-786','A44-12','RJBMNOEDkxa', 'SU')
('SL04652-2022-11-01-804','S34-12','FabWCW', 'LB')
('SL22517-2022-11-01-814','S34-22','YPFf', 'UB')
('AC04652-2022-11-01-804','A45-12','AJOudLKonihtm', 'SU')
('SL04652-2022-11-02-772','S33-4','ZLB', 'LB')
('AC22517-2022-11-01-776','A44-2','EEMnXN', 'LB')
('AC04652-2022-11-02-799','A45-7','zBcCRkrmnHf', 'LB')
('AC22517-2022-11-01-802','A45-10','MLiDoSDeRjFqVpot', 'UB')
('AC12058-2022-11-01-847','A48-1','NMxfCfTKglYw', 'LB')
('AC22517-2022-11-01-804','A45-12','utOjIFJ', 'SU')
('SL04652-2022-11-02-800','S34-8','aldZdFSwrYfH', 'SU')
('SL22517-2022-11-01-849','S36-9','maqPUxlWCyY', 'LB')
('SL22517-2022-11-02-848','S36-8','pezGtwxsOKDkF', 'SU')
('SL22517-2022-11-02-850','S36-10','yaMLvn', 'MB')
('SL04652-2022-11-02-806','S34-14','cpvEy', 'UB')
('SL12058-2022-11-01-866','S37-2','OlNdNWZGdwo', 'MB')
('AC22517-2022-11-01-816','A46-6','RQSAsahmywowUs', 'SU')
('AC12058-2022-11-01-864','A48-18','GpnMCxmzxcaXC', 'SU')
('AC04652-2022-11-01-876','A49-12','oKuFgyMj', 'SU')
('AC04652-2022-11-02-847','A48-1','hFWBibEUKAZeXZVX', 'LB')
('AC04652-2022-11-02-850','A48-4','jQ', 'UB')
('AC04652-2022-11-01-882','A49-18','dcZvUMpdhsYIA', 'SU')
('AC22517-2022-11-02-910','A51-10','qOLYOhAD', 'UB')
('AC04652-2022-11-01-883','A50-1','I', 'LB')
('AC04652-2022-11-02-856','A48-10','AnyoNLZJBv', 'UB')
('SL22517-2022-11-02-872','S37-8','UGPasesCt', 'SU')
('AC04652-2022-11-01-887','A50-5','ZbGj', 'SL')
('SL22517-2022-11-02-879','S37-15','DohQnAtmtjzshB', 'SL')
('AC04652-2022-11-02-863','A48-17','ciVDWLsfUUlR', 'SL')
('SL22517-2022-11-02-924','S39-12','dFI', 'LB')
('AC04652-2022-11-01-926','A52-8','PGdWHoqlzRQvzHdj', 'LB')
('SL04652-2022-11-02-909','S38-21','IhTcBnpPMYl', 'MB')
('AC22517-2022-11-01-921','A52-3','byDevoXBzQfuo', 'UB')
('SL04652-2022-11-02-911','S38-23','lcRroJAMHVLmEogJ', 'SL')
('AC22517-2022-11-01-924','A52-6','ktXnKuhKuz', 'SU')
('SL04652-2022-11-02-915','S39-3','QIadhEE', 'UB')
('SL22517-2022-11-02-978','S41-18','KDDpkHZAacB', 'MB')
('AC04652-2022-11-01-969','A54-15','OLVmo', 'UB')
('AC04652-2022-11-02-936','A52-18','C', 'SU')
('AC04652-2022-11-02-942','A53-6','uBsawbfVTSjwqpvm', 'SU')
('AC04652-2022-11-01-977','A55-5','aiWoubsgIkFvVgN', 'SL')
('AC04652-2022-11-02-945','A53-9','FuOynSPH', 'UB')
('SL04652-2022-11-01-962','S41-2','pixQYKuN', 'MB')
('SL22517-2022-11-02-999','S42-15','n', 'SL')
('SL22517-2022-11-01-977','S41-17','TEsiBEWnCRXGDZE', 'LB')
('AC22517-2022-11-02-1018','A57-10','bBpqghIyZg', 'UB')
('AC04652-2022-11-01-987','A55-15','WwqbvRlDQwGJ', 'UB')
('AC12058-2022-11-01-968','A54-14','ZWsvPnMbqs', 'LB')
('SL22517-2022-11-01-979','S41-19','PmrIDFIIzrw', 'UB')
('AC04652-2022-11-01-992','A56-2','KMT', 'LB')
('AC04652-2022-11-02-959','A54-5','rhKl', 'SL')
('SL12058-2022-11-01-1000','S42-16','BUrgrnZDGQIYHvAY', 'SU')
('SL22517-2022-11-02-1011','S43-3','iZhMaC', 'UB')
('SL04652-2022-11-01-1005','S42-21','qbpdFTYUl', 'MB')
('AC22517-2022-11-02-1065','A60-3','RdTiWXFwrF', 'UB')
('AC04652-2022-11-02-1006','A56-16','cnSQvnWHzGafvigf', 'UB')
('SL04652-2022-11-02-1061','S45-5','BcRAzGhbgZpfQd', 'MB')
('SL22517-2022-11-02-1137','S48-9','paVvXsIaidDknGg', 'LB')
('AC22517-2022-11-01-1103','A62-5','QBFKXZCttgsrJ', 'SL')
('AC12058-2022-11-01-1114','A62-16','jfsipFLDE', 'UB')
('SL04652-2022-11-01-1124','S47-20','OW', 'LB')
('SL22517-2022-11-02-1162','S49-10','ujepxV', 'MB')
('SL12058-2022-11-01-1110','S47-6','kRVzwxcHLwBKGvwQ', 'UB')
('SL04652-2022-11-01-1126','S47-22','LkOFsbOAKjOWMeD', 'UB')
('SL04652-2022-11-01-1130','S48-2','LBu', 'MB')
('SL04652-2022-11-01-1132','S48-4','YBfCSWkOhXkK', 'LB')
('SL04652-2022-11-01-1133','S48-5','Kn', 'MB')
('SL04652-2022-11-01-1136','S48-8','RE', 'SU')
('SL22517-2022-11-01-1138','S48-10','jd', 'MB')
('AC12058-2022-11-01-1124','A63-8','ahLZdj', 'LB')
('AC22517-2022-11-02-1166','A65-14','KydXRnzjLR', 'LB')
('AC04652-2022-11-01-1150','A64-16','rLZVaq', 'UB')
('AC22517-2022-11-02-1173','A66-3','tsHKLoPZhM', 'UB')
('AC04652-2022-11-01-1156','A65-4','gqkNyqhUHyrvpj', 'UB')
('AC22517-2022-11-01-1126','A63-10','Ap', 'UB')
('AC04652-2022-11-01-1157','A65-5','Azbzw', 'SL')
('SL22517-2022-11-01-1147','S48-19','eaOmIxB', 'UB')
('AC04652-2022-11-02-1127','A63-11','s', 'SL')
('AC04652-2022-11-01-1163','A65-11','vqHSvBVQd', 'SL')
('SL04652-2022-11-01-1148','S48-20','PrpdgcWY', 'LB')
('SL04652-2022-11-01-1150','S48-22','Hvkmac', 'UB')
('SL04652-2022-11-02-1116','S47-12','tBibGkYpwhbpB', 'LB')
('AC04652-2022-11-02-1134','A63-18','hsTBPx', 'SU')
('AC22517-2022-11-01-1139','A64-5','qelgZs', 'SL')
('AC22517-2022-11-01-1140','A64-6','qyUFHYFKY', 'SU')
('AC22517-2022-11-02-1184','A66-14','EXiNsEZHdmXP', 'LB')
('AC22517-2022-11-01-1143','A64-9','oZyUwsbBi', 'UB')
('SL22517-2022-11-01-1159','S49-7','fqNfhtVhZSWQh', 'SL')
('SL22517-2022-11-02-1197','S50-21','NPPmvpImbphRMlf', 'MB')
('AC22517-2022-11-01-1146','A64-12','hvvdwQmBK', 'SU')
('AC12058-2022-11-01-1150','A64-16','TdcmNUzKCKrWjlP', 'UB')
('AC12058-2022-11-01-1167','A65-15','SSkrcCJpDJhyKffP', 'UB')
('AC04652-2022-11-01-1200','A67-12','koAbz', 'SU')
('SL22517-2022-11-01-1186','S50-10','cbdqzidYRlUQcn', 'MB')
('AC12058-2022-11-01-1170','A65-18','scNqGogXRzbaVs', 'SU')
('SL22517-2022-11-02-1219','S51-19','BLBiMPdEmHsTtmwU', 'UB')
('SL22517-2022-11-02-1221','S51-21','aS', 'MB')
('AC04652-2022-11-02-1223','A68-17','XJVrPX', 'SL')
('SL04652-2022-11-02-1214','S51-14','FTdHHgYfVQhd', 'UB')
('AC12058-2022-11-01-1237','A69-13','vmL', 'LB')
('AC04652-2022-11-02-1231','A69-7','QLdIPOGDo', 'LB')
('AC04652-2022-11-02-1232','A69-8','JLXBI', 'LB')
('AC04652-2022-11-02-1233','A69-9','UGKWMJudPiXWtzKP', 'UB')
('AC22517-2022-11-01-1219','A68-13','NKj', 'LB')
('SL04652-2022-11-01-1259','S53-11','LyjkQsyW', 'UB')
('SL04652-2022-11-01-1260','S53-12','RTLNwydxdJh', 'LB')
('AC04652-2022-11-01-1278','A71-18','cJrZIaimKtsf', 'SU')
('AC22517-2022-11-02-1282','A72-4','YxurIa', 'UB')
('SL22517-2022-11-01-1271','S53-23','bcrfrGbPVRrS', 'SL')
('SL04652-2022-11-02-1232','S52-8','pWhJmqKDoyYXHlce', 'SU')
('AC04652-2022-11-02-1265','A71-5','VFB', 'SL')
('SL04652-2022-11-02-1260','S53-12','dd', 'LB')
('AC04652-2022-11-01-1300','A73-4','GKUVnVTKmSzaK', 'UB')
('AC22517-2022-11-02-1321','A74-7','OtwBZjEVwy', 'LB')
('AC12058-2022-11-01-1292','A72-14','lhbUWANR', 'LB')
('SL04652-2022-11-01-1299','S55-3','nEjlWW', 'UB')
('AC04652-2022-11-02-1274','A71-14','ZQrlQQG', 'LB')
('AC22517-2022-11-02-1329','A74-15','jqjmTxh', 'UB')
('SL04652-2022-11-02-1279','S54-7','qxlXOy', 'SL')
('AC22517-2022-11-01-1269','A71-9','oomDFXjfxeGVrhEb', 'UB')
('AC04652-2022-11-02-1279','A72-1','l', 'LB')
('SL22517-2022-11-02-1341','S56-21','W', 'MB')
