('SL22517-2022-11-01-54','S3-6','QLiOgNepLHnRe', 'UB')
('SL04652-2022-11-02-157','S7-13','NACKprxlwa', 'MB')
('SL22517-2022-11-01-138','S6-18','ucShUZGwsbIc', 'MB')
('AC22517-2022-11-02-141','A8-15','ef', 'UB')
('SL22517-2022-11-01-140','S6-20','SkwtrHCgiXfaUJXq', 'LB')
('AC04652-2022-11-01-162','A9-18','MRmVi', 'SU')
('SL22517-2022-11-01-142','S6-22','OxZEXhGqF', 'UB')
('SL22517-2022-11-02-135','S6-15','YlnsY', 'SL')
('SL12058-2022-11-01-141','S6-21','yqOPL', 'MB')
('SL04652-2022-11-02-164','S7-20','dshEPiAF', 'LB')
('AC22517-2022-11-02-146','A9-2','JWA', 'LB')
('AC04652-2022-11-01-182','A11-2','B', 'LB')
('AC12058-2022-11-01-172','A10-10','f', 'UB')
('SL22517-2022-11-01-159','S7-15','hSQGZSfbaMRbd', 'SL')
('AC04652-2022-11-01-185','A11-5','lCMOrCgpVShOYyu', 'SL')
('SL04652-2022-11-01-180','S8-12','GDoBtKRtiszsg', 'LB')
('AC22517-2022-11-02-160','A9-16','GAMHcarEFZvQnUiB', 'UB')
('SL12058-2022-11-01-157','S7-13','VloRacCAzBQirDkW', 'MB')
('AC22517-2022-11-01-157','A9-13','BgAqpcRF', 'LB')
('SL22517-2022-11-01-160','S7-16','AVtYpEuQD', 'SU')
('SL22517-2022-11-02-148','S7-4','bbjpUlPYbcBwt', 'LB')
('AC04652-2022-11-01-187','A11-7','LmCkasd', 'LB')
('AC12058-2022-11-01-177','A10-15','SiTAtVzNDIz', 'UB')
('SL04652-2022-11-01-183','S8-15','aJlZVMA', 'SL')
('AC22517-2022-11-02-162','A9-18','M', 'SU')
('SL22517-2022-11-02-150','S7-6','OLwTyslOt', 'UB')
('SL04652-2022-11-02-178','S8-10','BP', 'MB')
('AC12058-2022-11-01-178','A10-16','UjHxb', 'UB')
('AC04652-2022-11-02-173','A10-11','N', 'SL')
('AC22517-2022-11-01-159','A9-15','ynG', 'UB')
('SL12058-2022-11-01-161','S7-17','uTkTmfpndOk', 'LB')
('AC22517-2022-11-02-164','A10-2','LnRBgH', 'LB')
('SL12058-2022-11-01-162','S7-18','RkgzIblxUN', 'MB')
('AC22517-2022-11-02-165','A10-3','zUVrFknyZNB', 'UB')
('AC04652-2022-11-01-193','A11-13','OntwEL', 'LB')
('AC04652-2022-11-01-194','A11-14','SIoiI', 'LB')
('AC22517-2022-11-01-161','A9-17','eMuJ', 'SL')
('AC12058-2022-11-01-183','A11-3','MNHNLQYhEWUFvMCK', 'UB')
('AC04652-2022-11-02-178','A10-16','iqDKREVAoYcRke', 'UB')
('AC12058-2022-11-01-185','A11-5','AwYvvRkXK', 'SL')
('AC22517-2022-11-01-165','A10-3','RgB', 'UB')
('AC04652-2022-11-01-198','A11-18','wtzrevWk', 'SU')
('SL04652-2022-11-02-181','S8-13','zHPaaszyCCazl', 'MB')
('SL12058-2022-11-01-167','S7-23','tpz', 'SL')
('SL22517-2022-11-02-158','S7-14','xJ', 'UB')
('AC04652-2022-11-02-181','A11-1','RbqYbYZleqVpqtr', 'LB')
('AC04652-2022-11-02-182','A11-2','CRJiOyxpSZ', 'LB')
('AC04652-2022-11-01-201','A12-3','NuKvHVuaR', 'UB')
('AC04652-2022-11-01-204','A12-6','tZo', 'SU')
('SL12058-2022-11-01-171','S8-3','mdfYrVjrEFTBO', 'UB')
('AC22517-2022-11-02-169','A10-7','MRjJCqGPE', 'LB')
('AC22517-2022-11-01-172','A10-10','jNBgiMqWfJOUvh', 'UB')
('SL04652-2022-11-02-189','S8-21','Dblsofu', 'MB')
('SL12058-2022-11-01-174','S8-6','CJf', 'UB')
('SL04652-2022-11-01-194','S9-2','MfewqvVIdPqdKmf', 'MB')
('SL12058-2022-11-01-176','S8-8','EWHphHzPl', 'SU')
('AC12058-2022-11-01-193','A11-13','pgkFpzUOgsiaYP', 'LB')
('SL12058-2022-11-01-178','S8-10','lJXagqNFUEsV', 'MB')
('SL22517-2022-11-01-179','S8-11','ZqNGDWKAvddYu', 'UB')
('AC22517-2022-11-02-172','A10-10','BGY', 'UB')
('SL22517-2022-11-01-181','S8-13','caNVgDHcAe', 'MB')
('SL22517-2022-11-01-182','S8-14','yHwBOXBiYnQb', 'UB')
('AC12058-2022-11-01-200','A12-2','Dqx', 'LB')
('SL12058-2022-11-01-184','S8-16','HMdFZf', 'SU')
('AC04652-2022-11-01-210','A12-12','IDaOHrJmOxdrJ', 'SU')
('AC22517-2022-11-01-179','A10-17','VpE', 'SL')
('SL04652-2022-11-02-197','S9-5','YLSq', 'MB')
('AC12058-2022-11-01-203','A12-5','qfKIyvshmMdYADFy', 'SL')
('SL22517-2022-11-02-181','S8-13','WtJTFvDHgjv', 'MB')
('AC22517-2022-11-02-197','A11-17','ifQdRBIvoCmpQsrO', 'SL')
('SL12058-2022-11-01-230','S10-14','kLRiy', 'UB')
('SL22517-2022-11-02-217','S10-1','JMYxbXOxtZQQ', 'LB')
('AC04652-2022-11-01-260','A15-8','OQe', 'LB')
('AC04652-2022-11-02-248','A14-14','GypFJhXqP', 'LB')
('SL04652-2022-11-01-258','S11-18','ZPI', 'MB')
('SL22517-2022-11-02-225','S10-9','WWVWVkl', 'LB')
('SL12058-2022-11-01-240','S10-24','ecWZk', 'SU')
('SL22517-2022-11-02-226','S10-10','nkKAvRbG', 'MB')
('SL22517-2022-11-02-227','S10-11','vfSHYX', 'UB')
('SL12058-2022-11-01-241','S11-1','r', 'LB')
('AC22517-2022-11-02-238','A14-4','LDzFCkbTPmnC', 'UB')
('SL04652-2022-11-01-261','S11-21','q', 'MB')
('SL04652-2022-11-01-263','S11-23','rektPaj', 'SL')
('SL22517-2022-11-01-255','S11-15','nX', 'SL')
('AC12058-2022-11-01-256','A15-4','xlanQjp', 'UB')
('AC22517-2022-11-02-244','A14-10','fCkbTlmQNflFH', 'UB')
('SL04652-2022-11-01-265','S12-1','wQfvlnk', 'LB')
('AC04652-2022-11-01-270','A15-18','fqxlBjgRon', 'SU')
('AC04652-2022-11-02-265','A15-13','ktq', 'LB')
('AC22517-2022-11-01-245','A14-11','SwEIAfr', 'SL')
('AC22517-2022-11-01-248','A14-14','l', 'LB')
('AC22517-2022-11-02-246','A14-12','ARxEloKHV', 'SU')
('SL04652-2022-11-01-273','S12-9','tyjOBPU', 'LB')
('SL04652-2022-11-01-274','S12-10','GKE', 'MB')
('AC04652-2022-11-02-272','A16-2','Jw', 'LB')
('SL22517-2022-11-02-236','S10-20','pmHCsN', 'LB')
('SL22517-2022-11-02-240','S10-24','rRvaYA', 'SU')
('AC12058-2022-11-01-264','A15-12','lTZmkaPJBgvY', 'SU')
('SL22517-2022-11-02-246','S11-6','sF', 'UB')
('AC12058-2022-11-01-269','A15-17','YWsgZixxlhYXfu', 'SL')
('AC22517-2022-11-02-253','A15-1','zsUKADbuoRCvPOOQ', 'LB')
('AC04652-2022-11-02-282','A16-12','nJLuBiigOA', 'SU')
('AC22517-2022-11-01-263','A15-11','dK', 'SL')
('SL04652-2022-11-01-285','S12-21','qwgsSzuipxuC', 'MB')
('AC22517-2022-11-02-259','A15-7','ahmmclcxSCu', 'LB')
('AC22517-2022-11-01-265','A15-13','vkvsbTnK', 'LB')
('SL22517-2022-11-02-253','S11-13','kLKIUOl', 'MB')
('AC22517-2022-11-01-269','A15-17','MFIpg', 'SL')
('AC22517-2022-11-02-261','A15-9','rDGxlKQReuLTou', 'UB')
('AC22517-2022-11-02-262','A15-10','YSJEyZwJKdf', 'UB')
('AC22517-2022-11-02-264','A15-12','kon', 'SU')
('SL22517-2022-11-02-254','S11-14','hTndWbEPCJY', 'UB')
('AC04652-2022-11-01-286','A16-16','LKmnY', 'UB')
('AC22517-2022-11-01-274','A16-4','iDHJ', 'UB')
('SL12058-2022-11-01-263','S11-23','rehyiZUe', 'SL')
('AC22517-2022-11-01-276','A16-6','hmiETucCufcIu', 'SU')
('SL22517-2022-11-01-284','S12-20','PtGDYssSFZcCBAyT', 'LB')
('SL12058-2022-11-01-266','S12-2','paXUtXpGkzMONC', 'MB')
('AC04652-2022-11-02-291','A17-3','Zb', 'UB')
('SL22517-2022-11-02-264','S11-24','HmLibHiKbIPdL', 'SU')
('AC04652-2022-11-01-294','A17-6','QWTwPsvfGwVik', 'SU')
('SL22517-2022-11-02-268','S12-4','KnRVPfyzlLjC', 'LB')
('SL22517-2022-11-01-292','S13-4','vcyacX', 'LB')
('AC22517-2022-11-01-282','A16-12','rXQrmFTRq', 'SU')
('AC22517-2022-11-01-286','A16-16','HtYFSimIPE', 'UB')
('AC04652-2022-11-02-306','A17-18','qUXhMEdzlcc', 'SU')
('SL12058-2022-11-01-281','S12-17','psxJJwMyYe', 'LB')
('SL04652-2022-11-01-311','S13-23','nlskPrF', 'SL')
('AC04652-2022-11-01-309','A18-3','JhUsOoxMpbungNw', 'UB')
('AC22517-2022-11-02-277','A16-7','SP', 'LB')
('AC04652-2022-11-02-310','A18-4','xPClDY', 'UB')
('AC04652-2022-11-01-313','A18-7','BJmNcRXDkJrWqisZ', 'LB')
('AC22517-2022-11-02-282','A16-12','oUDzhsdIEsaALLGI', 'SU')
('AC04652-2022-11-01-314','A18-8','BKTk', 'LB')
('AC22517-2022-11-01-290','A17-2','g', 'LB')
('AC22517-2022-11-01-291','A17-3','LzxNr', 'UB')
('AC12058-2022-11-01-298','A17-10','EKPnuEtRXuVy', 'UB')
('AC22517-2022-11-01-292','A17-4','KhkDhPL', 'UB')
('SL04652-2022-11-01-317','S14-5','zYvNDOxQmhTWtPgG', 'MB')
('SL12058-2022-11-01-288','S12-24','bizFtx', 'SU')
('AC22517-2022-11-02-287','A16-17','qVPJ', 'SL')
('AC22517-2022-11-02-288','A16-18','lm', 'SU')
('AC12058-2022-11-01-302','A17-14','nrmfiKpkor', 'LB')
('AC12058-2022-11-01-303','A17-15','uHtSNS', 'UB')
('AC22517-2022-11-01-294','A17-6','GdZzIHeeEKyCU', 'SU')
('AC12058-2022-11-01-304','A17-16','HO', 'UB')
('SL22517-2022-11-02-281','S12-17','t', 'LB')
('AC04652-2022-11-01-322','A18-16','ChsoggbEbm', 'UB')
('SL12058-2022-11-01-293','S13-5','GbCdVwAdm', 'MB')
('SL12058-2022-11-01-294','S13-6','EbBSIg', 'UB')
('AC04652-2022-11-01-324','A18-18','HY', 'SU')
('AC22517-2022-11-02-293','A17-5','dJnnTdxi', 'SL')
('AC22517-2022-11-01-297','A17-9','iO', 'UB')
('AC04652-2022-11-01-327','A19-3','VponijGVRruXb', 'UB')
('SL22517-2022-11-02-284','S12-20','dlYYsioZGdXUKYI', 'LB')
('SL12058-2022-11-01-297','S13-9','ghLqSbqcKIJH', 'LB')
('SL22517-2022-11-01-312','S13-24','Hlrry', 'SU')
('SL12058-2022-11-01-299','S13-11','Rl', 'UB')
('AC04652-2022-11-01-331','A19-7','nRZaKcZshXhaFRTA', 'LB')
('SL04652-2022-11-01-330','S14-18','uUUYsXPtay', 'MB')
('SL04652-2022-11-01-332','S14-20','UyStBe', 'LB')
('SL04652-2022-11-02-305','S13-17','RtwtqbwArl', 'LB')
('SL04652-2022-11-01-333','S14-21','GBJliZoOvmyDxcHd', 'MB')
('AC22517-2022-11-01-299','A17-11','sJjudIHoYyd', 'SL')
('AC22517-2022-11-02-303','A17-15','jYlVtcySbO', 'UB')
('SL04652-2022-11-01-334','S14-22','GgRsZKVkczZ', 'UB')
('AC12058-2022-11-01-314','A18-8','mbqRO', 'LB')
('SL04652-2022-11-02-308','S13-20','tcUkhETdH', 'LB')
('SL22517-2022-11-02-291','S13-3','ZMOsbSQ', 'UB')
('SL22517-2022-11-01-317','S14-5','JrBNbfZ', 'MB')
('AC04652-2022-11-02-325','A19-1','bSsLK', 'LB')
('SL22517-2022-11-01-319','S14-7','RLV', 'SL')
('AC04652-2022-11-02-326','A19-2','BZoxjdGm', 'LB')
('AC04652-2022-11-01-339','A19-15','qFtWdZxpvYt', 'UB')
('SL12058-2022-11-01-309','S13-21','EoCiJtnTCsoTeZ', 'MB')
('AC22517-2022-11-01-306','A17-18','HNwKjf', 'SU')
('SL12058-2022-11-01-311','S13-23','lt', 'SL')
('AC22517-2022-11-01-307','A18-1','CEchpMMbQ', 'LB')
('SL22517-2022-11-01-323','S14-11','lFyrjcaP', 'UB')
('AC04652-2022-11-01-341','A19-17','LtsORqsd', 'SL')
('AC12058-2022-11-01-323','A18-17','pL', 'SL')
('SL22517-2022-11-01-325','S14-13','PhIcqaAxPANcu', 'MB')
('SL04652-2022-11-02-312','S13-24','RQPWNTSjPFOKxOO', 'SU')
('SL22517-2022-11-02-297','S13-9','WQIuQc', 'LB')
('SL22517-2022-11-02-298','S13-10','apoX', 'MB')
('SL22517-2022-11-01-326','S14-14','kwSXyI', 'UB')
('SL04652-2022-11-01-344','S15-8','SjwokRKwXS', 'SU')
('AC04652-2022-11-01-345','A20-3','gbsMjK', 'UB')
('AC12058-2022-11-01-327','A19-3','wyedljuNAEciUqbw', 'UB')
('AC04652-2022-11-02-336','A19-12','EOhauFmXrit', 'SU')
('SL22517-2022-11-02-300','S13-12','TSOZolMuzz', 'LB')
('SL04652-2022-11-02-316','S14-4','EOBXmReVZR', 'LB')
('AC12058-2022-11-01-330','A19-6','TbRcAYeOYI', 'SU')
('AC12058-2022-11-01-334','A19-10','bSaK', 'UB')
('SL12058-2022-11-01-322','S14-10','nUvg', 'MB')
('SL12058-2022-11-01-323','S14-11','dRZbgePLxjtfMZk', 'UB')
('SL04652-2022-11-01-354','S15-18','fEadOASPiH', 'MB')
('AC22517-2022-11-01-315','A18-9','hr', 'UB')
('SL22517-2022-11-02-306','S13-18','zFmVNSMLNHVbNM', 'MB')
('SL22517-2022-11-02-307','S13-19','ZXMBSO', 'UB')
('AC04652-2022-11-02-349','A20-7','YtwUzYh', 'LB')
('AC22517-2022-11-01-318','A18-12','bBEKaZ', 'SU')
('SL12058-2022-11-01-332','S14-20','dOSTHnpSbeCsr', 'LB')
('SL04652-2022-11-01-355','S15-19','CpNgrjqpddEf', 'UB')
('AC22517-2022-11-01-320','A18-14','CRLgQxDDpJ', 'LB')
('AC22517-2022-11-01-322','A18-16','kN', 'UB')
('AC22517-2022-11-02-325','A19-1','IqQMrXuc', 'LB')
('SL22517-2022-11-01-345','S15-9','LrCbT', 'LB')
('AC22517-2022-11-02-327','A19-3','PZNtmzluJNYThER', 'UB')
('AC12058-2022-11-01-342','A19-18','r', 'SU')
('SL22517-2022-11-02-311','S13-23','vx', 'SL')
('SL22517-2022-11-02-312','S13-24','rkJMZMNCRiPvrkY', 'SU')
('SL04652-2022-11-02-330','S14-18','NrGUyaWItOE', 'MB')
('SL22517-2022-11-01-348','S15-12','mMgAuLvieVMFGUk', 'LB')
('AC12058-2022-11-01-344','A20-2','mlwLyyTGnJRU', 'LB')
('SL04652-2022-11-02-332','S14-20','A', 'LB')
('AC12058-2022-11-01-345','A20-3','rSJbXkqvQPWGvuzR', 'UB')
('AC22517-2022-11-01-329','A19-5','qlCganLwUABcdk', 'SL')
('SL12058-2022-11-01-344','S15-8','EjB', 'SU')
('SL04652-2022-11-02-337','S15-1','NAtYuc', 'LB')
('AC22517-2022-11-02-333','A19-9','HkVUAH', 'UB')
('AC22517-2022-11-02-334','A19-10','bXwu', 'UB')
('AC04652-2022-11-02-360','A20-18','OegJN', 'SU')
('SL04652-2022-11-02-341','S15-5','GFzN', 'MB')
('AC04652-2022-11-02-362','A21-2','MS', 'LB')
('SL12058-2022-11-01-347','S15-11','uXJwWkRPu', 'UB')
('SL22517-2022-11-01-357','S15-21','ZiqShqcYbDa', 'MB')
('SL22517-2022-11-02-320','S14-8','bgwHbnGWnVZYI', 'SU')
('AC04652-2022-11-02-365','A21-5','eUCdGgWXG', 'SL')
('AC12058-2022-11-01-349','A20-7','zjvkssZTqsb', 'LB')
('AC22517-2022-11-01-341','A19-17','jPutlt', 'SL')
('SL22517-2022-11-01-366','S16-6','tPJdiIUztgSzz', 'UB')
('SL22517-2022-11-02-330','S14-18','BNiaPGyyjSZN', 'MB')
('SL04652-2022-11-01-369','S16-9','tG', 'LB')
('SL04652-2022-11-02-354','S15-18','oiTHFC', 'MB')
('AC22517-2022-11-02-356','A20-14','inDcULD', 'LB')
('AC22517-2022-11-01-347','A20-5','SCGb', 'SL')
('SL04652-2022-11-02-360','S15-24','WRkhHONKFPEqGU', 'SU')
('AC04652-2022-11-02-375','A21-15','KRADOWdCHUzC', 'UB')
('SL12058-2022-11-01-359','S15-23','DGtAntjLvvjJmR', 'SL')
('SL12058-2022-11-01-362','S16-2','DACorsTqDa', 'MB')
('AC22517-2022-11-02-359','A20-17','fHlbeo', 'SL')
('AC04652-2022-11-01-384','A22-6','vGnzKxt', 'SU')
('AC12058-2022-11-01-364','A21-4','WknwDzxiqmqTzHG', 'UB')
('SL04652-2022-11-02-368','S16-8','Sgbd', 'SU')
('AC22517-2022-11-02-362','A21-2','oMnpBZzfpCWNKntP', 'LB')
('AC04652-2022-11-01-388','A22-10','KwhXGSwjRGJH', 'UB')
('AC22517-2022-11-02-365','A21-5','uQCGHWBP', 'SL')
('SL22517-2022-11-02-344','S15-8','pPzLdwx', 'SU')
('SL04652-2022-11-01-385','S17-1','bmGE', 'LB')
('AC04652-2022-11-02-384','A22-6','MchYGAknrlvUVQ', 'SU')
('AC04652-2022-11-02-385','A22-7','Ds', 'LB')
('AC12058-2022-11-01-367','A21-7','WvRPjbJ', 'LB')
('SL22517-2022-11-01-384','S16-24','BsNGcxwVhNA', 'SU')
('AC04652-2022-11-01-394','A22-16','sSACuL', 'UB')
('SL12058-2022-11-01-370','S16-10','z', 'MB')
('AC04652-2022-11-02-391','A22-13','X', 'LB')
('AC22517-2022-11-01-368','A21-8','SAWkVcjhSuuj', 'LB')
('AC22517-2022-11-01-369','A21-9','xZB', 'UB')
('AC22517-2022-11-01-371','A21-11','pLdg', 'SL')
('AC22517-2022-11-01-373','A21-13','bprQeQxHP', 'LB')
('SL04652-2022-11-01-394','S17-10','iBlgmIlE', 'MB')
('SL22517-2022-11-02-360','S15-24','VNUawLzXrKGGVb', 'SU')
('SL04652-2022-11-01-397','S17-13','QGtfPpekOCFeVu', 'MB')
('SL22517-2022-11-01-394','S17-10','xstnFjtJS', 'MB')
('AC22517-2022-11-02-384','A22-6','LGKGQNf', 'SU')
('AC04652-2022-11-01-408','A23-12','ebVbaxcFDBjPLOik', 'SU')
('AC12058-2022-11-01-379','A22-1','wSIfd', 'LB')
('SL12058-2022-11-01-384','S16-24','rzxlYhKMcQa', 'SU')
('AC04652-2022-11-01-411','A23-15','FDFLKHbTTveofMF', 'UB')
('AC22517-2022-11-01-384','A22-6','cNVer', 'SU')
('AC22517-2022-11-02-393','A22-15','hyvAE', 'UB')
('AC12058-2022-11-01-381','A22-3','vPfSEIBDNAmQoZO', 'UB')
('SL04652-2022-11-02-399','S17-15','wwBjmZuyKUGbw', 'SL')
('AC12058-2022-11-01-382','A22-4','rfiQPeEvehFSeD', 'UB')
('AC04652-2022-11-01-416','A24-2','lWrDYAk', 'LB')
('SL04652-2022-11-02-400','S17-16','sOHvwpjEec', 'SU')
('SL04652-2022-11-02-401','S17-17','JV', 'LB')
('AC04652-2022-11-01-418','A24-4','JkzsaVwEJZpOK', 'UB')
('SL04652-2022-11-01-411','S18-3','DCWtwSO', 'UB')
('AC04652-2022-11-01-420','A24-6','S', 'SU')
('SL04652-2022-11-01-412','S18-4','zNcCtrrHtnLHgrxN', 'LB')
('SL04652-2022-11-01-414','S18-6','UzKuFYmvXuO', 'UB')
('AC04652-2022-11-01-421','A24-7','L', 'LB')
('AC22517-2022-11-01-394','A22-16','zzJLWzjZqeUHTDDC', 'UB')
('SL04652-2022-11-01-417','S18-9','APgIUucfDzU', 'LB')
('SL04652-2022-11-02-405','S17-21','beJQNzqiKpuyxq', 'MB')
('AC04652-2022-11-02-421','A24-7','GjNcYZzs', 'LB')
('AC22517-2022-11-02-406','A23-10','gZX', 'UB')
('SL04652-2022-11-01-419','S18-11','fCNmWOoiBe', 'UB')
('SL04652-2022-11-01-420','S18-12','Ud', 'LB')
('AC22517-2022-11-02-407','A23-11','evJvwcdatQhaM', 'SL')
('AC22517-2022-11-02-408','A23-12','ksEsAwS', 'SU')
('SL04652-2022-11-01-423','S18-15','XTuvSHf', 'SL')
('SL22517-2022-11-02-381','S16-21','NiRGzNoDRnrfgjS', 'MB')
('AC22517-2022-11-01-400','A23-4','gwZ', 'UB')
('SL04652-2022-11-01-424','S18-16','zgJieAJg', 'SU')
('SL04652-2022-11-01-425','S18-17','CuTdWOffT', 'LB')
('AC12058-2022-11-01-398','A23-2','iIOGK', 'LB')
('AC12058-2022-11-01-399','A23-3','UnJKSMzNWi', 'UB')
('SL04652-2022-11-02-413','S18-5','Gjlj', 'MB')
('AC22517-2022-11-02-409','A23-13','o', 'LB')
('AC04652-2022-11-02-431','A24-17','TnUXHYUbPNXYPf', 'SL')
('AC04652-2022-11-01-435','A25-3','lKvSmSuicVEwOrs', 'UB')
('AC12058-2022-11-01-402','A23-6','W', 'SU')
('SL12058-2022-11-01-401','S17-17','y', 'LB')
('AC12058-2022-11-01-404','A23-8','ZLGzNgpINxE', 'LB')
('SL04652-2022-11-01-428','S18-20','qaSlfnOpJnV', 'LB')
('SL04652-2022-11-02-416','S18-8','HyWJg', 'SU')
('AC22517-2022-11-02-411','A23-15','FkKAVTbQss', 'UB')
('SL04652-2022-11-01-430','S18-22','gycYHrZyULjzlYN', 'UB')
('AC04652-2022-11-01-440','A25-8','XzDQWD', 'LB')
('SL12058-2022-11-01-518','S22-14','lOYywJmA', 'UB')
('AC12058-2022-11-01-511','A29-7','NnClBHb', 'LB')
('SL04652-2022-11-01-547','S23-19','LFCGPSUHYmku', 'UB')
('SL04652-2022-11-02-536','S23-8','jj', 'SU')
('AC04652-2022-11-02-558','A31-18','GSntdnmVsVZ', 'SU')
('SL22517-2022-11-02-521','S22-17','fFCGEkrvPZkr', 'LB')
('AC04652-2022-11-01-549','A31-9','Lh', 'UB')
('SL12058-2022-11-01-522','S22-18','rFYHnJlwrfdl', 'MB')
('SL12058-2022-11-01-524','S22-20','Wiee', 'LB')
('SL12058-2022-11-01-525','S22-21','S', 'MB')
('AC04652-2022-11-01-552','A31-12','KcpVolTpopF', 'SU')
('SL22517-2022-11-01-545','S23-17','hSRWqQlGvpTRo', 'LB')
('SL22517-2022-11-01-546','S23-18','ydj', 'MB')
('SL12058-2022-11-01-526','S22-22','p', 'UB')
('SL22517-2022-11-01-547','S23-19','wHPKjeXWOdPdwyCB', 'UB')
('AC04652-2022-11-02-563','A32-5','GSQMkNzxO', 'SL')
('AC04652-2022-11-01-558','A31-18','fZifxfXGMYFl', 'SU')
('AC04652-2022-11-02-564','A32-6','eXwsU', 'SU')
('SL04652-2022-11-01-552','S23-24','VgLUDwzqre', 'SU')
('AC04652-2022-11-02-565','A32-7','hnzRYGDpeEZF', 'LB')
('SL22517-2022-11-01-549','S23-21','sdBXYibGmL', 'MB')
('SL04652-2022-11-01-553','S24-1','de', 'LB')
('AC04652-2022-11-01-562','A32-4','oWzIVwTVGtGSmXhG', 'UB')
('SL04652-2022-11-02-542','S23-14','kdGiuU', 'UB')
('AC22517-2022-11-01-526','A30-4','rVCfGnnNuXnJ', 'UB')
('AC22517-2022-11-01-527','A30-5','EvGfMJKEUKIDtm', 'SL')
('SL04652-2022-11-01-555','S24-3','IxSN', 'UB')
('SL22517-2022-11-02-528','S22-24','PvEkKvC', 'SU')
('SL04652-2022-11-01-557','S24-5','uRWqXXcDJN', 'MB')
('AC04652-2022-11-02-573','A32-15','okeYQAMF', 'UB')
('SL12058-2022-11-01-531','S23-3','P', 'UB')
('AC22517-2022-11-02-553','A31-13','iqlzJtqDFMxs', 'LB')
('AC04652-2022-11-02-574','A32-16','bhkLsb', 'UB')
('AC22517-2022-11-01-533','A30-11','EYag', 'SL')
('AC04652-2022-11-02-576','A32-18','yfQxORGLaBp', 'SU')
('SL04652-2022-11-01-558','S24-6','U', 'UB')
('SL04652-2022-11-01-559','S24-7','niVtJ', 'SL')
('SL12058-2022-11-01-533','S23-5','yxK', 'MB')
('SL12058-2022-11-01-535','S23-7','T', 'SL')
('AC04652-2022-11-01-571','A32-13','CqRlqsMHPaxuLs', 'LB')
('AC22517-2022-11-02-559','A32-1','rav', 'LB')
('SL22517-2022-11-02-536','S23-8','DDDUQ', 'SU')
('SL12058-2022-11-01-537','S23-9','mvcafNBkEKbyUk', 'LB')
('SL04652-2022-11-01-563','S24-11','L', 'UB')
('SL22517-2022-11-02-539','S23-11','jdmsEIEJ', 'UB')
('AC12058-2022-11-01-526','A30-4','lKxHSCeRE', 'UB')
('SL12058-2022-11-01-541','S23-13','U', 'MB')
('AC22517-2022-11-01-547','A31-7','TkiRHdxpswju', 'LB')
