('SL22517-2022-11-02-7','S1-7','zWBZorP', 'SL')
('AC04652-2022-11-02-184','A11-4','xgJIbQrzkOkD', 'UB')
('SL12058-2022-11-01-198','S9-6','whcJaKHyfK', 'UB')
('AC04652-2022-11-02-186','A11-6','YpUunt', 'SU')
('SL22517-2022-11-02-206','S9-14','Ukiibcfi', 'UB')
('AC04652-2022-11-02-189','A11-9','AZBZws', 'UB')
('SL04652-2022-11-01-203','S9-11','qryyVRWzFREs', 'UB')
('SL22517-2022-11-02-209','S9-17','XsylDJ', 'LB')
('SL12058-2022-11-01-201','S9-9','ydtb', 'LB')
('SL04652-2022-11-01-205','S9-13','JVEfIi', 'MB')
('AC22517-2022-11-02-218','A13-2','PzNkPEogKULp', 'LB')
('SL04652-2022-11-01-206','S9-14','qIAgguweBT', 'UB')
('AC04652-2022-11-01-211','A12-13','LlolfslrSHqFZZ', 'LB')
('AC04652-2022-11-01-214','A12-16','VQTNXDtX', 'UB')
('AC04652-2022-11-02-192','A11-12','suGPCmEZqimKR', 'SU')
('AC22517-2022-11-02-222','A13-6','YeHhDKV', 'SU')
('SL04652-2022-11-01-232','S10-16','DNxH', 'SU')
('SL04652-2022-11-01-233','S10-17','LTP', 'LB')
('SL22517-2022-11-01-241','S11-1','ajksHTTNdumfST', 'LB')
('SL04652-2022-11-01-235','S10-19','exbYyX', 'UB')
('SL22517-2022-11-02-235','S10-19','jQRssWvfP', 'UB')
('AC12058-2022-11-01-239','A14-5','xi', 'SL')
('AC04652-2022-11-01-251','A14-17','lcp', 'SL')
('SL04652-2022-11-02-212','S9-20','pWlGVMFrxb', 'LB')
('AC22517-2022-11-02-258','A15-6','OT', 'SU')
('SL04652-2022-11-01-245','S11-5','FnLllfH', 'MB')
('SL12058-2022-11-01-242','S11-2','dWcHRMVfouNEveFo', 'MB')
('AC22517-2022-11-02-261','A15-9','kOC', 'UB')
('AC22517-2022-11-02-262','A15-10','ISOqz', 'UB')
('AC04652-2022-11-02-232','A13-16','HhsxpJURHnUbOK', 'UB')
('AC22517-2022-11-01-244','A14-10','mZaOiSZOtd', 'UB')
('SL04652-2022-11-02-216','S9-24','hO', 'SU')
('AC22517-2022-11-01-245','A14-11','qVKkgqRFgzmKeG', 'SL')
('SL22517-2022-11-02-244','S11-4','znKoVdMJtcnaoIij', 'LB')
('AC12058-2022-11-01-260','A15-8','sUqyxut', 'LB')
('AC22517-2022-11-01-247','A14-13','VzQuRb', 'LB')
('SL22517-2022-11-01-255','S11-15','eKYriMfn', 'SL')
('AC22517-2022-11-02-272','A16-2','hUJvbSofhybVVWE', 'LB')
('SL12058-2022-11-01-251','S11-11','ZNKGPFYwloaibXKO', 'UB')
('SL22517-2022-11-01-258','S11-18','eUYbHpeahHtkwiO', 'MB')
('AC22517-2022-11-02-274','A16-4','hs', 'UB')
('SL12058-2022-11-01-253','S11-13','PPjyLuMhOo', 'MB')
('SL22517-2022-11-01-261','S11-21','pCGwaLIyII', 'MB')
('SL22517-2022-11-02-251','S11-11','XANEjJeLJaiaoQme', 'UB')
('AC04652-2022-11-01-270','A15-18','DzIMJMQptiOFMAnP', 'SU')
('AC12058-2022-11-01-267','A15-15','kk', 'UB')
('SL22517-2022-11-01-264','S11-24','bPdxu', 'SU')
('AC12058-2022-11-01-272','A16-2','zGCO', 'LB')
('AC22517-2022-11-01-253','A15-1','rdGyXSVzHPn', 'LB')
('SL04652-2022-11-02-237','S10-21','ngjIPwNOBOiRay', 'MB')
('SL22517-2022-11-02-261','S11-21','smQPGusfHfbOE', 'MB')
('SL04652-2022-11-02-240','S10-24','UPpvSiVvkc', 'SU')
('AC22517-2022-11-02-285','A16-15','W', 'UB')
('SL04652-2022-11-02-242','S11-2','yLJhYMeDW', 'MB')
('SL04652-2022-11-01-257','S11-17','nLWJMsuYDSAqXyB', 'LB')
('SL22517-2022-11-02-266','S12-2','nz', 'MB')
('SL04652-2022-11-01-258','S11-18','SVNaur', 'MB')
('SL22517-2022-11-02-268','S12-4','yujgZlzLGl', 'LB')
('AC22517-2022-11-02-291','A17-3','tPRtqCqhkiXaK', 'UB')
('AC12058-2022-11-01-284','A16-14','iVQiatbbTTrS', 'LB')
('AC12058-2022-11-01-287','A16-17','xnbNLaOLTSBuFR', 'SL')
('AC22517-2022-11-01-264','A15-12','OlVUWshZc', 'SU')
('AC22517-2022-11-01-267','A15-15','tU', 'UB')
('AC22517-2022-11-01-271','A16-1','vWEqSzvtMoFjzdnD', 'LB')
('AC22517-2022-11-02-301','A17-13','asVsONvk', 'LB')
('SL22517-2022-11-02-276','S12-12','xxIpIeXeXiokDj', 'LB')
('SL04652-2022-11-01-268','S12-4','SFGFTDuTaQyuSJuQ', 'LB')
('SL22517-2022-11-01-278','S12-14','ziyuFDKyIEyy', 'UB')
('SL04652-2022-11-02-260','S11-20','Wa', 'LB')
('AC22517-2022-11-02-305','A17-17','Av', 'SL')
('SL12058-2022-11-01-276','S12-12','OXWRJRcNDI', 'LB')
('SL12058-2022-11-01-277','S12-13','wDhrYTYALfwynoWS', 'MB')
('SL04652-2022-11-01-271','S12-7','JQlLc', 'SL')
('AC04652-2022-11-01-489','A28-3','ThVFlDHNXxNi', 'UB')
('SL22517-2022-11-01-463','S20-7','sjlDZucX', 'SL')
('AC04652-2022-11-01-491','A28-5','KHBnIvw', 'SL')
('SL12058-2022-11-01-477','S20-21','xCki', 'MB')
('AC22517-2022-11-01-427','A24-13','kXYlq', 'LB')
('SL04652-2022-11-01-470','S20-14','UF', 'UB')
('AC22517-2022-11-01-434','A25-2','tzPlkxdhR', 'LB')
('SL04652-2022-11-02-436','S19-4','HwrgXGCylvTxZBg', 'LB')
('SL22517-2022-11-02-467','S20-11','KqqqyfDdQCDOrPV', 'UB')
('SL04652-2022-11-01-476','S20-20','ZddpdyfNnGHnm', 'LB')
('SL22517-2022-11-02-488','S21-8','Oa', 'SU')
('SL12058-2022-11-01-531','S23-3','qM', 'UB')
('AC22517-2022-11-01-482','A27-14','GaLbXzYXFBhiBeP', 'LB')
('SL22517-2022-11-01-531','S23-3','oqbSzrz', 'UB')
('SL22517-2022-11-01-533','S23-5','bVlLm', 'MB')
('AC22517-2022-11-01-486','A27-18','ERDXaQTJOsnCXI', 'SU')
('AC22517-2022-11-02-587','A33-11','dIjv', 'SL')
('AC04652-2022-11-01-544','A31-4','kTJA', 'UB')
('AC04652-2022-11-02-544','A31-4','Vuynmw', 'UB')
('AC04652-2022-11-01-546','A31-6','v', 'SU')
('AC04652-2022-11-02-545','A31-5','Asxctx', 'SL')
('AC22517-2022-11-02-594','A33-18','vvlLg', 'SU')
('AC12058-2022-11-01-578','A33-2','lbKPgQStEQGrp', 'LB')
('AC04652-2022-11-02-547','A31-7','qbAyzPhCvte', 'LB')
('AC22517-2022-11-02-609','A34-15','JgfQQJVUBkDpAdsn', 'UB')
('SL04652-2022-11-02-515','S22-11','AaCkOBdsemxwQxj', 'UB')
('SL22517-2022-11-02-591','S25-15','N', 'SL')
('SL04652-2022-11-02-553','S24-1','J', 'LB')
('AC04652-2022-11-01-610','A34-16','OB', 'UB')
('AC04652-2022-11-01-611','A34-17','YIw', 'SL')
('AC22517-2022-11-02-667','A38-1','pFGYdBgJJuRsq', 'LB')
('SL12058-2022-11-01-623','S26-23','aTSHZlht', 'SL')
('AC22517-2022-11-01-585','A33-9','AKsoqBghjCLVTGU', 'UB')
('AC22517-2022-11-02-668','A38-2','LNlJBtIPW', 'LB')
('AC12058-2022-11-01-651','A37-3','TcaPWxryFWk', 'UB')
('AC22517-2022-11-01-590','A33-14','TfaRZVCcW', 'LB')
('AC22517-2022-11-02-672','A38-6','TNaILjSR', 'SU')
('SL22517-2022-11-02-624','S26-24','BzxlBuOhkilpqxzI', 'SU')
('AC22517-2022-11-02-673','A38-7','cvHYJnaqdoTAvtY', 'LB')
('AC04652-2022-11-02-640','A36-10','DLW', 'UB')
('AC22517-2022-11-01-593','A33-17','ULg', 'SL')
('SL04652-2022-11-01-640','S27-16','vYJtPCFyXgQyViR', 'SU')
('AC12058-2022-11-01-655','A37-7','hPflQeyz', 'LB')
('SL04652-2022-11-02-593','S25-17','heedvdCbSzVNuXvz', 'LB')
('AC04652-2022-11-02-650','A37-2','rgseYesZhz', 'LB')
('AC22517-2022-11-02-683','A38-17','fQkbmnwCcE', 'SL')
('SL22517-2022-11-02-631','S27-7','p', 'SL')
('SL22517-2022-11-01-650','S28-2','UGJGcsLRlmEUFlev', 'MB')
('AC04652-2022-11-01-645','A36-15','quLiBPHMuHdJFrB', 'UB')
('AC22517-2022-11-01-631','A36-1','TAn', 'LB')
('AC22517-2022-11-01-639','A36-9','MAfNgmlMPrKGddrp', 'UB')
('SL22517-2022-11-01-697','S30-1','grejoBreOUGmnt', 'LB')
('SL04652-2022-11-02-660','S28-12','ZjLunvEEAyIcSxQa', 'LB')
('SL04652-2022-11-02-661','S28-13','UOIUbvYGjvqsJY', 'MB')
('SL12058-2022-11-01-695','S29-23','hoDemswT', 'SL')
('SL22517-2022-11-02-683','S29-11','kXgtGbDVPAVoo', 'UB')
('SL22517-2022-11-01-700','S30-4','PlFLVit', 'LB')
('AC04652-2022-11-02-689','A39-5','Rqc', 'SL')
('AC04652-2022-11-01-686','A39-2','uDzbQLZ', 'LB')
('AC22517-2022-11-02-736','A41-16','IPsQam', 'UB')
('AC22517-2022-11-02-737','A41-17','PXnQiiWtCUgxhq', 'SL')
('AC22517-2022-11-02-738','A41-18','TEQvhcyZutwO', 'SU')
('AC04652-2022-11-01-698','A39-14','GX', 'LB')
('SL04652-2022-11-01-706','S30-10','PLwzlnOJL', 'MB')
('AC12058-2022-11-01-707','A40-5','N', 'SL')
('AC04652-2022-11-02-700','A39-16','sLFNvGCfSSD', 'UB')
('AC04652-2022-11-01-699','A39-15','hrwkzjhWvHcIWr', 'UB')
('SL04652-2022-11-01-708','S30-12','THTwOsyDMzhBUsh', 'LB')
('SL04652-2022-11-01-709','S30-13','OxzDGFZVJ', 'MB')
('AC22517-2022-11-02-750','A42-12','i', 'SU')
('SL22517-2022-11-01-731','S31-11','xXOqISnpLt', 'UB')
('SL22517-2022-11-01-732','S31-12','XbRuZYwmY', 'LB')
('AC04652-2022-11-01-714','A40-12','GbrdA', 'SU')
('AC22517-2022-11-01-673','A38-7','Sv', 'LB')
('AC22517-2022-11-01-675','A38-9','vXlRdHxatT', 'UB')
('SL12058-2022-11-01-731','S31-11','dN', 'UB')
('SL22517-2022-11-02-719','S30-23','kppFPiGNpaQKm', 'SL')
('AC22517-2022-11-02-755','A42-17','QJiBjYvTeHPIVEDB', 'SL')
('SL04652-2022-11-02-691','S29-19','VgrSuub', 'UB')
('AC12058-2022-11-01-727','A41-7','VkAbeCyek', 'LB')
('AC22517-2022-11-01-684','A38-18','AG', 'SU')
('AC12058-2022-11-01-731','A41-11','guzKNrQNfRXwN', 'SL')
('SL12058-2022-11-01-742','S31-22','cZUeHKJYupQrDGps', 'UB')
('AC12058-2022-11-01-732','A41-12','vuYxdskppjF', 'SU')
('AC04652-2022-11-01-723','A41-3','OAZrKkphGladY', 'UB')
('SL12058-2022-11-01-750','S32-6','LpBBjAdMOmmXUiwz', 'UB')
('AC04652-2022-11-02-725','A41-5','xZehseUsAER', 'SL')
('AC22517-2022-11-02-769','A43-13','vifCyzzoPL', 'LB')
('SL22517-2022-11-02-734','S31-14','pqQCoIrjHUXC', 'UB')
('SL22517-2022-11-02-735','S31-15','WnkxpSPRYYRyt', 'SL')
('SL22517-2022-11-02-746','S32-2','XJVJyKTvFi', 'MB')
('AC04652-2022-11-02-736','A41-16','wVfxrOafsfIkEky', 'UB')
('SL22517-2022-11-02-749','S32-5','sVcnzckQ', 'MB')
('SL04652-2022-11-01-742','S31-22','FnbgktMeiBbwmZ', 'UB')
('SL04652-2022-11-01-743','S31-23','it', 'SL')
('SL22517-2022-11-02-755','S32-11','bCubYQNisQtWxyQ', 'UB')
('SL22517-2022-11-02-756','S32-12','odOLOwpDdaEfMS', 'LB')
('AC22517-2022-11-02-791','A44-17','CShzFJUPETJO', 'SL')
('SL04652-2022-11-01-756','S32-12','jbDxRpZcpHkNRrpV', 'LB')
('SL12058-2022-11-01-770','S33-2','dK', 'MB')
('SL22517-2022-11-01-767','S32-23','BSyih', 'SL')
('AC22517-2022-11-02-802','A45-10','PUJtRUhvzUoMeKr', 'UB')
('SL22517-2022-11-02-769','S33-1','tPb', 'LB')
('SL04652-2022-11-02-728','S31-8','nJasMlydrdG', 'SU')
('AC22517-2022-11-02-804','A45-12','euxkkfe', 'SU')
('SL22517-2022-11-01-776','S33-8','SWQbP', 'SU')
('SL22517-2022-11-02-774','S33-6','jWsVwWtU', 'UB')
('SL04652-2022-11-01-769','S33-1','e', 'LB')
('AC04652-2022-11-01-760','A43-4','watEVTSlE', 'UB')
('AC12058-2022-11-01-782','A44-8','cOuqMiVKbVVZAh', 'LB')
('AC22517-2022-11-02-835','A47-7','soBKQItJbnphQO', 'LB')
('AC04652-2022-11-01-783','A44-9','mrsNOAjhRV', 'UB')
('AC12058-2022-11-01-811','A46-1','zNTHyUKbJdJTxyfy', 'LB')
('AC12058-2022-11-01-812','A46-2','KXEcgIPIeb', 'LB')
('AC04652-2022-11-01-791','A44-17','eaulhZcjAJnwSI', 'SL')
('AC04652-2022-11-01-847','A48-1','T', 'LB')
('AC12058-2022-11-01-846','A47-18','f', 'SU')
('AC04652-2022-11-02-830','A47-2','Wf', 'LB')
('AC04652-2022-11-01-855','A48-9','cHDnmj', 'UB')
('SL22517-2022-11-02-851','S36-11','uTOPvdRC', 'UB')
('AC04652-2022-11-01-861','A48-15','YUfOMGXkIkPoC', 'UB')
('SL04652-2022-11-02-814','S34-22','KmpDLddyb', 'UB')
('AC22517-2022-11-01-813','A46-3','EtQt', 'UB')
('SL22517-2022-11-02-856','S36-16','tbH', 'SU')
('AC22517-2022-11-02-897','A50-15','CjpQSX', 'UB')
('AC04652-2022-11-01-864','A48-18','JARY', 'SU')
('AC04652-2022-11-01-879','A49-15','gHZU', 'UB')
('AC22517-2022-11-01-825','A46-15','qrVehleZTYfRLKJY', 'UB')
('SL04652-2022-11-01-855','S36-15','oGYAlOgRItbP', 'SL')
('SL22517-2022-11-01-863','S36-23','WlNGVvcuPAhP', 'SL')
('SL22517-2022-11-02-875','S37-11','FvJIeKXqdyr', 'UB')
('SL12058-2022-11-01-890','S38-2','rzju', 'MB')
('SL04652-2022-11-01-895','S38-7','gTnnXJaWFdOBkgOG', 'SL')
('AC04652-2022-11-02-892','A50-10','IU', 'UB')
('SL04652-2022-11-02-866','S37-2','vsaVj', 'MB')
('SL22517-2022-11-01-909','S38-21','PLsVKheoqgZWqM', 'MB')
('SL22517-2022-11-01-910','S38-22','rCxiiQ', 'UB')
('AC04652-2022-11-02-896','A50-14','d', 'LB')
('SL04652-2022-11-02-871','S37-7','zsSsGCUNeyfah', 'SL')
('AC04652-2022-11-01-929','A52-11','Es', 'SL')
('SL22517-2022-11-02-927','S39-15','QePcryjcJ', 'SL')
('AC22517-2022-11-01-872','A49-8','tqfnKUBjhBmLIZ', 'LB')
('AC04652-2022-11-01-931','A52-13','zzmJuSCRsR', 'LB')
('SL22517-2022-11-02-928','S39-16','EgRTdaJ', 'SU')
('AC12058-2022-11-01-914','A51-14','QFokCHPIzM', 'LB')
('AC04652-2022-11-02-899','A50-17','xvdAqxVVw', 'SL')
('SL22517-2022-11-01-921','S39-9','caznFN', 'LB')
('AC22517-2022-11-01-884','A50-2','mxfeEJNyHGKrBVD', 'LB')
('SL22517-2022-11-01-925','S39-13','hFSFhcnzmsMDmbwK', 'MB')
('SL22517-2022-11-01-926','S39-14','LfvuP', 'UB')
('SL04652-2022-11-02-883','S37-19','tSNsTzRJBGiE', 'UB')
('SL04652-2022-11-02-884','S37-20','ioa', 'LB')
('SL22517-2022-11-02-940','S40-4','eaQeziDGLA', 'LB')
('AC22517-2022-11-02-971','A54-17','X', 'SL')
('AC22517-2022-11-01-892','A50-10','FaxMeLQhHOgwk', 'UB')
('SL22517-2022-11-01-935','S39-23','JILNuyv', 'SL')
('AC04652-2022-11-01-940','A53-4','eQASNHNdDO', 'UB')
('AC22517-2022-11-02-975','A55-3','HlKfiEQF', 'UB')
('SL12058-2022-11-01-955','S40-19','CsSDY', 'UB')
('SL22517-2022-11-01-937','S40-1','YFlCQ', 'LB')
('SL04652-2022-11-01-926','S39-14','ktbXT', 'UB')
('AC12058-2022-11-01-930','A52-12','kEaYwinmgyZAJKQS', 'SU')
('SL22517-2022-11-01-941','S40-5','dzX', 'MB')
('AC12058-2022-11-01-931','A52-13','rQfGaxxHWuHe', 'LB')
('SL04652-2022-11-02-891','S38-3','bJWUpVcm', 'UB')
('SL04652-2022-11-02-897','S38-9','oFoptQ', 'LB')
('AC22517-2022-11-02-981','A55-9','eMXMEBQpo', 'UB')
('AC22517-2022-11-01-904','A51-4','BmXsSXh', 'UB')
('AC22517-2022-11-02-983','A55-11','Za', 'SL')
('AC22517-2022-11-01-906','A51-6','yPVvxidqbBwI', 'SU')
('SL22517-2022-11-02-953','S40-17','ZDcdo', 'LB')
('SL12058-2022-11-01-965','S41-5','NXWny', 'MB')
('SL22517-2022-11-02-959','S40-23','ZqzqweNINgBhZUm', 'SL')
('AC12058-2022-11-01-944','A53-8','wMTowWW', 'LB')
('AC22517-2022-11-02-994','A56-4','gTLXw', 'UB')
('SL04652-2022-11-01-940','S40-4','lzMY', 'LB')
('SL04652-2022-11-02-903','S38-15','RyLAAKUtqyYN', 'SL')
('AC22517-2022-11-02-996','A56-6','JNlcZS', 'SU')
('SL12058-2022-11-01-974','S41-14','ZTte', 'UB')
('SL12058-2022-11-01-975','S41-15','BzAz', 'SL')
('AC04652-2022-11-02-927','A52-9','HypkbxqJjowoDM', 'UB')
('SL22517-2022-11-01-964','S41-4','YdyxqbJ', 'LB')
('SL22517-2022-11-01-965','S41-5','vTIvM', 'MB')
('SL22517-2022-11-01-967','S41-7','HiFyIODxJHAIBZeU', 'SL')
('AC22517-2022-11-02-1002','A56-12','qNusxwzKbOTjETf', 'SU')
('SL22517-2022-11-02-1034','S44-2','j', 'MB')
('AC04652-2022-11-02-985','A55-13','HQdeQbCEeJP', 'LB')
('AC04652-2022-11-01-1012','A57-4','JyuFgDd', 'UB')
('AC22517-2022-11-01-974','A55-2','WYYXjmJMFFNlhRLu', 'LB')
('SL22517-2022-11-01-1004','S42-20','PvsNvIMautdknH', 'LB')
('SL22517-2022-11-01-1005','S42-21','QdXBrmRAqDtXlLCw', 'MB')
('SL22517-2022-11-01-1006','S42-22','vTOVg', 'UB')
('AC12058-2022-11-01-996','A56-6','TypvObbhi', 'SU')
('SL22517-2022-11-02-1039','S44-7','A', 'SL')
('SL04652-2022-11-02-951','S40-15','BsMqJQCoPniNC', 'SL')
('AC04652-2022-11-01-1019','A57-11','LDlYgTbkMLmtCQG', 'SL')
('SL22517-2022-11-02-1042','S44-10','z', 'MB')
('SL22517-2022-11-01-1016','S43-8','kEHIVhAvVomOIt', 'SU')
('SL22517-2022-11-02-1049','S44-17','nJyYaiBnwIRe', 'LB')
('AC22517-2022-11-02-1055','A59-11','SzstWScnCTrS', 'SL')
('AC22517-2022-11-02-1057','A59-13','vqQygYhxdQuMeE', 'LB')
('SL12058-2022-11-01-1034','S44-2','WmsJG', 'MB')
('AC12058-2022-11-01-1002','A56-12','xefoAxot', 'SU')
('SL04652-2022-11-01-1007','S42-23','HNgcczLGPQpgsng', 'SL')
('SL12058-2022-11-01-1036','S44-4','iVMSUc', 'LB')
('SL04652-2022-11-01-1012','S43-4','xamdmApcvZis', 'LB')
('SL04652-2022-11-01-1014','S43-6','qTsKBPNr', 'UB')
('SL04652-2022-11-02-962','S41-2','rJaslpojVt', 'MB')
('SL22517-2022-11-02-1063','S45-7','xGlNZjwrP', 'SL')
('AC22517-2022-11-01-1002','A56-12','GSOawyR', 'SU')
('AC04652-2022-11-02-1008','A56-18','crdf', 'SU')
('AC12058-2022-11-01-1021','A57-13','yIjnbqcCBWuJ', 'LB')
('AC04652-2022-11-02-1012','A57-4','lx', 'UB')
('AC04652-2022-11-01-1043','A58-17','jLbOnzrdjOixJqU', 'SL')
('AC04652-2022-11-01-1048','A59-4','vszdOgYSxDN', 'UB')
('AC22517-2022-11-01-1016','A57-8','g', 'LB')
('AC04652-2022-11-02-1034','A58-8','qQPcZUdQvh', 'LB')
('AC04652-2022-11-02-1036','A58-10','HLMVXKZRDaKEZM', 'UB')
('SL12058-2022-11-01-1059','S45-3','GLalUNtMSUtOq', 'UB')
('SL12058-2022-11-01-1060','S45-4','cWAHlAsEUwYCM', 'LB')
('SL22517-2022-11-02-1096','S46-16','sdDsbcyq', 'SU')
('SL04652-2022-11-02-1005','S42-21','ovGkPZSZXZqFeqE', 'MB')
('SL04652-2022-11-02-1006','S42-22','CwJgMroaGlhE', 'UB')
('SL04652-2022-11-02-1013','S43-5','ZIPA', 'MB')
('SL04652-2022-11-02-1014','S43-6','T', 'UB')
('AC12058-2022-11-01-1047','A59-3','nyyIdNDXhWEF', 'UB')
('SL04652-2022-11-02-1016','S43-8','Ck', 'SU')
('SL04652-2022-11-01-1053','S44-21','MXR', 'MB')
('SL22517-2022-11-02-1106','S47-2','qYtOappfVRup', 'MB')
('SL22517-2022-11-02-1107','S47-3','VtdENtQkoRfEi', 'UB')
('SL22517-2022-11-01-1070','S45-14','cbJ', 'UB')
('SL04652-2022-11-01-1062','S45-6','DPMID', 'UB')
('SL04652-2022-11-01-1069','S45-13','fmywtNVZvxKGcC', 'MB')
('AC22517-2022-11-01-1058','A59-14','Aui', 'LB')
('SL22517-2022-11-02-1118','S47-14','awBXmDELgYq', 'UB')
('SL04652-2022-11-01-1079','S45-23','edpZaqLWAvorr', 'SL')
('SL04652-2022-11-02-1040','S44-8','LVf', 'SU')
('AC04652-2022-11-01-1095','A61-15','RH', 'UB')
('AC04652-2022-11-01-1101','A62-3','XNbACDfCe', 'UB')
('SL04652-2022-11-02-1051','S44-19','fDzROlufdY', 'UB')
('SL04652-2022-11-02-1052','S44-20','XYHTmVUGb', 'LB')
('SL12058-2022-11-01-1086','S46-6','jOdBQqbJm', 'UB')
('AC12058-2022-11-01-1084','A61-4','Qqciaj', 'UB')
('AC12058-2022-11-01-1086','A61-6','EjQ', 'SU')
('SL04652-2022-11-02-1055','S44-23','SPoXZfuRudNlG', 'SL')
('SL04652-2022-11-01-1092','S46-12','F', 'LB')
('AC04652-2022-11-02-1096','A61-16','UwZzgZEfrPunl', 'UB')
('SL22517-2022-11-01-1119','S47-15','iYztrnmYEoFqp', 'SL')
('SL04652-2022-11-02-1086','S46-6','EW', 'UB')
('SL22517-2022-11-01-1121','S47-17','cgoxIL', 'LB')
('AC22517-2022-11-01-1141','A64-7','dmzTKndtxwqvAO', 'LB')
('AC04652-2022-11-01-1174','A66-4','IiYjycug', 'UB')
('SL22517-2022-11-01-1169','S49-17','Gsxw', 'LB')
('AC04652-2022-11-02-1148','A64-14','MsIAWCJIUQuoVzQy', 'LB')
('SL04652-2022-11-02-1132','S48-4','pnRqbZs', 'LB')
('AC12058-2022-11-01-1157','A65-5','PmVtH', 'SL')
('SL04652-2022-11-02-1138','S48-10','TBsSGRetnXyuYrMq', 'MB')
('SL22517-2022-11-01-1176','S49-24','Kqd', 'SU')
('SL04652-2022-11-01-1171','S49-19','FImrnzBgELtisb', 'UB')
('AC04652-2022-11-02-1160','A65-8','zeyD', 'LB')
('AC22517-2022-11-02-1208','A68-2','A', 'LB')
('SL04652-2022-11-02-1153','S49-1','Bakux', 'LB')
('SL04652-2022-11-01-1183','S50-7','JRrFkto', 'SL')
('AC22517-2022-11-01-1174','A66-4','TKBChkDofeupsZj', 'UB')
('SL04652-2022-11-02-1166','S49-14','a', 'UB')
