('SL04652-2022-11-02-833','S35-17','rLpkXtJUyhB', 'LB')
('SL04652-2022-11-01-1175','S49-23','luhsowd', 'SL')
('AC22517-2022-11-02-1191','A67-3','cBLoAejRNb', 'UB')
('SL04652-2022-11-02-1158','S49-6','dwfqWFS', 'UB')
('AC22517-2022-11-01-1142','A64-8','tTsPveKfhk', 'LB')
('SL04652-2022-11-02-1159','S49-7','Pfjy', 'SL')
('SL04652-2022-11-02-1163','S49-11','humpXe', 'UB')
('SL22517-2022-11-01-1208','S51-8','BmIPDZsKmEzn', 'SU')
('SL22517-2022-11-01-1209','S51-9','SCmdUeldHBl', 'LB')
('AC22517-2022-11-01-1174','A66-4','jopqKagoPzzlzTdv', 'UB')
('AC04652-2022-11-02-1237','A69-13','IkGqvYmporLaNfDW', 'LB')
('SL22517-2022-11-01-1217','S51-17','i', 'LB')
('AC04652-2022-11-01-1202','A67-14','kOnbfTrMU', 'LB')
('AC04652-2022-11-01-1204','A67-16','RREwwRfpXkZOR', 'UB')
('AC22517-2022-11-01-1183','A66-13','ImAelIPipm', 'LB')
('AC12058-2022-11-01-1159','A65-7','L', 'LB')
('AC04652-2022-11-02-1244','A70-2','uclarnDom', 'LB')
('SL22517-2022-11-01-1218','S51-18','PaVaGmhhYAnzJDb', 'MB')
('AC04652-2022-11-01-1207','A68-1','LcYnUJUxsH', 'LB')
('AC22517-2022-11-01-1187','A66-17','RgukKaRLXEyFDlu', 'SL')
('AC12058-2022-11-01-1164','A65-12','hBsGvIutTspFr', 'SU')
('SL22517-2022-11-01-1219','S51-19','cxEthHdqCWJegHWF', 'UB')
('AC12058-2022-11-01-1167','A65-15','floYAPmgwWvfo', 'UB')
('SL22517-2022-11-01-1221','S51-21','XTlokytJpUYU', 'MB')
('AC12058-2022-11-01-1170','A65-18','gaZpWxDRM', 'SU')
('SL22517-2022-11-02-1215','S51-15','SgtiowbWbivdTT', 'SL')
('SL04652-2022-11-01-1216','S51-16','JcbORfVDHKd', 'SU')
('AC04652-2022-11-01-1215','A68-9','SVYMAtmB', 'UB')
('SL12058-2022-11-01-1196','S50-20','rGmHLVvKauNgNmY', 'LB')
('AC12058-2022-11-01-1177','A66-7','SpwDDGNAPNuPiq', 'LB')
('SL04652-2022-11-01-1222','S51-22','pBoihZHMwXgNOD', 'UB')
('AC12058-2022-11-01-1180','A66-10','mcwomrDncXUjHl', 'UB')
('AC04652-2022-11-02-1262','A71-2','FcPSmeXjFJgguJt', 'LB')
('AC22517-2022-11-02-1234','A69-10','JqhL', 'UB')
('SL04652-2022-11-02-1215','S51-15','itQjuJofAxVwRx', 'SL')
('SL12058-2022-11-01-1203','S51-3','xMFNnlcw', 'UB')
('AC04652-2022-11-01-1234','A69-10','zDvG', 'UB')
('SL22517-2022-11-02-1234','S52-10','aUgrmeJpfs', 'MB')
('SL04652-2022-11-01-1233','S52-9','Cj', 'LB')
('AC22517-2022-11-01-1208','A68-2','QSjtleMcox', 'LB')
('AC22517-2022-11-02-1247','A70-5','EYmVOkklGEVktjP', 'SL')
('SL22517-2022-11-01-1292','S54-20','HaUTsHeU', 'LB')
('AC22517-2022-11-02-1282','A72-4','zqLF', 'UB')
('SL22517-2022-11-02-1279','S54-7','fQ', 'SL')
('SL22517-2022-11-01-1307','S55-11','HliqGNZ', 'UB')
('AC04652-2022-11-02-1326','A74-12','xvbXEDcRrWMQdzf', 'SU')
('AC04652-2022-11-01-1306','A73-10','hxIcAKLGw', 'UB')
('AC12058-2022-11-01-1256','A70-14','R', 'LB')
('SL04652-2022-11-02-1292','S54-20','LptTe', 'LB')
('SL22517-2022-11-01-1314','S55-18','hplTVUSAh', 'MB')
('SL12058-2022-11-01-1263','S53-15','pDHlVsWguPswtJUm', 'SL')
('AC04652-2022-11-02-1331','A74-17','JqOzCGvkqyg', 'SL')
('AC04652-2022-11-01-1318','A74-4','trSAOkknwLPYiNv', 'UB')
('AC22517-2022-11-01-1283','A72-5','h', 'SL')
('SL04652-2022-11-01-1302','S55-6','wiAZaynm', 'UB')
('AC22517-2022-11-02-1301','A73-5','kXpYiWLhLVD', 'SL')
('SL22517-2022-11-01-1327','S56-7','nvhKyO', 'SL')
('SL22517-2022-11-01-1328','S56-8','tc', 'SU')
('SL04652-2022-11-01-1307','S55-11','mcJsBAbwfBVBp', 'UB')
('SL22517-2022-11-02-1300','S55-4','vwRuJiW', 'LB')
('SL04652-2022-11-02-1310','S55-14','x', 'UB')
('AC04652-2022-11-01-1323','A74-9','HmuTbRfkgo', 'UB')
('AC12058-2022-11-01-1273','A71-13','Eyh', 'LB')
('SL12058-2022-11-01-1276','S54-4','Fpr', 'LB')
('SL04652-2022-11-02-1326','S56-6','mXVCKKLPUACX', 'UB')
('SL04652-2022-11-02-1327','S56-7','Nwnc', 'SL')
('AC04652-2022-11-02-1352','A76-2','QuwlzEGuoDwAVGRo', 'LB')
('AC22517-2022-11-01-1307','A73-11','RuBPJvyBYxRnr', 'SL')
('AC12058-2022-11-01-1291','A72-13','Et', 'LB')
('SL04652-2022-11-02-1329','S56-9','mKPkyGVDOcHG', 'LB')
('SL04652-2022-11-02-1330','S56-10','mlklVyAtRbzTMK', 'MB')
('SL04652-2022-11-01-1324','S56-4','ItTjaTKOdAmnkGXd', 'LB')
('AC12058-2022-11-01-1292','A72-14','RdGkz', 'LB')
('AC04652-2022-11-02-1357','A76-7','MvaUY', 'LB')
('SL22517-2022-11-01-1368','S57-24','cCgSfAra', 'SU')
('AC04652-2022-11-02-1383','A77-15','IHHMGEDrJk', 'UB')
('SL04652-2022-11-01-1346','S57-2','ftOKXXhim', 'MB')
('AC04652-2022-11-02-1386','A77-18','Z', 'SU')
('AC04652-2022-11-01-1378','A77-10','mlknVuR', 'UB')
('SL04652-2022-11-01-1352','S57-8','DlAFfvXhhhcC', 'SU')
('SL22517-2022-11-01-1372','S58-4','ffHrPDrR', 'LB')
('AC22517-2022-11-01-1336','A75-4','eHTLZF', 'UB')
('AC04652-2022-11-02-1390','A78-4','EtHeEKCAOFRRQyf', 'UB')
('AC22517-2022-11-01-1337','A75-5','j', 'SL')
('AC22517-2022-11-01-1338','A75-6','NTdxw', 'SU')
('AC04652-2022-11-01-1383','A77-15','AzddSmZPiA', 'UB')
('AC22517-2022-11-02-1345','A75-13','jQ', 'LB')
('AC22517-2022-11-02-1346','A75-14','aJGSh', 'LB')
('SL04652-2022-11-01-1357','S57-13','k', 'MB')
('AC04652-2022-11-02-1397','A78-11','IIsURVZmwfctiA', 'SL')
('SL04652-2022-11-01-1358','S57-14','XfKwl', 'UB')
('AC22517-2022-11-01-1344','A75-12','oFqjEMU', 'SU')
('AC12058-2022-11-01-1346','A75-14','vqQtyf', 'LB')
('SL04652-2022-11-01-1359','S57-15','RIj', 'SL')
('SL04652-2022-11-02-1373','S58-5','FsarpmTI', 'MB')
('SL04652-2022-11-02-1374','S58-6','E', 'UB')
('SL22517-2022-11-01-1409','S59-17','qHiEKTOqSqQ', 'LB')
('SL22517-2022-11-02-1385','S58-17','VrGP', 'LB')
('AC22517-2022-11-02-1391','A78-5','WonHutzEEvvImS', 'SL')
('AC04652-2022-11-01-1439','A80-17','R', 'SL')
('SL04652-2022-11-01-1404','S59-12','qFVnDrskVfsXFQpw', 'LB')
('SL22517-2022-11-02-1412','S59-20','KEELkaypBBYfLRg', 'LB')
('AC04652-2022-11-01-1449','A81-9','QxfpqYmEddWeRZBu', 'UB')
('SL12058-2022-11-01-1383','S58-15','MhQKDCGYUzctVo', 'SL')
('SL12058-2022-11-01-1385','S58-17','E', 'LB')
('AC04652-2022-11-01-1457','A81-17','XeGQsW', 'SL')
('SL12058-2022-11-01-1387','S58-19','wEFitPzSST', 'UB')
('AC04652-2022-11-02-1458','A81-18','WqrRI', 'SU')
('AC22517-2022-11-01-1410','A79-6','CqsOImPWzZ', 'SU')
('SL22517-2022-11-01-1479','S62-15','fyUhJeMwkx', 'SL')
('SL22517-2022-11-02-1499','S63-11','fIeTYwoIXBdWw', 'UB')
('SL12058-2022-11-01-1471','S62-7','Ll', 'SL')
('SL04652-2022-11-02-1513','S64-1','TYBtWRXGt', 'LB')
('SL22517-2022-11-02-1506','S63-18','VrAoObg', 'MB')
('SL04652-2022-11-01-1507','S63-19','Og', 'UB')
('AC12058-2022-11-01-1492','A83-16','JnxUM', 'UB')
('AC22517-2022-11-02-1517','A85-5','SuDMxmNAgoKvZ', 'SL')
('AC04652-2022-11-02-1539','A86-9','AObWfb', 'UB')
('SL04652-2022-11-02-1522','S64-10','xcEddfDZkDVOBU', 'MB')
('SL22517-2022-11-02-1514','S64-2','V', 'MB')
('SL04652-2022-11-01-1514','S64-2','apGRgdiqB', 'MB')
('SL04652-2022-11-02-1523','S64-11','lSxABfxq', 'UB')
('AC22517-2022-11-01-1512','A84-18','KvHtFSE', 'SU')
('AC22517-2022-11-02-1521','A85-9','DQUUJSciHjzREqgH', 'UB')
('AC12058-2022-11-01-1499','A84-5','jwOIbWdsbuIQAKM', 'SL')
('SL04652-2022-11-02-1526','S64-14','qThwMAmJYckDo', 'UB')
('AC22517-2022-11-02-1523','A85-11','OatablCckHzh', 'SL')
('SL22517-2022-11-02-1523','S64-11','s', 'UB')
('AC22517-2022-11-01-1519','A85-7','z', 'LB')
('AC22517-2022-11-01-1520','A85-8','EhlaJDaP', 'LB')
('AC04652-2022-11-01-1555','A87-7','Rtq', 'LB')
('AC22517-2022-11-01-1521','A85-9','bqBgWVT', 'UB')
('SL22517-2022-11-02-1526','S64-14','FNKO', 'UB')
('SL04652-2022-11-02-1530','S64-18','jMZWyAbFQGjOZ', 'MB')
('SL12058-2022-11-01-1493','S63-5','w', 'MB')
('AC04652-2022-11-01-1557','A87-9','rSZuL', 'UB')
('SL04652-2022-11-02-1532','S64-20','WC', 'LB')
('AC04652-2022-11-02-1555','A87-7','jpZrEUt', 'LB')
('AC04652-2022-11-01-1560','A87-12','CMTqxDDSUVqHV', 'SU')
('AC22517-2022-11-02-1537','A86-7','GZbmarWv', 'LB')
('SL12058-2022-11-01-1502','S63-14','PcFdperf', 'UB')
('AC04652-2022-11-01-1563','A87-15','HTdgaaAOyZNM', 'UB')
('AC22517-2022-11-01-1531','A86-1','IRTBmGtIW', 'LB')
('SL04652-2022-11-02-1536','S64-24','UweCSenlpbif', 'SU')
('SL04652-2022-11-01-1534','S64-22','HSoDiccw', 'UB')
('AC12058-2022-11-01-1520','A85-8','ayIWrqPXMpAmFLjv', 'LB')
('SL04652-2022-11-01-1536','S64-24','JcCHnPIVWILYiD', 'SU')
('SL12058-2022-11-01-1504','S63-16','O', 'SU')
('SL04652-2022-11-01-1538','S65-2','nQPIJAJcufA', 'MB')
('SL12058-2022-11-01-1505','S63-17','ouf', 'LB')
('SL22517-2022-11-01-1555','S65-19','svkaXcYJitqJKZBM', 'UB')
('SL12058-2022-11-01-1507','S63-19','GcCCa', 'UB')
('AC22517-2022-11-02-1544','A86-14','ZLRfVLHJQZlr', 'LB')
('AC04652-2022-11-01-1570','A88-4','MJFkWSvb', 'UB')
('SL04652-2022-11-02-1541','S65-5','ICAVxHjIlidA', 'MB')
('AC22517-2022-11-01-1542','A86-12','oYwhgC', 'SU')
('AC04652-2022-11-02-1566','A87-18','fAmiMMkYPDDxFhrG', 'SU')
('SL22517-2022-11-02-1545','S65-9','N', 'LB')
('AC04652-2022-11-02-1571','A88-5','CaDupnAWuaq', 'SL')
('SL04652-2022-11-01-1545','S65-9','Emco', 'LB')
('AC22517-2022-11-02-1552','A87-4','msxilfDZaW', 'UB')
('SL22517-2022-11-02-1549','S65-13','elUCXUx', 'MB')
('AC22517-2022-11-01-1563','A87-15','NctYU', 'UB')
('AC12058-2022-11-01-1545','A86-15','uVg', 'UB')
('AC22517-2022-11-01-1564','A87-16','zMNTXSVlUdEELP', 'UB')
('AC22517-2022-11-01-1565','A87-17','uNNsm', 'SL')
('AC04652-2022-11-01-1598','A89-14','LolfDMXWBHk', 'LB')
('AC04652-2022-11-02-1585','A89-1','Pi', 'LB')
('SL04652-2022-11-02-1570','S66-10','tTTF', 'MB')
('SL04652-2022-11-01-1566','S66-6','zqPDpzDRQb', 'UB')
('SL12058-2022-11-01-1551','S65-15','xp', 'SL')
('AC04652-2022-11-02-1611','A90-9','LpzvkGRJZi', 'UB')
('SL12058-2022-11-01-1564','S66-4','CcJbuwksBpNspqg', 'LB')
('SL22517-2022-11-01-1606','S67-22','H', 'UB')
('SL12058-2022-11-01-1566','S66-6','aGGHPQjaRAPrwxwl', 'UB')
('SL04652-2022-11-02-1585','S67-1','pSUhDXemTxuU', 'LB')
('SL22517-2022-11-02-1585','S67-1','IO', 'LB')
('SL04652-2022-11-01-1586','S67-2','XHf', 'MB')
('AC22517-2022-11-01-1601','A89-17','RhnZfvdvTSjdu', 'SL')
('SL04652-2022-11-02-1587','S67-3','CsPBtzZMoVxKn', 'UB')
('AC04652-2022-11-02-1623','A91-3','U', 'UB')
('SL22517-2022-11-01-1615','S68-7','xvOINzm', 'SL')
('AC04652-2022-11-02-1624','A91-4','HaCETe', 'UB')
('AC04652-2022-11-01-1628','A91-8','KRdfhVfjDxv', 'LB')
('AC22517-2022-11-02-1604','A90-2','ZZGELrNkS', 'LB')
('AC04652-2022-11-01-1672','A93-16','rAwSdH', 'UB')
('AC22517-2022-11-01-1651','A92-13','wiHGkbyfTKxlhT', 'LB')
('AC04652-2022-11-02-1655','A92-17','zMJtdcxgARC', 'SL')
('AC04652-2022-11-01-1676','A94-2','rzEEqggjleC', 'LB')
('AC12058-2022-11-01-1623','A91-3','dPL', 'UB')
('SL04652-2022-11-02-1641','S69-9','hPnqwhqnrEXR', 'LB')
('SL04652-2022-11-01-1639','S69-7','i', 'SL')
('SL12058-2022-11-01-1603','S67-19','PEkpSyFmgpmlsjj', 'UB')
('SL04652-2022-11-02-1642','S69-10','ipVSp', 'MB')
('AC22517-2022-11-01-1658','A93-2','nKXobanba', 'LB')
('AC22517-2022-11-02-1640','A92-2','nuqvWpnmP', 'LB')
('SL12058-2022-11-01-1606','S67-22','UGRUFPA', 'UB')
('SL04652-2022-11-01-1643','S69-11','rSNOQ', 'UB')
('SL22517-2022-11-02-1634','S69-2','NmzEpyekG', 'MB')
('SL04652-2022-11-02-1645','S69-13','gNKlbqjrTplwGBRT', 'MB')
('SL12058-2022-11-01-1610','S68-2','mLSYnLscGnjHhTP', 'MB')
('AC22517-2022-11-01-1660','A93-4','cRKGVbwSnD', 'UB')
('AC22517-2022-11-01-1714','A96-4','DKjNRcr', 'UB')
('SL12058-2022-11-01-1661','S70-5','bHniXfiAcXo', 'MB')
('SL04652-2022-11-02-1698','S71-18','KlpXzVESINdGStRY', 'MB')
('AC22517-2022-11-01-1741','A97-13','R', 'LB')
('SL04652-2022-11-01-1698','S71-18','SJEXWsfcjPtAx', 'MB')
('SL22517-2022-11-01-1717','S72-13','fGhp', 'MB')
('AC04652-2022-11-01-1770','A99-6','FGH', 'SU')
('SL04652-2022-11-02-1721','S72-17','cdbDmlMhdK', 'LB')
('SL22517-2022-11-02-1696','S71-16','ro', 'SU')
('AC04652-2022-11-02-1728','A96-18','WFRFhXEaNG', 'SU')
('SL22517-2022-11-01-1722','S72-18','Ovj', 'MB')
('AC22517-2022-11-02-1718','A96-8','KokRyUAossoZiT', 'LB')
('SL04652-2022-11-02-1727','S72-23','oxKOd', 'SL')
('SL04652-2022-11-01-1704','S71-24','upTbAKobzJZM', 'SU')
('AC22517-2022-11-01-1751','A98-5','uHhvKsdfe', 'SL')
('AC12058-2022-11-01-1741','A97-13','jJPJ', 'LB')
('SL22517-2022-11-01-1800','S75-24','LeEcLNtp', 'SU')
('AC12058-2022-11-01-1770','A99-6','RyoclfLwbeFl', 'SU')
('SL22517-2022-11-02-1779','S75-3','uaowsQMuYfLFOtJ', 'UB')
('SL12058-2022-11-01-1761','S74-9','UzZkcVZKR', 'LB')
('SL04652-2022-11-01-1800','S75-24','OjLfEBEUdVpd', 'SU')
('SL04652-2022-11-02-1801','S76-1','cPRZrkP', 'LB')
('AC04652-2022-11-01-1863','A104-9','uRuhrxjeLyZpVgp', 'UB')
('AC04652-2022-11-01-1864','A104-10','douhFABS', 'UB')
('SL04652-2022-11-02-1802','S76-2','EytscNdFQRNpBhU', 'MB')
('AC22517-2022-11-01-1839','A103-3','IwfAnioCB', 'UB')
('AC12058-2022-11-01-1784','A100-2','BNjWTmgHzOohCrs', 'LB')
('SL04652-2022-11-02-1805','S76-5','rjpwcDeAqMwrBRa', 'MB')
('AC22517-2022-11-01-1843','A103-7','yjltj', 'LB')
('SL22517-2022-11-01-1819','S76-19','LoFg', 'UB')
('AC04652-2022-11-02-1825','A102-7','qHred', 'LB')
('AC04652-2022-11-01-1871','A104-17','QoCXJum', 'SL')
('SL04652-2022-11-01-1810','S76-10','EhCBlcjGA', 'MB')
('AC12058-2022-11-01-1792','A100-10','wtkuCk', 'UB')
('AC22517-2022-11-02-1801','A101-1','vKPsyC', 'LB')
('AC22517-2022-11-01-1848','A103-12','pxggIdzMmbzuFUNB', 'SU')
('SL04652-2022-11-02-1815','S76-15','ySbwzeldQg', 'SL')
('AC04652-2022-11-02-1831','A102-13','XbgqppOVooa', 'LB')
('SL22517-2022-11-01-1845','S77-21','QktWKLwezALoy', 'MB')
('AC22517-2022-11-02-1833','A102-15','NKjpRyk', 'UB')
('SL04652-2022-11-01-1842','S77-18','RYffOulTayxCQzD', 'MB')
('SL04652-2022-11-02-1853','S78-5','KukFVqrFJnXLD', 'MB')
('SL22517-2022-11-01-1865','S78-17','HyJParzfC', 'LB')
('AC04652-2022-11-01-1921','A107-13','LJbZjZmYxfv', 'LB')
('SL22517-2022-11-01-1869','S78-21','AwIw', 'MB')
('AC04652-2022-11-01-1961','A109-17','hJSqIQIlnAHeB', 'SL')
('AC04652-2022-11-02-1897','A106-7','S', 'LB')
('SL22517-2022-11-01-1918','S80-22','gQnQjT', 'UB')
('SL22517-2022-11-02-1874','S79-2','rhIvCEISiaVjutG', 'MB')
('AC04652-2022-11-01-2023','A113-7','LegiSx', 'LB')
('AC22517-2022-11-02-1930','A108-4','TiCfvrKDpCrMS', 'UB')
('SL12058-2022-11-01-1973','S83-5','cnQRwZuun', 'MB')
('SL12058-2022-11-01-1974','S83-6','GKnhBJ', 'UB')
('AC22517-2022-11-02-1981','A111-1','lfuT', 'LB')
('AC04652-2022-11-01-2079','A116-9','v', 'UB')
('SL04652-2022-11-02-2018','S85-2','mSEvekYwIGAIMb', 'MB')
('AC04652-2022-11-02-1998','A111-18','EL', 'SU')
('AC22517-2022-11-02-1990','A111-10','FyDQwVSHW', 'UB')
('SL04652-2022-11-02-2021','S85-5','JLCRDdsbiVzAJHnM', 'MB')
('AC12058-2022-11-01-2002','A112-4','BHkw', 'UB')
('SL22517-2022-11-01-2028','S85-12','gSJhcZSH', 'LB')
('SL04652-2022-11-02-2034','S85-18','QycQscKdZiQt', 'MB')
('SL22517-2022-11-01-2031','S85-15','ekBaMuQ', 'SL')
('AC12058-2022-11-01-2013','A112-15','dtfEvzaZ', 'UB')
('AC22517-2022-11-01-2083','A116-13','yQLzaOw', 'LB')
('AC22517-2022-11-01-2084','A116-14','I', 'LB')
('SL04652-2022-11-02-2062','S86-22','NCLMrieZglmESUs', 'UB')
('SL22517-2022-11-01-2071','S87-7','kGezPZ', 'SL')
('AC22517-2022-11-02-2109','A118-3','MelJIwfQOuDZWR', 'UB')
('SL12058-2022-11-01-2088','S87-24','Nagn', 'SU')
('SL22517-2022-11-01-2137','S90-1','VGbusFFj', 'LB')
('SL04652-2022-11-01-2102','S88-14','KQMDbdzgayKwPwEX', 'UB')
('SL22517-2022-11-01-2146','S90-10','SYKlU', 'MB')
('AC22517-2022-11-02-2119','A118-13','XTYbUNvAJ', 'LB')
('AC22517-2022-11-02-2120','A118-14','tZkHGh', 'LB')
('SL22517-2022-11-01-2148','S90-12','a', 'LB')
('SL04652-2022-11-01-2112','S88-24','CdxRKMjjaGVxJU', 'SU')
('SL22517-2022-11-02-2134','S89-22','hbneVniDFLlhaZ', 'UB')
('AC04652-2022-11-02-2124','A118-18','wGVUk', 'SU')
('AC04652-2022-11-01-2219','A124-5','KJMKftF', 'SL')
('AC12058-2022-11-01-2126','A119-2','zLI', 'LB')
('SL22517-2022-11-01-2154','S90-18','NtAIgmWKRXg', 'MB')
('AC22517-2022-11-01-2167','A121-7','sPJ', 'LB')
('AC12058-2022-11-01-2132','A119-8','MllIwtIjfRgWPr', 'LB')
('AC12058-2022-11-01-2133','A119-9','rsSEvldpWrhHI', 'UB')
('AC22517-2022-11-01-2172','A121-12','eRc', 'SU')
('SL04652-2022-11-01-2121','S89-9','DEML', 'LB')
('SL22517-2022-11-01-2165','S91-5','QOYva', 'MB')
('AC22517-2022-11-02-2138','A119-14','FwHhmvsGTP', 'LB')
('AC22517-2022-11-01-2182','A122-4','pGeVnFlfF', 'UB')
('AC12058-2022-11-01-2146','A120-4','JVzxFQFWqxK', 'UB')
('SL12058-2022-11-01-2112','S88-24','AWou', 'SU')
('SL12058-2022-11-01-2114','S89-2','TrDhzxrmIbh', 'MB')
('SL04652-2022-11-01-2130','S89-18','jIKIreFybTALCsup', 'MB')
('AC22517-2022-11-02-2144','A120-2','ysWpaaxy', 'LB')
('SL04652-2022-11-01-2131','S89-19','cRyPXymMGP', 'UB')
('AC22517-2022-11-01-2186','A122-8','ze', 'LB')
('SL22517-2022-11-02-2153','S90-17','xfuukBf', 'LB')
('AC22517-2022-11-02-2165','A121-5','w', 'SL')
('SL22517-2022-11-01-2184','S91-24','omahLgfAto', 'SU')
('SL04652-2022-11-02-2181','S91-21','YkGwH', 'MB')
('AC04652-2022-11-01-2264','A126-14','tqEhLRiCKFT', 'LB')
('SL12058-2022-11-01-2132','S89-20','KVJRQwgHncCmbzc', 'LB')
('AC22517-2022-11-02-2170','A121-10','OGFSglMiY', 'UB')
