('SL22517-2022-11-02-4','S1-4','UAqhzrzGlBLqSGP', 'LB')
('AC04652-2022-11-02-21','A2-3','sNF', 'UB')
('AC22517-2022-11-02-22','A2-4','C', 'UB')
('SL04652-2022-11-01-28','S2-4','DTaoMxdpO', 'LB')
('SL04652-2022-11-01-29','S2-5','aNLeL', 'MB')
('SL22517-2022-11-02-15','S1-15','ZkLOZmWJpvXzcouD', 'SL')
('SL22517-2022-11-01-22','S1-22','pSQPbC', 'UB')
('AC12058-2022-11-01-21','A2-3','keqG', 'UB')
('SL04652-2022-11-02-28','S2-4','xw', 'LB')
('SL04652-2022-11-01-33','S2-9','kXbHKtAXVtlgqGmh', 'LB')
('SL04652-2022-11-02-29','S2-5','miK', 'MB')
('SL04652-2022-11-02-30','S2-6','HnjqII', 'UB')
('AC04652-2022-11-01-32','A2-14','NCWfinXetCdelnz', 'LB')
('SL22517-2022-11-01-23','S1-23','WimhMgPPEHFlG', 'SL')
('AC12058-2022-11-01-22','A2-4','bSMsnT', 'UB')
('AC22517-2022-11-02-30','A2-12','QHPPiP', 'SU')
('SL04652-2022-11-01-36','S2-12','jmruEsfW', 'LB')
('SL12058-2022-11-01-27','S2-3','GcttrQAOlakjfPXs', 'UB')
('AC22517-2022-11-01-28','A2-10','WWKQpqs', 'UB')
('SL04652-2022-11-02-33','S2-9','rQtY', 'LB')
('SL22517-2022-11-01-25','S2-1','QJzlwByGzwP', 'LB')
('SL22517-2022-11-02-23','S1-23','dxBWPObY', 'SL')
('SL22517-2022-11-01-26','S2-2','DznPmSuxemAM', 'MB')
('SL12058-2022-11-01-31','S2-7','F', 'SL')
('SL12058-2022-11-01-32','S2-8','IAfxeL', 'SU')
('SL12058-2022-11-01-33','S2-9','FDK', 'LB')
('AC04652-2022-11-02-25','A2-7','NziuHhWMbbn', 'LB')
('AC22517-2022-11-02-34','A2-16','bNSbLjcLgO', 'UB')
('AC12058-2022-11-01-31','A2-13','PSCt', 'LB')
('SL22517-2022-11-02-24','S1-24','wLKuogXOlRlO', 'SU')
('SL22517-2022-11-01-28','S2-4','Xrc', 'LB')
('AC22517-2022-11-01-36','A2-18','sqE', 'SU')
('AC12058-2022-11-01-33','A2-15','cJztWYUsNO', 'UB')
('AC04652-2022-11-02-28','A2-10','vThKcBJPaxlMVzc', 'UB')
('SL22517-2022-11-01-31','S2-7','fXXmNxwVt', 'SL')
('SL12058-2022-11-01-38','S2-14','LqFxXdQHBVRJydw', 'UB')
('SL22517-2022-11-01-32','S2-8','AuYtfhTkJVnIXir', 'SU')
('AC12058-2022-11-01-35','A2-17','SjGxyFAsAlYj', 'SL')
('AC04652-2022-11-02-32','A2-14','BXxcPJWV', 'LB')
('SL22517-2022-11-01-35','S2-11','APEffTlhJei', 'UB')
('SL04652-2022-11-02-44','S2-20','UsnPZPktoSJcDZ', 'LB')
('SL04652-2022-11-01-46','S2-22','LckUkpoGDRkbvW', 'UB')
('SL04652-2022-11-01-47','S2-23','ORGCmjhUPVmns', 'SL')
('SL04652-2022-11-02-45','S2-21','vOk', 'MB')
('SL22517-2022-11-02-32','S2-8','fobpcGXyWuLBaCs', 'SU')
('SL22517-2022-11-01-40','S2-16','z', 'SU')
('SL22517-2022-11-01-41','S2-17','FMatjJXasE', 'LB')
('SL04652-2022-11-02-46','S2-22','XEXdkZZkUKzVKi', 'UB')
('AC04652-2022-11-02-36','A2-18','adhxlVRUE', 'SU')
('SL12058-2022-11-01-43','S2-19','fbMBQxKY', 'UB')
('SL04652-2022-11-01-49','S3-1','dVKIboZYQn', 'LB')
('AC22517-2022-11-01-45','A3-9','OoWLkrJK', 'UB')
('AC22517-2022-11-02-42','A3-6','GqypFLV', 'SU')
('SL04652-2022-11-02-48','S2-24','YCRClw', 'SU')
('AC22517-2022-11-02-46','A3-10','WCBx', 'UB')
('AC12058-2022-11-01-42','A3-6','PtrmjDSXEcyP', 'SU')
('AC22517-2022-11-02-50','A3-14','eZWdcUEyAnt', 'LB')
('SL22517-2022-11-02-38','S2-14','bnjSWOR', 'UB')
('AC22517-2022-11-02-51','A3-15','yCVvzt', 'UB')
('SL04652-2022-11-02-50','S3-2','GYR', 'MB')
('SL04652-2022-11-01-59','S3-11','xJUovAVgYBNKtrib', 'UB')
('SL04652-2022-11-01-60','S3-12','sux', 'LB')
('AC22517-2022-11-02-52','A3-16','XVdFWyTrVn', 'UB')
('AC04652-2022-11-01-52','A3-16','Mt', 'UB')
('SL04652-2022-11-02-51','S3-3','WsJ', 'UB')
('AC04652-2022-11-02-46','A3-10','CVqUibrxDXihrH', 'UB')
('AC04652-2022-11-01-53','A3-17','ve', 'SL')
('SL04652-2022-11-02-55','S3-7','SRvcHyXaereEhOP', 'SL')
('SL22517-2022-11-02-41','S2-17','nETOUVX', 'LB')
('SL22517-2022-11-02-42','S2-18','QjMtFuBf', 'MB')
('AC04652-2022-11-02-50','A3-14','hZmZbeiocnvKoU', 'LB')
('AC04652-2022-11-01-54','A3-18','kWPAuhJYzSX', 'SU')
('SL04652-2022-11-02-59','S3-11','yGWlFbhcYOji', 'UB')
('AC22517-2022-11-01-56','A4-2','hnATJf', 'LB')
('SL04652-2022-11-02-60','S3-12','UNDgJPLvGK', 'LB')
('SL04652-2022-11-02-61','S3-13','AAvrSlmBofDzda', 'MB')
('SL12058-2022-11-01-53','S3-5','AsrfXBOXH', 'MB')
('AC04652-2022-11-01-61','A4-7','oSOCVIuQmJdQrHpd', 'LB')
('SL22517-2022-11-01-49','S3-1','xjarD', 'LB')
('SL04652-2022-11-01-66','S3-18','hvs', 'MB')
('AC12058-2022-11-01-51','A3-15','lBImQHZfbO', 'UB')
('SL22517-2022-11-02-47','S2-23','FRCnyfNWDgdGY', 'SL')
('SL22517-2022-11-02-48','S2-24','XPTMDoXBL', 'SU')
('AC12058-2022-11-01-52','A3-16','RDfUxnCnoFTva', 'UB')
('SL22517-2022-11-01-51','S3-3','FU', 'UB')
('AC12058-2022-11-01-54','A3-18','vDFb', 'SU')
('SL12058-2022-11-01-61','S3-13','sYZEhAppJ', 'MB')
('AC12058-2022-11-01-55','A4-1','BqS', 'LB')
('AC04652-2022-11-01-65','A4-11','lPGdLizfFBh', 'SL')
('SL12058-2022-11-01-63','S3-15','hwFMOSHkTrhJZqIV', 'SL')
('AC22517-2022-11-02-59','A4-5','CUFfOkIlFxuLGetS', 'SL')
('AC22517-2022-11-01-62','A4-8','CjJBfoV', 'LB')
('AC22517-2022-11-01-63','A4-9','oz', 'UB')
('SL04652-2022-11-02-72','S3-24','yqjQ', 'SU')
('SL04652-2022-11-01-72','S3-24','mzuCoVymJPf', 'SU')
('SL22517-2022-11-01-56','S3-8','jaSdBz', 'SU')
('SL12058-2022-11-01-64','S3-16','SUHpwbGcqbVxhA', 'SU')
('AC12058-2022-11-01-61','A4-7','DTKMX', 'LB')
('AC04652-2022-11-02-60','A4-6','IcZHjkY', 'SU')
('AC22517-2022-11-02-62','A4-8','PMsxOVwQjtz', 'LB')
('AC04652-2022-11-02-62','A4-8','OvK', 'LB')
('AC04652-2022-11-01-74','A5-2','fJFmXembvV', 'LB')
('SL04652-2022-11-01-79','S4-7','ZjD', 'SL')
('SL22517-2022-11-01-64','S3-16','MXIBEsHx', 'SU')
('SL04652-2022-11-02-78','S4-6','KGsqoYxfQalD', 'UB')
('SL04652-2022-11-02-79','S4-7','WdTMOmsgi', 'SL')
('AC22517-2022-11-02-66','A4-12','mmiwmZlVvquLjw', 'SU')
('SL22517-2022-11-01-67','S3-19','vCtEf', 'UB')
('SL12058-2022-11-01-70','S3-22','BFIsoTzzauKMB', 'UB')
('AC12058-2022-11-01-71','A4-17','hNwnaTlWW', 'SL')
('AC22517-2022-11-02-68','A4-14','M', 'LB')
('SL04652-2022-11-01-82','S4-10','ZTBejQegr', 'MB')
('AC04652-2022-11-01-79','A5-7','YaBtrYFWGEuXy', 'LB')
('SL22517-2022-11-01-75','S4-3','Q', 'UB')
('AC04652-2022-11-01-82','A5-10','ljgCoxTdhbPXafSs', 'UB')
('AC12058-2022-11-01-72','A4-18','rTnqJroBCsLKeR', 'SU')
('SL22517-2022-11-02-60','S3-12','DMqAUyP', 'LB')
('AC04652-2022-11-01-85','A5-13','YDadPdsYeV', 'LB')
('AC22517-2022-11-01-78','A5-6','ZEqXWoF', 'SU')
('SL04652-2022-11-02-91','S4-19','HbDTCseQpi', 'UB')
('SL04652-2022-11-02-92','S4-20','nKFbg', 'LB')
('AC22517-2022-11-02-72','A4-18','kApkllrYjnWSQijy', 'SU')
('AC12058-2022-11-01-82','A5-10','WaAiOecq', 'UB')
('SL22517-2022-11-01-83','S4-11','YzfVo', 'UB')
('AC22517-2022-11-02-74','A5-2','auOpHII', 'LB')
('AC12058-2022-11-01-83','A5-11','Is', 'SL')
('SL04652-2022-11-01-90','S4-18','SRVLRaSh', 'MB')
('SL22517-2022-11-01-86','S4-14','pnJBQImbEC', 'UB')
('SL04652-2022-11-01-91','S4-19','QeiS', 'UB')
('AC04652-2022-11-01-92','A6-2','tFG', 'LB')
('AC04652-2022-11-01-94','A6-4','FDalEzawwligw', 'UB')
('AC04652-2022-11-02-82','A5-10','yEgWgsyib', 'UB')
('AC12058-2022-11-01-85','A5-13','eSimYkjSuun', 'LB')
('AC22517-2022-11-01-85','A5-13','WPebsKAU', 'LB')
('SL04652-2022-11-01-93','S4-21','kFfcj', 'MB')
('AC12058-2022-11-01-86','A5-14','Vr', 'LB')
('SL22517-2022-11-01-89','S4-17','nvtqqVjw', 'LB')
('SL22517-2022-11-02-72','S3-24','C', 'SU')
('AC22517-2022-11-02-78','A5-6','nHhmP', 'SU')
('AC04652-2022-11-01-99','A6-9','UV', 'UB')
('AC22517-2022-11-01-89','A5-17','qFeZAAZlgb', 'SL')
('AC22517-2022-11-01-90','A5-18','OkRNqUpU', 'SU')
('AC22517-2022-11-01-91','A6-1','RPkHFtZzIy', 'LB')
('AC04652-2022-11-02-85','A5-13','qvWHKd', 'LB')
('SL04652-2022-11-02-103','S5-7','pryhjdTKwvxd', 'SL')
('AC22517-2022-11-02-83','A5-11','AqVQyoPxQ', 'SL')
('SL12058-2022-11-01-88','S4-16','dMdpTOIzordoZ', 'SU')
('SL12058-2022-11-01-89','S4-17','RGfHhNne', 'LB')
('AC22517-2022-11-01-95','A6-5','jzYwLXypz', 'SL')
('AC04652-2022-11-02-89','A5-17','luhDYsJKNknpOKW', 'SL')
('SL12058-2022-11-01-91','S4-19','DKgEjpimTagqahq', 'UB')
('AC22517-2022-11-02-87','A5-15','HhuGEWVxXfTI', 'UB')
('SL04652-2022-11-02-108','S5-12','vpUXMwLoxDC', 'LB')
('SL04652-2022-11-02-109','S5-13','V', 'MB')
('SL04652-2022-11-01-105','S5-9','jDvjeJrWslT', 'LB')
('SL22517-2022-11-02-82','S4-10','YKjRgLghpE', 'MB')
('AC22517-2022-11-02-90','A5-18','YDthofcBLaqC', 'SU')
('SL04652-2022-11-01-109','S5-13','rCeKYaiiy', 'MB')
('SL12058-2022-11-01-95','S4-23','mgXDshj', 'SL')
('AC04652-2022-11-01-107','A6-17','ANwvUvGNYdARIGS', 'SL')
('AC04652-2022-11-02-95','A6-5','MrNjfUuRD', 'SL')
('AC04652-2022-11-02-97','A6-7','bpqwhJpH', 'LB')
('SL22517-2022-11-02-85','S4-13','LzcbuvJmFqFq', 'MB')
('SL12058-2022-11-01-100','S5-4','ZatR', 'LB')
('SL04652-2022-11-01-114','S5-18','DUaiP', 'MB')
('AC12058-2022-11-01-107','A6-17','rwjSZizDknF', 'SL')
('SL04652-2022-11-01-116','S5-20','SLxTghse', 'LB')
('AC12058-2022-11-01-108','A6-18','F', 'SU')
('AC04652-2022-11-01-113','A7-5','WMpuisMHmZJ', 'SL')
('AC12058-2022-11-01-109','A7-1','gqFsATXmnNa', 'LB')
('SL22517-2022-11-02-92','S4-20','xK', 'LB')
('AC04652-2022-11-01-116','A7-8','N', 'LB')
('AC22517-2022-11-01-105','A6-15','o', 'UB')
('AC04652-2022-11-02-103','A6-13','ZTc', 'LB')
('SL22517-2022-11-02-94','S4-22','DQcOS', 'UB')
('SL04652-2022-11-01-124','S6-4','gJZascAfAFvVY', 'LB')
('SL22517-2022-11-01-104','S5-8','YzZXm', 'SU')
('AC22517-2022-11-01-107','A6-17','GCC', 'SL')
('SL22517-2022-11-02-96','S4-24','vSekHIzBUlnSLvTm', 'SU')
('SL12058-2022-11-01-106','S5-10','KJ', 'MB')
('AC22517-2022-11-01-108','A6-18','plBmx', 'SU')
('SL04652-2022-11-02-119','S5-23','cHaBoEt', 'SL')
('AC04652-2022-11-02-107','A6-17','rOBuyDvu', 'SL')
('AC12058-2022-11-01-117','A7-9','QboRX', 'UB')
('AC12058-2022-11-01-118','A7-10','azZQXFHHXkuiMs', 'UB')
('SL22517-2022-11-01-111','S5-15','OJnD', 'SL')
('SL04652-2022-11-01-133','S6-13','fLwe', 'MB')
('SL04652-2022-11-02-123','S6-3','QmlaA', 'UB')
('AC22517-2022-11-01-111','A7-3','PrnhDl', 'UB')
('SL12058-2022-11-01-110','S5-14','oV', 'UB')
('SL22517-2022-11-01-113','S5-17','xQhzwbQ', 'LB')
('AC22517-2022-11-02-107','A6-17','pfWObF', 'SL')
('AC22517-2022-11-01-114','A7-6','oVerhzv', 'SU')
('SL12058-2022-11-01-113','S5-17','RlJhogoDKgCNiNM', 'LB')
('AC12058-2022-11-01-124','A7-16','vdBbtEtGjyYrJoHB', 'UB')
('AC04652-2022-11-01-132','A8-6','OMmL', 'SU')
('AC12058-2022-11-01-128','A8-2','tgsiuWKTkPFNYl', 'LB')
('SL04652-2022-11-01-136','S6-16','SHOCcd', 'SU')
('AC04652-2022-11-02-118','A7-10','NjrgWfxs', 'UB')
('SL04652-2022-11-01-137','S6-17','zYclTqbY', 'LB')
('SL22517-2022-11-02-108','S5-12','YlvXiUoq', 'LB')
('AC12058-2022-11-01-135','A8-9','QvZQlTHzG', 'UB')
('SL12058-2022-11-01-119','S5-23','fGpFYnAXWnOEUN', 'SL')
('SL04652-2022-11-01-141','S6-21','gXdrKtfqfsv', 'MB')
('SL04652-2022-11-02-134','S6-14','SZelym', 'UB')
('SL04652-2022-11-02-136','S6-16','IA', 'SU')
('SL22517-2022-11-01-122','S6-2','eYofhenHtpkBvgy', 'MB')
('AC22517-2022-11-01-123','A7-15','hQQEKlvp', 'UB')
('SL04652-2022-11-02-138','S6-18','bnNdt', 'MB')
('AC04652-2022-11-02-128','A8-2','NHqEymeeoqw', 'LB')
('AC04652-2022-11-02-129','A8-3','ffyLADDMsgpkWX', 'UB')
('AC04652-2022-11-02-130','A8-4','qiKKJZpGD', 'UB')
('SL04652-2022-11-02-139','S6-19','zRyMRQgWAGx', 'UB')
('SL04652-2022-11-02-140','S6-20','YPUXlq', 'LB')
('SL12058-2022-11-01-126','S6-6','QssFoJ', 'UB')
('SL04652-2022-11-02-142','S6-22','fNnZjPgzDah', 'UB')
('AC22517-2022-11-01-134','A8-8','DOkOrkpcs', 'LB')
('SL04652-2022-11-01-154','S7-10','eVKlflgucsHntECu', 'MB')
('SL12058-2022-11-01-128','S6-8','Hgz', 'SU')
('SL04652-2022-11-02-147','S7-3','YwhKrNfBCGjdEiFE', 'UB')
('AC04652-2022-11-02-142','A8-16','paShOuDPt', 'UB')
('AC22517-2022-11-01-137','A8-11','OYwWo', 'SL')
('SL12058-2022-11-01-130','S6-10','wqwseFdnBIAEy', 'MB')
('SL22517-2022-11-01-129','S6-9','CDugzyr', 'LB')
('SL04652-2022-11-02-150','S7-6','HmqLtZXDlG', 'UB')
('SL22517-2022-11-02-123','S6-3','wPlciWOU', 'UB')
('SL04652-2022-11-01-158','S7-14','JNPHdogZkJf', 'UB')
('AC22517-2022-11-01-139','A8-13','g', 'LB')
('SL04652-2022-11-01-160','S7-16','jCkDScxSmyxsTN', 'SU')
('AC22517-2022-11-02-133','A8-7','SsxDWwXJVBzD', 'LB')
('AC12058-2022-11-01-150','A9-6','rADyctr', 'SU')
('SL22517-2022-11-01-133','S6-13','qDErzlVBLXqqUmq', 'MB')
('AC22517-2022-11-02-137','A8-11','V', 'SL')
('AC12058-2022-11-01-153','A9-9','SiMf', 'UB')
('AC04652-2022-11-02-149','A9-5','atRCqe', 'SL')
('AC12058-2022-11-01-155','A9-11','hVkwiOWNu', 'SL')
('SL04652-2022-11-01-164','S7-20','kc', 'LB')
('SL04652-2022-11-01-165','S7-21','pGObo', 'MB')
('AC04652-2022-11-01-160','A9-16','RooMyYDmeYwv', 'UB')
('SL22517-2022-11-01-136','S6-16','WYmnMnMqEmwHLtod', 'SU')
('SL22517-2022-11-01-137','S6-17','HdCxVabfliI', 'LB')
('AC12058-2022-11-01-159','A9-15','VXedOpEJa', 'UB')
('SL04652-2022-11-02-159','S7-15','WuxFeZ', 'SL')
('AC22517-2022-11-01-144','A8-18','eFSGZtxGoOLtQ', 'SU')
('SL04652-2022-11-01-167','S7-23','Ks', 'SL')
('SL22517-2022-11-02-133','S6-13','k', 'MB')
('AC04652-2022-11-02-154','A9-10','KQumerfFxrhe', 'UB')
('SL22517-2022-11-02-134','S6-14','oaOnfiE', 'UB')
('SL22517-2022-11-01-141','S6-21','OhtHggkeMTMHpvg', 'MB')
('AC12058-2022-11-01-162','A9-18','w', 'SU')
('SL04652-2022-11-01-169','S8-1','EEhOAKrxfqOuGh', 'LB')
('AC04652-2022-11-01-166','A10-4','FqOobN', 'UB')
('AC22517-2022-11-02-145','A9-1','liH', 'LB')
('SL22517-2022-11-02-136','S6-16','RcxdtH', 'SU')
('SL22517-2022-11-02-137','S6-17','nNCnWjSKLMeMg', 'LB')
('SL22517-2022-11-02-138','S6-18','GCBduuDknKskty', 'MB')
('SL04652-2022-11-01-171','S8-3','OxjwGqgL', 'UB')
('AC12058-2022-11-01-165','A10-3','qsoKesqrYXxvGNfb', 'UB')
('AC22517-2022-11-02-148','A9-4','ztbbXkFoBRxJIE', 'UB')
('AC22517-2022-11-02-149','A9-5','fjMDbYQV', 'SL')
('AC04652-2022-11-02-158','A9-14','AMVafuNU', 'LB')
('AC22517-2022-11-01-148','A9-4','MGRxRZkVTCPaxiP', 'UB')
('AC22517-2022-11-01-149','A9-5','ygaQ', 'SL')
('AC12058-2022-11-01-167','A10-5','kdUqxESAYxarbbhX', 'SL')
('AC22517-2022-11-02-153','A9-9','KbXpZdaCeDblB', 'UB')
('AC12058-2022-11-01-168','A10-6','SSUsCVUQ', 'SU')
('SL22517-2022-11-02-142','S6-22','GtNdZYr', 'UB')
('SL22517-2022-11-01-152','S7-8','QLzrJJMWIEJJL', 'SU')
('AC04652-2022-11-01-178','A10-16','JjBcJ', 'UB')
('SL04652-2022-11-01-174','S8-6','eZgLdmX', 'UB')
('SL04652-2022-11-01-175','S8-7','lrPPNOeE', 'SL')
('SL04652-2022-11-01-176','S8-8','yraloDgkqZCnc', 'SU')
('SL04652-2022-11-01-177','S8-9','cilXgsBNRPb', 'LB')
('AC04652-2022-11-02-166','A10-4','gxJIxUHiyB', 'UB')
('AC22517-2022-11-02-158','A9-14','AYkCOj', 'LB')
('AC04652-2022-11-01-183','A11-3','ASYXNPzEyhAx', 'UB')
('SL04652-2022-11-02-171','S8-3','YheLhAGjFxL', 'UB')
('SL04652-2022-11-01-179','S8-11','qhUYR', 'UB')
('AC22517-2022-11-02-159','A9-15','abpzyUgxuPsQxOYW', 'UB')
('AC12058-2022-11-01-173','A10-11','kEWTrki', 'SL')
('AC12058-2022-11-01-174','A10-12','SMtrumHt', 'SU')
('AC22517-2022-11-01-156','A9-12','warbcAVCtt', 'SU')
('AC04652-2022-11-02-188','A11-8','OUQw', 'LB')
('SL04652-2022-11-02-193','S9-1','IeLlqiSmZjxMwnEl', 'LB')
('SL12058-2022-11-01-181','S8-13','mL', 'MB')
('AC04652-2022-11-02-190','A11-10','siSqv', 'UB')
('SL04652-2022-11-01-200','S9-8','hhYHNsrJN', 'SU')
('SL04652-2022-11-02-196','S9-4','SXeGzijoXGI', 'LB')
('SL12058-2022-11-01-198','S9-6','oesyBihHWpcpKpWp', 'UB')
('SL12058-2022-11-01-272','S12-8','WtjKxWljwhDbmJ', 'SU')
('AC04652-2022-11-01-299','A17-11','GqeSYThmBI', 'SL')
('SL04652-2022-11-02-357','S15-21','YTWphJPLLzB', 'MB')
('SL04652-2022-11-02-358','S15-22','lCuHJbgjghpVU', 'UB')
('SL04652-2022-11-01-373','S16-13','zKgcmGrlrpLS', 'MB')
('SL04652-2022-11-02-361','S16-1','j', 'LB')
('SL12058-2022-11-01-358','S15-22','hPObfsaYIiA', 'UB')
('AC04652-2022-11-01-379','A22-1','FKtUXC', 'LB')
('AC04652-2022-11-01-380','A22-2','FS', 'LB')
('SL12058-2022-11-01-361','S16-1','xWFBtbjRLPzE', 'LB')
('SL04652-2022-11-02-375','S16-15','Dyiv', 'SL')
('SL04652-2022-11-01-386','S17-2','YBQaPBEEXfUazdhq', 'MB')
('SL22517-2022-11-01-383','S16-23','DOdPWMkQtVwjnm', 'SL')
('SL22517-2022-11-01-385','S17-1','dEyAWJdLYbxDsBm', 'LB')
('SL22517-2022-11-01-386','S17-2','tTPuS', 'MB')
('SL22517-2022-11-02-351','S15-15','mrooYQlg', 'SL')
('SL04652-2022-11-01-388','S17-4','tXDZVP', 'LB')
('AC04652-2022-11-02-389','A22-11','FvivlQMyc', 'SL')
('SL12058-2022-11-01-371','S16-11','sFDErMcu', 'UB')
('AC04652-2022-11-01-398','A23-2','VONKLaFeQrOwIKn', 'LB')
('SL22517-2022-11-02-355','S15-19','fuaZsxzdPZ', 'UB')
('AC22517-2022-11-01-366','A21-6','zVoGFjQTYbOnxEf', 'SU')
('SL04652-2022-11-02-381','S16-21','PSwpDKHKruOz', 'MB')
('AC12058-2022-11-01-374','A21-14','O', 'LB')
('SL04652-2022-11-01-392','S17-8','RVsqewB', 'SU')
('AC04652-2022-11-02-399','A23-3','GLGAuQTWOc', 'UB')
('SL22517-2022-11-01-389','S17-5','OHVk', 'MB')
('AC22517-2022-11-01-374','A21-14','wgy', 'LB')
('AC22517-2022-11-01-375','A21-15','XvKdGKmxOK', 'UB')
('SL22517-2022-11-01-391','S17-7','CdGgVkkXOtVcKd', 'SL')
('AC04652-2022-11-01-405','A23-9','DaSybZMECh', 'UB')
('SL22517-2022-11-01-392','S17-8','rVvfZgLDxATS', 'SU')
('SL04652-2022-11-01-398','S17-14','pFisaQMJkBwKwRr', 'UB')
('SL04652-2022-11-02-388','S17-4','FGRYCNxws', 'LB')
('AC22517-2022-11-01-383','A22-5','AYihm', 'SL')
('SL22517-2022-11-02-362','S16-2','FjHygiUs', 'MB')
('AC12058-2022-11-01-377','A21-17','UlntMaSXa', 'SL')
('SL12058-2022-11-01-382','S16-22','NNKzGGvFLWp', 'UB')
('AC04652-2022-11-02-485','A27-17','knryIoVhcJac', 'SL')
('SL22517-2022-11-01-460','S20-4','csBcDuS', 'LB')
('AC04652-2022-11-01-481','A27-13','iZIuxiOylPKp', 'LB')
('AC22517-2022-11-02-464','A26-14','uzhbBvQxjZprk', 'LB')
('AC04652-2022-11-02-487','A28-1','hYLoMfASSitg', 'LB')
('AC04652-2022-11-02-488','A28-2','sfZ', 'LB')
('SL04652-2022-11-01-484','S21-4','ccRKu', 'LB')
('AC22517-2022-11-02-467','A26-17','MwojoYV', 'SL')
('SL04652-2022-11-01-486','S21-6','t', 'UB')
('SL04652-2022-11-02-471','S20-15','GSBnIaCRYZKXfmA', 'SL')
('AC12058-2022-11-01-447','A25-15','CCMVcERhEWgq', 'UB')
('AC22517-2022-11-01-449','A25-17','EKbWgVXlEY', 'SL')
('AC04652-2022-11-01-486','A27-18','ZGZfrgKYZzc', 'SU')
('SL22517-2022-11-02-448','S19-16','EwgABkqega', 'SU')
('SL04652-2022-11-01-490','S21-10','rhNtxZiSCA', 'MB')
('AC22517-2022-11-01-453','A26-3','mBcVhvcmpnYDf', 'UB')
('AC12058-2022-11-01-451','A26-1','YCVcusK', 'LB')
('SL12058-2022-11-01-442','S19-10','rjIAG', 'MB')
('AC22517-2022-11-02-471','A27-3','kFylnsA', 'UB')
('SL04652-2022-11-01-493','S21-13','WCzIUXAqTbIa', 'MB')
('SL04652-2022-11-01-494','S21-14','MHLD', 'UB')
('SL22517-2022-11-02-450','S19-18','HnNVtZAzLCLOmS', 'MB')
('SL22517-2022-11-02-451','S19-19','tmdeKuJwxNmxcDK', 'UB')
('SL12058-2022-11-01-447','S19-15','eOfTWmtPii', 'SL')
('SL22517-2022-11-01-472','S20-16','hPxuPZyqHV', 'SU')
('SL22517-2022-11-01-473','S20-17','IIsbK', 'LB')
('AC12058-2022-11-01-454','A26-4','bKaPlWmeHGFuZGjd', 'UB')
('AC22517-2022-11-02-474','A27-6','KLKycRvfZuIMTXh', 'SU')
('SL22517-2022-11-02-455','S19-23','QlcCQuar', 'SL')
('AC04652-2022-11-01-494','A28-8','QCQNVRRgiSgDbm', 'LB')
