('SL04652-2022-11-01-11','S1-11','bdPIlrsePUx', 'UB')
('SL04652-2022-11-02-253','S11-13','gHXyZqnFWgpEqfNC', 'MB')
('SL04652-2022-11-02-254','S11-14','YfItgOJ', 'UB')
('SL12058-2022-11-01-272','S12-8','sNxvLjcqAstis', 'SU')
('SL04652-2022-11-02-256','S11-16','hHFJDjwTL', 'SU')
('AC22517-2022-11-02-299','A17-11','xyxgH', 'SL')
('AC04652-2022-11-02-269','A15-17','m', 'SL')
('AC04652-2022-11-01-299','A17-11','nPvwUnXhWJSSADEW', 'SL')
('AC22517-2022-11-02-304','A17-16','whgdIwuF', 'UB')
('AC12058-2022-11-01-295','A17-7','FISWmKhAmxDUPuS', 'LB')
('SL12058-2022-11-01-275','S12-11','phjwMw', 'UB')
('SL04652-2022-11-01-269','S12-5','PpmRCHPOmUpezA', 'MB')
('AC12058-2022-11-01-298','A17-10','EItI', 'UB')
('SL22517-2022-11-02-278','S12-14','MHMeQdoUSZPAHu', 'UB')
('AC04652-2022-11-02-274','A16-4','wCWqMonVosI', 'UB')
('AC22517-2022-11-01-274','A16-4','WFFcSLtmMN', 'UB')
('SL22517-2022-11-01-281','S12-17','uCavKoOFRqDjFfe', 'LB')
('SL04652-2022-11-01-275','S12-11','UXVPHWZurEYk', 'UB')
('SL22517-2022-11-01-282','S12-18','Xewxu', 'MB')
('AC04652-2022-11-01-306','A17-18','XriBmK', 'SU')
('AC12058-2022-11-01-300','A17-12','fbSApwzAFTGMd', 'SU')
('SL04652-2022-11-01-278','S12-14','dFgqkGbDoMuJ', 'UB')
('AC12058-2022-11-01-301','A17-13','ZCMSMfluwYiukmYM', 'LB')
('AC04652-2022-11-01-313','A18-7','dsQfXqSJJCHoZCe', 'LB')
('AC22517-2022-11-01-278','A16-8','axlTvYTLdqUDanc', 'LB')
('SL04652-2022-11-01-284','S12-20','rWr', 'LB')
('SL04652-2022-11-02-271','S12-7','hwJ', 'SL')
('AC22517-2022-11-02-351','A20-9','GdiDOTNFtI', 'UB')
('SL12058-2022-11-01-324','S14-12','PRMFMoCGWLeh', 'LB')
('SL04652-2022-11-01-315','S14-3','oDwGwNuDsiGoQUgs', 'UB')
('AC04652-2022-11-02-314','A18-8','JY', 'LB')
('AC04652-2022-11-02-315','A18-9','a', 'UB')
('AC12058-2022-11-01-336','A19-12','LDx', 'SU')
('SL04652-2022-11-02-293','S13-5','BBzFyVeBvd', 'MB')
('AC04652-2022-11-01-353','A20-11','xCfkSEREaSdfet', 'SL')
('AC22517-2022-11-01-307','A18-1','wvBqLHxAxCWgs', 'LB')
('SL12058-2022-11-01-328','S14-16','IE', 'SU')
('AC22517-2022-11-01-308','A18-2','KUjIxfPwhUY', 'LB')
('SL04652-2022-11-01-322','S14-10','bstApS', 'MB')
('SL04652-2022-11-01-323','S14-11','yujLrxfXtDXiTcv', 'UB')
('SL04652-2022-11-02-298','S13-10','zuNVcABMzedsnf', 'MB')
('SL22517-2022-11-01-332','S14-20','HKPH', 'LB')
('AC12058-2022-11-01-347','A20-5','O', 'SL')
('SL04652-2022-11-02-300','S13-12','AIAp', 'LB')
('SL12058-2022-11-01-333','S14-21','o', 'MB')
('AC04652-2022-11-01-360','A20-18','qLfSpNUYHES', 'SU')
('SL22517-2022-11-01-336','S14-24','z', 'SU')
('SL04652-2022-11-02-303','S13-15','iKyiUKS', 'SL')
('AC04652-2022-11-02-326','A19-2','hVAajQKKwomG', 'LB')
('SL22517-2022-11-01-339','S15-3','MPJGLikzwD', 'UB')
('SL22517-2022-11-02-330','S14-18','pzUafJlgzBL', 'MB')
('AC12058-2022-11-01-350','A20-8','tLOkdmIQhRX', 'LB')
('SL12058-2022-11-01-337','S15-1','towUY', 'LB')
('SL22517-2022-11-02-331','S14-19','XZYMtusRFf', 'UB')
('AC12058-2022-11-01-353','A20-11','XCpxMzUZljyjLwV', 'SL')
('AC04652-2022-11-01-367','A21-7','MBnySKKVtdHP', 'LB')
('AC04652-2022-11-02-331','A19-7','aboQ', 'LB')
('SL04652-2022-11-01-331','S14-19','Dyc', 'UB')
('SL12058-2022-11-01-344','S15-8','XiZwKmzCsMRDy', 'SU')
('SL22517-2022-11-01-343','S15-7','MIy', 'SL')
('AC22517-2022-11-01-323','A18-17','STaD', 'SL')
('AC22517-2022-11-02-383','A22-5','aRIFKwIffb', 'SL')
('AC22517-2022-11-01-327','A19-3','SGgCWhICl', 'UB')
('AC04652-2022-11-02-344','A20-2','ylhFvhOQ', 'LB')
('SL12058-2022-11-01-352','S15-16','WbOZi', 'SU')
('SL04652-2022-11-02-313','S14-1','cJRLKMlbHRvOuh', 'LB')
('AC12058-2022-11-01-372','A21-12','dkHf', 'SU')
('SL22517-2022-11-02-344','S15-8','MibbcdgLBAAGnAqJ', 'SU')
('SL12058-2022-11-01-360','S15-24','HPvZMjxyZj', 'SU')
('AC22517-2022-11-02-396','A22-18','ULrNqDFZR', 'SU')
('SL04652-2022-11-02-317','S14-5','oqFR', 'MB')
('AC04652-2022-11-01-383','A22-5','To', 'SL')
('SL22517-2022-11-01-362','S16-2','HMnetOjDFvrseHO', 'MB')
('AC04652-2022-11-02-358','A20-16','iySwzbskuJaiD', 'UB')
('AC22517-2022-11-01-342','A19-18','zMPK', 'SU')
('AC12058-2022-11-01-379','A22-1','hMOKCyFXdqwWqfXG', 'LB')
('AC04652-2022-11-01-386','A22-8','cRAJA', 'LB')
('AC04652-2022-11-01-388','A22-10','wcmrXWydoR', 'UB')
('SL22517-2022-11-01-368','S16-8','lMDeuSW', 'SU')
('SL04652-2022-11-02-328','S14-16','gnPoDWpnUslGDp', 'SU')
('AC12058-2022-11-01-384','A22-6','vxGO', 'SU')
('SL22517-2022-11-02-354','S15-18','DcYdjKiJojjEe', 'MB')
('SL12058-2022-11-01-375','S16-15','clwLtRwZrD', 'SL')
('SL22517-2022-11-01-373','S16-13','Exz', 'MB')
('SL12058-2022-11-01-376','S16-16','Jya', 'SU')
('AC22517-2022-11-02-414','A23-18','yNuMzLVrngq', 'SU')
('AC04652-2022-11-01-395','A22-17','X', 'SL')
('AC04652-2022-11-02-382','A22-4','tdXbCdaj', 'UB')
('AC04652-2022-11-01-407','A23-11','JekzfTYl', 'SL')
('AC12058-2022-11-01-405','A23-9','ZdHXRYVb', 'UB')
('SL04652-2022-11-02-352','S15-16','HSOxcbxIDyNI', 'SU')
('AC12058-2022-11-01-413','A23-17','jNQ', 'SL')
('AC12058-2022-11-01-414','A23-18','VOiz', 'SU')
('SL12058-2022-11-01-403','S17-19','rzIDKohoy', 'UB')
('SL04652-2022-11-01-381','S16-21','vhnwGiJgDGVXF', 'MB')
('SL12058-2022-11-01-404','S17-20','Cez', 'LB')
('SL12058-2022-11-01-405','S17-21','n', 'MB')
('AC04652-2022-11-02-392','A22-14','dqA', 'LB')
('AC04652-2022-11-02-393','A22-15','nGnxkMGY', 'UB')
('SL04652-2022-11-02-354','S15-18','lZB', 'MB')
('SL22517-2022-11-02-375','S16-15','KovqyAky', 'SL')
('AC04652-2022-11-02-396','A22-18','HWqUnRmZgSvrpeP', 'SU')
('SL22517-2022-11-01-402','S17-18','RiNLrhSvdyrCi', 'MB')
('SL04652-2022-11-01-383','S16-23','czfrkorHnsOCxUy', 'SL')
('AC04652-2022-11-02-398','A23-2','LBjItk', 'LB')
('SL04652-2022-11-01-386','S17-2','eIRAJTiQMcbuprur', 'MB')
('SL04652-2022-11-02-361','S16-1','UcJUH', 'LB')
('SL12058-2022-11-01-415','S18-7','dGoTemmqMqADnrG', 'SL')
('SL04652-2022-11-02-365','S16-5','j', 'MB')
('SL22517-2022-11-02-381','S16-21','nCFzWSoqdIU', 'MB')
('SL04652-2022-11-02-366','S16-6','TcUbeQsvNrnW', 'UB')
('SL04652-2022-11-02-367','S16-7','aKZqhNHP', 'SL')
('SL04652-2022-11-02-368','S16-8','pporXAO', 'SU')
('AC22517-2022-11-01-367','A21-7','vIXPJCEcVozqsdyn', 'LB')
('AC22517-2022-11-02-444','A25-12','HZyzjXleymYIYIv', 'SU')
('SL04652-2022-11-02-369','S16-9','EP', 'LB')
('SL12058-2022-11-01-419','S18-11','DShksBpYtW', 'UB')
('SL04652-2022-11-02-371','S16-11','kAXEhDOq', 'UB')
('AC12058-2022-11-01-427','A24-13','ublUCEr', 'LB')
('SL12058-2022-11-01-424','S18-16','BKXMLzzQgshw', 'SU')
('SL12058-2022-11-01-425','S18-17','RLScsDwXeIFVz', 'LB')
('SL22517-2022-11-02-397','S17-13','NEYDOKdjynyEhspW', 'MB')
('SL04652-2022-11-01-408','S17-24','OPfCVtMcnd', 'SU')
('SL22517-2022-11-02-398','S17-14','rvXCHoG', 'UB')
('SL04652-2022-11-01-409','S18-1','uultEDnwQSJwyw', 'LB')
('SL22517-2022-11-01-420','S18-12','RcQbGSbxTpoC', 'LB')
('SL22517-2022-11-02-400','S17-16','z', 'SU')
('SL22517-2022-11-02-401','S17-17','rIcW', 'LB')
('SL22517-2022-11-02-404','S17-20','iuR', 'LB')
('SL22517-2022-11-02-405','S17-21','MAGcwPTIMsWpz', 'MB')
('SL04652-2022-11-01-411','S18-3','zDIRwCpbZtuiztI', 'UB')
('SL12058-2022-11-01-435','S19-3','umUbKjOW', 'UB')
('AC12058-2022-11-01-436','A25-4','QJYFQtG', 'UB')
('SL12058-2022-11-01-436','S19-4','YPAeb', 'LB')
('AC04652-2022-11-02-427','A24-13','a', 'LB')
('AC04652-2022-11-02-429','A24-15','ODzVfszOmDzvobxB', 'UB')
('SL22517-2022-11-02-410','S18-2','kwCGmubFBlOL', 'MB')
('SL22517-2022-11-02-411','S18-3','ENJRU', 'UB')
('AC04652-2022-11-02-431','A24-17','kHOXJgOC', 'SL')
('AC12058-2022-11-01-447','A25-15','lMqGEYawuiGNmwLj', 'UB')
('SL04652-2022-11-01-419','S18-11','XWAZEP', 'UB')
('SL22517-2022-11-02-414','S18-6','GjqyKMDTmYxwWz', 'UB')
('AC04652-2022-11-02-433','A25-1','tWQLOZW', 'LB')
('AC22517-2022-11-02-468','A26-18','Fwl', 'SU')
('AC22517-2022-11-01-395','A22-17','Z', 'SL')
('SL04652-2022-11-02-396','S17-12','v', 'LB')
('AC22517-2022-11-02-518','A29-14','GpXDiOSi', 'LB')
('SL12058-2022-11-01-484','S21-4','adurEXzPvyjgdtEI', 'LB')
('SL22517-2022-11-01-470','S20-14','VJhG', 'UB')
('AC22517-2022-11-01-437','A25-5','ohu', 'SL')
('SL04652-2022-11-02-453','S19-21','vmUXfwtSHKhgDb', 'MB')
('SL22517-2022-11-02-490','S21-10','IYWHRTLiXFGIVDMc', 'MB')
('AC04652-2022-11-02-510','A29-6','wiKJW', 'SU')
('AC22517-2022-11-02-526','A30-4','zXgJdjCXuLGsg', 'UB')
('AC04652-2022-11-02-512','A29-8','JSSGD', 'LB')
('AC22517-2022-11-01-447','A25-15','LvMtrGMxUOg', 'UB')
('AC22517-2022-11-02-533','A30-11','cyfrvihSSbjx', 'SL')
('AC12058-2022-11-01-529','A30-7','gs', 'LB')
('SL12058-2022-11-01-499','S21-19','v', 'UB')
('AC04652-2022-11-02-519','A29-15','gVqzET', 'UB')
('AC22517-2022-11-02-539','A30-17','tGKiNvyvupRpU', 'SL')
('AC12058-2022-11-01-531','A30-9','opKozjsqjYZkayo', 'UB')
('AC22517-2022-11-02-542','A31-2','VE', 'LB')
('AC22517-2022-11-02-543','A31-3','aCmsa', 'UB')
('AC12058-2022-11-01-533','A30-11','kdhpTKXwWyiCqZ', 'SL')
('SL22517-2022-11-01-508','S22-4','wIbgofwpFg', 'LB')
('SL22517-2022-11-02-499','S21-19','kYcC', 'UB')
('SL22517-2022-11-01-511','S22-7','KrD', 'SL')
('AC22517-2022-11-02-565','A32-7','qRKPWuOGoG', 'LB')
('SL04652-2022-11-02-480','S20-24','i', 'SU')
('AC12058-2022-11-01-552','A31-12','qPiGASysVq', 'SU')
('AC12058-2022-11-01-553','A31-13','IclvanbvCgtMi', 'LB')
('SL22517-2022-11-02-512','S22-8','DXbUoAfij', 'SU')
('AC04652-2022-11-01-527','A30-5','sSDIruHbMbs', 'SL')
('SL12058-2022-11-01-519','S22-15','Mhxl', 'SL')
('AC12058-2022-11-01-558','A31-18','omiaUdnokD', 'SU')
('AC12058-2022-11-01-559','A32-1','uvzgJLkvOcWjzjv', 'LB')
('SL04652-2022-11-01-513','S22-9','krvjfzOzSGMIXXV', 'LB')
('AC12058-2022-11-01-561','A32-3','bpAuAWVOiCnw', 'UB')
('AC22517-2022-11-01-475','A27-7','M', 'LB')
('AC12058-2022-11-01-563','A32-5','xKoqYCGacl', 'SL')
('SL22517-2022-11-01-521','S22-17','qvXjUOxQOEa', 'LB')
('SL04652-2022-11-02-487','S21-7','LniCaimSgJpNi', 'SL')
('AC04652-2022-11-02-536','A30-14','qbMQMKQ', 'LB')
('AC22517-2022-11-01-477','A27-9','FrABd', 'UB')
('SL22517-2022-11-02-527','S22-23','FYvIAstYKRYLdO', 'SL')
('SL04652-2022-11-01-526','S22-22','ReYRmvcoHp', 'UB')
('AC22517-2022-11-02-648','A36-18','PNknibqfAVrVoO', 'SU')
('SL04652-2022-11-02-547','S23-19','nUoWlYXrlhsZFE', 'UB')
('AC22517-2022-11-01-552','A31-12','el', 'SU')
('SL12058-2022-11-01-633','S27-9','xsOrbJnN', 'LB')
('AC04652-2022-11-01-644','A36-14','tyc', 'LB')
('AC12058-2022-11-01-660','A37-12','nQIxTFPKEExbEiQ', 'SU')
('SL12058-2022-11-01-635','S27-11','RQKVYgSiW', 'UB')
('AC22517-2022-11-02-688','A39-4','p', 'UB')
('SL22517-2022-11-02-638','S27-14','KaAMhCvSAmOrKgnB', 'UB')
('SL22517-2022-11-02-639','S27-15','MQjteaQvmvc', 'SL')
('SL22517-2022-11-02-641','S27-17','WtE', 'LB')
('AC22517-2022-11-01-613','A35-1','dY', 'LB')
('AC04652-2022-11-01-657','A37-9','BASRrSFcCNoNUf', 'UB')
('AC04652-2022-11-02-668','A38-2','CmSyelzfSqsaawPf', 'LB')
('AC04652-2022-11-01-659','A37-11','kMEyOY', 'SL')
('SL22517-2022-11-01-670','S28-22','KdlMQ', 'UB')
('AC22517-2022-11-02-704','A40-2','uZNDsZYoBQ', 'LB')
('SL22517-2022-11-02-657','S28-9','CZglLJidoIWck', 'LB')
('SL04652-2022-11-02-623','S26-23','j', 'SL')
('SL04652-2022-11-02-625','S27-1','gcDanwvpjc', 'LB')
('AC22517-2022-11-01-625','A35-13','BvfMphTcsK', 'LB')
('SL22517-2022-11-01-685','S29-13','vw', 'MB')
('AC04652-2022-11-01-676','A38-10','EnxSxNZXhEM', 'UB')
('AC22517-2022-11-02-715','A40-13','INpKqVDAUsPdbx', 'LB')
('SL22517-2022-11-02-677','S29-5','riLRCVoxygcsvvQ', 'MB')
('SL12058-2022-11-01-687','S29-15','VsdWChIhwAQwVZ', 'SL')
('SL22517-2022-11-01-694','S29-22','TKXPY', 'UB')
('SL04652-2022-11-02-654','S28-6','xIccz', 'UB')
('SL22517-2022-11-02-680','S29-8','xgcwFjZRuiTYDW', 'SU')
('AC12058-2022-11-01-736','A41-16','QaTGUn', 'UB')
('AC04652-2022-11-01-728','A41-8','otLvNvcJ', 'LB')
('AC04652-2022-11-02-730','A41-10','zt', 'UB')
('SL22517-2022-11-01-750','S32-6','DtdWlszjdmsYtW', 'UB')
('SL22517-2022-11-02-752','S32-8','yY', 'SU')
('SL04652-2022-11-01-746','S32-2','Yb', 'MB')
('SL22517-2022-11-02-759','S32-15','fBfINQdvMxitV', 'SL')
('SL22517-2022-11-01-760','S32-16','JdpSGJ', 'SU')
('AC04652-2022-11-01-747','A42-9','THfLcKKMIVhag', 'UB')
('SL04652-2022-11-01-754','S32-10','YhxOco', 'MB')
('AC22517-2022-11-01-716','A40-14','TwZq', 'LB')
('AC22517-2022-11-01-751','A42-13','JkhlCEmzUwaxVNO', 'LB')
('AC22517-2022-11-02-831','A47-3','gUYpTuj', 'UB')
('AC04652-2022-11-01-777','A44-3','Zg', 'UB')
('SL04652-2022-11-02-750','S32-6','PftwKnyGvRj', 'UB')
('AC04652-2022-11-01-781','A44-7','NzTxqNOOkwa', 'LB')
('AC04652-2022-11-01-796','A45-4','QSYZx', 'UB')
('SL12058-2022-11-01-818','S35-2','SvnYKqstCzv', 'MB')
('SL04652-2022-11-01-802','S34-10','TvKKmXxXOEAzN', 'MB')
('AC22517-2022-11-02-847','A48-1','hczqdYmB', 'LB')
('AC04652-2022-11-02-792','A44-18','MeV', 'SU')
('SL12058-2022-11-01-825','S35-9','TQ', 'LB')
('SL22517-2022-11-01-817','S35-1','JFgVNBaFPeTY', 'LB')
('SL22517-2022-11-02-822','S35-6','DCnnjHuWeq', 'UB')
('AC22517-2022-11-01-771','A43-15','SXyXdQFuq', 'UB')
('AC04652-2022-11-01-832','A47-4','tOsB', 'UB')
('SL12058-2022-11-01-847','S36-7','cmnSJ', 'SL')
('SL04652-2022-11-02-790','S33-22','UtsYCbFVDmkbyBZ', 'UB')
('AC04652-2022-11-02-817','A46-7','TkWoyTHwzZIaqp', 'LB')
('AC04652-2022-11-02-818','A46-8','CfYr', 'LB')
('SL04652-2022-11-01-832','S35-16','wCgY', 'SU')
('AC04652-2022-11-02-819','A46-9','RhFT', 'UB')
('SL12058-2022-11-01-854','S36-14','XkNSxBZzUzHy', 'UB')
('SL04652-2022-11-01-863','S36-23','LYpu', 'SL')
('AC22517-2022-11-02-918','A51-18','FW', 'SU')
('SL22517-2022-11-02-890','S38-2','LhTLivLq', 'MB')
('AC12058-2022-11-01-917','A51-17','OccugxzqeQkpv', 'SL')
('AC12058-2022-11-01-918','A51-18','ZUkjyhSjTBhD', 'SU')
('SL04652-2022-11-01-915','S39-3','kpbksMyZqyZuoXhX', 'UB')
('SL04652-2022-11-01-916','S39-4','ZiNrENScmSfcSxnR', 'LB')
('AC04652-2022-11-02-902','A51-2','RaNXErLT', 'LB')
('AC22517-2022-11-02-964','A54-10','zjPOnSCDOSacwA', 'UB')
('AC04652-2022-11-01-936','A52-18','cmnvDLcWhDIyHsF', 'SU')
('SL22517-2022-11-01-931','S39-19','JJ', 'UB')
('AC22517-2022-11-02-970','A54-16','xPGKotOIcN', 'UB')
('AC22517-2022-11-01-891','A50-9','yxFGevSzjICq', 'UB')
('AC22517-2022-11-02-1024','A57-16','YYDDn', 'UB')
('SL04652-2022-11-01-974','S41-14','VUoGo', 'UB')
('AC12058-2022-11-01-975','A55-3','ABIQNE', 'UB')
('SL12058-2022-11-01-1003','S42-19','AgneFq', 'UB')
('SL12058-2022-11-01-1004','S42-20','DozFBtoWKpY', 'LB')
('AC04652-2022-11-02-967','A54-13','DF', 'LB')
('SL22517-2022-11-01-989','S42-5','tFRmhmdhGOIW', 'MB')
('AC22517-2022-11-02-1029','A58-3','eaerAMdvlXewUaa', 'UB')
('SL04652-2022-11-01-984','S41-24','olfCZDeYmtzFo', 'SU')
('SL22517-2022-11-02-1019','S43-11','tytVaKTtiokAsP', 'UB')
('AC12058-2022-11-01-988','A55-16','WyCpNrlae', 'UB')
('AC04652-2022-11-01-1004','A56-14','ZYnOXmSRTZnfnki', 'LB')
('SL22517-2022-11-02-1026','S43-18','FRzvjQMNjCiTRHG', 'MB')
('AC22517-2022-11-02-1039','A58-13','XMqhX', 'LB')
('SL04652-2022-11-01-987','S42-3','evdKIKHIy', 'UB')
('SL12058-2022-11-01-1016','S43-8','XkWfXl', 'SU')
('AC04652-2022-11-01-1009','A57-1','ixVgJ', 'LB')
('SL22517-2022-11-02-1031','S43-23','flLPhGZS', 'SL')
('AC22517-2022-11-01-968','A54-14','ZZSGG', 'LB')
('SL04652-2022-11-02-945','S40-9','vU', 'LB')
('AC22517-2022-11-01-970','A54-16','uibuBMcUzAUBee', 'UB')
('AC22517-2022-11-01-971','A54-17','eSON', 'SL')
('AC22517-2022-11-01-973','A55-1','YiS', 'LB')
('AC22517-2022-11-02-1047','A59-3','cUxjUa', 'UB')
('AC22517-2022-11-01-976','A55-4','EbxaHmpTW', 'UB')
('AC04652-2022-11-02-988','A55-16','rCnZFxbFrYclmnC', 'UB')
('AC04652-2022-11-01-1017','A57-9','tsrAdYSytvdF', 'UB')
('SL12058-2022-11-01-1027','S43-19','nvYEAJM', 'UB')
('SL12058-2022-11-01-1028','S43-20','nQMXUCXXKZ', 'LB')
('SL04652-2022-11-02-953','S40-17','sqvVpbib', 'LB')
('AC04652-2022-11-01-1021','A57-13','BRsBMVLqAcGhp', 'LB')
('SL04652-2022-11-02-954','S40-18','etQu', 'MB')
('AC22517-2022-11-01-986','A55-14','oiwhOziHSnXwR', 'LB')
('SL22517-2022-11-01-1017','S43-9','sYipEsSTYYMK', 'LB')
('SL22517-2022-11-01-1018','S43-10','fbsv', 'MB')
('SL04652-2022-11-01-1002','S42-18','SzyVvQx', 'MB')
('SL04652-2022-11-01-1004','S42-20','uYlUItotvQVtXxGE', 'LB')
('AC22517-2022-11-01-991','A56-1','lqhyi', 'LB')
('SL12058-2022-11-01-1035','S44-3','ezAEAoemSJa', 'UB')
('SL04652-2022-11-02-957','S40-21','kjCk', 'MB')
('SL04652-2022-11-02-958','S40-22','FZewDnvAvh', 'UB')
('AC12058-2022-11-01-1004','A56-14','vooHSmDveCTsnbu', 'LB')
('AC04652-2022-11-02-1002','A56-12','lYHusAUoWqPmAcQ', 'SU')
('AC22517-2022-11-02-1063','A60-1','vVWnn', 'LB')
('SL22517-2022-11-02-1066','S45-10','RKTmpSLY', 'MB')
('SL22517-2022-11-01-1035','S44-3','iOPHeeAdUIJeWcbA', 'UB')
('SL04652-2022-11-01-1021','S43-13','vmiZhtJSYDlQ', 'MB')
('AC04652-2022-11-02-1011','A57-3','CvElMesPWurjq', 'UB')
('AC04652-2022-11-01-1045','A59-1','nYwtHLAgFrTGZvn', 'LB')
('AC22517-2022-11-01-1012','A57-4','euTuBj', 'UB')
('SL22517-2022-11-02-1088','S46-8','PSTz', 'SU')
('AC12058-2022-11-01-1030','A58-4','gmcKAExWFKu', 'UB')
('SL04652-2022-11-01-1035','S44-3','mUkiYzfDOvcyjGKh', 'UB')
('AC12058-2022-11-01-1032','A58-6','JmvuXkLpMSLp', 'SU')
('SL04652-2022-11-01-1037','S44-5','MjaFcpWvSCLEds', 'MB')
('SL04652-2022-11-01-1039','S44-7','lDCJ', 'SL')
('SL12058-2022-11-01-1057','S45-1','y', 'LB')
('SL04652-2022-11-01-1040','S44-8','rlCinqJfxrAdWtq', 'SU')
('SL22517-2022-11-01-1054','S44-22','DUMFtCERuiVplP', 'UB')
('SL22517-2022-11-01-1055','S44-23','yCquf', 'SL')
('AC04652-2022-11-01-1061','A59-17','SmHAbKrQiPBNf', 'SL')
('SL04652-2022-11-02-1001','S42-17','ZxMoskVMsLqgJk', 'LB')
('SL04652-2022-11-02-1002','S42-18','VVfstZZBmnLbcE', 'MB')
('AC12058-2022-11-01-1038','A58-12','okAvvD', 'SU')
('SL04652-2022-11-02-1008','S42-24','OJfhMPBEe', 'SU')
('SL22517-2022-11-02-1100','S46-20','xOhu', 'LB')
('SL22517-2022-11-02-1101','S46-21','GDTzzBYHgHpPRZw', 'MB')
