('SL22517-2022-11-02-4','S1-4','pAYqNDgtLvy', 'LB')
('SL22517-2022-11-02-702','S30-6','fowBfpzZPIsGgwS', 'UB')
('AC22517-2022-11-01-679','A38-13','ZcjXKgbPi', 'LB')
('SL22517-2022-11-02-720','S30-24','XRGk', 'SU')
('AC22517-2022-11-01-681','A38-15','Wwij', 'UB')
('SL04652-2022-11-02-692','S29-20','aJCfXJrxedo', 'LB')
('SL04652-2022-11-02-693','S29-21','mmMmbizdchUMi', 'MB')
('AC12058-2022-11-01-728','A41-8','JmxZtHYXPwS', 'LB')
('SL12058-2022-11-01-739','S31-19','IVujpInQGPvYqt', 'UB')
('AC22517-2022-11-01-685','A39-1','V', 'LB')
('SL04652-2022-11-01-729','S31-9','vlBCcspyhbzy', 'LB')
('AC12058-2022-11-01-734','A41-14','goHRqbN', 'LB')
('SL04652-2022-11-01-732','S31-12','IdQmtBPxuXiPwn', 'LB')
('AC04652-2022-11-02-720','A40-18','RzqRnnIA', 'SU')
('AC04652-2022-11-02-721','A41-1','QjJgBZaaYUZy', 'LB')
('SL22517-2022-11-02-730','S31-10','MhMlvQXHlu', 'MB')
('AC04652-2022-11-01-725','A41-5','LhPSnBTmKrZOrDn', 'SL')
('SL04652-2022-11-02-703','S30-7','TjNOETNU', 'SL')
('SL22517-2022-11-02-733','S31-13','DAZLuyERsd', 'MB')
('SL22517-2022-11-01-745','S32-1','SBQDngHjOXQwb', 'LB')
('AC04652-2022-11-02-728','A41-8','xgXbB', 'LB')
('AC04652-2022-11-02-729','A41-9','GSkMH', 'UB')
('SL22517-2022-11-02-741','S31-21','KMkVsFzEZyWBih', 'MB')
('AC22517-2022-11-02-775','A44-1','Ra', 'LB')
('AC22517-2022-11-01-698','A39-14','erIxm', 'LB')
('AC22517-2022-11-01-704','A40-2','h', 'LB')
('SL22517-2022-11-02-784','S33-16','WxudoSiASl', 'SU')
('SL22517-2022-11-02-787','S33-19','LjUEhKN', 'UB')
('AC12058-2022-11-01-798','A45-6','rYWvWhCcSdKMk', 'SU')
('SL12058-2022-11-01-798','S34-6','wzVJSl', 'UB')
('SL22517-2022-11-01-792','S33-24','bZKmaYXEMJ', 'SU')
('AC12058-2022-11-01-801','A45-9','IbOMFqgWIoDMXx', 'UB')
('AC22517-2022-11-02-829','A47-1','IXrLehwrnnTAKvk', 'LB')
('AC04652-2022-11-02-773','A43-17','DOfjXUJydNmFLRkS', 'SL')
('AC22517-2022-11-01-750','A42-12','NNgmaberslxkRn', 'SU')
('AC22517-2022-11-01-753','A42-15','hpcyxxdXo', 'UB')
('AC04652-2022-11-01-778','A44-4','TOaSeuXqxRM', 'UB')
('SL04652-2022-11-01-791','S33-23','zMqhNKkRMRcdhAa', 'SL')
('SL04652-2022-11-01-795','S34-3','BG', 'UB')
('AC04652-2022-11-01-790','A44-16','IJrrGVoaeEhmnKX', 'UB')
('AC12058-2022-11-01-814','A46-4','tQORIbadtH', 'UB')
('AC22517-2022-11-01-765','A43-9','PFOctIWjlCJfGp', 'UB')
('AC04652-2022-11-02-785','A44-11','xLQx', 'SL')
('AC12058-2022-11-01-815','A46-5','vdwjvsA', 'SL')
('AC04652-2022-11-01-803','A45-11','lgAvUORyyMvxIOjv', 'SL')
('SL12058-2022-11-01-822','S35-6','m', 'UB')
('SL22517-2022-11-01-815','S34-23','SQfwIvumJbkL', 'SL')
('SL22517-2022-11-02-821','S35-5','UzJCGlNLVDTgK', 'MB')
('AC12058-2022-11-01-822','A46-12','nuGmmekfS', 'SU')
('SL12058-2022-11-01-827','S35-11','VhpLYNVRtCSzXNy', 'UB')
('SL04652-2022-11-02-771','S33-3','ersUvrFMCw', 'UB')
('SL22517-2022-11-01-821','S35-5','RNTjMyqVCQNxSEL', 'MB')
('SL04652-2022-11-01-817','S35-1','mwegHaNvemoVvP', 'LB')
('AC22517-2022-11-02-861','A48-15','qQHll', 'UB')
('SL04652-2022-11-02-778','S33-10','FpTewjoFKT', 'MB')
('AC22517-2022-11-01-782','A44-8','NZDGSAO', 'LB')
('SL04652-2022-11-02-779','S33-11','HKySNBcM', 'UB')
('SL04652-2022-11-02-783','S33-15','DrRNDqKPmlngfMQT', 'SL')
('SL04652-2022-11-02-784','S33-16','qDouAFbu', 'SU')
('SL22517-2022-11-01-834','S35-18','YLdxxxXBHPiqXZr', 'MB')
('AC04652-2022-11-02-808','A45-16','lKItDDcGYlG', 'UB')
('AC04652-2022-11-02-811','A46-1','t', 'LB')
('AC22517-2022-11-01-792','A44-18','vHKnDTAeSK', 'SU')
('AC22517-2022-11-01-793','A45-1','jDWTCLujT', 'LB')
('SL22517-2022-11-01-835','S35-19','i', 'UB')
('AC04652-2022-11-01-833','A47-5','FXEwxPBraZokFGtC', 'SL')
('AC22517-2022-11-02-875','A49-11','fX', 'SL')
('AC04652-2022-11-01-839','A47-11','TXUMHbjUZoA', 'SL')
('SL22517-2022-11-02-843','S36-3','OZQ', 'UB')
('AC12058-2022-11-01-843','A47-15','RcWEXcPvlKK', 'UB')
('SL04652-2022-11-01-833','S35-17','RpByhSiCKxaiD', 'LB')
('AC22517-2022-11-02-878','A49-14','MNKUAqVpMShPc', 'LB')
('AC04652-2022-11-02-822','A46-12','MBCiaErgdg', 'SU')
('AC22517-2022-11-02-879','A49-15','pLNEoHAoD', 'UB')
('AC22517-2022-11-01-799','A45-7','pBhARqaFpc', 'LB')
('AC22517-2022-11-02-881','A49-17','i', 'SL')
('AC04652-2022-11-02-828','A46-18','wCAdShngpg', 'SU')
('AC04652-2022-11-02-829','A47-1','TmoNTDjaCTQv', 'LB')
('SL04652-2022-11-01-839','S35-23','lGkfDLMPP', 'SL')
('AC12058-2022-11-01-848','A48-2','OP', 'LB')
('AC04652-2022-11-01-852','A48-6','oATthKMnVOVUTak', 'SU')
('SL12058-2022-11-01-862','S36-22','esWWmOzQUlWfdi', 'UB')
('SL04652-2022-11-02-804','S34-12','EMYqAbGrDYts', 'LB')
('SL04652-2022-11-02-805','S34-13','odIUAI', 'MB')
('SL04652-2022-11-02-809','S34-17','tmPHTVcuf', 'LB')
('SL22517-2022-11-01-853','S36-13','oNP', 'MB')
('AC04652-2022-11-02-837','A47-9','APONrPKBfP', 'UB')
('AC12058-2022-11-01-856','A48-10','ybjaerGGMMnoV', 'UB')
('SL22517-2022-11-02-854','S36-14','zywDMtzPZxqmTd', 'UB')
('SL22517-2022-11-02-855','S36-15','caYL', 'SL')
('SL12058-2022-11-01-873','S37-9','WqFzqmkxDdW', 'LB')
('AC04652-2022-11-01-869','A49-5','JJK', 'SL')
('AC04652-2022-11-01-872','A49-8','CLv', 'LB')
('AC22517-2022-11-02-907','A51-7','qyBHQqItaQMynbw', 'LB')
('SL04652-2022-11-01-852','S36-12','EQXnJXwHXGUF', 'LB')
('AC22517-2022-11-02-914','A51-14','t', 'LB')
('SL22517-2022-11-02-877','S37-13','bgWUtH', 'MB')
('SL22517-2022-11-02-878','S37-14','diorJC', 'UB')
('AC22517-2022-11-02-947','A53-11','THJqnUrb', 'SL')
('AC22517-2022-11-01-861','A48-15','wamrtbiGd', 'UB')
('AC04652-2022-11-01-923','A52-5','mmNLqvVjmXMj', 'SL')
('AC22517-2022-11-02-950','A53-14','TVZGTfEbgP', 'LB')
('SL04652-2022-11-01-897','S38-9','jV', 'LB')
('SL04652-2022-11-01-900','S38-12','sLDpjvWpdT', 'LB')
('AC04652-2022-11-01-927','A52-9','uzRR', 'UB')
('AC22517-2022-11-02-955','A54-1','udAjeQ', 'LB')
('SL04652-2022-11-01-901','S38-13','ak', 'MB')
('AC22517-2022-11-01-870','A49-6','k', 'SU')
('SL04652-2022-11-01-944','S40-8','hMP', 'SU')
('SL12058-2022-11-01-983','S41-23','U', 'SL')
('AC04652-2022-11-02-935','A52-17','WBHjlfBQsdbDgT', 'SL')
('AC22517-2022-11-02-1007','A56-17','utoi', 'SL')
('SL22517-2022-11-01-970','S41-10','ryZRINKfORhnNPAT', 'MB')
('AC12058-2022-11-01-956','A54-2','d', 'LB')
('AC04652-2022-11-02-987','A55-15','BdJiEYttBHXXy', 'UB')
('SL22517-2022-11-01-1007','S42-23','tmrribRUmzgfNI', 'SL')
('SL12058-2022-11-01-1026','S43-18','mAOUQFxitHiFVU', 'MB')
('SL22517-2022-11-01-1009','S43-1','BVYeeaagpxTkAm', 'LB')
('SL22517-2022-11-01-1012','S43-4','dSS', 'LB')
('AC22517-2022-11-01-980','A55-8','RvPj', 'LB')
('SL22517-2022-11-02-1046','S44-14','ct', 'UB')
('AC04652-2022-11-02-995','A56-5','kKEqwqoFBDGNz', 'SL')
('SL04652-2022-11-01-1000','S42-16','gWrDkDQXIGRIFQkH', 'SU')
('SL04652-2022-11-02-956','S40-20','aBiZXMVqC', 'LB')
('SL22517-2022-11-02-1059','S45-3','roD', 'UB')
('SL04652-2022-11-02-967','S41-7','kCjds', 'SL')
('AC04652-2022-11-02-1005','A56-15','zx', 'UB')
('AC12058-2022-11-01-1014','A57-6','NfMgVTGbpO', 'SU')
('SL12058-2022-11-01-1041','S44-9','ad', 'LB')
('AC04652-2022-11-02-1007','A56-17','Ee', 'SL')
('SL12058-2022-11-01-1043','S44-11','DwlOu', 'UB')
('AC22517-2022-11-01-1004','A56-14','cuNSKYsVJURvfSpJ', 'LB')
('AC12058-2022-11-01-1020','A57-12','txHmFxFskEcG', 'SU')
('SL04652-2022-11-01-1024','S43-16','PPXeWiNThTIGBP', 'SU')
('SL22517-2022-11-02-1075','S45-19','aKwKfEy', 'UB')
('AC04652-2022-11-01-1038','A58-12','mEcNb', 'SU')
