('AC12058-2022-11-01-16','A1-16','ieJ', 'UB')
('SL04652-2022-11-02-400','S17-16','lPlPYUOuSOm', 'SU')
('SL04652-2022-11-01-426','S18-18','HHNBQGlkCZ', 'MB')
('SL04652-2022-11-01-428','S18-20','fA', 'LB')
('AC04652-2022-11-01-456','A26-6','ntG', 'SU')
('SL04652-2022-11-01-430','S18-22','laysZwF', 'UB')
('AC04652-2022-11-01-457','A26-7','VbezhPg', 'LB')
('AC22517-2022-11-02-516','A29-12','qHp', 'SU')
('AC04652-2022-11-01-496','A28-10','pQgbNmPU', 'UB')
('SL04652-2022-11-02-445','S19-13','ssVSwbWBiLgcXyW', 'MB')
('AC12058-2022-11-01-515','A29-11','BPkrKN', 'SL')
('SL22517-2022-11-01-507','S22-3','nxlSaDcEV', 'UB')
('AC22517-2022-11-02-558','A31-18','ehZFIlilOqIExWdK', 'SU')
('SL12058-2022-11-01-512','S22-8','CxpLpHEVznGApiiH', 'SU')
('AC22517-2022-11-02-560','A32-2','aIyMZGrZG', 'LB')
('AC22517-2022-11-02-561','A32-3','ClGsNvUfSuqb', 'UB')
('AC12058-2022-11-01-550','A31-10','dBeYx', 'UB')
('SL04652-2022-11-01-501','S21-21','OfqBxCgaclzJ', 'MB')
('SL04652-2022-11-01-502','S21-22','DALg', 'UB')
('SL04652-2022-11-01-503','S21-23','HlrJWo', 'SL')
('AC12058-2022-11-01-555','A31-15','GtalYNY', 'UB')
('AC12058-2022-11-01-557','A31-17','pVbWVWmdvXTETMR', 'SL')
('AC22517-2022-11-02-571','A32-13','mJgqBjC', 'LB')
('AC22517-2022-11-01-471','A27-3','hiXHZxUShKq', 'UB')
('AC12058-2022-11-01-566','A32-8','GowfH', 'LB')
('AC22517-2022-11-02-581','A33-5','FOmDfACPOMqch', 'SL')
('SL04652-2022-11-02-493','S21-13','JBYudUYVvsBGrtz', 'MB')
('AC22517-2022-11-01-489','A28-3','LZqIJE', 'UB')
('SL22517-2022-11-01-541','S23-13','usqDAmKLsse', 'MB')
('AC12058-2022-11-01-576','A32-18','To', 'SU')
('SL22517-2022-11-02-534','S23-6','PsCbcpg', 'UB')
('SL22517-2022-11-02-539','S23-11','AgygSh', 'UB')
('AC04652-2022-11-02-550','A31-10','cBCcEcrBUGi', 'UB')
('AC22517-2022-11-01-497','A28-11','GoNOb', 'SL')
('SL22517-2022-11-01-550','S23-22','zKwKBqNwrBy', 'UB')
('AC04652-2022-11-02-553','A31-13','RaAnyk', 'LB')
('SL22517-2022-11-01-551','S23-23','E', 'SL')
('AC22517-2022-11-02-604','A34-10','cJmfC', 'UB')
('AC22517-2022-11-02-605','A34-11','xcNRJSgZubw', 'SL')
('AC22517-2022-11-01-503','A28-17','kDDMLvoRC', 'SL')
('SL22517-2022-11-01-560','S24-8','riqUBJtL', 'SU')
('AC12058-2022-11-01-589','A33-13','jICTauasftnHLnY', 'LB')
('AC04652-2022-11-02-556','A31-16','VIhbrUyqE', 'UB')
('SL12058-2022-11-01-555','S24-3','avUEXXojWbmAK', 'UB')
('SL04652-2022-11-01-548','S23-20','ssZpLcDOcKojS', 'LB')
('AC12058-2022-11-01-593','A33-17','yb', 'SL')
('AC04652-2022-11-01-565','A32-7','egwBMjOus', 'LB')
('AC04652-2022-11-02-564','A32-6','IHT', 'SU')
('SL04652-2022-11-01-551','S23-23','Eykh', 'SL')
('AC22517-2022-11-01-509','A29-5','baACdrxQDYKWG', 'SL')
('SL22517-2022-11-02-557','S24-5','cZIwGgHckqunvHr', 'MB')
('SL22517-2022-11-01-571','S24-19','xXYIjdiInfTj', 'UB')
('SL22517-2022-11-02-562','S24-10','soAcC', 'MB')
('AC04652-2022-11-01-572','A32-14','xTpNUeumTgqX', 'LB')
('AC22517-2022-11-01-527','A30-5','h', 'SL')
('AC12058-2022-11-01-605','A34-11','p', 'SL')
('SL04652-2022-11-01-576','S24-24','VYQigXPUoL', 'SU')
('AC22517-2022-11-02-627','A35-15','la', 'UB')
('AC22517-2022-11-01-535','A30-13','KUCSbdxacDQCxf', 'LB')
('AC04652-2022-11-02-598','A34-4','XhSip', 'UB')
('AC22517-2022-11-01-537','A30-15','j', 'UB')
('SL22517-2022-11-02-573','S24-21','L', 'MB')
('AC12058-2022-11-01-612','A34-18','AaP', 'SU')
('SL22517-2022-11-01-594','S25-18','QGnISHDvbaqwG', 'MB')
('AC22517-2022-11-02-633','A36-3','TXT', 'UB')
('AC22517-2022-11-02-635','A36-5','DXNoWVbKKutBnFI', 'SL')
('SL22517-2022-11-02-577','S25-1','MYfJK', 'LB')
('AC04652-2022-11-02-605','A34-11','zzRJlwWQgKR', 'SL')
('AC04652-2022-11-02-606','A34-12','DNOIIaYhcAcyD', 'SU')
('SL22517-2022-11-01-601','S26-1','pyAIAxYJaCioUXC', 'LB')
('AC22517-2022-11-02-642','A36-12','jasJBV', 'SU')
('SL12058-2022-11-01-595','S25-19','TGMaCYSTexFIDQU', 'UB')
('AC22517-2022-11-02-679','A38-13','fouyDKMuNUUx', 'LB')
('AC22517-2022-11-01-595','A34-1','XJsgiMXVB', 'LB')
('SL22517-2022-11-02-629','S27-5','HjqQOnoJhDkr', 'MB')
('SL22517-2022-11-02-630','S27-6','umaBgsT', 'UB')
('SL22517-2022-11-01-649','S28-1','nPdYLc', 'LB')
('AC04652-2022-11-02-653','A37-5','KNSH', 'SL')
('SL22517-2022-11-02-633','S27-9','BYPwMOj', 'LB')
('SL22517-2022-11-01-651','S28-3','HqXaJcEizgcP', 'UB')
('SL04652-2022-11-01-645','S27-21','TmrfkWR', 'MB')
('AC22517-2022-11-02-707','A40-5','kC', 'SL')
('SL04652-2022-11-02-626','S27-2','wZB', 'MB')
('SL12058-2022-11-01-664','S28-16','jdhjOZG', 'SU')
('SL04652-2022-11-01-674','S29-2','rvc', 'MB')
('AC22517-2022-11-01-641','A36-11','HfGXmzbg', 'SL')
('SL22517-2022-11-01-698','S30-2','WaexLxhi', 'MB')
('AC22517-2022-11-01-689','A39-5','FusFqSsndRseIuf', 'SL')
('AC22517-2022-11-02-766','A43-10','GdfGgRwSrfyfndTv', 'UB')
('SL12058-2022-11-01-749','S32-5','JsuzSsoIkD', 'MB')
('AC22517-2022-11-01-695','A39-11','hAMdrFqDsPyOc', 'SL')
('AC12058-2022-11-01-741','A42-3','c', 'UB')
('AC04652-2022-11-01-732','A41-12','NlIFnR', 'SU')
('AC04652-2022-11-01-737','A41-17','TCgRnhTPKqzM', 'SL')
('AC22517-2022-11-02-776','A44-2','vGFKvJIuOmNVH', 'LB')
('AC22517-2022-11-01-699','A39-15','WUQODa', 'UB')
('SL22517-2022-11-02-747','S32-3','GnTnb', 'UB')
('SL04652-2022-11-02-715','S30-19','eaGTnKONlENaoHIP', 'UB')
('AC22517-2022-11-01-705','A40-3','sLf', 'UB')
('AC04652-2022-11-01-745','A42-7','eMIOzB', 'LB')
('AC22517-2022-11-02-790','A44-16','fETtnLeEQvzcGW', 'UB')
('AC04652-2022-11-02-743','A42-5','wQKSjdEY', 'SL')
('SL12058-2022-11-01-765','S32-21','MseUPg', 'MB')
('SL04652-2022-11-01-790','S33-22','pDelDzexNaTsw', 'UB')
('SL12058-2022-11-01-803','S34-11','kMaviqEmG', 'UB')
('SL04652-2022-11-02-748','S32-4','qmu', 'LB')
('AC04652-2022-11-01-779','A44-5','M', 'SL')
('SL22517-2022-11-02-800','S34-8','mlbMvCcdHUor', 'SU')
('AC22517-2022-11-01-757','A43-1','urFKozqNbbcOx', 'LB')
('SL04652-2022-11-01-797','S34-5','pktUcdwaDFmRl', 'MB')
('AC04652-2022-11-01-793','A45-1','GS', 'LB')
('AC04652-2022-11-02-783','A44-9','snTGUsdiZb', 'UB')
('SL22517-2022-11-02-812','S34-20','rWAP', 'LB')
('AC04652-2022-11-01-818','A46-8','zYUbiSYdcf', 'LB')
('AC22517-2022-11-02-865','A49-1','ACIkaFrFhdu', 'LB')
('SL04652-2022-11-02-780','S33-12','QbCrQOJFisdGDs', 'LB')
('SL12058-2022-11-01-838','S35-22','kCihgrHOyaUardm', 'UB')
('SL22517-2022-11-02-834','S35-18','FHQqIon', 'MB')
('AC04652-2022-11-02-807','A45-15','XCieenvwhnl', 'UB')
('AC04652-2022-11-01-842','A47-14','HsYTM', 'LB')
('AC04652-2022-11-02-826','A46-16','aaefSTR', 'UB')
('AC22517-2022-11-02-885','A50-3','DKbtIGs', 'UB')
('SL04652-2022-11-01-838','S35-22','CJBxjSeTGggVDlC', 'UB')
('AC04652-2022-11-02-834','A47-6','hprMKaCVgEdFzl', 'SU')
('AC22517-2022-11-02-898','A50-16','xpBUMQQP', 'UB')
('AC22517-2022-11-02-900','A50-18','qZoouBvTzKuwwQed', 'SU')
('SL12058-2022-11-01-876','S37-12','EnlWclMnIHRFPSoq', 'LB')
('AC04652-2022-11-01-873','A49-9','nyDFvFtlm', 'UB')
('SL22517-2022-11-02-863','S36-23','VlXaLyNBmEbdf', 'SL')
('AC12058-2022-11-01-874','A49-10','JrRvVbx', 'UB')
('AC12058-2022-11-01-877','A49-13','UHdzuOCejwgXbEVJ', 'LB')
('SL22517-2022-11-02-876','S37-12','fEn', 'LB')
('AC04652-2022-11-02-859','A48-13','rWjbUjWWMVo', 'LB')
('AC22517-2022-11-01-830','A47-2','vTO', 'LB')
('SL04652-2022-11-01-862','S36-22','kMlSe', 'UB')
('SL22517-2022-11-01-869','S37-5','NfTKmnZ', 'MB')
('SL04652-2022-11-02-869','S37-5','B', 'MB')
('SL04652-2022-11-01-903','S38-15','JEPdmzthf', 'SL')
('SL12058-2022-11-01-936','S39-24','SmGIRpIzfdzHENjY', 'SU')
('AC12058-2022-11-01-913','A51-13','bZuF', 'LB')
('SL04652-2022-11-01-906','S38-18','GgsXCjacyAkf', 'MB')
('SL22517-2022-11-01-914','S39-2','sPoyqABoUgu', 'MB')
('AC22517-2022-11-01-874','A49-10','cQCNSN', 'UB')
('SL04652-2022-11-01-909','S38-21','pSLi', 'MB')
('AC22517-2022-11-01-876','A49-12','ie', 'SU')
('AC12058-2022-11-01-915','A51-15','gONgGaVvjFWKluQ', 'UB')
('AC12058-2022-11-01-916','A51-16','AlCRtTrRZo', 'UB')
('SL12058-2022-11-01-944','S40-8','hAPhhmnrUNBP', 'SU')
('SL04652-2022-11-02-879','S37-15','UoJnklRKn', 'SL')
('AC12058-2022-11-01-919','A52-1','lFDVBwXjRc', 'LB')
('AC22517-2022-11-01-882','A49-18','pLstKKJlRFoFJqvY', 'SU')
('AC12058-2022-11-01-920','A52-2','XEeieH', 'LB')
('AC22517-2022-11-01-885','A50-3','LDyKF', 'UB')
('SL12058-2022-11-01-948','S40-12','RgmIStfQnlOgYyTa', 'LB')
('SL22517-2022-11-01-930','S39-18','KSTngMiWrop', 'MB')
('SL04652-2022-11-02-885','S37-21','mRERqH', 'MB')
('AC22517-2022-11-01-893','A50-11','qunyqmtyqLI', 'SL')
('SL12058-2022-11-01-954','S40-18','DibIMFDNyztXI', 'MB')
('AC04652-2022-11-01-941','A53-5','yb', 'SL')
('SL22517-2022-11-02-945','S40-9','qOYA', 'LB')
('AC12058-2022-11-01-929','A52-11','GfXtmWTlHdEtgC', 'SL')
('AC22517-2022-11-02-977','A55-5','qoN', 'SL')
('AC04652-2022-11-02-908','A51-8','gKMCLRbczDEVbtII', 'LB')
('AC04652-2022-11-02-909','A51-9','aJzcv', 'UB')
('SL12058-2022-11-01-960','S40-24','Zfkg', 'SU')
('AC22517-2022-11-01-900','A50-18','mX', 'SU')
('SL22517-2022-11-01-942','S40-6','ojpRCATNycwsHE', 'UB')
('SL04652-2022-11-02-893','S38-5','hDzbAF', 'MB')
('SL04652-2022-11-02-894','S38-6','WmlNKbiLJ', 'UB')
('AC22517-2022-11-02-979','A55-7','bD', 'LB')
('AC04652-2022-11-01-999','A56-9','IMPVd', 'UB')
('SL22517-2022-11-01-992','S42-8','nNGCQYwHIPTVv', 'SU')
('SL22517-2022-11-01-993','S42-9','EWNPHhXgk', 'LB')
('AC12058-2022-11-01-980','A55-8','ZFTeqHrXG', 'LB')
('AC12058-2022-11-01-981','A55-9','teHUOjhZK', 'UB')
('AC04652-2022-11-01-1005','A56-15','oHWsnvkCbm', 'UB')
('SL22517-2022-11-02-1028','S43-20','m', 'LB')
('SL04652-2022-11-01-989','S42-5','jnDpeLvmVFLoOgEH', 'MB')
('AC12058-2022-11-01-993','A56-3','mQM', 'UB')
('AC22517-2022-11-02-1042','A58-16','bArnYFzPlBS', 'UB')
('SL12058-2022-11-01-1020','S43-12','FRORGATyoTMLa', 'LB')
('AC22517-2022-11-02-1044','A58-18','iZBPKPuA', 'SU')
('SL04652-2022-11-01-992','S42-8','e', 'SU')
('SL12058-2022-11-01-1024','S43-16','iXXoy', 'SU')
('AC04652-2022-11-02-989','A55-17','hbJNg', 'SL')
('SL04652-2022-11-01-996','S42-12','QQcjFISUfKT', 'LB')
('SL22517-2022-11-02-1045','S44-13','T', 'MB')
('AC22517-2022-11-01-984','A55-12','uDyLwsuDSrv', 'SU')
('AC04652-2022-11-02-994','A56-4','euDkFHwEgV', 'UB')
('SL22517-2022-11-02-1047','S44-15','UftyHGEKbNhl', 'SL')
('AC04652-2022-11-02-1000','A56-10','vLyLB', 'UB')
('AC22517-2022-11-02-1062','A59-18','XjnZ', 'SU')
('SL04652-2022-11-02-960','S40-24','CIxH', 'SU')
('AC22517-2022-11-01-994','A56-4','eRDDgLWWH', 'UB')
('SL04652-2022-11-02-965','S41-5','WfWDLZ', 'MB')
('AC04652-2022-11-01-1032','A58-6','lnfILyRk', 'SU')
('AC12058-2022-11-01-1012','A57-4','hSjjoDy', 'UB')
('AC04652-2022-11-01-1034','A58-8','jsMCwXDkPM', 'LB')
('AC22517-2022-11-02-1080','A60-18','fn', 'SU')
('AC04652-2022-11-01-1049','A59-5','feCwrbmRAMzIOgG', 'SL')
('SL04652-2022-11-01-1029','S43-21','YdpwPqLelBVOA', 'MB')
('SL12058-2022-11-01-1051','S44-19','AmWiGpjHv', 'UB')
('AC12058-2022-11-01-1028','A58-2','Fsvq', 'LB')
('AC04652-2022-11-02-1026','A57-18','LpmxNNp', 'SU')
('AC22517-2022-11-02-1084','A61-4','AkvngzRolxVdyWFD', 'UB')
('SL04652-2022-11-02-993','S42-9','YVhgwyW', 'LB')
('SL04652-2022-11-02-995','S42-11','JYImzpxwgc', 'UB')
('AC04652-2022-11-01-1059','A59-15','hDeyy', 'UB')
('SL04652-2022-11-02-999','S42-15','THomdrn', 'SL')
('SL04652-2022-11-02-1000','S42-16','AJLBCLyJzyXYuA', 'SU')
('AC22517-2022-11-02-1088','A61-8','ojcYNUvvumEokuI', 'LB')
('AC22517-2022-11-01-1025','A57-17','burfPdJAfrU', 'SL')
('AC22517-2022-11-02-1090','A61-10','jiGAGkyaSsF', 'UB')
('SL04652-2022-11-02-1015','S43-7','efjbLkqSdrc', 'SL')
('SL04652-2022-11-01-1052','S44-20','jxZv', 'LB')
('AC22517-2022-11-01-1037','A58-11','UfebFGHSq', 'SL')
('SL22517-2022-11-01-1069','S45-13','xTCFfFWcpW', 'MB')
('AC22517-2022-11-02-1099','A62-1','FnQKN', 'LB')
('SL22517-2022-11-02-1109','S47-5','ZCZ', 'MB')
('SL04652-2022-11-01-1061','S45-5','xWHGcqfunKa', 'MB')
('AC22517-2022-11-01-1061','A59-17','YcdQonJfACJvyk', 'SL')
('SL22517-2022-11-02-1121','S47-17','AVMo', 'LB')
('SL22517-2022-11-02-1123','S47-19','AYwEMl', 'UB')
('AC22517-2022-11-02-1114','A62-16','S', 'UB')
('SL12058-2022-11-01-1083','S46-3','PpWPUgDWlampQ', 'UB')
('AC12058-2022-11-01-1080','A60-18','xBWGD', 'SU')
('AC12058-2022-11-01-1081','A61-1','tC', 'LB')
('SL22517-2022-11-02-1127','S47-23','OFeapQB', 'SL')
('SL22517-2022-11-02-1128','S47-24','XJgTkSVhYiq', 'SU')
('SL04652-2022-11-02-1048','S44-16','LGvuQUbCOkZgZl', 'SU')
('AC12058-2022-11-01-1083','A61-3','pE', 'UB')
('AC22517-2022-11-01-1073','A60-11','uplg', 'SL')
('AC22517-2022-11-01-1074','A60-12','gQXZnx', 'SU')
('SL22517-2022-11-02-1133','S48-5','bXWFMkIR', 'MB')
('SL04652-2022-11-01-1087','S46-7','AtkwUUcFR', 'SL')
('AC04652-2022-11-02-1068','A60-6','CjDXTfxwTPLbNH', 'SU')
('AC12058-2022-11-01-1090','A61-10','HhcKOoFRkScrcSY', 'UB')
('SL22517-2022-11-01-1096','S46-16','TgtByCbujyaAThAv', 'SU')
('SL22517-2022-11-01-1097','S46-17','iQRVwynb', 'LB')
('SL12058-2022-11-01-1093','S46-13','mEWNnVHG', 'MB')
('SL22517-2022-11-01-1098','S46-18','DYdLlJ', 'MB')
('SL04652-2022-11-01-1117','S47-13','ldsfQinZ', 'MB')
('AC04652-2022-11-02-1097','A61-17','RIZgEVHlxUzcEs', 'SL')
('SL22517-2022-11-02-1156','S49-4','J', 'LB')
('SL04652-2022-11-02-1087','S46-7','mxUGrGCs', 'SL')
('SL12058-2022-11-01-1106','S47-2','iirQqoFNxktTypD', 'MB')
('AC12058-2022-11-01-1110','A62-12','wfvMFphKEyiVivxK', 'SU')
('AC12058-2022-11-01-1111','A62-13','CFiPTspseiVDSQvV', 'LB')
('SL04652-2022-11-02-1089','S46-9','lofFvrAFkeTMw', 'LB')
('AC22517-2022-11-01-1102','A62-4','ewXvuneyBzmkBo', 'UB')
('AC04652-2022-11-01-1138','A64-4','tcSqYZPlynxPV', 'UB')
('SL22517-2022-11-01-1125','S47-21','ovCijqmjOdGHV', 'MB')
('AC12058-2022-11-01-1115','A62-17','kBQNVWUdtwTDqeWf', 'SL')
('AC04652-2022-11-02-1104','A62-6','fHD', 'SU')
('AC12058-2022-11-01-1118','A63-2','cmrCDthQYLZkL', 'LB')
('SL04652-2022-11-02-1092','S46-12','EkonUTsqezKcuP', 'LB')
('SL04652-2022-11-02-1093','S46-13','bYT', 'MB')
('SL04652-2022-11-02-1095','S46-15','VEuzbatEYAqE', 'SL')
('AC04652-2022-11-01-1144','A64-10','URNVNC', 'UB')
('AC12058-2022-11-01-1121','A63-5','BkyNjuIIprABmX', 'SL')
('SL22517-2022-11-02-1169','S49-17','NKpNUrDPnVWIB', 'LB')
('AC22517-2022-11-02-1170','A65-18','aDuBwPbbX', 'SU')
('AC22517-2022-11-01-1123','A63-7','FMZBsZX', 'LB')
('AC04652-2022-11-01-1160','A65-8','jeBKGxnfSjT', 'LB')
('SL04652-2022-11-02-1113','S47-9','EeDhTUrCzyPuI', 'LB')
('AC04652-2022-11-02-1129','A63-13','ADaBaZjopUJOgw', 'LB')
('SL04652-2022-11-01-1149','S48-21','ePAVZgYJ', 'MB')
('SL12058-2022-11-01-1135','S48-7','hnUw', 'SL')
('AC04652-2022-11-02-1132','A63-16','EJdamGa', 'UB')
('SL22517-2022-11-02-1190','S50-14','aJwbrWDIae', 'UB')
('SL12058-2022-11-01-1141','S48-13','PIQOuomhqvplgXc', 'MB')
('AC04652-2022-11-01-1175','A66-5','IrnFr', 'SL')
('SL22517-2022-11-01-1168','S49-16','ZMZfvfStCmLpnVP', 'SU')
('SL04652-2022-11-02-1129','S48-1','MKkLBFJLmSaTe', 'LB')
('AC04652-2022-11-01-1183','A66-13','GMJSpOXVXzutRzGF', 'LB')
('AC22517-2022-11-02-1198','A67-10','yZfUz', 'UB')
('SL22517-2022-11-01-1174','S49-22','rQuJB', 'UB')
('AC04652-2022-11-01-1190','A67-2','awGKOnKrppM', 'LB')
('SL22517-2022-11-01-1179','S50-3','Yz', 'UB')
('SL12058-2022-11-01-1163','S49-11','jpC', 'UB')
('AC22517-2022-11-01-1164','A65-12','SSn', 'SU')
('SL04652-2022-11-01-1184','S50-8','iPMLFFokU', 'SU')
('SL22517-2022-11-02-1224','S51-24','PLNEocwGF', 'SU')
('SL04652-2022-11-02-1169','S49-17','MgiAYVfeCT', 'LB')
('SL12058-2022-11-01-1186','S50-10','FDRkmBdZbbX', 'MB')
('SL22517-2022-11-01-1205','S51-5','yTBLqWQBxcQ', 'MB')
('SL22517-2022-11-01-1206','S51-6','wQbqComnqjE', 'UB')
('SL04652-2022-11-02-1184','S50-8','Ism', 'SU')
('AC04652-2022-11-01-1231','A69-7','mF', 'LB')
('AC04652-2022-11-01-1234','A69-10','rmJwqhYnqZUO', 'UB')
('AC04652-2022-11-02-1193','A67-5','cMGOTfWZf', 'SL')
('AC04652-2022-11-02-1195','A67-7','Wh', 'LB')
('AC22517-2022-11-01-1191','A67-3','vLvMtQoFZEFTaGH', 'UB')
('AC04652-2022-11-01-1243','A70-1','T', 'LB')
('SL04652-2022-11-01-1221','S51-21','YPXqYCriksI', 'MB')
('AC22517-2022-11-02-1252','A70-10','YPgzE', 'UB')
('AC04652-2022-11-01-1248','A70-6','IO', 'SU')
('AC12058-2022-11-01-1218','A68-12','zOUedVBUTdvec', 'SU')
('AC22517-2022-11-02-1254','A70-12','GdgRsbu', 'SU')
('AC04652-2022-11-02-1212','A68-6','ICPGrejaPaTQ', 'SU')
('SL22517-2022-11-01-1242','S52-18','gjj', 'MB')
('SL22517-2022-11-02-1265','S53-17','VQOJGo', 'LB')
('SL12058-2022-11-01-1220','S51-20','DVOxTpSC', 'LB')
('SL04652-2022-11-02-1205','S51-5','Po', 'MB')
('AC12058-2022-11-01-1229','A69-5','ygwHkGSAjXAX', 'SL')
('SL12058-2022-11-01-1223','S51-23','RK', 'SL')
('AC22517-2022-11-02-1263','A71-3','MubXnoF', 'UB')
('AC12058-2022-11-01-1233','A69-9','KCvYbxUT', 'UB')
('SL12058-2022-11-01-1227','S52-3','bHbYEu', 'UB')
('AC22517-2022-11-01-1211','A68-5','DgohnrmHQiN', 'SL')
('SL22517-2022-11-02-1277','S54-5','CQTLRzhyyWZHseF', 'MB')
('AC22517-2022-11-02-1278','A71-18','Q', 'SU')
('SL04652-2022-11-02-1228','S52-4','aSBTWWev', 'LB')
('AC22517-2022-11-02-1317','A74-3','NErqyElKxBKH', 'UB')
('SL04652-2022-11-01-1296','S54-24','bH', 'SU')
('SL12058-2022-11-01-1272','S53-24','ivF', 'SU')
('SL22517-2022-11-01-1293','S54-21','sbYTmguf', 'MB')
('AC04652-2022-11-02-1269','A71-9','y', 'UB')
('AC22517-2022-11-02-1320','A74-6','jRAUaYZstrfVxe', 'SU')
