('SL04652-2022-11-02-5','S1-5','riHEfALcuTXYKB', 'MB')
('SL04652-2022-11-01-384','S16-24','EKdHd', 'SU')
('AC22517-2022-11-01-362','A21-2','ZbnPPnnOIpMx', 'LB')
('AC04652-2022-11-02-401','A23-5','lzXpyYlJfJHDwflQ', 'SL')
('AC22517-2022-11-01-365','A21-5','F', 'SL')
('SL04652-2022-11-01-389','S17-5','AWfffj', 'MB')
('SL22517-2022-11-02-386','S17-2','hkCeBKpLOL', 'MB')
('SL04652-2022-11-01-392','S17-8','bokRfWYjpaPGLw', 'SU')
('SL12058-2022-11-01-421','S18-13','cgjkXwjyMZe', 'MB')
('SL22517-2022-11-02-387','S17-3','pvilimAv', 'UB')
('SL04652-2022-11-01-393','S17-9','wczhGiqbrzFhYUcP', 'LB')
('SL22517-2022-11-02-388','S17-4','DbcOIa', 'LB')
('SL04652-2022-11-01-395','S17-11','NhuqvXOVhmcrXi', 'UB')
('SL04652-2022-11-02-373','S16-13','EqdbMJHPApd', 'MB')
('AC12058-2022-11-01-429','A24-15','ycge', 'UB')
('AC04652-2022-11-02-412','A23-16','PjDt', 'UB')
('SL04652-2022-11-01-398','S17-14','ovfjOi', 'UB')
('AC04652-2022-11-02-413','A23-17','FyWsGhkoPlHZM', 'SL')
('SL22517-2022-11-01-412','S18-4','dSg', 'LB')
('SL22517-2022-11-02-394','S17-10','JLwMAKKpONGEcqP', 'MB')
('AC12058-2022-11-01-433','A25-1','tUVfEEWyS', 'LB')
('SL04652-2022-11-02-379','S16-19','jdFNXxhpMZ', 'UB')
('AC04652-2022-11-02-421','A24-7','FJm', 'LB')
('SL04652-2022-11-02-384','S16-24','E', 'SU')
('SL04652-2022-11-02-385','S17-1','BlBBylykVr', 'LB')
('AC22517-2022-11-02-456','A26-6','GTLiihx', 'SU')
('SL04652-2022-11-02-388','S17-4','N', 'LB')
('AC04652-2022-11-01-440','A25-8','CptffUPGvUpb', 'LB')
('AC22517-2022-11-02-457','A26-7','EAmFGWxbFbXHMa', 'LB')
('SL22517-2022-11-02-408','S17-24','LEiUxuDb', 'SU')
('AC04652-2022-11-02-502','A28-16','wLwmpS', 'UB')
('SL22517-2022-11-02-477','S20-21','OBjB', 'MB')
('SL22517-2022-11-02-479','S20-23','yYynhH', 'SL')
('SL22517-2022-11-01-506','S22-2','CrhQULWqpsGNZuT', 'MB')
('AC12058-2022-11-01-543','A31-3','uXhvblIXX', 'UB')
('AC04652-2022-11-02-524','A30-2','ualahAuBPZVwj', 'LB')
('SL22517-2022-11-02-506','S22-2','sOKeNZWM', 'MB')
('SL04652-2022-11-01-500','S21-20','YaZhuOwAGIlRLqoj', 'LB')
('AC04652-2022-11-02-527','A30-5','EroaGwnNsinC', 'SL')
('AC22517-2022-11-01-468','A26-18','KQxDzKL', 'SU')
('SL22517-2022-11-02-508','S22-4','FBGmttgOtVdYWdT', 'LB')
('SL04652-2022-11-02-481','S21-1','JjcJm', 'LB')
('SL04652-2022-11-01-504','S21-24','YQjbbjzHIJ', 'SU')
('SL22517-2022-11-02-510','S22-6','WtfkbCFiD', 'UB')
('AC04652-2022-11-02-530','A30-8','UEvOGGRjYBtJtlh', 'LB')
('SL04652-2022-11-02-482','S21-2','AFHMB', 'MB')
('SL04652-2022-11-01-507','S22-3','nZ', 'UB')
('SL04652-2022-11-02-484','S21-4','QiPJOOfYzMzJaLvo', 'LB')
('AC04652-2022-11-02-537','A30-15','pEbtqiLODAMWY', 'UB')
('AC04652-2022-11-02-538','A30-16','zi', 'UB')
('SL12058-2022-11-01-536','S23-8','Lwa', 'SU')
('AC12058-2022-11-01-571','A32-13','gjCUOEpE', 'LB')
('AC22517-2022-11-01-485','A27-17','swjMZKcdq', 'SL')
('SL04652-2022-11-01-528','S22-24','MYUmQMzCjtOEbreC', 'SU')
('SL04652-2022-11-01-529','S23-1','xdqdDymDqR', 'LB')
('AC04652-2022-11-01-545','A31-5','cSSijuva', 'SL')
('AC04652-2022-11-01-547','A31-7','q', 'LB')
('SL04652-2022-11-01-534','S23-6','nBwKEQMx', 'UB')
('AC04652-2022-11-02-546','A31-6','cgxi', 'SU')
('SL12058-2022-11-01-541','S23-13','Jy', 'MB')
('SL22517-2022-11-02-537','S23-9','DFWknS', 'LB')
('AC04652-2022-11-02-548','A31-8','iaDMvLiRKztJWwZY', 'LB')
('SL04652-2022-11-01-537','S23-9','npTVjWBuxeLPHkc', 'LB')
('AC22517-2022-11-02-606','A34-12','pXLxzXtVWEVP', 'SU')
('SL12058-2022-11-01-553','S24-1','DiPEKoFqHB', 'LB')
('AC22517-2022-11-01-504','A28-18','eZXHAqvJeldWZh', 'SU')
('AC12058-2022-11-01-591','A33-15','CcN', 'UB')
('AC04652-2022-11-02-560','A32-2','oEZJMwiao', 'LB')
('SL22517-2022-11-01-565','S24-13','fAwBMoTun', 'MB')
('AC04652-2022-11-02-561','A32-3','MNJHa', 'UB')
('SL22517-2022-11-01-566','S24-14','O', 'UB')
('AC04652-2022-11-01-564','A32-6','rEf', 'SU')
('SL04652-2022-11-02-551','S23-23','FHciP', 'SL')
('SL04652-2022-11-01-606','S26-6','kHjPAHddlkDE', 'UB')
('AC04652-2022-11-02-619','A35-7','YGmRjMn', 'LB')
('AC22517-2022-11-01-560','A32-2','AUjZix', 'LB')
('SL04652-2022-11-01-608','S26-8','vgwJQu', 'SU')
('AC12058-2022-11-01-628','A35-16','BiTZ', 'UB')
('SL22517-2022-11-02-595','S25-19','IY', 'UB')
('SL04652-2022-11-02-559','S24-7','lXXudjVbNQ', 'SL')
('AC04652-2022-11-01-614','A35-2','hipoftVtWq', 'LB')
('SL22517-2022-11-02-598','S25-22','cZeKkyhDxPLtUNIC', 'UB')
('AC04652-2022-11-01-615','A35-3','ZATeE', 'UB')
('SL22517-2022-11-02-600','S25-24','UXbLadjxStpIou', 'SU')
('AC22517-2022-11-01-566','A32-8','YJyMQafnnEWk', 'LB')
('AC22517-2022-11-02-684','A38-18','MAYNMBMqJhHyjWNe', 'SU')
('AC22517-2022-11-02-700','A39-16','zlW', 'UB')
('AC04652-2022-11-01-656','A37-8','FnKZEcZfH', 'LB')
('SL04652-2022-11-01-659','S28-11','IZAQACGrLNCGI', 'UB')
('AC22517-2022-11-02-743','A42-5','LHssRhLD', 'SL')
('SL04652-2022-11-01-715','S30-19','hLpTEqpNdalV', 'UB')
('SL22517-2022-11-02-703','S30-7','Fjitq', 'SL')
('AC22517-2022-11-02-745','A42-7','psqsSWjuzKol', 'LB')
('SL22517-2022-11-02-706','S30-10','pjkrn', 'MB')
('SL04652-2022-11-02-681','S29-9','rDEGzNCQmqF', 'LB')
('AC04652-2022-11-01-710','A40-8','zYKXmOkErKpiavev', 'LB')
('SL22517-2022-11-01-728','S31-8','SVJxNSHsqr', 'SU')
('AC04652-2022-11-02-708','A40-6','n', 'SU')
('AC22517-2022-11-02-748','A42-10','gNWEfGCVejA', 'UB')
('SL04652-2022-11-01-718','S30-22','WpguzyInBQoHXAi', 'UB')
('SL12058-2022-11-01-723','S31-3','JeIwzUQNJsMnYs', 'UB')
('SL12058-2022-11-01-727','S31-7','cIDxarcBuzZ', 'SL')
('AC22517-2022-11-02-752','A42-14','tHee', 'LB')
('SL22517-2022-11-01-733','S31-13','dtXagKZqlCKQ', 'MB')
('SL04652-2022-11-02-688','S29-16','ekyP', 'SU')
('SL22517-2022-11-02-715','S30-19','nmjNqaimRci', 'UB')
('AC04652-2022-11-01-715','A40-13','vLb', 'LB')
('AC12058-2022-11-01-720','A40-18','hI', 'SU')
('AC04652-2022-11-02-713','A40-11','lEeh', 'SL')
('AC22517-2022-11-01-678','A38-12','CcnbeBUzTUWD', 'SU')
('AC12058-2022-11-01-724','A41-4','mAIrzczg', 'UB')
('SL04652-2022-11-02-690','S29-18','xPUWq', 'MB')
('AC22517-2022-11-02-757','A43-1','TMTzteMDlG', 'LB')
('AC22517-2022-11-01-682','A38-16','uECSLGiAJV', 'UB')
('AC22517-2022-11-02-759','A43-3','SqRCaci', 'UB')
('AC12058-2022-11-01-730','A41-10','SCO', 'UB')
('SL22517-2022-11-02-723','S31-3','AZMNfD', 'UB')
('AC04652-2022-11-01-721','A41-1','FakkqzuGNu', 'LB')
('AC04652-2022-11-02-717','A40-15','jJC', 'UB')
('AC04652-2022-11-01-722','A41-2','z', 'LB')
('AC04652-2022-11-02-718','A40-16','lwEHfczCxuemTAi', 'UB')
('SL22517-2022-11-02-728','S31-8','noMeqZjfPwkAQz', 'SU')
('SL04652-2022-11-02-705','S30-9','fE', 'LB')
('SL22517-2022-11-01-746','S32-2','MLcPHidFassIQF', 'MB')
('AC12058-2022-11-01-743','A42-5','vLHRNVj', 'SL')
('AC22517-2022-11-02-772','A43-16','YdfIJsjmvABVPCL', 'UB')
('AC12058-2022-11-01-748','A42-10','pdBjAsHiVDl', 'UB')
('AC04652-2022-11-02-734','A41-14','G', 'LB')
('SL12058-2022-11-01-758','S32-14','BHyELGvxtyH', 'UB')
('SL22517-2022-11-02-750','S32-6','eZRTdGNESVEA', 'UB')
('SL22517-2022-11-02-794','S34-2','tIhDyJm', 'MB')
('AC04652-2022-11-02-774','A43-18','cAYBnLyN', 'SU')
('SL12058-2022-11-01-807','S34-15','Ed', 'SL')
('AC22517-2022-11-01-758','A43-2','apkNArpzqnsHhN', 'LB')
('SL22517-2022-11-02-802','S34-10','a', 'MB')
('SL22517-2022-11-01-803','S34-11','CjxeDLMJHs', 'UB')
('SL22517-2022-11-02-804','S34-12','WPfjYciou', 'LB')
('SL22517-2022-11-02-805','S34-13','mBMhceUURaRszDBn', 'MB')
('AC04652-2022-11-01-789','A44-15','QMWpNls', 'UB')
('AC22517-2022-11-01-761','A43-5','pHhqNVOQ', 'SL')
('AC22517-2022-11-02-844','A47-16','zzpOJECFjPkwzYiR', 'UB')
('SL04652-2022-11-02-765','S32-21','VnJUdewaWNQcEQ', 'MB')
('AC04652-2022-11-01-802','A45-10','NQskzjTDO', 'UB')
('AC22517-2022-11-01-768','A43-12','Km', 'SU')
('SL04652-2022-11-02-767','S32-23','fuhnlfmHLyBeS', 'SL')
('AC12058-2022-11-01-821','A46-11','wLym', 'SL')
('SL04652-2022-11-02-768','S32-24','RnKwmxxKEnt', 'SU')
('SL04652-2022-11-01-809','S34-17','zh', 'LB')
('AC04652-2022-11-02-797','A45-5','UbvIOvlVK', 'SL')
('SL22517-2022-11-02-827','S35-11','NlhKDXc', 'UB')
('SL12058-2022-11-01-831','S35-15','RrMjphpYLuKOKhks', 'SL')
('SL04652-2022-11-01-814','S34-22','e', 'UB')
('AC12058-2022-11-01-826','A46-16','kPiIZwr', 'UB')
('SL04652-2022-11-02-775','S33-7','ewyMjrDbuCd', 'SL')
('SL04652-2022-11-01-818','S35-2','t', 'MB')
('AC04652-2022-11-01-817','A46-7','pgLZdJFrLUebM', 'LB')
('SL04652-2022-11-01-819','S35-3','FQJJDGoiOBLdxhh', 'UB')
('AC12058-2022-11-01-829','A47-1','pUANMMhPSouPyro', 'LB')
('SL22517-2022-11-01-831','S35-15','WcJ', 'SL')
('SL22517-2022-11-02-831','S35-15','QXsQOtWfgonc', 'SL')
('SL12058-2022-11-01-834','S35-18','VRlEV', 'MB')
('AC22517-2022-11-01-788','A44-14','ZDvHFn', 'LB')
('SL04652-2022-11-01-824','S35-8','rBs', 'SU')
('AC04652-2022-11-02-810','A45-18','AC', 'SU')
('SL04652-2022-11-01-826','S35-10','DLXaEJDP', 'MB')
('AC12058-2022-11-01-837','A47-9','LMZXShaIKrdv', 'UB')
('SL04652-2022-11-02-787','S33-19','a', 'UB')
('AC04652-2022-11-01-860','A48-14','JxsLgc', 'LB')
('SL12058-2022-11-01-870','S37-6','ZNSIBcBzMYPcdTGe', 'UB')
('AC12058-2022-11-01-857','A48-11','ITgihdBBAzef', 'SL')
('AC12058-2022-11-01-862','A48-16','LOCqNWyeS', 'UB')
('SL04652-2022-11-02-830','S35-14','WP', 'UB')
('SL22517-2022-11-01-864','S36-24','v', 'SU')
('SL12058-2022-11-01-888','S37-24','CNnnRZICFBwd', 'SU')
('SL12058-2022-11-01-889','S38-1','UXvxGMRikQ', 'LB')
('SL04652-2022-11-01-861','S36-21','tSqTmOT', 'MB')
('AC22517-2022-11-02-915','A51-15','gEXnh', 'UB')
('SL22517-2022-11-01-868','S37-4','aUSuqQdiHr', 'LB')
('SL04652-2022-11-01-865','S37-1','CxGBPiKsdRNMv', 'LB')
('AC22517-2022-11-01-837','A47-9','TIFgeR', 'UB')
('SL22517-2022-11-01-913','S39-1','i', 'LB')
('SL04652-2022-11-01-907','S38-19','HEyNyawF', 'UB')
('AC04652-2022-11-02-897','A50-15','Bd', 'UB')
('AC22517-2022-11-02-957','A54-3','aWDTefQZu', 'UB')
('SL04652-2022-11-01-913','S39-1','uM', 'LB')
('AC22517-2022-11-01-879','A49-15','JFTBWDMTWcMrA', 'UB')
('AC04652-2022-11-02-900','A50-18','ldvaqQLrnsqsCC', 'SU')
('SL04652-2022-11-01-917','S39-5','jFxaF', 'MB')
('AC22517-2022-11-02-963','A54-9','NvdWIFLNJNRJp', 'UB')
('SL04652-2022-11-01-918','S39-6','PfniqG', 'UB')
('SL04652-2022-11-01-919','S39-7','staKkZCzHYcvsl', 'SL')
('SL22517-2022-11-01-928','S39-16','yoGbFk', 'SU')
('SL22517-2022-11-01-929','S39-17','tJDEasXFX', 'LB')
('AC04652-2022-11-01-938','A53-2','rkcaXWZoPqqTOocZ', 'LB')
('SL22517-2022-11-02-938','S40-2','kXodf', 'MB')
('AC22517-2022-11-02-969','A54-15','dpSLIAiG', 'UB')
('SL22517-2022-11-01-933','S39-21','NFwrUPTNHmdrN', 'MB')
('SL22517-2022-11-02-941','S40-5','hSkHaWqwYfysrqV', 'MB')
('SL04652-2022-11-01-921','S39-9','b', 'LB')
('SL04652-2022-11-01-922','S39-10','uDcdkV', 'MB')
('AC22517-2022-11-02-976','A55-4','LTeZYrPJqAmiZvVs', 'UB')
('SL12058-2022-11-01-956','S40-20','NwiTGfbZ', 'LB')
('SL04652-2022-11-02-888','S37-24','f', 'SU')
('AC22517-2022-11-02-982','A55-10','FFBh', 'UB')
('AC22517-2022-11-01-905','A51-5','gHqrLLroCawrCI', 'SL')
('AC22517-2022-11-02-984','A55-12','T', 'SU')
('SL22517-2022-11-02-957','S40-21','twsgzGveTP', 'MB')
('SL04652-2022-11-01-935','S39-23','rsFbdZOmCVO', 'SL')
('SL04652-2022-11-02-901','S38-13','orMNe', 'MB')
('SL22517-2022-11-02-963','S41-3','oGcRJh', 'UB')
('AC04652-2022-11-02-922','A52-4','i', 'UB')
('SL04652-2022-11-02-906','S38-18','CNSuWNsv', 'MB')
('AC22517-2022-11-02-999','A56-9','heZhhVOWBeptgGS', 'UB')
('SL22517-2022-11-02-970','S41-10','tntHfsxYxGEbKTwK', 'MB')
('SL12058-2022-11-01-978','S41-18','LgNS', 'MB')
('SL12058-2022-11-01-982','S41-22','P', 'UB')
('AC12058-2022-11-01-951','A53-15','xvdP', 'UB')
('SL22517-2022-11-02-976','S41-16','eVZleTriJ', 'SU')
('AC22517-2022-11-01-925','A52-7','pvCGts', 'LB')
('SL22517-2022-11-02-982','S41-22','RrqTGh', 'UB')
('SL12058-2022-11-01-986','S42-2','UGG', 'MB')
('AC04652-2022-11-02-940','A53-4','LqExC', 'UB')
('AC04652-2022-11-02-941','A53-5','kICRUICt', 'SL')
('SL22517-2022-11-01-972','S41-12','gcxqqN', 'LB')
('SL04652-2022-11-01-957','S40-21','M', 'MB')
('AC22517-2022-11-01-933','A52-15','rSrRTnZuWRLYmf', 'UB')
('SL22517-2022-11-02-992','S42-8','yMylnyKDjjSW', 'SU')
('SL12058-2022-11-01-989','S42-5','wOJ', 'MB')
('AC22517-2022-11-02-1013','A57-5','BmVxxh', 'SL')
('AC22517-2022-11-01-948','A53-12','w', 'SU')
('AC22517-2022-11-02-1022','A57-14','oguO', 'LB')
('AC22517-2022-11-02-1023','A57-15','pbNlwghYpQ', 'UB')
('SL22517-2022-11-01-986','S42-2','Mox', 'MB')
('SL22517-2022-11-01-987','S42-3','wdobPfUKR', 'UB')
('AC04652-2022-11-01-997','A56-7','MfREORxMJhfGthdN', 'LB')
