('SL22517-2022-11-01-3','S1-3','aGlHy', 'UB')
('AC22517-2022-11-01-493','A28-7','kLhLCWxRbMbjv', 'LB')
('SL22517-2022-11-01-548','S23-20','btSfAJBDTdJH', 'LB')
('AC12058-2022-11-01-580','A33-4','kZSOTjJQvoB', 'UB')
('AC12058-2022-11-01-581','A33-5','x', 'SL')
('SL12058-2022-11-01-543','S23-15','ShXe', 'SL')
('AC12058-2022-11-01-582','A33-6','BxwU', 'SU')
('AC04652-2022-11-01-552','A31-12','wsoTCIfLZub', 'SU')
('SL22517-2022-11-02-542','S23-14','kdeLO', 'UB')
('SL22517-2022-11-02-543','S23-15','kDTZIPYvCpaQR', 'SL')
('SL22517-2022-11-02-544','S23-16','L', 'SU')
('SL22517-2022-11-01-559','S24-7','cBRJiZt', 'SL')
('SL12058-2022-11-01-552','S23-24','zAWeMWSQwNg', 'SU')
('AC04652-2022-11-02-555','A31-15','UmxAvSllV', 'UB')
('SL04652-2022-11-01-543','S23-15','IS', 'SL')
('SL22517-2022-11-01-562','S24-10','zqwshrmaBUR', 'MB')
('SL22517-2022-11-02-550','S23-22','WpVPbFzS', 'UB')
('SL12058-2022-11-01-556','S24-4','VmlEZHly', 'LB')
('AC04652-2022-11-01-562','A32-4','PiIY', 'UB')
('SL04652-2022-11-02-511','S22-7','ZIGLAUyMv', 'SL')
('SL22517-2022-11-02-554','S24-2','MGl', 'MB')
('SL22517-2022-11-01-568','S24-16','FUX', 'SU')
('SL04652-2022-11-01-554','S24-2','s', 'MB')
('SL22517-2022-11-02-558','S24-6','qyLODdNkiGgLlhU', 'UB')
('AC22517-2022-11-02-617','A35-5','qDQiBZH', 'SL')
('AC04652-2022-11-02-571','A32-13','QmKzMbLZPXQX', 'LB')
('AC04652-2022-11-01-570','A32-12','xqkRKhoOmL', 'SU')
('AC04652-2022-11-01-571','A32-13','pe', 'LB')
('SL04652-2022-11-01-560','S24-8','GKL', 'SU')
('AC22517-2022-11-01-520','A29-16','EcWCR', 'UB')
('AC22517-2022-11-02-620','A35-8','kInlxkuQUFmWciwm', 'LB')
('SL22517-2022-11-01-576','S24-24','SmBKiFAVAhRnvO', 'SU')
('SL04652-2022-11-01-564','S24-12','NCQ', 'LB')
('AC22517-2022-11-02-621','A35-9','sOhpGOyGs', 'UB')
('AC04652-2022-11-02-586','A33-10','reByEDDUf', 'UB')
('SL22517-2022-11-02-566','S24-14','vDfYV', 'UB')
('SL04652-2022-11-02-534','S23-6','IghH', 'UB')
('AC22517-2022-11-02-626','A35-14','rvMyV', 'LB')
('SL12058-2022-11-01-581','S25-5','nPIIb', 'MB')
('AC12058-2022-11-01-608','A34-14','SdLRiozvbSpzA', 'LB')
('SL04652-2022-11-01-583','S25-7','q', 'SL')
('SL04652-2022-11-01-592','S25-16','NNsKLxwdMUaVJ', 'SU')
('SL22517-2022-11-01-603','S26-3','zNbs', 'UB')
('AC12058-2022-11-01-618','A35-6','xRWzMeVHY', 'SU')
('AC22517-2022-11-02-643','A36-13','RetZRviu', 'LB')
('AC22517-2022-11-02-644','A36-14','TdnmFKUb', 'LB')
('SL22517-2022-11-01-606','S26-6','JelpsHvFC', 'UB')
('SL22517-2022-11-02-583','S25-7','IysGKe', 'SL')
('AC22517-2022-11-01-546','A31-6','U', 'SU')
('SL22517-2022-11-02-584','S25-8','vDorTIuQnvRWHB', 'SU')
('AC04652-2022-11-01-602','A34-8','aBVpqjQn', 'LB')
('SL12058-2022-11-01-599','S25-23','CoMgpfSlIYAKPJ', 'SL')
('SL22517-2022-11-01-614','S26-14','DhjEgvAkglOx', 'UB')
('AC12058-2022-11-01-623','A35-11','GcVbWjbrJk', 'SL')
('AC12058-2022-11-01-624','A35-12','UMqhyrzLjiRw', 'SU')
('SL22517-2022-11-01-615','S26-15','ovo', 'SL')
('SL04652-2022-11-01-603','S26-3','uzAFbzQCP', 'UB')
('AC12058-2022-11-01-626','A35-14','FUXi', 'LB')
('AC22517-2022-11-01-554','A31-14','IdHqv', 'LB')
('SL04652-2022-11-02-549','S23-21','fFlFoEzrvvkG', 'MB')
('AC22517-2022-11-02-650','A37-2','o', 'LB')
('SL12058-2022-11-01-614','S26-14','qCctC', 'UB')
('AC22517-2022-11-01-571','A32-13','Sw', 'LB')
('AC12058-2022-11-01-635','A36-5','nVYRFGcoc', 'SL')
('SL04652-2022-11-02-575','S24-23','MPbTdxn', 'SL')
('AC04652-2022-11-01-621','A35-9','NmPF', 'UB')
('AC04652-2022-11-02-625','A35-13','yECdUafERU', 'LB')
('AC22517-2022-11-02-661','A37-13','KuCntkg', 'LB')
('AC04652-2022-11-02-628','A35-16','HnCiwyRXOaufW', 'UB')
('AC12058-2022-11-01-643','A36-13','gGGGaFwBBuJ', 'LB')
('AC22517-2022-11-01-580','A33-4','JHFl', 'UB')
('SL04652-2022-11-02-583','S25-7','ZzOAPF', 'SL')
('SL04652-2022-11-01-635','S27-11','vL', 'UB')
('SL04652-2022-11-01-636','S27-12','QXjldqdnjHSigGbm', 'LB')
('SL04652-2022-11-02-589','S25-13','ldPlES', 'MB')
('SL22517-2022-11-02-628','S27-4','Ntft', 'LB')
('AC04652-2022-11-02-648','A36-18','Dt', 'SU')
('AC04652-2022-11-02-649','A37-1','QUNd', 'LB')
('SL04652-2022-11-02-595','S25-19','mqSAK', 'UB')
('SL04652-2022-11-01-642','S27-18','MpjZxVDq', 'MB')
('SL12058-2022-11-01-632','S27-8','COnTgzcTRND', 'SU')
('AC04652-2022-11-01-642','A36-12','RZPyhVJZCQivWyh', 'SU')
('AC22517-2022-11-02-686','A39-2','UsudQoCcNYZpf', 'LB')
('SL22517-2022-11-02-634','S27-10','JIUuvuerpi', 'MB')
('SL22517-2022-11-01-655','S28-7','fcpP', 'SL')
('SL12058-2022-11-01-641','S27-17','fcPQ', 'LB')
('SL22517-2022-11-01-657','S28-9','TX', 'LB')
('AC12058-2022-11-01-666','A37-18','OumgpIOLQz', 'SU')
('AC22517-2022-11-01-616','A35-4','Wkwp', 'UB')
('AC04652-2022-11-02-669','A38-3','Kjknc', 'UB')
('SL22517-2022-11-01-675','S29-3','qnPsYTxasznkteA', 'UB')
('SL22517-2022-11-02-660','S28-12','hKh', 'LB')
('AC22517-2022-11-01-624','A35-12','enHZjlBqLuUvMqYK', 'SU')
('AC12058-2022-11-01-684','A38-18','f', 'SU')
('SL04652-2022-11-02-633','S27-9','AA', 'LB')
('AC12058-2022-11-01-685','A39-1','ChZPsM', 'LB')
('SL04652-2022-11-02-635','S27-11','OpXqw', 'UB')
('SL04652-2022-11-01-678','S29-6','VrqRvevoUdIP', 'UB')
('AC04652-2022-11-01-671','A38-5','OPAF', 'SL')
('SL22517-2022-11-01-683','S29-11','oVlZUaRHY', 'UB')
('SL22517-2022-11-02-669','S28-21','icIIsO', 'MB')
('AC04652-2022-11-02-679','A38-13','ArZqBHZ', 'LB')
('SL04652-2022-11-02-641','S27-17','erKDc', 'LB')
('SL04652-2022-11-01-683','S29-11','AKlQSXXEWSfsd', 'UB')
('AC04652-2022-11-01-680','A38-14','AFdbHMNrpuwAmN', 'LB')
('SL22517-2022-11-02-674','S29-2','gvggHS', 'MB')
('SL04652-2022-11-02-650','S28-2','czglLjXnnQM', 'MB')
('SL04652-2022-11-01-689','S29-17','v', 'LB')
('AC12058-2022-11-01-737','A41-17','TFyIaFQBgpV', 'SL')
('SL12058-2022-11-01-747','S32-3','NrRHwNTMMec', 'UB')
('AC04652-2022-11-02-722','A41-2','grgWRMr', 'LB')
('SL04652-2022-11-02-701','S30-5','AeFtvPYvMOaKKWlw', 'MB')
('SL04652-2022-11-02-702','S30-6','YGiwsZi', 'UB')
('AC04652-2022-11-01-726','A41-6','xdTbvExzFGde', 'SU')
('AC04652-2022-11-01-727','A41-7','BxSt', 'LB')
('AC22517-2022-11-01-694','A39-10','ipq', 'UB')
('AC04652-2022-11-02-727','A41-7','MPEDHhzt', 'LB')
('AC04652-2022-11-01-731','A41-11','OPVNRDgNBpAA', 'SL')
('SL22517-2022-11-01-748','S32-4','VLBKyucdGm', 'LB')
('SL22517-2022-11-02-739','S31-19','eIKs', 'UB')
('AC04652-2022-11-01-738','A41-18','FVpSttYuUQkJeD', 'SU')
('AC22517-2022-11-01-702','A39-18','TYHrXTE', 'SU')
('SL22517-2022-11-02-754','S32-10','QjAhoousibyxYPwX', 'MB')
('SL22517-2022-11-01-757','S32-13','tsQnFNhqBGEUGCp', 'MB')
('SL12058-2022-11-01-762','S32-18','blhTTPylKOll', 'MB')
('AC22517-2022-11-02-789','A44-15','KoafAb', 'UB')
('AC04652-2022-11-01-746','A42-8','AWWFupoIfyboKO', 'LB')
('AC22517-2022-11-01-712','A40-10','WQe', 'UB')
('SL12058-2022-11-01-768','S32-24','WnTwuejD', 'SU')
('SL04652-2022-11-02-725','S31-5','SrrFdnSN', 'MB')
('AC04652-2022-11-01-751','A42-13','ZY', 'LB')
('AC22517-2022-11-02-800','A45-8','ZjWSRvC', 'LB')
('AC04652-2022-11-01-753','A42-15','shodMlrjKmSnUNU', 'UB')
('AC22517-2022-11-01-722','A41-2','vvIRMDcCHuIoL', 'LB')
('SL04652-2022-11-01-764','S32-20','APuI', 'LB')
('AC12058-2022-11-01-775','A44-1','EXOwvcfw', 'LB')
('AC04652-2022-11-02-755','A42-17','kfpz', 'SL')
('AC04652-2022-11-01-757','A43-1','rCVbcStYB', 'LB')
('SL22517-2022-11-01-778','S33-10','dClsRnsHg', 'MB')
('SL12058-2022-11-01-783','S33-15','kBqBIfXpiKhuGxm', 'SL')
('AC04652-2022-11-02-761','A43-5','eYCywlAkriREEXbg', 'SL')
('SL22517-2022-11-02-777','S33-9','qbAQcsvwXMuKdId', 'LB')
('AC22517-2022-11-01-730','A41-10','zVxTq', 'UB')
('AC04652-2022-11-01-762','A43-6','eOzKwReqIAoIyqV', 'SU')
('SL04652-2022-11-02-755','S32-11','LisVJcBmxEkGcfk', 'UB')
('AC04652-2022-11-02-779','A44-5','GmUeDVcApNQHZs', 'SL')
('AC04652-2022-11-02-781','A44-7','ZC', 'LB')
('SL22517-2022-11-02-808','S34-16','Hn', 'SU')
('AC04652-2022-11-01-792','A44-18','jSXpilgAOEimmv', 'SU')
('AC22517-2022-11-01-764','A43-8','RwgipMSwYQKFB', 'LB')
('AC04652-2022-11-01-844','A47-16','KAhPEPYUeWMdNv', 'UB')
('SL04652-2022-11-02-795','S34-3','PYpHUJSepTTaSKS', 'UB')
('AC22517-2022-11-02-884','A50-2','KaWTIwQUuqH', 'LB')
('SL04652-2022-11-02-797','S34-5','M', 'MB')
('AC12058-2022-11-01-853','A48-7','uWbdb', 'LB')
('SL12058-2022-11-01-865','S37-1','uAzemgMcAPw', 'LB')
('SL04652-2022-11-01-843','S36-3','ppcrOhG', 'UB')
('SL12058-2022-11-01-868','S37-4','xWBNAXKu', 'LB')
('SL22517-2022-11-01-854','S36-14','QdbfUbLGoznvOcmH', 'UB')
('SL04652-2022-11-02-822','S35-6','euWuEJDdoq', 'UB')
('AC04652-2022-11-02-851','A48-5','SAv', 'SL')
('AC04652-2022-11-02-852','A48-6','hfLPZSYrxANx', 'SU')
('SL22517-2022-11-02-870','S37-6','nJXWTFLv', 'UB')
('SL04652-2022-11-01-856','S36-16','VCVj', 'SU')
('AC22517-2022-11-02-911','A51-11','krJyxVL', 'SL')
('AC12058-2022-11-01-875','A49-11','TTjZSjuPT', 'SL')
('SL22517-2022-11-02-873','S37-9','FIG', 'LB')
('SL04652-2022-11-02-833','S35-17','KEnjrZxOQN', 'LB')
('AC22517-2022-11-01-839','A47-11','rlHmgXjvQx', 'SL')
('AC04652-2022-11-01-904','A51-4','lxStvwKnFOHBudj', 'UB')
('AC22517-2022-11-01-847','A48-1','LKDeDdHdZtvYw', 'LB')
('SL22517-2022-11-02-901','S38-13','SfYeAUpyS', 'MB')
('SL12058-2022-11-01-908','S38-20','saQO', 'LB')
('SL04652-2022-11-01-875','S37-11','uawaSHizVQeP', 'UB')
('SL12058-2022-11-01-910','S38-22','SuqUMbA', 'UB')
('AC22517-2022-11-02-928','A52-10','PGlB', 'UB')
('AC22517-2022-11-02-929','A52-11','HUelKFrBdAwv', 'SL')
('SL12058-2022-11-01-912','S38-24','yIN', 'SU')
('SL22517-2022-11-02-907','S38-19','gGkPhJ', 'UB')
('AC04652-2022-11-02-878','A49-14','rB', 'LB')
('AC22517-2022-11-01-854','A48-8','FXgzeSkfKsjYJ', 'LB')
('AC22517-2022-11-01-855','A48-9','gORekmVXFceqPmdA', 'UB')
('SL12058-2022-11-01-918','S39-6','lTXsBXdTRuP', 'UB')
('SL12058-2022-11-01-919','S39-7','c', 'SL')
('AC04652-2022-11-02-881','A49-17','tAqxPTuAn', 'SL')
('AC04652-2022-11-01-916','A51-16','SXexBDPdxgKRqajO', 'UB')
('AC04652-2022-11-02-882','A49-18','mFSaH', 'SU')
('AC22517-2022-11-01-856','A48-10','gnxTsnqcCek', 'UB')
('AC04652-2022-11-01-920','A52-2','OKOv', 'LB')
('AC04652-2022-11-01-921','A52-3','elhg', 'UB')
('AC04652-2022-11-02-886','A50-4','YdtHOlvVGna', 'UB')
('SL22517-2022-11-01-899','S38-11','puJopVkwn', 'UB')
('AC22517-2022-11-02-944','A53-8','LQUSUZtWOnat', 'LB')
('SL22517-2022-11-02-920','S39-8','xazdaeuANeUfSi', 'SU')
('SL12058-2022-11-01-926','S39-14','NoDLiOwsgVnWidxZ', 'UB')
('SL22517-2022-11-02-922','S39-10','QwyXQ', 'MB')
('SL12058-2022-11-01-928','S39-16','oduOowhOQUGd', 'SU')
('SL04652-2022-11-02-863','S36-23','ojhGPD', 'SL')
('SL04652-2022-11-02-864','S36-24','Rbt', 'SU')
('SL04652-2022-11-02-865','S37-1','LvEhuCwblHeEQPz', 'LB')
('SL04652-2022-11-01-899','S38-11','F', 'UB')
('SL04652-2022-11-02-899','S38-11','Wx', 'UB')
('AC22517-2022-11-02-987','A55-15','omCqs', 'UB')
('SL22517-2022-11-01-951','S40-15','CiwuGCtbr', 'SL')
('AC22517-2022-11-02-988','A55-16','KrUmICOrGxi', 'UB')
('SL22517-2022-11-02-958','S40-22','EMIJMfuFxauS', 'UB')
('SL12058-2022-11-01-967','S41-7','mZEBJByo', 'SL')
('AC12058-2022-11-01-945','A53-9','ZZVIPgLZkkyFc', 'UB')
('SL12058-2022-11-01-969','S41-9','vVtd', 'LB')
('SL12058-2022-11-01-970','S41-10','gQ', 'MB')
('SL22517-2022-11-01-956','S40-20','VMuomavPmjT', 'LB')
('SL12058-2022-11-01-971','S41-11','rLIUIP', 'UB')
('AC04652-2022-11-02-924','A52-6','NqHCKt', 'SU')
('SL04652-2022-11-01-943','S40-7','HIDABMaKkrNSld', 'SL')
('SL04652-2022-11-01-946','S40-10','zDAEAyPN', 'MB')
('AC22517-2022-11-02-1004','A56-14','IZZy', 'LB')
('AC12058-2022-11-01-953','A53-17','pXm', 'SL')
('AC04652-2022-11-02-938','A53-2','QBnGWWjJpWHScx', 'LB')
('AC12058-2022-11-01-959','A54-5','LZSkxpYHqVVsQO', 'SL')
