('AC22517-2022-11-01-1494','A83-18','efRaEXaY', 'SU')
('AC04652-2022-11-01-1616','A90-14','PMHzJNWpzV', 'LB')
('SL04652-2022-11-02-1586','S67-2','RqRaWjYjozP', 'MB')
('SL22517-2022-11-02-1586','S67-2','FmPYTlIEbOAzRmoj', 'MB')
('SL04652-2022-11-01-1590','S67-6','abRkPGyzOvSRMRaQ', 'UB')
('SL04652-2022-11-02-1589','S67-5','fqIAmqTl', 'MB')
('AC22517-2022-11-01-1604','A90-2','dAHdqoViIj', 'LB')
('SL22517-2022-11-02-1588','S67-4','yOdgxhTTFzoGpO', 'LB')
('SL04652-2022-11-02-1592','S67-8','pQGPtPmzHfAjux', 'SU')
('AC04652-2022-11-01-1626','A91-6','toKsF', 'SU')
('AC04652-2022-11-01-1656','A92-18','zqtXTnp', 'SU')
('AC22517-2022-11-02-1618','A90-16','hhXxekHSxpwH', 'UB')
('AC04652-2022-11-02-1640','A92-2','bYDANP', 'LB')
('AC12058-2022-11-01-1601','A89-17','jjdG', 'SL')
('AC22517-2022-11-02-1623','A91-3','AnJKYHSpNtNd', 'UB')
('AC22517-2022-11-01-1633','A91-13','ELretXlGsiGh', 'LB')
('SL22517-2022-11-02-1612','S68-4','GSxbfL', 'LB')
('SL04652-2022-11-01-1620','S68-12','cfZx', 'LB')
('SL22517-2022-11-01-1642','S69-10','JRSADx', 'MB')
('AC22517-2022-11-01-1636','A91-16','MSeWomVusFj', 'UB')
('AC04652-2022-11-01-1666','A93-10','MQsNX', 'UB')
('AC12058-2022-11-01-1613','A90-11','uGhCWQZcT', 'SL')
('AC12058-2022-11-01-1616','A90-14','seGHoAGhVADJ', 'LB')
('SL04652-2022-11-01-1629','S68-21','PpPxLEJbboE', 'MB')
('SL04652-2022-11-01-1634','S69-2','qhIzMoSEliDBK', 'MB')
('AC22517-2022-11-01-1650','A92-12','omYkPkrNpiVHiWNd', 'SU')
('SL04652-2022-11-02-1634','S69-2','Cjqf', 'MB')
('SL04652-2022-11-01-1664','S70-8','WMHyb', 'SU')
('AC22517-2022-11-01-1699','A95-7','fCKJjmlzdX', 'LB')
('AC04652-2022-11-02-1694','A95-2','RwruvfsZDfvxcQkn', 'LB')
('SL22517-2022-11-02-1672','S70-16','rrklPY', 'SU')
('SL04652-2022-11-01-1669','S70-13','puL', 'MB')
('AC04652-2022-11-01-1746','A97-18','MbfNIq', 'SU')
('AC22517-2022-11-02-1693','A95-1','doiYZuvvhmLmCUN', 'LB')
('AC04652-2022-11-01-1752','A98-6','VbTilAhZlpTpsGYR', 'SU')
('AC22517-2022-11-01-1731','A97-3','KV', 'UB')
('AC04652-2022-11-01-1760','A98-14','kCPDAdGLqRrGQlpr', 'LB')
('SL22517-2022-11-01-1711','S72-7','mDwTBWOHllhIiEfE', 'SL')
('SL12058-2022-11-01-1670','S70-14','wlxKnwlkikd', 'UB')
('AC22517-2022-11-01-1748','A98-2','adoLwxA', 'LB')
('AC04652-2022-11-02-1733','A97-5','aw', 'SL')
('SL04652-2022-11-01-1708','S72-4','e', 'LB')
('SL22517-2022-11-01-1728','S72-24','GtXcLaNY', 'SU')
('SL04652-2022-11-01-1709','S72-5','NAdedWhVFSK', 'MB')
('SL12058-2022-11-01-1685','S71-5','Lj', 'MB')
('AC04652-2022-11-01-1776','A99-12','TICoWn', 'SU')
('AC22517-2022-11-02-1721','A96-11','uzucuQhscBXdkF', 'SL')
('SL22517-2022-11-01-1729','S73-1','LrYU', 'LB')
('SL04652-2022-11-02-1736','S73-8','c', 'SU')
('AC22517-2022-11-01-1768','A99-4','OJNNwEtuu', 'UB')
('AC04652-2022-11-02-1744','A97-16','uHPkGCt', 'UB')
('SL22517-2022-11-01-1736','S73-8','GIrlsKiAvOJQ', 'SU')
('SL22517-2022-11-02-1714','S72-10','qHc', 'MB')
('AC04652-2022-11-02-1751','A98-5','PqKuPMihhPWdg', 'SL')
('SL12058-2022-11-01-1701','S71-21','uCuGtS', 'MB')
('AC04652-2022-11-01-1793','A100-11','mcNXLWubUZZFCs', 'SL')
('AC22517-2022-11-01-1778','A99-14','nG', 'LB')
('SL22517-2022-11-01-1746','S73-18','IjvhBZgrCaXcSv', 'MB')
('SL22517-2022-11-02-1723','S72-19','ilaHNTCc', 'UB')
('SL12058-2022-11-01-1707','S72-3','fZLgQQaZxZZ', 'UB')
('SL22517-2022-11-01-1749','S73-21','vJKoTa', 'MB')
('AC22517-2022-11-02-1741','A97-13','MsGmlyFjGMZJFQ', 'LB')
('SL04652-2022-11-02-1749','S73-21','d', 'MB')
('SL04652-2022-11-02-1750','S73-22','EcMJUjfWJPJ', 'UB')
('AC04652-2022-11-01-1800','A100-18','ffHlLIis', 'SU')
('AC22517-2022-11-02-1747','A98-1','iclSqZP', 'LB')
('SL04652-2022-11-01-1741','S73-13','alqVkHkTu', 'MB')
('AC12058-2022-11-01-1766','A99-2','Cgk', 'LB')
('AC04652-2022-11-02-1811','A101-11','yXbL', 'SL')
('SL22517-2022-11-02-1777','S75-1','vjrSTv', 'LB')
('AC12058-2022-11-01-1769','A99-5','cXWs', 'SL')
('AC04652-2022-11-02-1813','A101-13','RCvlVzccA', 'LB')
('SL12058-2022-11-01-1753','S74-1','OZB', 'LB')
('SL22517-2022-11-01-1802','S76-2','XbVIO', 'MB')
('SL12058-2022-11-01-1758','S74-6','OO', 'UB')
('SL04652-2022-11-01-1799','S75-23','SmZIuDTfrwMWEBV', 'SL')
('AC04652-2022-11-02-1818','A101-18','G', 'SU')
('AC12058-2022-11-01-1777','A99-13','RkBM', 'LB')
('AC12058-2022-11-01-1827','A102-9','oFyrXKtzjg', 'UB')
('AC22517-2022-11-02-1829','A102-11','fQBmLJXAdBVqH', 'SL')
('SL22517-2022-11-02-1835','S77-11','GrWFbSPjMOqiYdw', 'UB')
('SL22517-2022-11-02-1836','S77-12','GtYcODNyvGTzdAc', 'LB')
('SL04652-2022-11-01-1840','S77-16','i', 'SU')
('AC22517-2022-11-02-1837','A103-1','YMgOZRC', 'LB')
('AC22517-2022-11-01-1887','A105-15','ZrPgGKOqkBF', 'UB')
('SL12058-2022-11-01-1828','S77-4','IYIEgIxaSb', 'LB')
('AC22517-2022-11-01-1888','A105-16','GxOsnfdaxecFQpMv', 'UB')
('AC04652-2022-11-02-1861','A104-7','suchKSpcC', 'LB')
('AC22517-2022-11-01-1891','A106-1','vb', 'LB')
('AC22517-2022-11-01-1893','A106-3','nxBvhiUnD', 'UB')
('SL22517-2022-11-01-1874','S79-2','nWLLFbCUMBQ', 'MB')
('SL12058-2022-11-01-1837','S77-13','fhwwkHidmAsA', 'MB')
('AC04652-2022-11-01-1966','A110-4','ZTDVfOFZBtLeKwbC', 'UB')
('AC04652-2022-11-01-1967','A110-5','GYrkuNqrbBGt', 'SL')
('AC22517-2022-11-01-1940','A108-14','Z', 'LB')
('AC22517-2022-11-02-1882','A105-10','lROghYFG', 'UB')
('AC22517-2022-11-02-1883','A105-11','owwnpP', 'SL')
('SL22517-2022-11-02-1883','S79-11','wfdfsGKZltOcHn', 'UB')
('SL04652-2022-11-01-1897','S80-1','jj', 'LB')
('SL22517-2022-11-01-1933','S81-13','DgScjQEjDJTBY', 'MB')
('AC12058-2022-11-01-1879','A105-7','QIbyHDXWrXihqh', 'LB')
('SL04652-2022-11-01-1901','S80-5','qqjTd', 'MB')
('AC04652-2022-11-02-1913','A107-5','OwNjqSKjBFgve', 'SL')
('SL12058-2022-11-01-1888','S79-16','U', 'SU')
('AC04652-2022-11-01-2031','A113-15','yJobPSRz', 'UB')
('AC04652-2022-11-02-1964','A110-2','oAxODRxuozg', 'LB')
('AC22517-2022-11-01-1998','A111-18','IwWSLU', 'SU')
('SL22517-2022-11-01-1979','S83-11','ZAEkRimsHpFXCYy', 'UB')
('SL22517-2022-11-01-1980','S83-12','hysH', 'LB')
('SL22517-2022-11-01-1984','S83-16','jHQGSqAHnHLy', 'SU')
('AC12058-2022-11-01-1945','A109-1','yCHVUCT', 'LB')
('SL04652-2022-11-02-1982','S83-14','ECjejFDyWlEya', 'UB')
('AC22517-2022-11-01-2008','A112-10','WymwtBsBTErB', 'UB')
('AC12058-2022-11-01-1953','A109-9','aCiMTVuFoEkRILM', 'UB')
('AC22517-2022-11-02-1953','A109-9','mfeH', 'UB')
('SL04652-2022-11-01-1997','S84-5','bOwUMOJrVk', 'MB')
('AC04652-2022-11-01-2089','A117-1','vFy', 'LB')
('SL04652-2022-11-02-2027','S85-11','CgnGbxRKImNvaGUb', 'UB')
('AC04652-2022-11-02-2005','A112-7','BauEmX', 'LB')
('SL04652-2022-11-02-2029','S85-13','oZBguky', 'MB')
('AC04652-2022-11-02-2007','A112-9','wNjTyJ', 'UB')
('SL04652-2022-11-02-2031','S85-15','AxKElUjH', 'SL')
('SL04652-2022-11-02-2032','S85-16','ynjsljbNXLj', 'SU')
('SL04652-2022-11-02-2033','S85-17','hz', 'LB')
('AC12058-2022-11-01-2008','A112-10','OvKWyIuRDMTUN', 'UB')
('SL12058-2022-11-01-1998','S84-6','GQnS', 'UB')
('SL04652-2022-11-02-2041','S86-1','VlJPpzem', 'LB')
('SL22517-2022-11-01-2038','S85-22','jybPt', 'UB')
('SL12058-2022-11-01-2008','S84-16','DPVNenCh', 'SU')
('AC22517-2022-11-02-2043','A114-9','AOXG', 'UB')
('AC04652-2022-11-02-2052','A114-18','PahxwLaymzmNP', 'SU')
('SL22517-2022-11-02-2052','S86-12','b', 'LB')
('SL04652-2022-11-01-2049','S86-9','krD', 'LB')
('AC04652-2022-11-02-2058','A115-6','zftDRPPVUdCjy', 'SU')
('SL04652-2022-11-02-2080','S87-16','weFjICC', 'SU')
('AC12058-2022-11-01-2057','A115-5','pDGqLxKGDCl', 'SL')
('AC04652-2022-11-02-2063','A115-11','u', 'SL')
('SL04652-2022-11-02-2082','S87-18','GyVJJpOOuanKYEL', 'MB')
('AC22517-2022-11-02-2052','A114-18','NF', 'SU')
('SL22517-2022-11-01-2084','S87-20','jEg', 'LB')
('AC22517-2022-11-02-2110','A118-4','ALFkEN', 'UB')
('SL04652-2022-11-01-2099','S88-11','gPzTPrjjhbZkNd', 'UB')
('AC04652-2022-11-02-2114','A118-8','mYqPda', 'LB')
('SL22517-2022-11-02-2121','S89-9','lMuDJxKbgbkZqaiH', 'LB')
('AC04652-2022-11-01-2210','A123-14','FL', 'LB')
('SL12058-2022-11-01-2113','S89-1','YRhTMUJRqbcN', 'LB')
('SL22517-2022-11-01-2169','S91-9','TRpu', 'LB')
('SL22517-2022-11-02-2150','S90-14','DhWFWbYjWFfpkK', 'UB')
('AC12058-2022-11-01-2148','A120-6','Q', 'SU')
('AC04652-2022-11-01-2242','A125-10','LjnjpqGRsECCZ', 'UB')
('SL04652-2022-11-02-2169','S91-9','IUQ', 'LB')
('AC04652-2022-11-02-2144','A120-2','HWYJCIHPes', 'LB')
('AC04652-2022-11-02-2145','A120-3','HGhYIE', 'UB')
('AC04652-2022-11-02-2152','A120-10','dqjXaeNuRBNQTVsU', 'UB')
('AC12058-2022-11-01-2156','A120-14','PrG', 'LB')
('SL04652-2022-11-01-2145','S90-9','uR', 'LB')
('AC22517-2022-11-02-2156','A120-14','WUganfnKHIkhVeN', 'LB')
('SL04652-2022-11-01-2146','S90-10','ZJzaKGmhydD', 'MB')
('AC22517-2022-11-01-2195','A122-17','mowoFMfTVEPaBvsx', 'SL')
('SL22517-2022-11-01-2182','S91-22','VExXbLofG', 'UB')
('SL04652-2022-11-01-2152','S90-16','lDhINMxEaaPk', 'SU')
('AC04652-2022-11-01-2267','A126-17','SJccPG', 'SL')
('AC04652-2022-11-02-2165','A121-5','jOrUq', 'SL')
('AC04652-2022-11-02-2168','A121-8','iQMpTXddZNZtJ', 'LB')
('SL04652-2022-11-01-2160','S90-24','YZkKpERd', 'SU')
('AC22517-2022-11-01-2210','A123-14','xFzqlHkyqJ', 'LB')
('AC04652-2022-11-02-2172','A121-12','ftSW', 'SU')
('SL04652-2022-11-01-2168','S91-8','ohTEap', 'SU')
('SL22517-2022-11-01-2199','S92-15','YQaKNytRpUEkcn', 'SL')
('AC12058-2022-11-01-2170','A121-10','nKMgSyPrfYyYZn', 'UB')
('AC22517-2022-11-01-2226','A124-12','JCCCR', 'SU')
('SL12058-2022-11-01-2150','S90-14','PzrHwCRyBWDM', 'UB')
('AC22517-2022-11-01-2228','A124-14','XeHLMyyaWs', 'LB')
('AC22517-2022-11-02-2188','A122-10','qXVutfbsJZKpUe', 'UB')
('SL22517-2022-11-01-2205','S92-21','odJMj', 'MB')
('AC04652-2022-11-01-2284','A127-16','mWhRLdBSwry', 'UB')
('SL12058-2022-11-01-2153','S90-17','mOuWSF', 'LB')
('AC04652-2022-11-02-2186','A122-8','PYmh', 'LB')
('AC04652-2022-11-01-2288','A128-2','EOD', 'LB')
('AC04652-2022-11-01-2291','A128-5','Ju', 'SL')
('AC22517-2022-11-01-2242','A125-10','GrixNDl', 'UB')
('AC22517-2022-11-02-2201','A123-5','qqaRWBnslqOpsecp', 'SL')
('AC22517-2022-11-02-2202','A123-6','bnULNuuE', 'SU')
('SL12058-2022-11-01-2162','S91-2','KyFWtJjyOHfiBtk', 'MB')
('AC04652-2022-11-01-2302','A128-16','pTmoPNv', 'UB')
('AC12058-2022-11-01-2190','A122-12','ltpVuUVHCwvZke', 'SU')
('SL04652-2022-11-02-2224','S93-16','bmaFMnkyq', 'SU')
('SL22517-2022-11-02-2200','S92-16','AsVtqgIq', 'SU')
('AC04652-2022-11-02-2207','A123-11','jLJV', 'SL')
('SL22517-2022-11-02-2201','S92-17','kkEUNACx', 'LB')
('AC04652-2022-11-02-2208','A123-12','xG', 'SU')
('AC22517-2022-11-02-2213','A123-17','ZKkPKxDPmjmJyiSD', 'SL')
('AC04652-2022-11-02-2263','A126-13','uMog', 'LB')
('SL12058-2022-11-01-2224','S93-16','soZbsLo', 'SU')
('AC12058-2022-11-01-2238','A125-6','iUUXObhCV', 'SU')
('AC22517-2022-11-01-2311','A129-7','PLrvguQtHMzZpys', 'LB')
('AC12058-2022-11-01-2247','A125-15','rqArb', 'UB')
('SL12058-2022-11-01-2238','S94-6','dv', 'UB')
('AC04652-2022-11-02-2288','A128-2','H', 'LB')
('AC04652-2022-11-01-2382','A133-6','ds', 'SU')
('SL04652-2022-11-01-2244','S94-12','QCSNrlxTVntNfZ', 'LB')
('AC22517-2022-11-01-2332','A130-10','RxNugBQjD', 'UB')
('SL04652-2022-11-02-2291','S96-11','YFkshcDxbbBd', 'UB')
('SL04652-2022-11-02-2292','S96-12','psgmkGuWE', 'LB')
('AC22517-2022-11-01-2339','A130-17','JGVKMltbUgWRJc', 'SL')
('AC04652-2022-11-01-2389','A133-13','QEICcKkmKAy', 'LB')
('SL22517-2022-11-02-2272','S95-16','ii', 'SU')
('AC12058-2022-11-01-2309','A129-5','TkAjBiPrvvvi', 'SL')
('SL22517-2022-11-01-2333','S98-5','WaRAfcnkaqtnnhfs', 'MB')
('AC04652-2022-11-02-2342','A131-2','lNs', 'LB')
('SL04652-2022-11-01-2299','S96-19','PRDEti', 'UB')
('SL12058-2022-11-01-2284','S96-4','iT', 'LB')
('AC22517-2022-11-01-2384','A133-8','w', 'LB')
('SL22517-2022-11-01-2338','S98-10','TMxaMh', 'MB')
('SL22517-2022-11-02-2322','S97-18','rfnCiy', 'MB')
('SL04652-2022-11-01-2300','S96-20','tRgytN', 'LB')
('AC22517-2022-11-01-2386','A133-10','heJgXyyjtV', 'UB')
('SL12058-2022-11-01-2288','S96-8','UljJgi', 'SU')
('AC04652-2022-11-02-2350','A131-10','t', 'UB')
('AC22517-2022-11-01-2391','A133-15','T', 'UB')
('SL22517-2022-11-01-2347','S98-19','yzqU', 'UB')
('AC04652-2022-11-02-2352','A131-12','IC', 'SU')
('SL04652-2022-11-01-2311','S97-7','LLoxTxvD', 'SL')
('AC22517-2022-11-01-2395','A134-1','JnZShbMkbOXL', 'LB')
('SL04652-2022-11-01-2313','S97-9','F', 'LB')
('SL22517-2022-11-02-2335','S98-7','rEwXgQXgRHpgd', 'SL')
('SL22517-2022-11-01-2355','S99-3','cWvaWKl', 'UB')
('SL12058-2022-11-01-2300','S96-20','OjqBFW', 'LB')
('SL04652-2022-11-01-2319','S97-15','AAb', 'SL')
('SL04652-2022-11-01-2411','S101-11','ABXevZFZAh', 'UB')
('SL04652-2022-11-02-2444','S102-20','aJKHs', 'LB')
('AC22517-2022-11-02-2428','A135-16','gPMHkvkMoyd', 'UB')
('SL04652-2022-11-02-2449','S103-1','czOPsTzVeFT', 'LB')
('AC22517-2022-11-01-2494','A139-10','BEyA', 'UB')
('SL22517-2022-11-01-2455','S103-7','YxyyH', 'SL')
('SL04652-2022-11-02-2456','S103-8','vKunYt', 'SU')
('AC12058-2022-11-01-2433','A136-3','SHIzAWP', 'UB')
('AC22517-2022-11-01-2499','A139-15','kNkMgZiWlTph', 'UB')
('AC12058-2022-11-01-2435','A136-5','unYSQUv', 'SL')
('AC22517-2022-11-01-2502','A139-18','HBKrwWlAyRzbsO', 'SU')
('SL12058-2022-11-01-2399','S100-23','SljYJfaGhJU', 'SL')
('SL12058-2022-11-01-2400','S100-24','YjUBfBLBgkbrToD', 'SU')
('SL22517-2022-11-02-2431','S102-7','SLethwKmdnL', 'SL')
('SL04652-2022-11-02-2466','S103-18','TaPNkoGIObpQ', 'MB')
('AC12058-2022-11-01-2444','A136-14','QmaGRAPmpXbZGK', 'LB')
('SL04652-2022-11-02-2468','S103-20','tlnoK', 'LB')
('SL22517-2022-11-01-2469','S103-21','bQns', 'MB')
('SL22517-2022-11-01-2471','S103-23','gqwyOAQdSvtgMlOM', 'SL')
('AC22517-2022-11-02-2443','A136-13','GMiaBhxTHZBJCQ', 'LB')
('AC12058-2022-11-01-2450','A137-2','QqhaE', 'LB')
('SL22517-2022-11-01-2516','S105-20','tkgTsVnZsb', 'LB')
('AC12058-2022-11-01-2491','A139-7','emOxOKdONiS', 'LB')
('SL04652-2022-11-02-2527','S106-7','nrQTeBFIFeEmJyV', 'SL')
('SL04652-2022-11-02-2528','S106-8','hp', 'SU')
('AC04652-2022-11-01-2624','A146-14','QDwjLmUup', 'LB')
('SL04652-2022-11-02-2587','S108-19','GSjDHPWYVfgS', 'UB')
('SL04652-2022-11-02-2589','S108-21','cFmLUwNfcGWD', 'MB')
('SL04652-2022-11-02-2590','S108-22','JnC', 'UB')
('SL04652-2022-11-02-2591','S108-23','dybMwpXQbxImTrQI', 'SL')
('SL12058-2022-11-01-2535','S106-15','iYdIaRUMRIHRlh', 'SL')
('SL22517-2022-11-01-2597','S109-5','NTCV', 'MB')
('AC04652-2022-11-02-2577','A144-3','YBil', 'UB')
('AC22517-2022-11-02-2566','A143-10','KJTyrsSrXGo', 'UB')
('AC04652-2022-11-02-2580','A144-6','naWTj', 'SU')
('AC04652-2022-11-02-2581','A144-7','AcbcKJu', 'LB')
('AC04652-2022-11-01-2687','A150-5','OgiPcLwNj', 'SL')
('SL12058-2022-11-01-2543','S106-23','gzloiIstW', 'SL')
('AC04652-2022-11-02-2585','A144-11','LJAkNrBYhzzDDq', 'SL')
('SL22517-2022-11-02-2545','S107-1','rHCvFTdNEklbukdL', 'LB')
('AC22517-2022-11-01-2639','A147-11','DKFh', 'SL')
('SL04652-2022-11-01-2564','S107-20','ZNud', 'LB')
('SL04652-2022-11-02-2611','S109-19','LPLEFLUB', 'UB')
('AC12058-2022-11-01-2576','A144-2','afAxUG', 'LB')
('SL22517-2022-11-01-2613','S109-21','sXQyxOrDbYU', 'MB')
('SL12058-2022-11-01-2560','S107-16','pscQRlnWZnmJs', 'SU')
('AC04652-2022-11-02-2597','A145-5','VyAyXioUHRQQirk', 'SL')
('AC04652-2022-11-01-2704','A151-4','qxZw', 'UB')
('SL22517-2022-11-02-2563','S107-19','GjcygLdhlkDiN', 'UB')
('SL22517-2022-11-02-2567','S107-23','NAxkLIkEy', 'SL')
('SL12058-2022-11-01-2570','S108-2','UrBySMyHNQa', 'MB')
('AC12058-2022-11-01-2584','A144-10','niRoiVPfCWhFl', 'UB')
('AC22517-2022-11-01-2651','A148-5','PPfAQrzHZiPl', 'SL')
('AC12058-2022-11-01-2592','A144-18','e', 'SU')
('AC22517-2022-11-01-2659','A148-13','lzuUjjj', 'LB')
('SL12058-2022-11-01-2582','S108-14','dcXpiFRr', 'UB')
('AC22517-2022-11-02-2612','A146-2','hgnBwcRCANyxzkyy', 'LB')
('SL22517-2022-11-01-2650','S111-10','yTkGsLlezXIk', 'MB')
('SL12058-2022-11-01-2598','S109-6','hkCZoYYEXtacoyU', 'UB')
('AC04652-2022-11-02-2642','A147-14','SdNpNSzHK', 'LB')
('AC22517-2022-11-02-2631','A147-3','kWjAEHOeEwoBkBXm', 'UB')
('AC22517-2022-11-02-2632','A147-4','yHXrBYvkgcBcfzx', 'UB')
('SL04652-2022-11-02-2661','S111-21','rYnx', 'MB')
('SL22517-2022-11-01-2667','S112-3','DTVTjyG', 'UB')
('SL04652-2022-11-01-2631','S110-15','hlhX', 'SL')
('SL22517-2022-11-02-2609','S109-17','MmasUEdhCSUTnWXI', 'LB')
('AC04652-2022-11-02-2667','A149-3','JTBQ', 'UB')
('AC04652-2022-11-02-2673','A149-9','KqWei', 'UB')
('AC22517-2022-11-02-2671','A149-7','ZMjuxeMUkmoVx', 'LB')
('SL04652-2022-11-01-2695','S113-7','paM', 'SL')
('SL04652-2022-11-02-2729','S114-17','S', 'LB')
('SL22517-2022-11-01-2749','S115-13','BwH', 'MB')
('SL04652-2022-11-01-2734','S114-22','cnFdOM', 'UB')
('SL22517-2022-11-01-2783','S116-23','HM', 'SL')
('SL22517-2022-11-02-2716','S114-4','SfssnMennWL', 'LB')
('SL04652-2022-11-02-2773','S116-13','thOPJoaTzSfMO', 'MB')
('AC04652-2022-11-01-2869','A160-7','i', 'LB')
('AC22517-2022-11-01-2839','A158-13','migNhkXGbAH', 'LB')
('SL04652-2022-11-02-2792','S117-8','llGvB', 'SU')
('SL22517-2022-11-01-2799','S117-15','hzL', 'SL')
('AC12058-2022-11-01-2740','A153-4','u', 'UB')
('AC04652-2022-11-02-2778','A155-6','IrIxYWz', 'SU')
('SL04652-2022-11-01-2761','S116-1','ttrs', 'LB')
('SL04652-2022-11-01-2765','S116-5','JbbNHydEBvjFNoL', 'MB')
('SL12058-2022-11-01-2719','S114-7','mwYEuq', 'SL')
('AC22517-2022-11-01-2856','A159-12','idgWiFd', 'SU')
('AC04652-2022-11-02-2785','A155-13','CUSA', 'LB')
('AC12058-2022-11-01-2746','A153-10','Qnqw', 'UB')
('AC04652-2022-11-02-2793','A156-3','vsIkNmSFOWEBVlM', 'UB')
('AC04652-2022-11-02-2794','A156-4','PkrgVJglSR', 'UB')
('SL22517-2022-11-02-2741','S115-5','HzexQZKNGrA', 'MB')
('AC04652-2022-11-01-2913','A162-15','huvBaFEeVjzfur', 'UB')
('AC22517-2022-11-01-2877','A160-15','IJINmkxYZKLRhN', 'UB')
('AC22517-2022-11-02-2812','A157-4','rLGvJuiXwTa', 'UB')
('AC22517-2022-11-02-2813','A157-5','tgvYMfQFfiuuYBGe', 'SL')
('AC12058-2022-11-01-2763','A154-9','THJfNiLStBmY', 'UB')
('SL04652-2022-11-02-2826','S118-18','rIDfktehDWpJFiC', 'MB')
('SL22517-2022-11-02-2764','S116-4','DXQY', 'LB')
('SL04652-2022-11-01-2794','S117-10','uqJMIxgDGYmtH', 'MB')
('AC12058-2022-11-01-2766','A154-12','jWqZMPfHFut', 'SU')
('SL04652-2022-11-02-2827','S118-19','maaAezvYZel', 'UB')
('AC12058-2022-11-01-2768','A154-14','HhGWJ', 'LB')
('AC04652-2022-11-01-2925','A163-9','GuvLYKWs', 'UB')
('AC04652-2022-11-01-2926','A163-10','yrWJRaFk', 'UB')
('AC04652-2022-11-02-2810','A157-2','mXdqaRoEUxdUt', 'LB')
('SL04652-2022-11-01-2802','S117-18','WjooC', 'MB')
('AC04652-2022-11-01-2937','A164-3','DWSaYAtijJ', 'UB')
('SL22517-2022-11-02-2867','S120-11','DqbfCVYbzk', 'UB')
('AC22517-2022-11-01-2960','A165-8','TZtxxod', 'LB')
('SL04652-2022-11-02-2968','S124-16','FeUJXkWSEn', 'SU')
('SL22517-2022-11-01-2937','S123-9','CmmeF', 'LB')
('SL04652-2022-11-01-2928','S122-24','HcxIyQYZ', 'SU')
('SL12058-2022-11-01-2857','S120-1','VcB', 'LB')
('SL04652-2022-11-02-2977','S125-1','ZiD', 'LB')
('SL04652-2022-11-01-2934','S123-6','RnJKVDsMpN', 'UB')
('AC04652-2022-11-02-2922','A163-6','TTNPY', 'SU')
('AC12058-2022-11-01-2903','A162-5','RvlSwO', 'SL')
('SL04652-2022-11-02-2982','S125-6','fRRSgZe', 'UB')
('AC04652-2022-11-02-2934','A163-18','vM', 'SU')
('SL22517-2022-11-01-2954','S124-2','dABkZNyq', 'MB')
('AC22517-2022-11-01-3012','A168-6','UotRsLGCffb', 'SU')
('SL12058-2022-11-01-2885','S121-5','dwVRjPQwl', 'MB')
('SL04652-2022-11-01-2959','S124-7','K', 'SL')
('AC22517-2022-11-02-2960','A165-8','OWIIutOnIKXrgI', 'LB')
('SL04652-2022-11-01-2962','S124-10','bBKXZnlLxlvRPI', 'MB')
('SL22517-2022-11-01-2963','S124-11','RMoawv', 'UB')
('SL12058-2022-11-01-2890','S121-10','umDLpFlgrU', 'MB')
('AC22517-2022-11-02-2964','A165-12','xuPKb', 'SU')
